# File: FAO_GDP_Deflators.csv
# Title: FAO GDP deflators by country (2015 = 100)
# Units: Unitless
# Description:  FAOSTAT (domain:PD) & Taiwan Statistics (access:4-12-2021)
# Data source: FAOSTAT (main domain:PD FAO.udpate:2024-06-12T00:00:00)
# Date of CSV last update: 2024-10-17
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area,area_code,item,item_code,element,element_code,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"China, mainland",41,GDP Deflator,22024,"Value US$, 2015 prices",6179,50.0006136738,50.8658165714,53.0421273389,50.7741542275,53.6236655612,59.9625290486,67.2587427629,72.4184556954,65.1617690462,58.606092712,56.7895837051,50.7508148958,44.1877647617,39.3379213605,38.3460241812,42.9891151911,46.1534801626,38.4049954612,36.8249433106,38.4595794567,42.3981917654,34.1887846756,40.1048136017,42.9055578164,43.7273365658,43.3904651746,42.846118128,43.7286040953,44.6314919287,44.9008204705,46.069218465,49.2733597547,51.7122351459,55.2313504759,62.374055761,73.6119228416,74.7182998254,80.5811256891,91.2507899197,95.584139935,99.4892839698,101.3711906057,100,95.043317209,97.3912019046,102.9752757536,99.8852860046,100.4880309989,112.425081021,110.0344954864,105.6531321821
"China, Taiwan Province of",214,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,72.36,74.15,76.13,77.12,77.13,80.92,80.95,81,83.09,87.36,90.4,93.3,96.54,98.2,100.52,102.88,105.15,108.56,106.48,105.51,104.85,104.41,102.95,102.18,100.64,99.39,98.87,96.26,96.38,95.14,93.09,93.72,95.14,96.73,100,100.76,99.91,99.31,99.15,101.02,103.06,105.17,
Colombia,44,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.4280033159,26.6238478555,27.5786952872,30.8373898144,37.5912346155,41.3868218198,47.2003755646,54.1956875526,57.7413565403,61.2420901521,59.9304053532,57.2802674225,50.6719737833,47.948210954,47.3659032318,49.0698507396,47.8484242031,46.7346747131,46.916918337,48.2639655147,52.8452257097,66.3326063115,72.9648849188,75.0847453508,79.711059775,73.1979796182,66.9383941914,63.1259149531,61.0498285821,59.4076468486,55.2292837148,64.8652598126,77.5503837997,80.6535609028,96.3968361885,109.6307592645,104.0141255632,122.7400842797,134.1423670685,142.9576351783,140.0805247796,133.6973779406,100,94.3984017645,102.7012390978,107.2977883016,100.5337873707,90.5899611113,96.2662883633,96.9015828674,102.9187011848
Comoros,45,GDP Deflator,22024,"Value US$, 2015 prices",6179,21.4499527385,23.5237298747,34.2679477643,33.6855885157,35.8400650002,45.1059907797,55.0303427735,61.3434625609,54.6451828237,48.1376507853,47.8234412709,44.2754686724,46.2344671018,64.3303836226,76.516537857,78.7029025738,76.6406024011,93.2150417564,92.2216263875,91.6402844401,88.0893827523,65.5435871035,78.9706633357,79.559842372,70.2380745439,70.5262177935,71.5054725857,63.5309796018,67.0527131243,73.479859552,92.626970504,105.3776393515,105.9130159784,109.5326014621,124.055790479,136.9463222504,127.1576061319,122.0566273171,129.839123187,121.4328428617,122.454770696,121.2591781759,100,101.9808529577,102.806272603,109.0064772747,105.7399495765,104.1228336483,107.2672835524,100.5381962209,107.6068723268
Congo,46,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.2636978866,22.2471439993,26.4419790026,26.1850102181,28.1922190752,33.0517885404,40.3754163746,51.1753305741,49.3392655824,43.2769844523,39.7775637011,38.8012997456,38.6700530464,35.5373600535,44.0705155527,41.6994321598,44.9095014877,52.0684398357,52.5390838201,54.5048416579,49.2572203298,34.4003508166,39.3094117496,43.9056508271,40.0960456037,32.0984632307,39.3206926799,48.2522945013,42.4969936788,46.1264969936,53.1641278332,70.3786894346,84.0965768239,94.4870991522,110.0356184341,136.926065487,102.3716783873,126.3102420802,147.0984957796,151.4095919456,154.7342073603,144.6215666383,100,96.3434269048,110.4846758059,141.1799143699,132.0760761895,115.6235482969,146.3802022709,149.7888418122,151.276077896
Cook Islands,47,GDP Deflator,22024,"Value US$, 2015 prices",6179,16.3938116448,19.0699212797,18.9515038595,19.3042299178,18.8251132649,20.1109438833,22.0380196538,23.897162024,25.7141504938,25.0211542775,24.5697826606,22.1499456598,21.2830725748,25.3587916436,32.7486729884,40.957881862,39.6135436557,41.018881788,41.7451803842,40.7137800729,43.817430118,50.0559035861,55.7231682226,56.3440312785,53.0459597127,46.6199252376,48.614528206,42.664758547,43.0492356676,48.1806640388,63.4622380955,72.5429843867,75.0574744636,73.5538437814,79.8864407066,80.4579557937,77.0858362145,90.5733979689,101.4630934738,110.9011784591,106.6742962258,111.7972431328,100,97.7407266715,99.5479199077,98.8749968288,92.8281520932,98.792558618,103.5495836651,94.6011793148,
Costa Rica,48,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.286104116,18.8847381154,21.761981475,25.3757991123,29.6743211072,32.0215742745,34.9499039738,41.5318125033,23.0758412304,24.725957715,29.019939181,31.2486288489,33.2486922452,35.3737490417,34.7477242322,34.1946642402,36.6530505557,38.6714604414,37.33813212,40.6916311062,42.5151546895,44.5138664958,47.162113346700004,46.9655281317,48.0922715207,48.6786383497,48.6642382903,49.3468623458,50.7384904292,50.913277414,50.8455306239,52.4651688526,54.3470895041,57.3787638336,62.7606957652,68.6522108116,69.1311464158,80.3667825436,87.4102967655,92.0509144167,96.880108546,95.524903312,100,100.0545745185,98.7851434549,99.2959043044,100.0546365229,101.2402949101,97.2750088468,98.6931921118,120.8319978944
Cote dIvoire,107,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.0452276343,26.6978481825,31.2800407598,33.437092099,42.9205869689,49.2527930711,55.9221145929,69.9045959825,55.9717257757,50.1252179868,47.137977757,48.4672580871,47.3034876718,60.1298262502,66.4592343824,66.8125696493,62.3969679728,70.1222095756,67.9508222634,71.3518702856,66.3968354834,48.4585677524,60.4609064153,61.9155450914,56.5742697521,58.0319588292,56.5675170126,49.1181831092,51.4057043489,57.6695046232,72.4784507522,77.4337098029,78.5624380526,80.632410543,90.5441274048,105.14495618,102.0549417666,102.5377772816,110.4090923808,104.644793953,111.7822261832,116.0641199383,100,98.6640704855,99.6453964613,105.9211239703,101.7767517081,105.1896368378,112.0879344405,102.3879761667,108.1324321869
Croatia,98,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,38.5606394958,44.4449464,56.1610525088,67.751844721,67.728733204,63.858932964,66.8805393373,61.9442745194,55.5287434992,57.4329191027,63.2007100019,77.3887489343,89.1107397415,93.2017756548,98.6663513521,111.9604899876,128.4117681376,123.5058976033,119.8000176339,125.3113107751,116.0897907034,119.9309043552,119.2035024033,100,100.707080033,104.6829377292,112.6715042628,108.96910111,109.9280032213,116.0413933575,112.835720743,124.3760921175
Cuba,49,GDP Deflator,22024,"Value US$, 2015 prices",6179,36.6592001053,41.4566433252,43.251386659,43.4247182735,41.1523959206,48.493881107,52.6487906071,56.2600515703,47.5657708601,45.4119558424,45.6552081022,45.7939216764,42.9781675783,45.381423815,48.3934150495,50.8199131003,49.6791967028,54.2574183112,51.5753855798,52.9765214689,63.0290768315,79.5943991701,83.0929089048,63.350330403,62.4959353326,63.3106665436,65.7080303842,66.8518544767,67.1548916538,70.1988896621,72.2856027568,72.7248618911,73.001313942,80.5673675576,83.4607397196,83.1722100108,83.7000337723,84.7061487974,89.0364185573,90.9437588269,93.3608895501,96.5942081899,100,104.2397519412,108.5294119326,109.648721263,113.5379599792,132.333891866,154.2414661603,176.0749656887,
Cyprus,50,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.0792351373,24.6105780534,25.344924432,24.8362933692,27.3415795814,33.230711598,39.6232471834,45.3440734911,42.4660896033,41.4382266691,39.3905080466,38.1185598773,38.7233300178,47.6670873354,53.3516787146,56.8442140568,56.1831786233,63.7848268014,65.4006955976,71.6217288296,67.8440205183,72.2199383724,77.6387462959,77.2780132151,72.8566651993,74.1190056532,72.3786597961,65.4266818854,65.4139152822,69.1649253159,84.7279547647,96.4642799669,100.2379103952,104.6820404784,116.0229696257,129.0127524029,122.6735748782,119.1530506272,127.086317099,119.4343604649,122.2618729891,120.5349386733,100,99.1633874202,102.3229265444,108.0410891341,103.7715587081,104.4339789433,111.044986982,104.7231806502,112.9105925525
Czechia,167,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,38.6576442896,43.9835912548,51.9110178851,55.7828477254,51.7399760473,55.7889784278,53.6810614388,48.9631163775,52.1173706194,62.1990920975,73.11956847,83.5084670733,89.6667783465,95.6928496323,110.3194999924,133.7758902499,122.9018239737,120.9264780808,130.4825880117,119.6532193622,121.3289976536,117.3410126142,100,101.7987619152,107.8214186005,118.9689025571,117.1154576593,120.7096521509,133.5415734065,134.5182049066,154.3851248087
Czechoslovakia,51,GDP Deflator,22024,"Value US$, 2015 prices",6179,21.9882010567,22.2529398888,23.0643463897,21.9148900788,30.1033465927,31.858672293,33.2393262097,33.798683967,35.9220980343,36.1563016989,35.0863323475,30.7208589591,29.8692751151,34.1681670993,37.6019622719,36.2320790934,35.3880098128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Peoples Republic of Korea,116,GDP Deflator,22024,"Value US$, 2015 prices",6179,64.7384260424,64.7384260422,64.738426041,64.7384260422,64.7384260409,64.7384260425,64.7384260416,64.7384260414,64.7384260422,78.4172419982,75.5425251561,69.4255082187,65.983463409,73.5827947998,76.485403345700007,74.3891256298,81.5220114647,79.4107150453,77.3456931741,75.7632091517,68.4058306904,54.0302735263,32.9832506129,74.5133781885,77.6841534175,78.0185315026,73.594817011200007,75.6306501234,75.7372268522,74.0787832842,73.6962354138,72.9616671907,82.0483629624,87.5629299222,92.5434008331,83.2812745341,75.8423397933,88.2957895913,98.553127322,98.6329763884,101.6214456057,105.616384046,100,99.2531009405,106.3785144523,111.7650391716,104.0105128279,105.7190967224,111.80552669,101.4513742673,
Democratic Republic of the Congo,250,GDP Deflator,22024,"Value US$, 2015 prices",6179,25.3027665121,29.9193949184,33.5899598693,33.4284453884,42.4493694628,63.6547063825,62.1161380213,58.0626860752,50.1482579398,50.2422524824,42.0109502319,23.9480710884,25.4993468034,28.1348757574,23.3622828028,26.6158522078,44.9918568992,51.1242045298,52.6873339746,53.9788398775,81.3964354312,45.9326746288,44.3300265817,45.8337298992,49.9601231699,53.1254409204,49.3374764552,50.455275395,51.5919822875,52.3960395328,50.8200544973,54.8553827282,60.0515440996,68.8710335466,75.062974642,83.5466899424,76.5473878924,82.6479171215,92.6574246286,98.1333933639,100.8487439132,101.2530743089,100,103.8883127508,93.488594108,110.6880844375,106.3660382139,100.1063237819,109.9532067369,119.8944846379,
Denmark,54,GDP Deflator,22024,"Value US$, 2015 prices",6179,20.7784249825,23.3596743222,28.0866658483,29.2023172645,32.0158370805,37.973199904,42.6177207203,43.2872100999,37.9109528721,35.6977362806,34.9282370227,32.6800398938,33.3110305917,44.6360867852,55.3076404394,58.4184082912,56.465229665,68.4348158957,67.9713603402,73.221622763,68.5599541927,70.9840683614,81.6240398488,80.4491861295,72.0563647857,71.8951599011,70.2202653144,62.4333387068,62.1624886285,67.071839654,81.5704509311,91.5733459578,94.1428769866,96.9075589772,108.4381242746,120.5759551409,115.2731444988,113.4208854745,119.5745738036,113.4591162902,118.0572470102,119.3574400523,100,100.1978321133,103.3628914513,108.8899049937,104.1780181847,109.3129755296,116.9966982401,112.3364452925,116.732216156
Djibouti,72,GDP Deflator,22024,"Value US$, 2015 prices",6179,20.2307809856,26.3921673288,26.3419588183,28.9346329956,35.3623111376,42.0164698246,44.1361932125,48.0814726086,49.5995415445,50.9773541166,50.8739965155,51.1393938763,53.3675920335,58.3989004938,60.2864962659,63.6385715714,67.1769697271,66.2317861854,69.7843929033,68.0852006943,65.0197220379,70.6024479842,66.6943718839,68.4572021319,64.7436014516,65.734878363000007,67.1434828988,69.1324615875,70.5531138091,70.5534673897,71.9737708622,74.1817428197,76.4585175485,73.5876837205,77.3117486825,84.7700759159,83.3982326035,84.851403844,87.9169438477,91.1395008798,96.316279071,97.5990807213,100,100.3991028617,100.6519149083,101.1545366438,103.8056123217,110.902330239,114.4013309135,119.3036103216,123.1960728125
Dominica,55,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.119267494,21.4384531214,21.9176393513,19.9855887259,21.6913447192,24.439118543,28.8282322135,33.6451915553,34.2366086192,35.8503834297,38.5259944958,40.9049249621,44.1512760307,46.6419294089,49.2981381651,51.5154905193,55.8464253177,57.6379645586,62.0476885639,64.7696440885,66.5052830416,71.5859721127,72.1471588279,74.5027261065,75.5791923069,77.4989891446,79.4646656867,78.0480247707,79.6748151622,80.3047151817,77.7997918988,80.7499650753,79.5805215967,81.4642566045,82.7066261369,83.9541547858,90.6737730291,90.9430467016,92.4757297677,90.6617782437,93.8952186585,93.8496032287,100,103.6978987027,100.5105694858,103.2497742338,107.8787572723,106.4651010739,109.8830773263,114.3297420501,121.4450686186
Dominican Republic,56,GDP Deflator,22024,"Value US$, 2015 prices",6179,27.8127848569,32.7382162445,38.2852289139,39.3840569278,43.551153105,44.0058788469,48.8970628218,54.6085115447,57.3923357326,61.8497737016,64.003807361,75.9088796928,33.6196910406,39.3084669612,33.3831689999,29.8311077802,41.1905098783,49.3391299168,50.7362343233,53.2430507385,56.3436668555,59.7967572571,63.3167061766,64.098039421,68.2945769522,67.7790497581,66.5264315601,69.0061147132,71.3108286816,68.6032767635,54.6610129436,58.8324614507,86.0006505311,83.008878886,88.3214284031,93.1532416582,93.0802873177,95.0097043981,100.184234952,102.3364132795,100.8028010335,100.9389574034,100,99.7220018652,100.7086715058,100.6750863694,99.6261708341,94.6791723342,100.8003029407,115.8101825359,119.7726507096
Ecuador,58,GDP Deflator,22024,"Value US$, 2015 prices",6179,17.6282138618,26.8794227349,28.378173366,31.0723158691,37.0881393414,37.937419622,43.4817689982,52.8893506969,61.0826758254,55.4739582367,47.9046335684,46.0261228644,44.9030211959,38.755607028,35.3834762405,31.2741096524,32.9528971075,34.8686563569,37.2708698065,38.8747208442,39.9017019029,45.8904363565,48.287088822,49.0066412008,52.4401312854,50.4564893283,37.1864362516,34.3178497321,44.0690191154,49.3948810102,54.627323749,56.9554559976,61.3596568149,66.2689882372,70.6762088062,80.4629688256,80.9904338075,87.036434459,91.9650089874,96.5496974133,99.53795787,102.5546578141,100,101.9016467755,103.8850586394,105.7745965153,106.2986567829,105.8744195922,108.6052712486,114.3231354417,115.8341132384
Egypt,59,GDP Deflator,22024,"Value US$, 2015 prices",6179,31.4087673069,36.2222749241,38.5549760548,40.0496443046,47.4822452624,53.8766118982,32.5541448451,38.1467386248,24.6440877602,26.1666654238,27.1915580255,28.172549333,29.0634907568,29.6488008302,30.3819593472,31.4536590994,32.686752052,33.9103249629,35.0570912957,38.3916576647,41.2528798424,44.3179527203,49.3070643521,52.75815015,55.1579997396,56.647898314,56.3019378355,55.621772257,50.9435878333,47.0838742007,39.0638760703,40.1175420079,45.804760983,48.9004000744,56.015322598,65.1996161176,71.0216690308,77.1307417114,81.6093307357,95.5276686408,91.539638195,98.8551311473,100,81.5113602302,56.4923656494,68.6553985835,82.6441967033,93.4196747499,98.4164471053,88.7350436674,
El Salvador,60,GDP Deflator,22024,"Value US$, 2015 prices",6179,11.2263648718,12.4890147763,13.4310183443,16.4658955841,19.504564604,19.6653271188,22.3894782354,25.4033371123,26.8550538239,29.4981396942,33.144051167,37.2020287076,44.8498069855,31.6661604328,35.0402903088,40.7788212562,47.5279380565,37.9921419237,40.8112007072,42.2084577294,45.8351516002,50.3299840528,55.8300970237,59.5010063355,61.5162139407,64.1172235792,64.755577646,66.8760126289,69.0936093661,70.1318751698,72.2140043234,74.1755293686,77.3411363762,80.6875034858,84.2232997764,87.1962271627,87.1440817839,89.4500630689,94.7404345914,97.1553013437,97.7153924523,98.7049049558,100,100.6547604747,101.6423780391,103.3868164966,104.265961216,104.9477086409,111.50938257439999,119.8990747011,124.994234008
Equatorial Guinea,61,GDP Deflator,22024,"Value US$, 2015 prices",6179,8.3419951343,8.6076902229,9.9986525617,10.3567006615,10.6915121683,12.7452361555,15.1692758069,15.6667521685,13.9407172535,16.1872102803,17.41355163,17.3101703598,19.1990062976,24.9237516789,29.0641074189,31.0576393285,29.0205407711,34.8042574788,35.0516185311,36.5250929248,32.9172195797,24.8749169639,29.0402008482,34.0863177542,33.539864904,23.8963557117,32.4575658315,47.2813411433,41.1699010262,42.1583123978,50.5195112095,61.9009916451,86.1581368722,96.8693787446,108.8968462521,139.6708399723,104.8674266107,124.8794113144,153.4168633397,148.6831289008,151.9967375137,149.9477196812,100,93.5650074803,107.6579752015,123.2517973583,113.1466377863,105.005747728,128.7882592722,119.6356435152,118.5935674454
Eritrea,178,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,49.0259924122,54.2397217454,45.4935348058,52.0167503394,49.802750758,47.7642597714,45.940113659,40.8091298079,49.5938701608,44.2042169292,51.206801596,67.0387355047,65.4461251109,56.3936858338,60.5037754942,67.9369142299,85.1074780776,94.1142105254,97.2616459238,104.2381143859,101.0818260849,102.6827372352,100,100.542080984,97.8663929689,91.207186881,86.7954301787,92.9978007495,94.6498607768,99.3801463819,108.0833227735
Estonia,63,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,40.9066520303,41.8762786009,42.7705145818,43.6673698152,44.4669053254,42.3870815816,44.6884195469,45.6214591736,40.915840637,42.4246328769,46.8053291602,58.2946853158,67.1381351108,71.1817859353,78.3090994854,95.9255423354,109.5343177457,103.6520222763,100.6297083613,111.3374134742,107.09660926870001,115.1320460893,118.3990011343,100,101.9187207393,107.8237732307,118.1706476742,115.6112391802,117.330805112,128.7816431393,133.4705635834,148.6786460614
Eswatini,209,GDP Deflator,22024,"Value US$, 2015 prices",6179,52.4728856507,54.5071118837,47.8039628966,43.2063566356,47.561134405,52.5749289676,61.0140391859,80.3402082053,83.0929845114,76.0445477724,81.2127723272,64.7989180533,47.6528757773,50.6927001225,60.9122477027,66.1167070928,62.4615771503,65.7821971576,68.5719550347,73.6189602463,72.2656112896,75.2090195208,85.778355932,77.9146457954,81.1909633857,72.8506093077,69.0217756076,70.0131573631,61.4843242304,54.6943279578,80.7881165284,98.2710754023,106.3671577985,103.9288049971,104.8984167504,98.7865355514,105.719157002,126.2727749099,134.1177161849,128.9946686492,116.8537378706,111.3884945809,100,93.0199980953,105.1613437278,108.8762147651,102.1541283962,91.9293677948,101.4975902728,94.0511841989,89.9960141945
Ethiopia,238,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,60.8539749026,56.9301576687,56.943692071,54.445511912,54.7796647616,51.763521589,46.6860861422,48.2276225375,44.1608908909,42.0138472822,47.2025016332,48.8446140681,53.4772230547,59.4344816509,67.5923854362,82.265648255,83.2441854381,69.0222060944,70.6608021834,90.0681179226,89.8070349828,94.7844518243,100,106.351105728,103.30519152870001,101.0146267236,107.5721928178,105.8758456237,102.9578625367,117.1736711216,147.5655004957
Ethiopia PDR,62,GDP Deflator,22024,"Value US$, 2015 prices",6179,34.4411308584,38.173771188,37.9956479056,40.5869346164,45.660449384,49.2271438765,51.2003716396,51.5547393108,52.3906615164,53.3131449596,55.5062890787,68.9761030595,85.8202673053,83.837575399,82.1303549047,78.0743236142,78.8863017005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,66,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.6098994531,31.4288013817,37.6261885708,37.5857943686,36.9785292889,41.7910866006,45.8086221628,55.0027130856,53.062522633,52.4542153617,50.7928600407,49.2056454502,49.6193141721,52.5595157308,51.2928357329,47.4996365773,47.3978609829,49.4541202322,52.5923750168,56.0468406937,58.8229910227,62.4559943614,65.7575558829,67.7902878533,68.0606949362,53.138749666,57.2110973872,50.4383620475,48.6901762199,52.3483194451,65.0387664828,72.704377029,79.4611488275,80.5227765337,89.231016818,92.135049389,76.1358551112,80.8677912355,94.6335045243,98.1988180435,98.9093327672,108.5680522602,100,102.7142924543,105.7924551551,106.5512573648,104.5421311607,102.5930385346,104.7566512546,100.9699324438,102.2457976132
Finland,67,GDP Deflator,22024,"Value US$, 2015 prices",6179,20.8256819475,25.7416275507,29.9898740759,32.3059589426,33.924332629,35.7344086216,40.8968996784,46.94189027,45.2969416554,44.2204423765,41.4032868359,41.6122445081,42.4556564716,54.3710543071,65.3940025132,73.9996746907,76.8409114053,90.7210280214,87.0717151424,79.3050252487,63.2872668371,70.4864342553,87.8598580272,83.454932232,75.3798886887,75.4955042715,72.9628945099,64.1298854967,64.3448410401,68.311959131,82.0767921367,90.8421827521,91.828008579,93.4848700619,104.802133375,115.5719577204,111.5487535615,106.6915751195,114.9228741433,109.3789890537,115.9208028139,117.7228565649,100,99.8243556273,102.7829863275,109.59897655,105.4481189994,109.3470885429,115.6891913524,108.3922733347,118.5639882349
France,68,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.8170455716,25.6943950586,32.785283262,32.4154798781,34.524659716,41.00585605,47.984044653,53.9577015308,46.8589945903,43.4352558928,41.0703086878,38.3484328003,39.332127267,53.6050362305,63.2856116363,65.8960248105,63.5463391763,76.4346529761,75.6469413172,82.2099692233,78.0950082723,80.3957243143,90.4302479524,89.4358506713,79.0737292545,78.975078726,75.8266945733,66.5915529914,65.9771469538,70.824261406,86.5132485486,96.7232680242,98.7488148129,101.7603798774,113.8611559337,124.7452509641,118.3829332957,114.0710021424,120.8654556004,113.0105032534,117.690568958,118.2798181327,100,100.2583458153,102.9250360229,108.6641388994,104.324170142,109.4644126426,114.9640847926,105.2314261136,111.8769655535
French Polynesia,70,GDP Deflator,22024,"Value US$, 2015 prices",6179,26.6572616087,29.0909022991,38.0261003152,39.8069446119,41.9552620389,48.2769593107,57.6993874388,65.4507948305,56.417813258,51.5622436638,50.7988168263,49.7497948288,51.5839600975,72.6678310567,74.9707836282,76.9730149341,74.4312506365,87.6250670725,85.5403307179,92.2825903222,87.246554996,90.1208239937,101.0129133064,96.5275621173,90.7333772342,91.3444377602,87.1191943805,74.1328485539,71.859159742,74.9065541017,90.6676971868,100.0787401006,101.3526973297,103.4535979386,114.7030348661,123.1052183176,118.6013912867,112.7470561866,118.3882163156,109.8023971754,115.8386604592,117.3264637014,100,100.7972151411,102.5507038414,105.915327623,101.2340287426,104.7588122421,108.9526668286,98.5976690518,101.4950271461
Gabon,74,GDP Deflator,22024,"Value US$, 2015 prices",6179,19.632475513,30.0773619868,35.2629070806,36.2615080549,38.7218657556,43.3655271307,54.7343140619,75.4022129304,64.7341652949,62.5725955396,55.549576558,54.243001366,57.1348198332,54.5315342642,64.4426717711,57.2272783872,56.7264801378,70.2392875047,65.9075514653,70.3960371346,66.4623474641,48.8469547375,55.0594623224,61.0107294413,54.1868471261,44.3438302175,51.0744107384,56.9121987387,50.7534459086,53.892584774,63.8113534097,75.7324677701,91.4806593146,101.7198440029,115.3217740004,148.9248038015,115.9943000243,128.9065933899,152.4595038637,136.7667618228,132.6269516456,131.3984878435,100,95.5770896279,101.2719027227,113.4661907937,109.229972253,100.9890073184,131.3945203016,127.2628807395,115.7067562245
Gambia,75,GDP Deflator,22024,"Value US$, 2015 prices",6179,94.66040584,117.0410457185,132.2703212317,123.2528657627,128.2067773422,145.1487761547,164.4140463127,185.5879282948,166.5382352444,156.1952761331,160.039714819,152.3407747608,185.9136310826,123.6575912958,134.1744155468,160.1403623768,160.7127446798,169.3586504746,160.5875763268,160.5191878692,164.7238055812,162.6081705123,169.7170670663,175.6918639785,165.7570207088,167.2060956064,151.7322078319,137.3801654694,114.0261811073,95.480157136,78.611090347,85.5416145656,93.5943160921,96.535981257,113.7344183409,130.6308836213,113.7143905904,114.2677137835,113.6129179982,108.3611408919,102.4024619372,92.8294193331,100,104.4337960541,102.1891237725,105.7889213403,108.1121141614,107.3910111632,115.3573982829,119.7652372722,118.4652363631
Georgia,73,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,55.4192835807,56.7329088034,57.9443967878,59.1594332682,60.2426234824,62.4648241726,62.3604744353,46.9740704346,50.3753250287,50.6039200253,50.6052383096,53.5584943481,65.0122677585,74.1983019743,81.9235433136,95.5788981915,117.3772340374,102.5129535661,104.291773787,119.8677544591,122.939023213,123.6948526827,121.4477626153,100,98.3974629464,100.6766090548,104.0483796818,98.4198707324,95.7077295827,101.8353992524,122.1793316997,146.4151456615
Germany,79,GDP Deflator,22024,"Value US$, 2015 prices",6179,25.2796788446,28.0080515846,31.128374981,31.4205427863,35.1264771029,42.0498934185,48.0531895928,51.096868094,42.8119086352,41.6993572191,40.7434645072,37.2804096455,36.8048188585,51.3944675223,62.8857720838,65.4478197314,62.8977167395,75.6726792186,75.9480181997,84.9913697816,83.3966593899,86.7086065924,100.129016172,95.9362609987,83.4784259102,82.8297617766,79.6673630184,68.5571657247,67.4562891462,71.9230450074,87.39130158,97.2174153092,97.7624767471,99.0102039609,109.934496897,118.7280844632,114.6715626892,110.0308124132,116.7249658648,109.5001549816,115.3715306593,117.44900931,100,101.0614223163,104.7631732762,111.7166728971,108.1567626784,112.4184196819,119.9240310066,112.2464441069,121.1262184259
Ghana,81,GDP Deflator,22024,"Value US$, 2015 prices",6179,38.1651106176,41.5994723728,45.4526701141,47.9541061837,50.9336706357,54.5162588347,59.0392313758,64.3722905455,70.4632899142,74.8167004511,77.7471113967,80.5519981339,83.0994109016,84.7729511773,86.8692252056,89.933468892,86.4675798324,99.2578409246,106.0001360401,100.347672141,82.9505230472,73.2879463001,83.6287035583,85.7436670621,81.7920287888,84.8208494828,83.7870752949,51.9102218112,52.9650492295,58.6379892113,68.98038433,76.1871461885,86.6898218145,98.4001175628,114.3858448608,120.7579291199,104.8820459933,120.388576972,129.8082676649,125.8984693389,133.732104841,111.6910562595,100,108.5909338259,108.0048855404,113.27306849,108.0535802905,110.1583899309,119.0274992409,107.1120875442,112.4878952565
Greece,84,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.4363261743,22.3531405576,23.6677832717,24.187065316,27.2742276969,31.1133576472,37.0871949493,38.4341907843,35.9498582316,37.9320673008,34.7052505919,33.0579909476,32.1108833506,37.6662541971,44.8703854268,49.9812973629,49.9850615581,61.8125474559,64.3946468146,70.6831141845,67.2542786734,70.6589491848,81.3028754598,84.2212166347,79.1099275206,76.8250517687,76.9730311015,65.4114399073,64.9482800957,70.5950633059,87.5828479022,99.306605061,101.6885886847,106.164074018,119.7916111504,133.7779256155,130.1306668903,123.8446273435,131.2356064073,120.9637039343,122.4434644614,119.9785407249,100,99.1601061994,101.558421924,105.9924691363,100.7024710391,101.9737970592,107.161933096,102.758236276,110.4097926617
