# File: A_biocrops_R_AEZ,,,,,,,,,,,,,,
# Description: Sets the name of the bioenergy crop in regions and AEZs,,,,,,,,,,,,,,
# Original source: Patrick Luckow's biomass work,,,,,,,,,,,,,,
region,old_AgSupplySector,old_AgSupplySubsector,old_AgProductionTechnology,old_LandNode2,old_LandNode3,old_LandNode4,old_LandLeaf,AgSupplySector,AgSupplySubsector,AgProductionTechnology,LandNode2,LandNode3,LandNode4,LandLeaf
Western Europe,biomass,biomassAEZ11,biomassAEZ11IRR,AgroForest_NonPastureAEZ11,CropLandAEZ11,biomassAEZ11,biomassAEZ11IRR,biomass,miscanthusAEZ11,miscanthusAEZ11IRR,AgroForest_NonPastureAEZ11,CropLandAEZ11,miscanthusAEZ11,miscanthusAEZ11IRR
Western Europe,biomass,biomassAEZ12,biomassAEZ12IRR,AgroForest_NonPastureAEZ12,CropLandAEZ12,biomassAEZ12,biomassAEZ12IRR,biomass,miscanthusAEZ12,miscanthusAEZ12IRR,AgroForest_NonPastureAEZ12,CropLandAEZ12,miscanthusAEZ12,miscanthusAEZ12IRR
Western Europe,biomass,biomassAEZ04,biomassAEZ04RFD,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,biomassAEZ04RFD,biomass,miscanthusAEZ04,miscanthusAEZ04RFD,AgroForest_NonPastureAEZ04,CropLandAEZ04,miscanthusAEZ04,miscanthusAEZ04RFD
Western Europe,biomass,biomassAEZ07,biomassAEZ07RFD,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,biomassAEZ07RFD,biomass,miscanthusAEZ07,miscanthusAEZ07RFD,AgroForest_NonPastureAEZ07,CropLandAEZ07,miscanthusAEZ07,miscanthusAEZ07RFD
Western Europe,biomass,biomassAEZ08,biomassAEZ08RFD,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,biomassAEZ08RFD,biomass,miscanthusAEZ08,miscanthusAEZ08RFD,AgroForest_NonPastureAEZ08,CropLandAEZ08,miscanthusAEZ08,miscanthusAEZ08RFD
Western Europe,biomass,biomassAEZ09,biomassAEZ09RFD,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,biomassAEZ09RFD,biomass,miscanthusAEZ09,miscanthusAEZ09RFD,AgroForest_NonPastureAEZ09,CropLandAEZ09,miscanthusAEZ09,miscanthusAEZ09RFD
Western Europe,biomass,biomassAEZ10,biomassAEZ10RFD,AgroForest_NonPastureAEZ10,CropLandAEZ10,biomassAEZ10,biomassAEZ10RFD,biomass,miscanthusAEZ10,miscanthusAEZ10RFD,AgroForest_NonPastureAEZ10,CropLandAEZ10,miscanthusAEZ10,miscanthusAEZ10RFD
Western Europe,biomass,biomassAEZ11,biomassAEZ11RFD,AgroForest_NonPastureAEZ11,CropLandAEZ11,biomassAEZ11,biomassAEZ11RFD,biomass,miscanthusAEZ11,miscanthusAEZ11RFD,AgroForest_NonPastureAEZ11,CropLandAEZ11,miscanthusAEZ11,miscanthusAEZ11RFD
Western Europe,biomass,biomassAEZ12,biomassAEZ12RFD,AgroForest_NonPastureAEZ12,CropLandAEZ12,biomassAEZ12,biomassAEZ12RFD,biomass,miscanthusAEZ12,miscanthusAEZ12RFD,AgroForest_NonPastureAEZ12,CropLandAEZ12,miscanthusAEZ12,miscanthusAEZ12RFD
Eastern Europe,biomass,biomassAEZ08,biomassAEZ08IRR,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,biomassAEZ08IRR,biomass,willowAEZ08,willowAEZ08IRR,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,willowAEZ08,willowAEZ08IRR
Eastern Europe,biomass,biomassAEZ09,biomassAEZ09IRR,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,biomassAEZ09IRR,biomass,willowAEZ09,willowAEZ09IRR,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,willowAEZ09,willowAEZ09IRR
Eastern Europe,biomass,biomassAEZ10,biomassAEZ10IRR,AgroForest_NonPastureAEZ10,CropLandAEZ10,biomassAEZ10,biomassAEZ10IRR,biomass,willowAEZ10,willowAEZ10IRR,AgroForest_NonPastureAEZ10,AllForestLandAEZ10,willowAEZ10,willowAEZ10IRR
Eastern Europe,biomass,biomassAEZ11,biomassAEZ11IRR,AgroForest_NonPastureAEZ11,CropLandAEZ11,biomassAEZ11,biomassAEZ11IRR,biomass,willowAEZ11,willowAEZ11IRR,AgroForest_NonPastureAEZ11,AllForestLandAEZ11,willowAEZ11,willowAEZ11IRR
Eastern Europe,biomass,biomassAEZ12,biomassAEZ12IRR,AgroForest_NonPastureAEZ12,CropLandAEZ12,biomassAEZ12,biomassAEZ12IRR,biomass,willowAEZ12,willowAEZ12IRR,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,willowAEZ12,willowAEZ12IRR
China,biomass,biomassAEZ13,biomassAEZ13IRR,AgroForest_NonPastureAEZ13,CropLandAEZ13,biomassAEZ13,biomassAEZ13IRR,biomass,willowAEZ13,willowAEZ13IRR,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,willowAEZ13,willowAEZ13IRR
Western Europe,biomass,biomassAEZ13,biomassAEZ13IRR,AgroForest_NonPastureAEZ13,CropLandAEZ13,biomassAEZ13,biomassAEZ13IRR,biomass,willowAEZ13,willowAEZ13IRR,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,willowAEZ13,willowAEZ13IRR
China,biomass,biomassAEZ14,biomassAEZ14IRR,AgroForest_NonPastureAEZ14,CropLandAEZ14,biomassAEZ14,biomassAEZ14IRR,biomass,willowAEZ14,willowAEZ14IRR,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,willowAEZ14,willowAEZ14IRR
USA,biomass,biomassAEZ14,biomassAEZ14IRR,AgroForest_NonPastureAEZ14,CropLandAEZ14,biomassAEZ14,biomassAEZ14IRR,biomass,willowAEZ14,willowAEZ14IRR,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,willowAEZ14,willowAEZ14IRR
Western Europe,biomass,biomassAEZ14,biomassAEZ14IRR,AgroForest_NonPastureAEZ14,CropLandAEZ14,biomassAEZ14,biomassAEZ14IRR,biomass,willowAEZ14,willowAEZ14IRR,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,willowAEZ14,willowAEZ14IRR
China,biomass,biomassAEZ15,biomassAEZ15IRR,AgroForest_NonPastureAEZ15,CropLandAEZ15,biomassAEZ15,biomassAEZ15IRR,biomass,willowAEZ15,willowAEZ15IRR,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,willowAEZ15,willowAEZ15IRR
Eastern Europe,biomass,biomassAEZ15,biomassAEZ15IRR,AgroForest_NonPastureAEZ15,CropLandAEZ15,biomassAEZ15,biomassAEZ15IRR,biomass,willowAEZ15,willowAEZ15IRR,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,willowAEZ15,willowAEZ15IRR
USA,biomass,biomassAEZ15,biomassAEZ15IRR,AgroForest_NonPastureAEZ15,CropLandAEZ15,biomassAEZ15,biomassAEZ15IRR,biomass,willowAEZ15,willowAEZ15IRR,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,willowAEZ15,willowAEZ15IRR
Western Europe,biomass,biomassAEZ15,biomassAEZ15IRR,AgroForest_NonPastureAEZ15,CropLandAEZ15,biomassAEZ15,biomassAEZ15IRR,biomass,willowAEZ15,willowAEZ15IRR,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,willowAEZ15,willowAEZ15IRR
China,biomass,biomassAEZ16,biomassAEZ16IRR,AgroForest_NonPastureAEZ16,CropLandAEZ16,biomassAEZ16,biomassAEZ16IRR,biomass,willowAEZ16,willowAEZ16IRR,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,willowAEZ16,willowAEZ16IRR
Eastern Europe,biomass,biomassAEZ16,biomassAEZ16IRR,AgroForest_NonPastureAEZ16,CropLandAEZ16,biomassAEZ16,biomassAEZ16IRR,biomass,willowAEZ16,willowAEZ16IRR,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,willowAEZ16,willowAEZ16IRR
USA,biomass,biomassAEZ16,biomassAEZ16IRR,AgroForest_NonPastureAEZ16,CropLandAEZ16,biomassAEZ16,biomassAEZ16IRR,biomass,willowAEZ16,willowAEZ16IRR,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,willowAEZ16,willowAEZ16IRR
Western Europe,biomass,biomassAEZ16,biomassAEZ16IRR,AgroForest_NonPastureAEZ16,CropLandAEZ16,biomassAEZ16,biomassAEZ16IRR,biomass,willowAEZ16,willowAEZ16IRR,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,willowAEZ16,willowAEZ16IRR
China,biomass,biomassAEZ17,biomassAEZ17IRR,AgroForest_NonPastureAEZ17,CropLandAEZ17,biomassAEZ17,biomassAEZ17IRR,biomass,willowAEZ17,willowAEZ17IRR,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,willowAEZ17,willowAEZ17IRR
