# File: EDGAR_C2F6.csv
# Title: C2F6 Emissions by country and main source category
# Units: Gg
# Comments: Date calculated December 15 2011 3:12 pm 
# Years: years 1970 to 2008
# Source:  European Commission Joint Research Centre (JRC)/PBL Netherlands Environmental Assessment Agency. Emission Database for Global Atmospheric Research (EDGAR) release version 4.2.
IPCC_Annex,World_Region,ISO_A3,Name,IPCC,IPCC_description,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Annex_I,OECD_Europe,CHE,Switzerland,2C,Production of metals,7.51E-03,7.71E-03,6.86E-03,7.01E-03,7.15E-03,6.48E-03,6.42E-03,6.55E-03,6.52E-03,6.81E-03,7.08E-03,6.74E-03,6.18E-03,6.24E-03,6.50E-03,5.97E-03,7.86E-03,7.27E-03,7.28E-03,7.39E-03,7.56E-03,6.84E-03,4.23E-03,2.58E-03,1.75E-03,1.64E-03,1.57E-03,1.49E-03,1.86E-03,1.26E-03,1.09E-03,8.74E-04,6.79E-04,7.13E-04,7.27E-04,7.27E-04,4.14E-04,3.00E-04,3.00E-04
Annex_I,OECD_Europe,CHE,Switzerland,2F5,F-gas as Solvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00E-05,3.00E-04,5.00E-04,6.00E-04,1.70E-03,1.50E-03,2.40E-04,1.31E-03,1.25E-03,1.33E-03,1.41E-03
Annex_I,OECD_Europe,CHE,Switzerland,2F7,Semiconductor/Electronics Manufacture,,,,,,,,,,,,,,,,6.30E-08,8.40E-08,1.05E-07,1.47E-07,1.68E-07,2.10E-07,2.73E-07,3.36E-07,3.57E-07,4.62E-07,2.21E-07,2.10E-07,9.20E-04,1.12E-03,1.25E-03,1.11E-03,9.20E-04,1.34E-05,3.00E-07,3.00E-07,3.00E-07,3.00E-07,3.00E-07,3.00E-07
Annex_I,OECD_Europe,CHE,Switzerland,2F9,Other F-gas use,,9.80E-06,1.96E-05,2.94E-05,3.92E-05,4.90E-05,5.88E-05,6.86E-05,7.84E-05,8.82E-05,9.80E-05,1.08E-04,1.18E-04,1.28E-04,1.38E-04,1.48E-04,1.57E-04,1.67E-04,1.77E-04,1.87E-04,1.97E-04,2.07E-04,2.16E-04,2.26E-04,2.36E-04,2.46E-04,2.56E-04,2.66E-04,2.75E-04,2.85E-04,2.95E-04,3.05E-04,3.15E-04,3.24E-04,3.34E-04,3.44E-04,3.54E-04,3.64E-04,3.74E-04
Annex_I,OECD_Europe,DEU,Germany,2C,Production of metals,3.23E-02,4.20E-02,8.57E-02,1.01E-01,1.28E-01,1.26E-01,1.29E-01,1.38E-01,1.69E-01,1.27E-01,1.25E-01,1.24E-01,1.23E-01,1.26E-01,1.34E-01,1.29E-01,9.57E-02,9.26E-02,9.25E-02,9.14E-02,8.69E-02,7.57E-02,4.33E-02,3.74E-02,3.16E-02,2.99E-02,4.77E-02,4.53E-02,4.47E-02,4.36E-02,4.50E-02,4.41E-02,4.30E-02,4.38E-02,4.39E-02,4.36E-02,4.13E-02,4.13E-02,4.09E-02
Annex_I,OECD_Europe,DEU,Germany,2F1,Refrigeration and Air Conditioning,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82E-05,2.57E-04,5.02E-04,8.30E-04,1.24E-03,1.66E-03,2.09E-03,2.51E-03,2.93E-03,3.35E-03,3.77E-03,4.19E-03,4.62E-03
Annex_I,OECD_Europe,DEU,Germany,2F7,Semiconductor/Electronics Manufacture,,9.00E-05,1.80E-04,4.41E-04,6.66E-04,8.46E-04,1.19E-03,1.27E-03,1.69E-03,2.29E-03,2.80E-03,2.88E-03,3.02E-03,3.83E-03,5.59E-03,4.64E-03,5.76E-03,7.13E-03,9.90E-03,1.06E-02,1.08E-02,1.18E-02,1.30E-02,1.40E-02,1.40E-02,1.46E-02,1.79E-02,2.24E-02,2.23E-02,2.43E-02,2.39E-02,1.63E-02,1.66E-02,1.86E-02,1.72E-02,1.54E-02,1.42E-02,1.32E-02,1.21E-02
Annex_I,OECD_Europe,DEU,Germany,2F9,Other F-gas use,,2.60E-06,5.20E-06,7.80E-06,1.04E-05,1.30E-05,1.56E-05,1.82E-05,2.08E-05,2.34E-05,2.60E-05,2.85E-05,3.15E-05,3.40E-05,3.65E-05,3.90E-05,4.15E-05,4.45E-05,4.70E-05,4.95E-05,5.20E-05,5.45E-05,5.75E-05,6.00E-05,6.25E-05,6.50E-05,6.80E-05,7.05E-05,7.30E-05,7.55E-05,7.80E-05,8.10E-05,8.35E-05,8.60E-05,8.85E-05,9.10E-05,9.37E-05,9.62E-05,9.88E-05
Annex_I,OECD_Europe,DNK,Denmark,2C,Production of metals,,,2.50E-07,4.50E-07,1.05E-06,1.50E-07,4.00E-07,5.00E-08,5.00E-08,,,,,,7.10E-04,8.20E-04,8.20E-04,8.20E-04,8.20E-04,8.20E-04,5.30E-04,6.00E-04,7.99E-04,1.07E-03,1.09E-03,1.40E-03,1.37E-03,1.75E-03,1.72E-03,1.69E-03,1.61E-03,1.63E-03,1.63E-03,1.63E-03,1.63E-03,1.63E-03,1.63E-03,1.63E-03,1.63E-03
Annex_I,OECD_Europe,DNK,Denmark,2F7,Semiconductor/Electronics Manufacture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43E-08,6.43E-08,6.43E-08,6.43E-08,6.43E-08,6.43E-08,6.43E-08,6.43E-08,6.43E-08
