Input drivers,,,,,,
INPUT_TABLE,,,,,,
Variable ID,,,,,,
10000,,,,,,

electricity,biomass,Biomass (conv),1990,NMVOC,0.003882497,0.001862386,0.011807576,0.177016497,0.074325878,0.004309864,0.004213471,0,0.981072483,0.180094149,0.001198269,0.068066007,0.019309818,0.027968571
electricity,biomass,Biomass (IGCC),1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
electricity,biomass,Biomass (IGCC)_CCS,1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
H2 Central Production,coal chemical,coal chemical,1990,NMVOC,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
H2 Central Production,coal chemical,coal chemical CCS,1990,NMVOC,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
H2 Central Production,biomass to H2,biomass to H2,1990,NMVOC,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
H2 Central Production,biomass to H2,biomass to H2 CCS,1990,NMVOC,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
building,gas,gas,1990,NMVOC,0.006161405,0.013702217,0.014135793,0.001701476,0.025053519,0.003885139,0.004728392,0.002629172,0.00571653,0.001969924,0.040533574,0.007780633,0.001903437,0.000236506
building,coal,coal,1990,NMVOC,0.159131144,0.128065776,0.553253899,0.022254703,0.336159857,0.067746929,0.113911944,0,0.105343555,0.032976858,0.069468623,0.170313221,0.432780397,0.003544422
building,biomass,biomass,1990,NMVOC,1.657471237,1.898386297,0.861118269,1.10854318,2.020797086,1.015418728,0.21920957,9.929141743,1.679072663,1.872460954,7.119601281,0.301623112,0.554540571,3.584809293
building,refined liquids,refined liquids,1990,NMVOC,0.016127852,0.038340121,0.049627516,0.005326301,0.08356191,0.024406252,0.007783618,0.02472715,0.02695287,0.006309756,0.046438841,0.032358449,0.040414702,0.000779085
building,trad biomass,trad biomass,1990,NMVOC,0,0,0,0,0,0,0.439698948,0,0.631389231,0.279437548,1.14201795,0,0,0.678957941
industry,energy-use,biomass,1990,NMVOC,0.056871271,0.00372882,0.047435754,0.007470904,0.105231115,0.081020244,0.008477492,0.070543362,0.083857978,0.310443047,0.999287393,0.102237209,1.909120335,0.673455492
industry,energy-use,gas,1990,NMVOC,0.053847624,0.042296518,0.025508565,0.003910192,0.065294286,0.053509411,0.054898103,0.007084372,0.002220907,0.048711837,0.117141342,0.013940365,0.067607968,0.067608253
industry,energy-use,coal,1990,NMVOC,0.107818688,0.084689996,0.051075606,0.007829347,0.130738252,0.107141486,0.109922053,0.014184985,0.004446904,0.09753534,0.234551217,0.027912687,0.13537092,0.13537149
industry,energy-use,refined liquids,1990,NMVOC,0.061348837,0.048188611,0.029062021,0.004454899,0.07439007,0.060963509,0.062545652,0.008071257,0.002530289,0.055497611,0.13345965,0.01588232,0.077026057,0.077026382
transportation,air,refined liquids,1990,NMVOC,0.068906658,0.069002091,0.065986249,0.070553269,0.068972477,0.060650421,0.093399389,0.051137517,0.054123622,0.060451297,0.032660356,0.066258603,0.108063759,0.091937254
transportation,rail,coal,1990,NMVOC,0,0,0.296477107,0,0,9.091294624,0.225377397,0,0.087779745,0.436163941,0,0.142056588,0,0
transportation,rail,refined liquids,1990,NMVOC,0.159014866,0.065667159,0.296477107,0.005842101,0.17078607,9.091294624,0.225377397,0,0.087779745,0.436163941,0.064077108,0.142056588,0.02864144,0.314548115
transportation,road,gas,1990,NMVOC,0.360341152,0.514423654,0.266460842,0,0.347651065,0.140531467,2.541418177,0.853927239,0,0.702619265,1.093522721,0.956881003,0,3.160523113
transportation,road,refined liquids,1990,NMVOC,0.360341152,0.514423654,0.266460842,0.058651378,0.347651065,0.140531467,2.541418177,0.853927239,0.790931402,0.702619265,1.093522721,0.956881003,0.322968834,3.160523113
transportation,domestic ship,coal,1990,NMVOC,0,0,0,0,0.17078607,0,0.225377397,0,0,0,0,0,0,0
transportation,domestic ship,refined liquids,1990,NMVOC,0.159014866,0.065667159,0.296477107,0.005842101,0.17078607,9.091294624,0.225377397,0,0.087779745,0.436163941,0.064077108,0.142056588,0.02864144,0.314548115
