# File: FAO_CL_kha_RESOURCESTAT.csv
# Title: FAO cropland area by country, year
# Units: tons
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Guyana,91,Arable land,6621,Area (1000 Ha),11,350,350,350,350,350,355,355,355,355,360,360,360,362,362,364,393,422,451,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,450,450,450,450,450,420,420,420,420,420,420,420
Haiti,93,Arable land,6621,Area (1000 Ha),11,900,900,900,900,900,900,900,900,900,900,900,768,768,768,768,770,770,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,800,800,800,900,900,900,900,900,900,900,900,900,900,1050,1000,1026.33,1000,1000
Honduras,95,Arable land,6621,Area (1000 Ha),11,1295,1305,1310,1313,1318,1324,1330,1332,1328,1330,1333,1368,1378,1384,1413,1438,1503,1504,1494,1484,1481,1476,1467,1464,1455,1451,1441,1431,1446,1462,1492,1515,1683,1650,1600,1600,1520,1520,1468,1068,1068,1068,1068,1050,1050,1050,1050,1018,1020,1020,1020
Hungary,97,Arable land,6621,Area (1000 Ha),11,5194,5192,5195,5213,5229,5225,5215,5207,5200,5193,5184,5177,5176,5129,5128,5108,5071,5046,5037,5027,5031,5019,5020,5027,5036,5043,5048,5050,5052,5054,5056,4742,4748,4749,4806,4811,4820,4819,4815,4602,4606,4606,4597,4598,4601,4597,4592,4585,4585,4392,4395
Iceland,99,Arable land,6621,Area (1000 Ha),11,120,120,120,120,120,120,120,120,120,121,122,123,124,125,126,127,129,130,131,133,133,134,134,134,134,135,135,135,135,136,136,136,135,135,135,134,133,130,129,129,129,129,129,129,129,129,125,125,124,123,123
India,100,Arable land,6621,Area (1000 Ha),11,155806,156700,157470,157732,158216,158590,159780,160070,160070,160560,159640,160460,161530,162230,163010,163189,163260,163635,163423,162955,162891,163175,162720,163278,163215,163250,163270,162810,162985,162788,162340,161970,162037,161990,161750,161501,161518,161534,161002,162717,160288,159934,159865,159450,159213,158720,158104,157920,157823,157510,157350
Indonesia,101,Arable land,6621,Area (1000 Ha),11,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18021,19500,20178,21170,21156,20860,20253,18081,18100,18129,17126,17342,17941,18500,18700,19700,20500,20200,20081,22406,24666,21946,21500,22000,22700,23600,23600,23500
Iran (Islamic Republic of),102,Arable land,6621,Area (1000 Ha),11,14980,14990,15000,15010,15020,15030,15050,15100,15120,15150,15581,16227,16901,16370,15850,15330,14969,14192,15194,12981,13550,14141,14400,14650,14900,15150,15400,15580,15400,15190,16681,16969,17332,17337,17388,17097,16502,16837,16337,14924,15861,16029,16197,16365,16533,16701,16869,17037,17205,17373,17541
Iraq,103,Arable land,6621,Area (1000 Ha),11,4600,4650,4700,4750,4800,4800,4850,4850,4850,4848,4848,5000,5000,5100,5100,5100,5100,5200,5250,5250,5250,5250,5250,5250,5250,5250,5250,5300,5000,5000,5400,5300,5600,5050,4800,4800,4400,4650,4550,4100,4300,4650,4500,4500,5200,4800,4950,4000,3650,4000,4000
Ireland,104,Arable land,6621,Area (1000 Ha),11,1590,1567,1561,1526,1492,1429,1424,1394,1381,1377,1363,1333,1283,1253,1234,1208,1183,1158,1133,1108,1083,1058,1017,1041,1029,1007,980,1027,1052,1041,1029,1003,1023,1014,1030,1059,1035,1085,1076,1077,1188,1177,1182,1205,1184,1153,1060,1101,1089,1011,1062
Isle of Man,264,Arable land,6621,Area (1000 Ha),11,25,25,24.7,24.2,24.4,23.2,23.1,22.8,22.6,21.8,21.2,21,20.8,21.1,20.9,21.2,21.4,21.6,21.9,22.2,22,21.8,21.5,21.3,21.1,20.9,20.7,20.5,20.3,20.1,19.9,19.7,19.5,19.3,19.1,18.9,18.7,18.5,18.3,18.1,17.9,18.5,17.6,18.1,17.8,28,27.5,27.3,25.6,25.4,25
Israel,105,Arable land,6621,Area (1000 Ha),11,318,309,320,322,312,322,323,322,321,325,326,325,334,339,336,325,325,325,325,325,325,325,315,328,327,338,339,339,338,343,347,347,347,349,345,336,336,335,333,338,342,349,334,311,311,303,305.8,299.7,304.3,302.5,302
Italy,106,Arable land,6621,Area (1000 Ha),11,12862,12795,12674,12598,12524,12444,12389,12346,12221,11984,9511,9393,9288,9319,9330,9364,9359,9451,9476,9483,9466,9458,9128,9097,9050,9086,9065,8958,8993,9012,8900,8750,8550,8329,8283,8332,8253,8329,8545,8479,8339,8287,7959,7979,7780,7376,7171,7472,6927,7037,6800
Jamaica,109,Arable land,6621,Area (1000 Ha),11,166,166,166,166,150,150,155,155,155,145,145,145,145,145,145,145,145,145,135,135,135,125,115,115,115,115,115,115,120,119,126,136,174,161,158,155,150,145,143,140,140,135,135,133,128,128,125,120,120,120,120
Japan,110,Arable land,6621,Area (1000 Ha),11,5660,5620,5570,5530,5478,5453,5377,5320,5162,5196,5125,5057,5015,4978,4945,4921,4911,4898,4882,4874,4861,4852,4843,4836,4830,4820,4814,4806,4792,4768,4740,4714,4685,4660,4630,4602,4569,4535,4503,4474,4444,4419,4397,4379,4360,4343,4326,4308,4294,4282,4254
Jordan,112,Arable land,6621,Area (1000 Ha),11,270,272,273,275,276,278,279,281,282,284,285,287,288,290,291,293,294,296,297,299,290.6,296.1,304,212.1,276.8,276.8,303,308,292.8,179.2,149.4,259.7,229,211,252,180,187,190,190,190,192,195,177,209,185,190,140.3,149.5,200.8,177.6,175.6
Kazakhstan,108,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35055,35040,34683,31742,29000,26500,24205,21914,21535,22144,22674,22561,22630,22630,22710,22720,22720,23400,23585,24035
Kenya,114,Arable land,6621,Area (1000 Ha),11,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3800,3800,3800,3800,3800,3800,3800,3800,3800,3725,4574,4593,4655,4882,5273,4990,5097,5292,5060,5452,5438,4671,4814,4678,5096,4891,5128,5091,5146,5258,5264,5310,5300,5300,5500,5500,5500
Kiribati,83,Arable land,6621,Area (1000 Ha),11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Kuwait,118,Arable land,6621,Area (1000 Ha),11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4,5,5,5,6,6,6,7,10,13,12,12,11,11,11,11.3,11.3,11.2,11,11
Kyrgyzstan,113,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,1352,1305,1258,1357,1358,1360,1368,1356,1344,1345,1344,1334,1284,1283.7,1280,1279.5,1276,1276.2,1275.9
Lao Peoples Democratic Republic,120,Arable land,6621,Area (1000 Ha),11,640,640,640,640,640,650,650,658,660,665,670,700,720,740,750,760,770,775,780,780,780,785,785,790,792,793,793,795,795,799,799,799,799,822,828,824,854,862,875,877,880,950,980,1000,1050,1100,1070,1300,1360,1400,1400
Latvia,119,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688,1687,1710,1002,1060,1079,1059,987,970,958,973,957,1009,1092,1205,1188,1170,1168,1173,1158
Lebanon,121,Arable land,6621,Area (1000 Ha),11,172,180,180,190,206,206,216,226,230,235,240,240,240,237,234,231,228,224,220,210,210,208,208,208,204,200,188,186,184,183,181,180,180,180,180,183,185,187,129,129,120,130,136,136.3,141.7,136,134.2,123,123,114,112
Lesotho,122,Arable land,6621,Area (1000 Ha),11,358,353,353,355,355,360,360,365,365,368,360,355,355,355,372,355,288,289,305,292,298,288,283,297,304,287,326,339,301,317,319,332,330,325,320,322,325,325,325,330,330,300,300,310,323,303,325,358,335,322,308
Liberia,123,Arable land,6621,Area (1000 Ha),11,378,376,376,373,373,370,370,368,368,366,366,366,366,366,366,366,371,371,371,371,371,375,380,380,380,390,390,400,400,350,350,350,350,350,350,350,370,380,380,380,380,380,380,380,380,385,385,400,430,450,450
Libya,124,Arable land,6621,Area (1000 Ha),11,1700,1710,1710,1715,1715,1720,1720,1725,1725,1725,1730,1730,1735,1735,1740,1740,1745,1750,1750,1753,1758,1765,1775,1780,1787,1795,1800,1800,1805,1805,1810,1815,1815,1825,1870,2028,2028,1815,1815,1815,1815,1815,1815,1750,1750,1750,1750,1750,1750,1750,1750
Liechtenstein,125,Arable land,6621,Area (1000 Ha),11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.5,3.5,3.5
Lithuania,126,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2885,2828,2590,2866,2866,2878,2890,2953,2878,1631,1639,1525,1616.4,1906.5,1878.8,1835.6,1861.5,2053.7,2127.4,2185.7
Luxembourg,256,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,62,62,62,62,60,60,61,62,61.77,61.95,61.9
Madagascar,129,Arable land,6621,Area (1000 Ha),11,1925,1940,1955,1970,1985,2000,2015,2030,2050,2060,2070,2090,2100,2124,2296,2289,2443,2500,2520,2540,2560,2570,2600,2620,2650,2670,2680,2700,2710,2720,2750,2780,2900,2900,2900,2900,2900,2900,2900,2900,2950,2950,2950,2950,3000,3000,3000,3200,3500,3500,3500
Malawi,130,Arable land,6621,Area (1000 Ha),11,1300,1400,1450,1500,1700,1750,1700,1800,1850,1800,1950,2000,2050,2050,2000,2000,2000,2050,2050,1900,2000,2100,2000,2050,2050,2150,2150,2150,2200,2250,2350,2300,2300,2100,2300,2400,2450,2600,2700,2750,2850,2850,3000,3000,3200,3300,3000,3400,3500,3600,3600
Malaysia,131,Arable land,6621,Area (1000 Ha),11,830,840,850,860,870,880,890,900,910,920,930,940,950,960,968,980,990,990,995,1000,1020,1080,1140,1200,1280,1360,1420,1500,1600,1700,1800,1850,1909,1822,1820,1820,1820,1820,1820,1820,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
Maldives,132,Arable land,6621,Area (1000 Ha),11,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mali,133,Arable land,6621,Area (1000 Ha),11,1638,1643,1648,1653,1658,1662,1668,1668,1668,1718,1718,1718,1718,1768,1818,2017,2015,2015,2010,2010,2013,2013,2013,2013,2033,2036,2036,2053,2053,2053,2063,2163,3060,3160,3339,4570,4565,4565,4565,4589,4615,4900,5942,5002,5603,5677,5808,5761,6261,6261,6861
Malta,134,Arable land,6621,Area (1000 Ha),11,17,16,15,14,13,13,13,13,13,13,13,13,13,13,12,12,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,9,8,8,8,9,9,9.3,9,8.2,8,8,8,8,9,9
Marshall Islands,127,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Martinique,135,Arable land,6621,Area (1000 Ha),11,5,5,5,5,5,6,9,9,9,9,9,11,11,11,11,11,11,11,12,12,11,11,11,13,12,12,11,10,9,10,8,8,8,9,8,9,10,10,10,11,11,10,10,10,10,9,11,11,10.5,6.7,8.9
Mauritania,136,Arable land,6621,Area (1000 Ha),11,267,267,267,266,265,266,267,268,278,278,239,239,226,196,192,195,196,192,195,210,230,250,270,280,300,320,340,360,380,400,410,420,431,470,498,488,488,488,488,488,450,400,400,400,400,400,400,400,390,450,450
Mauritius,137,Arable land,6621,Area (1000 Ha),11,90,91,91,91,92,89,94,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,99,98,97,96,94,93,92,91,90,91,89,90,91,89,88,87,85,83,81,80,80,80,78
Mayotte,270,Arable land,6621,Area (1000 Ha),11,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7.5,7.5,7.5,7.4,7.4,7.4,7.6,7.7,7.9,8,8.3,8.4,8.7,8.9
Mexico,138,Arable land,6621,Area (1000 Ha),11,22420,22340,22260,22180,22100,22020,21930,21850,21770,21688,21820,21950,22080,22200,22340,22480,22600,22740,22870,23000,23050,23138,23138,23138,23300,23500,23700,23900,24100,24300,24450,24600,24800,24900,25100,25000,25000,25100,25100,25100,25100,25100,25100,25100,25000,24500,24453,25152,25073,25307,25491
Micronesia (Federated States of),145,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2
Mongolia,141,Arable land,6621,Area (1000 Ha),11,624,724,729,850,867,885,819,777,746,744,775,776,789,801,827,950,1100,1154,1160,1182,1212,1251,1312,1334,1353,1306,1334,1365,1374,1370,1368,1362,1352,1321,1321,1321,1227,1346,1190,1174,751,756,704,704,695,696,703,834,622,615,612
Montenegro,273,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,174,173,173,172,172
Montserrat,142,Arable land,6621,Area (1000 Ha),11,4,4,4,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Morocco,143,Arable land,6621,Area (1000 Ha),11,6590,6590,6650,6700,6800,6900,6900,7000,7000,7076,7983,7131,7195,7200,7293,7315,7450,7658,7504,7530,7690,7767,7823,7834,7878,7957,8166,8174,8457,8707,8717,8934,8999,9124,8921,9096,8980,9033,8818,8767,8488,8402,9055,8210,8122,8064,8065,8055,7870.4,7829.6,7943.8
Mozambique,144,Arable land,6621,Area (1000 Ha),11,2444,2450,2455,2460,2470,2474,2500,2600,2700,2785,2785,2800,2850,2850,2870,2870,2870,2870,2870,2870,2920,3000,3000,3100,3150,3200,3300,3350,3400,3450,3500,3520,3520,3570,3650,3750,3900,4000,3950,3900,4000,4450,4500,4600,4500,4800,4800,4800,5200,5200,5200
Myanmar,28,Arable land,6621,Area (1000 Ha),11,9900,9910,9920,9930,9930,9940,9940,9940,9950,9970,9970,9970,9485,9494,9505,9518,9550,9558,9567,9573,9605,9620,9613,9591,9593,9596,9574,9552,9538,9567,9554,9534,9579,9534,9540,9543,9559,9556,9690,9909,9990,9862,9851,9912,10059,10336,10577,10694,10794,10811,10786
Namibia,147,Arable land,6621,Area (1000 Ha),11,641,641,641,645,645,645,648,648,648,650,652,652,652,652,652,654,654,655,655,655,655,655,660,660,660,660,660,660,660,660,660,660,698,747,816,816,816,816,816,816,816,816,815,815,814,813,800,800,800,800,800
Nauru,148,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,149,Arable land,6621,Area (1000 Ha),11,1806,1806,1816,1806,1806,1806,1819,1819,1819,1953,1953,2055,2165,2180,2195,2210,2225,2240,2255,2270,2287,2287,2287,2287,2287,2287,2287,2287,2287,2287,2324,2324,2324,2324,2324,2324,2324,2324,2324,2354,2357,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355
Netherlands,150,Arable land,6621,Area (1000 Ha),11,992,966,949,937,928,897,873,864,845,824,770,765,761,762,759,769,775,780,785,790,788,790,801,817,826,844,861,869,876,879,881,887,887,885,882,895,901,906,914,910,905,916,906,1127.5,1111,1069.8,1059.8,1066.6,1054.7,1059,1042.4
Netherlands Antilles,151,Arable land,6621,Area (1000 Ha),11,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
New Caledonia,153,Arable land,6621,Area (1000 Ha),11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,9,9,9,9,9,9,9,8,7,7,7,7,7,6,6,5,5,6,6,7,7,8,8,7,7,7
New Zealand,156,Arable land,6621,Area (1000 Ha),11,3000,2990,2985,2980,2980,2975,2975,2970,2970,2965,2960,2951,2912,2889,2819,2761,2736,2702,2661,2616,2560,2547,2585,2562,2522,2585,2616,2519,2534,2645,2356,2075,1930,1707,1579,1558,1555,1555,1555,1500,1500,476,415,420,425,399,431,453,471,499,471
Nicaragua,157,Arable land,6621,Area (1000 Ha),11,1030,1030,1030,1030,1030,1040,1040,1040,1040,1040,1040,1040,1050,1060,1060,1060,1060,1065,1069,1070,1150,1150,1150,1200,1220,1220,1250,1280,1300,1300,1300,1320,1350,1350,1650,1650,1750,1800,1850,1917,1925,2000,2050,1955,2050,1970,1950,1900,1900,1900,1900
Niger,158,Arable land,6621,Area (1000 Ha),11,11499,11499,11499,11499,11498,11498,11498,12175,12173,11197,11226,11173,10810,9776,9776,9774,9774,9774,9952,10212,9772,9852,10002,9772,9770,9770,9502,9489,9594,11036,12092,12987,12986,12985,13985,13985,13985,13984,13984,13980,13975,13970,14070,14125,14148,14167,14958,14955,14940,14940,14940
Nigeria,159,Arable land,6621,Area (1000 Ha),11,26400,26500,26600,26700,26800,26850,26925,26925,27300,27420,27420,27420,27420,27420,27500,27590,27730,27730,27780,27850,27850,28013,28175,28338,28500,28825,28947,29177,29353,29539,29800,29922,30044,30165,30371,28700,28200,30000,30000,30000,30000,32000,32000,33000,35000,37000,37500,37000,34000,36000,36000
Niue,160,Arable land,6621,Area (1000 Ha),11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Norfolk Island,161,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,163,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Norway,162,Arable land,6621,Area (1000 Ha),11,856,854,852,850,848,846,843,841,825,812,804,793,788,791,790,793,798,804,828,815,825,838,846,852,854,865,865,870,878,860,887,878,885,896,987,995,897,898,882,879,881,878,871,869,862,858,852.6,844.7,835,826,817
Occupied Palestinian Territory,299,Arable land,6621,Area (1000 Ha),11,100,100,100,100,100,101,101,101,101,102,102,102,102,103,103,103,103,104,104,104,108,108,108,108,107,108,109,110,111,109,106,104,104,104,111,107,105,84,99,102,102,102,101,102,99,94,87,83,63.35,43.7,44.5
Oman,221,Arable land,6621,Area (1000 Ha),11,20,20,20,20,20,20,20,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,27,27,29,32,33,33,35,35,35,35,29,29,28,28,29,31,31,31,31,31,31,29,28,26,28,30,37,32.2,32
Pacific Islands Trust Territory,164,Arable land,6621,Area (1000 Ha),11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,
Pakistan,165,Arable land,6621,Area (1000 Ha),11,16731,17028,17150,18591,19108,19537,19101,19075,19075,19167,19114,18944,19191,19345,19595,19508,19837,19713,19943,19994,19996,20061,19971,19940,20202,20249,20499,21393,20570,20484,20500,20600,20860,20960,20984,21090,21351,21330,21234,21292,21488,21606,21578,21295,21265,21475,21047,20417,20523,20548,20714
Palau,180,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Panama,166,Arable land,6621,Area (1000 Ha),11,438,438,438,438,438,438,434,434,432,432,432,432,432,433,433,433,434,434,434,435,440,450,455,460,465,470,475,480,490,499,499,500,500,500,500,500,510,520,530,548,548,548,548,548,548,540,540,540,540,540,540
Papua New Guinea,168,Arable land,6621,Area (1000 Ha),11,75,75,75,75,75,80,85,85,91,102,108,114,120,126,132,138,144,160,165,167,172,175,179,180,183,185,186,188,190,192,192,192,193,193,194,195,197,199,203,205,210,220,225,230,240,250,250,300,300,300,300
Paraguay,169,Arable land,6621,Area (1000 Ha),11,700,711,729,761,784,809,809,805,805,805,805,805,804,920,1040,1160,1270,1390,1500,1620,1741,1780,1820,1860,1900,1950,1990,2030,2070,2110,2150,2300,2300,2450,2600,2600,2600,2850,2950,3020,3105,3210,3280,3370,3460,3550,3640,3747,3810,3900,3900
Peru,170,Arable land,6621,Area (1000 Ha),11,1796,1929,2200,2419,2511,2417,2426,2450,2461,2558,2558,2850,2900,2900,2910,3000,3103,3145,3171,3220,3245,3285,3333,3374,3376,3385,3400,3400,3400,3500,3550,3600,3600,3602,3600,3600,3600,3600,3650,3700,3650,3650,3650,3600,3650,3650,3650,3650,3650,3650,3650
Philippines,171,Arable land,6621,Area (1000 Ha),11,4901,4880,4860,4840,4820,4800,4760,4730,4700,4670,4644,4700,4750,4800,4850,5000,5100,5150,5200,5228,5220,5240,5260,5280,5350,5400,5420,5440,5460,5480,5487,5435,5385,5335,5285,5235,5185,5135,5085,5034,4984,4935,4900,5000,5000,5100,5200,5300,5400,5400,5400
Pitcairn Islands,172,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,173,Arable land,6621,Area (1000 Ha),11,15944,15829,15733,15701,15437,15436,15291,15265,15104,15088,14980,14844,14800,14764,14781,14763,14739,14709,14652,14621,14512,14484,14474,14535,14511,14484,14480,14464,14414,14388,14360,14337,14305,14300,14210,14004,14006,14057,14072,13993,13584,13010,12587,12610,12141,12368,12502,12571,12539,10922,11098
Portugal,174,Arable land,6621,Area (1000 Ha),11,2507,2503,2499,2495,2491,2487,2483,2479,2475,2471,2467,2463,2458,2453,2448,2443,2438,2433,2428,2423,2418,2413,2408,2403,2398,2393,2388,2383,2378,2344,2309,2275,2240,2200,2153,2000,1882,1900,1715,1632,1599,1611,1532,1537,1278,1258,1096,1174,1192.8,1139,1094
Puerto Rico,177,Arable land,6621,Area (1000 Ha),11,224,213,212,191,215,187,170,164,166,152,130,115,95,95,94,94,96,98,97,74,68,67,64,66,63,64,63,77,70,65,55,52,32,33,33,33,37,51.5,54.6,59.7,64.9,68,65,65,65,64,62,60,60,60,60
Qatar,179,Arable land,6621,Area (1000 Ha),11,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,4,5,6,7,8,8,8,9,9,9,10,9,12,13,13,13,13,13,13,13,13,13.3,11.5,11.6,11.6,11.6,13,14,14,14,14,14
Republic of Korea,117,Arable land,6621,Area (1000 Ha),11,2033,1998,2010,2091,2163,2187,2196,2174,2156,2153,2134,2104,2095,2075,2061,2060,2067,2079,2069,2060,2051,2049,2032,2017,2009,2004,2007,1997,1978,1953,1927,1898,1875,1845,1783,1745,1722,1708,1699,1718,1689,1674,1659,1653,1643,1619,1597,1565,1536,1507,1492
Republic of Moldova,146,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736,1744,1759,1773,1787,1787,1798,1812,1827,1849,1843,1845,1840,1833,1820,1822,1821,1817,1813,1810
Reunion,182,Arable land,6621,Area (1000 Ha),11,53,53,53,53,53,53,54,53,53,53,53,47,47,47,47,47,47,47,46,51,53,51,50,51,51,51,51,50,47,47,46,35,35,34,33,33,33,33,37,37,36,36,35,34,35,34,33,32.8,32.8,32.3,32.7
Romania,183,Arable land,6621,Area (1000 Ha),11,9853,9922,9853,9827,9814,9797,9799,9797,9771,9733,9728,9713,9658,9703,9741,9760,9781,9803,9817,9834,9849,9870,9904,9935,9985,10005,10080,10107,9458,9450,9423,9357,9341,9339,9337,9337,9346,9325,9332,9381,9371,9376,9377,8915,8985,8939,8675,8721,8789,9146,8995
Russian Federation,185,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132008,129538,128422,127500,126024,127466,126132,124975,124374,123860,123465,122559,122146,121781,121574,121574,121649,121750,120000,121500
Rwanda,184,Arable land,6621,Area (1000 Ha),11,485,490,495,500,505,510,515,521,528,522,560,621,610,668,686,700,715,730,745,760,775,790,805,820,827,834,842,849,850,880,880,880,850,700,700,750,800,820,866,900,1000,1116,1094,1119,1116,1128,1100,1201,1210,1220,1220
Saint Helena,187,Arable land,6621,Area (1000 Ha),11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Saint Kitts and Nevis,188,Arable land,6621,Area (1000 Ha),11,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6,6,7,7,7,7,7,7,3.97,3.98,3.99,4,4,4.5,5
Saint Lucia,189,Arable land,6621,Area (1000 Ha),11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
Saint Pierre and Miquelon,190,Arable land,6621,Area (1000 Ha),11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
Saint Vincent and the Grenadines,191,Arable land,6621,Area (1000 Ha),11,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Samoa,244,Arable land,6621,Area (1000 Ha),11,10,11,11,11,11,11,11,12,12,12.5,13,13,13,13,14,15,15,15,15.5,16,16,16,16.6,17,17,17.4,17.7,18,18.5,19,19,17,17,17,17,17,17,17,16.3,14,14,13,13,12,11,10.4,10,9,7.9,8,8
San Marino,192,Arable land,6621,Area (1000 Ha),11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sao Tome and Principe,193,Arable land,6621,Area (1000 Ha),11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,4,4,5,5,6,6,7,7,8,8,8,8,8.5,9,9,8.5,8.7
Saudi Arabia,194,Arable land,6621,Area (1000 Ha),11,1140,1160,1180,1200,1220,1240,1260,1290,1320,1360,1400,1450,1500,1560,1620,1680,1740,1790,1840,1890,1940,1990,2200,2350,2550,2700,2900,3050,3200,3390,3579,3650,3672,3667,3655,3361,3639,3637,3594,3592,3600,3600,3600,3500,3500,3450,3446,3339,3196,3110,3110
