# File: FAO_For_Imp_m3_FORESTAT.csv
# Title: NA
# Units: NA
countries,country codes,item,item codes,element,element codes,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Italy,106,Roundwood + (Total),1861,Import Quantity (m3),61,4285100,4651500,3885500,3776700,3546900,4275500,4581700,4824400,4803100,4234100,4935700,5897700,6130700,4621300,5726000,5833700,5217700,5922800,6326300,5235200,4790600,4549500,5478100,5134000,4750000,4812000,4814000,5955000,6327248,6910371,5744588,4873843,6223000,5058000,3734600,4752000,5456000,5320000,6295000,5721000,5308132,4958975,5417537,5620037,5585558,4965000,4260000,3657000,4150000,4376000
Jamaica,109,Roundwood + (Total),1861,Import Quantity (m3),61,4000,2100,4600,8500,7100,19000,7700,4300,5500,2900,13600,13600,13600,13600,15000,10500,3100,4800,10500,2700,100,2800,,,5900,1200,1200,1200,52675,43108,1468,14395,16109,13345,13313,23130,18537,25046,1266,1173,2544,2926,2926,2926,4071,1247,2992,7085,12155,12155
Japan,110,Roundwood + (Total),1861,Import Quantity (m3),61,10387500,13033200,14320100,15952600,20737000,26298700,31112300,33740008,39356016,38195904,42339404,48600008,44066416,35649800,41638208,41948216,42704108,44855912,37566312,30061600,30436800,29814900,28447700,28927000,30051400,32784704,29849400,29936008,27634377,25372062,23176066,23006731,22386300,21944200,21335300,20407200,15189000,16551450,15948500,13911500,12663000,12640000,12682000,10655000,10582700,8973700,6228700,4130700,4757309,4639776
Jordan,112,Roundwood + (Total),1861,Import Quantity (m3),61,1800,1600,2500,2300,9300,4500,4200,4800,4300,400,300,400,200,200,500,400,2200,2200,2100,2700,2400,2400,37000,45300,807,924,0,953,617,,3369,80,7272,8500,9100,2200,2200,3600,7700,200,100,100,7398,7398,7398,7398,5135,531,1849,1776
Kazakhstan,108,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2580,29,29,147229,142000,0,0,76050,76050,127300,162800,156421,175326,140095,130646,101752,52461,85289,85289
Kenya,114,Roundwood + (Total),1861,Import Quantity (m3),61,100,200,300,300,300,300,,600,1700,600,300,400,300,100,,,,100,,,,,,,,0,,,15,24,,,138,138,0,201,0,0,0,0,0,580,1738,1736,8477,9599,11675,28812,17348,12622
Kiribati,83,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,4,,,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
Kuwait,118,Roundwood + (Total),1861,Import Quantity (m3),61,,,1400,1400,1800,1500,2900,2900,1000,200,,,100,,,1500,,,800,800,1300,500,500,500,500,500,500,500,4028,2084,1649,5003,27738,7285,8822,8822,8822,2300,2300,2500,2500,2500,7244,7244,7244,7244,1032,612,788,1051
Kyrgyzstan,113,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2428,33,33,2256,2300,0,3020,2700,1700,2200,4066,3915,3502,4000,4000,11799,16212,3308,3308
Lao Peoples Democratic Republic,120,Roundwood + (Total),1861,Import Quantity (m3),61,300,,100,,,,,,,,,,,,,,,,,,,,,,,0,,,,,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,266,266,266
Latvia,119,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372,151,7100,15400,7100,39000,81000,145000,136030,213600,387320,465034,805618,1086681,1217789,1697812,567749,126643,438237,448583
Lebanon,121,Roundwood + (Total),1861,Import Quantity (m3),61,25750,39702,54400,85200,71200,48400,87800,70000,59200,71800,98100,74000,56000,38000,32000,21900,21900,21900,21900,6600,6500,6500,6500,6500,7516,6303,7246,6405,5864,5798,849,2400,2000,1100,5700,2800,1800,900,400,300,300,300,38367,38367,38367,38367,38367,38367,82789,74869
Lesotho,122,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,40000,43000,32700,32700,32700,32700,32700,32700,32700,1400,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,123,Roundwood + (Total),1861,Import Quantity (m3),61,,,,5600,,,2900,,400,1400,,700,,,,5600,5600,,,,,,,,,0,,,154,,,,0,0,0,0,0,0,0,0,0,43,0,36,118,92,231,261,1449,1449
Libya,124,Roundwood + (Total),1861,Import Quantity (m3),61,100,4500,13000,9400,7700,12900,16500,13600,7500,20700,24200,37900,46300,46300,27000,106000,112800,112800,112800,73800,29800,29800,29800,29800,29800,29800,29800,29800,3910,321,1291,61,372,372,4418,4418,1118,3918,3918,518,518,518,7631,7631,7631,7631,7631,7939,16306,5099
Liechtenstein,125,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,126,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,,1600,16200,19100,101900,90100,77861,60570,96300,103700,78000,223559,287906,210097,394599,235616,208547,332142,266943
Luxembourg,256,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763803,706580,943566,1526095,442653,412573,679717,1040392,688146,657307,775291,1104364
Madagascar,129,Roundwood + (Total),1861,Import Quantity (m3),61,,100,,,,,,,100,100,,,100,,,,,,,,,,,,,0,,,,,,,,2100,2100,2100,72,0,0,0,0,0,201,201,5843,8076,7232,5775,7194,3512
Malawi,130,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,22,22,22,22,22,22,439,590,590,1573,33,33,52,146,33
Malaysia,131,Roundwood + (Total),1861,Import Quantity (m3),61,119000,114000,39000,20300,17200,12400,23200,19100,38600,109500,271300,175100,33600,36100,16900,24200,38300,41500,41500,50900,19700,19700,19700,19700,23200,21300,,,9533,69608,48959,24009,44303,137900,304400,87600,429300,638600,758000,850308,431538,120641,110550,53425,104384,98266,141387,95300,132000,93428
Maldives,132,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,300,423,499,,843,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364
Mali,133,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,120,100,100,100,100,2500,2500,2500,32,39,923,923,923,504,470,470,127,778
Malta,134,Roundwood + (Total),1861,Import Quantity (m3),61,1000,1600,1000,1700,400,500,300,500,500,400,500,500,600,400,500,500,400,1100,700,700,700,700,200,400,400,400,400,300,26585,7362,6866,1600,4800,6100,6208,800,570,1191,4340,4390,4370,184,30,20,75,14,24,89,321,323
Martinique,135,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,600,500,,,,,,,,1100,200,,,,,,,,,,0,,,1054,733,827,100,7000,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
Mauritania,136,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,0,105,52,52,52,52,37,37,80,262,1422,1422,1422,3355,370,1603,18372,31510
Mauritius,137,Roundwood + (Total),1861,Import Quantity (m3),61,,,200,100,,,,,400,300,600,700,1000,1000,1700,2000,1100,1900,2900,2400,1000,800,800,1200,1200,1700,1700,14500,,23788,26304,7540,9400,3100,9000,4330,7271,15641,14441,9000,6700,10688,19863,19863,19863,3726,3676,2714,27434,15325
Mexico,138,Roundwood + (Total),1861,Import Quantity (m3),61,37200,34500,17600,54400,33700,33100,25400,28100,57600,32200,11000,14700,7200,15900,17500,4600,4600,37100,67700,30400,25100,25100,18300,14100,12300,16600,13000,13600,37954,23748,22220,35880,74100,50600,25800,74400,22100,34100,36100,48000,63335,76000,193000,157987,186791,164455,136334,61836,29572,33310
Micronesia (Federated States of),145,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036,1058,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708
Mongolia,141,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,20,44,44,12872,12872,12117,6514,6514,6514,6514,6514,6514,6514,6514,4281,4281,1117,797
Montenegro,273,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290,1290,11047,4507,4507,4507
Morocco,143,Roundwood + (Total),1861,Import Quantity (m3),61,163800,184000,144000,150700,135600,168300,132200,134700,214600,237800,200700,195700,279100,186900,199900,262800,209500,206200,277600,205800,228300,206400,195000,223400,210000,211000,600500,319000,77623,236677,371474,286498,441800,528300,340400,414600,167000,424000,401000,458000,356093,478885,653157,653157,438404,414383,540808,105583,241446,244482
Mozambique,144,Roundwood + (Total),1861,Import Quantity (m3),61,,,1900,6000,5800,5400,,,,,,,,,,,,,,,,,,,,0,,,21,122,,,0,0,0,0,0,12574,85,115,115,1686,16187,16187,3790,4542,10880,11334,11334,12989
Myanmar,28,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,10300,190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
Namibia,147,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660,1532,1337,1624,4370,8521,8691,10843,8589,8589,8589,8589
Nauru,148,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Nepal,149,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,36,0,0,0,0,0,0,0,833,345,30,105,10,382,156,18,529
Netherlands,150,Roundwood + (Total),1861,Import Quantity (m3),61,937300,935200,1074500,1045400,1116000,1069700,1191300,1152000,1120100,820600,760700,1079900,1242100,923600,808100,1065600,939400,843000,930600,606600,463900,492900,595200,641500,600400,641300,709700,697500,121867,712035,636178,553878,499000,465000,413900,463000,590000,491000,388000,440800,514300,387700,278200,316195,391400,469300,361900,261000,236300,353754
Netherlands Antilles,151,Roundwood + (Total),1861,Import Quantity (m3),61,,,600,500,300,500,800,1700,1900,1900,1900,1900,1500,2500,2500,2500,2500,2600,2600,1400,400,400,300,300,300,300,300,1900,1399,829,640,1980,3833,897,1374,484,1486,475,288,288,691,642,1622,1622,1249,3139,5814,726,2146,
New Caledonia,153,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,800,1100,1100,600,2400,2400,2200,1100,1100,1100,,,0,200,400,148,1142,743,894,600,601,400,9,927,600,711,711,841,2412,3754,3754,4065,808,1482,1464,1284,1660
New Zealand,156,Roundwood + (Total),1861,Import Quantity (m3),61,12300,10100,14800,21900,19500,16100,14600,13300,14300,12500,9300,9100,10600,5700,7600,10100,6000,3600,4200,5200,8200,2200,2400,3400,3100,5300,10400,7200,6201,4021,11004,4695,2400,2300,2900,3300,4000,3400,5200,5050,6100,3100,2100,3000,3408,5806,4000,2325,2779,2987
Nicaragua,157,Roundwood + (Total),1861,Import Quantity (m3),61,600,800,1000,,3100,4900,,500,18300,2600,2600,700,700,3000,5000,7000,9000,11300,11300,11300,200,200,200,,,,,,,284,,,835,2300,1200,1200,329,540,277,277,400,102,194,194,1735,1948,3457,3457,1715,7183
Niger,158,Roundwood + (Total),1861,Import Quantity (m3),61,200,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,33,848,848,848,848,483,591,591,695,1104
Nigeria,159,Roundwood + (Total),1861,Import Quantity (m3),61,900,3000,2200,600,100,,,,,,,,4600,3000,3000,16000,,,,,,900,1000,1000,1000,1000,0,0,,658,,,1950,1950,1950,1950,500,0,0,500,288,64,500,723,60,742,1799,1064,488,1910
Niue,160,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island,161,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,162,Roundwood + (Total),1861,Import Quantity (m3),61,1350900,1264400,1919700,2168600,2794000,2706400,2865700,2748400,3849100,2888700,1754400,1655100,1931800,2094900,1266500,961100,871500,826500,919400,1008500,737500,867700,1100900,1021800,1359000,1750700,1733600,1071200,1022535,1076663,1077898,1156043,2624900,3723000,2470000,2862700,3520000,3085000,3348000,2837000,2709000,3015586,3029673,3255722,2508257,2702937,1945622,1049010,1478509,1640545
Oman,221,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,9500,12500,8400,7600,10600,7900,59500,25900,22500,7100,,54,970,200,200,3600,1700,1004,2206,4584,4584,6700,23700,23700,57273,57273,57273,57273,57273,57273,12812,18959
Pacific Islands Trust Territory,164,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,
Pakistan,165,Roundwood + (Total),1861,Import Quantity (m3),61,14500,25600,20100,45200,24400,22200,37500,66800,91300,205500,77000,11600,11600,50900,41000,54700,73500,59800,52000,27400,29600,18700,17400,18300,31800,36400,29900,34700,67523,91982,77275,107900,120000,125000,525000,719900,557800,502700,354900,294900,180000,205835,202254,197250,259400,224000,283000,283000,26692,46356
Palau,180,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632
Panama,166,Roundwood + (Total),1861,Import Quantity (m3),61,200,300,,1500,2200,2300,3500,3200,1100,500,2100,1100,5600,2300,2300,1600,2600,3400,2800,9000,15000,6000,6700,4500,8200,1700,1700,4800,253,8844,615,7300,6300,18400,5300,10900,1100,1100,1200,2700,241,147,78,99,6049,218,225,312,124,430
Papua New Guinea,168,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,143,270,,20,20,220,0,0,0,0,0,0,0,0,0,0,0,450,1115,614,1892
Paraguay,169,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5676,5676,5495,0,0,0,300,300,300,300,20,20,20,20,20,20,20,20
Peru,170,Roundwood + (Total),1861,Import Quantity (m3),61,1200,1200,3800,14100,13400,5000,4300,7100,6800,6200,12500,20900,23600,5400,3600,2700,1200,100,2300,200,600,600,300,100,100,100,100,100,84,3318,2010,173,900,5000,4400,5500,11000,3600,1000,0,0,392,5126,2466,3256,11690,7841,112,703,36
Philippines,171,Roundwood + (Total),1861,Import Quantity (m3),61,200,400,600,600,600,,700,,1700,1000,1400,100,200,900,1500,2400,2500,2000,9000,9100,5700,,,,1400,1400,2500,397900,320871,378519,548623,530000,463900,698500,877500,892500,458000,585000,562400,550400,434175,355787,324442,308570,200184,196000,109751,45881,41589,88908
Poland,173,Roundwood + (Total),1861,Import Quantity (m3),61,394000,161400,211200,100600,191000,231000,209500,181000,175000,162000,134000,53000,151000,154000,154000,143000,204000,164000,222000,179500,161400,211900,153100,165900,151000,141400,201000,248000,839,15836,12545,1682,39036,411500,376900,275000,371500,591200,732400,882200,726600,668600,954700,2045400,1828100,2091945,1871487,1888631,2323826,3449978
Portugal,174,Roundwood + (Total),1861,Import Quantity (m3),61,69900,76300,88300,111000,91100,133300,134500,185800,160800,257800,239200,475500,317100,334600,374600,504100,249300,172900,361700,475500,451000,305200,327500,388000,440000,452000,881000,820000,780667,590000,638493,428843,1113000,1638000,1473800,1680000,2123900,1433000,1342139,1152000,911000,469000,364000,363523,337000,747000,521589,473102,856259,1212848
Qatar,179,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,200,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,1021,1387,347,,3808,3005,2830,1821,88,194,185,5912,8735,8262,37673,46073,44946,2518,3172,4914,6030,1417
Republic of Korea,117,Roundwood + (Total),1861,Import Quantity (m3),61,609100,622400,482400,678600,1336700,1783200,2905800,2650000,3155000,3756000,4167000,5015000,4891400,5180400,6323000,7807000,9427000,9084000,6141000,5558000,5671000,6524000,5773000,5578000,5772700,6462000,7319000,7787000,10061971,8881115,7990939,7861519,7807000,8328000,8030000,8266000,4370000,6623000,6734000,7118000,7657000,8616948,7848641,7569253,7690978,8488151,6406319,5013771,6002733,7132699
Republic of Moldova,146,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26200,28300,28300,28300,30500,30500,30500,30500,30500,30500,30500,30500,45459,41364,41364,41364,41364,41364
Reunion,182,Roundwood + (Total),1861,Import Quantity (m3),61,500,,,300,,100,,,,,,,,,300,1100,1100,2600,2600,3100,3100,3000,2900,2900,2800,2800,1700,1600,89,903,4800,1639,280,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518
Romania,183,Roundwood + (Total),1861,Import Quantity (m3),61,1000,,2300,1000,2500,3500,5700,8800,13100,5000,11800,15200,260300,200600,141000,20000,32000,386000,483000,173000,33000,26000,110000,110000,60000,57000,11388,22230,419928,94754,131896,30180,17500,79800,66300,25700,1600,2000,20400,25000,88000,21000,144000,336037,426060,411050,214891,397851,611067,686449
Russian Federation,185,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21932,139165,961165,951000,474000,327000,228000,153000,527000,645000,228902,852000,1004000,730000,516000,324950,286000,60000,893,996
Rwanda,184,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,0,0,0,0,0,0,0,0,0,0,115,115,115,115,6368,1686,1242,8828
Saint Helena,187,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,188,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,295,63,179,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117
Saint Lucia,189,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,1261,327,836,6769,6769,6769,6769,6769,6769,6769,6769,6769,6769,6769,6769,6769,6769,6769,6769,6769,6769
Saint Pierre and Miquelon,190,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,16,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
Saint Vincent and the Grenadines,191,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,285,,98,2051,2174,506,283,300,300,300,300,300,300,2481,2481,2481,5093,6032,6120,5556,617
Samoa,244,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,400,200,200,200,200,100,,,300,1200,,,,,,,,,,0,,,,62,857,,0,1697,74,74,74,17,17,17,1714,7430,13626,1383,137,73,250,232,810,1356
Sao Tome and Principe,193,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,65,73,73,79,79,79,79,106,106,106,106,29,10,10,10,10
Saudi Arabia,194,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,13100,103500,59400,68200,79600,32100,52900,43300,93000,114400,126400,141200,153900,167000,168200,168200,147400,78600,143900,143900,143900,22300,4539,7731,18748,15500,32162,31100,16700,6000,8200,18500,29500,25200,25200,25200,28766,28766,28766,28766,28766,28766,43418,34522
Senegal,195,Roundwood + (Total),1861,Import Quantity (m3),61,23800,22900,8400,6000,9300,15400,24000,25800,33100,33100,9000,26000,23300,25100,24500,20600,18600,40000,36700,36700,33900,29000,33200,25300,19500,22700,22700,23200,,84,820,17369,67069,16000,24500,16800,9800,6800,9400,21000,22900,22900,22900,22900,22900,22900,12928,10784,4910,4260
Serbia,272,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88000,85000,96000,82000,105310,74000
Serbia and Montenegro,186,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93800,24220,24316,99300,171400,79100,53400,70300,13700,22800,41200,30800,13000,28000,,,,,,
Seychelles,196,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4165,1078,117,,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
Sierra Leone,197,Roundwood + (Total),1861,Import Quantity (m3),61,5700,,,,2600,1600,1700,1600,2000,1700,300,300,,,,,1800,,,,,,,,,0,,,,,124,,0,0,200,81,81,174,89,89,41,322,349,349,205,147,159,189,140,117
Singapore,200,Roundwood + (Total),1861,Import Quantity (m3),61,,,931800,1079000,1427400,1425700,1527100,1714800,1898600,1830800,1436400,1351800,1212900,1027100,1490800,1386100,1577200,1519000,1155400,830000,551300,560900,318200,122300,120600,66900,77600,74400,80691,77184,70253,28680,87142,71900,55900,27600,35000,42800,27300,37200,34900,19999,15420,21167,18723,16813,21701,16429,16365,15649
Slovakia,199,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5054,48900,86700,66400,287200,138400,127000,129000,1550200,134000,162000,246000,104531,404518,413000,807703,549044,650237,1015674
Slovenia,198,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210194,134598,291000,294900,258000,333000,293900,490832,495910,439720,423780,376368,402824,409084,415985,253922,241103,261323,306861,448185
Somalia,201,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,5300,28100,400,2000,3900,1200,1400,8300,700,300,300,300,300,2690,10,1053,0,,,50,,0,0,20,20,193,947,947,947,947,947,947,947,947,240,1322,1322,1543,1543
South Africa,202,Roundwood + (Total),1861,Import Quantity (m3),61,,,18300,126700,121500,83400,82100,78200,84700,52700,44700,50400,63400,56900,41600,33100,40300,47200,51200,48100,36600,32400,29800,27200,3876,1989,4414,3270,5655,9080,102404,1363,17138,130900,114500,11900,15600,13000,13000,11819,16000,21683,37994,37493,50713,50713,60491,35416,8147,2786
Spain,203,Roundwood + (Total),1861,Import Quantity (m3),61,176400,226600,219700,312800,421200,450200,471500,901600,929500,981200,1136500,1714600,1698100,859900,1125700,1137438,1197300,1566200,1625800,638200,639000,733000,893000,1277800,1181100,1136100,1841100,1937400,2488024,2202974,2321025,1432000,1519300,2265400,1973800,2136500,4150000,3243000,3789318,4201000,3380000,3215000,2991000,3684000,3883000,4001893,2878360,1870634,2026710,2356127
Sri Lanka,38,Roundwood + (Total),1861,Import Quantity (m3),61,3300,3600,4100,3100,3200,2400,400,300,700,,,,,,,,,,,,,,,,,0,,,3877,15362,7027,821,11474,925,925,269,269,269,269,370,413,488,1182,877,1030,795,178,165,2667,425
Sudan,276,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599
Sudan (former),206,Roundwood + (Total),1861,Import Quantity (m3),61,1900,3300,200,100,1000,1000,500,,,,,,,,,,,,,,,,,,,0,,,40,,,718,718,10618,10618,13918,13200,2871,110,110,110,113,126,126,60,3302,1766,1025,599,
Suriname,207,Roundwood + (Total),1861,Import Quantity (m3),61,16100,10800,8500,12200,6400,21500,14500,9000,9200,15000,29900,13700,8100,5900,5400,4800,4000,1500,1500,,,,,,,0,,,,,,,232,232,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,209,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,7000,25000,20000,15000,15000,15000,,,,,,41300,72100,72100,72100,72100,72100,72100,72100,53600,36200,,,,,,,,,,,,,,,,,,,,,,
Sweden,210,Roundwood + (Total),1861,Import Quantity (m3),61,1091300,608100,350500,394900,379900,419700,344700,398900,577900,822800,374600,644600,1259500,3021300,3001600,2867800,1347800,2484900,3116600,4830100,2881900,2581800,3496500,4208000,5584000,7290500,7411700,6563200,1956915,4707174,4896191,4309933,6677000,7667000,5017000,7744000,9300700,10428000,11897535,9660840,10170749,9697445,9670742,8849968,6893697,7469196,6922875,5213376,6791223,7519014
Switzerland,211,Roundwood + (Total),1861,Import Quantity (m3),61,651500,492700,539700,448800,544000,498000,369800,615000,937800,558400,338200,429400,657400,389700,344600,411903,436200,446800,661800,600000,334000,324000,306000,514000,474000,347000,405000,405000,293762,328872,434569,400711,422000,264000,263000,273700,303000,377000,304130,252230,381143,380000,246357,212696,381143,864173,348745,312735,299029,261027
Syrian Arab Republic,212,Roundwood + (Total),1861,Import Quantity (m3),61,19600,19300,22500,24900,14700,18300,34900,42200,24400,40900,50000,44800,14000,29600,40000,40500,66400,43400,60400,94700,64900,82000,22400,22400,22400,22400,22400,22400,136,1190,2570,1851,17168,11100,5000,5279,5279,1900,1100,1400,1144,27792,17552,17552,7563,13899,4303,4151,11887,145
Tajikistan,208,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,216,Roundwood + (Total),1861,Import Quantity (m3),61,1000,2300,,,6900,6000,2900,1200,500,4200,12500,23600,,17100,13500,65800,180200,227100,104900,160000,148900,229000,201700,172400,155800,288500,438900,1182100,2035949,1544574,2036453,1370383,1549600,1378800,927000,896300,278000,466000,493000,517000,679000,137857,468330,466353,503826,531579,303762,225996,320252,314550
The former Yugoslav Republic of Macedonia,154,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,5225,1300,1300,1100,1200,1100,38321,13561,13942,2545,980,796,1214,1082,933,66579,119693,69044
Timor-Leste,176,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,475,475,78,78,78,78,78,79
Togo,217,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,400,400,,,,,,,,,700,800,200,400,200,300,200,200,200,200,200,100,100,2800,,,40,,600,3200,500,200,1000,2000,5000,5000,1000,201,1022,1022,270,2197,1818,669,390,419
Tonga,219,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,1632,,165,165,83,647,649,1884,1970,1970,1954,1744,2278,2278,2710,2706,2706,4702,4698,3772
Trinidad and Tobago,220,Roundwood + (Total),1861,Import Quantity (m3),61,7900,2700,1900,2700,2200,1600,2800,6000,1900,3600,1400,500,700,1400,600,5100,500,500,1300,1300,2300,12200,5200,2600,1500,1700,1100,2800,,11217,5139,4202,5000,3800,2000,2300,20600,13600,10320,7000,6669,3619,2958,3813,2958,7108,4282,2729,5138,13435
