# File: USDA_cost_data.csv,,,,,,,,,,,,,,,,,,,,,
# Title: USDA_cost_data,,,,,,,,,,,,,,,,,,,,,
# Units: varying,,,,,,,,,,,,,,,,,,,,,
# Description: Itemized costs and returns of crop production by crop; USA national averages,,,,,,,,,,,,,,,,,,,,,# Original source: http://www.ers.usda.gov/Data/CostsAndReturns/,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,
Crop, Item,Unit,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Corn,Primary output,USD/acre,366.459,327.6,259.76,228.15,244.26,264.96,310.88,317.37,359.97,259.26,350.52,467.61,627.84,560.04,688.47,836.58,801.22,719.16,601.8
Corn,Secondary output,USD/acre,3.47,3.77,3.12,2.55,2.41,1.96,1.94,2.25,2.38,1.17,1.35,1.33,1.52,1.18,0.92,1.19,1.33,1.35,1.38
Corn,Total output,USD/acre,369.929,331.37,262.88,230.7,246.67,266.92,312.82,319.62,362.35,260.43,351.87,468.94,629.36,561.22,689.39,837.77,802.55,720.51,603.18
Rice,General farm overhead,USD/acre,,,,,22.11,22.73,23.32,23.94,24.38,25.66,24.24,24.68,25.28,25.86,26.17,27.85,28.41,26.21,25.09
Rice,Total allocated overhead,USD/acre,,,,,295.09,295.01,305.65,305.82,322.86,328.52,314.49,323.78,345.65,374.75,379.13,419.5,448.06,413.86,412.3
Rice,Total costs listed,USD/acre,,,,,578.89,594.12,586.32,614.37,651.81,703.64,680.97,719.74,826.08,822.1,825.24,945.27,982.38,1016.38,1013.6
Rice,Value of production less total costs listed,USD/acre,,,,,-210.1216,-265.4484,-305.7601,-164.676,-49.4803,-234.4979,-60.33,60.02,461.28,250.16,-29.494,124.6688,183.72,378.85,138.5
Rice,Value of production less operating costs,USD/acre,,,,,84.9684,29.5616,-0.1101,141.144,273.3797,94.0221,254.16,383.8,806.93,624.91,349.636,544.1688,631.78,792.71,550.8
Rice,Price,USD/cwt,,,,,5.46,4.74,3.97,6.3,8.11,6.59,72,76,72,74,70.42,72.44,78,83,82
Rice,Yield,cwt/acre,,,,,67.54,69.34,70.67,71.38,74.27,71.19,8.62,10.26,17.88,14.49,11.3,14.77,14.95,16.81,14.05
Rice,Enterprise size,acres,,,,,391,391,391,391,391,391,511,511,511,511,511,511,511,569,569
Sugarbeets,Primary output,USD/acre,,,,,767.872,809.564,792.141,919.08,810.48,922.281,1117.954,1068.984,,,,,,,
Sugarbeets,Secondary output,USD/acre,,,,,0.14,0.12,0.1,0.09,0.1,0.11,0.11,0.11,,,,,,,
Sugarbeets,Total output,USD/acre,,,,,768.012,809.684,792.241,919.17,810.58,922.391,1118.064,1069.094,,,,,,,
Sugarbeets,Seed,USD/acre,,,,,44.21,44.55,46.63,46.46,50.13,51.22,55.09,62.02,,,,,,,
Sugarbeets,Fertilizer,USD/acre,,,,,46.86,59.24,47.41,57.45,59.22,67.28,72.5,89.03,,,,,,,
Sugarbeets,Chemicals,USD/acre,,,,,94.28,96.12,95.96,96.39,94.73,97.53,101.14,103.31,,,,,,,
Sugarbeets,Custom operations,USD/acre,,,,,36.04,32.23,32.77,34.54,34.92,36.24,36.86,37,,,,,,,
Sugarbeets,"Fuel, lube, and electricity",USD/acre,,,,,50.9,49.81,47.95,50.53,55.93,71.38,80.38,87.14,,,,,,,
Sugarbeets,Repairs,USD/acre,,,,,41.42,43.6,45.78,47.38,48.26,48.95,50.37,51.66,,,,,,,
Sugarbeets,Purchased irrigation water,USD/acre,,,,,5.77,4.99,4.86,5.06,5.38,5.5,5.98,5.94,,,,,,,
Sugarbeets,Freight and dirt hauling,USD/acre,,,,,14.23,14.75,14.78,16.07,16.53,18.56,23.62,25.31,,,,,,,
Sugarbeets,Miscellaneous,USD/acre,,,,,16.43,16.41,16.43,17.48,18.36,19.81,20.98,22.97,,,,,,,
Sugarbeets,Hauling allowance,USD/acre,,,,,7.69,7.31,7.43,7.29,7.45,8.32,8.64,9.65,,,,,,,
Sugarbeets,Interest on operating capital,USD/acre,,,,,10.31,6.02,2.92,1.93,3.03,7.08,10.75,10.85,,,,,,,
Sugarbeets,Total operating costs,USD/acre,,,,,352.76,360.41,348.06,366,379.04,415.23,449.03,485.58,,,,,,,
Sugarbeets,Hired labor,USD/acre,,,,,58.7,60.45,61.76,63.53,66.62,69,72,74.13,,,,,,,
Sugarbeets,Opportunity cost of unpaid labor,USD/acre,,,,,83.04,82.98,83.87,84.51,88.72,88.07,92.39,93.5,,,,,,,
Sugarbeets,Capital recovery of machinery and equipment,USD/acre,,,,,142.07,145.28,149.83,154.5,155.82,162.2,172.07,179.32,,,,,,,
Sugarbeets,Opportunity cost of land (rental rate),USD/acre,,,,,126.61,123.83,124.03,123.68,124.91,137.49,135.93,145.7,,,,,,,
Sugarbeets,Taxes and insurance,USD/acre,,,,,15.88,14.96,15.24,15.6,15.91,19.02,20.13,21.59,,,,,,,
Sugarbeets,General farm overhead,USD/acre,,,,,34.46,34.31,34.95,35.92,36.66,39.04,40.48,41.53,,,,,,,
Sugarbeets,Coop share,USD/acre,,,,,22.06,24.48,28.56,29.39,30.08,31.98,32.6,30.28,,,,,,,
Sugarbeets,Total allocated overhead,USD/acre,,,,,482.82,486.29,498.24,507.13,518.72,546.8,565.6,586.05,,,,,,,
Sugarbeets,Total costs listed,USD/acre,,,,,835.58,846.7,846.3,873.13,897.76,962.03,1014.63,1071.63,,,,,,,
Sugarbeets,Value of production less total costs listed,USD/acre,,,,,-67.568,-37.016,-54.059,46.04,-87.18,-39.639,103.434,-2.536,,,,,,,
Sugarbeets,Value of production less operating costs,USD/acre,,,,,415.252,449.274,444.181,553.17,431.54,507.161,669.034,583.514,,,,,,,
Sugarbeets,Yield,tons/acre,,,,,22.4,20.3,20.1,22.2,22,21.1,25.1,25.2,,,,,,,
Sugarbeets,Price,USD/ton,,,,,34.28,39.88,39.41,41.4,36.84,43.71,44.54,42.42,,,,,,,
Sugarbeets,Enterprise size,acres,,,,,276,276,276,276,276,276,276,276,,,,,,,
Sugarbeets,Irrigated,percent,,,,,39,39,39,39,39,39,39,39,,,,,,,
Sugarbeets,Dryland,percent,,,,,61,61,61,61,61,61,61,61,,,,,,,
Oats,Primary output,USD/acre,,,,,,,,,,94.168,106.032,144.55,225.09,155.35,130.782,190.098,228.93,268.356,263.858
Oats,Secondary output (straw),USD/acre,,,,,,,,,,46.15,46.55,46.77,62.97,59.35,46.47,55.59,65.47,63.63,65.74
Oats,Secondary output (hay),USD/acre,,,,,,,,,,8.24,13.53,21.95,37.81,21.05,15.77,37.59,45.54,46.24,40.67
Oats,Total output,USD/acre,,,,,,,,,,148.558,166.112,213.27,325.87,235.75,193.022,283.278,339.94,378.226,370.268
Oats,Seed,USD/acre,,,,,,,,,,8.59,11.11054482,9.98,12.49,12.54,11.97,12.69,15.76,15.47,16.28
Oats,Fertilizer,USD/acre,,,,,,,,,,23.87,32.63,28.16,49.78,46.07,36.48,47.68,51.78,46.02,46.19
Oats,Chemicals,USD/acre,,,,,,,,,,2.21,2.3,2.29,2.38,2.53,2.38,2.38,2.45,2.8,2.76
Oats,Custom operations,USD/acre,,,,,,,,,,7.44,10.7,7.44,8.97,9.18,9.24,9.15,9.53,9.04,10.14
Oats,"Fuel, lube, and electricity",USD/acre,,,,,,,,,,14.79,20.23,17.24,23.27,15.53,19.38,24.36,24.2,23.35,24.09
Oats,Repairs,USD/acre,,,,,,,,,,11.42,13.86,12.33,12.62,12.94,13.11,13.57,13.92,14.35,14.57
Oats,Straw baling,USD/acre,,,,,,,,,,2.37,3.25,2.38,2.7,2.84,2.87,2.92,3.03,3.01,3.38
Oats,Interest on operating capital,USD/acre,,,,,,,,,,1.2,1.6,1.79,0.93,0.15,0.1,0.06,0.08,0.05,0.04
Oats,Total operating costs,USD/acre,,,,,,,,,,71.89,95.68054482,81.61,113.14,101.78,95.53,112.81,120.75,114.09,117.45
Oats,Hired labor,USD/acre,,,,,,,,,,0.71,1.03,0.67,0.77,0.79,0.81,0.79,0.84,0.79,0.87
Oats,Opportunity cost of unpaid labor,USD/acre,,,,,,,,,,31.13,41.31,31.6,34.46,35.29,35.96,35.99,37.74,36.53,38.83
Oats,Capital recovery of machinery and equipment,USD/acre,,,,,,,,,,52.23,64.04,58.76,63.55,67.94,69.91,74.03,77.37,81.49,84.08
Oats,Opportunity cost of land (rental rate),USD/acre,,,,,,,,,,61.9,63.09,61.5,67.85,78.56,80.95,84.53,95.47,101.02,108.31
Oats,Taxes and insurance,USD/acre,,,,,,,,,,4.27,5.41,5.09,5.79,5.55,5.78,6.07,6.23,6.08,6.29
Oats,General farm overhead,USD/acre,,,,,,,,,,8.22,9.94,8.2,8.67,8.93,9.07,9.31,9.59,9.6,9.99
Oats,Total allocated overhead,USD/acre,,,,,,,,,,158.46,184.82,165.82,181.09,197.06,202.48,210.72,227.24,235.51,248.37
Oats,Total costs listed,USD/acre,,,,,,,,,,230.35,280.5005448,247.43,294.23,298.84,298.01,323.53,347.99,349.6,365.82
Oats,Value of production less total costs listed,USD/acre,,,,,,,,,,-81.792,-114.3885448,-34.16,31.64,-63.09,-104.988,-40.252,-8.05,28.626,4.448
Oats,Value of production less operating costs,USD/acre,,,,,,,,,,76.668,70.43145518,131.66,212.73,133.97,97.492,170.468,219.19,264.136,252.818
Oats,Yield,bu/acre,,,,,,,,,,63.2,56.4,59,61,65,61.4,53.1,58.7,62.7,65.8
Oats,Price,USD/bu,,,,,,,,,,1.49,1.88,2.45,3.69,2.39,2.13,3.58,3.9,4.28,4.01
Oats,Enterprise size,acres,,,,,,,,,,27.33,27.33,27,27,27,27,27,27,27,27
Oats,Irrigated,percent,,,,,,,,,,1.07,1.07,1,1,1,1,1,1,1,1
Oats,Dryland,percent,,,,,,,,,,98.93,98.93,99,99,99,99,99,99,99,99
Peanuts,Primary output,USD/acre,635.18,604.24,641.94,613.34,539.19,593.4,437.76,562.68,0,0,0,0,0,0,0,0,0,0,0
Peanuts,Secondary output,USD/acre,13.01,13.3,12.74,11.27,13.18,13.75,13.88,13.6,14.41,16.15,15.58,21.96,27.77,21.57,26.98,21.24,31.31,19.62,18.01
Peanuts,Total output,USD/acre,648.19,617.54,654.68,624.61,552.37,607.15,451.64,576.28,14.41,16.15,15.58,21.96,27.77,21.57,26.98,21.24,31.31,19.62,18.01
Peanuts,Seed,USD/acre,74.8,74.29,75.48,72.89,72.71,73.72,73.57,75.26,67.43,66.53300266,68.36556054,71.93,98.1,90.3,89.29264757,108.15,113.17,111.89,116.6
Peanuts,Fertilizer,USD/acre,42.5,39.8,39.52,39.49,37.25,41.84,39.09,48.5,44.7,51.81527297,55.74372197,66.86,109.32,102.61,79.53569444,107.28,113.3,101.33,97.53
Peanuts,Chemicals,USD/acre,99.02,98.22,97.96,97.92,93,93.73,92.18,99.82,97.84,97.28644474,104.8577578,103.63,106.93,120,120.2003038,121.42,126.78,135.46,137.57
Peanuts,Custom operations,USD/acre,9.77,9.67,9.93,9.63,8.04,10.64,9.92,10,11.9,12.65156458,12.58125561,13.93,14.94,14.41,13.79552083,12.93,13.82,15.23,15.67
Peanuts,"Fuel, lube, and electricity",USD/acre,40.61,39.54,34.6,33.25,46.46,46.55,41.62,48.52,40.82,57.26257656,58.19461883,66.46,87.29,56.01,68.33196181,83.03,81.73,71.45,71.54
Peanuts,Repairs,USD/acre,25.3,27.5,30.4,27.74,28.62,29.74,30.93,31.6,33.71,35.73858855,35.68780269,37.6,39.07,39.72,40.24347222,41.26,42.68,53.7,54.71
Peanuts,Purchased irrigation water,USD/acre,,,,,,,,,0.53,0.546910786,0.603497758,0.6,0.6,0.68,0.676901042,0.69,0.71,0.65,0.67
Peanuts,Commercial Drying,USD/acre,17.04,16.65,17.31,17,13.61,18.15,17.16,23.76,23.84,33.43558589,33.07076233,39.13,56.76,37.71,46.25233507,51.14,67.15,74.38,72.55
Peanuts,Interest on operating capital,USD/acre,7.77,7.82,7.31,7.01,8.64,5.3,2.6,1.66,2.35,5.471184134,8.064821166,8.09,3.79,0.61,0.412076502,0.24,0.32,0.25,0.17
Peanuts,Total operating costs,USD/acre,316.81,313.49,312.51,304.93,308.33,319.67,307.07,339.12,323.12,360.7411309,377.1697987,408.23,516.8,462.05,458.7409133,526.14,559.66,564.34,567.01
Peanuts,Hired labor,USD/acre,32.86,35.06,35.14,37.72,39.1,41.45,42.51,41.62,15.23,14.90606525,15.57493274,16.47,16.71,16.98,17.43555556,18.53,18.65,16.65,16.96
Peanuts,Opportunity cost of unpaid labor,USD/acre,78.1,81.26,83.6,85.64,89.75,90.49,93,94.38,61.39,62.17443409,64.27390135,67.26,69.24,70.51,71.48022569,73.69,75.66,45.98,46.89
Peanuts,Capital recovery of machinery and equipment,USD/acre,108,122.02,120.89,121.91,122.62,122.97,123.85,124.91,119.07,127.2678695,134.0111659,140.85,153.88,163.33,169.3872483,179.88,188.65,152.65,158.29
Peanuts,Opportunity cost of land (rental rate),USD/acre,40.32,42.86,42.32,45.49,38.24,41.17,46.44,48.78,53.58,54.63,55.68,54.28,59.88,69.34,71.44,92.42,88.17,94.47,97.83
Peanuts,Opportunity cost of quota,USD/acre,88.53,89.8,86.4,87.66,80.42,83.47,,,,,,,,,,,,,
Peanuts,Taxes and insurance,USD/acre,18.85,19.27,20.57,19.66,20.42,21.47,22.22,22.37,15.65,17.37758988,21.87573991,25.27,27.88,30.68,26.63733507,28.85,28.64,22.32,22.74
Peanuts,General farm overhead,USD/acre,16.32,16.96,16.91,17.51,18.65,19.04,18.7,18.01,24.74,26.80234354,26.57605381,28.74,29.61,29.69,30.14756944,31,31.58,44.29,45.16
Peanuts,Total allocated overhead,USD/acre,382.98,407.23,405.83,415.59,409.2,420.06,346.72,350.07,274.43,288.252237,302.416861,316.4,340.49,363.55,369.0923785,405.84,412.7,359.71,370.91
Peanuts,Total costs listed,USD/acre,699.79,720.72,718.34,720.52,717.53,739.73,653.79,689.19,274.43,288.252237,302.416861,316.4,340.49,363.55,369.0923785,405.84,412.7,359.71,370.91
Peanuts,Value of production less total costs listed,USD/acre,-51.6,-103.18,-63.66,-95.91,-165.16,-132.58,-202.15,-112.91,-274.43,-288.252237,-302.416861,-316.4,-340.49,-363.55,-369.0923785,-405.84,-412.7,-359.71,-370.91
Peanuts,Value of production less operating costs,USD/acre,331.38,304.05,342.17,319.68,244.04,287.48,144.57,237.16,0,0,0,0,0,0,0,0,0,0,0
Peanuts,Yield,bu/acre,2443,2324,2469,2359,1997,2580,2304,3126,3226,3147,2999,3233,3602,3606,3512,3202,4177,4164,4064
Peanuts,Price,USD/bu,0.26,0.26,0.26,0.26,0.27,0.23,0.19,0.18,0.2,0.17,0.17,0.2,0.2,0.22,0.21,0.28,0.34,0.26,0.19
Peanuts,Enterprise size,acres,105,105,105,105,105,105,105,105,180,180,180,180,180,180,180,180,180,272,272
Peanuts,Irrigated,percent,32,32,32,32,32,32,32,32,35,35,35,35,35,35,35,35,35,38,38
Peanuts,Dryland,percent,68,68,68,68,68,68,68,68,65,65,65,65,65,65,65,65,65,62,62
Sorghum,Primary output,USD/acre,170.1,153.43,107.59,96.66,88.62,93.86,95.37,105.75,110.88,107.73,126.85,235.28,240.13,183.6,292.79,263.676,238.017,181.05,186.912
Sorghum,Secondary output,USD/acre,,,,,,,,4.8,7.38,7.61,6.23,10.81,11.57,9.32,9.46,4.98,4.86,4.77,4.54
Sorghum,Total output,USD/acre,170.1,153.43,107.59,96.66,88.62,93.86,95.37,110.55,118.26,115.34,133.08,246.09,251.7,192.92,302.25,268.656,242.877,185.82,191.452
Sorghum,Seed,USD/acre,6,6.57,6.1,6.72,6.33,6.35,6.63,4.66,4.88,5.31,5.38,5.62,6.63,7.47,7.58,10.57,13.67,13.99,14.2
Sorghum,Fertilizer,USD/acre,17.99,17.62,14.31,13.89,14.34,21.53,15.1,18.87,19.71,22.82,25.8,30.11,45.92,43.41,33.22,43.52,47.37,46.63,44.56
Sorghum,Chemicals,USD/acre,12.29,11.69,10.6,11.2,11.15,11.31,11.22,17.32,17.39,17.3,18.07,18.15,18.68,21.18,21.34,22.35,22.56,23.35,23.92
Sorghum,Custom operations,USD/acre,6.23,6.91,5.84,6.78,5.48,5.27,4.38,9,9.08,9.47,9.91,10.4,10.46,11.37,11.72,12.21,12.42,12.9,13.27
Sorghum,"Fuel, lube, and electricity",USD/acre,17.1,17.37,19.03,21.92,26.09,29.99,24.92,19.68,24.97,33.76,34.46,43.15,54.5,36.76,47.78,22.84,24.99,24.78,24.46
Sorghum,Repairs,USD/acre,13.81,14.25,16.46,14.7,15.29,16.28,17.48,16.31,16.38,17.17,17.76,18.35,18.91,19.27,19.79,20.77,21.56,21.73,22.19
Sorghum,Other variable expenses,USD/acre,,,,,,,,0.1,0.1,0.11,0.11,0.14,0.15,0.15,0.14,0.14,0.19,0.2,0.2
Sorghum,Interest on operating capital,USD/acre,1.85,1.9,1.73,1.77,2.27,1.53,0.67,0.45,0.731934854,1.8,2.63,2.78,1.15,0.21,0.14,0.07,0.09,0.06,0.04
Sorghum,Total operating costs,USD/acre,75.27,76.31,74.07,76.98,80.95,92.26,80.4,86.39,93.24193485,107.74,114.12,128.7,156.4,139.82,141.71,132.47,142.85,143.64,142.84
Sorghum,Hired labor,USD/acre,5.41,5.68,4.41,6.36,6.57,7.06,7.45,4.73,4.65,4.94,5.04,5.69,6.23,6.11,5.89,3.21,4.04,4.14,4.1
Sorghum,Opportunity cost of unpaid labor,USD/acre,18.58,19.16,19.26,20.38,20.8,21.32,22.98,25.26,25.54,26.4,27.35,28.21,29.19,29.87,30.42,15.66,16.01,16.26,16.68
Sorghum,Capital recovery of machinery and equipment,USD/acre,53.49,55.38,58.34,55.79,56.7,58.23,60.91,53.71,57.16,61.19,64.34,67.48,73.98,78.96,81.84,72.41,77.02,79.25,82.03
Sorghum,Opportunity cost of land (rental rate),USD/acre,39.2,36.18,26.79,23.53,21.02,20.63,21.49,34.02,33.73,35.17,34.4,36.92,41.09,44.7,45.93,45.77,51.3,56.09,57.77
Sorghum,Taxes and insurance,USD/acre,4.98,5.02,6.05,4.9,5.07,5.1,5.04,4.2,4.13,4.16,4.28,4.55,4.88,5.42,4.74,5.06,5.13,5.22,5.28
Sorghum,General farm overhead,USD/acre,3.76,3.84,5.44,3.97,4.08,4.23,4.39,7.52,7.48,7.84,8,8.4,8.56,8.58,8.6,11.03,11.19,11.36,11.52
Sorghum,Total allocated overhead,USD/acre,125.42,125.26,120.29,114.93,114.24,116.57,122.26,129.44,132.69,139.7,143.41,151.25,163.93,173.64,177.42,153.14,164.69,172.32,177.38
Sorghum,Total costs listed,USD/acre,200.69,201.57,194.36,191.91,195.19,208.83,202.66,215.83,225.9319349,247.44,257.53,279.95,320.33,313.46,319.13,285.61,307.54,315.96,320.22
Sorghum,Value of production less total costs listed,USD/acre,-30.59,-48.14,-86.77,-95.25,-106.57,-114.97,-107.29,-105.28,-107.6719349,-132.1,-124.45,-33.86,-68.63,-120.54,-16.88,-16.954,-64.663,-130.14,-128.768
Sorghum,Value of production less operating costs,USD/acre,94.83,77.12,33.52,19.68,7.67,1.6,14.97,24.16,25.01806515,7.6,18.96,117.39,95.3,53.1,160.54,136.186,100.027,42.18,48.612
Sorghum,Yield,bu/acre,63,67,53,54,42,38,33,47,63,63,43,68,59,60,67,43.8,35.9,42.5,53.1
Sorghum,Price,USD/bu,2.7,2.29,2.03,1.79,2.11,2.47,2.89,2.25,1.76,1.71,2.95,3.46,4.07,3.06,4.37,6.02,6.63,4.26,3.52
Sorghum,Enterprise size,acres,214,214,214,214,214,214,214,297,297,297,297,297,297,297,297,316,316,316,316
Sorghum,Irrigated,percent,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,4.5,4.5,4.5,4.5
Sorghum,Dryland,percent,91,91,91,91,91,91,91,89,89,89,89,89,89,89,89,95.5,95.5,95.5,95.5
