INPUT_TABLE
Variable ID
LN3_MgdCarbon

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,LandLeaf3,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,Land_Type,AEZ,Cdensity_LT
Eastern Europe,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11,ForestAEZ11,6.55,11.397,6.55,11.397,50,0,0,Forest,AEZ11,Forest
Korea,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11,ForestAEZ11,5.5,10.005,5.5,10.005,50,0,0,Forest,AEZ11,Forest
India,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11,ForestAEZ11,7.15,9.396,7.15,9.396,46,0,0,Forest,AEZ11,Forest
USA,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,ForestAEZ12,7.55,11.484,7.55,11.484,50,0,0,Forest,AEZ12,Forest
Canada,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,ForestAEZ12,0,0,0,0,0,0,0,Forest,AEZ12,Forest
Western Europe,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,ForestAEZ12,6.55,11.049,6.55,11.049,50,0,0,Forest,AEZ12,Forest
Japan,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,ForestAEZ12,5.45,9.57,5.45,9.57,50,0,0,Forest,AEZ12,Forest
Australia_NZ,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,ForestAEZ12,7.45,6.525,7.45,6.525,50,0,0,Forest,AEZ12,Forest
Former Soviet Union,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,ForestAEZ12,6.4,11.223,6.4,11.223,50,0,0,Forest,AEZ12,Forest
China,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,ForestAEZ12,7.25,8.961,7.25,8.961,49,0,0,Forest,AEZ12,Forest
Middle East,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,ForestAEZ12,0,0,0,0,0,0,0,Forest,AEZ12,Forest
Africa,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,ForestAEZ12,8.4,8.526,8.4,8.526,37,0,0,Forest,AEZ12,Forest
Latin America,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,ForestAEZ12,8.95,8.526,8.95,8.526,41,0,0,Forest,AEZ12,Forest
Southeast Asia,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,ForestAEZ12,7.65,8.787,7.65,8.787,40,0,0,Forest,AEZ12,Forest
Eastern Europe,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,ForestAEZ12,5.85,10.44,5.85,10.44,50,0,0,Forest,AEZ12,Forest
Korea,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,ForestAEZ12,0,0,0,0,0,0,0,Forest,AEZ12,Forest
India,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,ForestAEZ12,7.6,8.787,7.6,8.787,40,0,0,Forest,AEZ12,Forest
USA,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,ForestAEZ13,4.05,17.487,4.05,17.487,50,0,0,Forest,AEZ13,Forest
Canada,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,ForestAEZ13,3.6,17.922,3.6,17.922,50,0,0,Forest,AEZ13,Forest
Western Europe,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,ForestAEZ13,4.05,17.922,4.05,17.922,50,0,0,Forest,AEZ13,Forest
Japan,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,ForestAEZ13,0,0,0,0,0,0,0,Forest,AEZ13,Forest
Australia_NZ,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,ForestAEZ13,0,0,0,0,0,0,0,Forest,AEZ13,Forest
Former Soviet Union,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,ForestAEZ13,2.6,17.922,2.6,17.922,50,0,0,Forest,AEZ13,Forest
China,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,ForestAEZ13,2.9,17.835,2.9,17.835,50,0,0,Forest,AEZ13,Forest
Middle East,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,ForestAEZ13,0,0,0,0,0,0,0,Forest,AEZ13,Forest
Africa,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,ForestAEZ13,0,0,0,0,0,0,0,Forest,AEZ13,Forest
Latin America,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,ForestAEZ13,5.25,12.18,5.25,12.18,41,0,0,Forest,AEZ13,Forest
Southeast Asia,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,ForestAEZ13,4.5,17.922,4.5,17.922,50,0,0,Forest,AEZ13,Forest
Eastern Europe,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,ForestAEZ13,0,0,0,0,0,0,0,Forest,AEZ13,Forest
Korea,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,ForestAEZ13,0,0,0,0,0,0,0,Forest,AEZ13,Forest
India,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,ForestAEZ13,7,8.526,7,8.526,35,0,0,Forest,AEZ13,Forest
USA,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,ForestAEZ14,3.5,17.661,3.5,17.661,50,0,0,Forest,AEZ14,Forest
Canada,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,ForestAEZ14,3.2,17.922,3.2,17.922,50,0,0,Forest,AEZ14,Forest
Western Europe,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,ForestAEZ14,3.15,17.835,3.15,17.835,50,0,0,Forest,AEZ14,Forest
Japan,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,ForestAEZ14,0,0,0,0,0,0,0,Forest,AEZ14,Forest
Australia_NZ,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,ForestAEZ14,0,0,0,0,0,0,0,Forest,AEZ14,Forest
Former Soviet Union,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,ForestAEZ14,3,17.922,3,17.922,50,0,0,Forest,AEZ14,Forest
China,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,ForestAEZ14,2.9,17.661,2.9,17.661,50,0,0,Forest,AEZ14,Forest
Middle East,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,ForestAEZ14,0,0,0,0,0,0,0,Forest,AEZ14,Forest
Africa,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,ForestAEZ14,0,0,0,0,0,0,0,Forest,AEZ14,Forest
Latin America,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,ForestAEZ14,4.55,13.659,4.55,13.659,43,0,0,Forest,AEZ14,Forest
Southeast Asia,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,ForestAEZ14,5,16.008,5,16.008,50,0,0,Forest,AEZ14,Forest
Eastern Europe,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,ForestAEZ14,0,0,0,0,0,0,0,Forest,AEZ14,Forest
Korea,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,ForestAEZ14,0,0,0,0,0,0,0,Forest,AEZ14,Forest
India,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,ForestAEZ14,4.5,17.922,4.5,17.922,50,0,0,Forest,AEZ14,Forest
USA,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,ForestAEZ15,3.55,17.835,3.55,17.835,50,0,0,Forest,AEZ15,Forest
Canada,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,ForestAEZ15,3.9,17.835,3.9,17.835,50,0,0,Forest,AEZ15,Forest
Western Europe,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,ForestAEZ15,4.3,17.835,4.3,17.835,50,0,0,Forest,AEZ15,Forest
Japan,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,ForestAEZ15,5.1,15.921,5.1,15.921,50,0,0,Forest,AEZ15,Forest
Australia_NZ,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,ForestAEZ15,4.7,17.226,4.7,17.226,50,0,0,Forest,AEZ15,Forest
Former Soviet Union,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,ForestAEZ15,3.5,17.922,3.5,17.922,50,0,0,Forest,AEZ15,Forest
China,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,ForestAEZ15,2.9,17.748,2.9,17.748,50,0,0,Forest,AEZ15,Forest
Middle East,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,ForestAEZ15,0,0,0,0,0,0,0,Forest,AEZ15,Forest
Africa,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,ForestAEZ15,0,0,0,0,0,0,0,Forest,AEZ15,Forest
Latin America,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,ForestAEZ15,2.95,17.139,2.95,17.139,49,0,0,Forest,AEZ15,Forest
Southeast Asia,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,ForestAEZ15,5.95,12.528,5.95,12.528,44,0,0,Forest,AEZ15,Forest
Eastern Europe,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,ForestAEZ15,4.45,16.182,4.45,16.182,50,0,0,Forest,AEZ15,Forest
Korea,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,ForestAEZ15,0,0,0,0,0,0,0,Forest,AEZ15,Forest
India,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,ForestAEZ15,7.2,10.875,7.2,10.875,43,0,0,Forest,AEZ15,Forest
USA,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,ForestAEZ16,4.85,17.313,4.85,17.313,50,0,0,Forest,AEZ16,Forest
Canada,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,ForestAEZ16,4.35,17.748,4.35,17.748,50,0,0,Forest,AEZ16,Forest
Western Europe,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,ForestAEZ16,4.1,17.226,4.1,17.226,50,0,0,Forest,AEZ16,Forest
Japan,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,ForestAEZ16,0,0,0,0,0,0,0,Forest,AEZ16,Forest
Australia_NZ,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,ForestAEZ16,5.35,14.703,5.35,14.703,50,0,0,Forest,AEZ16,Forest
Former Soviet Union,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,ForestAEZ16,3.85,16.617,3.85,16.617,50,0,0,Forest,AEZ16,Forest
China,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,ForestAEZ16,6.65,12.18,6.65,12.18,44,0,0,Forest,AEZ16,Forest
Middle East,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,ForestAEZ16,0,0,0,0,0,0,0,Forest,AEZ16,Forest
Africa,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,ForestAEZ16,0,0,0,0,0,0,0,Forest,AEZ16,Forest
Latin America,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,ForestAEZ16,3.15,17.052,3.15,17.052,49,0,0,Forest,AEZ16,Forest
Southeast Asia,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,ForestAEZ16,6.7,10.701,6.7,10.701,40,0,0,Forest,AEZ16,Forest
Eastern Europe,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,ForestAEZ16,4.5,15.486,4.5,15.486,50,0,0,Forest,AEZ16,Forest
Korea,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,ForestAEZ16,0,0,0,0,0,0,0,Forest,AEZ16,Forest
India,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,ForestAEZ16,7.1,10.701,7.1,10.701,43,0,0,Forest,AEZ16,Forest
USA,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,ForestAEZ17,0,0,0,0,0,0,0,Forest,AEZ17,Forest
Canada,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,ForestAEZ17,0,0,0,0,0,0,0,Forest,AEZ17,Forest
Western Europe,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,ForestAEZ17,0,0,0,0,0,0,0,Forest,AEZ17,Forest
Japan,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,ForestAEZ17,0,0,0,0,0,0,0,Forest,AEZ17,Forest
Australia_NZ,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,ForestAEZ17,5.8,11.223,5.8,11.223,50,0,0,Forest,AEZ17,Forest
Former Soviet Union,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,ForestAEZ17,0,0,0,0,0,0,0,Forest,AEZ17,Forest
China,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,ForestAEZ17,9.15,9.744,9.15,9.744,41,0,0,Forest,AEZ17,Forest
Middle East,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,ForestAEZ17,0,0,0,0,0,0,0,Forest,AEZ17,Forest
Africa,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,ForestAEZ17,0,0,0,0,0,0,0,Forest,AEZ17,Forest
Latin America,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,ForestAEZ17,2.5,17.922,2.5,17.922,50,0,0,Forest,AEZ17,Forest
Southeast Asia,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,ForestAEZ17,0,0,0,0,0,0,0,Forest,AEZ17,Forest
Eastern Europe,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,ForestAEZ17,0,0,0,0,0,0,0,Forest,AEZ17,Forest
Korea,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,ForestAEZ17,0,0,0,0,0,0,0,Forest,AEZ17,Forest
India,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,ForestAEZ17,0,0,0,0,0,0,0,Forest,AEZ17,Forest
USA,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,ForestAEZ18,0,0,0,0,0,0,0,Forest,AEZ18,Forest
Canada,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,ForestAEZ18,0,0,0,0,0,0,0,Forest,AEZ18,Forest
Western Europe,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,ForestAEZ18,0,0,0,0,0,0,0,Forest,AEZ18,Forest
Japan,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,ForestAEZ18,0,0,0,0,0,0,0,Forest,AEZ18,Forest
Australia_NZ,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,ForestAEZ18,0,0,0,0,0,0,0,Forest,AEZ18,Forest
Former Soviet Union,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,ForestAEZ18,0,0,0,0,0,0,0,Forest,AEZ18,Forest
China,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,ForestAEZ18,0,0,0,0,0,0,0,Forest,AEZ18,Forest
Middle East,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,ForestAEZ18,0,0,0,0,0,0,0,Forest,AEZ18,Forest
Africa,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,ForestAEZ18,0,0,0,0,0,0,0,Forest,AEZ18,Forest
Latin America,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,ForestAEZ18,2.5,17.922,2.5,17.922,50,0,0,Forest,AEZ18,Forest
Southeast Asia,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,ForestAEZ18,0,0,0,0,0,0,0,Forest,AEZ18,Forest
Eastern Europe,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,ForestAEZ18,0,0,0,0,0,0,0,Forest,AEZ18,Forest
Korea,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,ForestAEZ18,0,0,0,0,0,0,0,Forest,AEZ18,Forest
India,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,ForestAEZ18,0,0,0,0,0,0,0,Forest,AEZ18,Forest
