INPUT_TABLE
Variable ID
LN2_UnmgdCarbon

region,LandAllocatorRoot,LandNode1,LandNode2,UnmanagedLandLeaf2,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,Land_Type,AEZ,Cdensity_LT
Korea,root,AgroForestLandAEZ11,AllPastureLandAEZ11,UnmanagedPastureAEZ11,0.8,14.5,0.8,14.5,10,0,0,UnmanagedPasture,AEZ11,Pasture
India,root,AgroForestLandAEZ11,AllPastureLandAEZ11,UnmanagedPastureAEZ11,0.8,13.2,0.8,13.2,10,0,0,UnmanagedPasture,AEZ11,Pasture
USA,root,AgroForestLandAEZ12,AllPastureLandAEZ12,UnmanagedPastureAEZ12,1,13.5,1,13.5,10,0,0,UnmanagedPasture,AEZ12,Pasture
Canada,root,AgroForestLandAEZ12,AllPastureLandAEZ12,UnmanagedPastureAEZ12,1,16,1,16,10,0,0,UnmanagedPasture,AEZ12,Pasture
Western Europe,root,AgroForestLandAEZ12,AllPastureLandAEZ12,UnmanagedPastureAEZ12,1,9.5,1,9.5,10,0,0,UnmanagedPasture,AEZ12,Pasture
Japan,root,AgroForestLandAEZ12,AllPastureLandAEZ12,UnmanagedPastureAEZ12,1,16,1,16,10,0,0,UnmanagedPasture,AEZ12,Pasture
Australia_NZ,root,AgroForestLandAEZ12,AllPastureLandAEZ12,UnmanagedPastureAEZ12,1,11.5,1,11.5,10,0,0,UnmanagedPasture,AEZ12,Pasture
Former Soviet Union,root,AgroForestLandAEZ12,AllPastureLandAEZ12,UnmanagedPastureAEZ12,1,16,1,16,10,0,0,UnmanagedPasture,AEZ12,Pasture
China,root,AgroForestLandAEZ12,AllPastureLandAEZ12,UnmanagedPastureAEZ12,1,10.1,1,10.1,10,0,0,UnmanagedPasture,AEZ12,Pasture
Middle East,root,AgroForestLandAEZ12,AllPastureLandAEZ12,UnmanagedPastureAEZ12,1,16,1,16,10,0,0,UnmanagedPasture,AEZ12,Pasture
Africa,root,AgroForestLandAEZ12,AllPastureLandAEZ12,UnmanagedPastureAEZ12,1,10.1,1,10.1,10,0,0,UnmanagedPasture,AEZ12,Pasture
Latin America,root,AgroForestLandAEZ12,AllPastureLandAEZ12,UnmanagedPastureAEZ12,1,14,1,14,10,0,0,UnmanagedPasture,AEZ12,Pasture
Southeast Asia,root,AgroForestLandAEZ12,AllPastureLandAEZ12,UnmanagedPastureAEZ12,1,12.3,1,12.3,10,0,0,UnmanagedPasture,AEZ12,Pasture
Eastern Europe,root,AgroForestLandAEZ12,AllPastureLandAEZ12,UnmanagedPastureAEZ12,1,9.5,1,9.5,10,0,0,UnmanagedPasture,AEZ12,Pasture
Korea,root,AgroForestLandAEZ12,AllPastureLandAEZ12,UnmanagedPastureAEZ12,1,16,1,16,10,0,0,UnmanagedPasture,AEZ12,Pasture
India,root,AgroForestLandAEZ12,AllPastureLandAEZ12,UnmanagedPastureAEZ12,1,14.4,1,14.4,10,0,0,UnmanagedPasture,AEZ12,Pasture
USA,root,AgroForestLandAEZ13,AllPastureLandAEZ13,UnmanagedPastureAEZ13,0.6,11,0.6,11,10,0,0,UnmanagedPasture,AEZ13,Pasture
Canada,root,AgroForestLandAEZ13,AllPastureLandAEZ13,UnmanagedPastureAEZ13,0.6,10.8,0.6,10.8,10,0,0,UnmanagedPasture,AEZ13,Pasture
Western Europe,root,AgroForestLandAEZ13,AllPastureLandAEZ13,UnmanagedPastureAEZ13,0.6,11,0.6,11,10,0,0,UnmanagedPasture,AEZ13,Pasture
Japan,root,AgroForestLandAEZ13,AllPastureLandAEZ13,UnmanagedPastureAEZ13,0.6,11,0.6,11,10,0,0,UnmanagedPasture,AEZ13,Pasture
Australia_NZ,root,AgroForestLandAEZ13,AllPastureLandAEZ13,UnmanagedPastureAEZ13,0.6,11,0.6,11,10,0,0,UnmanagedPasture,AEZ13,Pasture
Former Soviet Union,root,AgroForestLandAEZ13,AllPastureLandAEZ13,UnmanagedPastureAEZ13,0.6,10.9,0.6,10.9,10,0,0,UnmanagedPasture,AEZ13,Pasture
China,root,AgroForestLandAEZ13,AllPastureLandAEZ13,UnmanagedPastureAEZ13,0.6,11,0.6,11,10,0,0,UnmanagedPasture,AEZ13,Pasture
Middle East,root,AgroForestLandAEZ13,AllPastureLandAEZ13,UnmanagedPastureAEZ13,0.6,11,0.6,11,10,0,0,UnmanagedPasture,AEZ13,Pasture
Africa,root,AgroForestLandAEZ13,AllPastureLandAEZ13,UnmanagedPastureAEZ13,0.6,11,0.6,11,10,0,0,UnmanagedPasture,AEZ13,Pasture
Latin America,root,AgroForestLandAEZ13,AllPastureLandAEZ13,UnmanagedPastureAEZ13,0.6,11,0.6,11,10,0,0,UnmanagedPasture,AEZ13,Pasture
Southeast Asia,root,AgroForestLandAEZ13,AllPastureLandAEZ13,UnmanagedPastureAEZ13,0.6,11,0.6,11,10,0,0,UnmanagedPasture,AEZ13,Pasture
Eastern Europe,root,AgroForestLandAEZ13,AllPastureLandAEZ13,UnmanagedPastureAEZ13,0.6,11,0.6,11,10,0,0,UnmanagedPasture,AEZ13,Pasture
Korea,root,AgroForestLandAEZ13,AllPastureLandAEZ13,UnmanagedPastureAEZ13,0.6,11,0.6,11,10,0,0,UnmanagedPasture,AEZ13,Pasture
India,root,AgroForestLandAEZ13,AllPastureLandAEZ13,UnmanagedPastureAEZ13,0.6,11,0.6,11,10,0,0,UnmanagedPasture,AEZ13,Pasture
USA,root,AgroForestLandAEZ14,AllPastureLandAEZ14,UnmanagedPastureAEZ14,0.7,12.5,0.7,12.5,10,0,0,UnmanagedPasture,AEZ14,Pasture
Canada,root,AgroForestLandAEZ14,AllPastureLandAEZ14,UnmanagedPastureAEZ14,0.7,10.5,0.7,10.5,10,0,0,UnmanagedPasture,AEZ14,Pasture
Western Europe,root,AgroForestLandAEZ14,AllPastureLandAEZ14,UnmanagedPastureAEZ14,0.7,12.2,0.7,12.2,10,0,0,UnmanagedPasture,AEZ14,Pasture
Japan,root,AgroForestLandAEZ14,AllPastureLandAEZ14,UnmanagedPastureAEZ14,0.7,12.5,0.7,12.5,10,0,0,UnmanagedPasture,AEZ14,Pasture
Australia_NZ,root,AgroForestLandAEZ14,AllPastureLandAEZ14,UnmanagedPastureAEZ14,0.7,12.5,0.7,12.5,10,0,0,UnmanagedPasture,AEZ14,Pasture
Former Soviet Union,root,AgroForestLandAEZ14,AllPastureLandAEZ14,UnmanagedPastureAEZ14,0.7,11.1,0.7,11.1,10,0,0,UnmanagedPasture,AEZ14,Pasture
China,root,AgroForestLandAEZ14,AllPastureLandAEZ14,UnmanagedPastureAEZ14,0.7,12.2,0.7,12.2,10,0,0,UnmanagedPasture,AEZ14,Pasture
Middle East,root,AgroForestLandAEZ14,AllPastureLandAEZ14,UnmanagedPastureAEZ14,0.7,12.5,0.7,12.5,10,0,0,UnmanagedPasture,AEZ14,Pasture
Africa,root,AgroForestLandAEZ14,AllPastureLandAEZ14,UnmanagedPastureAEZ14,0.7,12.5,0.7,12.5,10,0,0,UnmanagedPasture,AEZ14,Pasture
Latin America,root,AgroForestLandAEZ14,AllPastureLandAEZ14,UnmanagedPastureAEZ14,0.7,12.5,0.7,12.5,10,0,0,UnmanagedPasture,AEZ14,Pasture
Southeast Asia,root,AgroForestLandAEZ14,AllPastureLandAEZ14,UnmanagedPastureAEZ14,0.7,12.5,0.7,12.5,10,0,0,UnmanagedPasture,AEZ14,Pasture
Eastern Europe,root,AgroForestLandAEZ14,AllPastureLandAEZ14,UnmanagedPastureAEZ14,0.7,12.5,0.7,12.5,10,0,0,UnmanagedPasture,AEZ14,Pasture
Korea,root,AgroForestLandAEZ14,AllPastureLandAEZ14,UnmanagedPastureAEZ14,0.7,12.5,0.7,12.5,10,0,0,UnmanagedPasture,AEZ14,Pasture
India,root,AgroForestLandAEZ14,AllPastureLandAEZ14,UnmanagedPastureAEZ14,0.7,12.5,0.7,12.5,10,0,0,UnmanagedPasture,AEZ14,Pasture
USA,root,AgroForestLandAEZ15,AllPastureLandAEZ15,UnmanagedPastureAEZ15,0.7,14,0.7,14,10,0,0,UnmanagedPasture,AEZ15,Pasture
Canada,root,AgroForestLandAEZ15,AllPastureLandAEZ15,UnmanagedPastureAEZ15,0.7,9.9,0.7,9.9,10,0,0,UnmanagedPasture,AEZ15,Pasture
Western Europe,root,AgroForestLandAEZ15,AllPastureLandAEZ15,UnmanagedPastureAEZ15,0.7,13.6,0.7,13.6,10,0,0,UnmanagedPasture,AEZ15,Pasture
Japan,root,AgroForestLandAEZ15,AllPastureLandAEZ15,UnmanagedPastureAEZ15,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ15,Pasture
Australia_NZ,root,AgroForestLandAEZ15,AllPastureLandAEZ15,UnmanagedPastureAEZ15,0.7,14,0.7,14,10,0,0,UnmanagedPasture,AEZ15,Pasture
Former Soviet Union,root,AgroForestLandAEZ15,AllPastureLandAEZ15,UnmanagedPastureAEZ15,0.7,10.8,0.7,10.8,10,0,0,UnmanagedPasture,AEZ15,Pasture
China,root,AgroForestLandAEZ15,AllPastureLandAEZ15,UnmanagedPastureAEZ15,0.7,12.6,0.7,12.6,10,0,0,UnmanagedPasture,AEZ15,Pasture
Middle East,root,AgroForestLandAEZ15,AllPastureLandAEZ15,UnmanagedPastureAEZ15,0.7,14,0.7,14,10,0,0,UnmanagedPasture,AEZ15,Pasture
Africa,root,AgroForestLandAEZ15,AllPastureLandAEZ15,UnmanagedPastureAEZ15,0.7,14,0.7,14,10,0,0,UnmanagedPasture,AEZ15,Pasture
Latin America,root,AgroForestLandAEZ15,AllPastureLandAEZ15,UnmanagedPastureAEZ15,0.7,13.9,0.7,13.9,10,0,0,UnmanagedPasture,AEZ15,Pasture
Southeast Asia,root,AgroForestLandAEZ15,AllPastureLandAEZ15,UnmanagedPastureAEZ15,0.7,14,0.7,14,10,0,0,UnmanagedPasture,AEZ15,Pasture
Eastern Europe,root,AgroForestLandAEZ15,AllPastureLandAEZ15,UnmanagedPastureAEZ15,0.7,14,0.7,14,10,0,0,UnmanagedPasture,AEZ15,Pasture
Korea,root,AgroForestLandAEZ15,AllPastureLandAEZ15,UnmanagedPastureAEZ15,0.7,14,0.7,14,10,0,0,UnmanagedPasture,AEZ15,Pasture
India,root,AgroForestLandAEZ15,AllPastureLandAEZ15,UnmanagedPastureAEZ15,0.7,14,0.7,14,10,0,0,UnmanagedPasture,AEZ15,Pasture
USA,root,AgroForestLandAEZ16,AllPastureLandAEZ16,UnmanagedPastureAEZ16,0.7,15.5,0.7,15.5,10,0,0,UnmanagedPasture,AEZ16,Pasture
Canada,root,AgroForestLandAEZ16,AllPastureLandAEZ16,UnmanagedPastureAEZ16,0.7,9.5,0.7,9.5,10,0,0,UnmanagedPasture,AEZ16,Pasture
Western Europe,root,AgroForestLandAEZ16,AllPastureLandAEZ16,UnmanagedPastureAEZ16,0.7,15.1,0.7,15.1,10,0,0,UnmanagedPasture,AEZ16,Pasture
Japan,root,AgroForestLandAEZ16,AllPastureLandAEZ16,UnmanagedPastureAEZ16,0.7,15.5,0.7,15.5,10,0,0,UnmanagedPasture,AEZ16,Pasture
Australia_NZ,root,AgroForestLandAEZ16,AllPastureLandAEZ16,UnmanagedPastureAEZ16,0.7,15.5,0.7,15.5,10,0,0,UnmanagedPasture,AEZ16,Pasture
Former Soviet Union,root,AgroForestLandAEZ16,AllPastureLandAEZ16,UnmanagedPastureAEZ16,0.7,13.1,0.7,13.1,10,0,0,UnmanagedPasture,AEZ16,Pasture
China,root,AgroForestLandAEZ16,AllPastureLandAEZ16,UnmanagedPastureAEZ16,0.7,15.5,0.7,15.5,10,0,0,UnmanagedPasture,AEZ16,Pasture
Middle East,root,AgroForestLandAEZ16,AllPastureLandAEZ16,UnmanagedPastureAEZ16,0.7,15.5,0.7,15.5,10,0,0,UnmanagedPasture,AEZ16,Pasture
Africa,root,AgroForestLandAEZ16,AllPastureLandAEZ16,UnmanagedPastureAEZ16,0.7,15.5,0.7,15.5,10,0,0,UnmanagedPasture,AEZ16,Pasture
Latin America,root,AgroForestLandAEZ16,AllPastureLandAEZ16,UnmanagedPastureAEZ16,0.7,15.4,0.7,15.4,10,0,0,UnmanagedPasture,AEZ16,Pasture
Southeast Asia,root,AgroForestLandAEZ16,AllPastureLandAEZ16,UnmanagedPastureAEZ16,0.7,15.5,0.7,15.5,10,0,0,UnmanagedPasture,AEZ16,Pasture
Eastern Europe,root,AgroForestLandAEZ16,AllPastureLandAEZ16,UnmanagedPastureAEZ16,0.7,15.5,0.7,15.5,10,0,0,UnmanagedPasture,AEZ16,Pasture
Korea,root,AgroForestLandAEZ16,AllPastureLandAEZ16,UnmanagedPastureAEZ16,0.7,15.5,0.7,15.5,10,0,0,UnmanagedPasture,AEZ16,Pasture
India,root,AgroForestLandAEZ16,AllPastureLandAEZ16,UnmanagedPastureAEZ16,0.7,15.5,0.7,15.5,10,0,0,UnmanagedPasture,AEZ16,Pasture
USA,root,AgroForestLandAEZ17,AllPastureLandAEZ17,UnmanagedPastureAEZ17,0.8,17,0.8,17,10,0,0,UnmanagedPasture,AEZ17,Pasture
Canada,root,AgroForestLandAEZ17,AllPastureLandAEZ17,UnmanagedPastureAEZ17,0.8,17,0.8,17,10,0,0,UnmanagedPasture,AEZ17,Pasture
Western Europe,root,AgroForestLandAEZ17,AllPastureLandAEZ17,UnmanagedPastureAEZ17,0.8,17,0.8,17,10,0,0,UnmanagedPasture,AEZ17,Pasture
Japan,root,AgroForestLandAEZ17,AllPastureLandAEZ17,UnmanagedPastureAEZ17,0.8,17,0.8,17,10,0,0,UnmanagedPasture,AEZ17,Pasture
Australia_NZ,root,AgroForestLandAEZ17,AllPastureLandAEZ17,UnmanagedPastureAEZ17,0.8,12.5,0.8,12.5,10,0,0,UnmanagedPasture,AEZ17,Pasture
Former Soviet Union,root,AgroForestLandAEZ17,AllPastureLandAEZ17,UnmanagedPastureAEZ17,0.8,17,0.8,17,10,0,0,UnmanagedPasture,AEZ17,Pasture
China,root,AgroForestLandAEZ17,AllPastureLandAEZ17,UnmanagedPastureAEZ17,0.8,17,0.8,17,10,0,0,UnmanagedPasture,AEZ17,Pasture
Middle East,root,AgroForestLandAEZ17,AllPastureLandAEZ17,UnmanagedPastureAEZ17,0.8,17,0.8,17,10,0,0,UnmanagedPasture,AEZ17,Pasture
Africa,root,AgroForestLandAEZ17,AllPastureLandAEZ17,UnmanagedPastureAEZ17,0.8,17,0.8,17,10,0,0,UnmanagedPasture,AEZ17,Pasture
Latin America,root,AgroForestLandAEZ17,AllPastureLandAEZ17,UnmanagedPastureAEZ17,0.8,17,0.8,17,10,0,0,UnmanagedPasture,AEZ17,Pasture
Southeast Asia,root,AgroForestLandAEZ17,AllPastureLandAEZ17,UnmanagedPastureAEZ17,0.8,17,0.8,17,10,0,0,UnmanagedPasture,AEZ17,Pasture
Eastern Europe,root,AgroForestLandAEZ17,AllPastureLandAEZ17,UnmanagedPastureAEZ17,0.8,17,0.8,17,10,0,0,UnmanagedPasture,AEZ17,Pasture
Korea,root,AgroForestLandAEZ17,AllPastureLandAEZ17,UnmanagedPastureAEZ17,0.8,17,0.8,17,10,0,0,UnmanagedPasture,AEZ17,Pasture
India,root,AgroForestLandAEZ17,AllPastureLandAEZ17,UnmanagedPastureAEZ17,0.8,17,0.8,17,10,0,0,UnmanagedPasture,AEZ17,Pasture
USA,root,AgroForestLandAEZ18,AllPastureLandAEZ18,UnmanagedPastureAEZ18,1,18.5,1,18.5,10,0,0,UnmanagedPasture,AEZ18,Pasture
Canada,root,AgroForestLandAEZ18,AllPastureLandAEZ18,UnmanagedPastureAEZ18,1,18.5,1,18.5,10,0,0,UnmanagedPasture,AEZ18,Pasture
Western Europe,root,AgroForestLandAEZ18,AllPastureLandAEZ18,UnmanagedPastureAEZ18,1,18.5,1,18.5,10,0,0,UnmanagedPasture,AEZ18,Pasture
Japan,root,AgroForestLandAEZ18,AllPastureLandAEZ18,UnmanagedPastureAEZ18,1,18.5,1,18.5,10,0,0,UnmanagedPasture,AEZ18,Pasture
Australia_NZ,root,AgroForestLandAEZ18,AllPastureLandAEZ18,UnmanagedPastureAEZ18,1,18.5,1,18.5,10,0,0,UnmanagedPasture,AEZ18,Pasture
Former Soviet Union,root,AgroForestLandAEZ18,AllPastureLandAEZ18,UnmanagedPastureAEZ18,1,18.5,1,18.5,10,0,0,UnmanagedPasture,AEZ18,Pasture
China,root,AgroForestLandAEZ18,AllPastureLandAEZ18,UnmanagedPastureAEZ18,1,18.5,1,18.5,10,0,0,UnmanagedPasture,AEZ18,Pasture
Middle East,root,AgroForestLandAEZ18,AllPastureLandAEZ18,UnmanagedPastureAEZ18,1,18.5,1,18.5,10,0,0,UnmanagedPasture,AEZ18,Pasture
Africa,root,AgroForestLandAEZ18,AllPastureLandAEZ18,UnmanagedPastureAEZ18,1,18.5,1,18.5,10,0,0,UnmanagedPasture,AEZ18,Pasture
Latin America,root,AgroForestLandAEZ18,AllPastureLandAEZ18,UnmanagedPastureAEZ18,1,18.5,1,18.5,10,0,0,UnmanagedPasture,AEZ18,Pasture
Southeast Asia,root,AgroForestLandAEZ18,AllPastureLandAEZ18,UnmanagedPastureAEZ18,1,18.5,1,18.5,10,0,0,UnmanagedPasture,AEZ18,Pasture
Eastern Europe,root,AgroForestLandAEZ18,AllPastureLandAEZ18,UnmanagedPastureAEZ18,1,18.5,1,18.5,10,0,0,UnmanagedPasture,AEZ18,Pasture
Korea,root,AgroForestLandAEZ18,AllPastureLandAEZ18,UnmanagedPastureAEZ18,1,18.5,1,18.5,10,0,0,UnmanagedPasture,AEZ18,Pasture
India,root,AgroForestLandAEZ18,AllPastureLandAEZ18,UnmanagedPastureAEZ18,1,18.5,1,18.5,10,0,0,UnmanagedPasture,AEZ18,Pasture
