Africa,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,UnmanagedForestAEZ17,0,0,0,0,0,0,0,0,0,0,,9,9UnmanagedForest,AEZ17,,
Africa,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,UnmanagedForestAEZ18,0,0,0,0,0,0,0,0,0,0,,9,9UnmanagedForest,AEZ18,,
Latin America,root,AgroForestLandAEZ1,AgroForest_NonPastureAEZ1,AllForestLandAEZ1,UnmanagedForestAEZ1,19.90498025,17.6171622,16.19740943,31.05922333,30.96715891,30.82776929,29.73538555,27.85827328,23.71072829,19.90498025,,10,10UnmanagedForest,AEZ1,,
Latin America,root,AgroForestLandAEZ2,AgroForest_NonPastureAEZ2,AllForestLandAEZ2,UnmanagedForestAEZ2,30.19121029,27.74629112,27.66207427,50.2705844,50.01747783,49.69729133,48.72701012,46.15327908,38.73889041,30.19121029,,10,10UnmanagedForest,AEZ2,,
Latin America,root,AgroForestLandAEZ3,AgroForest_NonPastureAEZ3,AllForestLandAEZ3,UnmanagedForestAEZ3,113.4559816,102.2956819,92.64497967,181.5348677,180.7605228,179.5306792,175.2831209,167.1000721,140.1421092,113.4559816,,10,10UnmanagedForest,AEZ3,,
Latin America,root,AgroForestLandAEZ4,AgroForest_NonPastureAEZ4,AllForestLandAEZ4,UnmanagedForestAEZ4,381.1899226,355.0356705,332.5798306,541.9213223,540.284185,537.8206388,529.5411098,511.48127,443.198042,381.1899226,,10,10UnmanagedForest,AEZ4,,
Latin America,root,AgroForestLandAEZ5,AgroForest_NonPastureAEZ5,AllForestLandAEZ5,UnmanagedForestAEZ5,1776.967329,1671.784245,1617.515827,2403.584029,2399.079391,2391.927023,2361.974202,2292.58538,2016.187593,1776.967329,,10,10UnmanagedForest,AEZ5,,
Latin America,root,AgroForestLandAEZ6,AgroForest_NonPastureAEZ6,AllForestLandAEZ6,UnmanagedForestAEZ6,5463.404167,5324.811155,5260.009417,6158.6693,6152.088089,6140.431319,6105.173643,6018.310396,5732.298407,5463.404167,,10,10UnmanagedForest,AEZ6,,
Latin America,root,AgroForestLandAEZ7,AgroForest_NonPastureAEZ7,AllForestLandAEZ7,UnmanagedForestAEZ7,62.7399623,58.27118215,56.03741505,109.3122014,108.4895691,107.4130502,104.7498059,98.12967863,76.96592731,62.7399623,,10,10UnmanagedForest,AEZ7,,
Latin America,root,AgroForestLandAEZ8,AgroForest_NonPastureAEZ8,AllForestLandAEZ8,UnmanagedForestAEZ8,120.0333004,108.5132661,100.4787686,180.0259341,178.9391171,177.6923737,173.9157548,166.4377267,141.3681204,120.0333004,,10,10UnmanagedForest,AEZ8,,
Latin America,root,AgroForestLandAEZ9,AgroForest_NonPastureAEZ9,AllForestLandAEZ9,UnmanagedForestAEZ9,194.2663547,185.6939943,178.7213485,262.8226991,260.6631479,258.1280387,251.9650504,242.128743,215.4763572,194.2663547,,10,10UnmanagedForest,AEZ9,,
Latin America,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10,UnmanagedForestAEZ10,137.1635206,132.1582029,127.6556962,179.9699139,178.9775117,177.7772514,175.0320712,169.2541123,151.9750073,137.1635206,,10,10UnmanagedForest,AEZ10,,
Latin America,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11,UnmanagedForestAEZ11,45.03060731,43.50984355,41.91496212,66.79581824,66.57561954,66.19227345,64.78614179,60.81904019,51.54793393,45.03060731,,10,10UnmanagedForest,AEZ11,,
Latin America,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,UnmanagedForestAEZ12,263.3547389,240.3403881,210.6320721,440.9353594,439.7986531,437.7829579,429.6056504,407.2205657,323.7700672,263.3547389,,10,10UnmanagedForest,AEZ12,,
Latin America,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,UnmanagedForestAEZ13,8.43379812,8.339976169,8.254604032,15.10290036,15.06300927,14.9443703,14.52409842,13.23879322,9.422633552,8.43379812,,10,10UnmanagedForest,AEZ13,,
Latin America,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,UnmanagedForestAEZ14,50.34825736,49.92646061,49.74700166,78.2613791,78.07563913,77.59293468,75.82354542,70.44331989,54.83494028,50.34825736,,10,10UnmanagedForest,AEZ14,,
Latin America,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,UnmanagedForestAEZ15,30.91720996,30.44773631,29.89479105,35.49793899,35.46780724,35.41147765,35.10881472,34.25946456,32.24567019,30.91720996,,10,10UnmanagedForest,AEZ15,,
Latin America,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,UnmanagedForestAEZ16,41.4641038,40.65204503,40.12699809,45.83456605,45.82575388,45.80349624,45.5205301,44.64307369,43.20043379,41.4641038,,10,10UnmanagedForest,AEZ16,,
Latin America,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,UnmanagedForestAEZ17,16.35761407,16.10731125,16.00222834,18.03975889,18.03156756,18.02180532,17.91807942,17.61916443,17.05057895,16.35761407,,10,10UnmanagedForest,AEZ17,,
Latin America,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,UnmanagedForestAEZ18,7.193300078,7.068243779,7.024553161,8.140438995,8.135886213,8.130651952,8.07135618,7.901126336,7.580487694,7.193300078,,10,10UnmanagedForest,AEZ18,,
Southeast Asia,root,AgroForestLandAEZ1,AgroForest_NonPastureAEZ1,AllForestLandAEZ1,UnmanagedForestAEZ1,0,0,0,0,0,0,0,0,0,0,,11,11UnmanagedForest,AEZ1,,
Southeast Asia,root,AgroForestLandAEZ2,AgroForest_NonPastureAEZ2,AllForestLandAEZ2,UnmanagedForestAEZ2,0,0,0,0,0,0,0,0,0,0,,11,11UnmanagedForest,AEZ2,,
Southeast Asia,root,AgroForestLandAEZ3,AgroForest_NonPastureAEZ3,AllForestLandAEZ3,UnmanagedForestAEZ3,3.226774002,2.988396187,3.650521012,5.404947541,5.284978025,5.059706564,4.535283115,4.303397642,3.810833368,3.226774002,,11,11UnmanagedForest,AEZ3,,
Southeast Asia,root,AgroForestLandAEZ4,AgroForest_NonPastureAEZ4,AllForestLandAEZ4,UnmanagedForestAEZ4,270.8122135,227.1650969,258.2962586,470.3435413,465.0518359,457.0529367,440.0723485,412.0002761,349.5913767,270.8122135,,11,11UnmanagedForest,AEZ4,,
Southeast Asia,root,AgroForestLandAEZ5,AgroForest_NonPastureAEZ5,AllForestLandAEZ5,UnmanagedForestAEZ5,528.4859845,498.9564766,502.9529942,739.5560227,728.454523,711.7151753,681.9194996,633.343654,578.2797055,528.4859845,,11,11UnmanagedForest,AEZ5,,
Southeast Asia,root,AgroForestLandAEZ6,AgroForest_NonPastureAEZ6,AllForestLandAEZ6,UnmanagedForestAEZ6,1860.933942,1718.772672,1657.088209,2236.909491,2229.864992,2220.397525,2204.870371,2133.782011,1967.494549,1860.933942,,11,11UnmanagedForest,AEZ6,,
Southeast Asia,root,AgroForestLandAEZ7,AgroForest_NonPastureAEZ7,AllForestLandAEZ7,UnmanagedForestAEZ7,0,0,0,0,0,0,0,0,0,0,,11,11UnmanagedForest,AEZ7,,
Southeast Asia,root,AgroForestLandAEZ8,AgroForest_NonPastureAEZ8,AllForestLandAEZ8,UnmanagedForestAEZ8,0.343083375,0.256343593,0.142436049,0.923970665,0.904110585,0.873994505,0.818024565,0.700023809,0.506608957,0.343083375,,11,11UnmanagedForest,AEZ8,,
Southeast Asia,root,AgroForestLandAEZ9,AgroForest_NonPastureAEZ9,AllForestLandAEZ9,UnmanagedForestAEZ9,0.100772802,0.099846513,0.157524725,0.322375254,0.315596343,0.3069824,0.293695527,0.277027344,0.149641488,0.100772802,,11,11UnmanagedForest,AEZ9,,
Southeast Asia,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10,UnmanagedForestAEZ10,14.78455306,13.8948944,13.56699355,22.88170375,22.61880821,22.26391816,21.75580665,21.15912196,17.94325307,14.78455306,,11,11UnmanagedForest,AEZ10,,
Southeast Asia,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11,UnmanagedForestAEZ11,219.0913754,210.4597833,204.4896299,243.1163916,242.3838825,241.7521285,240.2891736,237.5232025,228.9647425,219.0913754,,11,11UnmanagedForest,AEZ11,,
Southeast Asia,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,UnmanagedForestAEZ12,100.1458775,95.43905424,91.19703687,109.9247101,109.6367063,109.4406139,109.2356458,108.4127722,104.7877144,100.1458775,,11,11UnmanagedForest,AEZ12,,
Southeast Asia,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,UnmanagedForestAEZ13,0.049348452,0.045475116,0.038057818,0.066475646,0.066184568,0.066015443,0.065407948,0.064047021,0.05671538,0.049348452,,11,11UnmanagedForest,AEZ13,,
Southeast Asia,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,UnmanagedForestAEZ14,1.120690476,1.055338079,0.879768056,1.390870513,1.385082764,1.379804483,1.368919718,1.344763021,1.23864481,1.120690476,,11,11UnmanagedForest,AEZ14,,
Southeast Asia,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,UnmanagedForestAEZ15,3.897379702,3.669167609,3.134035877,4.485150804,4.463615909,4.449955426,4.434617511,4.402090024,4.183857988,3.897379702,,11,11UnmanagedForest,AEZ15,,
Southeast Asia,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,UnmanagedForestAEZ16,8.127897065,7.70676073,7.274385315,9.199537317,9.163381748,9.139644294,9.106493863,9.024488269,8.600956214,8.127897065,,11,11UnmanagedForest,AEZ16,,
Southeast Asia,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,UnmanagedForestAEZ17,0,0,0,0,0,0,0,0,0,0,,11,11UnmanagedForest,AEZ17,,
Southeast Asia,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,UnmanagedForestAEZ18,0,0,0,0,0,0,0,0,0,0,,11,11UnmanagedForest,AEZ18,,
Eastern Europe,root,AgroForestLandAEZ1,AgroForest_NonPastureAEZ1,AllForestLandAEZ1,UnmanagedForestAEZ1,0,0,0,0,0,0,0,0,0,0,,12,12UnmanagedForest,AEZ1,,
Eastern Europe,root,AgroForestLandAEZ2,AgroForest_NonPastureAEZ2,AllForestLandAEZ2,UnmanagedForestAEZ2,0,0,0,0,0,0,0,0,0,0,,12,12UnmanagedForest,AEZ2,,
Eastern Europe,root,AgroForestLandAEZ3,AgroForest_NonPastureAEZ3,AllForestLandAEZ3,UnmanagedForestAEZ3,0,0,0,0,0,0,0,0,0,0,,12,12UnmanagedForest,AEZ3,,
Eastern Europe,root,AgroForestLandAEZ4,AgroForest_NonPastureAEZ4,AllForestLandAEZ4,UnmanagedForestAEZ4,0,0,0,0,0,0,0,0,0,0,,12,12UnmanagedForest,AEZ4,,
Eastern Europe,root,AgroForestLandAEZ5,AgroForest_NonPastureAEZ5,AllForestLandAEZ5,UnmanagedForestAEZ5,0,0,0,0,0,0,0,0,0,0,,12,12UnmanagedForest,AEZ5,,
Eastern Europe,root,AgroForestLandAEZ6,AgroForest_NonPastureAEZ6,AllForestLandAEZ6,UnmanagedForestAEZ6,0,0,0,0,0,0,0,0,0,0,,12,12UnmanagedForest,AEZ6,,
Eastern Europe,root,AgroForestLandAEZ7,AgroForest_NonPastureAEZ7,AllForestLandAEZ7,UnmanagedForestAEZ7,0,0,0,0,0,0,0,0,0,0,,12,12UnmanagedForest,AEZ7,,
Eastern Europe,root,AgroForestLandAEZ8,AgroForest_NonPastureAEZ8,AllForestLandAEZ8,UnmanagedForestAEZ8,0.377995998,0.374495137,0.349761789,0.495682388,0.476366641,0.456362691,0.427133944,0.425403528,0.414399573,0.377995998,,12,12UnmanagedForest,AEZ8,,
Eastern Europe,root,AgroForestLandAEZ9,AgroForest_NonPastureAEZ9,AllForestLandAEZ9,UnmanagedForestAEZ9,24.79141555,24.51192097,29.21775665,62.43907687,59.45915512,56.33280802,51.58672175,44.38271906,30.42999551,24.79141555,,12,12UnmanagedForest,AEZ9,,
Eastern Europe,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10,UnmanagedForestAEZ10,266.9002427,269.1753977,289.102699,583.1424276,569.0402352,551.6570942,504.1626697,374.8346941,321.6948948,266.9002427,,12,12UnmanagedForest,AEZ10,,
Eastern Europe,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11,UnmanagedForestAEZ11,29.78474876,32.37901987,41.59375039,93.00180099,89.13320288,84.68333663,76.45585326,60.2104645,34.31755006,29.78474876,,12,12UnmanagedForest,AEZ11,,
Eastern Europe,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,UnmanagedForestAEZ12,0.41142675,0.406023416,0.597378704,2.376290551,2.361820406,2.330071946,2.209882067,1.727797577,0.487507576,0.41142675,,12,12UnmanagedForest,AEZ12,,
Eastern Europe,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,UnmanagedForestAEZ13,0,0,0,0,0,0,0,0,0,0,,12,12UnmanagedForest,AEZ13,,
Eastern Europe,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,UnmanagedForestAEZ14,0,0,0,0,0,0,0,0,0,0,,12,12UnmanagedForest,AEZ14,,
Eastern Europe,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,UnmanagedForestAEZ15,5.839768522,5.688494536,5.464784307,8.544409023,8.348389764,8.147490089,7.830521891,7.262838322,6.583210816,5.839768522,,12,12UnmanagedForest,AEZ15,,
Eastern Europe,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,UnmanagedForestAEZ16,6.229496312,6.052627573,5.619847876,9.302400343,9.107175211,8.899599803,8.549998339,7.844692907,7.093318955,6.229496312,,12,12UnmanagedForest,AEZ16,,
Eastern Europe,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,UnmanagedForestAEZ17,0,0,0,0,0,0,0,0,0,0,,12,12UnmanagedForest,AEZ17,,
Eastern Europe,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,UnmanagedForestAEZ18,0,0,0,0,0,0,0,0,0,0,,12,12UnmanagedForest,AEZ18,,
Korea,root,AgroForestLandAEZ1,AgroForest_NonPastureAEZ1,AllForestLandAEZ1,UnmanagedForestAEZ1,0,0,0,0,0,0,0,0,0,0,,13,13UnmanagedForest,AEZ1,,
Korea,root,AgroForestLandAEZ2,AgroForest_NonPastureAEZ2,AllForestLandAEZ2,UnmanagedForestAEZ2,0,0,0,0,0,0,0,0,0,0,,13,13UnmanagedForest,AEZ2,,
Korea,root,AgroForestLandAEZ3,AgroForest_NonPastureAEZ3,AllForestLandAEZ3,UnmanagedForestAEZ3,0,0,0,0,0,0,0,0,0,0,,13,13UnmanagedForest,AEZ3,,
Korea,root,AgroForestLandAEZ4,AgroForest_NonPastureAEZ4,AllForestLandAEZ4,UnmanagedForestAEZ4,0,0,0,0,0,0,0,0,0,0,,13,13UnmanagedForest,AEZ4,,
Korea,root,AgroForestLandAEZ5,AgroForest_NonPastureAEZ5,AllForestLandAEZ5,UnmanagedForestAEZ5,0,0,0,0,0,0,0,0,0,0,,13,13UnmanagedForest,AEZ5,,
Korea,root,AgroForestLandAEZ6,AgroForest_NonPastureAEZ6,AllForestLandAEZ6,UnmanagedForestAEZ6,0,0,0,0,0,0,0,0,0,0,,13,13UnmanagedForest,AEZ6,,
Korea,root,AgroForestLandAEZ7,AgroForest_NonPastureAEZ7,AllForestLandAEZ7,UnmanagedForestAEZ7,0,0,0,0,0,0,0,0,0,0,,13,13UnmanagedForest,AEZ7,,
Korea,root,AgroForestLandAEZ8,AgroForest_NonPastureAEZ8,AllForestLandAEZ8,UnmanagedForestAEZ8,0,0,0,0,0,0,0,0,0,0,,13,13UnmanagedForest,AEZ8,,
Korea,root,AgroForestLandAEZ9,AgroForest_NonPastureAEZ9,AllForestLandAEZ9,UnmanagedForestAEZ9,0,0,0,0,0,0,0,0,0,0,,13,13UnmanagedForest,AEZ9,,
Korea,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10,UnmanagedForestAEZ10,38.00276037,36.62270319,34.57440624,43.3233327,43.14316584,43.11763306,42.89536924,42.58878217,40.52463831,38.00276037,,13,13UnmanagedForest,AEZ10,,
Korea,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11,UnmanagedForestAEZ11,27.62146578,27.21253706,27.7997067,39.26398475,38.71140332,37.88518639,36.9371851,36.36792501,31.97156015,27.62146578,,13,13UnmanagedForest,AEZ11,,
Korea,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,UnmanagedForestAEZ12,0,0,0,0,0,0,0,0,0,0,,13,13UnmanagedForest,AEZ12,,
Korea,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,UnmanagedForestAEZ13,0,0,0,0,0,0,0,0,0,0,,13,13UnmanagedForest,AEZ13,,
Korea,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,UnmanagedForestAEZ14,0,0,0,0,0,0,0,0,0,0,,13,13UnmanagedForest,AEZ14,,
Korea,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,UnmanagedForestAEZ15,0,0,0,0,0,0,0,0,0,0,,13,13UnmanagedForest,AEZ15,,
Korea,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,UnmanagedForestAEZ16,0,0,0,0,0,0,0,0,0,0,,13,13UnmanagedForest,AEZ16,,
Korea,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,UnmanagedForestAEZ17,0,0,0,0,0,0,0,0,0,0,,13,13UnmanagedForest,AEZ17,,
Korea,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,UnmanagedForestAEZ18,0,0,0,0,0,0,0,0,0,0,,13,13UnmanagedForest,AEZ18,,
India,root,AgroForestLandAEZ1,AgroForest_NonPastureAEZ1,AllForestLandAEZ1,UnmanagedForestAEZ1,0,0,0,0,0,0,0,0,0,0,,14,14UnmanagedForest,AEZ1,,
India,root,AgroForestLandAEZ2,AgroForest_NonPastureAEZ2,AllForestLandAEZ2,UnmanagedForestAEZ2,31.07037726,24.84907348,27.62921602,109.0034592,103.0636063,93.12888963,75.01651532,69.66395774,52.9932438,31.07037726,,14,14UnmanagedForest,AEZ2,,
India,root,AgroForestLandAEZ3,AgroForest_NonPastureAEZ3,AllForestLandAEZ3,UnmanagedForestAEZ3,223.3105251,182.2709458,195.6967317,771.1754397,708.0464758,618.2979598,484.2487511,444.5747254,346.7672729,223.3105251,,14,14UnmanagedForest,AEZ3,,
India,root,AgroForestLandAEZ4,AgroForest_NonPastureAEZ4,AllForestLandAEZ4,UnmanagedForestAEZ4,113.7095896,95.56809578,68.26898282,331.6386648,300.9106458,259.1873349,206.6549568,189.5915561,155.0528117,113.7095896,,14,14UnmanagedForest,AEZ4,,
India,root,AgroForestLandAEZ5,AgroForest_NonPastureAEZ5,AllForestLandAEZ5,UnmanagedForestAEZ5,44.15132432,37.27484084,40.02028783,100.6744723,92.88706054,81.6082692,67.17293498,63.41115204,53.85391536,44.15132432,,14,14UnmanagedForest,AEZ5,,
India,root,AgroForestLandAEZ6,AgroForest_NonPastureAEZ6,AllForestLandAEZ6,UnmanagedForestAEZ6,38.2227046,32.03643147,27.78123397,66.7296956,64.73085874,61.41402754,55.4080705,53.20513269,46.26928501,38.2227046,,14,14UnmanagedForest,AEZ6,,
India,root,AgroForestLandAEZ7,AgroForest_NonPastureAEZ7,AllForestLandAEZ7,UnmanagedForestAEZ7,0,0,0,0,0,0,0,0,0,0,,14,14UnmanagedForest,AEZ7,,
India,root,AgroForestLandAEZ8,AgroForest_NonPastureAEZ8,AllForestLandAEZ8,UnmanagedForestAEZ8,21.74411114,17.00419981,19.17027509,65.92911879,59.58769048,51.52965074,40.90955082,39.25171505,32.90639728,21.74411114,,14,14UnmanagedForest,AEZ8,,
India,root,AgroForestLandAEZ9,AgroForest_NonPastureAEZ9,AllForestLandAEZ9,UnmanagedForestAEZ9,27.48601198,21.79448917,41.90235557,129.6444563,115.1764997,95.88235895,70.00028604,63.04011745,48.02494627,27.48601198,,14,14UnmanagedForest,AEZ9,,
India,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10,UnmanagedForestAEZ10,13.15502338,10.7407005,4.195257492,20.8271942,19.90601814,18.93748276,17.87127505,17.34564488,16.08823387,13.15502338,,14,14UnmanagedForest,AEZ10,,
India,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11,UnmanagedForestAEZ11,15.93778209,12.98180759,7.887361822,23.82794483,23.30567216,22.68377896,21.59582913,20.90822867,19.25171101,15.93778209,,14,14UnmanagedForest,AEZ11,,
India,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,UnmanagedForestAEZ12,39.63076032,33.29906239,29.17211223,50.30825663,49.77893452,49.0890187,47.99447661,46.98309037,44.9219932,39.63076032,,14,14UnmanagedForest,AEZ12,,
India,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,UnmanagedForestAEZ13,0.061210947,0.051478238,0.047271979,0.072120683,0.071612614,0.071047338,0.070409969,0.069270233,0.067362861,0.061210947,,14,14UnmanagedForest,AEZ13,,
India,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,UnmanagedForestAEZ14,0.050074797,0.040131352,0.018313785,0.06984222,0.069115933,0.068264818,0.066985106,0.065433749,0.061323051,0.050074797,,14,14UnmanagedForest,AEZ14,,
India,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,UnmanagedForestAEZ15,1.010356553,0.806183621,0.526294502,1.463458836,1.443353189,1.421496051,1.390071564,1.35607709,1.262691747,1.010356553,,14,14UnmanagedForest,AEZ15,,
India,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,UnmanagedForestAEZ16,0.697653979,0.573699956,0.378080882,0.909212563,0.900675404,0.890568803,0.876422046,0.858193151,0.816508541,0.697653979,,14,14UnmanagedForest,AEZ16,,
India,root,AgroForestLandAEZ17,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,UnmanagedForestAEZ17,0,0,0,0,0,0,0,0,0,0,,14,14UnmanagedForest,AEZ17,,
India,root,AgroForestLandAEZ18,AgroForest_NonPastureAEZ18,AllForestLandAEZ18,UnmanagedForestAEZ18,0,0,0,0,0,0,0,0,0,0,,14,14UnmanagedForest,AEZ18,,
,,,,,,,,,,,,,,,,,,,,,
Land allocation and land use history: other arable land,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,
VariableID,,,,,,,,,,,,,,,,,,,,,
10000,,,,,,,,,land-use history,,,,,,,,,,,,
,,,,,,landAllocation,,,allocation,,,,,,,,,,,,
region,Land Allocator Root,LandNode1,LandNode2,LandNode3,UnmanagedLandLeaf,1975,1990,2005,1700,1750,1800,1850,1900,1950,1975,,region ID,lookup1,lookup2,,
USA,root,AgroForestLandAEZ1,AgroForest_NonPastureAEZ1,CropLandAEZ1,OtherArableLandAEZ1,0,0,0,0,0,0,0,0,0,0,,1,1OtherArableLand,AEZ1,,
USA,root,AgroForestLandAEZ2,AgroForest_NonPastureAEZ2,CropLandAEZ2,OtherArableLandAEZ2,0,0,0,0,0,0,0,0,0,0,,1,1OtherArableLand,AEZ2,,
USA,root,AgroForestLandAEZ3,AgroForest_NonPastureAEZ3,CropLandAEZ3,OtherArableLandAEZ3,0,0,0,0,0,0,0,0,0,0,,1,1OtherArableLand,AEZ3,,
USA,root,AgroForestLandAEZ4,AgroForest_NonPastureAEZ4,CropLandAEZ4,OtherArableLandAEZ4,0,0,0,0,0,0,0,0,0,0,,1,1OtherArableLand,AEZ4,,
USA,root,AgroForestLandAEZ5,AgroForest_NonPastureAEZ5,CropLandAEZ5,OtherArableLandAEZ5,0,0,0,0,0,0,0,0,0,0,,1,1OtherArableLand,AEZ5,,
USA,root,AgroForestLandAEZ6,AgroForest_NonPastureAEZ6,CropLandAEZ6,OtherArableLandAEZ6,0,0,0,0,0,0,0,0,0,0,,1,1OtherArableLand,AEZ6,,
USA,root,AgroForestLandAEZ7,AgroForest_NonPastureAEZ7,CropLandAEZ7,OtherArableLandAEZ7,16.62592064,19.69567383,83.59602877,0.103244485,0.197905108,0.388007428,0.627727985,6.547969114,13.68079654,16.62592064,,1,1OtherArableLand,AEZ7,,
USA,root,AgroForestLandAEZ8,AgroForest_NonPastureAEZ8,CropLandAEZ8,OtherArableLandAEZ8,12.85069795,16.15617273,92.46431544,0.027710702,0.074518253,0.193296875,0.331076725,5.057570266,10.57652687,12.85069795,,1,1OtherArableLand,AEZ8,,
USA,root,AgroForestLandAEZ9,AgroForest_NonPastureAEZ9,CropLandAEZ9,OtherArableLandAEZ9,8.377975035,9.302195546,11.77683793,0.034578645,0.079237589,0.191643339,0.427614044,5.1017359,7.853336746,8.377975035,,1,1OtherArableLand,AEZ9,,
USA,root,AgroForestLandAEZ10,AgroForest_NonPastureAEZ10,CropLandAEZ10,OtherArableLandAEZ10,236.9629473,224.0961619,126.4190467,0.681891053,2.759012133,9.008766826,54.72641355,196.5731914,246.700602,236.9629473,,1,1OtherArableLand,AEZ10,,
USA,root,AgroForestLandAEZ11,AgroForest_NonPastureAEZ11,CropLandAEZ11,OtherArableLandAEZ11,285.5874243,265.0294964,162.2388899,1.005627121,4.57771312,15.84914564,91.90316819,254.2928019,304.8871413,285.5874243,,1,1OtherArableLand,AEZ11,,
USA,root,AgroForestLandAEZ12,AgroForest_NonPastureAEZ12,CropLandAEZ12,OtherArableLandAEZ12,244.9678528,216.0476007,82.00894583,0.577577388,2.43160511,8.516795381,60.91549812,203.8713984,263.1248259,244.9678528,,1,1OtherArableLand,AEZ12,,
USA,root,AgroForestLandAEZ13,AgroForest_NonPastureAEZ13,CropLandAEZ13,OtherArableLandAEZ13,2.885338235,4.097278388,14.7463017,0.00375036,0.010723503,0.027296237,0.046506697,0.444380784,1.933738177,2.885338235,,1,1OtherArableLand,AEZ13,,
USA,root,AgroForestLandAEZ14,AgroForest_NonPastureAEZ14,CropLandAEZ14,OtherArableLandAEZ14,1.718994804,2.382693271,5.725806266,0,0.000681359,0.005865021,0.017785032,0.224179855,1.17950616,1.718994804,,1,1OtherArableLand,AEZ14,,
USA,root,AgroForestLandAEZ15,AgroForest_NonPastureAEZ15,CropLandAEZ15,OtherArableLandAEZ15,0.984137458,1.033655927,0.945254159,0,0.004043295,0.01614651,0.072137659,0.437831959,0.735675125,0.984137458,,1,1OtherArableLand,AEZ15,,
USA,root,AgroForestLandAEZ16,AgroForest_NonPastureAEZ16,CropLandAEZ16,OtherArableLandAEZ16,0.152538015,0.169952231,0.218868517,0,0,0,0.000783163,0.034582501,0.121064065,0.152538015,,1,1OtherArableLand,AEZ16,,
