INPUT_TABLE
Variable ID
LN2_MgdCarbon

region,LandAllocatorRoot,LandNode1,LandNode2,LandLeaf2,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,Land_Type,AEZ,Cdensity_LT
Japan,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,0.3,8.25,0.3,8.25,10,0,0,Pasture,AEZ13,Pasture
Australia_NZ,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,0.3,8.25,0.3,8.25,10,0,0,Pasture,AEZ13,Pasture
Former Soviet Union,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,0.3,8.175,0.3,8.175,10,0,0,Pasture,AEZ13,Pasture
China,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,0.3,8.25,0.3,8.25,10,0,0,Pasture,AEZ13,Pasture
Middle East,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,0.3,8.25,0.3,8.25,10,0,0,Pasture,AEZ13,Pasture
Africa,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,0.3,8.25,0.3,8.25,10,0,0,Pasture,AEZ13,Pasture
Latin America,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,0.3,8.25,0.3,8.25,10,0,0,Pasture,AEZ13,Pasture
Southeast Asia,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,0.3,8.25,0.3,8.25,10,0,0,Pasture,AEZ13,Pasture
Eastern Europe,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,0.3,8.25,0.3,8.25,10,0,0,Pasture,AEZ13,Pasture
Korea,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,0.3,8.25,0.3,8.25,10,0,0,Pasture,AEZ13,Pasture
India,root,AgroForestLandAEZ13,AllPastureLandAEZ13,PastureAEZ13,0.3,8.25,0.3,8.25,10,0,0,Pasture,AEZ13,Pasture
USA,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,0.35,9.375,0.35,9.375,10,0,0,Pasture,AEZ14,Pasture
Canada,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,0.35,7.875,0.35,7.875,10,0,0,Pasture,AEZ14,Pasture
Western Europe,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,0.35,9.15,0.35,9.15,10,0,0,Pasture,AEZ14,Pasture
Japan,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,0.35,9.375,0.35,9.375,10,0,0,Pasture,AEZ14,Pasture
Australia_NZ,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,0.35,9.375,0.35,9.375,10,0,0,Pasture,AEZ14,Pasture
Former Soviet Union,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,0.35,8.325,0.35,8.325,10,0,0,Pasture,AEZ14,Pasture
China,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,0.35,9.15,0.35,9.15,10,0,0,Pasture,AEZ14,Pasture
Middle East,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,0.35,9.375,0.35,9.375,10,0,0,Pasture,AEZ14,Pasture
Africa,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,0.35,9.375,0.35,9.375,10,0,0,Pasture,AEZ14,Pasture
Latin America,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,0.35,9.375,0.35,9.375,10,0,0,Pasture,AEZ14,Pasture
Southeast Asia,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,0.35,9.375,0.35,9.375,10,0,0,Pasture,AEZ14,Pasture
Eastern Europe,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,0.35,9.375,0.35,9.375,10,0,0,Pasture,AEZ14,Pasture
Korea,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,0.35,9.375,0.35,9.375,10,0,0,Pasture,AEZ14,Pasture
India,root,AgroForestLandAEZ14,AllPastureLandAEZ14,PastureAEZ14,0.35,9.375,0.35,9.375,10,0,0,Pasture,AEZ14,Pasture
USA,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,0.35,10.5,0.35,10.5,10,0,0,Pasture,AEZ15,Pasture
Canada,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,0.35,7.425,0.35,7.425,10,0,0,Pasture,AEZ15,Pasture
Western Europe,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,0.35,10.2,0.35,10.2,10,0,0,Pasture,AEZ15,Pasture
Japan,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ15,Pasture
Australia_NZ,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,0.35,10.5,0.35,10.5,10,0,0,Pasture,AEZ15,Pasture
Former Soviet Union,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,0.35,8.1,0.35,8.1,10,0,0,Pasture,AEZ15,Pasture
China,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,0.35,9.45,0.35,9.45,10,0,0,Pasture,AEZ15,Pasture
Middle East,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,0.35,10.5,0.35,10.5,10,0,0,Pasture,AEZ15,Pasture
Africa,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,0.35,10.5,0.35,10.5,10,0,0,Pasture,AEZ15,Pasture
Latin America,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,0.35,10.425,0.35,10.425,10,0,0,Pasture,AEZ15,Pasture
Southeast Asia,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,0.35,10.5,0.35,10.5,10,0,0,Pasture,AEZ15,Pasture
Eastern Europe,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,0.35,10.5,0.35,10.5,10,0,0,Pasture,AEZ15,Pasture
Korea,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,0.35,10.5,0.35,10.5,10,0,0,Pasture,AEZ15,Pasture
India,root,AgroForestLandAEZ15,AllPastureLandAEZ15,PastureAEZ15,0.35,10.5,0.35,10.5,10,0,0,Pasture,AEZ15,Pasture
USA,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,0.35,11.625,0.35,11.625,10,0,0,Pasture,AEZ16,Pasture
Canada,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,0.35,7.125,0.35,7.125,10,0,0,Pasture,AEZ16,Pasture
Western Europe,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,0.35,11.325,0.35,11.325,10,0,0,Pasture,AEZ16,Pasture
Japan,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,0.35,11.625,0.35,11.625,10,0,0,Pasture,AEZ16,Pasture
Australia_NZ,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,0.35,11.625,0.35,11.625,10,0,0,Pasture,AEZ16,Pasture
Former Soviet Union,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,0.35,9.825,0.35,9.825,10,0,0,Pasture,AEZ16,Pasture
China,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,0.35,11.625,0.35,11.625,10,0,0,Pasture,AEZ16,Pasture
Middle East,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,0.35,11.625,0.35,11.625,10,0,0,Pasture,AEZ16,Pasture
Africa,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,0.35,11.625,0.35,11.625,10,0,0,Pasture,AEZ16,Pasture
Latin America,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,0.35,11.55,0.35,11.55,10,0,0,Pasture,AEZ16,Pasture
Southeast Asia,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,0.35,11.625,0.35,11.625,10,0,0,Pasture,AEZ16,Pasture
Eastern Europe,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,0.35,11.625,0.35,11.625,10,0,0,Pasture,AEZ16,Pasture
Korea,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,0.35,11.625,0.35,11.625,10,0,0,Pasture,AEZ16,Pasture
India,root,AgroForestLandAEZ16,AllPastureLandAEZ16,PastureAEZ16,0.35,11.625,0.35,11.625,10,0,0,Pasture,AEZ16,Pasture
USA,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,0.4,12.75,0.4,12.75,10,0,0,Pasture,AEZ17,Pasture
Canada,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,0.4,12.75,0.4,12.75,10,0,0,Pasture,AEZ17,Pasture
Western Europe,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,0.4,12.75,0.4,12.75,10,0,0,Pasture,AEZ17,Pasture
Japan,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,0.4,12.75,0.4,12.75,10,0,0,Pasture,AEZ17,Pasture
Australia_NZ,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,0.4,9.375,0.4,9.375,10,0,0,Pasture,AEZ17,Pasture
Former Soviet Union,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,0.4,12.75,0.4,12.75,10,0,0,Pasture,AEZ17,Pasture
China,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,0.4,12.75,0.4,12.75,10,0,0,Pasture,AEZ17,Pasture
Middle East,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,0.4,12.75,0.4,12.75,10,0,0,Pasture,AEZ17,Pasture
Africa,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,0.4,12.75,0.4,12.75,10,0,0,Pasture,AEZ17,Pasture
Latin America,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,0.4,12.75,0.4,12.75,10,0,0,Pasture,AEZ17,Pasture
Southeast Asia,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,0.4,12.75,0.4,12.75,10,0,0,Pasture,AEZ17,Pasture
Eastern Europe,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,0.4,12.75,0.4,12.75,10,0,0,Pasture,AEZ17,Pasture
Korea,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,0.4,12.75,0.4,12.75,10,0,0,Pasture,AEZ17,Pasture
India,root,AgroForestLandAEZ17,AllPastureLandAEZ17,PastureAEZ17,0.4,12.75,0.4,12.75,10,0,0,Pasture,AEZ17,Pasture
USA,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,0.5,13.875,0.5,13.875,10,0,0,Pasture,AEZ18,Pasture
Canada,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,0.5,13.875,0.5,13.875,10,0,0,Pasture,AEZ18,Pasture
Western Europe,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,0.5,13.875,0.5,13.875,10,0,0,Pasture,AEZ18,Pasture
Japan,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,0.5,13.875,0.5,13.875,10,0,0,Pasture,AEZ18,Pasture
Australia_NZ,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,0.5,13.875,0.5,13.875,10,0,0,Pasture,AEZ18,Pasture
Former Soviet Union,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,0.5,13.875,0.5,13.875,10,0,0,Pasture,AEZ18,Pasture
China,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,0.5,13.875,0.5,13.875,10,0,0,Pasture,AEZ18,Pasture
Middle East,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,0.5,13.875,0.5,13.875,10,0,0,Pasture,AEZ18,Pasture
Africa,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,0.5,13.875,0.5,13.875,10,0,0,Pasture,AEZ18,Pasture
Latin America,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,0.5,13.875,0.5,13.875,10,0,0,Pasture,AEZ18,Pasture
Southeast Asia,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,0.5,13.875,0.5,13.875,10,0,0,Pasture,AEZ18,Pasture
Eastern Europe,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,0.5,13.875,0.5,13.875,10,0,0,Pasture,AEZ18,Pasture
Korea,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,0.5,13.875,0.5,13.875,10,0,0,Pasture,AEZ18,Pasture
India,root,AgroForestLandAEZ18,AllPastureLandAEZ18,PastureAEZ18,0.5,13.875,0.5,13.875,10,0,0,Pasture,AEZ18,Pasture

INPUT_TABLE
Variable ID
11000

from,to
LandNode1,LandNode
LandNode2,LandNode
LandNode3,LandNode
