Country,iso,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Netherlands,nld,155955,162539,167919,175791,182763,182596,191194,196392,201024,205501,207979,206925,204517,208014,214854,221470,227570,230788,236824,247906,258094,263955,269302,271352,277719,286143,294840,306157,319474,332239,343756,348661,348928,348464,356257,363547,375886,390624,397975,382393,388716
Norway,nor,38879,40874,42956,44852,46732,49175,52058,54280,56173,58690,61595,62190,62320,64551,68364,71919,74507,76039,76006,76733,78333,81166,83844,86129,90656,94607,99577,104744,107498,109792,112907,115985,117268,118591,122465,124688,126759,130198,130925,129250,130306
Nepal,npl,7787,7693,7934,7894,8393,8518,8893,9161,9563,9790,9563,9563,10749,10433,11441,12146,12664,13164,14199,14525,15609,16603,17285,17950,19425,20099,21170,22025,22435,23175,24681,25989,26322,26660,27908,28780,29850,30849,32499,34014,35136
New Zealand,nzl,31644,33285,34711,37177,39390,38937,39887,37944,38097,38874,39141,41041,41809,42955,45072,45420,46372,46564,46435,46850,46729,46113,46621,49627,52254,54413,56333,57151,57440,60413,61798,63946,66908,69400,72165,74437,76143,78665,78165,77736,79319
Oman,omn,2957,2983,3262,2809,3132,3897,4397,4410,4326,4511,4784,5599,6245,7288,8507,9697,9906,10699,11018,11481,11487,12176,13211,14017,14556,15259,15700,16671,17121,16954,17462,18772,19091,19358,20016,20816,21960,23454,26456,27395,28701
Pakistan,pak,62522,62824,63323,67828,70141,73043,76898,79951,86406,89580,98907,106753,114852,122649,127518,138632,147421,155994,166031,174001,182014,191942,205962,209584,217417,228206,239266,241694,247857,256929,265634,270575,279284,293666,315305,339480,360452,380937,387032,400965,418607
Panama,pan,5839,6312,6645,7052,7221,7338,7458,7546,8285,8651,9961,10367,10939,11013,10963,11480,11857,12150,10256,10215,10688,11650,12605,13273,13685,13945,14280,14908,15504,16000,16400,16493,16861,17590,18913,20273,22002,24667,27314,27968,29563
Peru,per,50848,53131,54837,57729,60773,65587,66507,66470,66463,70441,73727,77098,77183,66818,69878,71239,78348,85018,78003,68466,64979,66603,66004,69766,79254,86070,88050,95622,95718,96579,99573,99757,104684,108829,114245,122044,131491,143152,157126,158462,171139
Philippines,phl,68102,71799,75710,82464,85398,90150,98090,103585,108942,115086,121012,125154,129648,132115,122440,113493,117371,122432,130699,138809,143025,142191,142668,145704,152115,159264,168507,177264,176200,182192,193066,196439,204971,214595,228285,239589,252386,270171,279730,282721,301938
Poland,pol,144018,154284,165521,177973,188421,197289,202209,205975,213446,209498,204213,193341,191579,201055,208526,210713,217394,214479,219217,215815,194920,181245,185804,192749,202951,217060,230084,245729,257524,268083,278675,281508,285365,296237,312070,323358,343495,366802,385157,391718,405428
Puerto Rico,pri,17280,18375,19732,20908,20919,20388,21464,22867,24379,25868,26263,26544,25734,25855,27747,28319,30630,32136,34228,35919,37277,38136,39877,41729,43475,45453,46953,48549,50103,52207,53826,55010,55285,56170,59265,61902,65180,68688,70219,67666,69338
North Korea,prk,27184,36229,37854,42819,44038,44891,45652,46379,47104,47842,48621,49388,50138,50905,51695,52505,53331,54172,55033,55934,56874,57846,53391,53552,39468,32758,27091,25249,25130,25310,25310,25310,25310,25310,26602,27999,29297,28623,29682,29415,31297
Portugal,prt,49498,52781,57011,63397,64122,61334,65566,69239,71189,75203,78655,79928,81634,81492,79961,82206,85610,91073,97894,102922,107427,112120,113341,111025,112096,116897,121143,126210,132198,137378,142753,145599,146369,144694,146948,148061,150193,153776,153804,149973,152401
Paraguay,pry,4636,4839,5088,5487,5945,6328,6758,7478,8297,9215,10549,11458,11058,10724,11061,11501,11486,11988,12764,13509,13923,14271,14514,15094,15547,16247,16458,16886,16819,16903,16835,17184,17174,17827,18564,19098,19924,21271,22510,21644,23484
West Bank and Gaza,pse,2044,2169,2306,2455,2632,2797,2958,3137,3332,3531,3732,3940,4176,4465,4769,5094,5446,5834,6265,6706,7222,7853,8555,9308,10189,11234,12381,13573,14807,16153,16153,12922,10338,9000,9000,9000,9000,9000,9000,9000,9000
Qatar,qat,3756,4665,5263,6228,5661,5823,6263,5586,6114,6364,6816,5834,4731,4246,4143,3699,3130,3192,3240,3275,3276,3263,3566,3552,3635,3742,3922,4865,5275,5443,5987,6256,6713,7284,8803,9337,10479,11043,11289,10878,11147
Reunion,reu,1540,1575,1757,1771,1876,1838,1636,1603,1730,1815,1869,1913,2057,2157,2181,2205,2230,2248,2383,2454,2694,2863,2863,2863,2863,2863,3012,3136,3174,3240,3308,3377,3544,3719,3719,3719,3719,3719,3719,3719,3719
Romania,rom,57779,65934,70175,72411,76479,79911,83998,85906,88702,91266,91517,90957,91035,90225,93811,93657,95257,93252,93020,90051,80277,69921,63768,64725,67249,72024,74833,70268,66895,66092,67480,71327,74893,78563,85162,88716,95724,101467,108672,100956,99038
Russian Federation,rus,779485,800251,804807,872466,898005,900770,943222,965712,990225,985769,987215,996448,1021261,1054143,1067966,1077764,1122377,1137167,1161645,1179275,1151040,1093488,934932,853593,745187,714634,688907,698552,661529,703867,774253,813740,851986,914181,979782,1042255,1127234,1223445,1287577,1186023,1229695
Rwanda,rwa,2702,2734,2742,2826,2959,3510,3450,3629,3985,4360,4892,5210,5646,5984,5730,5982,6309,6261,6046,6168,6125,5862,6248,5730,2854,3858,4348,4948,5388,5798,6146,6558,7174,7239,7623,8164,8759,9455,10516,11074,11626
SaudiArabia,sau,46573,53289,61469,73601,84700,84924,92251,106191,112511,120028,132160,142630,144989,129404,129258,120605,113260,118495,122284,126701,144438,156571,160955,159989,160811,161564,163815,167106,169987,168674,176233,177114,177291,190056,200066,211177,217846,222240,232098,232574,241202
Sudan,sdn,12246,13092,12814,11783,12966,14612,17302,19932,19621,17586,17758,18128,20421,20844,19800,18557,19291,19720,19952,21518,19793,21179,22280,22904,23362,24063,25242,27766,29432,31699,34773,36894,39108,41454,43574,46331,51562,56802,60688,63431,67181
Senegal,sen,6197,6187,6588,6217,6478,6965,7587,7383,7092,7590,7339,7283,8388,8602,8205,8515,8926,9290,9765,9598,10032,9992,10212,9987,10277,10811,11362,11930,12611,13254,14022,14681,14843,15807,16740,17682,18129,19009,19642,20078,20878
Singapore,sgp,9209,10362,11752,13108,13994,14549,15588,16797,18245,19932,21865,23960,25601,27695,30006,29451,29975,32817,36491,39857,43330,46259,49355,55404,61722,66685,72117,78283,77549,82869,90900,89169,91086,92079,100899,114319,124198,134799,137206,135434,159085
Sierra Leone,sle,3149,3120,3086,3180,3309,3408,3305,3353,3363,3554,3721,3951,4019,3961,4014,3904,3767,3965,4072,4164,4335,3988,3605,3609,3735,3362,2528,2083,2066,1899,1971,2328,2968,3223,3465,3714,3984,4241,4476,4655,4876
El Salvador,slv,7881,8245,8712,9084,9675,10193,10572,11189,11935,11744,10748,9869,9324,9386,9595,9819,9926,10193,10384,10491,10805,11108,11918,12681,13442,14275,14532,15157,15732,16268,16626,16910,17287,17600,17926,18479,19252,20139,20629,19899,20157
Somalia,som,4174,4282,4717,4625,3682,4960,4944,6185,6500,6270,6005,6482,6716,6098,6306,6816,7056,7409,7359,7349,7231,6505,5536,5536,5701,5867,6048,6044,6044,6151,6260,6371,6696,7038,7396,7790,8227,8441,8661,8886,9310
Serbia/Montenegro ,srb,29386,32774,33905,35036,39556,39556,40781,43750,46161,49329,51702,52530,53004,53484,54709,55184,57474,56806,56012,55300,51266,45319,32675,22611,23176,24590,26041,27968,28667,23593,25103,26484,27490,27903,30218,31911,33571,35887,37860,36763,37954
Sao Tome and Principe,stp,106,111,109,106,108,116,126,140,149,166,189,137,173,158,145,157,159,156,159,162,166,166,167,169,173,176,179,181,185,190,196,204,214,226,237,250,264,280,296,308,323
Slovakia ,svk,28536,29511,30555,31573,32719,33686,34225,35773,36209,36517,37526,37338,38065,38639,39545,39853,40589,40794,41701,42043,40854,34889,32656,33277,35342,37408,39707,41538,43287,43923,44817,46514,48661,50873,53432,56994,61840,68382,72602,68101,70620
Slovenia ,svn,12395,13824,14301,14778,16685,16685,17201,18454,19471,20807,21808,22157,22357,22560,23076,23277,24243,23961,23626,23326,21624,19699,18616,19137,20152,20978,21733,22776,23596,24917,25889,26588,27466,28152,29359,30678,32460,34666,35877,33079,33575
Sweden,swe,102275,103241,105604,109794,113306,116198,117428,115553,117577,122092,124130,124113,125358,127555,132717,135277,138381,142733,145946,149415,151451,149816,148045,145091,151133,157259,159290,163173,169121,176864,184517,186448,190133,193352,200570,206874,216309,223756,221977,210271,219300
Swaziland,swz,926,942,1057,1114,1238,1282,1324,1364,1399,1424,1466,1566,1656,1664,1698,1804,1872,2031,1984,2111,2154,2208,2237,2310,2389,2479,2576,2674,2759,2856,2919,2969,3052,3125,3203,3274,3368,3486,3570,3613,3682
Seychelles,syc,139,162,172,187,190,197,217,234,250,292,284,265,260,255,265,290,297,311,325,343,366,376,402,428,418,420,462,518,548,532,504,493,499,468,468,468,468,468,468,468,468
Syria,syr,22155,24352,30447,27846,34563,41306,45834,45254,49202,50986,57097,62527,63857,64766,62131,65928,62670,63865,72342,65860,70894,75927,81318,89938,96821,102698,109904,112640,121201,119012,121988,126624,131942,135372,143257,149708,157343,163952,172477,179376,188409
Chad,tcd,1912,1948,1815,1726,1963,2301,2267,2098,2088,1640,1541,1557,1640,1897,1937,2361,2264,2208,2551,2698,2537,2801,2868,2816,2971,2983,3075,3204,3451,3531,3566,3919,4307,4794,6406,7517,7532,7547,7516,7396,7668
Togo,tgo,2112,2262,2340,2245,2340,2326,2315,2441,2689,2851,2721,2551,2453,2320,2389,2502,2580,2616,2733,2834,2805,2785,2674,2235,2626,2807,3080,2928,2867,2950,2894,2912,3043,3176,3271,3311,3440,3505,3568,3657,3778
Thailand,tha,62842,65886,68666,75511,78894,82799,90391,99304,109112,114828,120116,127211,134020,141504,149644,156598,165264,180996,205047,230043,255732,277618,300059,325215,354484,387097,409936,404197,361756,377846,395791,404369,425945,455204,484082,506373,532431,558683,572611,559622,601334
Tajikistan,tjk,11864,12180,12249,13279,13592,13559,14119,14374,14656,14508,14447,14499,14774,15162,15272,15322,15862,15977,16224,16372,15884,14534,9839,8236,6481,5678,4730,4810,5065,5252,5688,6268,6864,7564,8367,8924,9550,10296,11104,11485,11857
Turkmenistan,tkm,10259,10533,10592,11483,11734,11685,12146,12344,12564,12414,12339,12360,12571,12876,12944,12961,13392,13461,13641,13737,13300,12675,10774,10935,9043,8392,8955,7934,8497,9899,10503,10934,11130,11887,13930,15743,17536,19607,21665,23398,24155
Trinidad and Tobago,tto,7873,7954,8414,8553,9011,9181,10059,10698,11947,12500,13501,14096,13271,12231,12967,12436,12028,11473,11027,10937,11110,11499,11372,11236,11708,12188,12651,13043,13669,14598,15299,15948,16459,18566,20033,21195,24056,25162,25741,24969,25511
Tunisia,tun,9315,10302,12129,12051,13019,13952,15054,15567,16571,17657,18966,20013,19915,20848,22040,23279,22918,24451,24478,25384,27387,28455,30675,31349,32352,33129,35481,37397,39192,41582,43537,45670,46447,49048,52010,54078,57140,60758,63553,65536,68044
Turkey,tur,110071,120046,127931,133858,144829,157855,171601,179005,184113,182536,181165,189014,198495,205811,217637,228744,244752,266108,276460,279614,305395,308224,326670,352940,333685,357681,382738,411553,424278,404299,434055,401520,433408,458454,501378,543502,580968,608091,612098,583402,630489
Taiwan,twn,43509,49591,57358,63519,62384,63818,75108,84267,94833,101759,104753,113222,119254,132294,148650,156878,177721,190493,192229,195311,200477,215620,231766,248023,265650,282715,299967,319997,334622,352772,373438,365281,378396,390671,414710,431964,452696,478514,475313,466252,515142
Tanzania,tza,7847,8177,8725,9007,9216,9693,10386,10678,10987,11122,11216,11092,11236,11186,11465,11438,11811,12413,12937,13371,13852,14143,14228,14398,14628,15155,15837,15685,16266,16835,17694,18791,20144,21574,23026,24723,26389,28275,30378,32050,34133
Uganda,uga,8450,8700,8757,8704,8719,8541,8606,8738,8260,7350,7100,7373,7980,8571,7843,7999,8025,8533,9148,9815,10206,10308,10628,11520,12257,13716,14895,15655,16391,17637,18518,19425,20746,21721,23200,24669,27329,29628,32209,34483,36656
Ukraine,ukr,212775,218444,219687,238156,244985,245597,257022,262998,269517,268149,268387,270739,277320,286083,289666,292154,304070,307898,314343,318929,311112,284045,255925,219583,169299,148644,133780,129767,127301,127046,134542,146920,154560,169088,189548,194665,208876,225377,230110,195364,203764
Uruguay,ury,14638,14498,13992,14098,14541,15406,16026,16205,17058,18110,19205,19575,17724,16688,16505,16746,18231,19676,19676,19930,20105,20687,22218,22907,24166,23683,24867,26112,27313,26548,26203,25316,22522,23012,25732,27436,28623,30759,33384,34338,37051
United States,usa,3081900,3178106,3346554,3536622,3526724,3516825,3701163,3868829,4089548,4228647,4230558,4336141,4254870,4433129,4755958,4940383,5110480,5290129,5512845,5703521,5803200,5791931,5985152,6146210,6395858,6558151,6803769,7109775,7406631,7736163,8019378,8079583,8208732,8430760,8732014,8998717,9239289,9419144,9419144,9171185,9423392
Uzbekistan,uzb,59870,61465,61815,67012,68930,69099,72310,73988,75818,75429,75493,76151,77998,80459,81462,82158,85505,86577,88385,89670,87468,87031,77370,75591,71660,71015,72222,75978,79321,82811,86123,89999,93779,97905,105444,112825,121061,132562,144492,156196,168692
Venezuela,ven,114807,116494,117982,126364,129038,132728,142978,151927,155528,156752,149735,149253,146150,140665,142664,144843,152244,157698,166879,152577,160648,177516,189942,189182,182183,192931,192160,204843,204433,191963,198105,204829,186690,172282,203787,224813,247007,267143,279917,270715,264488
Vietnam,vnm,31295,32889,35815,38238,36744,34130,39879,41343,41622,41873,40671,42103,45526,48042,52355,55481,57056,59127,62685,65615,68959,72965,79313,85720,93292,102192,111737,120845,127812,133913,143002,152862,163685,175569,189245,205221,222108,240890,255900,269478,287405
Rest of Europe,xer,13713,14651,15548,16452,16510,16005,17038,18095,19058,20007,20768,21257,21886,22385,23512,24313,25556,26754,28385,30000,31205,32342,33161,34633,35838,36899,38136,39918,41769,43639,46112,47553,50610,52322,58244,60337,65998,74622,80777,78938,81487
Rest of Southeast Asia,xse,9640,10441,11005,12022,12664,12835,13250,13472,14174,15253,14954,15037,15296,15734,15971,16639,17445,18063,18715,19389,19439,20296,21191,22125,23064,24075,25136,26236,26675,28799,28803,29015,32091,34239,35693,37464,39197,41474,42267,40483,41107
Rest of South America,xsm,12210,12897,13544,14392,14585,14783,14983,15187,15392,15601,15812,16026,16243,16462,16686,16912,17142,17374,17611,17851,18094,18545,19007,19481,19966,20464,20975,21497,22033,22634,22846,22617,22804,23662,24851,25861,27170,28484,29211,28397,29044
Rest of Sub-Saharan Africa,xss,123,132,143,154,163,172,182,193,204,215,228,241,255,269,285,301,318,337,356,376,395,401,405,414,427,444,476,496,520,542,565,593,614,635,667,703,745,787,824,850,891
Yemen,yem,8731,10253,11070,12431,13152,14152,16363,18167,19711,20805,20918,22191,22563,23856,24778,24578,25115,26135,27249,28203,28212,28297,29683,30544,31205,34594,36631,39592,41532,43067,45229,47310,49155,50678,52691,55637,57418,59313,61476,63846,68957
South Africa,zaf,91986,96501,98362,102498,108254,110253,112941,112734,116077,120627,128416,135171,134619,132172,138893,137239,137307,140099,145855,148888,147509,146034,142967,144683,149313,153942,160561,164786,166054,169541,175305,180038,186520,191742,200475,211054,222881,235108,243757,239424,245817
Zambia,zmb,4562,4561,4979,4930,5332,5124,5426,5163,5195,5037,5190,5509,5354,5249,5231,5317,5354,5497,5841,5900,6432,6432,6323,6753,5855,5708,6080,6286,6167,6302,6529,6849,7074,7436,7840,8248,8772,9315,9841,10462,11127
Zimbabwe,zwe,7072,7692,8342,8594,8810,8890,8816,8108,8338,8338,9288,10454,10726,10896,10688,11430,11732,11588,12672,13498,13766,14523,13216,13388,14165,14193,15669,16092,16559,16443,15604,15183,14271,12845,12357,11702,10962,10206,8770,9122,9645
