Sector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries: 2009 and 2008,,,,,,
"NOTE: For information on confidentiality protection, sampling error, nonsampling error, and definitions, see Survey Methodology.  For information on the ASM industry groupings, see Comparability. Data in this table represent those available when this report was created. Data may not be available for all NAICS industries or geographies.  Detail items may not add to total due to independent rounding.
",,,,,,
Geographic Area Name,NAICS-based code,Meaning of NAICS-based code,Year,"Quantity of electricity purchased (1,000 kWh)","Quantity of generated electricity (1,000 kWh)","Quantity of electricity sold or transferred (1,000 kWh)"
United States,332995,Other ordnance and accessories manufacturing,2008,"116,824",D,S
United States,332996,Fabricated pipe and pipe fitting manufacturing,2008,"978,265","1,314",D
United States,33299N,Other fabricated metal products manufacturing,2008,"2,466,545",D,S
United States,333,Machinery mfg,2008,"30,166,016","174,735","26,135"
United States,3331,"Agriculture, construction, & mining machinery mfg",2008,"6,120,357",D,D
United States,33311,Agricultural implement manufacturing,2008,"2,105,439",D,S
United States,333111,Farm machinery and equipment manufacturing,2008,"1,621,914",D,S
United States,333112,Lawn and garden equipment manufacturing,2008,"483,525",S,S
United States,33312,Construction machinery manufacturing,2008,"2,097,216",D,S
United States,333120,Construction machinery manufacturing,2008,"2,097,216",D,S
United States,33313,Mining and oil and gas field machinery manufacturing,2008,"1,917,702",S,D
United States,33313M,Mining and oil and gas field machinery manufacturing,2008,"1,917,702",S,D
United States,3332,Industrial machinery mfg,2008,"2,825,274",S,S
United States,33321,Sawmill and woodworking machinery manufacturing,2008,"85,978",S,S
United States,333210,Sawmill and woodworking machinery manufacturing,2008,"85,978",S,S
United States,33322,Plastics and rubber industry machinery manufacturing,2008,"422,969",S,S
United States,333220,Plastics and rubber industry machinery manufacturing,2008,"422,969",S,S
United States,33329,Other industrial machinery manufacturing,2008,"2,316,327",S,S
United States,333295,Semiconductor machinery manufacturing,2008,"482,084",S,S
United States,33329N,Other machinery manufacturing,2008,"1,834,243",S,S
United States,3333,Commercial & service industry machinery mfg,2008,"1,794,584",D,S
United States,33331,Commercial and service industry machinery manufacturing,2008,"1,794,584",D,S
United States,333313,Office machinery manufacturing,2008,"122,643",S,S
United States,333314,Optical instrument and lens manufacturing,2008,"453,220",S,S
United States,333315,Photographic and photocopying equipment manufacturing,2008,"261,730",S,S
United States,33331N,All other commercial and service industry machinery mfg,2008,"956,990",D,S
United States,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"3,167,376",D,S
United States,33341,HVAC and commercial refrigeration equipment manufacturing,2008,"3,167,376",D,S
United States,333414,Heating equipment (except warm air furnaces) manufacturing,2008,"447,767",D,S
United States,333415,"AC, forced air heating, and refrigeration equipment mfg",2008,"2,190,392",S,S
United States,33341N,Ventilation equipment manufacturing,2008,"529,217",S,S
United States,3335,Metalworking machinery mfg,2008,"4,373,995","(s)1,061",D
United States,33351,Metalworking machinery manufacturing,2008,"4,373,995","(s)1,061",D
United States,333511,Industrial mold manufacturing,2008,"1,161,878",S,S
United States,333512,Machine tool (metal cutting types) manufacturing,2008,"506,690",S,D
United States,333513,Machine tool (metal forming types) manufacturing,2008,"158,285",S,S
United States,333514,"Special die and tool, die set, jig, and fixture manufacturing",2008,"1,216,963",D,S
United States,333515,Cutting tool and machine tool accessory manufacturing,2008,"1,036,440",D,(s)911
United States,333516,Rolling mill machinery and equipment manufacturing,2008,"94,346",S,S
United States,333518,Other metalworking machinery manufacturing,2008,"199,394",S,S
United States,3336,"Engine, turbine, & power transmission equipment mfg",2008,"4,442,003",D,D
United States,33361,"Engine, turbine, and power transmission equipment mfg",2008,"4,442,003",D,D
United States,333611,Turbine and turbine generator set unit manufacturing,2008,"929,631",D,D
United States,333612,"Speed changer, industrial high-speed drive, and gear mfg",2008,"590,564",S,S
United States,333613,Mechanical power transmission equipment manufacturing,2008,"644,392",S,S
United States,333618,Other engine equipment manufacturing,2008,"2,277,415",D,S
United States,3339,Other general purpose machinery mfg,2008,"7,442,428",650,D
United States,33391,Pump and compressor manufacturing,2008,"1,633,583",S,D
United States,333911,Pump and pumping equipment manufacturing,2008,"918,863",S,D
United States,333912,Air and gas compressor manufacturing,2008,"609,114",S,S
United States,333913,Measuring and dispensing pump manufacturing,2008,"105,606",S,S
United States,33392,Material handling equipment manufacturing,2008,"1,970,420",S,S
United States,33392M,Material handling equipment manufacturing,2008,"1,970,420",S,S
United States,33399,All other general purpose machinery manufacturing,2008,"3,838,425",650,D
United States,333991,Power-driven hand tool manufacturing,2008,"238,526",S,S
United States,333993,Packaging machinery manufacturing,2008,"290,482",D,S
United States,333994,Industrial process furnace and oven manufacturing,2008,"226,997",D,S
United States,33399N,Fluid power equipment manufacturing,2008,"1,265,653",S,S
United States,33399P,All other miscellaneous general purpose machinery mfg,2008,"1,816,768",S,D
United States,334,Computer & electronic product mfg,2008,"33,539,354","(s)245,122","(s)71,233"
United States,3341,Computer & peripheral equipment mfg,2008,"2,463,690",D,S
United States,33411,Computer and peripheral equipment manufacturing,2008,"2,463,690",D,S
United States,334111,Electronic computer manufacturing,2008,"941,502",D,S
United States,334112,Computer storage device manufacturing,2008,"613,689",S,S
United States,334113,Computer terminal manufacturing,2008,"27,802",S,S
United States,334119,Other computer peripheral equipment manufacturing,2008,"880,697",D,S
United States,3342,Communications equipment mfg,2008,"2,356,042",D,S
United States,33421,Telephone apparatus manufacturing,2008,"479,163",D,S
United States,334210,Telephone apparatus manufacturing,2008,"479,163",D,S
United States,33422,Broadcasting and wireless communications equipment mfg,2008,"1,514,827",D,S
United States,334220,Broadcasting and wireless communications equipment mfg,2008,"1,514,827",D,S
United States,33429,Other communications equipment manufacturing,2008,"362,052",S,S
United States,334290,Other communications equipment manufacturing,2008,"362,052",S,S
United States,3343,Audio & video equipment mfg,2008,"402,855",S,S
United States,33431,Audio and video equipment manufacturing,2008,"402,855",S,S
United States,334310,Audio and video equipment manufacturing,2008,"402,855",S,S
United States,3344,Semiconductor & other electronic component mfg,2008,"18,676,543","(s)35,350","(s)43,192"
United States,33441,Semiconductor and other electronic component manufacturing,2008,"18,676,543","(s)35,350","(s)43,192"
United States,334411,Electron tube manufacturing,2008,"167,119",S,S
United States,334412,Bare printed circuit board manufacturing,2008,"1,218,332",S,S
United States,334413,Semiconductor and related device manufacturing,2008,"13,258,476","(s)35,350","(s)43,192"
United States,334414,Electronic capacitor manufacturing,2008,"243,380",S,S
United States,334415,Electronic resistor manufacturing,2008,"127,940",S,S
United States,334416,"Electronic coil, transformer, and other inductor manufacturing",2008,"219,643",S,S
United States,334417,Electronic connector manufacturing,2008,"547,749",S,S
United States,334418,Printed circuit assembly (electronic assembly) manufacturing,2008,"1,763,728",S,S
United States,334419,Other electronic component manufacturing,2008,"1,130,177",S,S
United States,3345,"Navigational, measuring, medical, & control instruments mfg",2008,"8,361,821","(s)179,800","28,041"
United States,33451,"Navigational, measuring, medical, and control instruments mfg",2008,"8,361,821","(s)179,800","28,041"
United States,334510,Electromedical and electrotherapeutic apparatus manufacturing,2008,"1,139,489",S,S
United States,334511,"Search, detection, and navigation system and instrument mfg",2008,"3,570,652",D,D
United States,334512,Automatic environmental control manufacturing,2008,"222,328",S,S
United States,334513,Industrial process variable instruments,2008,"576,965",S,S
United States,334514,Totalizing fluid meter and counting device manufacturing,2008,"382,121",S,S
United States,334515,Electricity and signal testing instrument manufacturing,2008,"875,517",D,D
United States,334516,Analytical laboratory instrument manufacturing,2008,"648,426",D,S
United States,334517,Irradiation apparatus manufacturing,2008,"287,221",S,S
United States,334518,"Watch, clock, and parts manufacturing",2008,"32,976",S,S
United States,334519,Other measuring and controlling device manufacturing,2008,"626,125",D,S
United States,3346,Mfg & reproducing magnetic & optical media,2008,"1,278,404",S,S
United States,33461,Manufacturing and reproducing magnetic and optical media,2008,"1,278,404",S,S
United States,334611,Software reproducing,2008,"71,002",S,S
United States,334612,Audio and video media reproducing,2008,"743,541",S,S
United States,334613,Magnetic and optical recording media manufacturing,2008,"463,861",S,S
United States,335,"Electrical equipment, appliance, & component mfg",2008,"14,675,550","(s)9,655","9,451"
United States,3351,Electric lighting equipment mfg,2008,"1,378,391",D,(s)768
United States,33511,Electric lamp bulb and parts manufacturing,2008,"495,245",S,S
United States,335110,Electric lamp bulb and parts manufacturing,2008,"495,245",S,S
United States,33512,Lighting fixture manufacturing,2008,"883,147",D,(s)768
United States,33512M,Lighting fixture manufacturing,2008,"883,147",D,(s)768
United States,3352,Household appliance mfg,2008,"1,903,764",D,S
United States,33521,Small electrical appliance manufacturing,2008,"382,095",S,S
United States,33521M,Small electrical appliance manufacturing,2008,"382,095",S,S
United States,33522,Major appliance manufacturing,2008,"1,521,670",D,S
United States,335221,Household cooking appliance manufacturing,2008,"399,817",S,S
United States,335222,Household refrigerator and home freezer manufacturing,2008,"458,099",S,S
United States,335224,Household laundry equipment manufacturing,2008,"279,299",S,S
United States,335228,Other major household appliance manufacturing,2008,"384,454",D,S
United States,3353,Electrical equipment mfg,2008,"3,192,071",D,S
United States,33531,Electrical equipment manufacturing,2008,"3,192,071",D,S
United States,335311,"Power, distribution, and specialty transformer manufacturing",2008,"625,337",S,S
United States,335312,Motor and generator manufacturing,2008,"1,162,451",D,S
United States,335313,Switchgear and switchboard apparatus manufacturing,2008,"694,162",(s)121,S
United States,335314,Relay and industrial control manufacturing,2008,"710,121",S,S
United States,3359,Other electrical equipment & component mfg,2008,"8,201,324","(s)7,910","8,683"
United States,33591,Battery manufacturing,2008,"2,320,916",S,S
United States,335911,Storage battery manufacturing,2008,"2,030,147",S,S
United States,335912,Primary battery manufacturing,2008,"290,769",S,S
United States,33592,Communication and energy wire and cable manufacturing,2008,"1,869,064","(s)6,252",S
United States,33592M,Communication and energy wire and cable manufacturing,2008,"1,869,064","(s)6,252",S
United States,33593,Wiring device manufacturing,2008,"1,557,268",D,(s)939
United States,33593M,Wiring device manufacturing,2008,"1,557,268",D,(s)939
United States,33599,All other electrical equipment and component manufacturing,2008,"2,454,075",D,"(s)7,744"
United States,335991,Carbon and graphite product manufacturing,2008,"1,714,651",S,"(s)7,744"
United States,335999,All other miscellaneous electrical equipment mfg,2008,"739,424",D,S
United States,336,Transportation equipment mfg,2008,"55,600,532","350,885","267,392"
United States,3361,Motor vehicle mfg,2008,"8,367,781",D,D
United States,33611,Automobile and light duty motor vehicle manufacturing,2008,"7,698,472",D,D
United States,336111,Automobile manufacturing,2008,"3,387,334",S,S
United States,336112,Light truck and utility vehicle manufacturing,2008,"4,311,138",D,D
United States,33612,Heavy duty truck manufacturing,2008,"669,310",S,S
United States,336120,Heavy duty truck manufacturing,2008,"669,310",S,S
United States,3362,Motor vehicle body & trailer mfg,2008,"2,120,724",S,S
United States,33621,Motor vehicle body and trailer manufacturing,2008,"2,120,724",S,S
United States,336211,Motor vehicle body manufacturing,2008,"847,216",S,S
United States,336212,Truck trailer manufacturing,2008,"476,189",S,S
United States,336213,Motor home manufacturing,2008,"291,525",S,S
United States,336214,Travel trailer and camper manufacturing,2008,"505,794",S,S
United States,3363,Motor vehicle parts mfg,2008,"25,654,832","20,593",D
United States,33631,Motor vehicle gasoline engine and engine parts manufacturing,2008,"3,777,927",D,D
United States,33631M,Motor vehicle gasoline engine and engine parts manufacturing,2008,"3,777,927",D,D
United States,33632,Motor vehicle electrical and electronic equipment mfg,2008,"2,270,354",D,D
United States,33632M,Motor vehicle electrical and electronic equipment mfg,2008,"2,270,354",D,D
United States,33633,Motor vehicle steering and suspension component mfg,2008,"1,680,771",S,S
United States,336330,Motor vehicle steering and suspension component mfg,2008,"1,680,771",S,S
United States,33634,Motor vehicle brake system manufacturing,2008,"1,583,619",(s)47,S
United States,336340,Motor vehicle brake system manufacturing,2008,"1,583,619",(s)47,S
United States,33635,Motor vehicle transmission and power train parts mfg,2008,"3,846,223",D,S
United States,336350,Motor vehicle transmission and power train parts mfg,2008,"3,846,223",D,S
United States,33636,Motor vehicle seating and interior trim manufacturing,2008,"1,511,458",D,S
United States,336360,Motor vehicle seating and interior trim manufacturing,2008,"1,511,458",D,S
United States,33637,Motor vehicle metal stamping,2008,"4,090,978",D,D
United States,336370,Motor vehicle metal stamping,2008,"4,090,978",D,D
United States,33639,Other motor vehicle parts manufacturing,2008,"6,893,502",S,S
United States,336391,Motor vehicle air-conditioning manufacturing,2008,"716,597",S,S
United States,336399,All other miscellaneous motor vehicle parts manufacturing,2008,"6,176,905",S,S
United States,3364,Aerospace product & parts mfg,2008,"12,983,728","294,851",D
United States,33641,Aerospace product and parts manufacturing,2008,"12,983,728","294,851",D
United States,336411,Aircraft manufacturing,2008,"5,120,624",S,S
United States,336412,Aircraft engine and engine parts manufacturing,2008,"2,584,541",D,D
United States,336413,Other aircraft parts and auxiliary equipment manufacturing,2008,"3,279,330",D,S
United States,336414,Guided missile and space vehicle manufacturing,2008,"1,098,954",S,S
United States,336415,Space vehicle propulsion unit and propulsion unit parts mfg,2008,"565,176",S,D
United States,336419,Other guided missile and space vehicle parts manufacturing,2008,"335,104",S,S
United States,3365,Railroad rolling stock mfg,2008,"1,869,909",D,"(s)2,702"
United States,33651,Railroad rolling stock manufacturing,2008,"1,869,909",D,"(s)2,702"
United States,336510,Railroad rolling stock manufacturing,2008,"1,869,909",D,"(s)2,702"
United States,3366,Ship & boat building,2008,"3,021,403",D,D
United States,33661,Ship and boat building,2008,"3,021,403",D,D
United States,336611,Ship building and repairing,2008,"2,319,778",S,D
United States,336612,Boat building,2008,"701,625",D,S
United States,3369,Other transportation equipment mfg,2008,"1,582,153",S,S
United States,33699,Other transportation equipment manufacturing,2008,"1,582,153",S,S
United States,336991,"Motorcycle, bicycle, and parts manufacturing",2008,"419,004",S,S
United States,336992,"Military armored vehicle, tank, and tank component mfg",2008,"786,998",S,S
United States,336999,All other transportation equipment manufacturing,2008,"376,151",S,S
United States,337,Furniture & related product mfg,2008,"8,083,428","37,760",D
United States,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"4,813,063","37,760",D
United States,33711,Wood kitchen cabinet and counter top manufacturing,2008,"1,856,483",D,S
United States,337110,Wood kitchen cabinet and counter top manufacturing,2008,"1,856,483",D,S
United States,33712,Household and institutional furniture manufacturing,2008,"2,956,580",D,D
United States,337121,Upholstered household furniture manufacturing,2008,"862,909",D,S
United States,337122,Nonupholstered wood household furniture manufacturing,2008,"1,038,301",D,D
United States,337127,Institutional furniture manufacturing,2008,"591,449",S,S
United States,33712N,Other household nonupholstered furniture,2008,"463,921",S,S
United States,3372,Office furniture (including fixtures) mfg,2008,"2,856,755",S,S
United States,33721,Office furniture (including fixtures) manufacturing,2008,"2,856,755",S,S
United States,337212,Custom architectural woodwork and millwork manufacturing,2008,"721,635",S,S
United States,337215,"Showcase, partition, shelving, and locker manufacturing",2008,"929,348",S,S
United States,33721N,Office furniture manufacturing,2008,"1,205,772",S,S
United States,3379,Other furniture related product mfg,2008,"413,610",S,S
United States,33791,Mattress manufacturing,2008,"256,010",S,S
United States,337910,Mattress manufacturing,2008,"256,010",S,S
United States,33792,Blind and shade manufacturing,2008,"157,601",S,S
United States,337920,Blind and shade manufacturing,2008,"157,601",S,S
United States,339,Miscellaneous mfg,2008,"11,655,662",D,"(s)1,836"
United States,3391,Medical equipment & supplies mfg,2008,"5,349,008",S,S
United States,33911,Medical equipment and supplies manufacturing,2008,"5,349,008",S,S
United States,339112,Surgical and medical instrument manufacturing,2008,"2,364,039",S,S
United States,339113,Surgical appliance and supplies manufacturing,2008,"1,853,171",S,S
United States,339114,Dental equipment and supplies manufacturing,2008,"221,060",S,S
United States,339115,Ophthalmic goods manufacturing,2008,"541,542",S,S
United States,339116,Dental laboratories,2008,"369,197",S,S
United States,3399,Other miscellaneous mfg,2008,"6,306,654",D,"(s)1,836"
United States,33991,Jewelry and silverware manufacturing,2008,"556,667",S,S
United States,33991M,Jewelry and silverware manufacturing,2008,"556,667",S,S
United States,33992,Sporting and athletic goods manufacturing,2008,"941,780",S,S
United States,339920,Sporting and athletic goods manufacturing,2008,"941,780",S,S
United States,33993,"Doll, toy, and game manufacturing",2008,"273,160",S,S
United States,33993M,"Doll, toy, and game manufacturing",2008,"273,160",S,S
United States,33994,Office supplies (except paper) manufacturing,2008,"296,738",S,S
United States,33994M,Office supplies (except paper) manufacturing,2008,"296,738",S,S
United States,33995,Sign manufacturing,2008,"1,035,944",D,(s)14
United States,339950,Sign manufacturing,2008,"1,035,944",D,(s)14
United States,33999,All other miscellaneous manufacturing,2008,"3,202,366",D,"(s)1,822"
United States,339991,"Gasket, packing, and sealing device manufacturing",2008,"1,026,432",D,S
United States,339992,Musical instrument manufacturing,2008,"198,669",S,S
United States,339993,"Fastener, button, needle, and pin manufacturing",2008,"162,811",D,S
United States,339994,"Broom, brush, and mop manufacturing",2008,"249,842",S,S
United States,339995,Burial casket manufacturing,2008,"127,236",S,S
United States,339999,All other miscellaneous manufacturing,2008,"1,437,375",D,"(s)1,822"
