# File: IFA2002_Fert_ktN,,,,,,
# Author: Geoff Morrison,,,,,,
# Description: IFA N-Fertilizer Application Rates (kg N/ha),,,,,,
# Original source: IFA (2002) and FAO (2006),,,,,,
# ----------,,,,,,
COUNTRY,YEAR,CROP,AREA_thousHa,N_kt,P2O5_kt,K2O_kt
INDONESIA,2001,Tea,110,7,2,2
INDONESIA,2001,Tobacco,223,13,4,13
INDONESIA,2001,Tobacco,223,13,4,13
INDONESIA,2001,Vegetables,773,90,22,29
INDONESIA,2001,Vegetables,773,90,22,29
IRELAND,1999,Barley,181,20,11,13
IRELAND,1999,Fodder (other),12,1,2,2
IRELAND,1999,Rapeseed,3,0,0,0
IRELAND,1999,Potato,20,2,5,6
IRELAND,1999,Pulses,5,0,0,0
IRELAND,1999,Rye,18,2,1,1
IRELAND,1999,Sugar beet,33,6,4,8
IRELAND,1999,Wheat,80,13,5,6
ISRAEL,1997,Almond,2,0,0,0
ISRAEL,1997,Pear,7,1,0,1
ISRAEL,1997,Avocado,7,1,0,2
ISRAEL,1997,Banana,2,1,0,2
ISRAEL,1997,Barley,10,1,0,0
ISRAEL,1997,Chickpea,8,0,1,0
ISRAEL,1997,Citrus fruits,23,5,1,5
ISRAEL,1997,Cotton,23,4,1,4
ISRAEL,1997,Date,2,1,0,1
ISRAEL,1997,Grape,6,1,0,1
ISRAEL,1997,Groundnut,5,0,0,1
ISRAEL,1997,Maize,20,5,2,4
ISRAEL,1997,Mango,3,1,0,1
ISRAEL,1997,Olive,15,2,0,1
ISRAEL,1997,Peach,5,1,0,1
ISRAEL,1997,Potato,7,3,1,3
ISRAEL,1997,Vegetables,40,12,4,12
ISRAEL,1997,Wheat,70,6,1,0
ITALY,1999,Barley,360,25,18,9
ITALY,1999,Fodder (legumes),955,5,0,0
ITALY,1999,Fodder (other),1377,14,7,7
ITALY,1999,Maize,1200,221,96,42
ITALY,1999,Maize,289,25,0,0
ITALY,1999,Rapeseed,26,2,1,1
ITALY,1999,Potato,90,10,6,7
ITALY,1999,Pulses,58,2,2,2
ITALY,1999,Rye,395,38,28,14
ITALY,1999,Sugar beet,270,24,16,15
ITALY,1999,Sunflower,472,19,24,19
ITALY,1999,Vegetables,470,52,33,35
ITALY,1999,Wheat,2300,189,138,81
JAPAN,1998,Apple,48,5,4,3
JAPAN,1998,Bean,47,1,6,4
JAPAN,1998,Barley,49,4,4,3
JAPAN,1998,Cereals,42,1,3,3
JAPAN,1998,Citrus fruits,64,12,11,9
JAPAN,1998,Wood,11,1,0,0
JAPAN,1998,Fruits,1,0,0,0
JAPAN,1998,Grape,22,2,3,2
JAPAN,1998,Groundnut,12,1,1,1
JAPAN,1998,Maize,0,0,0,0
JAPAN,1998,Onion,27,6,12,5
JAPAN,1998,Peach,12,1,1,1
JAPAN,1998,Potato,100,11,17,11
JAPAN,1998,Yam,46,2,5,5
JAPAN,1998,Pulses,13,0,2,1
JAPAN,1998,Radish,49,6,8,5
JAPAN,1998,Rapeseed,1,0,0,0
JAPAN,1998,Rice,1801,141,166,130
JAPAN,1998,Roots & tubers,21,4,4,4
JAPAN,1998,Soybean,109,3,11,11
JAPAN,1998,Strawberry,8,2,2,2
JAPAN,1998,Sugar beet,70,12,23,11
JAPAN,1998,Sugar cane,22,5,2,1
JAPAN,1998,Tea,51,34,18,14
JAPAN,1998,Tobacco,25,7,13,10
JAPAN,1998,Tomato,14,3,4,3
JAPAN,1998,Wheat,162,19,15,12
JAPAN,1998,Yam,9,2,3,3
JORDAN,1998,Apple,5,1,0,1
JORDAN,1998,Banana,3,1,0,1
JORDAN,1998,Barley,52,0,0,0
JORDAN,1998,Citrus fruits,6,1,0,1
JORDAN,1998,Cucumber,1,0,0,0
JORDAN,1998,Garlic,1,0,0,0
JORDAN,1998,Olive,88,4,4,4
JORDAN,1998,Onion,3,0,0,0
JORDAN,1998,"Pea, dry",0,0,0,0
JORDAN,1998,Roots & tubers,5,1,1,1
JORDAN,1998,Tomato,12,3,3,2
JORDAN,1998,Wheat,52,1,2,0
KENYA,1997,Banana,41,1,1,0
KENYA,1997,Barley,23,1,2,0
KENYA,1997,Citrus fruits,7,0,0,0
KENYA,1997,Coffee,159,8,3,6
KENYA,1997,Fruits,130,5,2,6
KENYA,1997,Groundnut,18,0,0,0
KENYA,1997,Maize,1500,18,14,0
KENYA,1997,Plantain,86,0,0,0
KENYA,1997,Potato,95,6,3,0
KENYA,1997,Pulses,700,7,6,1
KENYA,1997,Rice,13,1,0,0
KENYA,1997,Rice,6,0,0,0
KENYA,1997,Sisal,21,0,2,0
KENYA,1997,Sorghum,140,3,1,0
KENYA,1997,Sugar cane,58,2,1,1
KENYA,1997,Tea,117,6,1,1
KENYA,1997,Tobacco,9,0,1,0
KENYA,1997,Vegetables,82,5,7,2
KENYA,1997,Wheat,135,4,9,0
"KOREA, DPR",1998,Maize,0,0,0,0
"KOREA, DPR",1998,Rice,0,0,0,0
"KOREA, REPUBLIC OF",1996,Apple,44,3,2,2
"KOREA, REPUBLIC OF",1996,Barley,95,11,11,7
"KOREA, REPUBLIC OF",1996,Cabbage,54,17,4,11
"KOREA, REPUBLIC OF",1996,Cereals,27,5,4,4
"KOREA, REPUBLIC OF",1996,Fruits,85,10,5,9
"KOREA, REPUBLIC OF",1996,Garlic,42,11,3,5
"KOREA, REPUBLIC OF",1996,Orange,25,5,8,5
"KOREA, REPUBLIC OF",1996,Pepper,96,18,11,14
"KOREA, REPUBLIC OF",1996,Potato,32,3,3,4
"KOREA, REPUBLIC OF",1996,"Potato, sweet",16,1,1,3
"KOREA, REPUBLIC OF",1996,Pulses,122,5,9,7
"KOREA, REPUBLIC OF",1996,Radish,45,13,3,7
"KOREA, REPUBLIC OF",1996,Rice,1050,116,74,84
KUWAIT,1999,Barley,1,0,0,0
KUWAIT,1999,Bean,0,0,0,0
KUWAIT,1999,Wood,1,0,0,0
KUWAIT,1999,Onion,0,0,0,0
KUWAIT,1999,Potato,1,0,0,0
KUWAIT,1999,Tomato,1,0,0,0
KUWAIT,1999,Wheat,0,0,0,0
LAOS,2001,Cassava,5,0,0,0
LAOS,2001,Coffee,42,1,1,0
LAOS,2001,Maize,10,0,0,0
LAOS,2001,Rice,690,11,3,0
LAOS,2001,Sugar cane,5,0,0,0
LAOS,2001,Tea,1,0,0,0
LAOS,2001,Tobacco,8,0,0,0
LAOS,2001,Vegetables,42,1,0,0
LATVIA,1998,Cereals,473,0,0,0
LATVIA,1998,Flax,2,0,0,0
LATVIA,1998,Potato,59,2,1,2
LATVIA,1998,Sugar beet,16,3,1,2
LATVIA,1998,Vegetables,0,0,0,0
LATVIA,1998,Vegetables,12,0,0,0
LEBANON,1995,Apple,12,1,0,1
LEBANON,1995,Banana,37,4,3,2
LEBANON,1995,Barley,11,0,0,0
LEBANON,1995,Bean,2,0,0,0
LEBANON,1995,Bean,3,0,0,0
LEBANON,1995,Cabbage,3,0,0,0
LEBANON,1995,Carrot,2,0,0,0
LEBANON,1995,Citrus fruits,8,1,1,1
LEBANON,1995,Cucumber,5,1,1,2
LEBANON,1995,Eggplant,2,0,0,0
LEBANON,1995,Grape,26,1,1,1
LEBANON,1995,Groundnut,3,0,0,0
LEBANON,1995,Lemon,3,0,0,0
LEBANON,1995,Maize,2,0,0,0
LEBANON,1995,Olive,43,2,1,2
LEBANON,1995,Onion,4,1,0,0
LEBANON,1995,Peach,2,0,0,0
LEBANON,1995,Potato,14,2,2,1
LEBANON,1995,Squash,2,0,0,0
LEBANON,1995,Sugar beet,4,0,0,2
LEBANON,1995,Tobacco,3,0,0,0
LEBANON,1995,Tomato,8,2,1,2
LEBANON,1995,Wheat,24,1,1,1
LITHUANIA,1996,Barley,224,5,2,3
LITHUANIA,1996,Maize,59,1,0,1
LITHUANIA,1996,Potato,125,3,2,5
LITHUANIA,1996,Pulses,37,0,0,1
LITHUANIA,1996,Rapeseed,12,0,0,0
LITHUANIA,1996,Rye,214,5,3,2
LITHUANIA,1996,Sugar beet,31,2,1,1
LITHUANIA,1996,Sunflower,6,0,0,0
LITHUANIA,1996,Vegetables,29,2,1,1
LITHUANIA,1996,Wheat,619,15,9,7
MADAGASCAR,1998,Cotton,34,1,1,1
MADAGASCAR,1998,Potato,49,1,1,1
MADAGASCAR,1998,Rice,1203,1,1,1
MADAGASCAR,1998,Sugar cane,17,1,1,1
MADAGASCAR,1998,Tobacco,3,0,0,0
MADAGASCAR,1998,Wheat,0,0,0,0
MALAWI,1997,Banana,18,0,0,0
MALAWI,1997,Cassava,126,1,0,0
MALAWI,1997,Coffee,4,0,0,0
MALAWI,1997,Groundnut,100,2,1,0
MALAWI,1997,Maize,1234,22,6,2
MALAWI,1997,Potato,102,6,2,0
MALAWI,1997,Rice,40,2,1,0
MALAWI,1997,Sorghum,84,1,0,0
MALAWI,1997,Sugar cane,18,1,0,0
MALAWI,1997,Tobacco,115,3,1,1
MALAWI,1997,Vegetables,30,2,1,0
MALAYSIA,2001,Cassava,38,2,1,0
MALAYSIA,2001,Cocoa,126,16,5,4
MALAYSIA,2001,Coconut,180,1,1,1
MALAYSIA,2001,Coffee,16,1,0,1
MALAYSIA,2001,Fruits,92,8,4,5
MALAYSIA,2001,Groundnut,1,0,0,0
MALAYSIA,2001,Maize,27,2,1,1
MALAYSIA,2001,Oil Palm,2920,277,125,569
MALAYSIA,2001,Pepper,12,1,1,1
MALAYSIA,2001,Rice,692,59,25,17
MALAYSIA,2001,Sugar cane,24,3,1,1
MALAYSIA,2001,Tea,3,0,0,0
MALAYSIA,2001,Tobacco,13,1,0,1
MALAYSIA,2001,Vegetables,28,3,1,2
MAURITANIA,1995,Garlic,5,1,0,0
MAURITANIA,1995,Onion,1,0,0,0
MAURITANIA,1995,Rice,14,3,0,0
MAURITANIA,1995,Tomato,1,0,0,0
MEXICO,1997,Alfalfa,165,4,8,0
MEXICO,1998,Alfalfa,0,0,0,0
MEXICO,1997,Apple,59,3,1,1
MEXICO,1998,Avocado,0,0,0,0
MEXICO,1997,Avocado,92,9,6,4
MEXICO,1997,Banana,66,6,1,6
MEXICO,1997,Barley,268,9,3,0
MEXICO,1998,Barley,0,0,0,0
MEXICO,1998,Dry beans,0,0,0,0
MEXICO,1997,Cantaloupe,40,2,1,1
MEXICO,1997,Chickpea,68,3,1,0
MEXICO,1998,Citrus fruits,0,0,0,0
MEXICO,1998,Cocoa,0,0,0,0
MEXICO,1997,Cocoa,85,1,2,0
MEXICO,1997,Coconut,153,6,1,4
MEXICO,1998,Coconut,0,0,0,0
MEXICO,1998,Coffee,679,25,16,6
MEXICO,1998,Coffee,0,0,0,0
MEXICO,1997,Coffee,679,25,11,6
MEXICO,1998,Cotton,245,22,6,0
MEXICO,1998,Cotton,0,0,0,0
MEXICO,1997,Cotton lint,705,68,13,0
MEXICO,1997,Cotton,245,22,4,0
MEXICO,1998,Dry beans,2147,64,27,0
MEXICO,1997,Dry beans,2147,64,22,0
MEXICO,1998,Fruits,622,34,11,23
MEXICO,1997,Grape,39,3,1,1
MEXICO,1997,Groundnut,93,2,1,1
MEXICO,1997,Lemon,1063,45,13,26
MEXICO,1998,Maize,7877,473,118,59
MEXICO,1997,Maize,7877,473,95,47
MEXICO,1998,Maize,0,0,0,0
MEXICO,1998,Maize,0,0,0,0
MEXICO,1998,Mango,0,0,0,0
MEXICO,1997,Oat,65,3,2,0
MEXICO,1998,Oat,0,0,0,0
MEXICO,1997,Onion,306,15,10,7
MEXICO,1997,Orange,3058,101,28,61
MEXICO,1997,Pepper,1560,80,47,37
MEXICO,1997,Pineapple,12,1,1,1
MEXICO,1997,Potato,63,7,6,4
MEXICO,1997,Pulses,153,3,3,1
MEXICO,1997,Rice,1016,110,37,0
MEXICO,1997,Safflower,123,7,1,0
MEXICO,1997,Sesame,58,4,1,0
MEXICO,1998,Sorghum,1953,94,35,0
MEXICO,1997,Sorghum,1953,94,29,0
MEXICO,1998,Sorghum,0,0,0,0
MEXICO,1997,Soybean,94,3,3,0
MEXICO,1998,Sugar cane,631,57,26,23
MEXICO,1998,Sugar cane,0,0,0,0
MEXICO,1997,Sugar cane,631,57,26,20
MEXICO,1997,Tobacco,32,0,1,2
MEXICO,1997,Tomato,79,9,7,6
MEXICO,1998,Vegetables,617,43,25,19
MEXICO,1997,Vegetables,303,24,12,9
MEXICO,1998,Wheat,769,80,25,0
MEXICO,1997,Wheat,769,80,25,0
MEXICO,1998,Wheat,0,0,0,0
MOLDOVA,1999,Cereals,121,0,0,0
MOLDOVA,1999,Maize,87,0,0,0
MOLDOVA,1999,Soybean,13,0,0,0
MOLDOVA,1999,Sugar beet,48,1,0,0
MOLDOVA,1999,Tobacco,15,0,0,0
MOLDOVA,1999,Vegetables,14,0,0,0
MOLDOVA,1999,Wheat,241,2,0,0
MOROCCO,1998,Apple,63,4,3,3
MOROCCO,1998,Cereals,5000,0,0,0
MOROCCO,1998,Cereals,0,0,0,0
MOROCCO,1998,Cereals,4800,58,48,10
MOROCCO,1998,Citrus fruits,76,0,0,0
MOROCCO,1998,Citrus fruits,0,0,0,0
MOROCCO,1998,Citrus fruits,74,15,8,11
MOROCCO,1998,Cotton,2,0,0,0
MOROCCO,1998,Date,48,0,0,0
MOROCCO,1998,Date,0,0,0,0
MOROCCO,1998,Grape,49,5,0,1
MOROCCO,1998,Lentil,380,0,0,0
MOROCCO,1998,Lentil,0,0,0,0
MOROCCO,1998,Olive,50,0,0,1
MOROCCO,1998,Olive,500,4,4,2
MOROCCO,1998,Olive,548,0,0,0
MOROCCO,1998,Olive,0,0,0,0
MOROCCO,1998,Potato,60,0,0,0
MOROCCO,1998,Potato,0,0,0,0
MOROCCO,1998,Pulses,340,3,12,2
MOROCCO,1998,Sugar beet,61,0,0,0
MOROCCO,1998,Sugar beet,0,0,0,0
MOROCCO,1998,Sugar beet,70,10,9,4
MOROCCO,1998,Sugar cane,11,1,1,1
MOROCCO,1998,Sunflower,70,0,0,0
MOROCCO,1998,Sunflower,0,0,0,0
MOROCCO,1998,Sunflower,120,3,3,1
MOROCCO,1998,Vegetables,242,16,14,18
MOROCCO,1998,Grape,50,0,0,0
MOROCCO,1998,Grape,0,0,0,0
MYANMAR,2001,Cassava,8,0,0,0
MYANMAR,2001,Coconut,32,0,0,0
MYANMAR,2001,Coffee,4,0,0,0
MYANMAR,2001,Fruits,286,3,1,0
MYANMAR,2001,Groundnut,530,1,0,0
MYANMAR,2001,Maize,205,2,4,0
MYANMAR,2001,Rice,6000,126,36,2
MYANMAR,2001,Soybean,102,0,0,0
MYANMAR,2001,Sugar cane,158,3,1,0
MYANMAR,2001,Tea,63,1,0,0
MYANMAR,2001,Tobacco,30,0,0,0
MYANMAR,2001,Vegetables,275,4,3,2
NETHERLANDS,1999,Barley,35,3,0,0
NETHERLANDS,1999,Fodder (legumes),6,0,0,0
NETHERLANDS,1999,Fodder (other),1,0,0,0
NETHERLANDS,1999,Maize,20,1,1,0
NETHERLANDS,1999,Maize,1013,243,23,4
NETHERLANDS,1999,Maize,225,8,6,6
NETHERLANDS,1999,Rapeseed,1,0,0,0
NETHERLANDS,1999,Potato,175,29,12,31
NETHERLANDS,1999,Pulses,4,0,0,0
NETHERLANDS,1999,Rye,12,1,0,0
NETHERLANDS,1999,Sugar beet,115,12,6,8
NETHERLANDS,1999,Vegetables,76,10,6,13
NETHERLANDS,1999,Wheat,145,28,1,1
NEW ZEALAND,2000,Barley,56,4,4,3
NEW ZEALAND,2000,Clover,5,0,0,0
NEW ZEALAND,2000,Hop,0,0,0,0
NEW ZEALAND,2000,Lentil,2,0,0,0
NEW ZEALAND,2000,Maize,20,2,3,2
NEW ZEALAND,2000,Oat,10,1,1,0
NEW ZEALAND,2000,Potato,12,2,1,2
NEW ZEALAND,2000,Rapeseed,1,0,0,0
NEW ZEALAND,2000,Tomato,2,0,0,0
NEW ZEALAND,2000,Wheat,53,5,3,3
NICARAGUA,1998,Banana,2,0,0,0
NICARAGUA,1998,Citrus fruits,15,1,0,0
NICARAGUA,1998,Cocoa,2,0,0,0
NICARAGUA,1998,Coffee,93,6,4,3
NICARAGUA,1998,Dry beans,189,2,3,1
NICARAGUA,1998,Maize,252,9,3,1
NICARAGUA,1998,Oil Palm,2,0,0,0
NICARAGUA,1998,Pineapple,3,0,0,0
NICARAGUA,1998,Plantain,4,0,0,0
NICARAGUA,1998,Potato,2,0,0,0
NICARAGUA,1998,Rice,84,2,1,1
NICARAGUA,1998,Sorghum,41,2,1,0
NICARAGUA,1998,Soybean,18,0,0,0
NICARAGUA,1998,Sugar cane,53,3,2,1
NICARAGUA,1998,Tobacco,2,0,0,0
NICARAGUA,1998,Vegetables,11,1,1,1
NIGERIA,1996,Cassava,3639,10,4,0
NIGERIA,1996,Cotton,368,13,0,0
NIGERIA,1996,"Pea, dry",5390,3,3,0
NIGERIA,1996,Groundnut,2997,3,2,0
NIGERIA,1996,Maize,4203,25,6,0
NIGERIA,1996,Millet,5528,10,4,0
NIGERIA,1996,Potato,80,0,0,0
NIGERIA,1996,"Potato, sweet",386,0,0,0
NIGERIA,1996,Rice,2097,10,4,0
NIGERIA,1996,Sorghum,7338,10,3,0
NIGERIA,1996,Soybean,467,1,1,0
NIGERIA,1996,Taro,555,1,1,0
NIGERIA,1996,Yam,2847,11,4,0
NORWAY,1999,Barley,176,18,7,8
NORWAY,1999,Fodder (other),493,54,13,35
NORWAY,1999,Rapeseed,6,1,0,0
NORWAY,1999,Potato,15,2,1,2
NORWAY,1999,Rye,94,9,4,4
NORWAY,1999,Vegetables,6,1,0,1
NORWAY,1999,Wheat,60,7,3,3
PAKISTAN,1999,Barley,1102,70,24,30
PAKISTAN,1999,Millet,55,2,1,1
PAKISTAN,1999,Cereals,1431,66,23,28
PAKISTAN,1999,Maize,129,11,4,5
PAKISTAN,1999,Fodder (beet),134,17,6,7
PAKISTAN,1999,Pulses,184,3,1,1
PAKISTAN,1999,Lentil,615,11,4,5
PAKISTAN,1999,Maize,154,13,4,5
PAKISTAN,1999,Hay,2594,104,36,44
PAKISTAN,1999,Oat,569,25,9,11
PAKISTAN,1999,Apple,267,20,7,8
PAKISTAN,1999,Hay,1464,29,10,13
PAKISTAN,1999,Potato,1260,66,23,28
PAKISTAN,1999,Pulses,48,1,0,0
PAKISTAN,1999,Rapeseed,491,50,17,22
PAKISTAN,1999,Rye,2187,61,21,26
PAKISTAN,1999,Sugar beet,352,46,16,20
PAKISTAN,1999,Triticale,677,44,15,19
PAKISTAN,1999,Vegetables,245,18,6,8
PAKISTAN,1999,Wheat,696,52,18,22
PAKISTAN,1999,Wheat,1913,142,49,61
PAKISTAN,1998,Cotton,2923,525,83,1
PAKISTAN,1998,Oil Palm,7323,274,64,8
PAKISTAN,1998,Maize,885,51,8,2
PAKISTAN,1998,Fruits,0,0,0,0
PAKISTAN,1998,Rice,2422,127,17,1
PAKISTAN,1998,Sugar cane,1155,226,47,4
PAKISTAN,1998,Wheat,8332,894,247,6
PARAGUAY,1997,Citrus fruits,19,1,0,0
PARAGUAY,1997,Coffee,6,0,0,0
PARAGUAY,1997,Cotton,111,0,0,0
PARAGUAY,1997,Dry beans,74,1,1,0
PARAGUAY,1997,Fruits,19,1,0,1
PARAGUAY,1997,Maize,384,4,4,4
PARAGUAY,1997,Oil Palm,12,1,0,0
PARAGUAY,1997,Pulses,82,1,1,1
PARAGUAY,1997,Rice,41,1,1,0
PARAGUAY,1997,Sorghum,41,2,0,0
PARAGUAY,1997,Soybean,940,3,9,9
PARAGUAY,1997,Sugar cane,58,2,1,1
PARAGUAY,1997,Sunflower,48,1,2,3
PARAGUAY,1997,Tobacco,8,0,0,0
PARAGUAY,1997,Vegetables,20,2,1,1
PARAGUAY,1997,Wheat,201,3,4,2
PHILIPPINES,2001,Cassava,221,2,1,0
PHILIPPINES,2001,Cocoa,15,1,0,0
PHILIPPINES,2001,Coconut,3077,19,9,6
PHILIPPINES,2001,Coffee,137,4,2,1
PHILIPPINES,2001,Fruits,943,35,12,19
PHILIPPINES,2001,Groundnut,27,0,0,0
PHILIPPINES,2001,Maize,2507,116,30,18
PHILIPPINES,2001,Oil Palm,15,1,0,1
PHILIPPINES,2001,Onion,10,0,0,0
PHILIPPINES,2001,Potato,5,0,0,0
PHILIPPINES,2001,Rice,4037,175,52,33
PHILIPPINES,2001,Soybean,1,0,0,0
PHILIPPINES,2001,Sugar cane,375,26,12,5
PHILIPPINES,2001,Tobacco,44,3,1,2
PHILIPPINES,2001,Vegetables,560,29,9,14
POLAND,1999,Maize,0,0,0,0
POLAND,1999,Hay,0,0,0,0
POLAND,1999,Potato,0,0,0,0
POLAND,1999,Sugar beet,0,0,0,0
POLAND,1999,Wheat,0,0,0,0
PORTUGAL,1999,Barley,31,2,2,0
PORTUGAL,1999,Fodder (legumes),4,0,0,0
PORTUGAL,1999,Fodder (other),20,2,1,1
PORTUGAL,1999,Maize,190,30,11,10
PORTUGAL,1999,Hay,200,8,6,4
PORTUGAL,1999,Maize,176,14,5,5
PORTUGAL,1999,Rapeseed,2,0,0,0
PORTUGAL,1999,Potato,75,8,6,6
PORTUGAL,1999,Pulses,2,0,0,0
PORTUGAL,1999,Rye,136,8,5,0
PORTUGAL,1999,"Set-aside, industrial crops",1,0,0,0
PORTUGAL,1999,Sugar beet,8,1,1,1
PORTUGAL,1999,Vegetables,110,13,9,8
PORTUGAL,1999,Wheat,262,21,14,3
SAUDI ARABIA,1996,Barley,78,15,23,2
SAUDI ARABIA,1996,Fruits,130,21,23,10
SAUDI ARABIA,1996,Potato,21,4,3,2
SAUDI ARABIA,1996,Vegetables,115,20,18,17
SAUDI ARABIA,1996,Wheat,573,40,30,2
SLOVAKIA,1999,Barley,124,5,2,2
SLOVAKIA,1999,Barley,10,1,0,0
SLOVAKIA,1999,Flax,3,0,0,0
SLOVAKIA,1999,Fruits,5,0,0,0
SLOVAKIA,1999,Maize,105,9,1,1
SLOVAKIA,1999,Hay,292,6,1,1
SLOVAKIA,1999,Maize,84,6,1,1
SLOVAKIA,1999,Oat,14,1,0,0
SLOVAKIA,1999,Potato,12,1,0,1
SLOVAKIA,1999,Pulses,8,0,0,0
SLOVAKIA,1999,Rapeseed,85,8,1,1
SLOVAKIA,1999,Rye,24,1,0,0
SLOVAKIA,1999,Sugar beet,29,2,1,1
SLOVAKIA,1999,Sunflower,54,3,1,1
SLOVAKIA,1999,Tobacco,1,0,0,0
SLOVAKIA,1999,Triticale,7,0,0,0
SLOVAKIA,1999,Vegetables,11,1,0,1
SLOVAKIA,1999,Wheat,12,1,0,0
SLOVAKIA,1999,Wheat,327,25,5,4
SOUTH AFRICA,1999,Citrus fruits,0,0,0,0
SOUTH AFRICA,1999,Cotton,0,0,0,0
SOUTH AFRICA,1999,Fruits,0,0,0,0
SOUTH AFRICA,1999,Maize,0,0,0,0
SOUTH AFRICA,1999,Hay,0,0,0,0
SOUTH AFRICA,1999,Potato,0,0,0,0
SOUTH AFRICA,1999,Soybean,0,0,0,0
SOUTH AFRICA,1999,Fruits,0,0,0,0
SOUTH AFRICA,1999,Sugar cane,0,0,0,0
SOUTH AFRICA,1999,Sunflower,0,0,0,0
SOUTH AFRICA,1999,Tobacco,0,0,0,0
SOUTH AFRICA,1999,Vegetables,0,0,0,0
SOUTH AFRICA,1999,Grape,0,0,0,0
SOUTH AFRICA,1999,Wheat,0,0,0,0
SOUTH AFRICA,1999,Barley,110,2,2,0
SOUTH AFRICA,1999,Citrus fruits,46,4,2,3
SOUTH AFRICA,1999,Cotton,85,1,1,0
SOUTH AFRICA,1999,Fruits,52,6,2,4
SOUTH AFRICA,1999,Dry beans,75,1,2,1
SOUTH AFRICA,1999,Sorghum,200,7,3,1
SOUTH AFRICA,1999,Hay,1750,26,22,4
SOUTH AFRICA,1999,Groundnut,135,1,1,0
SOUTH AFRICA,1999,Alfalfa,214,3,11,5
SOUTH AFRICA,1999,Maize,3650,191,77,19
SOUTH AFRICA,1999,Oat,600,7,6,2
SOUTH AFRICA,1999,Tobacco,16,1,2,2
SOUTH AFRICA,1999,Potato,60,10,9,7
SOUTH AFRICA,1999,Rye,45,1,1,0
SOUTH AFRICA,1999,Soybean,68,0,1,0
SOUTH AFRICA,1999,Fruits,20,4,1,5
SOUTH AFRICA,1999,Sugar cane,400,35,21,50
SOUTH AFRICA,1999,Sunflower,580,7,9,1
SOUTH AFRICA,1999,Vegetables,95,16,15,11
SOUTH AFRICA,1999,Grape,120,6,4,3
SOUTH AFRICA,1999,Wheat,1400,42,30,5
SPAIN,1999,Barley,3204,288,163,93
SPAIN,1999,Fodder (legumes),310,6,14,14
SPAIN,1999,Fodder (other),430,14,9,9
SPAIN,1999,Maize,430,97,47,44
SPAIN,1999,Hay,210,8,7,6
SPAIN,1999,Maize,90,7,5,5
SPAIN,1999,Rapeseed,50,5,4,4
SPAIN,1999,Tobacco,160,25,16,16
SPAIN,1999,Fruits,4975,282,119,129
SPAIN,1999,Potato,132,19,11,13
SPAIN,1999,Pulses,505,5,6,4
SPAIN,1999,Rye,641,51,22,16
SPAIN,1999,"Set-aside, industrial crops",50,2,1,1
SPAIN,1999,Sugar beet,130,23,13,14
SPAIN,1999,Sunflower,900,12,5,5
SPAIN,1999,Vegetables,440,90,42,45
SPAIN,1999,Wheat,2392,227,127,74
SRI LANKA,1998,Coconut,442,4,3,8
SRI LANKA,1998,Rice,820,85,11,21
SRI LANKA,1998,Tea,189,40,7,23
SRI LANKA,1998,Tobacco,7,0,1,1
SWEDEN,1999,Barley,459,36,9,5
SWEDEN,1999,Fodder (legumes),27,0,0,0
SWEDEN,1999,Fodder (other),683,58,12,24
SWEDEN,1999,Hay,150,9,2,2
SWEDEN,1999,Rapeseed,50,6,2,2
SWEDEN,1999,Potato,35,3,3,4
SWEDEN,1999,Pulses,38,0,2,0
SWEDEN,1999,Rye,408,28,6,4
SWEDEN,1999,Sugar beet,55,6,2,4
SWEDEN,1999,Sunflower,13,1,0,0
SWEDEN,1999,Vegetables,13,1,1,1
SWEDEN,1999,Wheat,388,47,8,4
SWITZERLAND,1999,Barley,47,6,2,2
SWITZERLAND,1999,Fodder (legumes),2,0,0,0
SWITZERLAND,1999,Fodder (other),4,0,0,0
SWITZERLAND,1999,Maize,29,5,2,3
SWITZERLAND,1999,Hay,360,16,6,7
SWITZERLAND,1999,Maize,43,3,2,3
SWITZERLAND,1999,Rapeseed,16,3,1,2
SWITZERLAND,1999,Fruits,21,1,1,2
SWITZERLAND,1999,Potato,16,3,1,3
SWITZERLAND,1999,Pulses,3,0,0,0
SWITZERLAND,1999,Rye,14,2,1,1
SWITZERLAND,1999,"Set-aside, industrial crops",16,1,0,0
SWITZERLAND,1999,Sugar beet,18,3,1,4
SWITZERLAND,1999,Sunflower,4,0,0,0
SWITZERLAND,1999,Vegetables,9,1,1,2
SWITZERLAND,1999,Wheat,91,14,4,5
SYRIA,1995,Barley,1963,59,59,0
SYRIA,1995,Barley,1963,59,59,0
SYRIA,1995,Cotton,204,10,10,0
SYRIA,1995,Cotton,204,10,10,0
SYRIA,1995,Grape,67,2,2,0
SYRIA,1995,Grape,67,2,2,0
SYRIA,1995,Maize,69,2,2,0
SYRIA,1995,Maize,69,2,2,0
SYRIA,1995,Olive,422,15,13,0
SYRIA,1995,Olive,422,15,13,0
SYRIA,1995,Potato,23,1,1,0
SYRIA,1995,Potato,23,1,1,0
SYRIA,1995,Sugar beet,31,2,2,0
SYRIA,1995,Sugar beet,31,2,2,0
SYRIA,1995,Tomato,20,1,1,0
SYRIA,1995,Tomato,20,1,1,0
SYRIA,1995,Wheat,1644,49,49,0
SYRIA,1995,Wheat,1644,49,49,0
TANZANIA,1997,Cassava,99,0,0,0
TANZANIA,1997,Coffee,110,0,0,0
TANZANIA,1997,Cotton,181,2,0,0
