"Buildings, industrial energy use, and industrial feedstocks",,,,,,,,,,,,,,,
Transportation is calibrated in the transportation workbook (no need to be redundant),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Buildings sector final energy use,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,
,,,,,calibrated-value,,subsector sharewt,,tech sharewt,,,,,,
Southeast Asia,industrial energy use,coal,coal cogen,electricity,0.401410281,0.401407043,,0.25,0.25,,,,,,11
Southeast Asia,industrial energy use,gas,gas cogen,electricity,0.414567339,0.414566464,,0.25,0.25,,,,,,11
Southeast Asia,industrial energy use,refined liquids,refined liquids cogen,electricity,0.413515661,0.41351632,,0.25,0.25,,,,,,11
Eastern Europe,industrial energy use,biomass,biomass cogen,electricity,0.362471642,0.362470606,,0.2,0.2,,,,,,12
Eastern Europe,industrial energy use,coal,coal cogen,electricity,0.401410281,0.401407043,,0.25,0.25,,,,,,12
Eastern Europe,industrial energy use,gas,gas cogen,electricity,0.414567339,0.414566464,,0.25,0.25,,,,,,12
Eastern Europe,industrial energy use,refined liquids,refined liquids cogen,electricity,0.413515661,0.41351632,,0.25,0.25,,,,,,12
Korea,industrial energy use,biomass,biomass cogen,electricity,0.362471642,0.362470606,,0.2,0.2,,,,,,13
Korea,industrial energy use,coal,coal cogen,electricity,0.401410281,0.401407043,,0.25,0.25,,,,,,13
Korea,industrial energy use,gas,gas cogen,electricity,0.414567339,0.414566464,,0.25,0.25,,,,,,13
Korea,industrial energy use,refined liquids,refined liquids cogen,electricity,0.413515661,0.41351632,,0.25,0.25,,,,,,13
India,industrial energy use,biomass,biomass cogen,electricity,0.362471642,0.362470606,,0.2,0.2,,,,,,14
India,industrial energy use,coal,coal cogen,electricity,0.401410281,0.401407043,,0.25,0.25,,,,,,14
India,industrial energy use,gas,gas cogen,electricity,0.414567339,0.414566464,,0.25,0.25,,,,,,14
India,industrial energy use,refined liquids,refined liquids cogen,electricity,0.413515661,0.41351632,,0.25,0.25,,,,,,14
,,,,,,,,,,,,,,,
Industrial feedstock use,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,
,,,,,calibrated-value,,efficiency,,subsector sharewt,,tech sharewt,,,,
region,supplysector,subsector,technology,minicam-energy-input,1990,2005,1990,2005,1990,2005,1990,2005,,,region ID
USA,industrial feedstocks,biomass,biomass,delivered biomass,0,0,1,1,0,0,0,0,,,1
USA,industrial feedstocks,coal,coal,delivered coal,0,0,1,1,0,0,0,0,,,1
USA,industrial feedstocks,gas,gas,wholesale gas,0.581374861,0.619173292,1,1,1,1,1,1,,,1
USA,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,4.250447734,6.045940166,1,1,1,1,1,1,,,1
Canada,industrial feedstocks,biomass,biomass,delivered biomass,0,0,1,1,0,0,0,0,,,2
Canada,industrial feedstocks,coal,coal,delivered coal,0.013648968,0.010475374,1,1,1,1,1,1,,,2
Canada,industrial feedstocks,gas,gas,wholesale gas,0.141572455,0.145771816,1,1,1,1,1,1,,,2
Canada,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,0.466614673,0.830903954,1,1,1,1,1,1,,,2
Western Europe,industrial feedstocks,biomass,biomass,delivered biomass,0,0,1,1,0,0,0,0,,,3
Western Europe,industrial feedstocks,coal,coal,delivered coal,0.051656738,0.02678296,1,1,1,1,1,1,,,3
Western Europe,industrial feedstocks,gas,gas,wholesale gas,0.483148346,0.458785357,1,1,1,1,1,1,,,3
Western Europe,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,3.264079522,3.881502731,1,1,1,1,1,1,,,3
Japan,industrial feedstocks,biomass,biomass,delivered biomass,0,0,1,1,0,0,0,0,,,4
Japan,industrial feedstocks,coal,coal,delivered coal,0.015901466,0.016345267,1,1,1,1,1,1,,,4
Japan,industrial feedstocks,gas,gas,wholesale gas,0.012631576,0.014582624,1,1,1,1,1,1,,,4
Japan,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,1.460527499,1.697157061,1,1,1,1,1,1,,,4
Australia_NZ,industrial feedstocks,biomass,biomass,delivered biomass,0,0,1,1,0,0,0,0,,,5
Australia_NZ,industrial feedstocks,coal,coal,delivered coal,0,0,1,1,0,0,0,0,,,5
Australia_NZ,industrial feedstocks,gas,gas,wholesale gas,0.0408213,0.073415538,1,1,1,1,1,1,,,5
Australia_NZ,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,0.156008542,0.145859738,1,1,1,1,1,1,,,5
Former Soviet Union,industrial feedstocks,biomass,biomass,delivered biomass,0,0,1,1,0,0,0,0,,,6
Former Soviet Union,industrial feedstocks,coal,coal,delivered coal,0.000946217,0.108706075,1,1,1,1,1,1,,,6
Former Soviet Union,industrial feedstocks,gas,gas,wholesale gas,0.990705737,1.290313145,1,1,1,1,1,1,,,6
Former Soviet Union,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,0.846290444,0.681887369,1,1,1,1,1,1,,,6
China,industrial feedstocks,biomass,biomass,delivered biomass,0,0,1,1,0,0,0,0,,,7
China,industrial feedstocks,coal,coal,delivered coal,0.802793779,0.917248331,1,1,1,1,1,1,,,7
China,industrial feedstocks,gas,gas,wholesale gas,0.191604715,0.307122714,1,1,1,1,1,1,,,7
China,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,0.794034994,2.63056644,1,1,1,1,1,1,,,7
Middle East,industrial feedstocks,biomass,biomass,delivered biomass,0,0,1,1,0,0,0,0,,,8
Middle East,industrial feedstocks,coal,coal,delivered coal,0,0,1,1,0,0,0,0,,,8
Middle East,industrial feedstocks,gas,gas,wholesale gas,0.342844492,0.795404077,1,1,1,1,1,1,,,8
Middle East,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,0.478053011,1.126194772,1,1,1,1,1,1,,,8
Africa,industrial feedstocks,biomass,biomass,delivered biomass,0,0,1,1,0,0,0,0,,,9
Africa,industrial feedstocks,coal,coal,delivered coal,0.116568886,0.059285088,1,1,1,1,1,1,,,9
Africa,industrial feedstocks,gas,gas,wholesale gas,0.108806558,0.232384147,1,1,1,1,1,1,,,9
Africa,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,0.240267892,0.31149792,1,1,1,1,1,1,,,9
Latin America,industrial feedstocks,biomass,biomass,delivered biomass,0.019355576,0.012271511,1,1,1,1,1,1,,,10
Latin America,industrial feedstocks,coal,coal,delivered coal,0.004534304,0.005241874,1,1,1,1,1,1,,,10
Latin America,industrial feedstocks,gas,gas,wholesale gas,0.239920387,0.475846567,1,1,1,1,1,1,,,10
Latin America,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,0.798175739,1.079825962,1,1,1,1,1,1,,,10
Southeast Asia,industrial feedstocks,biomass,biomass,delivered biomass,0,0,1,1,0,0,0,0,,,11
Southeast Asia,industrial feedstocks,coal,coal,delivered coal,0,0.010425132,1,1,0,1,0,1,,,11
Southeast Asia,industrial feedstocks,gas,gas,wholesale gas,0.34605158,0.578142652,1,1,1,1,1,1,,,11
Southeast Asia,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,0.492568646,1.40751005,1,1,1,1,1,1,,,11
Eastern Europe,industrial feedstocks,biomass,biomass,delivered biomass,0,0,1,1,0,0,0,0,,,12
Eastern Europe,industrial feedstocks,coal,coal,delivered coal,0.008562006,0.019849619,1,1,1,1,1,1,,,12
Eastern Europe,industrial feedstocks,gas,gas,wholesale gas,0.146450077,0.216943229,1,1,1,1,1,1,,,12
Eastern Europe,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,0.403795926,0.447146053,1,1,1,1,1,1,,,12
Korea,industrial feedstocks,biomass,biomass,delivered biomass,0,0,1,1,0,0,0,0,,,13
Korea,industrial feedstocks,coal,coal,delivered coal,0,0,1,1,0,0,0,0,,,13
Korea,industrial feedstocks,gas,gas,wholesale gas,0,0,1,1,0,0,0,0,,,13
Korea,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,0.292736869,1.399295549,1,1,1,1,1,1,,,13
India,industrial feedstocks,biomass,biomass,delivered biomass,0,0,1,1,0,0,0,0,,,14
India,industrial feedstocks,coal,coal,delivered coal,0,0,1,1,0,0,0,0,,,14
India,industrial feedstocks,gas,gas,wholesale gas,0.221498467,0.31098713,1,1,1,1,1,1,,,14
India,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,0.266682413,1.027729609,1,1,1,1,1,1,,,14
