INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
10,,,,,,,,,,,,
,,,price,,,,,,,,,
region,unlimited-resource,capacity-factor,1975,1990,2005,2020,2035,2050,2065,2080,2095,
Africa,global solar resource,0.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
,,,,,,,,,,,,
Delete intermittent supplysector,,,,,,,,,,,,
not reading,,,,,,,,,,,,
removing from core input,,,,,,,,,,,,
19,,,,,,,,,,,,
,,,,,,,,,,,,
region,intermittent-supplysector,,,,,,,,,,,
ALL,SolarAndAuxiliary,,,,,,,,,,,
,,,,,,,,,,,,
Subsector shareweights,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Former Soviet Union,electricity,solar,PV_storage,105.77,105.77,71.60,52.29,41.36,35.12,31.50,29.69,
China,electricity,solar,PV_storage,107.45,107.45,72.73,53.11,42.01,35.67,32.00,30.16,
Middle East,electricity,solar,PV_storage,81.06,81.06,54.87,40.07,31.70,26.91,24.14,22.75,
Africa,electricity,solar,PV_storage,60.61,60.61,41.03,29.96,23.70,20.12,18.05,17.01,
Latin America,electricity,solar,PV_storage,49.68,49.68,33.63,24.56,19.42,16.49,14.79,13.94,
Southeast Asia,electricity,solar,PV_storage,40.81,40.81,27.62,20.17,15.96,13.55,12.15,11.45,
Eastern Europe,electricity,solar,PV_storage,50.47,50.47,34.16,24.95,19.73,16.76,15.03,14.16,
Korea,electricity,solar,PV_storage,50.73,50.73,34.34,25.08,19.84,16.84,15.11,14.24,
India,electricity,solar,PV_storage,42.23,42.23,28.59,20.88,16.51,14.02,12.58,11.85,
,,,,,,,,,,,,
Shareweight,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
1104,,,,,,,,,,,,
,,,,sharewt,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
USA,electricity,solar,PV_storage,0,0,0,1,1,1,1,1,1
Canada,electricity,solar,PV_storage,0,0,0,1,1,1,1,1,1
Western Europe,electricity,solar,PV_storage,0,0,0,1,1,1,1,1,1
Japan,electricity,solar,PV_storage,0,0,0,1,1,1,1,1,1
Australia_NZ,electricity,solar,PV_storage,0,0,0,1,1,1,1,1,1
Former Soviet Union,electricity,solar,PV_storage,0,0,0,1,1,1,1,1,1
China,electricity,solar,PV_storage,0,0,0,1,1,1,1,1,1
Middle East,electricity,solar,PV_storage,0,0,0,1,1,1,1,1,1
Africa,electricity,solar,PV_storage,0,0,0,1,1,1,1,1,1
Latin America,electricity,solar,PV_storage,0,0,0,1,1,1,1,1,1
Southeast Asia,electricity,solar,PV_storage,0,0,0,1,1,1,1,1,1
Eastern Europe,electricity,solar,PV_storage,0,0,0,1,1,1,1,1,1
Korea,electricity,solar,PV_storage,0,0,0,1,1,1,1,1,1
India,electricity,solar,PV_storage,0,0,0,1,1,1,1,1,1
