# File: pwt1001_na.csv
# Title: Penn World Table version 10.01 supplemental National Accounts
# Units: million constant 2017 local currency; xr provides local currency to USD exchange rates
# Description: PWT used to provide macro-economic data for GCAM macroeconomic module.
# Source: DOI: 10.1257/aer.20130954 ; https://www.rug.nl/ggdc/productivity/pwt/?lang=en; https://www.rug.nl/ggdc/productivity/pwt/
# Column types: cinnnnnnnnnnnnnnnnnnn
# ----------
countrycode,year,v_c,v_i,v_g,v_x,v_m,v_gdp,q_c,q_i,q_g,q_x,q_m,q_gdp,pop,xr,xr2,v_gfcf,q_gfcf,emp,avh
BRA,1984,0,0,0,0,0,0,"1,566,222","510,557","731,376","141,151","92,169","2,938,952",132,0,0,0,"475,647",50,"1,942"
BRA,1985,0,0,0,0,0,0,"1,612,465","555,282","750,311","151,091","92,219","3,169,630",135,0,0,0,"517,314",54,"1,931"
BRA,1986,0,0,0,0,0,0,"1,822,585","680,736","830,726","135,114","118,615","3,407,036",138,0,0,0,"634,190",55,"1,920"
BRA,1987,0,0,0,0,0,0,"1,860,918","671,456","838,270","161,111","115,125","3,527,304",141,0,0,0,"625,544",57,"1,910"
BRA,1988,0,0,0,0,0,0,"1,844,343","638,335","819,774","182,162","113,846","3,525,188",144,0,0,0,"594,688",59,"1,899"
BRA,1989,0,0,0,0,0,0,"1,817,740","645,982","947,702","191,381","124,066","3,636,583",146,0,0,0,"601,812",60,"1,889"
BRA,1990,7,2,2,1,1,12,"1,870,807","503,552","855,200","181,961","136,555","3,478,392",149,0,0,3,"553,081",62,"1,879"
BRA,1991,43,11,12,6,5,67,"2,025,644","596,634","830,473","201,309","162,061","3,514,220",152,0,0,12,"597,791",61,"1,868"
BRA,1992,453,117,126,74,59,708,"2,012,569","557,131","854,061","234,615","169,399","3,481,315",154,0,0,127,"558,211",61,"1,858"
BRA,1993,"9,749","2,841","2,881","1,555","1,404","15,576","2,103,910","592,368","873,762","262,022","214,761","3,649,678",157,0,0,"2,923","593,517",62,"1,859"
BRA,1994,"239,704","74,748","72,189","34,885","35,049","385,845","2,260,503","676,821","876,672","272,528","258,459","3,863,269",159,1,1,"77,909","678,133",62,"1,860"
BRA,1995,"445,337","139,212","146,550","52,419","67,170","713,993","2,455,401","838,029","888,444","266,988","337,767","4,026,437",162,1,1,"142,751","727,572",63,"1,855"
BRA,1996,"551,273","157,381","167,452","56,732","76,592","853,955","2,534,739","886,118","872,221","265,868","356,665","4,113,027",165,1,1,"157,197","738,505",62,"1,850"
BRA,1997,"615,519","179,100","184,483","65,572","91,896","950,263","2,611,613","972,487","883,094","295,166","408,722","4,251,852",167,1,1,"180,109","802,998",63,"1,846"
BRA,1998,"636,406","182,489","199,544","69,496","94,887","990,867","2,592,758","945,777","911,545","309,654","408,488","4,253,355",170,1,1,"183,465","800,241",63,"1,841"
BRA,1999,"696,334","190,869","213,431","102,600","124,957","1,077,606","2,602,538","830,170","926,933","327,324","346,832","4,264,162",172,2,2,"184,096","734,652",66,"1,814"
BRA,2000,"766,524","235,567","223,216","120,476","150,234","1,193,443","2,707,509","915,544","925,531","369,420","384,286","4,447,785",175,2,2,"218,769","771,625",68,"1,838"
BRA,2001,"834,426","256,904","254,769","162,372","190,649","1,317,548","2,726,000","891,649","950,916","406,538","390,108","4,506,189",177,2,2,"244,848","774,990",68,"1,828"
BRA,2002,"921,504","261,935","300,186","213,252","201,720","1,495,314","2,778,941","792,550","996,044","436,691","343,996","4,625,968",180,3,3,"267,360","734,443",71,"1,819"
BRA,2003,"1,063,141","293,391","325,414","260,798","222,676","1,720,069","2,757,148","778,805","1,007,540","482,101","338,428","4,679,010",182,3,3,"286,738","700,702",72,"1,811"
BRA,2004,"1,178,695","350,684","361,549","323,925","257,102","1,957,751","2,863,598","848,061","1,054,078","551,880","373,441","4,942,425",184,3,3,"339,087","756,256",76,"1,803"
BRA,2005,"1,313,296","373,447","410,023","330,880","257,062","2,170,585","2,990,504","826,881","1,075,275","605,105","401,305","5,100,688",186,2,2,"370,219","771,051",78,"1,783"
BRA,2006,"1,456,215","429,279","458,733","346,342","281,120","2,409,450","3,149,046","896,958","1,113,564","634,376","472,587","5,302,776",188,2,2,"414,674","822,409",81,"1,779"
BRA,2007,"1,628,756","539,138","515,299","362,548","325,478","2,720,263","3,352,945","1,039,713","1,158,876","673,556","565,014","5,624,648",190,2,2,"489,532","920,707",81,"1,774"
BRA,2008,"1,857,510","672,320","585,868","420,881","426,776","3,109,803","3,570,275","1,187,591","1,182,576","676,312","661,211","5,911,179",192,2,2,"602,846","1,033,833",83,"1,771"
BRA,2009,"2,065,033","626,483","654,964","361,680","375,120","3,333,039","3,728,602","1,015,420","1,217,405","613,773","610,946","5,903,741",194,2,2,"636,676","1,011,773",83,"1,765"
BRA,2010,"2,340,172","847,166","738,966","417,270","457,722","3,885,847","3,960,952","1,307,806","1,265,135","685,718","816,463","6,348,189",196,2,2,"797,946","1,192,414",86,"1,761"
BRA,2011,"2,637,815","955,201","817,038","501,802","535,473","4,376,382","4,153,823","1,382,730","1,293,022","718,559","893,390","6,600,492",198,2,2,"901,927","1,273,904",89,"1,770"
BRA,2012,"2,956,835","1,031,188","892,180","563,474","628,916","4,814,760","4,299,047","1,347,541","1,322,465","720,506","899,874","6,727,299",199,2,2,"997,460","1,283,825",90,"1,765"
BRA,2013,"3,290,425","1,156,629","1,007,275","620,077","742,784","5,331,619","4,449,462","1,426,744","1,342,435","737,757","965,021","6,929,443",201,2,2,"1,114,944","1,358,636",91,"1,752"
BRA,2014,"3,638,402","1,187,483","1,106,874","636,375","790,183","5,778,953","4,549,876","1,349,586","1,353,350","729,392","946,553","6,964,364",203,2,2,"1,148,453","1,301,246",93,"1,739"
BRA,2015,"3,835,193","1,043,964","1,185,776","773,468","842,614","5,995,787","4,328,868","1,091,021","1,333,909","779,133","812,231","6,717,424",204,3,3,"1,069,397","1,119,768",92,"1,723"
BRA,2016,"4,028,136","938,490","1,277,645","781,577","756,520","6,269,328","4,162,761","938,877","1,336,723","785,858","728,223","6,497,367",206,3,3,"973,271","983,942",91,"1,715"
BRA,2017,"4,245,099","963,165","1,327,758","824,434","777,137","6,583,319","4,245,099","963,165","1,327,758","824,434","777,137","6,583,319",208,3,3,"958,779","958,779",91,"1,710"
BRA,2018,"4,457,579","1,021,621","1,383,685","1,025,778","999,487","6,889,176","4,427,355","989,733","1,332,544","857,407","841,984","6,670,036",209,4,4,"1,049,663","996,243",92,"1,706"
BRA,2019,"4,712,375","1,096,737","1,471,891","1,039,367","1,063,445","7,256,926","4,508,645","1,028,047","1,326,740","835,658","851,290","6,745,846",211,4,4,"1,114,421","1,018,601",94,"1,708"
BRB,1960,173,36,14,56,94,178,"4,473",663,426,391,"1,368","2,840",0,2,2,,,0,
BRB,1961,172,34,17,62,90,190,"4,268",602,505,431,"1,288","3,043",0,2,2,,,0,
BRB,1962,181,31,17,73,100,195,"4,439",598,522,529,"1,451","3,193",0,2,2,,,0,
BRB,1963,189,36,17,89,109,216,"4,519",633,474,496,"1,481","3,047",0,2,2,,,0,
BRB,1964,193,36,17,83,107,217,"4,491",621,477,520,"1,447","3,166",0,2,2,,,0,
BRB,1965,208,34,24,99,129,230,"4,576",675,526,617,"1,556","3,491",0,2,2,,,0,
BRB,1966,215,43,32,114,151,250,"4,793",683,601,640,"1,675","3,593",0,2,2,,,0,
BRB,1967,227,48,45,124,159,286,"5,158",779,718,680,"1,734","4,131",0,2,2,,,0,
BRB,1968,266,64,43,149,197,325,"5,341","1,003",745,726,"1,882","4,472",0,2,2,,,0,
BRB,1969,310,73,54,164,230,370,"6,219","1,014",917,766,"2,134","4,898",0,2,2,,,0,
BRB,1970,370,94,62,186,273,436,"6,961","1,219",979,834,"2,416","5,401",0,2,2,86,"1,070",0,
BRB,1971,388,92,70,212,285,484,"6,878","1,048","1,044",896,"2,406","5,612",0,2,2,84,920,0,
BRB,1972,443,99,76,250,335,539,"6,919","1,070","1,054",926,"2,452","5,683",0,2,2,90,939,0,
BRB,1973,525,123,105,290,384,670,"7,021","1,054","1,173","1,018","2,709","5,760",0,2,2,112,926,0,
BRB,1974,627,158,108,375,464,840,"6,263","1,194",917,"1,023","2,499","5,492",0,2,2,144,"1,048",0,
BRB,1975,741,146,112,423,484,970,"6,799","1,184",870,715,"2,013","5,712",0,2,2,141,"1,039",0,
BRB,1976,794,220,125,420,558,"1,043","5,315","1,606",712,984,"2,089","5,961",0,2,2,216,"1,410",0,
BRB,1977,857,222,143,509,599,"1,187","5,183","1,356",703,"1,175","2,045","6,178",0,2,2,219,"1,190",0,
BRB,1978,961,237,157,667,750,"1,328","4,866","1,662",678,"1,421","2,393","6,479",0,2,2,235,"1,459",0,
BRB,1979,"1,186",296,174,911,"1,013","1,611","5,286","1,594",688,"1,578","2,619","6,991",0,2,2,279,"1,400",0,
BRB,1980,"1,329",395,214,"1,254","1,230","2,067","4,815","1,734",687,"1,766","2,587","7,296",0,2,2,369,"1,506",0,
BRB,1981,"1,518",489,266,"1,176","1,297","2,275","4,902","1,912",761,"1,475","2,431","7,156",0,2,2,483,"1,758",0,
BRB,1982,"1,552",420,272,"1,312","1,305","2,377","4,560","1,493",709,"1,498","2,225","6,803",0,2,2,424,"1,403",0,
BRB,1983,"1,624",393,287,"1,539","1,446","2,524","4,516","1,321",706,"1,664","2,334","6,837",0,2,2,387,"1,213",0,
BRB,1984,"1,760",348,321,"1,712","1,526","2,751","4,650","1,114",752,"1,757","2,341","7,080",0,2,2,354,"1,055",0,
BRB,1985,"1,716",347,378,"1,687","1,428","2,879","4,381","1,070",855,"1,673","2,116","7,156",0,2,2,340,977,0,
BRB,1986,"2,080",395,388,"1,546","1,415","3,161","5,081","1,168",840,"1,467","2,007","7,521",0,2,2,398,"1,097",0,
BRB,1987,"2,377",435,412,"1,385","1,307","3,480","5,413","1,226",681,"1,262","1,706","7,714",0,2,2,429,"1,152",0,
BRB,1988,"2,463",506,445,"1,560","1,475","3,702","5,372","1,348",838,"1,317","1,798","7,980",0,2,2,499,"1,264",0,
BRB,1989,"2,652",612,508,"1,781","1,702","4,094","5,604","1,517",849,"1,487","2,082","8,268",0,2,2,602,"1,421",0,
BRB,1990,"2,689",604,574,"1,746","1,755","4,109","5,401","1,468",673,"1,547","2,051","7,995",0,2,2,607,"1,329",0,
BRB,1991,"2,792",544,543,"1,648","1,683","4,076","5,337","1,485",981,"1,802","2,699","7,682",0,2,2,514,"1,335",0,
BRB,1992,"2,735",275,477,"1,618","1,354","3,940","3,966",681,858,"1,647","1,525","7,146",0,2,2,324,749,0,
BRB,1993,"2,861",398,519,"1,755","1,569","4,156","4,044","1,015",948,"1,665","1,739","7,233",0,2,2,384,945,0,
BRB,1994,"2,908",479,525,"1,958","1,651","4,369","6,088","1,317","1,002","2,111","2,525","7,507",0,2,2,456,"1,274",0,
BRB,1995,"3,225",539,550,"2,090","2,008","4,594","6,753","1,251","1,051","2,160","2,919","7,658",0,2,2,520,"1,216",0,
BRB,1996,"3,351",576,632,"2,282","2,160","4,899","6,852","1,273","1,180","2,322","2,987","7,962",0,2,2,598,"1,313",0,
BRB,1997,"3,625",775,653,"2,337","2,476","5,178","6,883","1,977","1,131","2,472","3,580","8,340",0,2,2,770,"1,970",0,
BRB,1998,"3,932","1,072",761,"2,402","2,587","5,838","7,560","2,354","1,335","2,668","4,201","8,652",0,2,2,"1,063","2,341",0,
BRB,1999,"4,209","1,159",772,"2,475","2,761","6,118","7,969","2,283","1,333","2,797","4,280","8,680",0,2,2,"1,129","2,239",0,
BRB,2000,"4,346","1,108",829,"2,646","2,897","6,304","8,033","2,145","1,398","2,998","4,049","9,066",0,2,2,"1,101","2,134",0,
BRB,2001,"4,445",955,841,"2,503","2,773","6,294","7,992","1,991","1,381","2,932","4,096","8,852",0,2,2,999,"2,061",0,
BRB,2002,"4,390","1,081",910,"2,422","2,764","6,401","7,879","2,552","1,490","2,875","4,082","8,922",0,2,2,"1,097","2,577",0,
BRB,2003,"4,099","1,172","1,241","2,758","3,026","6,614","7,244","1,955","2,002","3,164","4,206","9,115",0,2,2,"1,178","1,965",0,
BRB,2004,"4,716","1,325","1,217","2,872","3,469","7,098","8,216","2,078","1,936","3,089","4,303","9,244",0,2,2,"1,316","2,066",0,
BRB,2005,"5,361","1,445","1,276","3,423","4,034","7,871","8,806","2,146","1,912","3,546","4,512","9,610",0,2,2,"1,436","2,134",0,
BRB,2006,"5,967","1,794","1,224","3,877","4,264","8,435","9,091","2,700","1,710","3,905","4,429","10,155",0,2,2,"1,784","2,688",0,
BRB,2007,"6,466","1,774","1,217","4,088","4,432","9,348","8,780","2,249","2,038","3,980","4,330","10,379",0,2,2,"1,762","2,236",0,
BRB,2008,"6,849","1,751","1,275","4,181","4,867","9,570","8,287","2,133","2,098","3,830","4,183","10,451",0,2,2,"1,737","2,118",0,
BRB,2009,"6,380","1,514","1,416","3,810","4,091","8,931","7,777","1,811","2,147","3,560","3,913","9,920",0,2,2,"1,497","1,791",0,
BRB,2010,"6,760","1,439","1,398","3,527","4,349","9,060","7,395","2,195","1,789","3,203","3,811","9,694",0,2,2,"1,422","2,176",0,
BRB,2011,"6,957","1,589","1,441","3,534","4,533","9,315","7,187","2,391","1,727","3,053","3,548","9,628",0,2,2,"1,570","2,370",0,
BRB,2012,"7,025","1,492","1,403","3,622","4,420","9,220","7,151","2,143","1,401","3,055","3,416","9,585",0,2,2,"1,472","2,121",0,
BRB,2013,"7,097","1,546","1,384","3,828","4,796","9,355","7,493","2,243","1,337","3,328","3,802","9,450",0,2,2,"1,527","2,222",0,
BRB,2014,"7,244","1,553","1,348","3,759","4,673","9,393","7,360","2,195","1,256","3,289","3,797","9,438",0,2,2,"1,534","2,174",0,
BRB,2015,"7,260","1,596","1,286","3,785","4,469","9,430","7,474","2,279","1,226","3,410","4,172","9,669",0,2,2,"1,577","2,258",0,
BRB,2016,"7,531","1,584","1,297","3,531","4,070","9,660","7,401","2,227","1,235","3,619","4,359","9,909",0,2,2,"1,565","2,205",0,
BRB,2017,"7,612","1,556","1,210","3,562","4,054","9,956","7,612","1,556","1,210","3,562","4,054","9,956",0,2,2,"1,537","1,537",0,
BRB,2018,"7,570","1,454","1,202","3,566","4,039","10,173","7,710","1,475","1,176","3,676","4,205","9,898",0,2,2,"1,435","1,457",0,
BRB,2019,"7,734","1,635","1,180","3,716","4,343","10,418","7,755","1,369","1,146","3,751","4,297","9,889",0,2,2,"1,617","1,352",0,
BRN,1970,108,28,63,625,135,689,"1,535",405,476,"5,245",835,"6,517",0,3,3,27,389,,
BRN,1971,122,28,66,686,144,757,"1,731",410,497,"5,758",891,"7,168",0,3,3,27,392,,
BRN,1972,157,39,89,868,193,959,"1,942",493,585,"6,333","1,038","7,895",0,3,3,38,473,,
BRN,1973,195,58,127,"1,220",263,"1,337","1,897",576,657,"7,001","1,111","8,651",0,2,2,57,560,,
BRN,1974,567,91,239,"2,959",570,"3,286","2,501",411,561,"7,706","1,092","9,650",0,2,2,84,379,,
BRN,1975,601,176,384,"3,133",815,"3,480","2,513",756,853,"7,734","1,480","9,684",0,2,2,172,732,,
BRN,1976,410,227,450,"4,136",807,"4,416","1,621",921,948,"9,665","1,387","11,636",0,2,2,229,924,,
BRN,1977,398,215,526,"5,024",855,"5,309","1,453",807,"1,022","10,831","1,355","12,906",0,2,2,214,795,,
BRN,1978,237,238,604,"5,269",803,"5,546",883,913,"1,200","11,614","1,302","13,784",0,2,2,244,927,,
BRN,1979,295,353,813,"7,280","1,083","7,658",976,"1,199","1,433","14,240","1,558","16,891",0,2,2,353,"1,191",,
BRN,1980,"1,100",402,924,"12,375","1,546","13,255","1,004","1,287","1,483","13,564","1,611","15,709",0,2,2,394,"1,279",0,
BRN,1981,508,794,"1,081","10,791","1,588","11,586","1,043","1,391","1,519","12,755","1,675","12,595",0,2,2,774,"1,382",0,
BRN,1982,634,"1,414","1,147","10,240","1,974","11,461","1,065","1,476","1,566","11,973","1,680","13,092",0,2,2,"1,416","1,467",0,
BRN,1983,965,"1,011","1,159","9,006","1,937","10,203","1,094","1,576","1,621","11,425","1,705","13,158",0,2,2,"1,014","1,566",0,
BRN,1984,"1,043",662,"1,544","8,558","1,672","10,134","1,124","1,705","1,690","10,979","1,785","13,237",0,2,2,659,"1,694",0,
BRN,1985,901,"1,162","1,531","5,969","1,614","9,737","1,160","1,838","1,757","10,641","1,904","13,040",0,2,2,"1,155","1,826",0,
BRN,1986,994,"1,311","1,323","3,583","1,797","5,876","1,257","2,054","1,718","9,404","2,043","11,544",0,2,2,"1,303","2,041",0,
BRN,1987,967,"1,293","1,385","3,601","1,479","6,528","1,193","1,997","1,827","8,750","1,736","11,579",0,2,2,"1,284","1,984",0,
BRN,1988,"1,034","1,485","1,604","3,118","1,576","5,935","1,253","2,199","1,931","9,107","1,875","11,537",0,2,2,"1,475","2,185",0,
BRN,1989,"1,091","1,789","1,550","3,301","1,932","6,452","1,298","2,545","2,090","9,066","2,334","11,792",0,2,2,"1,777","2,529",0,
BRN,1990,"1,189","1,971","1,539","3,617","2,241","7,070","1,360","2,701","2,138","9,182","2,753","11,921",0,2,2,"1,958","2,683",0,
BRN,1991,"1,207","2,181","1,581","3,911","2,421","7,085","1,337","2,928","2,133","9,987","3,147","12,296",0,2,2,"2,167","2,909",0,
BRN,1992,"1,482","2,620","1,741","3,617","3,077","7,553","1,636","3,457","2,264","10,590","3,908","12,881",0,2,2,"2,603","3,435",0,
BRN,1993,"1,799","3,252","1,877","3,332","3,237","7,351","1,918","4,209","2,360","10,295","4,042","12,920",0,2,2,"3,231","4,181",0,
BRN,1994,"1,705","2,958","1,847","2,925","2,848","6,918","1,769","3,786","2,421","10,588","3,745","13,326",0,2,2,"2,939","3,761",0,
BRN,1995,"1,730","4,067","1,966","3,675","3,531","7,435","1,685","4,107","2,477","12,369","4,340","13,923",0,1,1,"4,041","4,080",0,
BRN,1996,"1,962","4,926","1,992","3,965","4,123","7,992","1,876","7,648","2,517","11,943","5,258","14,324",0,1,1,"4,895","7,598",0,
BRN,1997,"2,133","4,528","2,127","4,047","4,255","8,550","2,119","4,741","2,558","11,337","4,382","14,113",0,1,1,"4,499","4,710",0,
BRN,1998,"1,921","3,789","2,218","3,138","3,668","7,510","1,911","4,128","2,459","10,209","3,793","14,034",0,2,2,"3,765","4,101",0,
BRN,1999,"1,892","2,756","2,443","3,991","3,557","8,638","1,857","3,307","2,508","11,634","3,655","14,462",0,2,2,"2,738","3,285",0,
BRN,2000,"1,807","2,233","2,925","6,391","3,493","11,464","1,727","2,360","2,702","13,017","3,428","14,875",0,2,2,"2,203","2,327",0,
BRN,2001,"1,860","2,394","3,230","6,399","3,707","11,120","1,800","2,517","2,952","13,187","3,537","15,283",0,2,2,"2,413","2,537",0,
BRN,2002,"1,885","3,677","3,113","6,441","4,105","11,594","1,813","3,669","2,894","13,949","4,009","15,875",0,2,2,"3,643","3,633",0,
BRN,2003,"2,196","2,843","3,011","7,260","3,873","12,659","2,099","2,904","2,819","14,265","3,685","16,336",0,2,2,"2,812","2,871",0,
BRN,2004,"2,487","2,967","3,213","8,396","3,987","14,743","2,357","2,986","2,936","14,162","3,823","16,418",0,2,2,"2,936","2,955",0,
BRN,2005,"2,507","2,981","3,198","10,209","4,081","17,578","2,343","3,000","2,905","13,984","3,932","16,482",0,2,2,"2,959","2,978",0,
BRN,2006,"2,540","3,145","3,605","11,989","4,332","20,195","2,431","3,042","3,278","14,497","4,093","17,207",0,2,2,"3,133","3,028",0,
BRN,2007,"2,618","3,962","4,572","11,487","4,854","20,452","2,479","3,850","3,795","13,100","4,634","17,233",0,2,2,"3,940","3,827",0,
BRN,2008,"2,538","4,609","3,828","14,648","5,310","22,602","2,523","4,357","3,766","12,286","5,143","16,899",0,1,1,"4,581","4,334",0,
BRN,2009,"2,676","4,531","3,982","10,422","5,266","17,298","2,649","4,343","3,964","11,638","5,101","16,601",0,1,1,"4,500","4,315",0,
BRN,2010,"2,750","4,428","4,140","12,598","5,226","18,690","2,696","4,190","4,102","10,730","5,087","17,032",0,1,1,"4,398","4,161",0,
BRN,2011,"2,977","6,064","4,364","16,197","6,998","23,303","2,842","5,740","4,317","10,409","6,802","17,670",0,1,1,"6,039","5,715",0,
BRN,2012,"3,276","7,827","4,389","16,700","8,445","23,802","3,089","7,394","4,337","10,535","8,203","17,831",0,1,1,"7,799","7,367",0,
BRN,2013,"3,455","8,963","4,565","15,404","9,711","22,639","3,275","8,277","4,494","9,937","9,395","17,452",0,1,1,"8,933","8,247",0,
BRN,2014,"3,360","5,945","4,640","14,770","7,418","21,664","3,153","5,699","4,577","9,927","7,247","17,015",0,1,1,"5,909","5,664",0,
BRN,2015,"3,517","6,266","4,455","9,282","6,699","17,778","3,317","6,072","4,413","8,939","6,600","16,948",0,1,1,"6,227","6,033",0,
BRN,2016,"3,331","5,452","4,130","7,807","5,944","15,748","3,275","5,398","4,128","8,770","5,887","16,528",0,1,1,"5,412","5,359",0,
BRN,2017,"3,429","5,829","4,434","8,302","5,963","16,748","3,429","5,829","4,434","8,302","5,963","16,748",0,1,1,"5,793","5,793",0,
BRN,2018,"3,575","7,515","4,418","9,504","7,680","18,301","3,504","7,465","4,505","8,776","7,637","16,756",0,1,1,"7,483","7,432",0,
BRN,2019,"3,758","7,107","4,601","10,648","9,291","18,375","3,712","7,138","4,586","10,082","8,688","17,405",0,1,1,"7,076","7,105",0,
BTN,1970,339,150,99,67,200,463,"7,390","3,122","1,932","1,090","3,266","7,200",0,8,8,154,"3,184",,
BTN,1971,363,161,106,71,214,497,"7,584","3,204","1,985","1,118","3,351","7,392",0,7,7,165,"3,268",,
BTN,1972,389,172,114,77,229,532,"7,671","3,240","2,008","1,132","3,391","7,478",0,8,8,177,"3,305",,
BTN,1973,447,198,130,88,263,610,"7,797","3,295","2,033","1,148","3,447","7,588",0,8,8,203,"3,359",,
BTN,1974,550,243,162,108,323,752,"8,174","3,453","2,148","1,206","3,608","7,979",0,8,8,250,"3,523",,
BTN,1975,531,235,155,105,313,727,"7,912","3,340","2,070","1,170","3,503","7,716",0,8,8,241,"3,407",,
BTN,1976,582,257,168,114,344,792,"8,683","3,674","2,238","1,271","3,841","8,406",0,9,9,264,"3,741",,
BTN,1977,621,275,187,122,362,855,"9,206","3,885","2,476","1,366","4,040","9,071",0,9,9,283,"3,972",,
BTN,1978,565,249,163,112,336,770,"9,994","4,209","2,582","1,490","4,467","9,717",0,8,8,255,"4,294",,
BTN,1979,636,282,177,122,378,856,"10,748","4,578","2,650","1,524","4,740","10,183",0,8,8,287,"4,634",,
BTN,1980,711,316,240,143,395,"1,011","10,272","4,300","3,132","1,591","4,396","10,693",0,8,8,329,"4,456",0,
BTN,1981,943,410,240,192,598,"1,253","12,742","5,338","2,907","1,925","5,989","11,917",0,9,9,418,"5,412",0,
BTN,1982,"1,116",502,274,189,660,"1,439","13,852","6,077","2,971","1,690","5,885","12,188",0,9,9,500,"6,026",0,
BTN,1983,"1,269",646,335,198,751,"1,725","14,367","7,536","3,367","1,593","6,045","13,176",0,10,10,649,"7,513",0,
BTN,1984,"1,336",724,445,244,852,"1,907","13,805","7,467","4,128","1,887","6,587","13,998",0,11,11,702,"7,207",0,
BTN,1985,"1,405",925,496,314,"1,069","2,130","13,341","8,756","4,301","2,295","7,828","14,802",0,12,12,917,"8,624",0,
BTN,1986,"1,879","1,050",463,440,"1,307","2,570","16,189","9,414","3,713","3,045","9,054","16,904",0,13,13,"1,022","9,124",0,
BTN,1987,"2,208","1,214",452,759,"1,227","3,179","17,790","9,765","3,696","5,580","9,026","22,205",0,13,13,"1,174","9,383",0,
BTN,1988,"2,372","1,518",489,"1,089","1,905","3,683","17,046","9,825","3,571","7,335","12,833","23,553",1,14,14,"1,446","9,250",0,
BTN,1989,"2,591","1,551",677,"1,233","1,669","4,125","17,889","9,422","4,711","7,979","10,802","25,341",1,16,16,"1,430","8,632",0,
BTN,1990,"2,595","1,737",839,"1,383","1,580","4,789","16,394","9,488","5,187","8,581","9,804","28,223",1,18,18,"1,524","8,205",0,
BTN,1991,"3,160","1,744",761,"1,795","2,240","5,302","19,104","8,252","4,306","10,138","12,649","28,431",1,23,23,"1,849","8,792",0,
BTN,1992,"3,618","2,598",918,"2,041","3,568","6,083","18,876","11,068","4,768","10,417","18,206","29,475",1,26,26,"2,647","11,316",0,
BTN,1993,"3,722","3,184","1,157","2,223","3,105","6,735","18,728","12,746","5,574","10,452","14,599","30,068",1,30,30,"3,308","13,308",0,
BTN,1994,"3,479","4,429","1,240","2,463","3,288","8,143","13,949","15,735","5,169","10,140","13,539","31,835",1,31,31,"3,944","14,055",0,
BTN,1995,"3,904","4,560","1,740","3,644","4,113","9,376","14,917","15,042","6,673","13,915","15,706","33,993",1,32,32,"4,338","14,251",0,
BTN,1996,"4,681","4,863","2,290","3,906","5,026","10,830","16,292","14,495","7,972","13,739","17,681","36,171",1,35,35,"4,895","14,592",0,
BTN,1997,"7,034","4,510","2,861","4,684","6,016","12,939","21,287","12,691","8,856","14,600","18,752","38,295",1,36,36,"5,196","14,845",0,
BTN,1998,"8,487","5,583","2,983","5,054","7,545","14,869","23,646","14,560","8,495","14,550","21,723","40,643",1,41,41,"6,004","15,746",0,
BTN,1999,"10,191","7,161","3,213","5,511","8,981","17,300","26,851","18,416","8,493","14,720","23,987","43,871",1,43,43,"7,970","20,501",0,
BTN,2000,"9,416","9,512","4,331","5,798","9,530","19,736","23,711","23,626","10,769","14,760","24,261","47,704",1,45,45,"9,866","24,505",0,
BTN,2001,"10,281","13,567","4,841","5,909","10,734","22,479","25,133","30,812","11,640","14,547","26,424","51,617",1,47,47,"13,366","30,332",0,
BTN,2002,"11,415","15,630","5,390","6,232","12,878","26,106","26,955","34,987","12,648","14,971","30,937","57,155",1,49,49,"15,805","35,400",0,
BTN,2003,"12,995","17,077","5,920","7,397","14,727","28,974","29,845","35,571","13,605","17,406","34,655","61,541",1,47,47,"17,183","35,818",0,
BTN,2004,"13,807","20,075","6,650","9,881","19,797","31,846","30,523","40,541","14,593","22,231","44,540","65,171",1,45,45,"20,163","40,727",0,
BTN,2005,"14,586","18,796","7,912","13,813","23,274","36,112","30,919","35,585","14,997","29,867","50,324","69,813",1,44,44,"18,801","35,561",0,
BTN,2006,"15,554","18,927","8,644","22,134","24,070","40,674","31,321","34,928","17,086","45,298","49,259","74,596",1,45,45,"18,872","34,861",0,
BTN,2007,"19,373","14,509","9,455","27,186","28,336","49,457","36,987","26,773","17,867","52,442","54,660","87,983",1,41,41,"15,922","29,437",0,
BTN,2008,"21,762","23,495","10,373","26,710","31,729","54,744","37,877","41,226","18,095","47,279","56,164","92,151",1,44,44,"22,880","40,124",0,
BTN,2009,"27,202","28,001","13,082","27,367","38,082","61,221","45,398","48,013","21,868","46,151","64,221","98,285",1,48,48,"28,270","48,472",0,
BTN,2010,"31,752","44,732","14,488","30,777","51,278","72,497","50,173","70,135","23,519","49,622","82,676","109,815",1,46,46,"44,360","69,550",0,
BTN,2011,"34,927","57,470","17,048","35,004","59,878","84,950","50,378","78,439","24,361","51,211","87,603","118,481",1,47,47,"57,785","78,907",0,
BTN,2012,"42,690","66,181","18,691","37,739","61,433","97,453","53,898","81,206","24,177","49,982","81,362","124,490",1,53,53,"66,253","81,306",0,
BTN,2013,"53,363","48,433","18,274","42,636","65,625","105,378","60,971","52,221","21,733","51,917","79,909","127,157",1,59,59,"48,979","52,847",0,
BTN,2014,"59,219","61,813","20,194","43,590","70,831","116,389","62,929","64,969","22,248","49,170","79,898","132,235",1,61,61,"64,002","67,373",0,
BTN,2015,"63,965","71,287","23,466","44,262","87,090","128,535","65,730","75,676","24,651","47,608","93,675","141,018",1,64,64,"71,636","76,052",0,
