# File: FAO_Paper_Prod_t_FORESTAT.csv
# Title: FAO paper and paperboard production by country and year
# Units: tonnes
# Source: FAOSTAT 
# Date of last update: 2022-06-29
# Column types: cicicicnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
countries,country.codes,item,item.codes,element,element.codes,unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Libya,124,Paper and paperboard,1876,Production,5510,tonnes,2300,2400,2700,2900,3000,3500,4400,4000,4200,4400,4700,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
Liechtenstein,125,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,126,Paper and paperboard,1876,Production,5510,tonnes,23596.52565,25123.96403,26397.97093,28219.93779,32053.60264,35655.06946,38881.18371,40887.4021,41364.12726,45898.49591,48275.27222,50850.68402,54042.55077,56159.0461,58789.2539,61070.13722,62083.86314,63261.97705,59789.28082,59816.67882,61330.4182,61494.80618,65453.81687,67364.82722,68707.32912,71200.54692,72371.81133,74529.40366,73529.37674,73412.93525,65686.69986,50000,30500,22900,28900,31000,25000,37300,37000,52630,68170,78000,92000,99000,113000,119000,124200,122700,85800,129229,156518,118000,136700,139520,142322,127377,134000,147886,159090,128400
"China, Macao SAR",128,Paper and paperboard,1876,Production,5510,tonnes,,,,,1600,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,129,Paper and paperboard,1876,Production,5510,tonnes,,,5920,,,3000,5000,4700,5500,5200,7200,5800,8400,10400,9417,4200,4200,4200,4200,4200,12535,10012,17987,15765,17747,18435,11602,10128,11204,13329,10221,8840,11425,13795,11926,9175,10280,12682,7304,10973,9623,9123,9839,9839,9839,9839,9839,9839,9839,9839,9839,9839,97971,66951,82792,32593,33409,33409,33409,33409
Malaysia,131,Paper and paperboard,1876,Production,5510,tonnes,,,,,,200,3000,3500,7000,7000,10000,12000,19000,19000,19000,18000,20000,38000,46000,81000,62000,68000,45000,50000,53000,73000,97000,120000,251000,275000,293000,636000,663000,574000,665000,674000,711000,761000,859000,845000,910000,910000,1.00E+06,963000,971000,1086000,1092000,1122000,1577000,1615000,1911000,2219000,2063000,1750000,1750000,1750000,1750000,1750000,1750000,1750000
Malta,134,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,136,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
Mauritius,137,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,138,Paper and paperboard,1876,Production,5510,tonnes,389200,429000,470500,529100,591000,634000,685000,738000,818000,897000,908000,981000,1113000,1254000,1184000,1346000,1445000,1596000,1684000,1979000,937200,1924000,2019000,2239000,2376000,2469000,2573000,3375000,3294000,2873000,2896000,2825000,2447000,2518000,3047000,3047000,3491000,3673000,3783999,3865000,4056000,3987000,4149000,4689000,4841100,4876000,4582000,4451000,4556000,4704000,4701000,4795000,4835000,4855000,5316000,5675000,5755000,5956000,5805000,5935082
Morocco,143,Paper and paperboard,1876,Production,5510,tonnes,39100,42300,43100,39500,40500,42700,52800,54000,60000,59000,56000,54000,39100,47000,53500,46000,74000,73000,82000,96300,96400,96600,95800,101000,107000,109000,105000,103000,102000,119000,117000,102000,99000,103000,106000,106000,107000,110000,109000,109000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,156000,156000,156000,156000,156000,156000,156000,156000
Mozambique,144,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,800,900,1000,1200,1500,1500,1500,1500,1500,1500,1500,1500,1500,3000,2000,1800,1800,1400,2000,2000,2000,2000,2000,1000,2000,2000,1000,1000,1000,1000,0,0,0,0,0,0,0,2000,1000,1000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Republic of Moldova,146,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,84200,97500,97500,97500,97500,97500,4414,6579,8088,9000,7000,7000,6832,7586,7586
Nepal,149,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,400,500,600,600,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,400,2000,2000,2000,2000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
Netherlands,150,Paper and paperboard,1876,Production,5510,tonnes,1050000,1041000,1119000,1232000,1307000,1357000,1334000,1505000,1608000,1596000,1498000,1571000,1694000,1788000,1319000,1603000,1625000,1682000,1711000,1701000,1590000,1671000,1746000,1885000,1956000,2088000,2168000,2460000,2572000,2770000,2862000,2835000,2855000,3011000,2967000,2987000,3159000,3180000,3256000,3332000,3174000,3346000,3339000,3459000,3471000,3367000,3224000,2977000,2609000,2859000,2748000,2761000,2792000,2767000,2643000,2671000,2983010,2980010,2895000,2868999
The former Yugoslav Republic of Macedonia,154,Paper and paperboard,1876,Production,5510,tonnes,4963.922544,5607.961921,6661.645392,8346.224578,9781.07421,10488.64128,11608.04305,12652.96408,13211.56967,12808.4974,12252.08243,13399.96214,14061.5264,11719.76417,15347.41454,16626.73085,20153.61315,19825.02164,21511.79143,24030.99308,25213.92254,25082.48594,26396.85201,28215.05842,28762.71095,28499.83773,29748.4855,30252.32583,28521.74383,19584.05452,15005.67936,,22400,24200,34400,21000,21000,14672,13602,16535,15480,19014,18120,16180,20364,20238,20238,23003,20100,32800,39000,24000,24000,25000,30000,31000,33000,24000,28000,28000
New Zealand,156,Paper and paperboard,1876,Production,5510,tonnes,191900,226100,300800,316100,354700,360000,377400,395800,446000,461900,468800,453400,533900,547000,555000,635000,641000,641000,631000,673000,724000,723000,671000,694000,770000,671000,644000,7.00E+05,735000,757000,815000,738000,836000,864000,903000,865000,890000,844000,817000,877000,839000,873585,810130,916913,951181,881399,864451,873047,884639,888822,808677,847189,730520,733022,722929,676095,732570,738059,722000,662526
Nigeria,159,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,12000,11000,10000,9000,16000,40000,59000,48000,53000,45000,43000,29000,21000,5000,3000,5500,1188,1000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
Norway,162,Paper and paperboard,1876,Production,5510,tonnes,821000,806000,895000,970000,998000,1065000,1120000,1246000,1374000,1417000,1369000,1327000,1403000,1445000,1147000,1257000,1186000,1240000,1400000,1373000,1373000,1305000,1368000,1562000,1604000,1573000,1590000,1670000,1789000,1819000,1784000,1683000,1958000,2148000,2261000,2096000,2129000,2260200,2241000,2300000,2220000,2114000,2186000,2294000,2223000,2109000,2010000,1900000,1577000,1695000,1496000,1209000,1079000,1023000,979000,1099000,1097000,1134000,1155000,933000
Pakistan,165,Paper and paperboard,1876,Production,5510,tonnes,19000,17000,24500,30000,36000,36000,35000,35000,34900,25300,30400,31500,47000,52000,56000,33000,34000,60000,60000,63000,68000,74000,76000,73000,82000,80000,96000,147000,151000,229000,206000,229000,362000,403000,420000,447000,5.00E+05,527000,574000,704000,655000,718000,718000,848000,872000,872000,891000,1079000,1079000,892000,920000,920000,920000,920000,920000,920000,920000,723000,606000,606000
Panama,166,Paper and paperboard,1876,Production,5510,tonnes,500,500,500,800,1000,1100,1200,1400,3000,15000,15000,15000,15000,12000,9000,20000,20000,20000,20000,20000,43000,43000,43000,43000,24000,26000,26000,20000,20000,28000,28000,28000,28000,28000,28000,28000,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,167,Paper and paperboard,1876,Production,5510,tonnes,421284.0611,437489.8592,439824.0277,452561.9184,467834.0492,486774.1589,518452.1594,534391.1954,549196.4925,564802.0759,578073.4908,599014.3164,615353.4956,629958.7211,694248.3894,743599.3796,760272.0115,763606.5378,371199.4751,790282.7487,800953.2331,818959.6755,820960.3913,824961.823,838966.8337,836966.1179,848303.5075,844302.0759,870311.3815,866976.8552,724926.032,458830.828,643000,7.00E+05,738000,714000,772000,768000,770000,804000,864000,870000,950000,934000,969000,1042000,1023000,932000,804786,769000,775200,781000,610900,686100,740320,794596,908414,843411,882124,829000
Paraguay,169,Paper and paperboard,1876,Production,5510,tonnes,400,400,500,900,1100,1100,400,400,400,400,400,400,400,400,1000,1000,1000,8000,12000,13000,13000,13000,13000,13000,7800,7800,9700,11400,11400,12000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,67000,67000,67000,67000
Peru,170,Paper and paperboard,1876,Production,5510,tonnes,55700,53200,61900,67100,80400,85600,90500,100100,109800,123800,142000,155000,147000,165000,142000,152000,149000,159000,207000,205400,272000,272000,146000,138000,150000,149000,209000,260000,311000,263000,279000,126000,70000,90000,132000,128000,119000,79000,85000,98000,100900,102800,105800,105800,147357,173000,188000,188000,173000,190000,215000,345679,368729,376942,399936,391472,485481,496106,578339,555703
Philippines,171,Paper and paperboard,1876,Production,5510,tonnes,89000,96000,79000,89000,90000,86000,95000,104000,108000,86000,182000,287000,340000,270000,217000,281000,305000,341000,350000,323000,290000,242000,280000,290000,268000,218000,358000,314000,239000,245000,473000,570000,518000,518000,613000,613000,613000,987000,1010000,1107000,1056000,1056000,1091000,1097000,1097000,1097000,1097000,1097000,1097000,1097000,950200,815000,803000,803000,803000,911000,944000,995000,1014000,755000
Poland,173,Paper and paperboard,1876,Production,5510,tonnes,689200,721200,756200,799900,815600,837400,853600,866500,887800,961400,1038700,1106400,1156000,1212000,1323000,1324000,1361000,1326000,1247000,1277000,1125000,1182000,1231000,1257000,1292000,1327000,1380000,1448000,1406000,1064000,1066000,1147000,1183000,1326000,1352000,1360000,1486000,1718000,1839000,1934000,2086007,2342000,2461000,2634700,2731900,2857100,2992000,3055400,3274957,3699800,3755600,3821802,4105513,4278384,4399344,4693902,4779031,4856027,4879733,4901000
Portugal,174,Paper and paperboard,1876,Production,5510,tonnes,118000,119400,117300,131300,152400,156800,153900,168200,215200,219400,238000,228100,254000,310000,357000,333000,449300,438100,493300,463000,485000,527000,592000,671000,706000,590000,628000,681000,740000,780000,877000,959000,878000,949000,977000,1026000,1080000,1136000,1163000,1290000,1419000,1537000,1530000,1664000,1570000,1644000,1643760,1661618,1633805,1456470,2180100,2120123,2129035,2187000,2220200,2097400,2095200,2060100,2024500,1899600
Qatar,179,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
Zimbabwe,181,Paper and paperboard,1876,Production,5510,tonnes,9000,6300,8300,12400,18600,19000,20000,24000,28600,33900,35200,37400,38000,38000,38000,38000,38000,50000,53000,57000,62000,67000,65000,64000,76000,75000,81000,82000,82000,86000,86000,86000,73000,81000,81000,81000,81000,76000,80000,85000,88000,88000,125000,127000,127000,109000,109000,109000,10886,0,0,0,0,0,0,0,0,0,0,0
Romania,183,Paper and paperboard,1876,Production,5510,tonnes,199300,100300,108100,109000,122000,135000,411300,485000,513000,525000,549000,563000,590000,628000,649000,649000,753000,794000,819000,822000,834000,802000,802000,806000,801000,811000,816000,819000,739000,547000,359000,359000,359000,288000,364000,332000,324000,301100,288900,339600,395000,370000,443000,454000,371000,432000,558000,421563,342000,364000,385500,402000,355000,423759,389954,425588,492008,586728,560798,499693
Russian Federation,185,Paper and paperboard,1876,Production,5510,tonnes,3158509.998,3362965.072,3533497.107,3777376.253,4290530.984,4772604.876,5204435.996,5472978.109,5536790.096,6143737.445,6461880.542,6806611.967,7233858.893,7517162.112,7869228.248,8174535.601,8310227.758,8467924.048,8003086.727,8006754.083,8209375.479,8231379.612,8761312.495,9017110.547,9196810.97,9530540.329,9687319.78,9976124.032,9842265.553,9826679.292,8792485.017,5765000,4459000,3412000,4073000,3224000,3339000,3595000,4535000,5310000,5624800,5978000,6377000,6830000,7126000,7434000,7581000,7700000,7373000,5606000,7600120,7670145,7746653,8023000,8068091,8546947,8716989,9048000,9149990,9526987
Saudi Arabia,194,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,70000,70000,214000,279000,279000,279000,279000,279000,1150000,1186000,1186000,1186000,1186000,1186000,1186000,1186000,1186000,1186000,1186000,1186000
Senegal,195,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,150,113,97,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
Seychelles,196,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,198,Paper and paperboard,1876,Production,5510,tonnes,105590.5993,119290.3505,141703.889,177537.592,208059.1465,223110.2337,246921.706,269148.8533,281031.2906,272457.2966,260621.4572,285038.7008,299111.2343,249298.1934,326464.1389,353677.2501,428699.6971,421710.0281,457590.3289,511177.791,536340.5993,533544.7317,561503.4076,600179.5759,611829.0242,606237.2891,632798.0312,643515.5236,606703.267,416584.2709,319194.8832,413000,401000,460000,449000,456000,430000,491000,417000,411000,633000,703990,416828,497140,763000,760000,794000,762999,732000,750000,690585,703506,694065,716190,721351,729999,747010,731020,719010,706010
Slovakia,199,Paper and paperboard,1876,Production,5510,tonnes,210415.9389,218510.1408,219675.9723,226038.0816,233665.9508,243125.8411,258947.8406,266908.8046,274303.5075,282097.9241,288726.5092,299185.6836,307346.5044,314641.2789,346751.6106,371400.6204,379727.9885,381393.4622,185400.5249,394717.2513,400046.7669,409040.3245,410039.6087,412038.177,419033.1663,418033.8821,423696.4925,421697.9241,434688.6185,433023.1448,362073.968,229169.172,303000,299000,327000,467000,525500,597400,803000,925000,988000,710000,674000,798000,858000,888000,915000,921445,920977,780356,748361,736000,723000,793000,812214,858900,832392,839264,805849,762737
Singapore,200,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,1700,1800,5000,5000,5500,5500,5500,5500,5500,5500,5500,43000,50000,50000,10000,10000,10000,10000,10000,10000,10000,80000,85000,85000,96000,97000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000
South Africa,202,Paper and paperboard,1876,Production,5510,tonnes,199000,226000,284000,296000,384000,445000,475000,553000,580000,610000,625000,744000,850000,912000,834000,904000,979000,1023000,1120000,1197000,1290000,1350000,1520000,1422000,1489000,1611000,1600000,1800000,1899000,1904000,1904000,1800000,1710000,1684000,1871000,1871000,2047000,2105000,2041000,2426000,2577000,2623000,2646000,2881000,2444000,2611000,2726000,2726000,2245000,2516000,2176000,2422486,2318183,2257489,2248182,2352990,2180060,1801000,1801000,1801000
Spain,203,Paper and paperboard,1876,Production,5510,tonnes,210700,371000,513300,554700,657900,745400,916000,1133000,1123700,1280900,1505000,1679000,1854000,2049000,1853000,2063000,2160000,2175000,2534000,2566000,2589000,2685000,2754000,2952000,2913000,3152000,3251000,3408000,3446000,3446000,3576000,3448000,3348000,3503000,3684000,3768000,3968000,3544600,4435300,4765000,5131000,5365000,5437000,5526000,5697000,6898200,6713300,6414300,5700099,6193200,6202700,6176801,6685400,6035800,6195200,6218500,6217800,6157000,6436589,6296675
Sudan (former),206,Paper and paperboard,1876,Production,5510,tonnes,,900,4500,3500,3500,3500,3500,3500,1500,1500,1700,1700,1000,900,4900,6000,6600,6600,6600,9000,9000,9000,9000,9000,9000,9000,10000,10000,10000,4000,3000,3000,3000,3000,3000,3000,3000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,,2000,2000,4000,4000,4000,4000,4000,4000,4000
Tajikistan,208,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,209,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
Sweden,210,Paper and paperboard,1876,Production,5510,tonnes,2292000,2405000,2712000,2916000,3121000,3182000,3296000,3635000,4113000,4359000,4306000,4563000,5204000,5505000,4473000,5005000,5060000,5702000,6541000,6182000,6131000,5919000,6349000,6870000,7001000,7364000,7812000,8161000,8363000,8419000,8349000,8378000,8781000,9284000,9159000,9018000,9756000,9879000,10071000,10786000,10534000,10724000,11061600,11589000,11775000,12066000,11511100,11663000,10932000,11410000,11298000,11417000,10792000,10419000,10255000,10101999,10261010,10140999,9616000,9333000
Switzerland,211,Paper and paperboard,1876,Production,5510,tonnes,510000,540000,555000,570000,610000,630000,645000,650000,690000,731000,7.00E+05,7.00E+05,781000,825000,6.00E+05,703000,777000,815000,887000,914000,920000,887000,918000,986000,1014000,1087000,1147000,1216000,1259000,1295000,1259000,1305000,1332000,1450000,1435000,1461000,1583000,1592000,1748000,1616000,1749530,1804629,1818000,1777000,1751000,1525933,1704733,1698291,1524469,1558729,1375568,1248634,1214582,1258204,1279327,1233441,1242786,1093587,1168144,1168144
Syrian Arab Republic,212,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,900,900,900,,1400,1900,2000,2100,3100,3100,3100,3100,3100,3100,3100,3100,3100,5000,5000,10000,19000,19000,19000,1000,1000,1000,1000,1000,1000,1000,1000,1000,11000,15000,15000,62000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000
Turkmenistan,213,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"China, Taiwan Province of",214,Paper and paperboard,1876,Production,5510,tonnes,131100,142900,150000,187000,189800,213600,284400,338600,391000,410227,460602,671000,687000,636000,777000,862000,1014000,1217000,1375000,1479296,1529000,1556000,1801000,1954000,2085000,2597000,2820000,3055000,3154000,3336814,3391163,3976809,3905352,4198939,4243267,4337429,4506972,4223111,4349217,4494156,4210647,4081000,4239000,4392000,4225000,4214000,4285000,3705000,3612000,3665000,3746000,3889000,3870000,3870000,3870000,3870000,3870000,3870000,3870000,3870000
United Republic of Tanzania,215,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,29000,28000,28000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
Thailand,216,Paper and paperboard,1876,Production,5510,tonnes,5600,7800,9900,14300,20000,20200,25500,29700,45400,70800,111200,145700,171400,164200,180400,216100,252100,276600,331200,338000,349200,329000,3.00E+05,437000,466000,431000,466000,514000,524000,877000,958000,1150000,1306000,1664000,1970000,2036000,2271000,2367000,2434000,2312000,2445000,2444000,3260000,3273000,3292000,5145000,4324000,4108000,4180000,4362000,4396000,4386000,4525000,4525000,4829000,5084000,5172000,5118000,5033000,5621000
Trinidad and Tobago,220,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,10000,10000,10000,15000,15000,15000,15000,15000,15000
Oman,221,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
Tunisia,222,Paper and paperboard,1876,Production,5510,tonnes,5000,3700,4400,4400,4800,4800,4800,4800,4000,3900,12000,14000,21000,22000,15000,17000,21000,21000,21000,25000,24000,26000,30000,28000,48000,53000,59000,70000,82000,78000,72000,71000,80000,92000,90000,90000,97000,105000,108000,132000,138000,143000,118000,132000,131900,131600,131600,131600,131600,131600,131600,127000,123000,138000,148000,148000,148000,148000,148000,148000
Turkey,223,Paper and paperboard,1876,Production,5510,tonnes,63300,82100,94400,98600,97900,106200,126800,130700,145900,164800,212100,277700,345000,387000,414000,310000,340000,265000,443400,478000,512000,537000,391000,488000,644000,710000,813000,681000,751000,891000,747000,1012200,1032000,1102000,1240000,1105000,1246000,1357000,1349000,1567000,1513000,1643000,1643000,1643000,1866000,1720000,2039000,2050000,2156000,2348000,2659000,2784000,2850000,2900002,2920011,2950010,2930012,2799991,2799970,2799970
United Arab Emirates,225,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000,58000,58000,78000,81000,81000,81000,81000,81000,3.00E+05,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000
Uganda,226,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,500,1300,1500,1300,1300,1300,1200,1200,,,,,200,200,200,2000,2000,2000,2000,2000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,229,Paper and paperboard,1876,Production,5510,tonnes,4021300,3952300,4137200,4401300,4536400,4539900,4436200,4660100,4936500,4903200,4335900,4337800,4614000,4552000,3615000,4188000,4145000,4165000,4223000,3787000,3379000,3227000,3208000,3591000,3712000,3941000,4184000,4295000,4450000,4824000,4951000,5152000,5282000,5829000,6093000,6189000,6480000,6477000,6576000,6605000,6204000,6452000,6455000,6442000,6241000,5454000,5228000,4983270,4293001,4300001,4341998,4291998,4561001,4397000,3970001,3677001,3856990,3894725,3850989,3627990
Ukraine,230,Paper and paperboard,1876,Production,5510,tonnes,95916.39883,102125.2107,107303.861,114709.8877,130293.1703,144932.6021,158046.281,166201.263,168139.0806,186570.6208,196231.8662,206700.5355,219675.0034,228278.245,238969.652,248241.1065,252361.753,257150.6124,243034.614,243145.9829,249299.1103,249967.3233,266060.1182,273828.0936,279285.1659,289419.7288,294180.746,302951.0408,298886.0788,298412.7613,267006.7532,228790,145290,78500,85200,292890,264000,292900,310900,411000,479900,531600,618037,722999,768010,804000,937001,937001,813999,857001,986998,1123060,1079350,1079350,1079350,1079350,983000,1155000,1033000,1096652
United States of America,231,Paper and paperboard,1876,Production,5510,tonnes,30757696,32292700,33687004,35778200,37866504,40705196,40504596,44117196,46814008,45805008,46954008,50757000,52971000,52540008,45248008,51757008,53347000,55154000,57410008,56839000,57667008,54899000,58804000,62366000,60959008,64444008,67532008,69587000,69514016,71965000,72724008,75160016,77250008,80945000,85526000,84046000,88511000,86469000,88670000,86252263,81248828,81879072,80712166,82084368,83697335,84316937,83915965,80178382,71355455,75772845,76430822,74492000,71732298,73093000,72397000,71902239,72044539,70891067,68156810,66239000
Burkina Faso,233,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,944,944,944,944,944,944,944,944
Uruguay,234,Paper and paperboard,1876,Production,5510,tonnes,33000,27000,28000,36500,38100,34300,34000,32200,34500,40100,41800,36700,41300,29100,29000,34800,34800,36300,51100,50700,48000,39000,43000,45000,45000,64000,66000,59000,63000,61000,75000,83000,83000,83000,86000,86000,90000,87999,92000,89318,89318,89000,89000,1.00E+05,98000,98000,90000,90000,82000,96000,96000,140000,132000,119510,130327,108000,62102,59000,54000,49000
Uzbekistan,235,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500,8000,8500,11000,11000,11000,11000,1000,2000,2000,2000,31200,27400,27400,27400,28000,55183,62998,85187,76589,72581
Venezuela (Bolivarian Republic of),236,Paper and paperboard,1876,Production,5510,tonnes,98800,105600,103300,138500,151600,163400,177400,198800,223400,249600,252300,276000,334000,342300,394700,423000,463900,492300,511900,501200,503000,482000,487000,557000,551000,612000,654000,708000,524000,610000,651000,659000,607000,628000,736000,671000,708000,493100,571000,456000,426239,238109,302097,439464,404738,441330,476803,625800,593142,483493,556702,335805,335805,335805,335805,335805,335805,335805,335805,335805
Viet Nam,237,Paper and paperboard,1876,Production,5510,tonnes,6200,6200,12200,21100,20200,21900,12400,18600,29000,30000,49000,50000,50000,50000,50000,50000,53000,56000,47000,37000,37000,50000,48000,55000,60000,65000,59400,55600,55600,57000,108300,114700,129000,106000,125000,125000,125000,190000,356000,385930,756311,797098,779000,887500,908137,1298227,1333425,1377875,1383976,1601000,1600000,1737000,1742000,1742000,1742000,1742000,1742000,1742000,1742000,1742000
Ethiopia,238,Paper and paperboard,1876,Production,5510,tonnes,300,400,400,400,400,600,1000,1000,1000,4000,4000,4000,4000,7500,7500,7500,7500,7500,7500,7500,7500,7500,8800,9900,10000,10000,12000,10000,10000,8000,6000,3000,6700,7300,6300,7600,10000,6200,9500,11900,12300,11400,13700,16360,16360,16360,16360,16360,41400,78400,78400,78400,78400,78400,78400,78400,78400,78400,78400,78400
Yemen,249,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,0,0,0,0
Democratic Republic of the Congo,250,Paper and paperboard,1876,Production,5510,tonnes,600,600,700,700,800,800,800,1200,1300,1400,1400,1400,1500,1500,1500,1500,1500,1500,1500,1500,1500,2000,3000,2000,2000,3000,3000,2000,1000,1000,1000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
Zambia,251,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,7500,5000,3000,2000,5000,3000,2000,3500,1900,2000,2000,4000,2000,2000,2000,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,1000,1000,1000,1000
