# File: FAO_ag_items_PRODSTAT.csv
# Title: Mapping file of FAO primary Ag products to commodities in GCAM and other database
# Unit: Unitless
# Description: Maps FAO PRODSTAT crops to GCAM commodities and crop names in all other databases.
# item and item_code are both updated for primary (land-based) crops  (Pumpkins for Fodder has data issue so not mapped). 
# FAO only has price data for items with TRUE for price_item.
# Sources: FAO and other databases
# Date of last update: 2022-03-15 (XZ)
# Column types: cilcccciccccccccccc
# ----------
item,item_code,price_item,GTAP_crop,GCAM_commodity,GCAM_subsector,CROSIT_crop,CROSIT_cropID,IFA2002_crop,IFA_commodity,MIRCA_crop_name,MIRCA_crop,MIRCA_Crop24and26,MH_crop,MH2011_crop,MH2014_proxy,GTAP_use,Nfix,Suffix
"Tobacco, unmanufactured",826,TRUE,TbccLeaves,MiscCrop,MiscCrop,TOBA,31,Tobacco,Other,Others (annual),Crop26,Tobacco_unmanufactured,,,,ocr,,
Tomatoes,388,TRUE,Tomatoes,Vegetables,Vegetables,VEGE,16,Tomato,FruitsAndVeg,Others (annual),Crop26,Tomatoes,,Tomatoes,,v_f,,
Triticale,97,TRUE,Triticale,OtherGrain,OtherGrain,OTHC,7,Triticale,OtherCoarseGrains,Others (annual),Crop26,Triticale,,,,gro,,
Tung nuts,275,TRUE,TungNuts,OilCrop,OilCropTree,OILC,20,,Other,Others (perennial) ,Crop24,,,Oilcrops other,,osd,,
Turnips for Fodder,646,FALSE,Turnips4Fddr,FodderHerb,FodderHerb,,,,FruitsAndVeg,Others (annual),Crop25,,,Roots other,Carrots and turnips,ocr,,
Vanilla,692,TRUE,Vanilla,MiscCrop,MiscCrop,,,,Other,Others (perennial) ,Crop24,Vanilla,,,,ocr,,
Vegetables Roots Fodder,655,FALSE,Vgt_RootFddr,FodderHerb,FodderHerb,,,,Other,Others (annual),Crop25,,,Roots other,Carrots and turnips,ocr,,
"Vegetables, fresh nes",463,TRUE,VgtbFrshNES,Vegetables,Vegetables,VEGE,16,Radish,FruitsAndVeg,Others (annual),Crop26,Vegetablesfreshnes,,Vegetables other,,v_f,,
"Vegetables, leguminous nes",420,TRUE,,Vegetables,Vegetables,VEGE,16,,,Others (annual),Crop26,,,Vegetables other,,v_f,Nfix,
Vetches,205,TRUE,Vetches,Legumes,Legumes,PULS,15,,Other,Pulses,Crop17,,,Beans,,ocr,,
"Walnuts, with shell",222,TRUE,Walnuts,NutsSeeds,NutsSeedsTree,,,,Other,Others (perennial) ,Crop24,Walnuts_withshell,,Nuts,,v_f,,
Watermelons,567,TRUE,Watermelons,Vegetables,Vegetables,FRUI,,Watermelon,FruitsAndVeg,Others (annual),Crop26,Watermelons,,Fruits other,,v_f,,
Wheat,15,TRUE,Wheat,Wheat,Wheat,WHEA,1,Wheat,Wheat,Wheat,Crop1,,Wheat,Wheat,,wht,,
Yams,137,TRUE,Yams,RootTuber,RootTuber,SPOT,9,Yam,Other,Others (annual),Crop26,Yams,,Yams,,,,
Yautia (cocoyam),135,TRUE,YautiaCcYam,RootTuber,RootTuber,OTHR,11,,Other,Others (annual),Crop26,Yautia.cocoyam.,,,,,,
,,FALSE,BrdBeanGreen,Vegetables,Vegetables,PULS,15,,Other,Others (annual),,,,,,,,
