# File: FAO_For_Exp_m3_FORESTAT.csv
# Title: FAO forests export qunatity by country.year
# Units: Export Quantity in m3
# Source: FAOSTAT (domain:FO FAO.udpate:2021-03-01)
# Date of last update: 2021-04-15
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Greece,84,Roundwood,1861,Export Quantity (m3),5916,400,300,100,300,200,200,100,,,,,,,2700,100,300,100,2000,2000,100,350,700,300,400,500,1000,2600,2600,12400,49052,108792,186518,28657,6800,3900,3900,2000,223400,232000,9845,3702,16095,18989,16429,16026,27280,35790,25183,7536,11556,13501,30122,27689,21383,21383,21383,17683,31966,31966
Greenland,85,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,86,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Guadeloupe,87,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,485,,10,34,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
Guam,88,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Guatemala,89,Roundwood,1861,Export Quantity (m3),5916,3200,6700,3600,700,3200,3600,2300,200,2300,,,,7800,7100,7100,,,100,100,100,1100,100,100,200,2100,1900,1900,16800,12100,2416,4212,899,1261,0,0,0,0,0,0,0,0,1451,14797,11660,39285,21902,16703,4257,10732,10156,16546,10610,8233,20693,31204,18162,22898,23434,44380
Guinea,90,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,10200,13900,13900,13900,8000,8000,8000,8000,8000,12873,14855,21221,8543,27837,13200,30600,43000,33000,31700,31700,31700,31700,31700,22988,22988,22988,22988,15327,17656,149501,51004,9715,4193,9004,10084,134650,25719,745,47
Guinea-Bissau,175,Roundwood,1861,Export Quantity (m3),5916,18800,16300,18300,4100,4200,,,,,,,,,,,,,,,,,,,,,2286,4828,3676,3446,5850,11351,9025,5275,4501,15695,16495,8988,11389,2892,6547,6547,6547,25002,6961,6961,6961,6961,1663,1433,15004,14544,17302,0,134000,63278,553,243,10153,15344
Guyana,91,Roundwood,1861,Export Quantity (m3),5916,26900,18100,27200,18600,25700,13100,28500,29400,20700,19600,20100,32000,44900,26300,39600,30600,31800,23200,34100,24100,30000,26200,26200,10600,12400,19300,23300,5800,8400,1800,11200,11600,3200,25300,18600,22200,80200,61000,48000,54000,41000,48000,66095,71196,123196,200044,171044,103044,67044,116044,100944,101202,82157,142133,235795,124836,190309,123573,108267
Haiti,93,Roundwood,1861,Export Quantity (m3),5916,,,7100,4900,8600,4300,4300,4300,1200,1200,1200,1200,1200,,,,,,,,,,,,,,0,,,,59,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Holy See,94,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Honduras,95,Roundwood,1861,Export Quantity (m3),5916,52300,43500,36200,35800,30200,20600,15300,17900,20900,12000,9700,12000,14500,10600,15900,24100,24700,22200,19300,29600,20700,19000,3900,3800,1700,1700,15900,26200,80700,8633,4865,55223,71152,66800,67000,36100,35000,37000,40000,40000,20000,20074,20025,12526,14926,1335,4151,2027,2226,2707,1761,1602,2054,3766,5173,7599,10628,7969,16690
Hungary,97,Roundwood,1861,Export Quantity (m3),5916,13800,59300,114700,129100,122400,144100,290500,366400,464600,626300,382100,611400,792700,838500,769600,701000,876600,758900,839400,684100,727000,852400,829600,1076400,1174600,1323600,1427500,1458000,1451000,1110287,1044702,1400903,802400,609400,694800,803800,858900,1418900,1331900,1593400,1515000,1575000,1753000,1479000,1117000,1309000,1274000,827000,912050,1119116,1160421,1197822,1297610,1171620,947970,956413,822302,707734,707734
Iceland,99,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3239,,3646,,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,12,10,0,41,12,101,101,137,1000,0,0
India,100,Roundwood,1861,Export Quantity (m3),5916,28700,26100,21666,25900,21000,15700,16900,19667,27100,21700,27100,24600,43200,28700,36500,39600,36200,36200,30400,30400,5700,7300,7300,7300,1300,2017,8890,46338,21710,42860,36736,4003,2314,5757,6367,18200,16700,400,400,3100,2800,5700,11753,8743,11371,17818,9403,12165,10021,5435,13015,15727,5914,11251,11097,16904,18871,6352,6419
Indonesia,101,Roundwood,1861,Export Quantity (m3),5916,143900,122700,159500,167400,209400,333500,589500,1422900,3728000,7850000,10847900,13411700,18531300,16897308,14746300,20054904,20126700,20694100,19517400,16313800,6956900,3523700,3490200,2020500,197700,225400,208900,168600,67900,45682,135953,121835,42521,44871,30000,20200,45100,125100,264700,1608700,1469600,1827722,229520,140550,98504,63694,82013,70881,41564,55393,61096,69900,77282,68663,61681,72177,46088,40983,36491
Iran (Islamic Republic of),102,Roundwood,1861,Export Quantity (m3),5916,5900,4500,4500,6300,12000,12000,8000,9000,9800,7200,1400,2200,700,0,100,100,,,,,,,,,,,0,,,,30,,76,308,308,85,85,0,0,0,0,0,46,46,46,46,46,46,46,107,107,7107,121,18,47,124,155,1,5
Iraq,103,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,51,51,51,0,0,0,0,0
Ireland,104,Roundwood,1861,Export Quantity (m3),5916,10600,10200,6300,13600,6500,1400,,,2100,3200,4700,4100,1500,2900,16700,65100,107000,96600,94300,140400,281000,402000,194500,155300,176300,148668,153069,271846,262964,37840,277452,328608,188855,124200,304000,250000,260000,91000,176000,42000,51500,129005,341645,255260,337917,308890,308006,262150,285314,349980,311132,201880,357653,332771,306314,378371,33890,50848,50848
Israel,105,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,0,0,0,0,0,485,56,353,405,760,114,5,0,0,1026,2303,592,594,810,810,94,0,0,0,0,0
Italy,106,Roundwood,1861,Export Quantity (m3),5916,7500,9600,8700,13100,13200,19200,26600,21200,19600,25500,10900,6700,6200,20800,9500,4800,8400,19000,7600,4300,5100,6600,5200,6000,4000,9000,5000,10000,12000,35637,41609,41932,21855,9500,5000,7000,9000,16000,15000,24380,23000,16364,10884,17039,15113,16706,17449,33859,27087,47540,105860,177267,204718,192835,247714,205814,213918,115708,426474
Jamaica,109,Roundwood,1861,Export Quantity (m3),5916,100,200,100,,,,,,,,,,,,,,,,,,,,,,,,0,,,,66,44,5,0,4,3,60,0,81,1,0,0,0,0,0,4,0,0,9,19,0,19,1,42,151,85,3,20,167
Japan,110,Roundwood,1861,Export Quantity (m3),5916,23800,18300,15833,22200,27867,36800,31500,33400,27100,25000,22600,12900,10300,17600,19200,19000,24800,30400,36800,21200,31800,30000,44800,42700,38200,36300,28200,16500,13400,30127,34065,32748,7931,7000,4800,8700,5300,2000,2500,3800,3000,3700,7700,8700,23700,30394,19001,48001,37001,66330,101207,113600,264869,520803,692279,650532,971330,1137604,1131352
Jordan,112,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,13,,0,0,0,0,0,0,0,0,0,0,1792,1792,1792,1792,1968,1968,316,191,191,171,203,34,60,149,172,36
Kazakhstan,108,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7066,45851,500,660,5560,4600,4600,6450,559000,559000,3900,0,60,60,0,0,45,0,83,83,0,0,0,0,0,0,113982,111922
Kenya,114,Roundwood,1861,Export Quantity (m3),5916,7500,9100,6000,13200,25400,31600,29700,26200,14200,15200,11300,6000,1000,2000,3700,440,7000,7000,4600,3300,7000,6800,11100,6000,,0,0,,,746,,,151,156,162,0,67,0,0,0,0,442,1353,5438,5438,875,2062,1521,1521,666,3523,2004,28907,12141,1064,860,1630,15285,6318
Kiribati,83,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Kuwait,118,Roundwood,1861,Export Quantity (m3),5916,,,,,,2800,1700,4500,3600,5700,4700,3700,4100,4800,4800,4800,1700,1800,6000,3900,3900,3900,2500,2500,2500,2500,2500,2500,2500,2100,2100,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,139,583,890,639,639,316,87,772,335,130,0
Kyrgyzstan,113,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,229,7,7,550,507,0,0,0,0,0,166,348,291,300,300,596,159,159,159,18,0,0,0,45,200,482,482
Lao Peoples Democratic Republic,120,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,3200,2500,500,600,700,800,700,15000,16900,17800,9900,6800,5000,9900,14200,34000,3800,10000,25600,39400,23100,90920,49400,206100,329700,351700,120400,40400,68500,268000,154000,29000,54000,171000,135000,156000,172000,220002,127002,207189,429083,320040,303408,590071,1375122,659173,115009,123361,139358
Latvia,119,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478438,1219542,2654700,2752000,2094000,3132000,4251000,3751000,4353250,4095480,4468570,4461420,4525650,4265630,3823565,4139640,3663432,3548899,5486875,5264351,4384206,4030515,4045932,3177675,3087398,3012718,2971242,2971242
Lebanon,121,Roundwood,1861,Export Quantity (m3),5916,1100,2600,2700,2600,2800,10100,5400,3900,,,,300,300,300,300,300,,,,,,,,,,,0,,,,,56,0,0,0,600,0,0,0,0,0,0,0,550,550,550,550,550,550,6499,1268,965,203,230,442,27,77,13,0
Lesotho,122,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,1,2,2,26,15,65,103,0
Liberia,123,Roundwood,1861,Export Quantity (m3),5916,14100,3600,18000,16000,15000,23000,22000,41000,149000,144000,205000,222000,364000,259000,220000,513100,357000,311100,389000,474800,255400,230300,223000,183500,257700,370000,250500,681000,701000,634669,411000,616000,183000,20000,40000,50000,49000,81000,208000,850000,798000,1000000,483593,250000,210000,170000,140012,2130,4780,9178,73386,190028,136106,132000,141710,106171,135700,184103,101834
Libya,124,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,24,23,0,0,0
Liechtenstein,125,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8000,8000,9000,8000,6000,5000,0,0,0,0,0,0,0,0
Lithuania,126,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285478,285447,889500,1769900,956600,767200,793200,939748,1202850,1324700,1436500,1453000,1219622,1173919,1143515,1718247,1234112,776253,1441955,1989937,1593343,2044876,1943188,1620910,1638408,1731255,2245847,2109848
Luxembourg,256,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228350,267770,210343,283620,319928,350056,371979,301597,384416,231402,102164,172567,419710,383863,412320,412320,413154,805228,361482,361482
Madagascar,129,Roundwood,1861,Export Quantity (m3),5916,400,400,1200,5300,200,900,500,2200,3400,6900,7000,3000,1500,3600,550,1200,1200,1200,400,400,400,300,300,500,400,1400,2200,451,254,514,23603,1916,441,300,2500,1500,1400,128700,152000,46100,45200,13600,13600,43406,43406,9280,9323,10484,10428,4103,1229,15982,1987,3830,948,413,288,351,721
Malawi,130,Roundwood,1861,Export Quantity (m3),5916,,,,,600,,100,700,500,500,700,400,200,200,300,400,400,100,200,,,,,,,,0,,,224,,1062,,216,399,399,399,399,279,279,279,279,327,231,231,132,4707,11009,3979,6796,5776,5776,971,3979,2143,196,120,0,996
Malaysia,131,Roundwood,1861,Export Quantity (m3),5916,2850000,3220000,3978000,5221000,6132000,8258000,9159500,10741600,11284600,11512200,11284000,11709200,12977000,12221300,10843600,15558800,16194700,16730500,16508900,15194500,15925100,19355904,18861296,16066000,19837408,19098308,22861600,20579408,21113008,18084860,19511237,17872031,9468638,8632196,7964400,7071800,6680200,5687300,6939800,6845300,5125000,5195272,5583724,5303497,5887069,4885909,4914300,4378657,4284086,4522415,3315778,3010681,3106329,3211488,3002934,2782583,2586311,1661181,1378071
Maldives,132,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,0,0,351,0
Mali,133,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,1983,2102,2800,2800,2800,2800,7695,1266,1266,1256,739,526,783,905,1891,892,3667,14102,10441,19145,42410,49006,120152
Malta,134,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,470,,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,35,35,0,0,0
Marshall Islands,127,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Martinique,135,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,136,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,,,411,411,411,411,411,411,411,411,411,411,439,314,314,314,314,314,314,314,314,314,314,314,0,0,0,36,36
Mauritius,137,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2524,,0,0,0,0,299,1,0,0,0,0,536,536,536,536,477,391,386,530,411,369,94,329,175,57,22,47
Mexico,138,Roundwood,1861,Export Quantity (m3),5916,16600,13600,700,2700,1300,,,800,1800,,,,,,1400,22000,100,600,2100,1400,1600,2700,1000,4700,2800,2800,2800,2800,2800,16987,8623,9901,6249,8249,23400,12600,7100,5900,11500,17500,15000,31905,16356,15903,15885,21022,22296,36335,15106,20126,27253,57777,57177,134672,55976,40145,41421,56898,55632
Micronesia (Federated States of),145,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Mongolia,141,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,10000,40100,21200,47000,63600,110000,106600,64500,,,,,,,,,,,0,,,,5995,6232,12485,26056,6056,4456,2212,2212,3052,702,702,702,702,702,702,702,702,1242,1242,1242,530,446,446,503,27,27,0,0,0
Montenegro,273,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73920,73920,40048,21080,21080,70401,47389,84190,103990,103990,160541,6589,929,929
Montserrat,142,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Morocco,143,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335,1012,1274,443,100,200,200,100,100,300,0,0,67,457,632,632,191,3175,3107,3107,3107,5071,4056,4056,2222,243,596,1624,508,1270
Mozambique,144,Roundwood,1861,Export Quantity (m3),5916,2500,1400,900,2300,2700,1500,1800,2500,3200,2100,3900,5000,6600,3000,8200,8200,8100,7200,10200,11400,8200,4800,700,2200,1300,2300,3400,6200,1000,4499,3272,5105,900,1419,1419,7400,52400,41400,36919,74279,65548,64841,71644,89628,99472,133513,226245,168537,125411,238495,238350,330610,353749,715008,1050547,1020730,1019582,702199,846000
Myanmar,28,Roundwood,1861,Export Quantity (m3),5916,73400,97500,140000,135000,122000,100800,52400,71900,80900,57900,113200,111300,171700,85900,66200,57000,61900,76700,143600,209300,230800,205000,262400,268200,259300,255900,418400,473200,603100,1416680,1342242,1342990,1167276,871100,825000,495100,448300,673300,1002000,1115500,1011200,1166869,1354682,1497267,2945663,2081885,1826471,1572758,1365756,1864492,2283973,2137901,2751784,2362318,590536,564346,39239,26504,36035
Namibia,147,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,964,483,771,4565,6961,11923,13099,17381,31232,24265,24292,22735,27513,29595,31422,31826,30320,11519,5980
Nauru,148,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Nepal,149,Roundwood,1861,Export Quantity (m3),5916,91200,51200,91500,184200,177000,177300,171600,171600,91600,90100,126200,126200,126200,270000,162000,72000,124000,147000,124000,126000,126000,126000,126000,126000,13400,8200,1500,1100,3900,931,490,846,,0,0,0,0,0,4,4,4,0,156,147,410,1311,13108,572,36,13,49,591,57,764,19,38,1,29,5
Netherlands,150,Roundwood,1861,Export Quantity (m3),5916,232000,211800,251700,276400,288400,260200,257700,324500,435500,467000,292300,260600,668600,725700,587300,446400,401400,322600,326300,379300,395400,337900,271300,338800,513800,408200,421800,395700,463300,164577,581312,571079,455000,395000,291000,290600,327000,333500,291000,242000,430500,384500,517000,605300,487400,600200,705500,530000,440200,509100,430464,471100,494800,528100,580400,445800,891000,885771,838563
Netherlands Antilles (former),151,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,24,24,24,24,24,24,24,24,3,3,3,,,,,,,,,
New Caledonia,153,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,51,3403,3403,722,721,720,712,694,704,704,704,686,648,859,105,81,0
New Zealand,156,Roundwood,1861,Export Quantity (m3),5916,261300,268700,274300,356900,443300,537300,795900,1441000,1671500,1820900,1829500,1872600,1954300,1450000,559000,986000,1073000,977700,1288900,1010000,562900,519700,527600,471100,381100,397100,432200,823600,1761100,1682987,3604873,4276171,4459021,4960300,5388000,5640000,5952000,4304000,5804000,5909000,7283700,7880300,7518000,5240000,5143000,5570700,5979700,6644100,8770103,10745670,12626539,13758897,16602660,16568876,16398203,15951313,18785202,21503654,22665806
Nicaragua,157,Roundwood,1861,Export Quantity (m3),5916,23900,18700,6200,12300,10500,17600,200,1000,2700,2100,1300,1300,7300,7300,2900,2900,2900,4900,3500,4800,4800,,,,100,,0,,,44,31,231,583,725,2300,5500,5500,4251,2435,10210,10210,4620,44195,29097,29097,7069,1553,267,1261,5791,12494,59689,40716,10057,42548,20162,13971,7810,10381
Niger,158,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,0,0,0,0,527,527,527,800,395,3596,3596,3596,3596,405,134,20,152,152,152,152,152,62,62,224,47,0
Nigeria,159,Roundwood,1861,Export Quantity (m3),5916,732800,584900,673100,781200,589100,560300,332700,313400,352500,219300,210200,192000,332800,261900,94600,26900,9600,9600,9600,9600,25700,101300,50400,59800,59800,59800,16400,7169,1801,7678,19875,4193,999,3210,11292,11239,11642,11213,8360,8360,4860,3060,3179,41060,39315,33480,70928,66389,60231,109978,106296,108300,127747,578314,1342927,968681,584322,607758,603575
Niue,160,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island,161,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,58,0,0,0
The former Yugoslav Republic of Macedonia,154,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8891,3891,2000,2000,4600,2900,2900,1184,9285,7426,12782,13828,36063,10407,20000,4872,779,1347,2130,17349,10291,10621,4861,1118,560,481,481
Northern Mariana Islands,163,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Norway,162,Roundwood,1861,Export Quantity (m3),5916,164400,133600,101800,245800,213900,187000,195800,88800,279200,163000,152100,132700,168900,165700,158200,192400,323300,228000,663200,739900,654900,551400,445300,457100,490900,547300,696800,702200,1054500,625693,707560,724121,683515,435600,436000,384000,467000,494000,583000,514400,476000,552000,399437,349302,524789,745898,952041,899307,872726,883857,962839,1627999,2646989,3305284,4018608,3559205,3569256,3550377,3664753
Oman,221,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,311,5300,5300,5300,200,200,200,0,0,1300,1300,1300,1358,1358,1358,1358,1358,1358,514,142,1245,968,1127,839,405,198,342,185
Pacific Islands Trust Territory,164,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,165,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,351,1319,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,211,408,583,1450,105,263,100,0,1416
Palau,180,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,104,0,66,94
Palestine,299,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21984,15490,7597,8077,566,532
Panama,166,Roundwood,1861,Export Quantity (m3),5916,1200,2000,1100,1900,1800,2800,2800,1400,,,,,,600,,,500,500,,,,,20000,19000,400,200,200,200,500,1347,4420,218,1800,1900,4400,4400,4400,300,1300,4000,7000,36396,39643,79510,29580,36862,55955,55964,26590,43775,84374,102259,135173,208036,145271,137927,136157,155068,138128
Papua New Guinea,168,Roundwood,1861,Export Quantity (m3),5916,3400,4800,35400,46400,35300,63700,113600,143600,102300,193300,429700,409100,424700,655200,381800,444700,402400,445100,445100,641900,749000,1063300,1019000,1300000,1158300,1314000,1442000,1361000,906000,1015844,1303364,1823990,1837810,3075042,2813707,2419200,3011100,1622100,1987500,1997500,1560200,1857750,2066970,2018431,2014493,2282835,2835171,2576659,2095806,2784254,3321366,3147275,3300014,3810185,3648970,3122153,3188708,3755681,3752924
Paraguay,169,Roundwood,1861,Export Quantity (m3),5916,216700,218100,174300,238800,311600,318600,229100,189800,174500,166900,114900,21400,1100,2300,3000,100,1600,200,200,100,100,,,,,,0,,,6184,2155,2070,857,1501,1501,7900,2400,1700,1700,0,0,14169,8200,13296,13296,13296,13296,15280,13374,16131,8938,13433,16375,13698,17603,12298,16355,18769,17331
Peru,170,Roundwood,1861,Export Quantity (m3),5916,100,100,,,,,,300,1100,1200,100,,,,,,300,,,,,,,,,,0,,,114,78,1182,2196,4000,200,5700,5700,0,0,0,0,0,72,96,808,643,548,1877,579,710,1896,1782,2906,10350,6657,3416,6877,8831,9943
Philippines,171,Roundwood,1861,Export Quantity (m3),5916,4581500,4794200,6521700,6140200,6700000,6800000,7266000,8861700,9638500,9914000,8750600,6968100,7794000,4727900,4608700,2347800,2060800,2214800,1253600,1168600,1687000,1650400,1140400,1473400,878200,542600,409000,333900,204700,27913,3852,4762,3200,6700,4500,0,0,0,0,100,5400,1426,9,1762,46,283,79,2666,4412,16087,13842,6262,8756,20265,9006,2565,5005,8850,7433
Poland,173,Roundwood,1861,Export Quantity (m3),5916,382100,295000,475200,512800,832900,552800,416000,348700,433000,483000,303000,399000,819000,1093000,1147000,1177000,927000,947000,1144000,1283500,1281700,859300,1335900,2151100,2224000,1512000,1221600,1114000,740000,407615,892474,972244,593093,1206800,386200,232200,318200,362600,390800,347200,310000,723300,1008500,1027800,603800,490000,387472,435934,1089252,1733535,1904247,2002918,3072894,2911920,2663782,2735189,2963978,5571373,4324216
Portugal,174,Roundwood,1861,Export Quantity (m3),5916,196000,149700,162800,215400,130500,90000,84800,64500,62000,239200,120900,96000,234000,239100,87000,172100,248200,510200,1003700,725700,304900,312000,178900,336100,625100,497500,598100,447000,534000,373310,452183,652487,579248,644000,799100,483200,646000,585400,557000,570103,812000,822000,1019000,1011000,1279000,1430000,1535000,1346908,616779,1002960,1132572,1007529,1265063,1042955,323837,324340,523409,514177,478762
Qatar,179,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546,546,3058,390,2115,2115,2115,2440,2476,2373,2373,254,108,0,0,0
Reunion,182,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465
Republic of Korea,117,Roundwood,1861,Export Quantity (m3),5916,,,,,800,,,,,,,,,,,,,,,,,,,,,,0,,,12739,1841,6431,5656,3356,2200,2100,0,0,0,0,0,2387,307,873,425,216,221,957,1452,950,462,519,906,656,1316,1159,6903,1753,1060
Republic of Moldova,146,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12824,,1000,200,200,200,800,900,300,300,300,300,300,300,370,2548,2548,2548,2548,134,150,56,56,56,2997,0,22,22
Romania,183,Roundwood,1861,Export Quantity (m3),5916,1107000,1104000,1368200,1453300,1227400,923400,845100,801600,648500,829800,673300,425500,490400,526800,389200,219800,209500,179700,204200,180000,190000,169000,186000,162000,112000,92000,92000,2000,2000,3810,2805,2160,1469,0,0,0,0,161000,603400,535100,112000,94600,211000,186000,159000,190090,179000,257050,224715,429273,831848,586526,774626,529730,315770,158092,186959,154637,161498
Russian Federation,185,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10154305,14338957,11188000,18460000,15985000,18753000,20947000,28280000,32049000,32893000,37770000,37804000,41842000,48300000,51100000,49300000,37058606,22289355,21175826,20699843,17862687,19193917,21052777,19596352,20120982,19513659,19371865,16031865
Rwanda,184,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,145,3750,3750,3750,3750,0,0,0,143,143,143,143,143,143,143,143,112,130,104,58,20,20,706,20,20,0,0,0
