# File: A44.dens_state_flsp_usa.csv
# Title: Population density per GCAM-USA state and period
# Units: pop/km2
# Column types: cin
# ----------
region,year,tot_dens
OK,2003,20
OR,2003,14
PA,2003,107
RI,2003,400
SC,2003,53
SD,2003,4
TN,2003,55
TX,2003,33
UT,2003,11
VT,2003,26
VA,2003,72
WA,2003,35
WV,2003,29
WI,2003,39
WY,2003,2
AL,2004,35
AK,2004,0
AZ,2004,19
AR,2004,20
CA,2004,88
CO,2004,17
CT,2004,279
DE,2004,165
DC,2004,3593
FL,2004,125
GA,2004,59
HI,2004,77
ID,2004,7
IL,2004,88
IN,2004,67
IA,2004,20
KS,2004,13
KY,2004,41
LA,2004,41
ME,2004,16
MD,2004,221
MA,2004,317
MI,2004,69
MN,2004,25
MS,2004,24
MO,2004,32
MT,2004,2
NE,2004,9
NV,2004,8
NH,2004,56
NJ,2004,453
NM,2004,6
NY,2004,157
NC,2004,68
ND,2004,4
OH,2004,108
OK,2004,20
OR,2004,14
PA,2004,107
RI,2004,401
SC,2004,54
SD,2004,4
TN,2004,55
TX,2004,33
UT,2004,11
VT,2004,26
VA,2004,73
WA,2004,36
WV,2004,29
WI,2004,39
WY,2004,2
AL,2005,35
AK,2005,0
AZ,2005,20
AR,2005,21
CA,2005,89
CO,2005,17
CT,2005,280
DE,2005,167
DC,2005,3589
FL,2005,128
GA,2005,60
HI,2005,78
ID,2005,7
IL,2005,88
IN,2005,68
IA,2005,20
KS,2005,13
KY,2005,41
LA,2005,41
ME,2005,17
MD,2005,222
MA,2005,317
MI,2005,69
MN,2005,25
MS,2005,24
MO,2005,33
MT,2005,2
NE,2005,9
NV,2005,9
NH,2005,56
NJ,2005,454
NM,2005,6
NY,2005,157
NC,2005,69
ND,2005,4
OH,2005,108
OK,2005,20
OR,2005,15
PA,2005,107
RI,2005,399
SC,2005,55
SD,2005,4
TN,2005,56
TX,2005,34
UT,2005,12
VT,2005,26
VA,2005,74
WA,2005,36
WV,2005,29
WI,2005,40
WY,2005,2
AL,2006,35
AK,2006,0
AZ,2006,20
AR,2006,21
CA,2006,89
CO,2006,18
CT,2006,280
DE,2006,170
DC,2006,3612
FL,2006,131
GA,2006,61
HI,2006,79
ID,2006,7
IL,2006,88
IN,2006,68
IA,2006,21
KS,2006,13
KY,2006,41
LA,2006,38
ME,2006,17
MD,2006,224
MA,2006,317
MI,2006,69
MN,2006,25
MS,2006,24
MO,2006,33
MT,2006,3
NE,2006,9
NV,2006,9
NH,2006,56
NJ,2006,455
NM,2006,6
NY,2006,157
NC,2006,71
ND,2006,4
OH,2006,108
OK,2006,20
OR,2006,15
PA,2006,108
RI,2006,397
SC,2006,56
SD,2006,4
TN,2006,57
TX,2006,35
UT,2006,12
VT,2006,26
VA,2006,75
WA,2006,37
WV,2006,29
WI,2006,40
WY,2006,2
AL,2007,36
AK,2007,0
AZ,2007,21
AR,2007,21
CA,2007,90
CO,2007,18
CT,2007,281
DE,2007,173
DC,2007,3635
FL,2007,132
GA,2007,63
HI,2007,79
ID,2007,7
IL,2007,88
IN,2007,69
IA,2007,21
KS,2007,13
KY,2007,42
LA,2007,39
ME,2007,17
MD,2007,225
MA,2007,318
MI,2007,68
MN,2007,25
MS,2007,24
MO,2007,33
MT,2007,3
NE,2007,9
NV,2007,9
NH,2007,57
NJ,2007,456
NM,2007,6
NY,2007,157
NC,2007,72
ND,2007,4
OH,2007,109
OK,2007,20
OR,2007,15
PA,2007,108
RI,2007,395
SC,2007,57
SD,2007,4
TN,2007,58
TX,2007,35
UT,2007,12
VT,2007,26
VA,2007,76
WA,2007,38
WV,2007,29
WI,2007,40
WY,2007,2
AL,2008,36
AK,2008,0
AZ,2008,21
AR,2008,21
CA,2008,91
CO,2008,18
CT,2008,283
DE,2008,175
DC,2008,3672
FL,2008,133
GA,2008,64
HI,2008,80
ID,2008,7
IL,2008,89
IN,2008,69
IA,2008,21
KS,2008,13
KY,2008,42
LA,2008,40
ME,2008,17
MD,2008,226
MA,2008,320
MI,2008,68
MN,2008,25
MS,2008,24
MO,2008,33
MT,2008,3
NE,2008,9
NV,2008,9
NH,2008,57
NJ,2008,457
NM,2008,6
NY,2008,157
NC,2008,74
ND,2008,4
OH,2008,109
OK,2008,21
OR,2008,15
PA,2008,109
RI,2008,394
SC,2008,58
SD,2008,4
TN,2008,58
TX,2008,36
UT,2008,13
VT,2008,26
VA,2008,77
WA,2008,38
WV,2008,30
WI,2008,40
WY,2008,2
AL,2009,36
AK,2009,0
AZ,2009,22
AR,2009,21
CA,2009,92
CO,2009,19
CT,2009,284
DE,2009,177
DC,2009,3748
FL,2009,134
GA,2009,65
HI,2009,81
ID,2009,7
IL,2009,89
IN,2009,70
IA,2009,21
KS,2009,13
KY,2009,42
LA,2009,40
ME,2009,17
MD,2009,228
MA,2009,323
MI,2009,68
MN,2009,26
MS,2009,24
MO,2009,33
MT,2009,3
NE,2009,9
NV,2009,9
NH,2009,57
NJ,2009,460
NM,2009,6
NY,2009,158
NC,2009,75
ND,2009,4
OH,2009,109
OK,2009,21
OR,2009,15
PA,2009,109
RI,2009,393
SC,2009,59
SD,2009,4
TN,2009,59
TX,2009,37
UT,2009,13
VT,2009,26
VA,2009,77
WA,2009,39
WV,2009,30
WI,2009,40
WY,2009,2
AL,2010,36
AK,2010,0
AZ,2010,22
AR,2010,22
CA,2010,93
CO,2010,19
CT,2010,285
DE,2010,178
DC,2010,3830
FL,2010,136
GA,2010,65
HI,2010,82
ID,2010,7
IL,2010,89
IN,2010,70
IA,2010,21
KS,2010,13
KY,2010,43
LA,2010,41
ME,2010,17
MD,2010,230
MA,2010,325
MI,2010,67
MN,2010,26
MS,2010,24
MO,2010,34
MT,2010,3
NE,2010,9
NV,2010,10
NH,2010,57
NJ,2010,462
NM,2010,7
NY,2010,159
NC,2010,76
ND,2010,4
OH,2010,109
OK,2010,21
OR,2010,15
PA,2010,110
RI,2010,394
SC,2010,60
SD,2010,4
TN,2010,60
TX,2010,37
UT,2010,13
VT,2010,26
VA,2010,78
WA,2010,39
WV,2010,30
WI,2010,41
WY,2010,2
AL,2011,37
AK,2011,0
AZ,2011,22
AR,2011,22
CA,2011,93
CO,2011,19
CT,2011,286
DE,2011,180
DC,2011,3922
FL,2011,137
GA,2011,66
HI,2011,83
ID,2011,7
IL,2011,89
IN,2011,70
IA,2011,21
KS,2011,14
KY,2011,43
LA,2011,41
ME,2011,17
MD,2011,232
MA,2011,327
MI,2011,67
MN,2011,26
MS,2011,25
MO,2011,34
MT,2011,3
NE,2011,9
NV,2011,10
NH,2011,57
NJ,2011,463
NM,2011,7
NY,2011,160
NC,2011,77
ND,2011,4
OH,2011,109
OK,2011,21
OR,2011,16
PA,2011,110
RI,2011,393
SC,2011,60
SD,2011,4
TN,2011,60
TX,2011,38
UT,2011,13
VT,2011,26
VA,2011,79
WA,2011,40
WV,2011,30
WI,2011,41
WY,2011,2
AL,2012,37
AK,2012,0
AZ,2012,22
AR,2012,22
CA,2012,94
CO,2012,19
CT,2012,287
DE,2012,181
DC,2012,4017
FL,2012,139
GA,2012,66
HI,2012,84
ID,2012,7
IL,2012,90
IN,2012,70
IA,2012,21
KS,2012,14
KY,2012,43
LA,2012,41
ME,2012,17
MD,2012,234
MA,2012,330
MI,2012,68
MN,2012,26
MS,2012,25
MO,2012,34
MT,2012,3
NE,2012,9
NV,2012,10
NH,2012,57
NJ,2012,464
NM,2012,7
NY,2012,160
NC,2012,77
ND,2012,4
OH,2012,109
OK,2012,21
OR,2012,16
PA,2012,110
RI,2012,394
SC,2012,61
SD,2012,4
TN,2012,60
TX,2012,39
UT,2012,13
VT,2012,26
VA,2012,80
WA,2012,40
WV,2012,30
WI,2012,41
WY,2012,2
AL,2013,37
AK,2013,0
AZ,2013,23
AR,2013,22
CA,2013,95
CO,2013,20
CT,2013,287
DE,2013,183
DC,2013,4117
FL,2013,141
GA,2013,67
HI,2013,85
ID,2013,8
IL,2013,90
IN,2013,71
IA,2013,21
KS,2013,14
KY,2013,43
LA,2013,41
ME,2013,17
MD,2013,236
MA,2013,332
MI,2013,68
MN,2013,26
MS,2013,25
MO,2013,34
MT,2013,3
NE,2013,9
NV,2013,10
NH,2013,57
NJ,2013,465
NM,2013,7
NY,2013,161
NC,2013,78
ND,2013,4
OH,2013,109
OK,2013,22
OR,2013,16
PA,2013,110
RI,2013,394
SC,2013,61
SD,2013,4
TN,2013,61
TX,2013,39
UT,2013,14
VT,2013,26
VA,2013,81
WA,2013,40
WV,2013,30
WI,2013,41
WY,2013,2
AL,2014,37
AK,2014,0
AZ,2014,23
AR,2014,22
CA,2014,96
CO,2014,20
CT,2014,287
DE,2014,185
DC,2014,4193
FL,2014,143
GA,2014,68
HI,2014,85
ID,2014,8
IL,2014,90
IN,2014,71
IA,2014,21
KS,2014,14
KY,2014,43
LA,2014,42
ME,2014,17
MD,2014,237
MA,2014,335
MI,2014,68
MN,2014,26
MS,2014,25
MO,2014,34
MT,2014,3
NE,2014,9
NV,2014,10
NH,2014,57
NJ,2014,466
NM,2014,7
NY,2014,161
NC,2014,79
ND,2014,4
OH,2014,110
OK,2014,22
OR,2014,16
PA,2014,110
RI,2014,394
SC,2014,62
SD,2014,4
TN,2014,61
TX,2014,40
UT,2014,14
VT,2014,26
VA,2014,81
WA,2014,41
WV,2014,30
WI,2014,41
WY,2014,2
AL,2015,37
AK,2015,0
AZ,2015,23
AR,2015,22
CA,2015,97
CO,2015,20
CT,2015,286
DE,2015,187
DC,2015,4274
FL,2015,146
GA,2015,68
HI,2015,86
ID,2015,8
IL,2015,89
IN,2015,71
IA,2015,22
KS,2015,14
KY,2015,43
LA,2015,42
ME,2015,17
MD,2015,238
MA,2015,336
MI,2015,68
MN,2015,27
MS,2015,25
MO,2015,34
MT,2015,3
NE,2015,10
NV,2015,10
NH,2015,58
NJ,2015,466
NM,2015,7
NY,2015,161
NC,2015,80
ND,2015,4
OH,2015,110
OK,2015,22
OR,2015,16
PA,2015,110
RI,2015,394
SC,2015,63
SD,2015,4
TN,2015,62
TX,2015,41
UT,2015,14
VT,2015,26
VA,2015,82
WA,2015,42
WV,2015,30
WI,2015,41
WY,2015,2
AL,2016,37
AK,2016,1
AZ,2016,24
AR,2016,22
CA,2016,97
CO,2016,21
CT,2016,285
DE,2016,188
DC,2016,4345
FL,2016,149
GA,2016,69
HI,2016,86
ID,2016,8
IL,2016,89
IN,2016,71
IA,2016,22
KS,2016,14
KY,2016,43
LA,2016,42
ME,2016,17
MD,2016,239
MA,2016,338
MI,2016,68
MN,2016,27
MS,2016,25
MO,2016,34
MT,2016,3
NE,2016,10
NV,2016,10
NH,2016,58
NJ,2016,466
NM,2016,7
NY,2016,161
NC,2016,81
ND,2016,4
OH,2016,110
OK,2016,22
OR,2016,16
PA,2016,110
RI,2016,395
SC,2016,64
SD,2016,4
TN,2016,62
TX,2016,41
UT,2016,14
VT,2016,26
VA,2016,82
WA,2016,42
WV,2016,29
WI,2016,41
WY,2016,2
AL,2017,37
AK,2017,1
AZ,2017,24
AR,2017,22
CA,2017,98
CO,2017,21
CT,2017,285
DE,2017,190
DC,2017,4403
FL,2017,151
GA,2017,70
HI,2017,86
ID,2017,8
IL,2017,89
IN,2017,72
IA,2017,22
KS,2017,14
KY,2017,44
LA,2017,42
ME,2017,17
MD,2017,240
MA,2017,340
MI,2017,68
MN,2017,27
MS,2017,25
MO,2017,34
MT,2017,3
NE,2017,10
NV,2017,10
NH,2017,58
NJ,2017,467
NM,2017,7
NY,2017,161
NC,2017,82
ND,2017,4
OH,2017,110
OK,2017,22
OR,2017,17
PA,2017,110
RI,2017,395
SC,2017,64
SD,2017,4
TN,2017,63
TX,2017,42
UT,2017,15
VT,2017,26
VA,2017,83
WA,2017,43
WV,2017,29
WI,2017,41
WY,2017,2
AL,2018,37
AK,2018,0
AZ,2018,24
AR,2018,22
CA,2018,98
CO,2018,21
CT,2018,285
DE,2018,192
DC,2018,4446
FL,2018,153
GA,2018,71
HI,2018,85
ID,2018,8
IL,2018,89
IN,2018,72
IA,2018,22
KS,2018,14
KY,2018,44
LA,2018,42
ME,2018,17
MD,2018,240
MA,2018,342
MI,2018,68
MN,2018,27
MS,2018,25
MO,2018,34
MT,2018,3
NE,2018,10
NV,2018,11
NH,2018,59
NJ,2018,468
NM,2018,7
NY,2018,160
NC,2018,82
ND,2018,4
OH,2018,110
OK,2018,22
OR,2018,17
PA,2018,111
RI,2018,395
SC,2018,65
SD,2018,4
TN,2018,63
TX,2018,42
UT,2018,15
VT,2018,26
VA,2018,83
WA,2018,44
WV,2018,29
WI,2018,41
WY,2018,2
