# File: CBECS_1989.csv
# Title: Commercial Buildings Energy Consumption Survey 1989
# Units: BLDGID4: building identifier;SQFT4: square footage;YRCONC4: year constructed;PBA4: principal building activity;ADJWT4: adjusted sampling weight
# Source: https://www.eia.gov/consumption/commercial/data/previous/
# Column types: iiiiiin 
# ----------
BLDGID4,REGION4,CENDIV4,SQFT4,YRCONC4,PBA4,ADJWT4
785,2,3,1500000,3,17,10.74
786,4,9,3000,6,14,497.58
787,3,7,500000,5,15,12.27
788,1,1,70000,6,3,1.94
789,3,5,80000,8,2,470.24
790,2,4,5001,4,12,1991.37
791,3,7,6000,6,3,1895.05
792,3,7,35000,4,13,320.86
793,4,9,10000,4,2,657.7
794,4,9,90000,6,3,288.37
795,3,6,350000,5,12,1.8
796,2,3,80000,9,3,248.34
797,2,3,600000,6,2,21.48
798,2,3,50001,3,20,487.36
799,1,1,250000,6,4,306.28
800,3,6,2500,5,3,2650.99
801,2,4,2500,6,2,1636.1
802,3,5,3500,8,12,1595.2
803,1,2,3000,4,17,1958.18
804,2,3,12500,3,3,1904.68
805,2,3,10000,5,2,652.96
806,1,2,1001,2,3,597.34
807,3,5,1500,4,1,1595.2
808,3,7,10001,6,2,597.74
809,3,7,400000,7,19,10.39
810,2,3,3500,5,1,1508.84
811,2,3,600000,3,2,5
812,4,8,300000,8,2,256.39
813,3,7,120000,6,1,156.48
814,2,3,3500,5,3,1636.49
815,3,7,5001,3,13,1932.25
816,4,9,120000,9,1,165.55
817,4,9,10001,8,3,10.27
818,3,5,9000,6,4,1595.2
819,3,7,15000,4,2,496.13
820,3,5,15000,7,12,2124.65
821,4,8,3000,5,3,2004.53
822,2,4,10001,6,12,584.61
823,3,7,2000,1,1,2155.25
824,3,5,3000,8,12,1790.57
825,4,8,7000,2,3,2112.93
826,3,7,60000,6,2,10.39
827,1,1,5000,1,3,1468.67
828,1,2,1500,4,12,1638.2
829,1,2,35000,4,13,306.28
830,1,2,3500,3,2,157.78
831,1,2,35000,6,4,18.73
832,2,3,3500,6,17,412.5
833,4,9,40000,5,12,502.74
834,2,3,800000,6,15,10.04
835,3,7,500001,7,2,10.39
836,1,2,25000,3,1,10.28
837,3,5,6000,6,2,1597.65
838,2,3,800000,8,19,21.48
839,4,8,40000,6,2,163.32
840,1,2,300000,3,20,10.28
841,2,3,5001,3,2,306.28
842,3,5,4000,4,15,1472.34
843,1,2,900000,3,17,109.25
844,1,1,1001,4,3,1638.2
845,4,9,100001,3,2,497.58
846,2,3,1500,5,1,1508.84
847,1,2,15000,4,1,635.87
848,2,3,350000,6,13,5.03
849,4,9,20000,8,14,20.41
850,1,1,50000,5,13,317.29
851,2,3,3000,6,14,509.17
852,3,6,4500,5,2,496.13
853,3,7,100001,7,13,42.18
854,1,2,5000,4,4,1638.2
855,4,8,60000,9,2,5.09
856,3,7,1001,6,12,1895.05
857,2,3,180000,6,19,2.27
858,3,5,6000,7,14,1472.34
859,2,4,8000,5,2,324.11
860,3,6,60000,5,12,1.69
861,3,7,100000,8,13,11.02
862,2,4,3500,6,3,2392.14
863,4,8,3000,6,2,1509.24
864,1,1,22500,2,1,327.35
865,4,9,30000,6,2,163.32
866,4,8,6000,5,13,1382.22
867,2,3,1500000,6,3,6.25
868,2,3,700000,5,15,10.04
869,1,2,6000,5,12,490.89
870,1,2,7000,3,4,1638.2
871,4,9,2500,4,17,1509.24
872,2,3,120000,5,12,157.88
873,2,3,250000,3,12,10.74
874,1,1,45000,6,1,20.83
875,4,8,10000,7,12,502.74
876,1,1,600000,3,2,10
877,1,2,4000,2,2,2718.69
878,3,5,22500,5,2,24.38
879,2,4,120000,8,12,306.28
880,2,3,500001,6,3,6.25
881,3,5,3000,9,3,239.78
882,2,3,7000,6,3,474.3
883,3,5,3500,8,12,1564.82
884,2,3,1500,2,3,1508.84
885,2,3,5000,6,3,1904.68
886,2,4,30000,6,4,324.11
887,2,3,180000,6,3,157.88
888,1,2,350000,5,13,10.05
889,4,8,160000,6,13,3.51
890,1,1,5000,6,11,490.89
891,4,9,60000,6,13,1.1
892,4,9,50001,7,2,492.68
893,1,2,50001,3,13,421.74
894,4,9,8000,5,13,1382.22
895,1,1,8000,8,3,597.34
896,3,5,15000,6,17,321.32
897,3,7,10000,2,3,2650.99
898,2,4,800000,9,19,10.09
899,2,4,350000,6,19,306.28
900,2,3,4000,6,3,610.82
901,2,3,15000,4,3,263.93
902,1,2,30000,3,17,1.07
903,4,9,80000,5,17,306.28
904,1,2,25000,3,13,1.04
905,2,3,70000,3,12,191.35
906,2,4,80000,2,3,389.8
907,1,1,60000,3,1,4.34
908,3,7,40000,3,13,321.32
909,2,3,35000,6,12,299.15
910,1,1,160000,7,2,74.03
911,3,5,3000,6,14,1472.34
912,4,9,45000,6,5,1509.24
913,2,4,3500,5,7,1893.87
914,4,8,45000,6,17,497.58
915,2,3,2500,5,3,652.96
916,3,5,4000,4,4,2124.65
917,3,5,450000,6,15,22.79
918,1,2,30000,6,1,23.86
919,4,8,3000,2,4,1654.84
920,1,2,2000,3,2,1627.29
921,1,2,40000,1,2,3.56
922,4,8,50001,9,20,165.55
923,3,6,6000,5,2,470.24
924,3,7,25001,4,12,235.54
925,4,9,4000,4,13,1382.22
926,1,1,12500,9,13,423.05
927,2,3,80000,6,12,157.88
928,3,5,5000,4,1,1595.2
929,3,5,9000,8,19,498.98
930,3,5,20000,6,12,652.28
931,4,9,120000,6,20,153.14
932,3,5,20000,4,12,156.48
933,1,2,3000,5,2,469.94
934,3,5,120000,7,2,10
935,4,9,6000,5,13,1.1
936,2,3,15000,3,1,21.19
937,3,6,15000,2,4,22.3
938,1,2,12500,1,4,1638.2
939,3,7,25000,7,3,1859.44
940,2,4,3500,9,14,1893.87
941,1,2,80000,7,13,96
942,2,3,70000,8,12,157.88
943,3,5,10000,7,2,470.24
944,2,3,50000,6,13,412.5
945,3,5,1500,3,14,1472.34
946,2,3,12500,4,13,324.11
947,3,5,140000,5,2,347.16
948,3,7,50001,6,13,320.86
949,2,3,100001,4,13,306.28
950,4,9,25001,4,4,230.93
951,2,4,10001,5,4,10.28
952,3,5,100001,9,5,248.34
953,3,7,7000,7,3,2170.72
954,3,5,4500,6,13,1377.41
955,4,9,15000,3,12,20.41
956,2,3,50000,6,12,487.36
957,4,8,25001,3,4,268.52
958,2,3,70000,5,3,487.36
959,1,2,600000,5,2,10.28
960,1,2,7000,6,3,476.91
961,4,9,2500,5,2,1.1
962,4,9,120000,9,1,165.55
963,1,2,300000,4,2,242.96
964,4,8,15000,5,14,1509.24
965,3,7,6000,6,4,1836.5
966,3,5,2000,3,1,1597.65
967,2,4,17500,6,4,584.61
968,3,7,20000,9,12,235.53
969,2,3,50001,5,2,10.74
970,2,4,120000,5,6,98.23
971,4,9,3000,7,13,1509.24
972,3,6,3500,6,3,652.28
973,2,3,2500,5,1,2015.74
974,1,2,10001,4,12,1638.2
975,4,8,180000,4,15,100.8
976,3,5,4000,6,3,208.64
977,3,5,40000,8,2,316.95
978,3,6,2500,7,5,1932.25
979,3,5,60000,8,2,347.16
980,2,3,3500,4,3,2082.26
981,2,3,2000,1,3,2392.14
982,3,5,10001,6,3,1895.05
983,3,5,1500,4,3,1595.2
984,2,3,45000,4,14,2.33
985,3,7,1500,6,13,1836.5
986,4,9,70000,5,12,163.32
987,2,4,140000,6,2,10.74
988,3,7,40000,6,12,235.53
989,3,7,300000,4,13,20.14
990,1,2,7000,2,4,1638.2
991,4,8,1500,9,3,2316.77
992,4,9,5000,6,12,502.74
993,1,2,200000,5,1,20.83
994,3,5,60000,5,5,314.04
995,3,5,120000,5,12,19.2
996,2,4,8000,3,3,406.92
997,3,7,15000,5,12,235.53
998,4,9,8000,6,12,323.85
999,2,3,25001,3,12,452.61
1000,3,7,10000,5,4,498.98
1001,1,2,10000,3,2,1627.29
1002,1,2,25001,4,12,157.78
1003,2,3,1500,1,1,1904.68
1004,4,8,2000,7,2,2429.36
1005,2,3,1500,3,5,263.93
1006,4,9,8000,8,12,163.32
1007,1,2,350000,3,2,20.83
1008,2,3,22500,5,4,263.93
1009,2,4,17500,1,2,652.96
1010,2,3,2000,1,7,1893.87
1011,3,5,100000,4,1,96
1012,3,5,22500,4,4,96
1013,2,4,100001,5,13,1
1014,3,6,7000,1,2,1597.65
1015,1,2,4000,4,12,1638.19
1016,1,2,3500,8,12,654.5
1017,3,7,2000,6,5,1472.34
1018,3,5,4000,9,12,1377.41
1019,2,3,600000,3,2,10.74
1020,3,5,15000,5,13,1.04
1021,4,9,60000,8,10,268.52
1022,4,9,4000,3,4,1654.84
1023,2,3,140000,4,12,5.78
1024,4,9,5000,3,4,268.52
1025,3,5,17500,5,17,156.48
1026,1,2,6000,4,6,490.89
1027,3,7,7000,5,3,1895.05
1028,4,9,100001,8,2,1735.25
1029,1,1,6000,1,3,1134.39
1030,4,9,3500,5,12,3465.2
1031,4,9,17500,3,4,163.32
1032,1,2,3000,6,3,1638.2
1033,4,9,4000,4,2,1735.25
1034,1,2,12500,5,20,490.89
1035,2,4,15000,3,4,1991.37
1036,3,5,2000,6,3,2170.72
1037,1,1,1500000,3,2,20.83
1038,4,8,1500,3,3,2806.34
1039,3,7,10000,3,3,1895.05
1040,2,3,25000,7,15,306.28
1041,4,9,60000,8,2,256.39
1042,3,5,50001,5,13,320.86
1043,3,5,25000,8,12,498.98
1044,2,3,300000,6,12,21.19
1045,1,1,2000,7,19,1638.2
1046,3,5,4000,6,2,2146.52
1047,3,5,6000,4,3,1595.2
1048,3,7,25000,6,3,316.94
1049,1,2,1500000,8,2,242.96
1050,1,1,30000,5,12,327.35
1051,2,4,400000,3,2,21.48
1052,3,7,1500,2,4,2170.72
1053,3,5,4500,5,3,1595.2
1054,3,5,1300000,5,2,5
1055,2,3,22500,6,4,7.45
1056,3,7,1001,6,12,2146.52
1057,2,4,17500,9,3,1904.68
1058,3,7,1500,6,3,1895.05
1059,4,9,3500,6,14,1509.24
1060,4,9,160000,9,1,10.09
1061,1,2,15000,5,4,1468.67
1062,1,2,1001,5,3,1638.2
1063,1,2,7000,5,3,2039.07
1064,3,7,3000,7,2,1597.65
1065,4,8,1500,5,1,1654.84
1066,2,3,20000,3,15,306.28
1067,3,5,25000,4,12,2155.25
1068,3,5,3000,5,3,1895.05
1069,3,6,5000,7,13,1932.25
1070,1,2,1001,3,1,1849.99
1071,4,9,80000,3,20,323.85
1072,3,5,1300000,5,1,19.13
1073,3,7,6000,8,13,3.9
1074,3,7,4000,8,2,1616.48
1075,4,9,8000,4,4,502.74
1076,4,9,5001,5,13,1.1
1077,1,2,25001,8,2,469.94
1078,3,6,6000,8,3,833.61
1079,3,6,80000,5,12,238.62
1080,2,3,3000,4,12,1636.49
1081,4,9,4000,5,7,1509.24
1082,1,1,120000,4,13,1.04
1083,4,8,7000,4,2,689.75
1084,3,5,35000,5,12,1595.2
1085,1,2,6000,3,3,2039.07
1086,2,3,1001,2,4,1636.49
1087,2,3,80000,8,2,8.88
1088,3,6,2000,5,12,2146.52
1089,2,3,100000,5,16,306.28
1090,3,5,5000,6,4,1472.34
1091,3,5,1001,5,3,1595.2
1092,1,2,25000,6,4,490.89
1093,3,5,9000,4,4,2170.72
1094,1,2,3500,3,3,2039.07
1095,1,2,4000,5,2,306.28
1096,3,5,35000,7,3,259.98
1097,2,3,1500,4,3,610.82
1098,3,5,60000,4,1,235.53
1099,3,7,60000,9,13,408.36
1100,2,3,6000,5,3,610.82
1101,3,5,2500,4,3,1895.05
1102,3,6,4000,9,4,1595.2
1103,3,5,45000,6,3,22.71
1104,2,3,30000,3,13,1
1105,3,7,6000,4,12,1595.2
1106,2,3,20000,5,12,1904.68
1107,1,1,300000,2,15,20.09
1108,3,7,250000,9,20,21.38
1109,2,4,30000,5,13,389.8
1110,2,4,40000,2,13,10.07
1111,3,6,2500,7,3,1895.05
1112,2,3,20000,5,13,487.36
1113,3,7,2000,5,13,20.14
1114,2,3,3500,7,1,1893.87
1115,2,3,80000,3,2,1636.1
1116,1,2,2000,6,19,408.36
1117,1,1,80000,2,2,157.78
1118,3,5,35000,2,7,306.28
1119,2,4,30000,9,2,12.8
1120,2,3,5001,9,12,584.61
1121,4,8,10001,2,4,703.83
1122,2,3,70000,3,2,306.28
1123,1,2,1500,1,3,1468.67
1124,3,5,180000,7,11,22.3
1125,4,9,10001,4,2,2004.53
1126,4,9,9000,5,2,10.27
1127,3,6,12500,6,3,1895.05
1128,3,5,35000,3,4,156.48
1129,3,6,12500,6,3,627.43
1130,1,1,4500,3,2,2184.21
1131,2,4,800000,6,12,10.74
1132,3,7,9000,4,3,640.89
1133,2,3,9000,6,3,682.05
1134,4,9,180000,6,15,72
1135,3,7,2500,3,4,1595.2
1136,1,2,6000,4,14,1958.18
1137,2,3,6000,4,12,1636.49
1138,3,5,17500,5,12,470.24
1139,3,7,80000,5,12,235.53
1140,3,5,1500,8,2,2155.25
1141,3,5,45000,4,3,1895.05
1142,3,5,120000,6,7,20.84
1143,3,5,8000,5,3,1472.34
1144,2,3,200001,4,15,306.28
1145,4,9,1500,2,3,1509.24
1146,4,9,1500,3,4,1654.84
1147,4,8,3000,6,7,1.08
1148,3,5,50000,5,3,10.39
1149,4,9,6000,7,1,1654.84
1150,3,6,2000,4,3,1838.24
1151,2,4,8000,5,3,35.82
1152,4,9,200000,3,12,72
1153,3,6,22500,5,14,652.28
1154,4,9,400000,5,12,21.38
1155,2,3,160000,5,13,306.28
1156,2,4,35000,4,14,389.8
1157,1,2,1500000,7,2,7.37
1158,3,5,17500,8,3,470.24
1159,3,7,7000,4,4,20.14
1160,2,3,120000,8,12,299.15
1161,2,3,20000,5,3,306.28
1162,3,7,45000,6,3,259.98
1163,1,2,4000,5,1,2184.21
1164,4,9,1500,9,7,1509.24
1165,2,4,60000,6,13,30.99
1166,2,4,30000,3,12,487.36
1167,4,9,10000,4,13,497.58
1168,3,6,80000,5,4,154.01
1169,1,1,15000,2,1,4.5
1170,3,7,160000,8,2,2.88
1171,4,8,200001,6,3,20.41
1172,3,5,35000,3,12,5.74
1173,1,1,22500,4,17,1.04
1174,3,7,6000,2,12,2170.72
1175,2,3,100000,8,2,229.73
1176,2,3,10000,2,3,509.17
1177,3,5,3000,3,1,652.28
1178,1,2,350000,2,2,20.5
1179,1,2,200001,2,12,74.99
1180,3,7,1001,4,3,452.03
1181,1,2,15000,3,13,635.87
1182,4,9,12500,6,3,497.58
1183,1,2,300000,3,2,20.83
1184,3,7,6000,4,3,1895.05
1185,3,5,10000,9,12,156.48
1186,2,3,25000,6,4,610.82
1187,2,4,120000,5,19,157.88
1188,1,1,200000,9,19,10.09
1189,2,4,25001,2,13,389.8
1190,3,6,2500,6,14,1932.25
1191,2,4,17500,5,1,20.84
1192,3,7,35000,5,4,320.86
1193,1,2,500001,6,2,10.28
1194,1,1,2500,2,3,2039.07
1195,4,8,15000,6,12,1654.83
1196,1,1,15000,3,1,250.94
1197,2,4,100000,3,14,509.17
1198,1,2,4500,6,2,1627.29
1199,2,3,1500,3,14,1893.87
1200,2,4,50001,3,2,306.28
1201,1,2,10000,8,12,490.89
1202,1,1,80000,2,2,242.96
1203,4,8,4500,3,3,2004.53
1204,3,7,22500,7,1,235.53
1205,2,4,180000,6,13,306.28
1206,3,7,17500,8,19,498.98
1207,4,9,20000,6,13,307.35
1208,3,5,10001,5,12,459.35
1209,4,8,140000,5,17,10.27
1210,2,3,2500,6,1,200.93
1211,2,4,80000,9,19,1.03
1212,4,9,5001,4,2,492.68
1213,1,1,300000,4,15,10.04
1214,2,4,3000,5,5,1893.87
1215,3,5,5001,3,6,1595.2
1216,2,4,30000,6,12,1.03
1217,1,1,40000,3,13,408.36
1218,3,5,60000,3,13,321.32
1219,3,7,1500,5,1,1595.2
1220,3,5,17500,5,3,597.74
1221,2,3,35000,9,2,157.88
1222,4,8,120000,7,2,256.39
1223,1,2,10001,5,2,712.11
1224,1,2,22500,6,13,476.92
1225,1,2,350000,6,13,5.03
1226,2,4,7000,5,3,2392.14
1227,3,5,80000,5,13,347.16
1228,2,4,7000,8,12,157.88
1229,3,6,6000,8,15,235.53
1230,2,3,1001,5,2,91.63
1231,3,5,35000,4,13,28.05
1232,3,5,350000,8,19,156.48
1233,2,3,1500,4,2,487.36
1234,3,6,3500,7,20,2170.72
1235,2,4,250000,6,3,319.73
1236,2,3,25000,5,2,509.17
1237,2,3,4500,5,7,1508.84
1238,1,2,17500,1,3,327.35
1239,3,5,3000,4,12,1895.05
1240,1,2,1500000,5,2,7.37
1241,3,5,5001,8,12,1595.2
1242,1,2,500001,7,15,10.04
1243,2,3,50001,5,13,324.11
1244,2,3,40000,6,2,157.88
1245,3,7,12500,6,4,496.13
1246,2,3,2000,3,2,1904.68
1247,1,2,4000,9,7,20.84
1248,4,9,6000,5,4,163.32
1249,2,3,70000,9,3,1.15
1250,3,5,5001,2,17,1377.41
1251,3,5,8000,4,4,1859.44
1252,1,2,5001,5,4,490.89
1253,3,6,2500,6,5,1895.05
1254,1,2,160000,8,12,157.78
1255,3,7,1500,8,3,470.24
1256,1,2,100000,3,13,317.29
1257,3,7,2500,3,3,1895.05
1258,1,2,300000,6,2,3.68
1259,1,1,25000,9,3,597.34
1260,4,9,30000,3,13,362.37
1261,4,9,17500,5,13,1.09
1262,3,5,2500,7,3,1472.34
1263,2,3,70000,4,13,20
1264,4,9,1001,4,3,2004.53
1265,3,5,3000,3,2,2146.52
1266,3,5,2000,9,2,2155.25
1267,3,5,2000,7,3,1895.05
1268,3,5,40000,6,1,7.95
1269,3,5,7000,5,13,1377.41
1270,1,1,17500,4,2,490.89
1271,3,7,35000,4,13,321.32
1272,2,3,800000,5,15,10.04
1273,3,7,1001,6,3,498.98
1274,3,7,6000,5,1,498.98
1275,3,7,9000,4,3,358.11
1276,1,1,30000,6,2,469.94
1277,3,6,120000,5,12,73.77
1278,4,9,250000,5,2,10.27
1279,4,9,15000,3,2,163.32
1280,3,6,7000,6,4,96
1281,1,1,90000,9,2,10.28
1282,2,4,9000,4,3,1904.68
1283,3,5,1001,6,4,1859.44
1284,3,5,4500,9,3,2774.63
1285,1,2,15000,4,4,459.35
1286,3,6,15000,5,13,612.45
1287,4,9,2500,7,4,1654.83
1288,2,4,200001,6,4,91.63
1289,4,9,4000,8,3,2004.53
1290,2,3,10000,3,1,21.19
1291,2,3,120000,4,2,584.61
1292,3,5,9000,4,1,652.28
1293,3,6,3000,8,3,1595.2
1294,2,3,3000,4,2,1636.1
1295,2,3,7000,5,12,584.61
1296,2,3,6000,3,3,1904.68
1297,3,7,6000,6,3,597.74
1298,3,7,250000,5,15,20.09
1299,4,9,1001,3,3,2004.53
1300,1,1,200000,6,2,20.83
1301,2,3,120000,5,12,157.88
1302,3,5,2500,6,3,1895.05
1303,1,1,25001,8,3,327.35
1304,4,8,8000,1,4,1509.24
1305,4,9,17500,4,3,657.7
1306,3,7,30000,6,2,597.74
1307,4,9,700000,5,2,20.41
1308,2,3,2000,3,3,1904.68
1309,3,5,8000,1,4,2170.72
1310,1,2,6000,5,12,20.14
1311,2,3,3500,5,1,1893.87
1312,3,5,4000,1,3,1895.05
1313,4,8,17500,7,17,696.62
1314,3,6,1001,4,14,1932.25
1315,3,6,10000,5,12,1595.2
1316,2,4,12500,6,3,487.36
1317,1,2,30000,8,2,250.94
1318,4,9,10001,4,14,72
1319,1,2,30000,1,4,836.86
1320,2,3,1500,4,2,513.05
1321,2,3,15000,2,4,584.61
1322,4,9,4500,3,5,288.37
1323,1,2,600000,2,13,306.28
1324,3,5,3000,5,2,1597.65
1325,3,5,1000000,7,3,8.83
1326,4,9,30000,5,2,268.52
1327,1,1,120000,8,2,21.38
1328,4,9,15000,6,12,163.32
1329,3,5,40000,8,17,21.45
1330,2,3,10000,6,3,1636.49
1331,3,6,2500,7,12,156.48
1332,1,2,80000,5,12,250.94
1333,4,9,1500,4,13,1382.22
1334,2,4,30000,9,3,389.8
1335,3,7,60000,3,4,498.98
1336,4,9,70000,5,13,1.1
1337,3,6,1001,8,2,3190.41
1338,4,8,12500,7,3,2429.36
1339,3,5,40000,5,13,2.71
1340,2,4,22500,4,16,584.61
1341,3,7,100000,4,20,12.25
1342,4,9,25001,5,12,268.52
1343,3,5,6000,4,3,1472.34
1344,3,7,15000,9,3,597.74
1345,2,3,120000,5,2,1
1346,2,3,20000,2,3,682.05
1347,3,7,1500,9,3,2650.99
1348,2,3,22500,5,1,157.88
1349,3,7,10001,7,2,597.74
1350,3,5,17500,6,3,1895.05
1351,3,7,6000,8,1,2146.52
1352,4,9,30000,5,12,163.32
1353,4,8,12500,5,12,502.74
1354,3,7,300000,6,13,20
1355,1,1,90000,5,3,157.78
1356,3,5,1500,7,13,320.86
1357,4,8,10000,7,2,492.68
1358,3,5,15000,5,1,1597.65
1359,3,5,25000,3,12,1595.2
1360,4,9,10000,4,3,163.32
1361,2,3,100001,2,13,306.28
1362,4,9,45000,5,4,163.32
1363,3,7,17500,3,12,459.35
1364,3,6,400000,5,15,100.04
1365,3,7,1001,6,2,1616.48
1366,2,3,25000,5,12,1.03
1367,4,9,50000,7,12,163.32
1368,3,5,4000,5,14,1932.25
1369,3,5,30000,2,4,597.74
1370,4,9,70000,5,13,336.81
1371,4,9,3500,4,2,1735.25
1372,2,3,1500,4,5,1904.68
1373,4,9,3000,7,3,657.7
1374,4,9,6000,4,13,1382.22
1375,3,6,180000,5,19,20
1376,2,4,17500,6,12,487.36
1377,1,1,30000,9,4,10.28
1378,3,5,6000,6,17,496.13
1379,2,4,1500,2,12,1893.87
1380,3,7,12500,7,3,597.74
1381,2,3,5000,3,3,1636.1
1382,3,5,1500,5,1,2650.99
1383,3,7,6000,4,4,1472.34
1384,1,2,70000,8,2,23.86
1385,2,3,140000,5,13,91.63
1386,2,4,300000,3,2,21.19
1387,3,7,4500,5,3,1597.65
1388,3,5,2000,7,3,1595.2
1389,4,9,20000,7,3,288.37
1390,3,5,10000,6,4,1595.2
1391,4,9,12500,8,13,502.74
1392,4,9,3500,9,12,1654.84
1393,2,3,2500,1,1,1904.68
1394,2,3,1500,7,2,98.23
1395,4,9,1500,9,3,288.37
1396,1,2,6000,1,14,1468.67
1397,3,7,30000,4,2,496.13
1398,2,3,1500,5,3,1583.83
1399,2,3,8000,6,3,682.05
1400,1,2,5001,2,1,1638.2
1401,1,2,1001,7,2,2184.21
1402,4,9,50001,2,2,256.39
1403,4,9,4000,5,4,268.52
1404,2,4,180000,6,1,21.19
1405,3,6,3000,5,2,2146.52
1406,1,2,5000,4,3,2039.07
1407,3,5,2000,6,12,1595.2
1408,4,9,70000,8,2,10.27
1409,2,3,30000,4,4,584.61
1410,3,7,15000,6,2,470.24
1411,4,9,1500,3,14,1735.25
1412,2,3,8000,1,20,487.36
1413,2,3,60000,4,13,389.8
1414,4,8,12500,6,20,502.74
1415,4,9,6000,6,13,1377.41
1416,3,5,2500,5,4,2170.72
1417,3,5,10001,5,3,597.74
1418,2,3,8000,6,4,1508.84
1419,3,7,1500,2,2,477.47
1420,2,3,20000,8,2,263.93
1421,3,7,3000,4,3,2170.72
1422,1,2,25001,6,19,490.89
1423,3,7,60000,6,12,235.53
1424,3,5,25000,8,17,98.36
1425,1,1,120000,4,1,10.28
1426,3,5,200001,4,13,320.86
1427,2,3,1500000,6,3,6.25
1428,3,5,5000,2,4,1859.44
1429,3,7,4500,4,4,2124.65
1430,3,7,15000,4,12,235.53
1431,3,5,350000,6,15,10.04
1432,2,3,250000,5,13,20.14
1433,1,2,300000,6,15,20.84
1434,1,2,20000,4,17,1.04
1435,3,6,3000,6,20,470.24
1436,3,7,2500,8,3,1895.05
1437,2,3,2500,5,12,1508.84
1438,3,7,8000,6,1,498.98
1439,1,2,500000,4,2,10.28
1440,4,9,30000,6,12,163.32
1441,4,9,8000,5,2,323.85
1442,3,7,300000,6,2,80.27
1443,3,6,250000,8,12,22.3
1444,3,6,20000,3,2,22.3
1445,1,2,9000,9,1,490.89
1446,3,7,600000,5,15,20.84
1447,4,9,17500,8,2,10.27
1448,3,6,60000,9,17,72
1449,3,5,50000,9,12,2.73
1450,2,3,250000,5,12,21.19
1451,3,7,70000,3,12,314.04
1452,2,3,25001,4,13,584.61
1453,2,3,6000,6,12,1636.49
1454,4,9,900000,5,2,10.27
1455,1,2,250000,1,3,23.86
1456,3,7,2500,4,14,1932.25
1457,3,5,45000,8,12,1597.64
1458,4,9,5000,6,12,657.7
1459,1,1,2000,3,17,20.84
1460,3,5,1500,3,4,2124.65
1461,1,2,1500,3,4,490.89
1462,4,8,5000,4,3,358.11
1463,4,9,100001,9,1,10.09
1464,2,3,12500,6,4,299.15
1465,3,5,80000,5,3,22.3
1466,2,4,22500,7,12,306.28
1467,3,6,15000,6,3,597.74
1468,3,6,250000,5,2,72
1469,2,3,6000,5,6,487.36
1470,2,3,1500,6,3,1904.68
1471,1,2,7000,2,3,1627.29
1472,3,5,5000,3,1,2124.65
1473,2,3,15000,3,10,9.3
1474,3,7,3000,5,14,1472.34
1475,3,5,3000,8,12,2081.02
1476,1,1,20000,7,3,469.94
1477,3,6,50001,4,13,2.7
1478,2,4,600000,3,15,10.04
1479,1,2,60000,6,13,3.48
1480,2,3,25001,6,3,487.36
1481,3,7,2500,6,3,1595.2
1482,1,2,1500000,5,1,20.83
1483,3,7,3500,9,13,459.35
1484,3,6,17500,9,2,626.89
1485,3,7,7000,1,4,2124.65
1486,3,5,300000,6,15,22.79
1487,2,3,12500,7,12,306.28
1488,2,3,9000,3,4,584.61
1489,3,5,50001,5,2,316.94
1490,1,1,1500,6,3,1627.29
1491,3,7,700000,7,19,5.74
1492,3,7,17500,2,3,833.61
1493,3,7,50000,7,13,12.66
1494,2,3,12500,2,6,98.23
1495,2,3,35000,3,12,1991.37
1496,2,4,90000,4,15,91.63
1497,1,2,350000,2,2,20.83
1498,1,2,3000,4,2,1627.29
1499,1,2,7000,6,20,1627.29
1500,3,7,6000,5,12,2170.72
1501,1,1,250000,2,1,74.99
1502,1,1,200001,5,2,10.28
1503,3,7,10001,4,4,208.64
1504,4,9,2500,9,14,1509.24
1505,1,2,350000,3,6,306.28
1506,4,8,1500,3,3,1654.84
1507,1,1,200001,1,13,1
1508,3,7,15000,4,1,1595.2
1509,4,9,20000,5,13,362.37
1510,2,3,45000,3,17,8.88
1511,3,5,400000,5,2,22.3
1512,3,5,20000,8,2,235.54
1513,3,6,1500,5,3,1472.34
1514,2,4,45000,6,12,487.36
1515,4,9,80000,6,2,492.68
1516,1,2,30000,4,13,317.29
1517,4,9,12500,4,7,497.58
1518,2,4,200001,5,3,306.28
1519,2,4,40000,3,12,135.68
1520,3,7,22500,4,13,2146.52
1521,1,2,1500000,3,3,5
1522,1,2,1001,4,14,1468.67
1523,3,5,1000000,5,12,10.39
1524,4,9,5000,6,5,1509.24
1525,1,2,350000,3,13,20.14
1526,2,3,22500,4,3,389.8
1527,1,2,3000,8,3,2039.07
1528,4,9,5000,6,4,1654.84
1529,2,3,90000,5,3,16.41
1530,3,5,1001,5,2,1597.64
1531,1,2,1500000,9,1,14.75
1532,3,7,4000,4,13,1377.41
1533,3,7,3000,3,4,2774.63
1534,2,4,45000,4,20,263.93
1535,4,9,35000,7,2,323.85
1536,4,9,22500,3,4,268.52
1537,2,3,4500,5,7,306.28
1538,3,5,2500,3,2,470.24
1539,1,1,250000,1,1,20.83
1540,3,5,2000,6,4,2124.65
1541,2,3,600000,8,2,6.25
1542,3,7,10000,5,17,496.13
1543,2,4,4500,8,3,1636.1
1544,3,6,5000,4,4,2170.72
1545,1,2,12500,3,4,459.35
1546,3,7,1500,8,3,1859.44
1547,2,3,100000,5,13,229.73
1548,4,9,40000,6,2,323.85
1549,3,6,50000,9,3,103.77
1550,3,7,2000,1,3,1895.05
