# File: EIA_net_gen_renewables.csv,,,,,,,,,,,,,,,,,,,
# Title: EIA Net Generation for All Sectors,,,,,,,,,,,,,,,,,,,
# Units: thousand MWh,,,,,,,,,,,,,,,,,,,
# Comments: Data downloaded Wed May 02 2018 11:40:07 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,,,,,,,,
# Source: U.S. Energy Information Administration - Electricity Data Browser (https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=0082u&geo=00fvvvvvvvvvo&sec=g&freq=A&start=2001&end=2017&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=),,,,,,,,,,,,,,,,,
description,units,source.key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Missouri,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Missouri : all fuels (utility-scale),,ELEC.GEN.ALL-MO-99.A,,,,,,,,,,,,,,,,,
Missouri : other renewables,,ELEC.GEN.AOR-MO-99.A,,,,,,,,,,,,,,,,,
Missouri : wind,thousand megawatthours,ELEC.GEN.WND-MO-99.A,--,--,--,--,--,--,--,203,499,925,1178,1245,1167,1131,1033,1122,1949
Missouri : all utility-scale solar,,ELEC.GEN.SUN-MO-99.A,,,,,,,,,,,,,,,,,
Missouri : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,9,17,33,59
Missouri : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Missouri : all solar,,ELEC.GEN.TSN-MO-99.A,,,,,,,,,,,,,,,,,
Missouri : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,113,145,167,204
Missouri : all utility-scale solar,,ELEC.GEN.SUN-MO-99.A,,,,,,,,,,,,,,,,,
Missouri : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,9,17,33,59
Missouri : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nebraska,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Nebraska : all fuels (utility-scale),,ELEC.GEN.ALL-NE-99.A,,,,,,,,,,,,,,,,,
Nebraska : other renewables,,ELEC.GEN.AOR-NE-99.A,,,,,,,,,,,,,,,,,
Nebraska : wind,thousand megawatthours,ELEC.GEN.WND-NE-99.A,3,8,38,38,97,261,217,214,383,422,1051,1284,1802,2737,3180,3798,5237
Nebraska : all utility-scale solar,,ELEC.GEN.SUN-NE-99.A,,,,,,,,,,,,,,,,,
Nebraska : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,18
Nebraska : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nebraska : all solar,,ELEC.GEN.TSN-NE-99.A,,,,,,,,,,,,,,,,,
Nebraska : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,3,5
Nebraska : all utility-scale solar,,ELEC.GEN.SUN-NE-99.A,,,,,,,,,,,,,,,,,
Nebraska : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,18
Nebraska : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Dakota,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
North Dakota : all fuels (utility-scale),,ELEC.GEN.ALL-ND-99.A,,,,,,,,,,,,,,,,,
North Dakota : other renewables,,ELEC.GEN.AOR-ND-99.A,,,,,,,,,,,,,,,,,
North Dakota : wind,thousand megawatthours,ELEC.GEN.WND-ND-99.A,--,--,59,215,220,369,621,1693,2998,4096,5236,5275,5519,6202,6506,8172,10987
North Dakota : all utility-scale solar,,ELEC.GEN.SUN-ND-99.A,,,,,,,,,,,,,,,,,
North Dakota : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-ND-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Dakota : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-ND-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Dakota : all solar,,ELEC.GEN.TSN-ND-99.A,,,,,,,,,,,,,,,,,
North Dakota : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-ND-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0
North Dakota : all utility-scale solar,,ELEC.GEN.SUN-ND-99.A,,,,,,,,,,,,,,,,,
North Dakota : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-ND-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Dakota : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-ND-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Dakota,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
South Dakota : all fuels (utility-scale),,ELEC.GEN.ALL-SD-99.A,,,,,,,,,,,,,,,,,
South Dakota : other renewables,,ELEC.GEN.AOR-SD-99.A,,,,,,,,,,,,,,,,,
South Dakota : wind,thousand megawatthours,ELEC.GEN.WND-SD-99.A,1,6,44,158,158,149,150,145,421,1372,2668,2354,2688,2336,2498,3714,3154
South Dakota : all utility-scale solar,,ELEC.GEN.SUN-SD-99.A,,,,,,,,,,,,,,,,,
South Dakota : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-SD-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,NM
South Dakota : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-SD-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Dakota : all solar,,ELEC.GEN.TSN-SD-99.A,,,,,,,,,,,,,,,,,
South Dakota : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-SD-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,0,1,1,1
South Dakota : all utility-scale solar,,ELEC.GEN.SUN-SD-99.A,,,,,,,,,,,,,,,,,
South Dakota : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-SD-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,NM
South Dakota : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-SD-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Atlantic,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Delaware,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Delaware : all fuels (utility-scale),,ELEC.GEN.ALL-DE-99.A,,,,,,,,,,,,,,,,,
Delaware : other renewables,,ELEC.GEN.AOR-DE-99.A,,,,,,,,,,,,,,,,,
Delaware : wind,thousand megawatthours,ELEC.GEN.WND-DE-99.A,--,--,--,--,--,--,--,--,--,3,5,4,4,5,5,5,5
Delaware : all utility-scale solar,,ELEC.GEN.SUN-DE-99.A,,,,,,,,,,,,,,,,,
Delaware : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-DE-99.A,--,--,--,--,--,--,--,--,--,--,8,23,45,50,49,51,59
Delaware : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-DE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Delaware : all solar,,ELEC.GEN.TSN-DE-99.A,,,,,,,,,,,,,,,,,
Delaware : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-DE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,71,79,67,93
Delaware : all utility-scale solar,,ELEC.GEN.SUN-DE-99.A,,,,,,,,,,,,,,,,,
Delaware : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-DE-99.A,--,--,--,--,--,--,--,--,--,--,8,23,45,50,49,51,59
Delaware : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-DE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
District Of Columbia,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
District Of Columbia : all fuels (utility-scale),,ELEC.GEN.ALL-DC-99.A,,,,,,,,,,,,,,,,,
District Of Columbia : other renewables,,ELEC.GEN.AOR-DC-99.A,,,,,,,,,,,,,,,,,
District Of Columbia : wind,thousand megawatthours,ELEC.GEN.WND-DC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
District Of Columbia : all utility-scale solar,,ELEC.GEN.SUN-DC-99.A,,,,,,,,,,,,,,,,,
District Of Columbia : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-DC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
District Of Columbia : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-DC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
District Of Columbia : all solar,,ELEC.GEN.TSN-DC-99.A,,,,,,,,,,,,,,,,,
District Of Columbia : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-DC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,31,32,32,52
District Of Columbia : all utility-scale solar,,ELEC.GEN.SUN-DC-99.A,,,,,,,,,,,,,,,,,
District Of Columbia : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-DC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
District Of Columbia : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-DC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Florida,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Florida : all fuels (utility-scale),,ELEC.GEN.ALL-FL-99.A,,,,,,,,,,,,,,,,,
Florida : other renewables,,ELEC.GEN.AOR-FL-99.A,,,,,,,,,,,,,,,,,
Florida : wind,thousand megawatthours,ELEC.GEN.WND-FL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Florida : all utility-scale solar,,ELEC.GEN.SUN-FL-99.A,,,,,,,,,,,,,,,,,
Florida : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-FL-99.A,--,--,--,--,--,--,--,--,9,80,97,105,108,117,118,149,849
Florida : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-FL-99.A,--,--,--,--,--,--,--,--,--,--,29,88,102,124,106,75,22
Florida : all solar,,ELEC.GEN.TSN-FL-99.A,,,,,,,,,,,,,,,,,
Florida : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-FL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,119,156,205,293
Florida : all utility-scale solar,,ELEC.GEN.SUN-FL-99.A,,,,,,,,,,,,,,,,,
Florida : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-FL-99.A,--,--,--,--,--,--,--,--,9,80,97,105,108,117,118,149,849
Florida : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-FL-99.A,--,--,--,--,--,--,--,--,--,--,29,88,102,124,106,75,22
Georgia,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Georgia : all fuels (utility-scale),,ELEC.GEN.ALL-GA-99.A,,,,,,,,,,,,,,,,,
Georgia : other renewables,,ELEC.GEN.AOR-GA-99.A,,,,,,,,,,,,,,,,,
Georgia : wind,thousand megawatthours,ELEC.GEN.WND-GA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia : all utility-scale solar,,ELEC.GEN.SUN-GA-99.A,,,,,,,,,,,,,,,,,
Georgia : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-GA-99.A,--,--,--,--,--,--,--,--,--,--,--,3,14,119,129,881,2137
Georgia : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-GA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia : all solar,,ELEC.GEN.TSN-GA-99.A,,,,,,,,,,,,,,,,,
Georgia : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-GA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,99,100,195,227
Georgia : all utility-scale solar,,ELEC.GEN.SUN-GA-99.A,,,,,,,,,,,,,,,,,
Georgia : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-GA-99.A,--,--,--,--,--,--,--,--,--,--,--,3,14,119,129,881,2137
Georgia : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-GA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maryland,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Maryland : all fuels (utility-scale),,ELEC.GEN.ALL-MD-99.A,,,,,,,,,,,,,,,,,
Maryland : other renewables,,ELEC.GEN.AOR-MD-99.A,,,,,,,,,,,,,,,,,
Maryland : wind,thousand megawatthours,ELEC.GEN.WND-MD-99.A,--,--,--,--,--,--,--,--,--,1,271,322,322,324,435,527,511
Maryland : all utility-scale solar,,ELEC.GEN.SUN-MD-99.A,,,,,,,,,,,,,,,,,
Maryland : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MD-99.A,--,--,--,--,--,--,--,--,--,0,3,22,63,98,119,209,329
Maryland : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MD-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maryland : all solar,,ELEC.GEN.TSN-MD-99.A,,,,,,,,,,,,,,,,,
Maryland : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MD-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,253,339,519,737
Maryland : all utility-scale solar,,ELEC.GEN.SUN-MD-99.A,,,,,,,,,,,,,,,,,
Maryland : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MD-99.A,--,--,--,--,--,--,--,--,--,0,3,22,63,98,119,209,329
Maryland : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MD-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Carolina,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
North Carolina : all fuels (utility-scale),,ELEC.GEN.ALL-NC-99.A,,,,,,,,,,,,,,,,,
North Carolina : other renewables,,ELEC.GEN.AOR-NC-99.A,,,,,,,,,,,,,,,,,
North Carolina : wind,thousand megawatthours,ELEC.GEN.WND-NC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,471
North Carolina : all utility-scale solar,,ELEC.GEN.SUN-NC-99.A,,,,,,,,,,,,,,,,,
North Carolina : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NC-99.A,--,--,--,--,--,--,--,2,5,11,17,139,345,729,1374,3421,5578
North Carolina : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Carolina : all solar,,ELEC.GEN.TSN-NC-99.A,,,,,,,,,,,,,,,,,
North Carolina : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,74,86,167,204
North Carolina : all utility-scale solar,,ELEC.GEN.SUN-NC-99.A,,,,,,,,,,,,,,,,,
North Carolina : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NC-99.A,--,--,--,--,--,--,--,2,5,11,17,139,345,729,1374,3421,5578
North Carolina : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Carolina,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
South Carolina : all fuels (utility-scale),,ELEC.GEN.ALL-SC-99.A,,,,,,,,,,,,,,,,,
South Carolina : other renewables,,ELEC.GEN.AOR-SC-99.A,,,,,,,,,,,,,,,,,
South Carolina : wind,thousand megawatthours,ELEC.GEN.WND-SC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Carolina : all utility-scale solar,,ELEC.GEN.SUN-SC-99.A,,,,,,,,,,,,,,,,,
South Carolina : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-SC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,0,5,4,5,106
South Carolina : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-SC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Carolina : all solar,,ELEC.GEN.TSN-SC-99.A,,,,,,,,,,,,,,,,,
South Carolina : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-SC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,4,7,36,139
South Carolina : all utility-scale solar,,ELEC.GEN.SUN-SC-99.A,,,,,,,,,,,,,,,,,
South Carolina : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-SC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,0,5,4,5,106
South Carolina : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-SC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Virginia,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Virginia : all fuels (utility-scale),,ELEC.GEN.ALL-VA-99.A,,,,,,,,,,,,,,,,,
Virginia : other renewables,,ELEC.GEN.AOR-VA-99.A,,,,,,,,,,,,,,,,,
Virginia : wind,thousand megawatthours,ELEC.GEN.WND-VA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Virginia : all utility-scale solar,,ELEC.GEN.SUN-VA-99.A,,,,,,,,,,,,,,,,,
Virginia : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-VA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,375
Virginia : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-VA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Virginia : all solar,,ELEC.GEN.TSN-VA-99.A,,,,,,,,,,,,,,,,,
Virginia : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-VA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,22,30,41,66
Virginia : all utility-scale solar,,ELEC.GEN.SUN-VA-99.A,,,,,,,,,,,,,,,,,
Virginia : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-VA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,375
Virginia : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-VA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
West Virginia,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
West Virginia : all fuels (utility-scale),,ELEC.GEN.ALL-WV-99.A,,,,,,,,,,,,,,,,,
West Virginia : other renewables,,ELEC.GEN.AOR-WV-99.A,,,,,,,,,,,,,,,,,
West Virginia : wind,thousand megawatthours,ELEC.GEN.WND-WV-99.A,--,9,170,161,154,174,168,392,742,939,1103,1286,1387,1451,1376,1432,1607
West Virginia : all utility-scale solar,,ELEC.GEN.SUN-WV-99.A,,,,,,,,,,,,,,,,,
West Virginia : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
West Virginia : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
West Virginia : all solar,,ELEC.GEN.TSN-WV-99.A,,,,,,,,,,,,,,,,,
West Virginia : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-WV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,4,4,6,8
West Virginia : all utility-scale solar,,ELEC.GEN.SUN-WV-99.A,,,,,,,,,,,,,,,,,
West Virginia : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
West Virginia : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
East South Central,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Alabama,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Alabama : all fuels (utility-scale),,ELEC.GEN.ALL-AL-99.A,,,,,,,,,,,,,,,,,
Alabama : other renewables,,ELEC.GEN.AOR-AL-99.A,,,,,,,,,,,,,,,,,
Alabama : wind,thousand megawatthours,ELEC.GEN.WND-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alabama : all utility-scale solar,,ELEC.GEN.SUN-AL-99.A,,,,,,,,,,,,,,,,,
Alabama : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31,203
Alabama : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alabama : all solar,,ELEC.GEN.TSN-AL-99.A,,,,,,,,,,,,,,,,,
Alabama : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,3,3,8,8
Alabama : all utility-scale solar,,ELEC.GEN.SUN-AL-99.A,,,,,,,,,,,,,,,,,
Alabama : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31,203
Alabama : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kentucky,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Kentucky : all fuels (utility-scale),,ELEC.GEN.ALL-KY-99.A,,,,,,,,,,,,,,,,,
Kentucky : other renewables,,ELEC.GEN.AOR-KY-99.A,,,,,,,,,,,,,,,,,
Kentucky : wind,thousand megawatthours,ELEC.GEN.WND-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kentucky : all utility-scale solar,,ELEC.GEN.SUN-KY-99.A,,,,,,,,,,,,,,,,,
Kentucky : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,20
Kentucky : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kentucky : all solar,,ELEC.GEN.TSN-KY-99.A,,,,,,,,,,,,,,,,,
Kentucky : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,13,14,20,26
Kentucky : all utility-scale solar,,ELEC.GEN.SUN-KY-99.A,,,,,,,,,,,,,,,,,
Kentucky : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,20
Kentucky : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mississippi,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Mississippi : all fuels (utility-scale),,ELEC.GEN.ALL-MS-99.A,,,,,,,,,,,,,,,,,
Mississippi : other renewables,,ELEC.GEN.AOR-MS-99.A,,,,,,,,,,,,,,,,,
Mississippi : wind,thousand megawatthours,ELEC.GEN.WND-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mississippi : all utility-scale solar,,ELEC.GEN.SUN-MS-99.A,,,,,,,,,,,,,,,,,
Mississippi : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,88
Mississippi : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mississippi : all solar,,ELEC.GEN.TSN-MS-99.A,,,,,,,,,,,,,,,,,
Mississippi : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,2,2,6,11
Mississippi : all utility-scale solar,,ELEC.GEN.SUN-MS-99.A,,,,,,,,,,,,,,,,,
Mississippi : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,88
Mississippi : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tennessee,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Tennessee : all fuels (utility-scale),,ELEC.GEN.ALL-TN-99.A,,,,,,,,,,,,,,,,,
Tennessee : other renewables,,ELEC.GEN.AOR-TN-99.A,,,,,,,,,,,,,,,,,
Tennessee : wind,thousand megawatthours,ELEC.GEN.WND-TN-99.A,--,4,4,4,3,55,50,50,52,41,53,47,47,51,46,38,30
Tennessee : all utility-scale solar,,ELEC.GEN.SUN-TN-99.A,,,,,,,,,,,,,,,,,
Tennessee : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-TN-99.A,--,--,--,--,--,--,--,--,--,--,--,12,20,27,76,79,150
Tennessee : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-TN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tennessee : all solar,,ELEC.GEN.TSN-TN-99.A,,,,,,,,,,,,,,,,,
Tennessee : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-TN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,60,60,86,87
Tennessee : all utility-scale solar,,ELEC.GEN.SUN-TN-99.A,,,,,,,,,,,,,,,,,
Tennessee : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-TN-99.A,--,--,--,--,--,--,--,--,--,--,--,12,20,27,76,79,150
Tennessee : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-TN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
West South Central,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Arkansas,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Arkansas : all fuels (utility-scale),,ELEC.GEN.ALL-AR-99.A,,,,,,,,,,,,,,,,,
Arkansas : other renewables,,ELEC.GEN.AOR-AR-99.A,,,,,,,,,,,,,,,,,
Arkansas : wind,thousand megawatthours,ELEC.GEN.WND-AR-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Arkansas : all utility-scale solar,,ELEC.GEN.SUN-AR-99.A,,,,,,,,,,,,,,,,,
Arkansas : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-AR-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,26,29
Arkansas : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-AR-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Arkansas : all solar,,ELEC.GEN.TSN-AR-99.A,,,,,,,,,,,,,,,,,
Arkansas : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-AR-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,5,5,7,11
