INPUT_TABLE
Variable ID
GDPCtrlMax

region,supplysector,subsector,stub.technology,year,Non.CO2,ctrl.name,max.reduction
Canada,electricity,refined liquids,refined liquids (steam/CT),2010,BC,GDP_control,100
Canada,industrial energy use,biomass,biomass,2010,BC,GDP_control,98
Canada,industrial energy use,coal,coal,2010,BC,GDP_control,90
Canada,industrial energy use,gas,gas,2010,BC,GDP_control,50
Canada,industrial energy use,refined liquids,refined liquids,2010,BC,GDP_control,70
Canada,N fertilizer,gas,gas,2010,BC,GDP_control,50
Canada,resid heating,biomass,biomass,2010,BC,GDP_control,92
Canada,resid heating,gas,gas,2010,BC,GDP_control,80
Canada,resid heating,refined liquids,refined liquids,2010,BC,GDP_control,50
Canada,resid others,coal,coal,2010,BC,GDP_control,90
Canada,resid others,gas,gas,2010,BC,GDP_control,80
Canada,resid others,refined liquids,refined liquids,2010,BC,GDP_control,50
Canada,transportation,refined liquids,refined liquids,2010,BC,GDP_control,84
Canada,comm cooling,gas,gas,2010,OC,GDP_control,50
Canada,comm heating,gas,gas,2010,OC,GDP_control,50
Canada,comm heating,refined liquids,refined liquids,2010,OC,GDP_control,50
Canada,comm others,gas,gas,2010,OC,GDP_control,50
Canada,comm others,refined liquids,refined liquids,2010,OC,GDP_control,50
Canada,electricity,biomass,biomass (conv),2010,OC,GDP_control,50
Canada,electricity,coal,coal (conv pul),2010,OC,GDP_control,50
Canada,electricity,gas,gas (steam/CT),2010,OC,GDP_control,50
Canada,electricity,refined liquids,refined liquids (steam/CT),2010,OC,GDP_control,100
Canada,industrial energy use,biomass,biomass,2010,OC,GDP_control,96
Canada,industrial energy use,coal,coal,2010,OC,GDP_control,95
Canada,industrial energy use,gas,gas,2010,OC,GDP_control,50
Canada,industrial energy use,refined liquids,refined liquids,2010,OC,GDP_control,90
Canada,N fertilizer,gas,gas,2010,OC,GDP_control,50
Canada,resid heating,biomass,biomass,2010,OC,GDP_control,90
Canada,resid heating,gas,gas,2010,OC,GDP_control,50
Canada,resid heating,refined liquids,refined liquids,2010,OC,GDP_control,50
Canada,resid others,coal,coal,2010,OC,GDP_control,90
Canada,resid others,gas,gas,2010,OC,GDP_control,50
Canada,resid others,refined liquids,refined liquids,2010,OC,GDP_control,50
Canada,transportation,refined liquids,refined liquids,2010,OC,GDP_control,88
Central America and Caribbean,comm cooling,gas,gas,2010,BC,GDP_control,80
Central America and Caribbean,comm heating,biomass,biomass,2010,BC,GDP_control,92
Central America and Caribbean,comm heating,coal,coal,2010,BC,GDP_control,90
Central America and Caribbean,comm heating,gas,gas,2010,BC,GDP_control,80
Central America and Caribbean,comm heating,refined liquids,refined liquids,2010,BC,GDP_control,50
Central America and Caribbean,comm others,coal,coal,2010,BC,GDP_control,90
Central America and Caribbean,comm others,gas,gas,2010,BC,GDP_control,80
Central America and Caribbean,comm others,refined liquids,refined liquids,2010,BC,GDP_control,50
Central America and Caribbean,electricity,biomass,biomass (conv),2010,BC,GDP_control,50
Central America and Caribbean,electricity,coal,coal (conv pul),2010,BC,GDP_control,50
Central America and Caribbean,electricity,gas,gas (steam/CT),2010,BC,GDP_control,50
Central America and Caribbean,electricity,refined liquids,refined liquids (steam/CT),2010,BC,GDP_control,100
Central America and Caribbean,industrial energy use,biomass,biomass,2010,BC,GDP_control,98
Central America and Caribbean,industrial energy use,gas,gas,2010,BC,GDP_control,50
Central America and Caribbean,industrial energy use,refined liquids,refined liquids,2010,BC,GDP_control,70
Central America and Caribbean,N fertilizer,gas,gas,2010,BC,GDP_control,50
Central America and Caribbean,resid heating,biomass,biomass,2010,BC,GDP_control,92
Central America and Caribbean,resid heating,gas,gas,2010,BC,GDP_control,80
Central America and Caribbean,resid heating,refined liquids,refined liquids,2010,BC,GDP_control,50
Central America and Caribbean,resid others,biomass,biomass,2010,BC,GDP_control,92
Central America and Caribbean,resid others,gas,gas,2010,BC,GDP_control,80
Central America and Caribbean,resid others,refined liquids,refined liquids,2010,BC,GDP_control,50
Central America and Caribbean,transportation,refined liquids,refined liquids,2010,BC,GDP_control,84
Central America and Caribbean,comm cooling,gas,gas,2010,OC,GDP_control,50
Central America and Caribbean,comm heating,biomass,biomass,2010,OC,GDP_control,90
Central America and Caribbean,comm heating,coal,coal,2010,OC,GDP_control,90
Central America and Caribbean,comm heating,gas,gas,2010,OC,GDP_control,50
Central America and Caribbean,comm heating,refined liquids,refined liquids,2010,OC,GDP_control,50
Central America and Caribbean,comm others,coal,coal,2010,OC,GDP_control,90
Central America and Caribbean,comm others,gas,gas,2010,OC,GDP_control,50
Central America and Caribbean,comm others,refined liquids,refined liquids,2010,OC,GDP_control,50
Central America and Caribbean,electricity,biomass,biomass (conv),2010,OC,GDP_control,50
Central America and Caribbean,electricity,coal,coal (conv pul),2010,OC,GDP_control,50
Central America and Caribbean,electricity,gas,gas (steam/CT),2010,OC,GDP_control,50
Central America and Caribbean,electricity,refined liquids,refined liquids (steam/CT),2010,OC,GDP_control,100
Central America and Caribbean,industrial energy use,biomass,biomass,2010,OC,GDP_control,96
Central America and Caribbean,industrial energy use,gas,gas,2010,OC,GDP_control,50
Central America and Caribbean,industrial energy use,refined liquids,refined liquids,2010,OC,GDP_control,90
Central America and Caribbean,N fertilizer,gas,gas,2010,OC,GDP_control,50
Central America and Caribbean,resid heating,biomass,biomass,2010,OC,GDP_control,90
Central America and Caribbean,resid heating,gas,gas,2010,OC,GDP_control,50
Central America and Caribbean,resid heating,refined liquids,refined liquids,2010,OC,GDP_control,50
Central America and Caribbean,resid others,biomass,biomass,2010,OC,GDP_control,90
Central America and Caribbean,resid others,gas,gas,2010,OC,GDP_control,50
Central America and Caribbean,resid others,refined liquids,refined liquids,2010,OC,GDP_control,50
Central America and Caribbean,transportation,refined liquids,refined liquids,2010,OC,GDP_control,88
Central Asia,comm heating,biomass,biomass,2010,BC,GDP_control,92
Central Asia,comm heating,coal,coal,2010,BC,GDP_control,90
Central Asia,comm heating,gas,gas,2010,BC,GDP_control,80
Central Asia,comm others,biomass,biomass,2010,BC,GDP_control,92
Central Asia,comm others,coal,coal,2010,BC,GDP_control,90
Central Asia,comm others,gas,gas,2010,BC,GDP_control,80
Central Asia,comm others,refined liquids,refined liquids,2010,BC,GDP_control,50
Central Asia,electricity,coal,coal (conv pul),2010,BC,GDP_control,50
Central Asia,electricity,gas,gas (steam/CT),2010,BC,GDP_control,50
Central Asia,electricity,refined liquids,refined liquids (steam/CT),2010,BC,GDP_control,100
Central Asia,industrial energy use,biomass,biomass,2010,BC,GDP_control,98
Central Asia,industrial energy use,coal,coal,2010,BC,GDP_control,90
Central Asia,industrial energy use,gas,gas,2010,BC,GDP_control,50
Central Asia,industrial energy use,refined liquids,refined liquids,2010,BC,GDP_control,70
Central Asia,N fertilizer,gas,gas,2010,BC,GDP_control,50
Central Asia,resid heating,biomass,biomass,2010,BC,GDP_control,92
Central Asia,resid heating,coal,coal,2010,BC,GDP_control,90
Central Asia,resid heating,gas,gas,2010,BC,GDP_control,80
Central Asia,resid others,coal,coal,2010,BC,GDP_control,90
Central Asia,resid others,gas,gas,2010,BC,GDP_control,80
Central Asia,resid others,refined liquids,refined liquids,2010,BC,GDP_control,50
Central Asia,transportation,coal,coal,2010,BC,GDP_control,85
Central Asia,transportation,refined liquids,refined liquids,2010,BC,GDP_control,84
Central Asia,comm heating,biomass,biomass,2010,OC,GDP_control,90
Central Asia,comm heating,coal,coal,2010,OC,GDP_control,90
Central Asia,comm heating,gas,gas,2010,OC,GDP_control,50
Central Asia,comm others,biomass,biomass,2010,OC,GDP_control,90
Central Asia,comm others,coal,coal,2010,OC,GDP_control,90
Central Asia,comm others,gas,gas,2010,OC,GDP_control,50
Central Asia,comm others,refined liquids,refined liquids,2010,OC,GDP_control,50
Central Asia,electricity,coal,coal (conv pul),2010,OC,GDP_control,50
Central Asia,electricity,gas,gas (steam/CT),2010,OC,GDP_control,50
Central Asia,electricity,refined liquids,refined liquids (steam/CT),2010,OC,GDP_control,100
Central Asia,industrial energy use,biomass,biomass,2010,OC,GDP_control,96
Central Asia,industrial energy use,coal,coal,2010,OC,GDP_control,95
Central Asia,industrial energy use,gas,gas,2010,OC,GDP_control,50
Central Asia,industrial energy use,refined liquids,refined liquids,2010,OC,GDP_control,90
Central Asia,N fertilizer,gas,gas,2010,OC,GDP_control,50
Central Asia,resid heating,biomass,biomass,2010,OC,GDP_control,90
Central Asia,resid heating,coal,coal,2010,OC,GDP_control,90
Central Asia,resid heating,gas,gas,2010,OC,GDP_control,50
Central Asia,resid others,coal,coal,2010,OC,GDP_control,90
Central Asia,resid others,gas,gas,2010,OC,GDP_control,50
Central Asia,resid others,refined liquids,refined liquids,2010,OC,GDP_control,50
Central Asia,transportation,coal,coal,2010,OC,GDP_control,50
Central Asia,transportation,refined liquids,refined liquids,2010,OC,GDP_control,88
China,comm heating,coal,coal,2010,BC,GDP_control,90
China,comm heating,gas,gas,2010,BC,GDP_control,80
China,comm heating,refined liquids,refined liquids,2010,BC,GDP_control,50
China,comm others,biomass,biomass,2010,BC,GDP_control,92
China,comm others,coal,coal,2010,BC,GDP_control,90
China,comm others,gas,gas,2010,BC,GDP_control,80
China,comm others,refined liquids,refined liquids,2010,BC,GDP_control,50
China,electricity,biomass,biomass (conv),2010,BC,GDP_control,50
China,electricity,coal,coal (conv pul),2010,BC,GDP_control,50
China,electricity,gas,gas (steam/CT),2010,BC,GDP_control,50
China,electricity,refined liquids,refined liquids (steam/CT),2010,BC,GDP_control,100
China,industrial energy use,biomass,biomass,2010,BC,GDP_control,98
China,industrial energy use,coal,coal,2010,BC,GDP_control,90
China,industrial energy use,gas,gas,2010,BC,GDP_control,50
China,industrial energy use,refined liquids,refined liquids,2010,BC,GDP_control,70
China,N fertilizer,coal,coal,2010,BC,GDP_control,50
China,N fertilizer,gas,gas,2010,BC,GDP_control,50
China,N fertilizer,refined liquids,refined liquids,2010,BC,GDP_control,50
China,resid heating,coal,coal,2010,BC,GDP_control,90
China,resid heating,gas,gas,2010,BC,GDP_control,80
China,resid heating,refined liquids,refined liquids,2010,BC,GDP_control,50
China,resid others,biomass,biomass,2010,BC,GDP_control,92
China,resid others,coal,coal,2010,BC,GDP_control,90
China,resid others,gas,gas,2010,BC,GDP_control,80
China,resid others,refined liquids,refined liquids,2010,BC,GDP_control,50
China,transportation,coal,coal,2010,BC,GDP_control,85
China,transportation,refined liquids,refined liquids,2010,BC,GDP_control,84
China,comm heating,coal,coal,2010,OC,GDP_control,90
China,comm heating,gas,gas,2010,OC,GDP_control,50
China,comm heating,refined liquids,refined liquids,2010,OC,GDP_control,50
China,comm others,biomass,biomass,2010,OC,GDP_control,90
China,comm others,coal,coal,2010,OC,GDP_control,90
China,comm others,gas,gas,2010,OC,GDP_control,50
China,comm others,refined liquids,refined liquids,2010,OC,GDP_control,50
China,electricity,biomass,biomass (conv),2010,OC,GDP_control,50
China,electricity,coal,coal (conv pul),2010,OC,GDP_control,50
China,electricity,gas,gas (steam/CT),2010,OC,GDP_control,50
China,electricity,refined liquids,refined liquids (steam/CT),2010,OC,GDP_control,100
China,industrial energy use,biomass,biomass,2010,OC,GDP_control,96
China,industrial energy use,coal,coal,2010,OC,GDP_control,95
China,industrial energy use,gas,gas,2010,OC,GDP_control,50
China,industrial energy use,refined liquids,refined liquids,2010,OC,GDP_control,90
China,N fertilizer,coal,coal,2010,OC,GDP_control,50
China,N fertilizer,gas,gas,2010,OC,GDP_control,50
China,N fertilizer,refined liquids,refined liquids,2010,OC,GDP_control,50
China,resid heating,coal,coal,2010,OC,GDP_control,90
China,resid heating,gas,gas,2010,OC,GDP_control,50
China,resid heating,refined liquids,refined liquids,2010,OC,GDP_control,50
China,resid others,biomass,biomass,2010,OC,GDP_control,90
China,resid others,coal,coal,2010,OC,GDP_control,90
China,resid others,gas,gas,2010,OC,GDP_control,50
China,resid others,refined liquids,refined liquids,2010,OC,GDP_control,50
China,transportation,coal,coal,2010,OC,GDP_control,50
China,transportation,refined liquids,refined liquids,2010,OC,GDP_control,88
EU-12,comm heating,biomass,biomass,2010,BC,GDP_control,92
EU-12,comm heating,coal,coal,2010,BC,GDP_control,90
EU-12,comm heating,gas,gas,2010,BC,GDP_control,80
EU-12,comm heating,refined liquids,refined liquids,2010,BC,GDP_control,50
EU-12,comm others,coal,coal,2010,BC,GDP_control,90
EU-12,comm others,gas,gas,2010,BC,GDP_control,80
EU-12,comm others,refined liquids,refined liquids,2010,BC,GDP_control,50
EU-12,electricity,biomass,biomass (conv),2010,BC,GDP_control,50
EU-12,electricity,coal,coal (conv pul),2010,BC,GDP_control,50
EU-12,electricity,gas,gas (steam/CT),2010,BC,GDP_control,50
EU-12,electricity,refined liquids,refined liquids (steam/CT),2010,BC,GDP_control,100
EU-12,industrial energy use,biomass,biomass,2010,BC,GDP_control,98
EU-12,industrial energy use,coal,coal,2010,BC,GDP_control,90
EU-12,industrial energy use,gas,gas,2010,BC,GDP_control,50
EU-12,industrial energy use,refined liquids,refined liquids,2010,BC,GDP_control,70
EU-12,N fertilizer,gas,gas,2010,BC,GDP_control,50
EU-12,N fertilizer,refined liquids,refined liquids,2010,BC,GDP_control,50
EU-12,resid heating,biomass,biomass,2010,BC,GDP_control,92
EU-12,resid heating,coal,coal,2010,BC,GDP_control,90
EU-12,resid heating,gas,gas,2010,BC,GDP_control,80
EU-12,resid heating,refined liquids,refined liquids,2010,BC,GDP_control,50
EU-12,resid others,coal,coal,2010,BC,GDP_control,90
EU-12,resid others,gas,gas,2010,BC,GDP_control,80
EU-12,resid others,refined liquids,refined liquids,2010,BC,GDP_control,50
EU-12,transportation,coal,coal,2010,BC,GDP_control,85
EU-12,transportation,refined liquids,refined liquids,2010,BC,GDP_control,84
EU-12,comm heating,biomass,biomass,2010,OC,GDP_control,90
EU-12,comm heating,coal,coal,2010,OC,GDP_control,90
EU-12,comm heating,gas,gas,2010,OC,GDP_control,50
EU-12,comm heating,refined liquids,refined liquids,2010,OC,GDP_control,50
EU-12,comm others,coal,coal,2010,OC,GDP_control,90
EU-12,comm others,gas,gas,2010,OC,GDP_control,50
EU-12,comm others,refined liquids,refined liquids,2010,OC,GDP_control,50
EU-12,electricity,biomass,biomass (conv),2010,OC,GDP_control,50
EU-12,electricity,coal,coal (conv pul),2010,OC,GDP_control,50
EU-12,electricity,gas,gas (steam/CT),2010,OC,GDP_control,50
EU-12,electricity,refined liquids,refined liquids (steam/CT),2010,OC,GDP_control,100
EU-12,industrial energy use,biomass,biomass,2010,OC,GDP_control,96
EU-12,industrial energy use,coal,coal,2010,OC,GDP_control,95
EU-12,industrial energy use,gas,gas,2010,OC,GDP_control,50
EU-12,industrial energy use,refined liquids,refined liquids,2010,OC,GDP_control,90
EU-12,N fertilizer,gas,gas,2010,OC,GDP_control,50
EU-12,N fertilizer,refined liquids,refined liquids,2010,OC,GDP_control,50
EU-12,resid heating,biomass,biomass,2010,OC,GDP_control,90
EU-12,resid heating,coal,coal,2010,OC,GDP_control,90
EU-12,resid heating,gas,gas,2010,OC,GDP_control,50
EU-12,resid heating,refined liquids,refined liquids,2010,OC,GDP_control,50
EU-12,resid others,coal,coal,2010,OC,GDP_control,90
EU-12,resid others,gas,gas,2010,OC,GDP_control,50
EU-12,resid others,refined liquids,refined liquids,2010,OC,GDP_control,50
EU-12,transportation,coal,coal,2010,OC,GDP_control,50
EU-12,transportation,refined liquids,refined liquids,2010,OC,GDP_control,88
EU-15,comm cooling,gas,gas,2010,BC,GDP_control,80
EU-15,comm heating,biomass,biomass,2010,BC,GDP_control,92
EU-15,comm heating,coal,coal,2010,BC,GDP_control,90
EU-15,comm heating,gas,gas,2010,BC,GDP_control,80
EU-15,comm heating,refined liquids,refined liquids,2010,BC,GDP_control,50
EU-15,comm others,coal,coal,2010,BC,GDP_control,90
EU-15,comm others,gas,gas,2010,BC,GDP_control,80
EU-15,comm others,refined liquids,refined liquids,2010,BC,GDP_control,50
EU-15,electricity,biomass,biomass (conv),2010,BC,GDP_control,50
EU-15,electricity,coal,coal (conv pul),2010,BC,GDP_control,50
EU-15,electricity,gas,gas (steam/CT),2010,BC,GDP_control,50
EU-15,electricity,refined liquids,refined liquids (steam/CT),2010,BC,GDP_control,100
EU-15,industrial energy use,biomass,biomass,2010,BC,GDP_control,98
EU-15,industrial energy use,coal,coal,2010,BC,GDP_control,90
EU-15,industrial energy use,gas,gas,2010,BC,GDP_control,50
EU-15,industrial energy use,refined liquids,refined liquids,2010,BC,GDP_control,70
EU-15,N fertilizer,gas,gas,2010,BC,GDP_control,50
EU-15,N fertilizer,refined liquids,refined liquids,2010,BC,GDP_control,50
EU-15,resid heating,biomass,biomass,2010,BC,GDP_control,92
EU-15,resid heating,gas,gas,2010,BC,GDP_control,80
EU-15,resid heating,refined liquids,refined liquids,2010,BC,GDP_control,50
EU-15,resid others,biomass,biomass,2010,BC,GDP_control,92
EU-15,resid others,coal,coal,2010,BC,GDP_control,90
EU-15,resid others,gas,gas,2010,BC,GDP_control,80
EU-15,resid others,refined liquids,refined liquids,2010,BC,GDP_control,50
EU-15,transportation,coal,coal,2010,BC,GDP_control,85
EU-15,transportation,refined liquids,refined liquids,2010,BC,GDP_control,84
EU-15,comm cooling,gas,gas,2010,OC,GDP_control,50
EU-15,comm heating,biomass,biomass,2010,OC,GDP_control,90
EU-15,comm heating,coal,coal,2010,OC,GDP_control,90
EU-15,comm heating,gas,gas,2010,OC,GDP_control,50
EU-15,comm heating,refined liquids,refined liquids,2010,OC,GDP_control,50
EU-15,comm others,coal,coal,2010,OC,GDP_control,90
EU-15,comm others,gas,gas,2010,OC,GDP_control,50
EU-15,comm others,refined liquids,refined liquids,2010,OC,GDP_control,50
EU-15,electricity,biomass,biomass (conv),2010,OC,GDP_control,50
EU-15,electricity,coal,coal (conv pul),2010,OC,GDP_control,50
EU-15,electricity,gas,gas (steam/CT),2010,OC,GDP_control,50
EU-15,electricity,refined liquids,refined liquids (steam/CT),2010,OC,GDP_control,100
EU-15,industrial energy use,biomass,biomass,2010,OC,GDP_control,96
EU-15,industrial energy use,coal,coal,2010,OC,GDP_control,95
EU-15,industrial energy use,gas,gas,2010,OC,GDP_control,50
EU-15,industrial energy use,refined liquids,refined liquids,2010,OC,GDP_control,90
EU-15,N fertilizer,gas,gas,2010,OC,GDP_control,50
EU-15,N fertilizer,refined liquids,refined liquids,2010,OC,GDP_control,50
EU-15,resid heating,biomass,biomass,2010,OC,GDP_control,90
EU-15,resid heating,gas,gas,2010,OC,GDP_control,50
EU-15,resid heating,refined liquids,refined liquids,2010,OC,GDP_control,50
EU-15,resid others,biomass,biomass,2010,OC,GDP_control,90
EU-15,resid others,coal,coal,2010,OC,GDP_control,90
EU-15,resid others,gas,gas,2010,OC,GDP_control,50
EU-15,resid others,refined liquids,refined liquids,2010,OC,GDP_control,50
EU-15,transportation,coal,coal,2010,OC,GDP_control,50
EU-15,transportation,refined liquids,refined liquids,2010,OC,GDP_control,88
Europe_Eastern,comm heating,biomass,biomass,2010,BC,GDP_control,92
Europe_Eastern,comm heating,gas,gas,2010,BC,GDP_control,80
Europe_Eastern,comm others,coal,coal,2010,BC,GDP_control,90
Europe_Eastern,comm others,gas,gas,2010,BC,GDP_control,80
Europe_Eastern,comm others,refined liquids,refined liquids,2010,BC,GDP_control,50
Europe_Eastern,electricity,coal,coal (conv pul),2010,BC,GDP_control,50
Europe_Eastern,electricity,gas,gas (steam/CT),2010,BC,GDP_control,50
Europe_Eastern,electricity,refined liquids,refined liquids (steam/CT),2010,BC,GDP_control,100
Europe_Eastern,industrial energy use,biomass,biomass,2010,BC,GDP_control,98
Europe_Eastern,industrial energy use,coal,coal,2010,BC,GDP_control,90
Europe_Eastern,industrial energy use,gas,gas,2010,BC,GDP_control,50
Europe_Eastern,industrial energy use,refined liquids,refined liquids,2010,BC,GDP_control,70
Europe_Eastern,N fertilizer,gas,gas,2010,BC,GDP_control,50
Europe_Eastern,resid heating,biomass,biomass,2010,BC,GDP_control,92
Europe_Eastern,resid heating,gas,gas,2010,BC,GDP_control,80
Europe_Eastern,resid others,coal,coal,2010,BC,GDP_control,90
Europe_Eastern,resid others,gas,gas,2010,BC,GDP_control,80
Europe_Eastern,resid others,refined liquids,refined liquids,2010,BC,GDP_control,50
Europe_Eastern,transportation,coal,coal,2010,BC,GDP_control,85
Europe_Eastern,transportation,refined liquids,refined liquids,2010,BC,GDP_control,84
Europe_Eastern,comm heating,biomass,biomass,2010,OC,GDP_control,90
Europe_Eastern,comm heating,gas,gas,2010,OC,GDP_control,50
Europe_Eastern,comm others,coal,coal,2010,OC,GDP_control,90
Europe_Eastern,comm others,gas,gas,2010,OC,GDP_control,50
Europe_Eastern,comm others,refined liquids,refined liquids,2010,OC,GDP_control,50
Europe_Eastern,electricity,coal,coal (conv pul),2010,OC,GDP_control,50
Europe_Eastern,electricity,gas,gas (steam/CT),2010,OC,GDP_control,50
Europe_Eastern,electricity,refined liquids,refined liquids (steam/CT),2010,OC,GDP_control,100
Europe_Eastern,industrial energy use,biomass,biomass,2010,OC,GDP_control,96
Europe_Eastern,industrial energy use,coal,coal,2010,OC,GDP_control,95
Europe_Eastern,industrial energy use,gas,gas,2010,OC,GDP_control,50
Europe_Eastern,industrial energy use,refined liquids,refined liquids,2010,OC,GDP_control,90
Europe_Eastern,N fertilizer,gas,gas,2010,OC,GDP_control,50
Europe_Eastern,resid heating,biomass,biomass,2010,OC,GDP_control,90
Europe_Eastern,resid heating,gas,gas,2010,OC,GDP_control,50
Europe_Eastern,resid others,coal,coal,2010,OC,GDP_control,90
Europe_Eastern,resid others,gas,gas,2010,OC,GDP_control,50
Europe_Eastern,resid others,refined liquids,refined liquids,2010,OC,GDP_control,50
Europe_Eastern,transportation,coal,coal,2010,OC,GDP_control,50
Europe_Eastern,transportation,refined liquids,refined liquids,2010,OC,GDP_control,88
Europe_Non_EU,comm heating,biomass,biomass,2010,BC,GDP_control,92
Europe_Non_EU,comm heating,coal,coal,2010,BC,GDP_control,90
Europe_Non_EU,comm heating,gas,gas,2010,BC,GDP_control,80
Europe_Non_EU,comm heating,refined liquids,refined liquids,2010,BC,GDP_control,50
Europe_Non_EU,comm others,gas,gas,2010,BC,GDP_control,80
Europe_Non_EU,comm others,refined liquids,refined liquids,2010,BC,GDP_control,50
Europe_Non_EU,electricity,biomass,biomass (conv),2010,BC,GDP_control,50
Europe_Non_EU,electricity,coal,coal (conv pul),2010,BC,GDP_control,50
Europe_Non_EU,electricity,gas,gas (steam/CT),2010,BC,GDP_control,50
Europe_Non_EU,electricity,refined liquids,refined liquids (steam/CT),2010,BC,GDP_control,100
Europe_Non_EU,industrial energy use,biomass,biomass,2010,BC,GDP_control,98
Europe_Non_EU,industrial energy use,coal,coal,2010,BC,GDP_control,90
Europe_Non_EU,industrial energy use,gas,gas,2010,BC,GDP_control,50
Europe_Non_EU,industrial energy use,refined liquids,refined liquids,2010,BC,GDP_control,70
Europe_Non_EU,N fertilizer,gas,gas,2010,BC,GDP_control,50
Europe_Non_EU,N fertilizer,refined liquids,refined liquids,2010,BC,GDP_control,50
Europe_Non_EU,resid heating,biomass,biomass,2010,BC,GDP_control,92
Europe_Non_EU,resid heating,coal,coal,2010,BC,GDP_control,90
Europe_Non_EU,resid heating,gas,gas,2010,BC,GDP_control,80
Europe_Non_EU,resid heating,refined liquids,refined liquids,2010,BC,GDP_control,50
Europe_Non_EU,resid others,coal,coal,2010,BC,GDP_control,90
Europe_Non_EU,resid others,gas,gas,2010,BC,GDP_control,80
Europe_Non_EU,resid others,refined liquids,refined liquids,2010,BC,GDP_control,50
Europe_Non_EU,transportation,coal,coal,2010,BC,GDP_control,85
Europe_Non_EU,transportation,refined liquids,refined liquids,2010,BC,GDP_control,84
Europe_Non_EU,comm heating,biomass,biomass,2010,OC,GDP_control,90
Europe_Non_EU,comm heating,coal,coal,2010,OC,GDP_control,90
Europe_Non_EU,comm heating,gas,gas,2010,OC,GDP_control,50
Europe_Non_EU,comm heating,refined liquids,refined liquids,2010,OC,GDP_control,50
Europe_Non_EU,comm others,gas,gas,2010,OC,GDP_control,50
Europe_Non_EU,comm others,refined liquids,refined liquids,2010,OC,GDP_control,50
Europe_Non_EU,electricity,biomass,biomass (conv),2010,OC,GDP_control,50
Europe_Non_EU,electricity,coal,coal (conv pul),2010,OC,GDP_control,50
Europe_Non_EU,electricity,gas,gas (steam/CT),2010,OC,GDP_control,50
Europe_Non_EU,electricity,refined liquids,refined liquids (steam/CT),2010,OC,GDP_control,100
Europe_Non_EU,industrial energy use,biomass,biomass,2010,OC,GDP_control,96
Europe_Non_EU,industrial energy use,coal,coal,2010,OC,GDP_control,95
Europe_Non_EU,industrial energy use,gas,gas,2010,OC,GDP_control,50
Europe_Non_EU,industrial energy use,refined liquids,refined liquids,2010,OC,GDP_control,90
Europe_Non_EU,N fertilizer,gas,gas,2010,OC,GDP_control,50
Europe_Non_EU,N fertilizer,refined liquids,refined liquids,2010,OC,GDP_control,50
Europe_Non_EU,resid heating,biomass,biomass,2010,OC,GDP_control,90
Europe_Non_EU,resid heating,coal,coal,2010,OC,GDP_control,90
Europe_Non_EU,resid heating,gas,gas,2010,OC,GDP_control,50
Europe_Non_EU,resid heating,refined liquids,refined liquids,2010,OC,GDP_control,50
Europe_Non_EU,resid others,coal,coal,2010,OC,GDP_control,90
Europe_Non_EU,resid others,gas,gas,2010,OC,GDP_control,50
Europe_Non_EU,resid others,refined liquids,refined liquids,2010,OC,GDP_control,50
Europe_Non_EU,transportation,coal,coal,2010,OC,GDP_control,50
Europe_Non_EU,transportation,refined liquids,refined liquids,2010,OC,GDP_control,88
European Free Trade Association,comm heating,biomass,biomass,2010,BC,GDP_control,92
European Free Trade Association,comm heating,coal,coal,2010,BC,GDP_control,90
European Free Trade Association,comm heating,gas,gas,2010,BC,GDP_control,80
European Free Trade Association,comm heating,refined liquids,refined liquids,2010,BC,GDP_control,50
European Free Trade Association,comm others,gas,gas,2010,BC,GDP_control,80
European Free Trade Association,comm others,refined liquids,refined liquids,2010,BC,GDP_control,50
European Free Trade Association,electricity,biomass,biomass (conv),2010,BC,GDP_control,50
European Free Trade Association,electricity,coal,coal (conv pul),2010,BC,GDP_control,50
European Free Trade Association,electricity,gas,gas (steam/CT),2010,BC,GDP_control,50
European Free Trade Association,electricity,refined liquids,refined liquids (steam/CT),2010,BC,GDP_control,100
European Free Trade Association,industrial energy use,biomass,biomass,2010,BC,GDP_control,98
European Free Trade Association,industrial energy use,coal,coal,2010,BC,GDP_control,90
European Free Trade Association,industrial energy use,gas,gas,2010,BC,GDP_control,50
European Free Trade Association,industrial energy use,refined liquids,refined liquids,2010,BC,GDP_control,70
European Free Trade Association,N fertilizer,gas,gas,2010,BC,GDP_control,50
European Free Trade Association,N fertilizer,refined liquids,refined liquids,2010,BC,GDP_control,50
European Free Trade Association,resid heating,biomass,biomass,2010,BC,GDP_control,92
European Free Trade Association,resid heating,gas,gas,2010,BC,GDP_control,80
European Free Trade Association,resid heating,refined liquids,refined liquids,2010,BC,GDP_control,50
European Free Trade Association,resid others,coal,coal,2010,BC,GDP_control,90
European Free Trade Association,resid others,gas,gas,2010,BC,GDP_control,80
European Free Trade Association,resid others,refined liquids,refined liquids,2010,BC,GDP_control,50
European Free Trade Association,transportation,refined liquids,refined liquids,2010,BC,GDP_control,84
European Free Trade Association,comm heating,biomass,biomass,2010,OC,GDP_control,90
European Free Trade Association,comm heating,coal,coal,2010,OC,GDP_control,90
European Free Trade Association,comm heating,gas,gas,2010,OC,GDP_control,50
European Free Trade Association,comm heating,refined liquids,refined liquids,2010,OC,GDP_control,50
European Free Trade Association,comm others,gas,gas,2010,OC,GDP_control,50
European Free Trade Association,comm others,refined liquids,refined liquids,2010,OC,GDP_control,50
