# File: steel_prod.csv
# Title: Crude steel production by country and sector
# Units: Thousand tonnes
# Description: National steel production
# Source: World Steel Association
# Column types: cinnnc
# ----------
iso,year,BLASTFUR,EAF with scrap,EAF with DRI,unit_prod
syr,1978,0,13.6,43.1,thousand tons
tha,1978,0,408,1290,thousand tons
tto,1978,0,144,456,thousand tons
tun,1978,138,11.5,36.3,thousand tons
tur,1978,4240,2360,5010,thousand tons
twn,1978,8080,1350,4260,thousand tons
ukr,1978,24900,255,543,thousand tons
ury,1978,0,7.39,23.4,thousand tons
usa,1978,43700,29100,9690,thousand tons
uzb,1978,92.4,57,180,thousand tons
ven,1978,0.324,746,2360,thousand tons
vnm,1978,0,59.5,188,thousand tons
zaf,1978,3790,740,2340,thousand tons
alb,1979,0,1.32,2.81,thousand tons
are,1979,0,17.9,56.6,thousand tons
arg,1979,1840,447,1410,thousand tons
aus,1979,4990,219,693,thousand tons
aut,1979,4270,252,198,thousand tons
bel,1979,7370,1260,992,thousand tons
bgr,1979,1170,279,219,thousand tons
bih,1979,44.3,6.22,13.2,thousand tons
blr,1979,0,398,845,thousand tons
bra,1979,18300,1140,3610,thousand tons
can,1979,7950,4330,1440,thousand tons
che,1979,0,463,364,thousand tons
chl,1979,939,43,136,thousand tons
chn,1979,89600,15900,836,thousand tons
col,1979,231,75.5,239,thousand tons
cub,1979,0,66.7,211,thousand tons
cze,1979,4710,242,190,thousand tons
deu,1979,27300,6170,4850,thousand tons
dnk,1979,0,371,292,thousand tons
dom,1979,0.0827,7.72,24.5,thousand tons
dza,1979,622,17.9,56.6,thousand tons
ecu,1979,0,11.5,36.5,thousand tons
egy,1979,975,330,1040,thousand tons
esp,1979,3490,5400,4240,thousand tons
est,1979,0.827,0,0,thousand tons
fin,1979,2590,447,351,thousand tons
fra,1979,10400,3910,3070,thousand tons
gbr,1979,9560,1610,1260,thousand tons
gha,1979,0,4.96,15.7,thousand tons
grc,1979,0,504,396,thousand tons
gtm,1979,0.414,33.1,105,thousand tons
hrv,1979,0,18.8,39.9,thousand tons
hun,1979,1360,108,84.8,thousand tons
idn,1979,0,566,1790,thousand tons
ind,1979,14300,1920,6090,thousand tons
irl,1979,0,167,131,thousand tons
irn,1979,1820,874,2770,thousand tons
isr,1979,0,55.6,176,thousand tons
ita,1979,8830,7450,5850,thousand tons
jor,1979,0,5.96,18.9,thousand tons
jpn,1979,62700,8880,16500,thousand tons
kaz,1979,3950,0,0,thousand tons
ken,1979,0,3.97,12.6,thousand tons
kor,1979,20400,7630,7630,thousand tons
lby,1979,0,209,663,thousand tons
lka,1979,0,5.96,18.9,thousand tons
lux,1979,0,1190,936,thousand tons
lva,1979,410,0.927,0.728,thousand tons
mar,1979,4.14,0,0,thousand tons
mda,1979,0,240,511,thousand tons
mex,1979,4330,2060,6540,thousand tons
mkd,1979,0.0827,42.6,90.5,thousand tons
mmr,1979,0,4.96,15.7,thousand tons
mys,1979,0,725,2300,thousand tons
nld,1979,4560,73.7,57.9,thousand tons
nor,1979,0,315,247,thousand tons
nzl,1979,457,29.7,94.1,thousand tons
pak,1979,703,19.9,62.9,thousand tons
per,1979,237,92.2,292,thousand tons
phl,1979,0,84.6,268,thousand tons
pol,1979,5960,1520,1200,thousand tons
prk,1979,1240,0,0,thousand tons
prt,1979,339,314,247,thousand tons
pry,1979,63.7,0,0,thousand tons
qat,1979,0,145,458,thousand tons
rom,1979,2770,614,483,thousand tons
rus,1979,41800,2280,4840,thousand tons
sau,1979,0,592,1870,thousand tons
sgp,1979,0,120,379,thousand tons
slv,1979,0.414,8.04,25.5,thousand tons
svk,1979,2850,133,104,thousand tons
svn,1979,0,240,189,thousand tons
swe,1979,2680,923,725,thousand tons
syr,1979,0,13.9,44,thousand tons
tha,1979,0,417,1320,thousand tons
tto,1979,0,147,466,thousand tons
tun,1979,141,11.7,37.1,thousand tons
tur,1979,4330,2410,5120,thousand tons
twn,1979,8250,1370,4350,thousand tons
ukr,1979,25500,261,554,thousand tons
ury,1979,0,7.55,23.9,thousand tons
usa,1979,44700,29700,9900,thousand tons
uzb,1979,94.3,58.2,184,thousand tons
ven,1979,0.331,761,2410,thousand tons
vnm,1979,0,60.8,192,thousand tons
zaf,1979,3870,756,2390,thousand tons
alb,1980,0,1.35,2.87,thousand tons
are,1980,0,18.2,57.8,thousand tons
arg,1980,1880,456,1440,thousand tons
aus,1980,5090,223,707,thousand tons
aut,1980,4360,257,202,thousand tons
bel,1980,7530,1290,1010,thousand tons
bgr,1980,1200,285,224,thousand tons
bih,1980,45.2,6.35,13.5,thousand tons
blr,1980,0,406,863,thousand tons
bra,1980,18700,1160,3690,thousand tons
can,1980,8120,4430,1480,thousand tons
che,1980,0,473,372,thousand tons
chl,1980,959,43.9,139,thousand tons
chn,1980,91500,16200,853,thousand tons
col,1980,236,77.1,244,thousand tons
cub,1980,0,68.1,216,thousand tons
cze,1980,4810,247,194,thousand tons
deu,1980,27900,6300,4950,thousand tons
dnk,1980,0,379,298,thousand tons
dom,1980,0.0845,7.88,25,thousand tons
dza,1980,635,18.2,57.8,thousand tons
ecu,1980,0,11.8,37.2,thousand tons
egy,1980,995,336,1070,thousand tons
esp,1980,3560,5510,4330,thousand tons
est,1980,0.845,0,0,thousand tons
fin,1980,2640,456,359,thousand tons
fra,1980,10600,3990,3140,thousand tons
gbr,1980,9760,1640,1290,thousand tons
gha,1980,0,5.07,16,thousand tons
grc,1980,0,515,404,thousand tons
gtm,1980,0.422,33.7,107,thousand tons
hrv,1980,0,19.2,40.8,thousand tons
hun,1980,1380,110,86.6,thousand tons
idn,1980,0,577,1830,thousand tons
ind,1980,14600,1960,6220,thousand tons
irl,1980,0,170,134,thousand tons
irn,1980,1860,892,2820,thousand tons
isr,1980,0,56.8,180,thousand tons
ita,1980,9020,7610,5980,thousand tons
jor,1980,0,6.08,19.3,thousand tons
jpn,1980,64000,9060,16800,thousand tons
kaz,1980,4030,0,0,thousand tons
ken,1980,0,4.05,12.8,thousand tons
kor,1980,20800,7790,7790,thousand tons
lby,1980,0,214,677,thousand tons
lka,1980,0,6.08,19.3,thousand tons
lux,1980,0,1220,955,thousand tons
lva,1980,419,0.946,0.743,thousand tons
mar,1980,4.22,0,0,thousand tons
mda,1980,0,245,521,thousand tons
mex,1980,4420,2110,6670,thousand tons
mkd,1980,0.0845,43.5,92.4,thousand tons
mmr,1980,0,5.07,16,thousand tons
mys,1980,0,740,2340,thousand tons
nld,1980,4650,75.2,59.1,thousand tons
nor,1980,0,321,252,thousand tons
nzl,1980,467,30.3,96,thousand tons
pak,1980,718,20.3,64.2,thousand tons
per,1980,242,94.1,298,thousand tons
phl,1980,0,86.3,273,thousand tons
pol,1980,6090,1560,1220,thousand tons
prk,1980,1270,0,0,thousand tons
prt,1980,346,321,252,thousand tons
pry,1980,65,0,0,thousand tons
qat,1980,0,148,468,thousand tons
rom,1980,2830,627,493,thousand tons
rus,1980,42700,2330,4940,thousand tons
sau,1980,0,604,1910,thousand tons
sgp,1980,0,122,387,thousand tons
slv,1980,0.422,8.21,26,thousand tons
svk,1980,2910,135,106,thousand tons
svn,1980,0,245,193,thousand tons
swe,1980,2730,942,740,thousand tons
syr,1980,0,14.2,44.9,thousand tons
tha,1980,0,426,1350,thousand tons
tto,1980,0,150,476,thousand tons
tun,1980,144,12,37.9,thousand tons
tur,1980,4420,2460,5220,thousand tons
twn,1980,8420,1400,4440,thousand tons
ukr,1980,26000,266,566,thousand tons
ury,1980,0,7.7,24.4,thousand tons
usa,1980,45600,30300,10100,thousand tons
uzb,1980,96.3,59.4,188,thousand tons
ven,1980,0.338,777,2460,thousand tons
vnm,1980,0,62,196,thousand tons
zaf,1980,3950,771,2440,thousand tons
alb,1981,0,1.35,2.87,thousand tons
are,1981,0,18.3,57.8,thousand tons
arg,1981,1880,456,1450,thousand tons
aus,1981,5100,224,708,thousand tons
aut,1981,4370,257,202,thousand tons
bel,1981,7530,1290,1010,thousand tons
bgr,1981,1200,285,224,thousand tons
bih,1981,45.2,6.36,13.5,thousand tons
blr,1981,0,406,864,thousand tons
bra,1981,18700,1170,3690,thousand tons
can,1981,8120,4430,1480,thousand tons
che,1981,0,473,372,thousand tons
chl,1981,960,43.9,139,thousand tons
chn,1981,91600,16200,854,thousand tons
col,1981,236,77.2,244,thousand tons
cub,1981,0,68.2,216,thousand tons
cze,1981,4810,248,195,thousand tons
deu,1981,27900,6310,4960,thousand tons
dnk,1981,0,379,298,thousand tons
dom,1981,0.0846,7.89,25,thousand tons
dza,1981,636,18.3,57.8,thousand tons
ecu,1981,0,11.8,37.3,thousand tons
egy,1981,996,337,1070,thousand tons
esp,1981,3560,5520,4340,thousand tons
est,1981,0.846,0,0,thousand tons
fin,1981,2650,457,359,thousand tons
fra,1981,10600,4000,3140,thousand tons
gbr,1981,9770,1640,1290,thousand tons
gha,1981,0,5.07,16.1,thousand tons
grc,1981,0,515,405,thousand tons
gtm,1981,0.423,33.8,107,thousand tons
hrv,1981,0,19.2,40.8,thousand tons
hun,1981,1380,110,86.7,thousand tons
idn,1981,0,578,1830,thousand tons
ind,1981,14600,1970,6230,thousand tons
irl,1981,0,170,134,thousand tons
irn,1981,1860,893,2830,thousand tons
isr,1981,0,56.8,180,thousand tons
ita,1981,9030,7620,5980,thousand tons
jor,1981,0,6.09,19.3,thousand tons
jpn,1981,64100,9070,16900,thousand tons
kaz,1981,4030,0,0,thousand tons
ken,1981,0,4.06,12.9,thousand tons
kor,1981,20900,7800,7800,thousand tons
lby,1981,0,214,678,thousand tons
lka,1981,0,6.09,19.3,thousand tons
lux,1981,0,1220,956,thousand tons
lva,1981,419,0.947,0.744,thousand tons
mar,1981,4.23,0,0,thousand tons
mda,1981,0,246,522,thousand tons
mex,1981,4430,2110,6680,thousand tons
mkd,1981,0.0846,43.5,92.5,thousand tons
mmr,1981,0,5.07,16.1,thousand tons
mys,1981,0,741,2350,thousand tons
nld,1981,4660,75.3,59.2,thousand tons
nor,1981,0,321,253,thousand tons
nzl,1981,467,30.4,96.1,thousand tons
pak,1981,719,20.3,64.3,thousand tons
per,1981,242,94.2,298,thousand tons
phl,1981,0,86.4,274,thousand tons
pol,1981,6090,1560,1220,thousand tons
prk,1981,1270,0,0,thousand tons
prt,1981,347,321,252,thousand tons
pry,1981,65.1,0,0,thousand tons
qat,1981,0,148,468,thousand tons
rom,1981,2830,628,493,thousand tons
rus,1981,42700,2330,4950,thousand tons
sau,1981,0,605,1920,thousand tons
sgp,1981,0,122,387,thousand tons
slv,1981,0.423,8.22,26,thousand tons
svk,1981,2910,135,106,thousand tons
svn,1981,0,246,193,thousand tons
swe,1981,2740,943,741,thousand tons
syr,1981,0,14.2,45,thousand tons
tha,1981,0,426,1350,thousand tons
tto,1981,0,150,476,thousand tons
tun,1981,144,12,37.9,thousand tons
tur,1981,4420,2460,5230,thousand tons
twn,1981,8430,1410,4450,thousand tons
ukr,1981,26000,267,566,thousand tons
ury,1981,0,7.71,24.4,thousand tons
usa,1981,45600,30300,10100,thousand tons
uzb,1981,96.4,59.5,188,thousand tons
ven,1981,0.338,778,2460,thousand tons
vnm,1981,0,62.1,197,thousand tons
zaf,1981,3950,772,2450,thousand tons
alb,1982,0,1.35,2.88,thousand tons
are,1982,0,18.3,57.9,thousand tons
arg,1982,1880,457,1450,thousand tons
aus,1982,5100,224,709,thousand tons
aut,1982,4370,258,202,thousand tons
bel,1982,7540,1290,1020,thousand tons
bgr,1982,1200,285,224,thousand tons
bih,1982,45.3,6.37,13.5,thousand tons
blr,1982,0,407,865,thousand tons
bra,1982,18700,1170,3700,thousand tons
can,1982,8130,4430,1480,thousand tons
che,1982,0,474,372,thousand tons
chl,1982,961,44,139,thousand tons
chn,1982,91700,16200,855,thousand tons
col,1982,237,77.3,245,thousand tons
cub,1982,0,68.3,216,thousand tons
cze,1982,4820,248,195,thousand tons
deu,1982,28000,6320,4960,thousand tons
dnk,1982,0,380,298,thousand tons
dom,1982,0.0846,7.9,25,thousand tons
dza,1982,637,18.3,57.9,thousand tons
ecu,1982,0,11.8,37.3,thousand tons
egy,1982,997,337,1070,thousand tons
esp,1982,3570,5530,4340,thousand tons
est,1982,0.846,0,0,thousand tons
fin,1982,2650,457,359,thousand tons
fra,1982,10600,4000,3140,thousand tons
gbr,1982,9780,1640,1290,thousand tons
gha,1982,0,5.08,16.1,thousand tons
grc,1982,0,516,405,thousand tons
gtm,1982,0.423,33.8,107,thousand tons
hrv,1982,0,19.2,40.9,thousand tons
hun,1982,1390,110,86.8,thousand tons
idn,1982,0,579,1830,thousand tons
ind,1982,14600,1970,6230,thousand tons
irl,1982,0,171,134,thousand tons
irn,1982,1860,894,2830,thousand tons
isr,1982,0,56.9,180,thousand tons
ita,1982,9040,7620,5990,thousand tons
jor,1982,0,6.09,19.3,thousand tons
jpn,1982,64100,9080,16900,thousand tons
kaz,1982,4040,0,0,thousand tons
ken,1982,0,4.06,12.9,thousand tons
kor,1982,20900,7800,7800,thousand tons
lby,1982,0,214,679,thousand tons
lka,1982,0,6.09,19.3,thousand tons
lux,1982,0,1220,958,thousand tons
lva,1982,420,0.948,0.745,thousand tons
mar,1982,4.23,0,0,thousand tons
mda,1982,0,246,523,thousand tons
mex,1982,4430,2110,6690,thousand tons
mkd,1982,0.0846,43.6,92.6,thousand tons
mmr,1982,0,5.08,16.1,thousand tons
mys,1982,0,741,2350,thousand tons
nld,1982,4660,75.4,59.2,thousand tons
nor,1982,0,322,253,thousand tons
nzl,1982,468,30.4,96.2,thousand tons
pak,1982,719,20.3,64.3,thousand tons
per,1982,243,94.3,299,thousand tons
phl,1982,0,86.5,274,thousand tons
pol,1982,6100,1560,1230,thousand tons
prk,1982,1270,0,0,thousand tons
prt,1982,347,321,253,thousand tons
pry,1982,65.2,0,0,thousand tons
qat,1982,0,148,469,thousand tons
rom,1982,2830,628,494,thousand tons
rus,1982,42800,2330,4960,thousand tons
sau,1982,0,606,1920,thousand tons
sgp,1982,0,122,388,thousand tons
slv,1982,0.423,8.23,26.1,thousand tons
svk,1982,2920,136,107,thousand tons
svn,1982,0,246,193,thousand tons
swe,1982,2740,944,742,thousand tons
syr,1982,0,14.2,45,thousand tons
tha,1982,0,427,1350,thousand tons
tto,1982,0,151,477,thousand tons
tun,1982,144,12,38,thousand tons
tur,1982,4430,2460,5240,thousand tons
twn,1982,8440,1410,4450,thousand tons
ukr,1982,26100,267,567,thousand tons
ury,1982,0,7.72,24.4,thousand tons
usa,1982,45700,30400,10100,thousand tons
uzb,1982,96.5,59.5,188,thousand tons
ven,1982,0.339,779,2470,thousand tons
vnm,1982,0,62.2,197,thousand tons
zaf,1982,3960,773,2450,thousand tons
alb,1983,0,1.36,2.88,thousand tons
are,1983,0,18.3,58,thousand tons
arg,1983,1890,457,1450,thousand tons
aus,1983,5110,224,710,thousand tons
aut,1983,4380,258,203,thousand tons
bel,1983,7550,1290,1020,thousand tons
bgr,1983,1200,286,224,thousand tons
bih,1983,45.3,6.37,13.5,thousand tons
blr,1983,0,407,865,thousand tons
bra,1983,18700,1170,3700,thousand tons
can,1983,8140,4440,1480,thousand tons
che,1983,0,475,373,thousand tons
chl,1983,962,44,139,thousand tons
chn,1983,91800,16300,856,thousand tons
col,1983,237,77.4,245,thousand tons
cub,1983,0,68.3,216,thousand tons
cze,1983,4820,248,195,thousand tons
deu,1983,28000,6320,4970,thousand tons
dnk,1983,0,380,299,thousand tons
dom,1983,0.0847,7.91,25.1,thousand tons
dza,1983,637,18.3,58,thousand tons
ecu,1983,0,11.8,37.4,thousand tons
egy,1983,998,338,1070,thousand tons
esp,1983,3570,5530,4350,thousand tons
est,1983,0.847,0,0,thousand tons
fin,1983,2650,458,360,thousand tons
fra,1983,10600,4010,3150,thousand tons
gbr,1983,9790,1650,1290,thousand tons
gha,1983,0,5.08,16.1,thousand tons
grc,1983,0,516,406,thousand tons
gtm,1983,0.424,33.9,107,thousand tons
hrv,1983,0,19.3,40.9,thousand tons
hun,1983,1390,111,86.9,thousand tons
idn,1983,0,579,1830,thousand tons
ind,1983,14600,1970,6240,thousand tons
irl,1983,0,171,134,thousand tons
irn,1983,1870,895,2830,thousand tons
isr,1983,0,56.9,180,thousand tons
ita,1983,9050,7630,6000,thousand tons
jor,1983,0,6.1,19.3,thousand tons
jpn,1983,64200,9090,16900,thousand tons
kaz,1983,4040,0,0,thousand tons
ken,1983,0,4.07,12.9,thousand tons
kor,1983,20900,7810,7810,thousand tons
lby,1983,0,215,679,thousand tons
lka,1983,0,6.1,19.3,thousand tons
lux,1983,0,1220,959,thousand tons
lva,1983,420,0.949,0.746,thousand tons
mar,1983,4.24,0,0,thousand tons
mda,1983,0,246,523,thousand tons
mex,1983,4440,2110,6690,thousand tons
mkd,1983,0.0847,43.6,92.7,thousand tons
mmr,1983,0,5.08,16.1,thousand tons
mys,1983,0,742,2350,thousand tons
nld,1983,4670,75.5,59.3,thousand tons
nor,1983,0,322,253,thousand tons
nzl,1983,468,30.4,96.3,thousand tons
pak,1983,720,20.3,64.4,thousand tons
per,1983,243,94.4,299,thousand tons
phl,1983,0,86.6,274,thousand tons
pol,1983,6110,1560,1230,thousand tons
prk,1983,1270,0,0,thousand tons
prt,1983,347,322,253,thousand tons
pry,1983,65.2,0,0,thousand tons
qat,1983,0,148,469,thousand tons
rom,1983,2840,629,494,thousand tons
rus,1983,42800,2330,4960,thousand tons
sau,1983,0,606,1920,thousand tons
sgp,1983,0,123,388,thousand tons
slv,1983,0.424,8.24,26.1,thousand tons
svk,1983,2920,136,107,thousand tons
svn,1983,0,246,194,thousand tons
swe,1983,2740,945,743,thousand tons
syr,1983,0,14.2,45.1,thousand tons
tha,1983,0,427,1350,thousand tons
tto,1983,0,151,477,thousand tons
tun,1983,144,12,38,thousand tons
tur,1983,4430,2470,5240,thousand tons
twn,1983,8450,1410,4460,thousand tons
ukr,1983,26100,267,568,thousand tons
ury,1983,0,7.73,24.5,thousand tons
usa,1983,45700,30400,10100,thousand tons
uzb,1983,96.6,59.6,189,thousand tons
ven,1983,0.339,780,2470,thousand tons
vnm,1983,0,62.2,197,thousand tons
zaf,1983,3960,774,2450,thousand tons
alb,1984,0,1.36,2.88,thousand tons
are,1984,0,18.3,58,thousand tons
arg,1984,1890,458,1450,thousand tons
aus,1984,5110,224,711,thousand tons
aut,1984,4380,258,203,thousand tons
bel,1984,7560,1300,1020,thousand tons
bgr,1984,1200,286,225,thousand tons
bih,1984,45.4,6.38,13.6,thousand tons
blr,1984,0,408,866,thousand tons
bra,1984,18800,1170,3700,thousand tons
can,1984,8150,4440,1480,thousand tons
che,1984,0,475,373,thousand tons
chl,1984,963,44.1,140,thousand tons
chn,1984,91900,16300,857,thousand tons
col,1984,237,77.4,245,thousand tons
cub,1984,0,68.4,217,thousand tons
cze,1984,4830,248,195,thousand tons
deu,1984,28000,6330,4970,thousand tons
dnk,1984,0,381,299,thousand tons
dom,1984,0.0848,7.92,25.1,thousand tons
dza,1984,638,18.3,58,thousand tons
ecu,1984,0,11.8,37.4,thousand tons
egy,1984,999,338,1070,thousand tons
esp,1984,3580,5540,4350,thousand tons
est,1984,0.848,0,0,thousand tons
fin,1984,2660,458,360,thousand tons
fra,1984,10600,4010,3150,thousand tons
gbr,1984,9800,1650,1290,thousand tons
gha,1984,0,5.09,16.1,thousand tons
grc,1984,0,517,406,thousand tons
gtm,1984,0.424,33.9,107,thousand tons
hrv,1984,0,19.3,41,thousand tons
hun,1984,1390,111,87,thousand tons
idn,1984,0,580,1840,thousand tons
ind,1984,14600,1970,6250,thousand tons
irl,1984,0,171,134,thousand tons
irn,1984,1870,896,2840,thousand tons
isr,1984,0,57,181,thousand tons
ita,1984,9060,7640,6000,thousand tons
jor,1984,0,6.11,19.3,thousand tons
jpn,1984,64300,9100,16900,thousand tons
kaz,1984,4050,0,0,thousand tons
ken,1984,0,4.07,12.9,thousand tons
kor,1984,20900,7820,7820,thousand tons
lby,1984,0,215,680,thousand tons
lka,1984,0,6.11,19.3,thousand tons
lux,1984,0,1220,960,thousand tons
lva,1984,421,0.95,0.747,thousand tons
mar,1984,4.24,0,0,thousand tons
mda,1984,0,246,524,thousand tons
mex,1984,4440,2120,6700,thousand tons
mkd,1984,0.0848,43.7,92.8,thousand tons
mmr,1984,0,5.09,16.1,thousand tons
mys,1984,0,743,2350,thousand tons
nld,1984,4670,75.5,59.3,thousand tons
nor,1984,0,323,253,thousand tons
nzl,1984,469,30.5,96.5,thousand tons
pak,1984,721,20.4,64.5,thousand tons
per,1984,243,94.5,299,thousand tons
phl,1984,0,86.7,275,thousand tons
pol,1984,6110,1560,1230,thousand tons
prk,1984,1270,0,0,thousand tons
prt,1984,348,322,253,thousand tons
pry,1984,65.3,0,0,thousand tons
qat,1984,0,148,470,thousand tons
rom,1984,2840,630,495,thousand tons
rus,1984,42900,2340,4970,thousand tons
sau,1984,0,607,1920,thousand tons
sgp,1984,0,123,389,thousand tons
slv,1984,0.424,8.25,26.1,thousand tons
svk,1984,2920,136,107,thousand tons
svn,1984,0,247,194,thousand tons
swe,1984,2740,946,744,thousand tons
syr,1984,0,14.3,45.1,thousand tons
tha,1984,0,428,1350,thousand tons
tto,1984,0,151,478,thousand tons
tun,1984,144,12,38,thousand tons
tur,1984,4440,2470,5250,thousand tons
twn,1984,8460,1410,4460,thousand tons
ukr,1984,26100,267,568,thousand tons
ury,1984,0,7.74,24.5,thousand tons
usa,1984,45800,30400,10100,thousand tons
uzb,1984,96.7,59.7,189,thousand tons
ven,1984,0.339,781,2470,thousand tons
vnm,1984,0,62.3,197,thousand tons
zaf,1984,3970,775,2450,thousand tons
alb,1985,0,1.36,2.89,thousand tons
are,1985,0,18.3,58.1,thousand tons
arg,1985,1890,458,1450,thousand tons
aus,1985,5120,225,711,thousand tons
aut,1985,4390,258,203,thousand tons
bel,1985,7570,1300,1020,thousand tons
bgr,1985,1210,286,225,thousand tons
bih,1985,45.4,6.39,13.6,thousand tons
blr,1985,0,408,867,thousand tons
bra,1985,18800,1170,3710,thousand tons
can,1985,8160,4450,1480,thousand tons
che,1985,0,476,374,thousand tons
chl,1985,964,44.1,140,thousand tons
chn,1985,92000,16300,858,thousand tons
col,1985,237,77.5,246,thousand tons
cub,1985,0,68.5,217,thousand tons
cze,1985,4830,249,195,thousand tons
deu,1985,28100,6340,4980,thousand tons
dnk,1985,0,381,299,thousand tons
dom,1985,0.0849,7.93,25.1,thousand tons
dza,1985,639,18.3,58.1,thousand tons
ecu,1985,0,11.8,37.4,thousand tons
egy,1985,1000,338,1070,thousand tons
esp,1985,3580,5540,4360,thousand tons
est,1985,0.849,0,0,thousand tons
fin,1985,2660,459,361,thousand tons
fra,1985,10600,4020,3150,thousand tons
gbr,1985,9810,1650,1300,thousand tons
gha,1985,0,5.1,16.1,thousand tons
grc,1985,0,517,407,thousand tons
gtm,1985,0.425,33.9,107,thousand tons
hrv,1985,0,19.3,41,thousand tons
hun,1985,1390,111,87.1,thousand tons
idn,1985,0,580,1840,thousand tons
ind,1985,14600,1980,6250,thousand tons
irl,1985,0,171,135,thousand tons
irn,1985,1870,897,2840,thousand tons
isr,1985,0,57.1,181,thousand tons
ita,1985,9070,7650,6010,thousand tons
jor,1985,0,6.11,19.4,thousand tons
jpn,1985,64400,9110,16900,thousand tons
kaz,1985,4050,0,0,thousand tons
ken,1985,0,4.08,12.9,thousand tons
kor,1985,20900,7830,7830,thousand tons
lby,1985,0,215,681,thousand tons
lka,1985,0,6.11,19.4,thousand tons
lux,1985,0,1220,961,thousand tons
lva,1985,421,0.951,0.747,thousand tons
mar,1985,4.25,0,0,thousand tons
mda,1985,0,247,524,thousand tons
mex,1985,4450,2120,6710,thousand tons
mkd,1985,0.0849,43.7,92.9,thousand tons
mmr,1985,0,5.1,16.1,thousand tons
mys,1985,0,744,2360,thousand tons
nld,1985,4680,75.6,59.4,thousand tons
nor,1985,0,323,254,thousand tons
nzl,1985,469,30.5,96.6,thousand tons
pak,1985,722,20.4,64.5,thousand tons
per,1985,244,94.6,300,thousand tons
phl,1985,0,86.8,275,thousand tons
pol,1985,6120,1560,1230,thousand tons
prk,1985,1270,0,0,thousand tons
prt,1985,348,322,253,thousand tons
pry,1985,65.4,0,0,thousand tons
qat,1985,0,149,471,thousand tons
rom,1985,2840,630,495,thousand tons
rus,1985,42900,2340,4970,thousand tons
sau,1985,0,608,1920,thousand tons
sgp,1985,0,123,389,thousand tons
slv,1985,0.425,8.25,26.1,thousand tons
svk,1985,2930,136,107,thousand tons
svn,1985,0,247,194,thousand tons
swe,1985,2750,947,744,thousand tons
syr,1985,0,14.3,45.2,thousand tons
tha,1985,0,428,1360,thousand tons
tto,1985,0,151,478,thousand tons
tun,1985,144,12,38.1,thousand tons
tur,1985,4440,2470,5250,thousand tons
twn,1985,8470,1410,4470,thousand tons
ukr,1985,26100,268,569,thousand tons
ury,1985,0,7.75,24.5,thousand tons
usa,1985,45800,30500,10200,thousand tons
uzb,1985,96.8,59.7,189,thousand tons
ven,1985,0.34,782,2480,thousand tons
vnm,1985,0,62.4,198,thousand tons
zaf,1985,3970,776,2460,thousand tons
alb,1986,0,1.38,2.93,thousand tons
are,1986,0,18.6,59,thousand tons
arg,1986,1920,465,1470,thousand tons
aus,1986,5200,228,722,thousand tons
aut,1986,4450,262,206,thousand tons
bel,1986,7680,1320,1030,thousand tons
bgr,1986,1220,291,228,thousand tons
bih,1986,46.1,6.48,13.8,thousand tons
blr,1986,0,414,880,thousand tons
bra,1986,19100,1190,3760,thousand tons
can,1986,8280,4520,1510,thousand tons
che,1986,0,483,379,thousand tons
chl,1986,979,44.8,142,thousand tons
chn,1986,93400,16500,871,thousand tons
col,1986,241,78.7,249,thousand tons
cub,1986,0,69.5,220,thousand tons
cze,1986,4910,252,198,thousand tons
deu,1986,28500,6430,5050,thousand tons
dnk,1986,0,387,304,thousand tons
dom,1986,0.0862,8.05,25.5,thousand tons
dza,1986,648,18.6,59,thousand tons
ecu,1986,0,12,38,thousand tons
egy,1986,1020,343,1090,thousand tons
esp,1986,3630,5630,4420,thousand tons
est,1986,0.862,0,0,thousand tons
fin,1986,2700,466,366,thousand tons
fra,1986,10800,4080,3200,thousand tons
gbr,1986,9960,1670,1320,thousand tons
gha,1986,0,5.17,16.4,thousand tons
grc,1986,0,525,413,thousand tons
gtm,1986,0.431,34.4,109,thousand tons
hrv,1986,0,19.6,41.6,thousand tons
hun,1986,1410,112,88.4,thousand tons
idn,1986,0,589,1870,thousand tons
ind,1986,14900,2000,6350,thousand tons
irl,1986,0,174,137,thousand tons
irn,1986,1900,910,2880,thousand tons
isr,1986,0,57.9,183,thousand tons
ita,1986,9200,7760,6100,thousand tons
jor,1986,0,6.21,19.7,thousand tons
jpn,1986,65300,9250,17200,thousand tons
kaz,1986,4110,0,0,thousand tons
ken,1986,0,4.14,13.1,thousand tons
kor,1986,21300,7950,7950,thousand tons
lby,1986,0,218,691,thousand tons
lka,1986,0,6.21,19.7,thousand tons
lux,1986,0,1240,975,thousand tons
lva,1986,428,0.965,0.759,thousand tons
mar,1986,4.31,0,0,thousand tons
mda,1986,0,250,532,thousand tons
mex,1986,4510,2150,6810,thousand tons
mkd,1986,0.0862,44.4,94.3,thousand tons
mmr,1986,0,5.17,16.4,thousand tons
mys,1986,0,755,2390,thousand tons
nld,1986,4750,76.8,60.3,thousand tons
nor,1986,0,328,258,thousand tons
nzl,1986,476,30.9,98,thousand tons
pak,1986,733,20.7,65.5,thousand tons
per,1986,247,96,304,thousand tons
phl,1986,0,88.1,279,thousand tons
pol,1986,6210,1590,1250,thousand tons
prk,1986,1290,0,0,thousand tons
prt,1986,353,327,257,thousand tons
pry,1986,66.4,0,0,thousand tons
qat,1986,0,151,478,thousand tons
rom,1986,2880,640,503,thousand tons
