# File: aluminum_prod_region_IAA.csv
# Title: Aluminum and alumina production by IAA region
# Units: Thousand tons
# Description: Regional aluminum production
# Source: World aluminum Association
# Column types: cicnc
# ----------
flow,year,IAA_region,value,unit
Alumina,2014,South America,13175,Thousand metric tons
Alumina,2014,West Europe,4197,Thousand metric tons
Alumina,2015,Africa & Asia (ex China),5478,Thousand metric tons
Alumina,2015,China (Estimated),56768,Thousand metric tons
Alumina,2015,East & Central Europe,4037,Thousand metric tons
Alumina,2015,North America,5479,Thousand metric tons
Alumina,2015,Oceania,19916,Thousand metric tons
Alumina,2015,South America,12701,Thousand metric tons
Alumina,2015,West Europe,4354,Thousand metric tons
Alumina,2016,Africa & Asia (ex China),6566,Thousand metric tons
Alumina,2016,China (Estimated),58382,Thousand metric tons
Alumina,2016,East & Central Europe,4154,Thousand metric tons
Alumina,2016,North America,3300,Thousand metric tons
Alumina,2016,Oceania,20419,Thousand metric tons
Alumina,2016,South America,12119,Thousand metric tons
Alumina,2016,West Europe,4271,Thousand metric tons
Alumina,2017,Africa & Asia (ex China),8174,Thousand metric tons
Alumina,2017,China (Estimated),67312,Thousand metric tons
Alumina,2017,East & Central Europe,4463,Thousand metric tons
Alumina,2017,North America,2379,Thousand metric tons
Alumina,2017,Oceania,20335,Thousand metric tons
Alumina,2017,South America,11993,Thousand metric tons
Alumina,2017,West Europe,4123,Thousand metric tons
Alumina,2018,Africa & Asia (ex China),8710,Thousand metric tons
Alumina,2018,China (Estimated),67977,Thousand metric tons
Alumina,2018,East & Central Europe,4441,Thousand metric tons
Alumina,2018,North America,2171,Thousand metric tons
Alumina,2018,Oceania,19855,Thousand metric tons
Alumina,2018,South America,9213,Thousand metric tons
Alumina,2018,West Europe,4060,Thousand metric tons
Alumina,2019,Africa & Asia (ex China),9988,Thousand metric tons
Alumina,2019,China (Estimated),67717,Thousand metric tons
Alumina,2019,East & Central Europe,4415,Thousand metric tons
Alumina,2019,North America,2275,Thousand metric tons
Alumina,2019,Oceania,20010,Thousand metric tons
Alumina,2019,South America,10050,Thousand metric tons
Alumina,2019,West Europe,4012,Thousand metric tons
Alumina,2020,Africa & Asia (ex China),12097,Thousand metric tons
Alumina,2020,China (Estimated),66836,Thousand metric tons
Alumina,2020,East & Central Europe,4537,Thousand metric tons
Alumina,2020,North America,2090,Thousand metric tons
Alumina,2020,Oceania,20737,Thousand metric tons
Alumina,2020,South America,11218,Thousand metric tons
Alumina,2020,West Europe,4128,Thousand metric tons
Alumina,1974,Africa & Asia (ex China),2634,Thousand metric tons
Alumina,1974,China (Estimated),0,Thousand metric tons
Alumina,1974,East & Central Europe,0,Thousand metric tons
Alumina,1974,North America,7332.99,Thousand metric tons
Alumina,1974,Oceania,4918.02,Thousand metric tons
Alumina,1974,South America,4191,Thousand metric tons
Alumina,1974,West Europe,3255.99,Thousand metric tons
Alumina,1975,Africa & Asia (ex China),2466,Thousand metric tons
Alumina,1975,China (Estimated),0,Thousand metric tons
Alumina,1975,East & Central Europe,0,Thousand metric tons
Alumina,1975,North America,5584.02,Thousand metric tons
Alumina,1975,Oceania,5106.99,Thousand metric tons
Alumina,1975,South America,3901.98,Thousand metric tons
Alumina,1975,West Europe,3335.01,Thousand metric tons
Alumina,1976,Africa & Asia (ex China),2359.98,Thousand metric tons
Alumina,1976,China (Estimated),0,Thousand metric tons
Alumina,1976,East & Central Europe,0,Thousand metric tons
Alumina,1976,North America,5628,Thousand metric tons
Alumina,1976,Oceania,6219,Thousand metric tons
Alumina,1976,South America,3217.02,Thousand metric tons
Alumina,1976,West Europe,3351.99,Thousand metric tons
Alumina,1977,Africa & Asia (ex China),2773.98,Thousand metric tons
Alumina,1977,China (Estimated),0,Thousand metric tons
Alumina,1977,East & Central Europe,0,Thousand metric tons
Alumina,1977,North America,6327.99,Thousand metric tons
Alumina,1977,Oceania,6672.99,Thousand metric tons
Alumina,1977,South America,3783,Thousand metric tons
Alumina,1977,West Europe,3560.01,Thousand metric tons
Alumina,1978,Africa & Asia (ex China),2550,Thousand metric tons
Alumina,1978,China (Estimated),0,Thousand metric tons
Alumina,1978,East & Central Europe,0,Thousand metric tons
Alumina,1978,North America,6357.03,Thousand metric tons
Alumina,1978,Oceania,6765,Thousand metric tons
Alumina,1978,South America,3897.99,Thousand metric tons
Alumina,1978,West Europe,3470.01,Thousand metric tons
Alumina,1979,Africa & Asia (ex China),2548.98,Thousand metric tons
Alumina,1979,China (Estimated),0,Thousand metric tons
Alumina,1979,East & Central Europe,0,Thousand metric tons
Alumina,1979,North America,6419.01,Thousand metric tons
Alumina,1979,Oceania,7386,Thousand metric tons
Alumina,1979,South America,3891,Thousand metric tons
Alumina,1979,West Europe,3434.01,Thousand metric tons
Alumina,1980,Africa & Asia (ex China),3069,Thousand metric tons
Alumina,1980,China (Estimated),0,Thousand metric tons
Alumina,1980,East & Central Europe,0,Thousand metric tons
Alumina,1980,North America,7261.02,Thousand metric tons
Alumina,1980,Oceania,7254,Thousand metric tons
Alumina,1980,South America,4500,Thousand metric tons
Alumina,1980,West Europe,3699,Thousand metric tons
Alumina,1981,Africa & Asia (ex China),2441.97,Thousand metric tons
Alumina,1981,China (Estimated),0,Thousand metric tons
Alumina,1981,East & Central Europe,0,Thousand metric tons
Alumina,1981,North America,6359.01,Thousand metric tons
Alumina,1981,Oceania,7086.99,Thousand metric tons
Alumina,1981,South America,4391.01,Thousand metric tons
Alumina,1981,West Europe,4183.02,Thousand metric tons
Alumina,1982,Africa & Asia (ex China),1853.01,Thousand metric tons
Alumina,1982,China (Estimated),0,Thousand metric tons
Alumina,1982,East & Central Europe,0,Thousand metric tons
Alumina,1982,North America,4675.98,Thousand metric tons
Alumina,1982,Oceania,6628.98,Thousand metric tons
Alumina,1982,South America,3405.99,Thousand metric tons
Alumina,1982,West Europe,3696.99,Thousand metric tons
Alumina,1983,Africa & Asia (ex China),1891.98,Thousand metric tons
Alumina,1983,China (Estimated),0,Thousand metric tons
Alumina,1983,East & Central Europe,0,Thousand metric tons
Alumina,1983,North America,4403.97,Thousand metric tons
Alumina,1983,Oceania,7305,Thousand metric tons
Alumina,1983,South America,4100.97,Thousand metric tons
Alumina,1983,West Europe,3581.97,Thousand metric tons
Alumina,1984,Africa & Asia (ex China),2035.98,Thousand metric tons
Alumina,1984,China (Estimated),0,Thousand metric tons
Alumina,1984,East & Central Europe,0,Thousand metric tons
Alumina,1984,North America,5012.97,Thousand metric tons
Alumina,1984,Oceania,8799.99,Thousand metric tons
Alumina,1984,South America,4494,Thousand metric tons
Alumina,1984,West Europe,4399.98,Thousand metric tons
Alumina,1985,Africa & Asia (ex China),1928.01,Thousand metric tons
Alumina,1985,China (Estimated),0,Thousand metric tons
Alumina,1985,East & Central Europe,0,Thousand metric tons
Alumina,1985,North America,3912.99,Thousand metric tons
Alumina,1985,Oceania,8804.01,Thousand metric tons
Alumina,1985,South America,4598.97,Thousand metric tons
Alumina,1985,West Europe,3961.02,Thousand metric tons
Alumina,1986,Africa & Asia (ex China),1623,Thousand metric tons
Alumina,1986,China (Estimated),0,Thousand metric tons
Alumina,1986,East & Central Europe,0,Thousand metric tons
Alumina,1986,North America,3390,Thousand metric tons
Alumina,1986,Oceania,9302.01,Thousand metric tons
Alumina,1986,South America,5224.98,Thousand metric tons
Alumina,1986,West Europe,4184.97,Thousand metric tons
Alumina,1987,Africa & Asia (ex China),1389.99,Thousand metric tons
Alumina,1987,China (Estimated),0,Thousand metric tons
Alumina,1987,East & Central Europe,0,Thousand metric tons
Alumina,1987,North America,4413.99,Thousand metric tons
Alumina,1987,Oceania,10011,Thousand metric tons
Alumina,1987,South America,5680.98,Thousand metric tons
Alumina,1987,West Europe,4167,Thousand metric tons
Alumina,1988,Africa & Asia (ex China),1941.99,Thousand metric tons
Alumina,1988,China (Estimated),0,Thousand metric tons
Alumina,1988,East & Central Europe,0,Thousand metric tons
Alumina,1988,North America,4433.01,Thousand metric tons
Alumina,1988,Oceania,10414.02,Thousand metric tons
Alumina,1988,South America,5592.03,Thousand metric tons
Alumina,1988,West Europe,4084.02,Thousand metric tons
Alumina,1989,Africa & Asia (ex China),2249.04,Thousand metric tons
Alumina,1989,China (Estimated),0,Thousand metric tons
Alumina,1989,East & Central Europe,0,Thousand metric tons
Alumina,1989,North America,5129.01,Thousand metric tons
Alumina,1989,Oceania,10668,Thousand metric tons
Alumina,1989,South America,6329.97,Thousand metric tons
Alumina,1989,West Europe,4013.01,Thousand metric tons
Alumina,1990,Africa & Asia (ex China),2151.03,Thousand metric tons
Alumina,1990,China (Estimated),0,Thousand metric tons
Alumina,1990,East & Central Europe,0,Thousand metric tons
Alumina,1990,North America,5298.03,Thousand metric tons
Alumina,1990,Oceania,11000.97,Thousand metric tons
Alumina,1990,South America,7177.98,Thousand metric tons
Alumina,1990,West Europe,4153.02,Thousand metric tons
Alumina,1991,Africa & Asia (ex China),2217,Thousand metric tons
Alumina,1991,China (Estimated),0,Thousand metric tons
Alumina,1991,East & Central Europe,0,Thousand metric tons
Alumina,1991,North America,5217.99,Thousand metric tons
Alumina,1991,Oceania,11475,Thousand metric tons
Alumina,1991,South America,7548.99,Thousand metric tons
Alumina,1991,West Europe,4532.97,Thousand metric tons
Alumina,1992,Africa & Asia (ex China),2140.98,Thousand metric tons
Alumina,1992,China (Estimated),0,Thousand metric tons
Alumina,1992,East & Central Europe,0,Thousand metric tons
Alumina,1992,North America,4990.02,Thousand metric tons
Alumina,1992,Oceania,11580,Thousand metric tons
Alumina,1992,South America,7378.02,Thousand metric tons
Alumina,1992,West Europe,4668,Thousand metric tons
Alumina,1993,Africa & Asia (ex China),2084.01,Thousand metric tons
Alumina,1993,China (Estimated),0,Thousand metric tons
Alumina,1993,East & Central Europe,0,Thousand metric tons
Alumina,1993,North America,5113.02,Thousand metric tons
Alumina,1993,Oceania,12381.99,Thousand metric tons
Alumina,1993,South America,7646.04,Thousand metric tons
Alumina,1993,West Europe,4768.98,Thousand metric tons
Alumina,1994,Africa & Asia (ex China),2109.99,Thousand metric tons
Alumina,1994,China (Estimated),0,Thousand metric tons
Alumina,1994,East & Central Europe,0,Thousand metric tons
Alumina,1994,North America,4594.98,Thousand metric tons
Alumina,1994,Oceania,12517.98,Thousand metric tons
Alumina,1994,South America,7890,Thousand metric tons
Alumina,1994,West Europe,4879.98,Thousand metric tons
Alumina,1995,Africa & Asia (ex China),2229.99,Thousand metric tons
Alumina,1995,China (Estimated),0,Thousand metric tons
Alumina,1995,East & Central Europe,0,Thousand metric tons
Alumina,1995,North America,4770,Thousand metric tons
Alumina,1995,Oceania,12785.01,Thousand metric tons
Alumina,1995,South America,8189.97,Thousand metric tons
Alumina,1995,West Europe,6446.01,Thousand metric tons
Alumina,1996,Africa & Asia (ex China),2280,Thousand metric tons
Alumina,1996,China (Estimated),0,Thousand metric tons
Alumina,1996,East & Central Europe,3197.01,Thousand metric tons
Alumina,1996,North America,4866,Thousand metric tons
Alumina,1996,Oceania,13018.02,Thousand metric tons
Alumina,1996,South America,9045.99,Thousand metric tons
Alumina,1996,West Europe,4461,Thousand metric tons
Alumina,1997,Africa & Asia (ex China),3372,Thousand metric tons
Alumina,1997,China (Estimated),0,Thousand metric tons
Alumina,1997,East & Central Europe,3383.01,Thousand metric tons
Alumina,1997,North America,5209.98,Thousand metric tons
Alumina,1997,Oceania,13156.98,Thousand metric tons
Alumina,1997,South America,9698.97,Thousand metric tons
Alumina,1997,West Europe,4465.98,Thousand metric tons
Alumina,1998,Africa & Asia (ex China),3475.02,Thousand metric tons
Alumina,1998,China (Estimated),0,Thousand metric tons
Alumina,1998,East & Central Europe,3686.01,Thousand metric tons
Alumina,1998,North America,5474.97,Thousand metric tons
Alumina,1998,Oceania,13548.03,Thousand metric tons
Alumina,1998,South America,10329.99,Thousand metric tons
Alumina,1998,West Europe,4451.01,Thousand metric tons
Alumina,1999,Africa & Asia (ex China),3679.98,Thousand metric tons
Alumina,1999,China (Estimated),0,Thousand metric tons
Alumina,1999,East & Central Europe,3795,Thousand metric tons
Alumina,1999,North America,4946.97,Thousand metric tons
Alumina,1999,Oceania,14121.03,Thousand metric tons
Alumina,1999,South America,10653,Thousand metric tons
Alumina,1999,West Europe,4582.98,Thousand metric tons
