# File: WSA_steel_trade_1970_2018.csv
# Title: Steel imports and exports by country
# Units: thousand tons
# Description: Imports and exports of semi-finished and finished steel products (1970-2021)
# Source: World Steel Association Statistical Year Books (1980 1989 1999 2009 2019)
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Country,Metric,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Spain,Exports,267,918,1425,1712,806,1569,2443,2678,4106,4235,4530,5027,4884,5685,6541,7781,5195,4776,3892,4458,4174,4810,4684,5638,5994,4947,5486,5556,5280,5443,6195,5950,6302,6429,6415,6661,6821,7970,9456,8176,9815,9888,9416,9134,9710,9590,9317,8917,8637,9342.39,8145.21,9656.97
Sri Lanka,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,1,1,1,1,4,2.35,2.05,2.02
Sudan,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0.03,0.11,0.00
Sweden,Exports,1457,1440,1646,1930,2029,1680,1682,1887,2228,2360,2125,2011,2230,2326,2826,3089,2867,2854,2985,2809,2746,3051,3265,3332,3796,3217,3599,3975,3832,3842,3968,4165,4517,4389,4635,4206,4005,4031,4037,2449,3643,5048,4034,3308,3271,3207,3650,3855,3387,4504.64,3383.37,3567.75
Switzerland,Exports,103,106,134,136,233,242,183,214,472,592,566,564,594,893,924,913,908,860,850,867,908,1047,1114,1167,1052,870,772,955,995,1015,1142,1078,1113,1149,1202,1130,1258,1224,1312,795,1066,1166,1091,1097,1070,1136,1110,1184,1163,922.77,815.83,1112.78
Syria,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10,,,,,1,,,0.42,1.64,0.83
"Taiwan, China",Exports,345,345,551,255,197,249,283,314,894,1514,769,1193,1850,2090,1951,1885,1443,1102,1649,1596,1754,1610,2089,2685,2800,3027,3765,5119,6022,7661,8322,7975,8929,9728,9419,9239,10606,11102,10038,9953,10001,10545,10539,11559,12086,11177,12233,12117,12285,11262.09,10578.69,10822.54
Tajikistan,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.19,0.16,0.07
Tanzania,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,1,0.00,20.46,0.08
Thailand,Exports,9,10,23,21,16,10,13,9,29,39,78,82,41,38,69,148,150,150,150,161,138,223,218,295,316,649,817,677,1835,1264,1979,1623,1610,1903,2186,2153,2252,2802,2478,1587,1776,1599,1569,1504,1414,1254,1460,1853,1916,1653.86,1224.05,0.00
Togo,Exports,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Exports,,,,,,,,,,,,,95,136,110,85,146,150,150,243,292,388,540,422,594,663,643,626,630,705,684,675,750,750,750,750,725,145,187,102,125,170,175,102,129,83,4,1,,0.68,0.85,0.50
Tunisia,Exports,,,,,,,,,,,,,,,,,,,,49,55,74,88,41,61,102,100,100,10,,,,,,,,,,,96,149,160,99,70,84,53,42,31,85,136.23,136.33,215.98
Turkey,Exports,,3,12,20,28,15,24,10,20,6,14,125,174,1051,1388,2720,2644,2177,2805,3343,4704,4330,5044,6321,8340,6211,6697,7227,6555,7552,7499,10587,5068,11142,13159,12279,9180,6928,18535,17413,16223,16688,18574,17305,16024,14887,15349,16346,19859,19659.95,18537.84,22056.75
Turkmenistan,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.00,0.06,0.00
Uganda,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Exports,2154.964542,2130.34619,2092.559883,2007.540692,1962.597888,2239.983733,2147.808044,2290.079215,1774.811392,2120,2056,2029,2168,1523,1567,2501,2664,2610,2691,2611,2427,1533,7782,10959,11638,11653,12142,16147,15948,18953,22283,24380,25866,26576,28228,27348,30600,30308,28648,23970,25201,25955,24142,24720,21492,17721,18230,15224,15083,15558.81,15209.70,15704.61
United Arab Emirates,Exports,,,,,,,,,,,,,,,,,,,,,81,21,25,7,,,,,,,,,,,,,,,,106,188,949,248,265,860,634,3404,2951,2584,3801.77,2960.31,3487.51
United Kingdom,Exports,4002,4841,4575,4176,3298,3170,3672,4399,4376,4564,2753,3934,3519,4083,4138,4893,5288,6450,6676,6735,7091,7961,8335,8203,8829,8896,9336,9371,8332,7880,7810,6851,6639,7332,7789,8713,8507,9453,8933,6304,6044,6027,6410,8374,8599,7280,4588,4699,4612,4217.81,4422.50,3453.20
United States,Exports,6518,2636,3749,5387,2825,2517,1906,2300,2650,2594,3763,2682,1696,1097,901,867,856,1037,1917,4278,4030,5905,4045,3789,3656,6623,4641,5568,5597,5191,6193,5823,5667,7725,7810,9410,9565,9801,11963,9238,11802,13288,13560,12508,11961,10000,9247,10211,8623,7270.73,6592.46,8245.70
Uruguay,Exports,,,,,,,,,,,,,,,,,,,,14,5,7,8,9,11,8,10,15,15,9,12,13,13,18,13,24,20,32,39,31,20,26,1,28,28,20,38,47,26,228.09,11.59,809.09
Uzbekistan,Exports,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,15,30,8,4,9,22,17,4,7,41,78.68,16.08,49.90
Venezuela,Exports,184,87,158,228,58,2,1,41,72,180,241,388,293,852,801,1266,913,918,848,1162,1627,1485,1008,1023,1448,1111,1937,1773,1435,1583,1634,1792,2398,1605,1902,2484,1542,1369,780,770,246,712,163,80,20,78,48,24,23,82.13,36.90,103.08
Viet Nam,Exports,,,,,,,,,,,,,,,,,,,,,,30,31,,,,,,,3,12,20,52,52,55,151,188,181,1617,151,695,1137,1280,1383,1523,1512,2537,4034,5368,5213.35,7870.18,11315.44
Yemen,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,9,14,,,,0.00,0.00,0.02
Zambia,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Exports,,,,,,,,,,467,534,319,381,383,318,356,364,320,350,291,336,314,255,155,44,54,50,50,50,,,,,,,,,,,,,,,,,,,,,,,
Albania,Imports,54,66,64,89,96,88,86,90,95,97,143,80,121,120,120,120,120,120,120,39,16,16,25,27,23,33,34,92,73,73,129,195,201,248,246,284,330,296,218,389,253,259,257,181,173,238,394,250,233,304.92,320.95,399.66
Algeria,Imports,170,496,514,611,117,903,659,1230,1444,1238,1429,1537,1351,1391,1561,1482,1500,1250,1250,1290,970,1057,1339,1243,1740,988,880,586,1072,1057,1505,1464,1623,2195,2443,2411,3018,3018,4653,5510,3654,3947,4723,5126,5975,6300,5465,4619,3181,3416.25,2042.32,963.74
Angola,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00
Argentina,Imports,753,1599,1581,1929,1495,1771,1035,1044,507,698,1035,653,609,648,898,461,554,764,990,419,182,571,1239,763,1126,955,840,1365,1380,1203,725,831,366,485,741,815,898,1057,1253,671,1261,1272,1315,1152,920,1195,772,1556,843,645.81,718.12,1642.33
Armenia,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,43,,4,7,2,3,3,3,5,5,5,93,145,124,113,111,79,80,76,80,72,91,107,143,106.14,147.49,77.04
Australia,Imports,490,1522,2122,755,1484,925,1400,1079,553,418,523,800,900,600,700,700,600,910,900,1150,865,1160,861,797,1245,1038,1091,1286,1276,1330,1216,1360,1354,1975,2177,2435,2230,2304,2960,2113,2597,2346,2884,2208,2978,2868,1935,2269,2290,1860.02,1835.48,1171.28
Austria,Imports,470,457,478,676,681,498,661,821,990,796,933,905,864,895,996,1041,1211,1169,1316,1523,1755,1817,1858,1588,1873,1970,1825,2104,2396,2612,2512,2712,2607,2678,3248,3067,3869,4210,4140,2969,3253,3830,3674,3320,3739,4194,4328,4590,4810,4039.63,3665.73,4377.86
Azerbaijan,Imports,104,113,136,173,258,242,275,274,274,333,321,315,357,329,336,379,357,354,371,360.7,249.7,163,,18,253,66,103,166,582,142,186,200,250,300,300,300,572,674,813,667,793,912,1060,1257,1248,839,561,536,660,677.30,592.69,424.61
Bahrain,Imports,,,,,,,,,,34,47,47,89,117,105,94,51,25,33,40,26,39,43,71,55,41,27,45,43,50,42,29,66,90,103,126,136,138,414,100,176,197,176,99,94,160,417,590,493,442.06,373.71,325.73
Bangladesh,Imports,,,,,,,,,,210,232,288,122,142,225,320,278,257,299,276,298,403,285,430,335,317,307,487,451,545,638,833,923,937,833,1010,869,869,780,1641,1834,1990,2316,2468,2720,4030,4014,2673,3140,3039.92,2615.82,2365.96
Belarus,Imports,225,246,295,376,560,524,597,595,595,722,696,685,774,714,730,822,775,767,806,782.8,541.8,353.8,48,1033,549,754,911,1203,1143,1074,997,500,229,1338,1495,1404,1761,1918,2045,1482,2079,1972,2210,2342,1880,1481,1514,1777,1881,1893.04,1842.46,1924.58
Belgium-Luxembourg,Imports,2275,2228,2501,2925,3226,2509,3347,3164,3046,3086,3056,2777,2771,3256,3536,3518,3509,3780,5126,4701,4696,4991,4804,4882,5809,6254,6133,8120,10048,11525,13543,11470,10906,12878,14949,13848,16994,19209,17348,10831,12920,14567,11598,11302,11896,13212,14165,15130,16055,13005.94,10804.74,13696.93
Benin,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,Imports,,,,,,,,,,83,48,112,54,28,51,31,35,72,37,75,46,90,104,107,112,118,124,130,130,144,163,163,190,183,210,261,206,282,333,300,370,380,381,421,464,428,509,497,497,547.21,373.72,478.37
Bosnia-Herzegovina,Imports,13,17,15,16,19,25,17,21,22,22,21,22,17,17,17,18,17,17,13,14.98836307,14.93405741,5.854150504,,3,,14,,,,,127,150,229,155,200,200,296,397,418,220,315,316,281,278,268,314,418,459,470,424.22,428.45,480.98
Brazil,Imports,579,1164,1054,1823,4197,2889,1059,927,733,595,664,898,421,84,102,102,566,526,112,305,196,160,178,197,214,288,378,794,899,635,943,1068,670,550,559,780,1912,1636,2561,2357,5904,3783,3777,3683,3947,3195,1864,2313,2373,2330.16,2017.76,4919.63
Bulgaria,Imports,1176,1073,1000,718,688,739,849,964,1131,1160,1335,1477,1378,1262,1123,1029,1003,1800,2641,674,112,87,446,829,559,473,202,292,346,312,483,913,868,817,1111,1339,1732,2133,1951,1029,1012,1503,1353,1513,1878,1741,1969,1799,1994,2181.20,2127.97,2081.48
Cameroon,Imports,,,,,,,,,,,,,,,,,,,,60,59,131,45,46,31,50,47,53,69,36,110,246,157,114,100,120,149,149,154,170,159,158,234,233,269,281,243,195,221,204.54,321.02,343.35
Canada,Imports,1455,2125,2275,1903,2883,1403,1308,1454,1637,2146,1448,3012,1198,1287,2137,2384,2154,2782,4031,2700,2873,2552,2384,3403,5728,5285,4766,6741,7830,6784,8900,6343,7666,7134,9278,9913,11028,8006,7515,6217,9331,10903,9618,8895,10293,8021,7727,8809,9110,9267.32,6962.74,9896.54
Chile,Imports,91,78,119,72,160,54,50,29,50,32,92,67,41,25,71,77,166,174,145,196,280,431,565,659,516,658,704,887,781,461,647,719,732,736,791,833,1040,1026,1588,678,1790,1377,1557,1696,1729,1905,1798,1899,2076,2204.12,1864.51,2547.38
China,Imports,2282,3037,2270,3652,3584,3902,4518,4849,8843,8473,5006,3319,3938,9780,13315,19635,17422,11749,9000,8372,4154,3719,8089,36869,25813,14806,16537,13619,13106,16950,20905,25608,29287,43195,33221,27312,19105,17185,15622,22350,17181,16349,14154,14774,14903,13178,13581,13909,14366,15511.21,38709.65,27824.47
Colombia,Imports,262,363,244,223,294,233,258,273,250,381,467,460,563,395,531,603,480,521,492,506,526,429,653,720,1039,1183,1226,961,983,630,1106,886,781,996,1221,1325,1668,1996,2006,1606,1987,2439,1894,2628,3125,2912,2748,2486,2863,2662.32,2099.76,3181.74
Congo,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Imports,,,,,,,,,,151,141,95,60,97,132,138,110,53,92,191,104,166,278,254,239,125,125,125,190,236,306,234,309,294,298,294,586,586,576,275,298,461,411,417,446,504,786,875,901,0.00,600.42,938.14
Croatia,Imports,321,420,361,386,470,611,421,523,531,540,526,544,414,413,413,444,426,407,330,368.2854926,366.9511249,143.844841,278,285,341,344,264,218,457,434,531,540,667,786,800,800,789,999,1150,822,731,678,657,632,680,772,844,821,800,916.67,857.63,1015.63
Cuba,Imports,220,210,278,380,508,577,533,500,450,500,500,550,450,475,540,590,590,600,600,409,300,100,41,31,59,77,128,104,106,107,113,130,120,120,130,174,106,106,144,137,175,216,171,187,131,272,187,174,145,138.08,66.12,50.68
Cyprus,Imports,,,,,,,,,,,,,,,,,,,,192,155,193,227,475,376,252,209,565,319,214,226,176,284,335,374,355,386,496,491,305,341,231,162,131,109,144,154,252,337,329.61,304.92,289.06
Czech Republic,Imports,322,418,383,311,307,321,504,293,370,351,201,201,206,299,423,470,517,390,288,173.4778816,145.8791277,78.29034268,353,904,1070,1486,1549,2158,2246,2293,2757,2987,3052,3055,3524,4241,4997,5740,5983,4161,5482,5828,5921,5791,5750,6146,6477,7075,7370,7102.17,6585.61,8472.24
Dem. Rep. of the Congo,Imports,,,,,,,,,,47,60,51,52,50,73,24,19,14,15,47,27,43,25,15,20,27,38,31,27,16,13,11,20,19,22,31,32,32,58,,,,,,,,,,,,,
Denmark,Imports,1541,1369,1555,1667,1644,1220,1487,1421,1264,1376,1411,1442,1713,1447,1548,1690,1629,1503,1600,1706,1710,1710,1955,1508,1530,2113,1732,2103,2234,1993,2124,2201,2558,2865,2933,2622,3051,3166,2927,1624,1944,2442,2250,2249,2246,2436,2535,2504,2592,2510.66,2538.84,2692.28
Djibouti,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Imports,,,,,,,,,,81,86,63,130,69,104,52,62,78,80,154,94,97,155,148,123,93,151,158,135,257,17,407,632,289,523,590,716,716,705,668,683,603,491,583,734,829,827,859,1062,963.88,870.72,1442.02
Ecuador,Imports,,,,,,,,,,354,281,292,272,121,224,343,237,146,157,272,231,184,498,350,405,534,310,300,290,150,450,752,498,368,458,753,1125,1125,1044,793,927,1195,1095,1236,1283,1027,927,1096,851,1025.51,844.97,1103.30
Egypt,Imports,165,243,346,283,492,842,645,480,459,700,907,966,1123,1353,1225,1980,4016,2144,2200,944,1098,925,783,940,1699,1917,1324,2722,1826,2375,2444,2615,2805,2052,1622,3410,2905,2249,3066,5625,3324,2574,3654,4237,6167,7881,9197,5538,421,592.18,192.14,1240.08
El Salvador,Imports,,,,,,,,,,70,48,47,38,43,55,55,65,45,50,51,54,81,92,121,159,180,180,180,180,224,282,296,300,330,340,350,317,241,252,95,162,174,197,262,246,313,367,389,397,362.56,277.07,486.04
Equatorial Guinea,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Imports,58,63,76,97,144,135,153,153,153,185,179,176,199,183,188,211,199,197,207,201,139.1,90.9,42,118,141,168,201,257,400,303,303,350,382,569,592,559,860,771,694,295,495,624,511,433,455,422,540,611,682,713.73,626.79,773.04
Ethiopia,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00
Finland,Imports,910,689,737,768,884,710,652,447,426,495,618,622,661,624,616,704,687,809,708,894,847,636,652,755,1034,1419,1326,1309,1298,1343,1471,1583,1396,1315,1447,1151,1328,1516,1442,972,1408,1406,1055,1017,1025,962,1078,1995,1465,1319.98,1291.91,1152.59
France,Imports,7423,6714,8168,8718,8560,6689,8844,8150,8421,8943,8822,8233,8371,7576,8173,7900,7996,8469,9484,9967,10592,10358,10108,9076,11022,11867,11142,12611,14422,15309,17241,16137,15781,14764,16504,14946,16941,18071,16955,11439,14178,14715,13163,13154,13418,13656,14570,15073,14882,14589.19,11953.48,13307.47
Gabon,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Imports,324,354,425,542,807,755,860,857,857,1040,1002,986,1115,1028,1052,1185,1117,1106,1161,1127.8,780.6,509.7,30,215,791,,,,,36,54,100,150,200,200,200,189,265,333,206,282,311,374,391,451,412,460,445,507,438.78,489.74,335.25
Germany,Imports,12510,12951,14899,5419,5734,5235,5576,5591,5483,17361,16420,16479,15554,17668,16732,17383,18125,18030,19785,20286,19648,16772,17814,13584,17328,19090,15393,17479,18673,17670,20206,19049,17797,18101,19936,20391,24361,27425,27488,17656,22733,24854,22729,21881,24263,24817,26620,27094,26584,23095.91,19186.29,23274.34
Ghana,Imports,,,,,,,,,,,,,,,,,,,,42,40,48,75,65,44,70,56,72,99,107,114,178,132,216,189,325,241,241,451,414,479,779,716,699,767,889,836,704,753,951.87,1060.92,1124.56
Greece,Imports,536,582,690,905,1003,666,715,734,946,1206,1171,1095,982,1539,1262,1404,1453,1400,1400,1768,1645,2139,1751,1412,1560,1876,2022,2297,2169,2314,2755,2448,2357,2519,1990,2173,2810,2875,2601,1708,1383,1372,1072,1162,1262,1173,1424,1363,1600,1428.41,1377.89,1363.79
Guatemala,Imports,,,,,,,,,,152,170,134,106,97,95,100,107,83,90,100,121,200,271,276,294,249,250,250,190,191,266,335,268,241,279,414,521,521,438,343,430,547,441,548,649,920,935,859,783,847.47,834.42,1055.23
Guinea,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,Imports,,,,,,,,,,85,68,49,34,51,49,59,45,37,40,62,57,66,73,71,100,105,80,84,85,180,165,173,180,200,210,220,165,137,197,100,105,196,266,230,270,306,300,399,362,391.21,420.89,627.13
"Hong Kong, China",Imports,481,498,567,596,558,491,778,1024,1410,1460,1645,1709,1830,1814,2074,2405,2449,2600,2700,2104,2230,2574,3152,6139,6604,5462,4015,7297,7069,7036,8391,8243,8633,7513,6318,5406,5175,5175,3770,2830,3241,3013,3029,3365,3827,3694,3306,3027,2763,2671.29,2665.51,2906.26
Hungary,Imports,907,1024,1118,1100,1152,1161,1390,1326,1312,1255,1079,1115,1022,1096,1069,1041,1111,1075,1170,946,735,748,567,578,536,750,596,927,1135,1148,1102,1073,1329,1354,1462,1504,1857,2124,2117,1272,1540,1860,2126,2899,2613,2275,2710,2783,3058,2999.92,2638.51,3158.85
Iceland,Imports,,,,,,,,,,,,,,,,,,,,39,35,41,35,33,31,30,43,48,53,53,45,33,40,56,87,107,53,115,88,31,34,35,37,106,40,50,62,59,65,66.26,49.43,54.91
India,Imports,598,1217,1269,1017,1233,723,555,4575,1078,1882,1817,2706,2463,1727,1569,2166,2455,2004,1899,1788,1456,1078,1506,1633,2151,2171,2083,2000,2106,2200,1941,1775,1795,2044,2759,5296,5660,7700,6973,8288,9744,9213,9341,7392,9477,13284,9904,8882,9026,8920.86,5314.64,5916.11
Indonesia,Imports,388,463,769,1093,1068,963,1133,1165,1339,1421,2055,2091,1969,1586,729,931,331,307,300,1175,1934,1917,1943,2593,2635,3675,3465,3826,1892,1496,3601,2905,3392,3195,4502,5421,4698,5712,8070,5712,7614,8595,12032,12297,11026,11413,12574,11414,11700,13453.83,9719.64,10247.76
Iran,Imports,947,1558,1306,1924,2269,3993,3752,3265,4564,1707,2515,1887,3114,4392,3250,3250,794,527,500,3300,3300,3200,3271,1267,1000,1000,1604,1634,1570,1767,3940,4748,5070,8680,7913,8431,7566,12246,7914,9139,9613,8556,5604,3111,4187,4472,4683,3098,1790,362.71,420.30,333.88
Iraq,Imports,339,320,349,471,1425,1485,807,420,855,2192,1593,1208,955,1000,750,852,394,535,550,804,274,,2,4,,4,4,12,3,3,414,1760,894,73,194,443,355,355,976,1920,2297,2676,4028,4480,3116,2878,2472,2366,2781,2138.23,1942.05,1417.30
Ireland,Imports,272,273,342,316,394,243,343,355,408,512,403,452,424,334,369,361,328,358,435,490,461,424,427,387,475,565,648,693,757,787,829,813,943,928,931,855,1099,1185,940,390,459,440,457,451,544,658,684,760,810,887.29,805.09,912.13
Israel,Imports,582,399,487,608,791,482,429,452,399,565,223,394,427,346,422,437,506,600,600,650,700,850,898,1249,1206,1492,1209,1205,1403,1616,1416,1507,1602,1545,1499,1434,1146,1146,1221,1334,1530,1808,1926,2164,2335,2651,2983,2828,3023,3183.36,3248.91,3789.85
Italy,Imports,5041,4009,4668,5003,4812,3365,5196,5193,4412,6759,6991,4859,4848,4787,5760,6241,6957,7776,8981,10177,10847,10282,10514,8165,10387,13115,11135,13707,15766,15861,16900,17231,16599,17459,19237,18254,23908,24582,22333,12550,16307,17478,13899,15626,16632,19936,19616,20091,20619,20652.23,16146.29,20759.94
Ivory Coast,Imports,,,,,,,,,,,,,,,,,,,,98,69,98,104,110,110,129,112,149,195,81,92,92,128,120,72,97,127,127,176,168,208,191,205,266,301,345,397,413,399,371.44,551.65,656.83
Jamaica,Imports,,,,,,,,,,,,,,,,,,,,87,45,23,55,37,42,93,59,66,77,100,88,94,98,172,126,156,149,149,156,68,69,79,125,100,142,158,133,191,159,198.90,163.67,263.56
Japan,Imports,117,51,103,213,231,108,159,222,361,1468,1165,1557,2011,2744,4003,2903,3308,4981,6986,7250,7127,9035,6202,6111,5686,7030,5956,6414,4862,4737,5089,4086,3211,3270,4204,5195,4447,4751,4477,3037,4440,5563,5733,5413,6733,5918,6014,6233,6040,6455.36,5207.86,5460.07
Jordan,Imports,,,,,,,,,,395,262,362,324,371,306,249,359,332,300,220,286,314,549,619,519,554,396,400,174,354,387,359,392,437,376,655,870,870,1550,1567,1336,1094,1245,868,854,863,1392,765,824,734.20,817.69,588.92
Kazakhstan,Imports,137,150,180,229,342,320,364,363,363,441,424,418,472,436,446,502,473,468,492,477.6,330.6,215.9,2400,970,335,396,456,343,407,419,575,650,760,1197,1420,1981,2134,2814,2320,2295,1134,1316,1667,1201,1660,505,444,403,421,554.59,275.10,298.47
Kenya,Imports,124,155,135,149,167,90,167,175,208,183,180,132,97,161,171,218,150,232,186,179,496,278,204,178,256,341,265,324,250,347,303,354,411,427,491,429,568,568,600,821,797,1207,949,1308,1333,1708,1491,1364,1415,3123.60,2196.50,1988.34
Kuwait,Imports,105,166,133,142,327,252,906,511,339,726,645,805,929,767,1059,406,443,155,229,542,254,66,490,500,492,519,346,437,491,394,332,449,676,641,703,613,585,585,1048,617,1521,1123,788,680,728,1000,1477,1141,1149,1458.85,891.83,627.30
Kyrgyzstan,Imports,16,17,20,26,39,36,41,41,41,50,48,47,54,49,51,57,54,53,56,54.2,37.5,24.5,,,38,42,24,15,27,10,14,15,15,20,20,20,70,123,103,136,134,181,265,321,343,301,288,278,313,368.82,364.83,346.00
Latvia,Imports,49,53,64,82,121,114,129,129,129,157,151,148,168,155,158,178,168,166,175,169.7,117.4,76.7,110,225,119,128,128,171,289,237,288,350,372,396,568,542,684,804,728,500,660,908,591,650,721,864,827,702,937,793.61,742.95,899.33
Lebanon,Imports,228,217,340,412,416,234,69,183,289,265,285,287,315,340,443,320,166,97,100,43,36,89,160,154,120,170,861,300,909,403,454,692,443,481,295,367,336,336,1189,2533,2455,2748,2999,1500,1482,1196,1515,1177,961,751.74,431.83,430.40
Libya,Imports,193,228,331,531,615,593,601,407,409,563,865,1044,375,551,309,490,282,361,400,731,687,506,209,375,299,211,166,191,120,143,139,155,300,397,166,253,431,431,529,1439,1147,154,746,967,610,419,173,136,383,392.13,210.78,267.61
Lithuania,Imports,81,88,106,135,201,188,214,213,213,259,250,246,278,256,262,295,278,275,289,280.9,194.4,126.9,,66,197,478,265,394,363,360,360,370,389,418,670,680,790,919,762,440,560,693,744,780,858,894,1048,1060,1142,1118.35,1127.70,1357.85
Macedonia,Imports,152,199,171,183,223,290,200,248,252,256,249,258,196,196,196,210,202,193,156,174.5073701,173.875097,68.15903801,115,78,88,163,201,330,163,140,220,250,240,229,360,500,737,901,776,447,538,404,360,340,448,515,764,553,571,560.27,652.67,553.10
Madagascar,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Imports,366,398,473,718,859,528,602,568,700,978,1174,1277,1826,1974,1877,1452,790,786,1101,1381,1779,3078,3248,4394,4879,6206,6082,5424,2852,4824,4181,4583,4345,4547,7527,4416,4613,5301,5123,3908,5189,5067,5942,6722,7637,7816,9073,7738,7952,7372.00,5861.85,6360.52
Malta,Imports,,,,,,,,,,,,,,,,,,,,44,72,55,46,48,50,39,55,50,50,43,55,62,57,44,57,58,63,69,53,45,56,34,33,31,41,44,42,42,56,64.07,68.02,85.96
Mauritania,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Imports,188,156,190,335,692,696,470,489,1313,1504,2523,3052,1217,429,701,680,567,357,563,649,1010,2085,2312,1604,2723,803,963,1411,3420,1890,5548,5305,5769,5590,5827,6173,8246,6715,7136,4858,6732,6846,9266,8117,9111,10031,9679,11625,10995,11542.20,10080.79,14751.81
Moldova,Imports,33,36,43,55,82,76,87,87,87,105,101,100,113,104,106,120,113,112,117,114.1,78.9,51.6,139,94,80,35,52,48,40,23,31,50,80,100,100,100,160,177,168,121,124,138,178,178,208,151,166,150,164,218.78,195.31,163.61
Mongolia,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,Imports,,,,,,,,,,,,,,,,,,,,2.165457554,2.157611694,0.845783784,2.528328612,0.148725212,0,2.02266289,3.26203966,3.014164306,2.607648725,2.796033994,3.043909348,3.97592068,2.577903683,1.864022663,2.716713881,5.790368272,6.930594901,27,34,21,16,17,19,25,25,66,76,126,46,54.75,51.60,46.91
Morocco,Imports,246,223,218,298,334,373,542,624,481,531,462,489,617,540,683,649,448,449,517,808,770,926,927,837,1052,1165,485,965,898,928,922,1074,1537,1304,1438,1624,1513,1513,1981,1954,1411,1421,1294,1641,1670,2019,2152,1535,1496,2235.96,1985.29,1817.15
Mozambique,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Imports,,,,,,,,,,,,,,,,,,,,11,32,19,21,27,23,104,151,108,115,120,311,251,347,411,435,483,519,519,486,802,911,1193,1439,1437,2147,2420,2374,2004,2076,2366.02,2508.92,988.71
Netherlands,Imports,3489,3707,3858,4476,4858,3702,3954,3567,3737,3608,3890,3457,3400,3231,3767,4057,4136,3822,4643,4903,5176,5213,4958,4339,5226,5713,5515,5706,6708,6124,5923,5638,5452,5376,6529,6600,8268,8802,8105,6309,6853,8293,7557,6144,6963,6803,8359,8820,10329,9582.30,8450.05,10466.50
New Zealand,Imports,,,,,,,,,,,,,,,,,,,,301,312,229,245,211,272,268,343,284,241,307,293,287,397,367,437,421,425,425,429,264,337,310,329,362,388,394,409,402,393,382.29,291.13,418.66
