# File: EIA_TOT_intlship_kbbld.csv
# Title: EIA International Energy Statistics - Bunkering
# Description: Total (TOT) petroleum products bunkering by international ships in thousand barrels of oil per day
# Units: thousands barrels of oil per day
# Source: EIA
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Country,Unit,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Maldives,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.279013699
Mali,1000 bbl/d,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.49969863
Malta,1000 bbl/d,1.7,1.5,1.7,1.7,1.7,1.7,0.6,0.6,1.7,1.7,1.7,1.7,1.8,2,2,0.4,2.1,2.1,2.5,1.9,2,14,20,24,31,26,26,26,25.66958904
Martinique,1000 bbl/d,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1.4,1.1,1,1,1.1,1,0.9,0.9,0.9,1.1,1.059835616
Mauritania,1000 bbl/d,0.3,0.4,0.4,0.4,0.4,0.4,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,1.1,0.3,0.1,0.4,0.5,0.4,0.4,0.4,0.4,0.6,0.630054795
Mauritius,1000 bbl/d,2.7,1.4,4.1,2.1,4.6,4.2,1.4,4.4,4.5,5.7,5.3,5.3,5.3,5.3,5,6.2,5,4.3,4.8,4.3,5.7,6.3,6.9,6.5,9.5,11,10,10,10.7039726
Mexico,1000 bbl/d,9.5,9.6,9.3,10,12,9.3,1.8,4.4,16,16,17,17,21,24,25,24,18,18,17,17,18,18,21,16,16,19,19,16,16.27723288
Micronesia,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moldova,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.543150685
Mongolia,1000 bbl/d,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.3,0.3,0.5,0.8,0.8,0.564876712
Montenegro,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.043452055,0.2,0.3,0.3,0.369342466
Montserrat,1000 bbl/d,0,0.02043,0.02038,0.02043,0.02043,0.02043,0.02038,0.02043,0.02043,0.02043,0.02038,0.02043,0.02043,0.020438356,0.020382514,0.020438356,0.020438356,0.020438356,0.020382514,0.020438356,0.020438356,0.020438356,0.020438356,0.020438356,0.020438356,0.020438356,0.020438356,0.042164384,0.042164384
Morocco,1000 bbl/d,0.2,0.2,1.3,1.4,1.4,1.6,2.2,1.6,1.7,1.7,1.6,1.9,2.1,2.1,0.3,0.3,2.2,1.6,7.2,7.2,9.3,11,11,11,15,15,13,15,16.23758904
Mozambique,1000 bbl/d,1.4,1.5,1.5,0.8,0.7,1.3,0.5,1.3,1.2,1.5,1.5,1.5,0.06389,0.063890411,0.058961749,0.061315068,0.8,1.2,1.6,0.8,1.2,1.4,1.3,1.5,1.4,1.3,1.4,1.5,2.607123288
Namibia,1000 bbl/d,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,1,1.031753425
Nauru,1000 bbl/d,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.094712329,0.094712329
Nepal,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,1.3,1.3,1.4,1.4,1.7,1.4,1.4,2,2.324684932
Netherlands,1000 bbl/d,182,179,198,193,204,209,210,218,209,212,214,227,230,237,249,273,271,253,273,314,325,295,284,260,253,273,250,224,212.0547123
Netherlands Antilles,1000 bbl/d,37,36,30,30,31,32,32,33,33,33,33,33,34,34,33,32,32,33,34,34,34,36,36,35,45,46,45,32,31.51087671
New Caledonia,1000 bbl/d,0.2,0.05473,0,0.5,0.4,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,1,0.3,0.2,0.006517808,0.006517808,0.006517808,0.006517808,0.7,0.687506849
New Zealand,1000 bbl/d,2.7,3.6,4.4,4.5,5.8,5.5,4.8,5.4,8,6.7,5.7,4.6,6.3,5.4,4.4,4.7,6.3,4.6,4.3,4.5,5.6,5.7,6.2,6.2,6.1,5.8,5.5,5.5,5.279945205
Nicaragua,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.6,0.5,0.4,0.4,0.4,0.5,0.4,0.434520548
Niger,1000 bbl/d,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.4,0.2,0.2,0.2,0.2,0.2,0.5,0.673506849
Nigeria,1000 bbl/d,6,15,5.6,15,14,15,5.3,15,15,15,15,7.2,15,14,9.2,11,14,19,14,16,17,17,35,26,17,18,12,14,13.69665753
Niue,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,1000 bbl/d,6.2,6.4,7.8,6.8,8.6,9,8.7,9.5,10,13,12,18,19,17,15,15,13,11,10,13,9.8,8.3,6.9,6.6,6.8,7.3,7.1,6.4,2.730054795
Oman,1000 bbl/d,18,14,7.4,7.2,12,11,2,6.3,4,5.7,5.8,8.6,5.9,2.3,1.1,0.9,0.6,0.010136986,4.2,4.4,6.8,8.9,9.4,12,13,11,9.2,24,32.54605479
Pakistan,1000 bbl/d,3.1,2.5,2.4,3,2.8,3.5,0.4,3.7,3.1,3.2,2.9,3.2,3.2,3.2,0.5,0.5,0.8,0.3,20,3.1,5.6,19,6.5,22,6.7,6.2,5.7,6,6.01139726
Palestinian Territories,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,1000 bbl/d,5.2,7.6,6.4,5.2,5.3,12,13,18,19,21,21,19,19,19,19,55,55,55,55,49,61,49,6.5,49,63,71,72,74,71.45578082
Papua New Guinea,1000 bbl/d,0.4,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,1.5,3.1,1.6,1.5,1.5,1.5,1.5,1.3,1.34090411
Paraguay,1000 bbl/d,0.1,0.2,0.2,0.2,0.04876,0.04876,0.05,0.04876,0.04876,0.04876,0.04863,0.04876,0.04876,0.048767123,0,0,0,0,0.3,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.7,0.803863014
Peru,1000 bbl/d,1.6,1.8,4.6,0.5,0.2,1.2,0.7,0,1.3,1.4,1.4,1.4,1.4,1.4,7.4,1.1,1,6.8,10,7.5,12,6.6,15,13,18,21,18,18,16.87983562
Philippines,1000 bbl/d,1.6,6,4.9,9.9,5.5,1.9,1,3.1,13,13,14,15,13,14,11,4.1,4.4,16,16,12,20,27,25,25,25,28,27,27,24.41454795
Poland,1000 bbl/d,10,13,11,15,8.3,3.4,5.3,2,1.6,3.6,4,2.8,14,6.1,5.6,4.9,4.9,4.7,4.7,4.4,5.6,4.6,4.9,4,4,2.7,1.9,1.6,1.859506849
Portugal,1000 bbl/d,5,4.7,4.2,5.8,7.2,6.5,7,5.9,5.6,6.2,6.8,7.1,7.2,8.8,9.2,6.1,6.5,8.1,9.4,7.9,8.8,9.7,10,9,8.8,11,12,11,8.420191781
Puerto Rico,1000 bbl/d,0.9,1.1,2.6,2,3.5,3.5,2.8,2.6,2.8,2.8,3.3,3,3,3,3,3,2.8,2.8,2.8,2.8,2.8,2.8,0,0,0,0,0,0,0
Qatar,1000 bbl/d,19,1.4,2.7,5.9,6.4,0,0,1.5,2.2,2,2.2,2.6,3.9,3.9,0,0,0,0,0,0,13,16,19,22,26,32,39,43,27.24443836
Reunion,1000 bbl/d,0.2,0.2,0.2,0.2,0.2,0.3,0.02038,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,1.5,1.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,1.5,1.509232877
Romania,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,2.6,4.3,4.3,2,0,2.4,2,2.9,1.9,2.9,3,3.9,3.1,3.4,2.9,2.8,3.9,5.481863014
Russia,1000 bbl/d,NA,NA,NA,NA,NA,NA,277,237,230,230,230,295,295,295,295,313,325,512,518,472,115,116,124,124,162,194,176,227,413.2759726
Rwanda,1000 bbl/d,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.412794521
Saint Helena,1000 bbl/d,0,0.02172,0.02166,0.02172,0.02172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,1000 bbl/d,0,0.02438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.109479452
Saint Pierre and Miquelon,1000 bbl/d,0.5,0.6,0.6,1.1,1.1,0.9,0.9,0.3,0.4,0.08175,0.08153,0.08175,0.08175,0.081753425,0.081530055,0.081753425,0.081753425,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.122630137
Saint Vincent/Grenadines,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.217260274
Saudi Arabia,1000 bbl/d,73,65,104,170,76,220,174,200,196,232,252,252,164,164,39,39,89,90,100,95,86,90,93,89,105,109,99,103,108.6664658
Senegal,1000 bbl/d,2.7,5.1,4.8,0.5,4.7,4.8,2.5,3.5,4.9,5.1,5.1,5.2,5.2,5.3,1.5,1.6,1.5,4.3,6.8,6.1,6.9,8.4,6.9,5.6,5.8,5.8,5.7,6.8,6.862191781
Serbia,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0.9,1,0.9,1.1,1.764876712
Seychelles,1000 bbl/d,1.3,1.4,2.1,0.00171,1.9,2.3,1.6,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.3,2.4,2.1,2.1,2.7,2.2,2.4,2.6,2.1,2.1,2.1,1.7,1.72109589
Sierra Leone,1000 bbl/d,1.9,1.7,1.8,1.8,1.9,1.9,1.5,1.7,1.7,2,2,2.1,2.1,2.1,2.1,2.1,2.1,2.2,3,2.5,2.3,2.4,2.4,0.4,0.4,0.4,0.4,0.2,0.173808219
Singapore,1000 bbl/d,148,158,195,200,209,207,178,191,201,212,219,285,343,351,334,378,371,409,458,485,587,655,692,771,866,917,921,924,923.9767671
Slovakia,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.9,1.1,0.5,0.4,0.6,0.9,1.1,1.024931507
Solomon Islands,1000 bbl/d,0.0869,0.0869,0.04333,0.04345,0.04345,0.04345,0.04076,0.04345,0.04345,0.04345,0.04333,0.04345,0.04345,0.043452055,0.043333333,0.043452055,0.043452055,0.043452055,0.067650273,0.067835616,0.067835616,0.1,0.090890411,0.094579178,0.098729041,0.098729041,0.098729041,0.1,0.129068493
Somalia,1000 bbl/d,1.8,0.8,0.9,0.9,0.8,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,1.5,1.7,1.4,1.3,1.4,1.4,1.4,1.4,1.397150685
South Africa,1000 bbl/d,59,60,61,61,61,61,38,47,49,58,56,44,51,59,49,58,55,69,58,59,65,65,70,69,76,77,86,83,69.12410959
Spain,1000 bbl/d,55,63,69,59,71,73,75,64,63,60,87,108,113,110,112,125,127,130,133,147,153,157,163,162,156,159,148,134,145.1433425
Sri Lanka,1000 bbl/d,9.2,9.5,8.5,6.9,6.6,6.6,5.3,7.8,7.8,8,9.2,7.3,6.7,6.7,3,2.9,3.4,4.3,5,5.1,5.2,4.8,5.8,5.9,6.2,10,14,14,17.91643836
Sudan,1000 bbl/d,0.1,0.6,0.5,0.7,0.8,0.8,0.7,0.9,0.1,1,1,1,1,1,0.2,0.2,0.2,2.9,3.2,1.4,4.9,4.5,7.2,7.9,6.2,7.1,5.1,5.1,5.27539726
Suriname,1000 bbl/d,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,5.7,5.7,5.7,5.7,1.5,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,1.021123288
Swaziland,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01257937,0,0.013470137,0.011949315,0.011514795,0.011514795,0.011514795,0.021726027,0.021726027
Sweden,1000 bbl/d,12,16,12,13,12,15,17,17,20,19,20,24,29,28,25,26,23,30,34,35,38,39,37,39,36,31,31,30,31.95534247
Switzerland,1000 bbl/d,0,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.061315068
Syria,1000 bbl/d,6.4,6.9,7,10,10,6.8,5.7,4.1,4.3,2.2,2.1,2.3,2.3,2.3,2.3,0,0,2.1,2.5,2.1,2.2,1.3,3.5,23,23,19,10,9.6,5.208986301
Taiwan,1000 bbl/d,18,15,31,30,30,28,28,28,39,45,44,52,57,72,65,47,84,56,45,46,44,85,73,35,80,72,66,70,73.03351426
Tajikistan,1000 bbl/d,NA,NA,NA,NA,NA,NA,1.7,0,0,0,0,0,0,0,0.065,0.08690411,0.108630137,0.08690411,0.13,0.238986301,0.434520548,0.521424658,0.563333333,0.58660274,0.630054795,0.673506849,0.715,0.760410959,1.325287671
Tanzania,1000 bbl/d,0.5,0.4,0.6,4.7,1.1,1,0.4,1,1,1,1.1,1.1,1.1,1.1,0.5,0.4,0.4,0.4,0.4,0.5,2.3,2.5,2.6,2.7,3.1,3.4,3.5,3.8,4.111232877
Thailand,1000 bbl/d,24,30,35,41,33,39,39,18,19,19,15,15,15,15,70.80051913,75.17580822,78.52043836,82.70383562,94.58797814,99.30739726,103.3707397,100.3773425,95.97519126,90.8230137,92.99942466,92.12975342,87.17811475,93.19693151,95.22443836
Timor-Leste (East Timor),1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.065178082,0.065178082
Togo,1000 bbl/d,0.00408,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.2,1,1.2,1.4,1.4,1.8,1.7,1.8,1.9,2.042082192
Tonga,1000 bbl/d,0,0,0,0.0869,0.0869,0,0,0.06517,0.06517,0.06517,0.065,0.06517,0.06517,0.065178082,0.065,0.021726027,0.021726027,0.021726027,0.021666667,0.043452055,0.021726027,0.021726027,0.021726027,0.021726027,0.021726027,0.021726027,0.021726027,0.065479452,0.065479452
Trinidad and Tobago,1000 bbl/d,7,1.7,2.2,0.8,0.5,1.5,1.6,4.2,5.5,5,5.5,5.5,6,2.9,2.9,6.6,13,14,14,9.4,6.4,6.8,8.3,10,8,14,12,16,13.18126027
Tunisia,1000 bbl/d,0.04087,0.1,2,2.2,3.2,1.4,1.5,3.5,3.7,4.1,4.1,4.9,1.9,1.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5,0,4.9,5.6,5.3,6.4,6.4,6.042246575
Turkey,1000 bbl/d,3.5,3.5,2.2,3.3,2.3,2.6,2.1,1.9,2.1,3.8,2.4,3.2,3,5.4,7.7,4.7,10,12,18,20,19,16,12,11,7.2,2.9,3.7,17,18.5189589
Turkmenistan,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,12,10,9,9.9,10.21123288
Turks and Caicos Islands,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U.S. Pacific Islands,1000 bbl/d,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0,0.4,0.3,0.4,0.4,0.4,0.35
Uganda,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.998794521
Ukraine,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,14,14,14,14,0,14,6.7,6.4,7.8,7,7.1,7.6,5.5,5,5.8,5.2,6.2,2.7,2.780931507
United Arab Emirates,1000 bbl/d,130,131,131,131,127,192,159,162,162,160,175,201,205,205,122,129,147,152,177,188,247,252,372,310,311,326,373,368,388.0984932
United Kingdom,1000 bbl/d,41,32,35,46,48,49,49,48,44,47,50,55,58,44,40,32,37,34,40,39,44,44,44,45,39,42,38,48,44.91027397
United States,1000 bbl/d,NA,NA,615,619,653,741,683,627,621,634,639,681,703,660,666,614,616,640,700,733,739,747,734,685,757,728,693,953,685
Uruguay,1000 bbl/d,2.3,3.4,3.1,3,3,3,4.6,3.4,4.9,4.1,9.5,7.3,6.5,6.8,5.5,7.3,6.6,6.7,6.4,8.2,6,7.7,9.6,11,10,9.2,8.1,6.1,5.915671233
Uzbekistan,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,1000 bbl/d,0.4,0,0.4,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.203342466
Venezuela,1000 bbl/d,13,13,21,21,15,23,13,23,26,28,28,28,20,20,11,12,11,9.4,12,13,26,18,19,19,18,20,18,30,28.99208219
Vietnam,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.743661202,6.026273973,6.839643836,7.323561644,11.01625683,11.21676712,11.7850411,12.69838356,14.34674863,16.00243836,20.11290411,15.95134247,16.99480874,18.75008219,18.66378082
"Virgin Islands,  U.S.",1000 bbl/d,8.7,3.3,2.8,2.9,2.9,2.9,2.6,3.1,3.3,3.3,3.7,3.7,3.7,3.7,3.9,3.9,4,13,13,13,13,13,0,0,0,0,0,0,0
"Virgin Islands, British",1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wake Island,1000 bbl/d,8.1,7.6,8.2,8.2,8,8.2,0,8.3,8.3,8.4,8.4,8.8,8.8,8.8,8.9,8.9,9,9,9,9,8.2,8.2,6.2,8.2,7.9,8.2,8.2,8.2,8.15
Western Sahara,1000 bbl/d,0.09221,0.04345,0.09196,0.09221,0.09221,0.09221,0,0.09221,0.09221,0.09221,0.09196,0.09221,0.09221,0.092219178,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.135671233
Yemen,1000 bbl/d,2.9,7.1,6.8,6.2,7.5,7.3,2.8,3.4,2.8,3,3.2,4.2,3.2,3.2,1.9,1.9,2.3,2.4,4.6,4.6,4.9,5.2,4.9,4.9,4.7,3.3,2.7,4.1,3.738383562
Zambia,1000 bbl/d,0.7,0.8,0.8,0.8,0.8,0.8,0,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0.07295082,0.3,1.2,1.2,0.8,0.9,0.6,0.7,1.1,1.1,0.849972603
Zimbabwe,1000 bbl/d,2.2,2.1,1.7,1.8,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.24430137
