Delete aggregate buildings,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
region,gcam-consumer,gcam-consumer,supplysector,supplysector,supplysector,supplysector,supplysector,supplysector,renewresource,,,,,,,,
supplysector,subsector,technology,minicam-energy-input,1990,2005,1975,1990,2005,2020,2035,2050,2065,2080,2095,,1990,2005
resid heating,biomass,wood furnace,delivered biomass,0.5668,0.3919,1,1,1,1,1,1,1,1,1,,0.226713545,0.156776853
resid heating,gas,gas furnace,delivered gas,2.9211,3.4241,1,1,1,1,1,1,1,1,1,,2.028209374,2.78856484
resid heating,electricity,electric furnace,elect_td_bld,0.3316,0.2967,1,1,1,1,1,1,1,1,1,,0.331604729,0.296709918
resid heating,electricity,electric heat pump,elect_td_bld,0.0765,0.0479,1,1,1,1,1,1,1,1,1,,0.121198037,0.100358229
resid heating,refined liquids,fuel furnace,refined liquids enduse,1.0660,0.9428,1,1,1,1,1,1,1,1,1,,0.810243662,0.770614313
resid cooling,electricity,air conditioning,elect_td_bld,0.4545,0.9117,1,1,1,1,1,1,1,1,1,,1.026788232,2.660073921
resid hot water,gas,gas water heater,delivered gas,1.0499,1.0372,1,1,1,1,1,1,1,1,1,,0.546579546,0.580939366
resid hot water,electricity,electric resistance water heater,elect_td_bld,0.3339,0.4242,1,1,1,1,1,1,1,1,1,,0.282778143,0.376815035
resid hot water,electricity,electric heat pump water heater,elect_td_bld,0.0000,0.0000,0,0,0,1,1,1,1,1,1,,0,0
resid hot water,refined liquids,fuel water heater,refined liquids enduse,0.1398,0.1411,1,1,1,1,1,1,1,1,1,,0.071643508,0.076877816
resid lighting,electricity,incandescent,elect_td_bld,0.5824,0.7261,1,1,1,1,1,0,0,0,0,,0.012240929,0.015259856
resid lighting,electricity,fluorescent,elect_td_bld,0.0647,0.0807,1,1,1,1,1,1,1,1,1,,0.007769306,0.009685416
resid lighting,electricity,solid state,elect_td_bld,0.0000,0.0000,0,0,0,1,1,1,1,1,1,,0,0
resid appliances,gas,gas appliances,delivered gas,0.1693,0.2748,1,1,1,1,1,1,1,1,1,,0.167634297,0.274804754
resid appliances,electricity,electric appliances,elect_td_bld,0.8718,1.0690,1,1,1,1,1,1,1,1,1,,0.618037255,1.069038735
resid appliances,refined liquids,fuel appliances,refined liquids enduse,0.0262,0.0267,1,1,1,1,1,1,1,1,1,,0.02621312,0.026704811
resid other appliances,electricity,electricity,elect_td_bld,0.2875,0.4703,1,1,1,1,1,1,1,1,1,,0.287523363,0.470264245
resid other,gas,gas,delivered gas,0.0762,0.0000,1,1,0,0,0,0,0,0,0,,0.076203621,0
resid other,electricity,electricity,elect_td_bld,0.3175,1.1213,1,1,1,1,1,1,1,1,1,,0.317468193,1.121346458
resid other,refined liquids,refined liquids,refined liquids enduse,0.0087,0.1276,1,1,1,1,1,1,1,1,1,,0.008737707,0.12764132
comm heating,biomass,biomass boiler,delivered biomass,0.0000,0.1119,0,0,1,1,1,1,1,1,1,,0,0.072733297
comm heating,gas,gas furnace,delivered gas,1.0923,1.2413,1,1,1,1,1,1,1,1,1,,0.764576332,0.903066981
comm heating,electricity,electric furnace,elect_td_bld,0.0588,0.0728,1,1,1,1,1,1,1,1,1,,0.058786407,0.07283204
comm heating,electricity,electric heat pump,elect_td_bld,0.0525,0.0853,1,1,1,1,1,1,1,1,1,,0.157538878,0.264554045
comm heating,refined liquids,fuel boiler,refined liquids enduse,0.5417,0.4325,1,1,1,1,1,1,1,1,1,,0.379216467,0.327332815
comm cooling,gas,gas cooling,delivered gas,0.0169,0.0218,1,1,1,1,1,1,1,1,1,,0.01354731,0.018187181
comm cooling,electricity,air conditioning,elect_td_bld,0.5287,0.5825,1,1,1,1,1,1,1,1,1,,1.268812778,1.590414899
comm hot water,gas,gas water heater,delivered gas,0.3895,0.5380,1,1,1,1,1,1,1,1,1,,0.31158814,0.439156961
comm hot water,electricity,electric resistance water heater,elect_td_bld,0.1577,0.1776,1,1,1,1,1,1,1,1,1,,0.152943879,0.174629962
comm hot water,electricity,electric heat pump water heater,elect_td_bld,0.0000,0.0000,0,0,0,1,1,1,1,1,1,,0,0
comm hot water,refined liquids,fuel water heater,refined liquids enduse,0.0437,0.0426,1,1,1,1,1,1,1,1,1,,0.0327664,0.032717827
comm ventilation,electricity,ventilation,elect_td_bld,0.1577,0.2080,1,1,1,1,1,1,1,1,1,,0.117151858,0.154543631
comm cooking,gas,gas stove,delivered gas,0.1524,0.2208,1,1,1,1,1,1,1,1,1,,0.078357707,0.113414746
comm cooking,electricity,electric stove,elect_td_bld,0.0278,0.0440,1,1,1,1,1,1,1,1,1,,0.020079915,0.03133401
comm lighting,electricity,incandescent,elect_td_bld,0.3384,0.4122,1,1,1,1,1,0,0,0,0,,0.00707072,0.008614337
comm lighting,electricity,fluorescent,elect_td_bld,0.7190,0.8760,1,1,1,1,1,1,1,1,1,,0.086321377,0.105166294
comm lighting,electricity,solid state,elect_td_bld,0.0000,0.0000,0,0,0,1,1,1,1,1,1,,0,0
comm refrigeration,electricity,refrigeration,elect_td_bld,0.1298,0.2562,1,1,1,1,1,1,1,1,1,,0.181314059,0.503023348
comm office,electricity,office equipment,elect_td_bld,0.2411,0.6263,1,1,1,1,1,1,1,1,1,,0.241148627,0.62629038
comm other,gas,gas,delivered gas,0.9906,0.9206,1,1,1,1,1,1,1,1,1,,0.990647075,0.920649526
comm other,electricity,electricity,elect_td_bld,0.6121,1.4885,1,1,1,1,1,1,1,1,1,,0.612146516,1.488511458
comm other,refined liquids,refined liquids,refined liquids enduse,0.1922,0.2112,1,1,1,1,1,1,1,1,1,,0.192229545,0.211247684
comm other,coal,coal,delivered coal,0.3997,0.0797,1,1,1,0,0,0,0,0,0,,0.399701236,0.079687364
,,,,,,,,,,,,,,,,,
Non-fuel costs,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
1003,,,minicam-non-energy-input,,,,,,,,,,,,,,
,,,input-cost,,,,,,,,,,,,,,
supplysector,subsector,technology,1990,2005,2020,2035,2050,2065,2080,2095,,Data source,,,,,
resid heating,biomass,wood furnace,1.355,1.355,1.335,1.315,1.295,1.276,1.257,1.238,,na,,,,,
resid heating,gas,gas furnace,2.134,2.134,2.102,2.071,2.040,2.010,1.980,1.950,,LBNL,,,,,
resid heating,electricity,electric furnace,1.959,1.959,1.930,1.901,1.873,1.845,1.817,1.790,,NCI,,,,,
resid heating,electricity,electric heat pump,5.782,5.782,5.696,5.611,5.528,5.445,5.364,5.284,,NCI,,,,,
resid heating,refined liquids,fuel furnace,2.565,2.565,2.527,2.489,2.452,2.415,2.379,2.344,,NCI,,,,,
resid cooling,electricity,air conditioning,9.033,9.033,8.898,8.766,8.635,8.507,8.380,8.255,,LBNL,,,,,
resid hot water,gas,gas water heater,4.375,4.375,4.310,4.246,4.183,4.120,4.059,3.999,,LBNL,,,,,
resid hot water,electricity,electric resistance water heater,3.955,3.955,3.896,3.838,3.781,3.724,3.669,3.614,,LBNL,,,,,
resid hot water,electricity,electric heat pump water heater,8.329,8.329,8.329,8.022,7.726,7.441,7.167,6.903,,LBNL,,,,,
resid hot water,refined liquids,fuel water heater,7.876,7.876,13.060,12.866,12.674,12.485,12.299,12.116,,LBNL,1.8,multiplier from gas to oil,,,
resid lighting,electricity,incandescent,33.047,33.047,32.555,32.070,31.592,31.122,30.658,30.202,,NCI,,,,,
resid lighting,electricity,fluorescent,56.159,56.159,55.323,54.499,53.687,52.887,52.099,51.323,,NCI,,,,,
resid lighting,electricity,solid state,393.435,393.435,387.575,381.802,376.115,370.512,364.993,359.556,,NCI,,,,,
resid appliances,gas,gas appliances,11.135,11.135,10.970,10.806,10.645,10.487,10.330,10.177,,NREL,,,,,
resid appliances,electricity,electric appliances,10.672,10.672,10.672,10.513,10.357,10.202,10.050,9.901,,"NREL, others",,,,,
resid appliances,refined liquids,fuel appliances,13.145,13.145,12.949,12.756,12.566,12.379,12.195,12.013,,NREL,,,,,
resid other appliances,electricity,electricity,201.269,201.269,198.271,195.318,192.409,189.543,186.719,183.938,,Various,,,,,
resid other,gas,gas,20.000,20.000,19.702,19.409,19.120,18.835,18.554,18.278,,Various,,,,,
resid other,electricity,electricity,66.774,66.774,65.779,64.800,63.834,62.884,61.947,61.024,,Various,,,,,
resid other,refined liquids,refined liquids,20.000,20.000,19.702,19.409,19.120,18.835,18.554,18.278,,Various,,,,,
comm heating,biomass,biomass boiler,1.355,1.355,1.335,1.315,1.295,1.276,1.257,1.238,,na,,,,,
comm heating,gas,gas furnace,2.932,2.932,2.888,2.845,2.803,2.761,2.720,2.680,,LBNL,,,,,
comm heating,electricity,electric furnace,1.754,1.754,1.728,1.702,1.677,1.652,1.627,1.603,,NCI,,,,,
comm heating,electricity,electric heat pump,3.366,3.366,3.316,3.266,3.218,3.170,3.123,3.076,,NCI,,,,,
comm heating,refined liquids,fuel boiler,0.958,0.958,0.944,0.930,0.916,0.902,0.889,0.876,,LBNL,,,,,
comm cooling,gas,gas cooling,5.000,5.000,4.926,4.852,4.780,4.709,4.639,4.569,,na,,,,,
comm cooling,electricity,air conditioning,1.903,1.903,1.875,1.847,1.819,1.792,1.766,1.739,,LBNL,,,,,
comm hot water,gas,gas water heater,0.426,0.426,0.420,0.414,0.407,0.401,0.395,0.389,,LBNL,,,,,
comm hot water,electricity,electric resistance water heater,0.491,0.491,0.484,0.476,0.469,0.462,0.455,0.449,,NCI,,,,,
comm hot water,electricity,electric heat pump water heater,4.865,4.865,4.792,4.721,4.651,4.581,4.513,4.446,,NCI,,,,,
comm hot water,refined liquids,fuel water heater,0.491,0.491,0.484,0.476,0.469,0.462,0.455,0.449,,NCI,,,,,
comm ventilation,electricity,ventilation,10.369,10.369,10.369,10.215,10.063,9.913,9.765,9.620,,na,,,,,
comm cooking,gas,gas stove,25.774,25.774,25.390,25.012,24.640,24.273,23.911,23.555,,NREL,,,,,
comm cooking,electricity,electric stove,42.604,42.604,41.969,41.344,40.728,40.122,39.524,38.935,,NREL,,,,,
comm lighting,electricity,incandescent,26.189,26.189,25.799,25.414,25.036,24.663,24.295,23.934,,NCI,,,,,
comm lighting,electricity,fluorescent,19.158,19.158,18.873,18.592,18.315,18.042,17.773,17.508,,NCI,,,,,
comm lighting,electricity,solid state,114.560,114.560,112.853,111.172,109.516,107.885,106.278,104.695,,NCI,,,,,
comm refrigeration,electricity,refrigeration,5.340,5.340,5.260,5.182,5.105,5.028,4.954,4.880,,NREL,,,,,
comm office,electricity,office equipment,44.188,44.188,43.530,42.881,42.243,41.613,40.993,40.383,,various,,,,,
comm other,gas,gas,20.000,20.000,19.702,19.409,19.120,18.835,18.554,18.278,,na,,,,,
comm other,electricity,electricity,40.064,40.064,39.468,38.880,38.301,37.730,37.168,36.614,,na,,,,,
comm other,refined liquids,refined liquids,20.000,20.000,19.702,19.409,19.120,18.835,18.554,18.278,,na,,,,,
comm other,coal,coal,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,,,,,,,
,,,,,,,,,,,,,,,,,
Internal gains,,,,,,,,,,,,,,,,,
Internal gains are computed as an output ratio rather than an input ratio. Therefore the values in this table need to be divided by the primary efficiency.,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
1004,,,column not read,,,,,,,,,,,,,,
,,,internal-gains,,,,,,,,,,,,,,
supplysector,subsector,technology,output-ratio,internal-gains-trial-market,,,,,,,,,,,,,
resid hot water,gas,gas water heater,0.112,resid-internal-gains-trial-market,,,,,,,,,,,,,
resid hot water,electricity,electric resistance water heater,0.112,resid-internal-gains-trial-market,,,,,,,,,,,,,
resid hot water,electricity,electric heat pump water heater,0.112,resid-internal-gains-trial-market,,,,,,,,,,,,,
resid hot water,refined liquids,fuel water heater,0.112,resid-internal-gains-trial-market,,,,,,,,,,,,,
resid lighting,electricity,incandescent,0.802,resid-internal-gains-trial-market,,,,,,,,,,,,,
resid lighting,electricity,fluorescent,0.720,resid-internal-gains-trial-market,,,,,,,,,,,,,
resid lighting,electricity,solid state,0.694,resid-internal-gains-trial-market,,,,,,,,,,,,,
resid appliances,gas,gas appliances,0.632,resid-internal-gains-trial-market,,,,,,,,,,,,,
resid appliances,electricity,electric appliances,0.632,resid-internal-gains-trial-market,,,,,,,,,,,,,
resid appliances,refined liquids,fuel appliances,0.632,resid-internal-gains-trial-market,,,,,,,,,,,,,
resid other appliances,electricity,electricity,0.866,resid-internal-gains-trial-market,,,,,,,,,,,,,
resid other,gas,gas,0.866,resid-internal-gains-trial-market,,,,,,,,,,,,,
resid other,electricity,electricity,0.866,resid-internal-gains-trial-market,,,,,,,,,,,,,
resid other,refined liquids,refined liquids,0.866,resid-internal-gains-trial-market,,,,,,,,,,,,,
comm hot water,gas,gas water heater,0.017,comm-internal-gains-trial-market,,,,,,,,,,,,,
comm hot water,electricity,electric resistance water heater,0.017,comm-internal-gains-trial-market,,,,,,,,,,,,,
comm hot water,electricity,electric heat pump water heater,0.017,comm-internal-gains-trial-market,,,,,,,,,,,,,
comm hot water,refined liquids,fuel water heater,0.017,comm-internal-gains-trial-market,,,,,,,,,,,,,
comm ventilation,electricity,ventilation,0.000,comm-internal-gains-trial-market,,,,,,,,,,,,,
comm cooking,gas,gas stove,0.500,comm-internal-gains-trial-market,,,,,,,,,,,,,
comm cooking,electricity,electric stove,0.700,comm-internal-gains-trial-market,,,,,,,,,,,,,
comm lighting,electricity,incandescent,0.979,comm-internal-gains-trial-market,,,,,,,,,,,,,
comm lighting,electricity,fluorescent,0.878,comm-internal-gains-trial-market,,,,,,,,,,,,,
comm lighting,electricity,solid state,0.846,comm-internal-gains-trial-market,,,,,,,,,,,,,
comm refrigeration,electricity,refrigeration,1.000,comm-internal-gains-trial-market,,,,,,,,,,,,,
comm office,electricity,office equipment,0.800,comm-internal-gains-trial-market,,,,,,,,,,,,,
comm other,gas,gas,0.048,comm-internal-gains-trial-market,,,,,,,,,,,,,
comm other,electricity,electricity,0.048,comm-internal-gains-trial-market,,,,,,,,,,,,,
comm other,refined liquids,refined liquids,0.048,comm-internal-gains-trial-market,,,,,,,,,,,,,
comm other,coal,coal,0.048,comm-internal-gains-trial-market,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
1005,,,internal-gains,,,,,,,,,,,,,,
,,,output-ratio,,,,,,,,,,,,,,
supplysector,subsector,technology,1990,2005,2020,2035,2050,2065,2080,2095,,,,,,,
resid hot water,gas,gas water heater,0.215,0.200,0.182,0.178,0.176,0.173,0.170,0.168,,,,,,,
resid hot water,electricity,electric resistance water heater,0.132,0.126,0.118,0.113,0.113,0.113,0.113,0.113,,,,,,,
resid hot water,electricity,electric heat pump water heater,0.051,0.051,0.051,0.050,0.049,0.049,0.048,0.047,,,,,,,
resid hot water,refined liquids,fuel water heater,0.218,0.205,0.184,0.176,0.173,0.171,0.168,0.165,,,,,,,
resid lighting,electricity,incandescent,38.165,38.165,37.597,37.038,36.487,35.944,35.409,34.882,,,,,,,
resid lighting,electricity,fluorescent,5.995,5.995,5.906,5.818,5.731,5.646,5.562,5.479,,,,,,,
resid lighting,electricity,solid state,0.694,4.512,4.512,4.346,4.186,4.032,3.884,3.741,,,,,,,
resid appliances,gas,gas appliances,0.639,0.632,0.628,0.623,0.614,0.605,0.596,0.587,,,,,,,
resid appliances,electricity,electric appliances,0.892,0.632,0.571,0.560,0.552,0.544,0.535,0.528,,,,,,,
resid appliances,refined liquids,fuel appliances,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.632,,,,,,,
resid other appliances,electricity,electricity,0.866,0.866,0.948,0.913,0.880,0.847,0.816,0.786,,,,,,,
resid other,gas,gas,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,,,,,,,
resid other,electricity,electricity,0.866,0.866,0.794,0.765,0.736,0.709,0.683,0.658,,,,,,,
resid other,refined liquids,refined liquids,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,,,,,,,
comm hot water,gas,gas water heater,0.021,0.021,0.020,0.020,0.019,0.019,0.019,0.018,,,,,,,
comm hot water,electricity,electric resistance water heater,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,,,,,,,
comm hot water,electricity,electric heat pump water heater,0.017,0.008,0.008,0.007,0.007,0.007,0.007,0.007,,,,,,,
comm hot water,refined liquids,fuel water heater,0.022,0.022,0.021,0.021,0.021,0.020,0.020,0.020,,,,,,,
comm ventilation,electricity,ventilation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,
comm cooking,gas,gas stove,0.973,0.973,0.949,0.937,0.923,0.910,0.896,0.883,,,,,,,
comm cooking,electricity,electric stove,0.970,0.982,0.936,0.928,0.914,0.900,0.887,0.874,,,,,,,
comm lighting,electricity,incandescent,46.837,46.837,46.140,45.454,44.777,44.111,43.455,42.808,,,,,,,
comm lighting,electricity,fluorescent,7.314,7.314,7.205,7.098,6.992,6.888,6.786,6.685,,,,,,,
comm lighting,electricity,solid state,0.846,5.505,5.505,5.302,5.107,4.920,4.739,4.565,,,,,,,
comm refrigeration,electricity,refrigeration,0.716,0.509,0.403,0.375,0.361,0.348,0.335,0.323,,,,,,,
comm office,electricity,office equipment,0.800,0.800,0.771,0.742,0.715,0.689,0.663,0.639,,,,,,,
comm other,gas,gas,0.048,0.048,0.047,0.045,0.043,0.042,0.040,0.039,,,,,,,
comm other,electricity,electricity,0.048,0.048,0.050,0.048,0.046,0.044,0.043,0.041,,,,,,,
comm other,refined liquids,refined liquids,0.048,0.048,0.047,0.045,0.043,0.042,0.040,0.039,,,,,,,
comm other,coal,coal,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,,,,,,,
,,,,,,,,,,,,,,,,,
Lifetime and retirement rate for 2005 technologies,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
1006,,,,,,,,,,,,,,,,,
,,,,,phased-shutdown-decider,,,,,,,,,,,,
supplysector,subsector,technology,period,lifetime,shutdown-rate,,,,,,,,,,,,
resid heating,biomass,wood furnace,2005,40,0.024,,,,,,,,,,,,
resid heating,gas,gas furnace,2005,40,0.024,,,,,,,,,,,,
resid heating,electricity,electric furnace,2005,40,0.024,,,,,,,,,,,,
resid heating,electricity,electric heat pump,2005,40,0.024,,,,,,,,,,,,
resid heating,refined liquids,fuel furnace,2005,40,0.024,,,,,,,,,,,,
resid cooling,electricity,air conditioning,2005,30,0.037,,,,,,,,,,,,
resid hot water,gas,gas water heater,2005,30,0.032,,,,,,,,,,,,
resid hot water,electricity,electric resistance water heater,2005,30,0.032,,,,,,,,,,,,
resid hot water,electricity,electric heat pump water heater,2005,30,0.032,,,,,,,,,,,,
resid hot water,refined liquids,fuel water heater,2005,30,0.032,,,,,,,,,,,,
resid appliances,electricity,electric appliances,2005,25,0.051,,,,,,,,,,,,
comm heating,biomass,biomass boiler,2005,40,0.024,,,,,,,,,,,,
comm heating,gas,gas furnace,2005,40,0.024,,,,,,,,,,,,
comm heating,electricity,electric furnace,2005,40,0.024,,,,,,,,,,,,
comm heating,electricity,electric heat pump,2005,40,0.024,,,,,,,,,,,,
comm heating,refined liquids,fuel boiler,2005,40,0.024,,,,,,,,,,,,
comm cooling,gas,gas cooling,2005,30,0.037,,,,,,,,,,,,
comm cooling,electricity,air conditioning,2005,30,0.037,,,,,,,,,,,,
comm hot water,gas,gas water heater,2005,30,0.032,,,,,,,,,,,,
comm hot water,electricity,electric resistance water heater,2005,30,0.032,,,,,,,,,,,,
comm hot water,electricity,electric heat pump water heater,2005,30,0.032,,,,,,,,,,,,
comm hot water,refined liquids,fuel water heater,2005,30,0.032,,,,,,,,,,,,
comm refrigeration,electricity,refrigeration,2005,25,0.051,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
S-curve retirement rates for building technologies,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
1007,,,,,,,,,,,,,,,,,
,,,,,s-curve-shutdown-decider,,,,,,,,,,,,
supplysector,subsector,technology,period,lifetime,half-life,steepness,,,,,,,,,,,
resid heating,biomass,wood furnace,future periods,40,20,0.189,,,,,,,,,,,
resid heating,gas,gas furnace,future periods,40,20,0.189,,,,,,,,,,,
resid heating,electricity,electric furnace,future periods,40,20,0.189,,,,,,,,,,,
resid heating,electricity,electric heat pump,future periods,40,20,0.189,,,,,,,,,,,
resid heating,refined liquids,fuel furnace,future periods,40,20,0.189,,,,,,,,,,,
resid cooling,electricity,air conditioning,future periods,30,18,0.260,,,,,,,,,,,
resid hot water,gas,gas water heater,future periods,30,17,0.227,,,,,,,,,,,
resid hot water,electricity,electric resistance water heater,future periods,30,17,0.227,,,,,,,,,,,
resid hot water,electricity,electric heat pump water heater,future periods,30,17,0.227,,,,,,,,,,,
resid hot water,refined liquids,fuel water heater,future periods,30,17,0.227,,,,,,,,,,,
resid appliances,electricity,electric appliances,future periods,25,14,0.275,,,,,,,,,,,
comm heating,biomass,biomass boiler,future periods,40,20,0.189,,,,,,,,,,,
comm heating,gas,gas furnace,future periods,40,20,0.189,,,,,,,,,,,
comm heating,electricity,electric furnace,future periods,40,20,0.189,,,,,,,,,,,
comm heating,electricity,electric heat pump,future periods,40,20,0.189,,,,,,,,,,,
comm heating,refined liquids,fuel boiler,future periods,40,20,0.189,,,,,,,,,,,
comm cooling,gas,gas cooling,future periods,30,18,0.260,,,,,,,,,,,
comm cooling,electricity,air conditioning,future periods,30,18,0.260,,,,,,,,,,,
comm hot water,gas,gas water heater,future periods,30,17,0.227,,,,,,,,,,,
comm hot water,electricity,electric resistance water heater,future periods,30,17,0.227,,,,,,,,,,,
comm hot water,electricity,electric heat pump water heater,future periods,30,17,0.227,,,,,,,,,,,
comm hot water,refined liquids,fuel water heater,future periods,30,17,0.227,,,,,,,,,,,
comm refrigeration,electricity,refrigeration,future periods,25,14,0.275,,,,,,,,,,,
