# File: A23.CoolingSystemShares_RG3.csv
# Title: Cooling system shares for GCAM3 regions
# Units: Unitless
# Source: Various sources. USA values are from UCS data. WEUR future are from Schakel inventory.
region_GCAM3,plant_type,cooling_system,water_type,1971,2005,2010,2015,2100
India,coal,dry cooling,fresh,0.0354,0.0354,0.0354,0.035,0.035
India,fossil non-coal,once through,fresh,0.329,0.329,0.329,0.07,0.07
India,fossil non-coal,once through,seawater,0.141,0.141,0.141,0.03,0.03
India,fossil non-coal,recirculating,fresh,0.4946,0.4946,0.4946,0.865,0.865
India,fossil non-coal,cooling pond,fresh,0,0,0,0,0
India,fossil non-coal,dry cooling,fresh,0.0354,0.0354,0.0354,0.035,0.035
India,combined cycle,once through,fresh,0.329,0.329,0.329,0.07,0.07
India,combined cycle,once through,seawater,0.141,0.141,0.141,0.03,0.03
India,combined cycle,recirculating,fresh,0.4946,0.4946,0.4946,0.865,0.865
India,combined cycle,cooling pond,fresh,0,0,0,0,0
India,combined cycle,dry cooling,fresh,0.0354,0.0354,0.0354,0.035,0.035
India,nuclear,once through,fresh,0.329,0.329,0.329,0.07,0.07
India,nuclear,once through,seawater,0.141,0.141,0.141,0.03,0.03
India,nuclear,recirculating,fresh,0.53,0.53,0.53,0.9,0.9
India,nuclear,cooling pond,fresh,0,0,0,0,0
India,IGCC,once through,fresh,0.329,0.329,0.329,0.07,0.07
India,IGCC,once through,seawater,0.141,0.141,0.141,0.03,0.03
India,IGCC,recirculating,fresh,0.4946,0.4946,0.4946,0.865,0.865
India,IGCC,dry cooling,fresh,0.0354,0.0354,0.0354,0.035,0.035
India,geothermal,recirculating,fresh,0.6,0.6,0.6,0.6,0.6
India,geothermal,dry_hybrid,fresh,0.4,0.4,0.4,0.4,0.4
India,CSP,recirculating,fresh,0.5,0.5,0.5,0.5,0.5
India,CSP,dry_hybrid,fresh,0.5,0.5,0.5,0.5,0.5
