# File: MOVES_motorcycle_data.csv
# Title: Emissions and Distance data for motorcycles to be used for EF calculations
# Units: emissions are in g/year (mass) and distance is in miles
# Source: EPA-ORD Dan Loughlin using MOVES 3.0. Ran 4 month per year one county per state chosen at random
# Column types: nnnnnnnnnnnnn
# ----------
Year,State,ModelYr,NH3,CO,CH4,N2O,NOx,Total_PM10,Total_PM25,SO2,VOC,Distance
2020,30,2004,60,39675,297,4,1888,50,44,6,8454,2211
2020,30,2005,76,50626,378,6,2409,64,56,8,10517,2821
2020,30,2006,218,58683,434,6,2791,74,65,9,10367,3270
2020,30,2007,236,63449,469,7,3017,80,71,10,10883,3536
2020,30,2008,202,34849,238,6,2414,68,61,8,8061,3025
2020,30,2009,172,29704,203,5,2058,58,52,7,6649,2579
2020,30,2010,83,14289,98,2,991,28,25,3,3081,1242
2020,30,2011,114,19657,134,3,1365,39,34,5,3895,1710
2020,30,2012,177,30479,208,5,2118,60,53,7,5804,2655
2020,30,2013,183,31496,215,5,2192,62,55,7,5737,2747
2020,30,2014,236,40596,277,7,2825,80,71,10,7050,3540
2020,30,2015,278,47750,325,8,3323,94,83,11,7866,4164
2020,30,2016,331,56967,388,10,3964,112,99,14,8750,4968
2020,30,2017,407,69951,477,12,4868,138,122,17,10032,6100
2020,30,2018,668,114857,783,20,7992,226,200,27,15104,10016
2020,30,2019,894,153655,1047,26,10692,303,268,36,18206,13399
2020,30,2020,1671,287166,1957,49,19982,566,501,68,28547,25041
2020,31,1990,177,240944,2309,35,9772,234,207,21,118247,10272
2020,31,1991,15,14930,143,2,606,14,13,1,6880,637
2020,31,1992,20,19627,188,3,796,19,17,2,8528,837
2020,31,1993,29,28577,274,4,1159,28,25,3,11888,1218
2020,31,1994,35,37725,352,5,1413,34,30,4,13731,1483
2020,31,1995,46,49457,462,7,1852,44,39,5,16898,1944
2020,31,1996,59,64255,600,7,2406,57,51,6,21275,2525
2020,31,1997,70,75709,707,8,2834,68,60,7,23507,2974
2020,31,1998,92,99145,925,11,3710,89,78,10,25559,3894
2020,31,1999,128,138616,1293,15,5186,124,110,14,34005,5442
2020,31,2000,175,189604,1768,20,7092,169,150,19,45674,7442
2020,31,2001,228,245459,2271,26,9120,237,210,25,44312,9708
2020,31,2002,285,305714,2829,33,11358,295,261,31,54158,12092
2020,31,2003,368,395919,3663,42,14710,383,338,41,68588,15659
2020,31,2004,357,279391,2495,41,11674,370,328,39,58819,15161
2020,31,2005,455,356505,3183,52,14897,473,418,50,73417,19346
2020,31,2006,1303,413241,3665,61,17256,548,485,58,74592,22425
2020,31,2007,1409,446808,3963,66,18658,592,524,63,78631,24246
2020,31,2008,1205,244253,1983,56,14925,507,448,54,57190,20744
2020,31,2009,1027,208192,1690,48,12722,432,382,46,47374,17681
2020,31,2010,495,100194,813,23,6127,208,184,22,22068,8515
2020,31,2011,681,137889,1119,32,8438,286,253,30,28316,11727
2020,31,2012,1058,213897,1735,49,13098,444,393,47,42441,18203
2020,31,2013,1094,221135,1793,51,13550,460,407,49,42244,18832
2020,31,2014,1410,285023,2312,66,17465,592,524,63,52295,24273
2020,31,2015,1659,335247,2719,77,20542,697,616,74,58847,28551
2020,31,2016,1979,399961,3244,92,24508,831,735,88,66276,34062
2020,31,2017,2430,491122,3983,113,30094,1021,903,108,76927,41825
2020,31,2018,3990,806402,6540,186,49413,1676,1483,178,117773,68675
2020,31,2019,5338,1078807,8749,249,66104,2242,1984,238,145031,91874
2020,31,2020,9976,2016177,16352,465,123542,4191,3707,445,236739,171703
2020,32,1990,91,118881,1096,13,5342,115,102,10,43500,5074
2020,32,1991,8,7366,68,1,331,7,6,1,2543,314
2020,32,1992,10,9684,89,1,435,9,8,1,3164,413
2020,32,1993,15,14100,130,2,634,14,12,1,4424,602
2020,32,1994,18,18621,167,2,772,17,15,2,5144,732
2020,32,1995,23,24412,219,3,1012,22,19,2,6361,960
2020,32,1996,30,31713,285,3,1315,28,25,3,8064,1247
2020,32,1997,36,37363,335,3,1549,33,29,4,8941,1469
2020,32,1998,47,48924,439,4,2028,44,39,5,9736,1923
2020,32,1999,66,68393,614,6,2835,61,54,7,12977,2688
2020,32,2000,90,93540,839,8,3877,83,74,9,17466,3676
2020,32,2001,117,126062,1221,10,5040,120,106,12,18859,4795
2020,32,2002,146,157007,1521,12,6277,150,132,15,23120,5972
2020,32,2003,189,203334,1969,16,8129,194,171,20,29388,7734
2020,32,2004,183,143407,1338,16,6449,188,166,19,24609,7488
2020,32,2005,233,182989,1708,20,8229,240,212,25,30817,9555
2020,32,2006,667,212110,1973,23,9537,278,246,28,32383,11076
2020,32,2007,721,229339,2133,25,10311,300,266,31,34270,11976
2020,32,2008,617,124858,1060,21,8243,257,227,26,24155,10246
2020,32,2009,526,106424,904,18,7026,219,194,22,20084,8733
2020,32,2010,253,51239,435,9,3384,105,93,11,9399,4206
2020,32,2011,349,70546,599,12,4660,145,128,15,12243,5792
2020,32,2012,541,109479,929,19,7234,225,199,23,18442,8991
2020,32,2013,560,113231,961,19,7484,233,206,24,18461,9302
2020,32,2014,722,145945,1239,25,9646,300,266,31,22994,11989
2020,32,2015,849,171662,1457,29,11345,353,313,36,26054,14102
2020,32,2016,1012,204798,1738,35,13536,421,373,43,29620,16824
2020,32,2017,1243,251477,2134,43,16621,518,458,53,34713,20658
2020,32,2018,2041,412915,3504,70,27290,850,752,87,53818,33920
2020,32,2019,2731,552398,4688,94,36509,1137,1006,117,67336,45378
2020,32,2020,5104,1032375,8761,176,68232,2125,1880,218,113072,84807
2020,33,1990,633,838299,7280,103,34542,799,706,72,337842,34984
2020,33,1991,53,51945,451,6,2140,49,44,5,19683,2168
2020,33,1992,70,68288,593,8,2814,65,58,7,24422,2850
2020,33,1993,102,99424,863,12,4097,95,84,10,34070,4149
2020,33,1994,125,131232,1110,15,4993,115,102,12,39425,5049
2020,33,1995,163,172045,1455,19,6546,151,134,16,48579,6619
2020,33,1996,212,223537,1890,20,8503,196,174,22,60056,8598
2020,33,1997,250,263401,2227,24,10017,231,205,26,66513,10128
2020,33,1998,327,344964,2915,31,13115,303,268,34,73052,13261
2020,33,1999,457,482332,4075,43,18331,423,374,48,97462,18535
2020,33,2000,626,659805,5572,59,25067,579,512,66,130990,25346
2020,33,2001,816,832359,6958,77,32221,797,705,86,120581,33064
2020,33,2002,1016,1036684,8666,96,40131,992,878,108,147607,41180
2020,33,2003,1316,1342574,11223,124,51972,1285,1137,139,187292,53331
2020,33,2004,1274,947678,7651,120,41251,1244,1101,135,158923,51635
2020,33,2005,1626,1209246,9763,153,52636,1587,1404,172,198703,65887
2020,33,2006,4654,1401691,11224,178,60968,1840,1628,200,197640,76372
2020,33,2007,5032,1515548,12136,192,65921,1990,1760,216,208966,82576
2020,33,2008,4305,828823,6082,164,52728,1702,1506,185,149242,70647
2020,33,2009,3669,706457,5184,140,44943,1451,1283,158,123995,60217
2020,33,2010,1767,339918,2493,67,21644,699,618,76,57958,29000
2020,33,2011,2434,467712,3429,93,29808,962,851,104,73974,39938
2020,33,2012,3778,725379,5315,144,46271,1493,1320,162,111365,61996
2020,33,2013,3908,749774,5493,149,47870,1544,1366,168,111406,64138
2020,33,2014,5038,966388,7080,192,61700,1990,1760,216,138688,82668
2020,33,2015,5925,1136675,8327,226,72572,2340,2070,254,157060,97235
2020,33,2016,7069,1356092,9935,270,86581,2792,2470,303,178169,116004
2020,33,2017,8680,1665183,12199,331,106315,3428,3033,373,208672,142445
2020,33,2018,14252,2734158,20030,544,174565,5629,4980,612,323066,233889
2020,33,2019,19067,3657765,26797,727,233533,7531,6662,818,403848,312897
2020,33,2020,35634,6835976,50080,1359,436449,14074,12450,1530,676901,584772
2020,34,1990,1051,1471542,15148,262,53429,1428,1264,135,850230,63555
2020,34,1991,89,91184,939,16,3311,89,78,9,49299,3938
2020,34,1992,117,119873,1234,21,4352,116,103,12,60972,5177
2020,34,1993,170,174528,1797,31,6337,169,150,18,84841,7538
2020,34,1994,207,230419,2311,38,7724,206,182,22,97683,9173
2020,34,1995,271,302078,3029,50,10126,270,239,30,119861,12025
2020,34,1996,352,392469,3935,51,13152,351,311,39,144803,15620
2020,34,1997,415,462439,4635,60,15494,414,366,46,158763,18400
2020,34,1998,543,605604,6069,79,20285,541,479,61,163600,24091
2020,34,1999,759,846713,8483,110,28354,757,669,87,214733,33672
2020,34,2000,1038,1158194,11600,150,38773,1035,916,119,288328,46046
2020,34,2001,1354,1384502,16702,196,49422,1335,1181,156,274414,60067
2020,34,2002,1686,1724368,20802,244,61554,1662,1470,194,335696,74813
2020,34,2003,2184,2233166,26940,317,79716,2153,1904,251,425615,96887
2020,34,2004,2114,1575875,18313,307,63263,2084,1844,243,358102,93805
2020,34,2005,2698,2010829,23368,391,80724,2659,2352,310,447298,119697
2020,34,2006,7722,2330842,26991,453,93517,3083,2727,359,443872,138746
2020,34,2007,8349,2520172,29184,490,101113,3333,2948,389,468646,150016
2020,34,2008,7143,1382115,14603,419,80910,2851,2522,332,329867,128345
2020,34,2009,6088,1178063,12447,358,68964,2430,2150,283,273498,109396
2020,34,2010,2932,566955,5991,172,33213,1170,1035,136,127557,52684
2020,34,2011,4038,780268,8248,237,45740,1612,1426,188,162068,72555
2020,34,2012,6268,1210385,12797,368,71002,2501,2213,292,243335,112628
2020,34,2013,6485,1251357,13234,381,73455,2588,2289,302,242673,116520
2020,34,2014,8358,1612881,17057,491,94677,3335,2950,389,301027,150183
2020,34,2015,9831,1897086,20063,577,111360,3923,3470,458,339528,176647
2020,34,2016,11729,2263290,23936,689,132856,4680,4140,546,381971,210746
2020,34,2017,14402,2779153,29391,846,163138,5747,5084,670,444970,258781
2020,34,2018,23648,4563253,48259,1389,267865,9436,8347,1101,683230,424906
2020,34,2019,31636,6104735,64561,1858,358350,12623,11167,1472,846786,568441
2020,34,2020,59125,11409102,120657,3472,669718,23591,20869,2752,1397100,1062357
2020,35,1990,113,138656,1120,15,6091,134,119,12,94953,5843
2020,35,1991,10,8592,69,1,377,8,7,1,5495,362
2020,35,1992,13,11295,91,1,496,11,10,1,6773,476
2020,35,1993,18,16445,133,2,722,16,14,2,9400,693
2020,35,1994,22,21716,171,2,880,19,17,2,10754,843
2020,35,1995,29,28469,224,3,1154,25,23,3,13135,1106
2020,35,1996,38,36988,291,3,1499,33,29,4,16591,1436
2020,35,1997,45,43581,343,3,1766,39,34,4,18104,1692
2020,35,1998,59,57072,449,4,2312,51,45,6,18467,2215
2020,35,1999,82,79793,627,6,3232,71,63,8,24150,3096
2020,35,2000,112,109144,857,9,4420,97,86,11,32341,4233
2020,35,2001,146,141596,1102,11,5685,136,121,15,31850,5522
2020,35,2002,182,176355,1372,14,7080,170,150,18,38739,6878
2020,35,2003,235,228391,1777,18,9169,220,195,24,48773,8908
2020,35,2004,228,161088,1208,17,7275,213,188,23,42949,8624
2020,35,2005,291,205549,1541,22,9283,272,240,30,53329,11005
2020,35,2006,833,238261,1781,26,10757,315,279,34,54414,12756
2020,35,2007,900,257615,1925,28,11631,341,301,37,56928,13792
2020,35,2008,770,140889,970,24,9304,292,258,32,43027,11800
2020,35,2009,657,120089,827,20,7931,248,220,27,35379,10058
2020,35,2010,316,57815,398,10,3819,120,106,13,16338,4844
2020,35,2011,435,79597,548,14,5260,165,146,18,20854,6671
2020,35,2012,676,123521,850,21,8165,256,226,28,30925,10355
2020,35,2013,699,127749,879,22,8447,265,234,29,30400,10713
2020,35,2014,901,164657,1133,28,10887,341,302,37,37114,13808
2020,35,2015,1060,193671,1333,33,12806,401,355,44,41094,16241
2020,35,2016,1265,231056,1590,39,15278,479,423,52,45249,19376
2020,35,2017,1553,283720,1952,48,18760,588,520,64,51281,23792
2020,35,2018,2550,465856,3206,79,30803,965,853,105,76002,39065
2020,35,2019,3412,623224,4289,106,41209,1291,1142,140,89642,52262
2020,35,2020,6376,1164739,8015,198,77015,2412,2134,262,134595,97671
2020,36,1990,290,380821,3521,58,15283,371,328,34,251988,16147
2020,36,1991,24,23598,218,4,947,23,20,2,14588,1001
2020,36,1992,32,31022,287,5,1245,30,27,3,18003,1315
2020,36,1993,47,45166,418,7,1813,44,39,5,25007,1915
2020,36,1994,57,59592,537,8,2209,54,47,6,28670,2330
2020,36,1995,75,78124,703,11,2896,70,62,8,35074,3055
2020,36,1996,97,101497,914,11,3762,91,81,10,42822,3968
2020,36,1997,114,119587,1076,13,4432,107,95,12,46981,4675
2020,36,1998,150,156602,1409,17,5803,141,124,16,49683,6120
2020,36,1999,209,218938,1970,24,8111,196,174,23,65568,8555
2020,36,2000,286,299463,2693,33,11091,269,238,31,87872,11699
2020,36,2001,373,382101,3506,43,14376,373,330,40,77164,15261
2020,36,2002,465,475899,4367,54,17905,465,411,50,94093,19007
2020,36,2003,602,616319,5655,70,23188,602,532,65,118834,24615
2020,36,2004,583,435271,3862,68,18411,583,515,63,102840,23832
2020,36,2005,744,555410,4928,86,23493,744,658,80,128033,30410
2020,36,2006,2129,643800,5649,100,27201,862,762,93,123273,35250
2020,36,2007,2302,696094,6108,108,29410,932,824,101,129595,38113
2020,36,2008,1969,383290,3115,92,23548,797,705,86,95172,32607
2020,36,2009,1678,326702,2655,79,20071,680,601,73,78612,27793
2020,36,2010,808,157135,1276,38,9666,327,289,35,36491,13385
2020,36,2011,1113,216126,1755,52,13312,450,398,49,45756,18434
2020,36,2012,1728,335063,2720,81,20664,699,618,75,68330,28614
2020,36,2013,1788,346196,2810,84,21378,723,639,78,67726,29603
2020,36,2014,2304,446215,3622,108,27555,932,824,101,83467,38156
2020,36,2015,2710,524842,4260,127,32410,1096,969,118,93442,44879
2020,36,2016,3233,626155,5083,152,38667,1307,1156,141,104223,53542
2020,36,2017,3970,768871,6241,186,47480,1605,1420,173,120108,65746
2020,36,2018,6519,1262455,10248,306,77960,2636,2332,285,181925,107952
2020,36,2019,8721,1688916,13709,409,104295,3526,3119,381,221324,144419
2020,36,2020,16299,3156405,25621,765,194916,6590,5830,712,353045,269903
2020,37,1990,45,59482,498,7,2220,57,50,5,30097,2496
2020,37,1991,4,3686,31,0,138,4,3,0,1748,155
2020,37,1992,5,4845,41,1,181,5,4,0,2163,203
2020,37,1993,7,7055,59,1,263,7,6,1,3010,296
2020,37,1994,9,9317,76,1,321,8,7,1,3465,360
2020,37,1995,12,12214,100,1,421,11,9,1,4253,472
2020,37,1996,15,15870,129,1,547,14,12,2,5223,613
2020,37,1997,18,18700,152,2,644,16,15,2,5723,723
2020,37,1998,23,24490,200,2,843,21,19,2,5864,946
2020,37,1999,33,34243,279,3,1178,30,27,3,7690,1322
2020,37,2000,45,46842,382,4,1611,41,36,5,10326,1808
2020,37,2001,58,59301,477,5,2070,57,50,6,9943,2359
2020,37,2002,73,73858,595,6,2578,71,62,8,12144,2938
2020,37,2003,94,95651,770,8,3338,91,81,10,15367,3805
2020,37,2004,91,67457,523,8,2648,88,78,10,13245,3684
2020,37,2005,116,86075,667,10,3380,113,100,12,16520,4701
2020,37,2006,333,99774,772,12,3916,131,116,14,16790,5449
2020,37,2007,360,107878,835,13,4234,141,125,15,17683,5892
2020,37,2008,308,58872,416,11,3387,121,107,13,12958,5040
2020,37,2009,263,50180,355,9,2887,103,91,11,10725,4296
2020,37,2010,127,24161,171,5,1390,50,44,5,4992,2069
2020,37,2011,174,33266,235,6,1915,68,61,7,6402,2849
2020,37,2012,271,51627,365,10,2972,106,94,11,9586,4423
2020,37,2013,280,53399,378,10,3075,110,97,12,9531,4576
2020,37,2014,361,68826,487,13,3963,142,125,15,11783,5898
2020,37,2015,424,80954,572,15,4661,167,147,18,13238,6937
2020,37,2016,506,96581,683,18,5561,199,176,21,14838,8277
2020,37,2017,622,118595,839,22,6829,244,216,26,17188,10163
2020,37,2018,1021,194727,1377,36,11213,401,354,43,26214,16687
2020,37,2019,1366,260507,1842,49,15000,536,474,58,32178,22324
2020,37,2020,2552,486860,3442,91,28034,1001,886,108,52189,41722
2020,38,1990,30,40916,342,5,1697,38,34,3,18728,1667
2020,38,1991,3,2535,21,0,105,2,2,0,1088,103
2020,38,1992,3,3333,28,0,138,3,3,0,1347,136
2020,38,1993,5,4853,41,1,201,5,4,0,1876,198
2020,38,1994,6,6402,52,1,245,6,5,1,2161,241
2020,38,1995,8,8393,68,1,322,7,6,1,2655,315
2020,38,1996,10,10904,89,1,418,9,8,1,3292,410
2020,38,1997,12,12849,104,1,492,11,10,1,3635,483
2020,38,1998,15,16827,137,2,644,14,13,2,3965,632
2020,38,1999,22,23527,191,2,901,20,18,2,5277,883
2020,38,2000,29,32183,261,3,1232,28,24,3,7083,1208
2020,38,2001,38,39853,318,4,1620,38,33,4,6295,1576
2020,38,2002,48,49637,397,5,2018,47,42,5,7690,1962
2020,38,2003,62,64283,514,6,2613,61,54,7,9734,2541
2020,38,2004,60,45426,352,6,2075,59,52,6,8364,2461
2020,38,2005,77,57964,449,7,2647,75,67,8,10435,3140
2020,38,2006,219,67189,513,9,3066,87,77,9,10195,3639
2020,38,2007,237,72646,555,9,3315,94,83,10,10748,3935
2020,38,2008,203,39923,282,8,2652,81,71,9,7814,3367
2020,38,2009,173,34029,240,7,2261,69,61,7,6474,2870
2020,38,2010,83,16360,115,3,1089,33,29,4,3015,1382
2020,38,2011,115,22492,158,5,1499,46,40,5,3813,1903
2020,38,2012,178,34854,245,7,2327,71,63,8,5716,2954
2020,38,2013,184,35996,253,7,2408,73,65,8,5691,3056
2020,38,2014,237,46396,326,9,3103,94,83,10,7051,3939
2020,38,2015,279,54571,383,11,3650,111,98,12,7942,4634
2020,38,2016,333,65105,457,13,4355,132,117,14,8944,5528
2020,38,2017,409,79944,561,16,5347,162,144,18,10396,6788
2020,38,2018,671,131264,921,26,8780,267,236,29,15937,11145
2020,38,2019,897,175606,1233,35,11746,357,316,39,19676,14910
2020,38,2020,1677,328189,2304,66,21953,667,590,72,32259,27866
2020,39,1990,469,621987,5453,75,24236,590,522,53,256251,25867
2020,39,1991,40,38541,338,5,1502,37,32,4,14932,1603
2020,39,1992,52,50667,444,6,1974,48,42,5,18526,2107
2020,39,1993,76,73769,647,9,2874,70,62,7,25845,3068
2020,39,1994,92,97396,832,11,3503,85,75,9,29905,3733
2020,39,1995,121,127685,1090,14,4593,112,99,12,36847,4894
2020,39,1996,157,165905,1416,15,5966,145,128,16,45480,6357
2020,39,1997,185,195494,1669,17,7028,171,151,19,50255,7489
2020,39,1998,242,256034,2185,22,9201,224,198,25,54124,9805
2020,39,1999,339,357997,3053,31,12861,312,276,36,71895,13705
2020,39,2000,463,489730,4176,43,17587,427,378,49,96652,18741
2020,39,2001,605,621825,5226,56,22740,598,529,64,91261,24447
2020,39,2002,753,774469,6509,70,28322,745,659,80,111719,30449
2020,39,2003,975,1002988,8430,90,36679,964,853,103,141762,39433
2020,39,2004,944,707649,5736,87,29107,934,826,100,120338,38179
2020,39,2005,1205,902966,7319,111,37141,1191,1054,127,150468,48716
2020,39,2006,3448,1046669,8440,129,43029,1381,1222,148,151650,56469
2020,39,2007,3728,1131687,9126,140,46524,1493,1321,160,160308,61056
2020,39,2008,3189,617785,4556,119,37210,1277,1130,137,114743,52236
2020,39,2009,2718,526576,3883,102,31717,1089,963,117,95314,44524
2020,39,2010,1309,253454,1869,49,15274,524,464,56,44550,21442
2020,39,2011,1803,348861,2572,67,21036,722,639,77,57130,29530
2020,39,2012,2799,541239,3989,105,32654,1120,991,120,85985,45839
2020,39,2013,2895,559633,4124,108,33782,1159,1025,124,85989,47423
2020,39,2014,3732,721315,5316,140,43542,1494,1321,160,106993,61124
2020,39,2015,4389,848417,6252,164,51214,1757,1554,188,121098,71895
2020,39,2016,5237,1012191,7459,196,61101,2096,1854,224,137212,85773
2020,39,2017,6430,1242895,9159,241,75027,2574,2277,276,160584,105323
2020,39,2018,10558,2040782,15039,395,123191,4226,3739,453,248332,172936
2020,39,2019,14125,2730164,20119,529,164805,5654,5002,605,310064,231354
2020,39,2020,26398,5102395,37601,988,308004,10567,9347,1131,518605,432377
2020,40,1990,400,542508,5070,74,19981,526,465,48,260850,23231
2020,40,1991,34,33616,314,5,1238,33,29,3,15188,1439
2020,40,1992,44,44193,413,6,1628,43,38,4,18834,1892
2020,40,1993,65,64342,601,9,2370,62,55,7,26262,2755
2020,40,1994,79,84976,774,11,2888,76,67,8,30348,3353
2020,40,1995,103,111402,1014,14,3787,100,88,11,37367,4395
2020,40,1996,134,144735,1317,14,4919,129,114,14,46157,5709
2020,40,1997,158,170536,1552,17,5794,152,135,17,50760,6726
2020,40,1998,207,223327,2032,22,7586,199,176,22,52670,8806
2020,40,1999,289,312235,2840,31,10603,279,247,32,69346,12308
2020,40,2000,395,427088,3883,42,14500,381,337,43,93237,16831
2020,40,2001,516,554307,4993,55,18639,534,472,56,92771,21956
2020,40,2002,642,690378,6219,69,23214,665,588,70,113524,27346
2020,40,2003,832,894084,8054,89,30064,861,762,91,143986,35414
2020,40,2004,806,630537,5470,86,23852,834,738,88,122969,34288
2020,40,2005,1028,804571,6979,110,30436,1064,941,112,153705,43752
2020,40,2006,2942,932613,8073,128,35270,1233,1091,130,158345,50714
2020,40,2007,3181,1008368,8729,138,38135,1333,1180,141,167218,54834
2020,40,2008,2722,549720,4338,118,30499,1141,1009,120,121081,46913
2020,40,2009,2320,468560,3698,101,25996,972,860,103,100493,39987
2020,40,2010,1117,225603,1780,49,12519,468,414,49,46930,19257
2020,40,2011,1539,310626,2451,67,17242,645,570,68,60625,26521
2020,40,2012,2388,482077,3804,104,26764,1001,885,106,91122,41168
2020,40,2013,2471,498624,3934,107,27689,1035,916,109,90984,42590
2020,40,2014,3185,642680,5071,138,35688,1335,1181,141,113003,54895
2020,40,2015,3746,755925,5965,163,41977,1570,1389,166,127635,64568
2020,40,2016,4469,901845,7116,194,50080,1873,1657,197,144147,77032
2020,40,2017,5487,1107400,8738,239,61495,2300,2034,242,168223,94589
2020,40,2018,9010,1818303,14348,392,100972,3776,3340,398,259129,155312
2020,40,2019,12054,2432530,19194,524,135080,5052,4469,533,322066,207777
2020,40,2020,22527,4546148,35872,980,252451,9441,8352,995,534275,388313
2020,41,1990,536,727644,6727,104,31242,712,630,65,303145,31347
2020,41,1991,45,45088,417,6,1936,44,39,4,17672,1942
2020,41,1992,60,59274,548,8,2545,58,51,6,21946,2554
2020,41,1993,87,86300,798,12,3705,84,75,9,30637,3718
2020,41,1994,106,113920,1026,15,4516,103,91,11,35498,4524
2020,41,1995,138,149349,1345,20,5921,135,119,14,43789,5931
2020,41,1996,180,194015,1747,20,7691,175,155,19,54869,7704
2020,41,1997,212,228579,2058,24,9060,206,182,23,60872,9075
2020,41,1998,277,299308,2694,31,11862,270,239,30,67507,11882
2020,41,1999,387,418416,3766,44,16580,377,334,43,90271,16608
2020,41,2000,530,572260,5150,60,22672,516,457,58,121356,22711
2020,41,2001,691,714771,6613,78,29273,657,581,76,116214,29626
2020,41,2002,861,890230,8237,97,36459,819,724,95,142263,36899
2020,41,2003,1115,1152906,10667,126,47217,1060,938,123,180515,47786
2020,41,2004,1079,813806,7270,122,37476,1026,908,119,153419,46267
2020,41,2005,1377,1038424,9277,155,47819,1310,1159,152,191831,59037
2020,41,2006,3941,1203682,10663,180,55390,1518,1343,176,193820,68432
2020,41,2007,4261,1301455,11529,195,59889,1642,1452,190,204852,73991
2020,41,2008,3646,712196,5762,166,47899,1404,1242,162,146912,63302
2020,41,2009,3107,607049,4911,142,40827,1197,1059,138,122019,53956
2020,41,2010,1496,292086,2362,68,19662,576,510,67,57018,25985
2020,41,2011,2061,401894,3250,94,27078,794,702,92,73191,35786
2020,41,2012,3199,623297,5040,146,42033,1232,1090,143,110119,55550
2020,41,2013,3310,644255,5209,151,43486,1274,1127,147,110080,57470
2020,41,2014,4266,830385,6713,195,56049,1642,1453,190,136922,74073
2020,41,2015,5018,976707,7896,229,65926,1931,1709,224,154911,87126
2020,41,2016,5986,1165244,9421,273,78652,2304,2038,267,175713,103944
2020,41,2017,7350,1430834,11568,336,96578,2829,2503,328,205501,127635
2020,41,2018,12069,2349370,18994,551,158578,4646,4110,538,317725,209572
2020,41,2019,16146,3142992,25410,737,212146,6215,5498,719,396213,280366
2020,41,2020,30175,5873930,47489,1378,396478,11615,10275,1345,661440,523974
2020,42,1990,248,343135,3190,48,13242,328,290,30,153098,14472
2020,42,1991,21,21262,198,3,821,20,18,2,8918,897
2020,42,1992,28,27952,260,4,1079,27,24,3,11065,1179
2020,42,1993,40,40697,378,6,1570,39,34,4,15436,1716
2020,42,1994,49,53732,487,7,1914,47,42,5,17859,2089
2020,42,1995,64,70442,638,9,2509,62,55,7,22006,2738
2020,42,1996,83,91525,829,9,3260,81,71,9,27190,3557
2020,42,1997,98,107847,976,11,3840,95,84,10,30041,4190
2020,42,1998,128,141241,1278,15,5027,124,110,14,32320,5485
2020,42,1999,179,197485,1786,20,7027,174,154,20,42920,7667
2020,42,2000,245,270148,2442,28,9609,238,210,27,57701,10485
2020,42,2001,320,341403,3053,36,12348,328,290,35,54681,13677
2020,42,2002,398,425211,3803,45,15380,408,361,44,66934,17035
2020,42,2003,515,550675,4925,58,19918,528,467,57,84925,22061
2020,42,2004,499,388527,3350,57,15806,512,453,55,72291,21360
2020,42,2005,637,495763,4275,72,20169,653,578,70,90388,27255
2020,42,2006,1822,574661,4932,84,23366,757,669,81,91283,31592
2020,42,2007,1970,621340,5332,91,25264,818,724,88,96482,34159
2020,42,2008,1686,339420,2659,77,20208,700,619,75,69367,29224
2020,42,2009,1437,289309,2267,66,17225,597,528,64,57619,24910
2020,42,2010,692,139251,1091,32,8295,287,254,31,26931,11996
2020,42,2011,953,191667,1501,44,11424,396,350,42,34563,16521
2020,42,2012,1479,297358,2329,68,17733,614,543,66,52016,25645
2020,42,2013,1530,307463,2408,70,18346,635,562,68,52013,26532
2020,42,2014,1973,396291,3104,91,23646,819,724,88,64710,34197
2020,42,2015,2320,466122,3651,107,27813,963,852,103,73229,40223
2020,42,2016,2768,556098,4355,127,33182,1149,1016,123,82964,47987
2020,42,2017,3399,682849,5348,156,40745,1411,1248,151,97075,58924
2020,42,2018,5581,1121209,8781,256,66902,2316,2049,249,150081,96751
2020,42,2019,7467,1499956,11748,343,89502,3099,2741,332,187322,129434
2020,42,2020,13954,2803259,21955,641,167269,5791,5123,621,313110,241899
2020,44,1990,333,475736,5014,83,17233,466,412,44,188024,20666
2020,44,1991,28,29479,311,5,1068,29,26,3,10968,1281
2020,44,1992,37,38754,408,7,1404,38,34,4,13645,1683
2020,44,1993,54,56423,595,10,2044,55,49,6,19074,2451
2020,44,1994,66,74500,765,12,2491,67,59,7,22185,2983
2020,44,1995,86,97669,1003,16,3266,88,78,10,27431,3910
2020,44,1996,112,126895,1303,16,4242,114,101,13,33523,5079
2020,44,1997,132,149518,1534,19,4997,135,119,15,37169,5983
2020,44,1998,172,195806,2009,25,6543,177,156,20,40348,7833
2020,44,1999,241,273763,2808,35,9145,247,218,28,53721,10949
2020,44,2000,329,374471,3840,48,12506,337,298,38,72341,14973
2020,44,2001,429,447715,5532,62,15945,435,385,50,72715,19532
2020,44,2002,535,557619,6890,78,19860,542,479,62,89307,24326
2020,44,2003,692,722152,8923,101,25719,702,621,81,113769,31504
2020,44,2004,670,509543,6065,97,20410,680,601,78,93282,30502
2020,44,2005,856,650181,7739,124,26043,867,767,100,117034,38921
2020,44,2006,2449,753652,8940,144,30172,1005,889,116,119019,45115
2020,44,2007,2647,814870,9667,156,32623,1087,961,125,126383,48780
2020,44,2008,2265,445107,4794,133,26091,930,823,107,85595,41733
2020,44,2009,1931,379392,4087,113,22239,793,701,91,71392,35572
2020,44,2010,930,182602,1967,55,10710,382,338,44,33531,17131
2020,44,2011,1280,251325,2708,75,14750,526,465,61,43209,23592
