# File: MOVES_EV_Efs_ORD.csv
# Title: PM emission factors for electric vehicles accounting for the break and tire wear
# Units: Tg/million-pass-km
# Source: derived from Brake and Tire Wear Emissions from On-road Vehicles in MOVES2014
# Column types: ccccnnnnnnnnnn
# ----------
state,class,fuel,pollutant,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ID,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
ID,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
ID,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
ID,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
ID,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
ID,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
ID,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
ID,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
ID,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
ID,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
ID,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
ID,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
IL,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
IL,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
IL,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
IL,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
IL,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
IL,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
IL,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
IL,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
IL,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
IL,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
IL,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
IL,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
IN,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
IN,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
IN,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
IN,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
IN,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
IN,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
IN,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
IN,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
IN,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
IN,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
IN,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
IN,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
KS,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
KS,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
KS,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
KS,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
KS,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
KS,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
KS,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
KS,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
KS,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
KS,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
KS,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
KS,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
KY,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
KY,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
KY,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
KY,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
KY,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
KY,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
KY,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
KY,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
KY,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
KY,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
KY,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
KY,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
LA,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
LA,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
LA,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
LA,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
LA,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
LA,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
LA,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
LA,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
LA,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
LA,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
LA,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
LA,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
MA,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MA,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MA,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MA,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MA,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
MA,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
MA,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MA,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MA,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
MA,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
MA,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
MA,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
MD,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MD,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MD,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MD,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MD,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
MD,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
MD,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MD,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MD,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
MD,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
MD,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
MD,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
ME,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
ME,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
ME,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
ME,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
ME,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
ME,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
ME,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
ME,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
ME,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
ME,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
ME,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
ME,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
MI,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MI,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MI,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MI,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MI,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
MI,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
MI,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MI,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MI,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
MI,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
MI,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
MI,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
MN,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MN,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MN,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MN,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MN,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
MN,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
MN,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MN,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MN,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
MN,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
MN,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
MN,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
MO,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MO,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MO,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MO,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MO,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
MO,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
MO,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MO,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MO,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
MO,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
MO,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
MO,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
MS,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MS,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MS,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MS,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MS,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
MS,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
MS,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MS,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
MS,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
MS,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
MS,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
MS,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
MT,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
MT,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
