BLDGID5,REGION5,CENDIV5,SQFT5,YRCONC5,PBA5,ADJWT5,ELHTBTU5,ELCLBTU5,ELVNBTU5,ELWTBTU5,ELLTBTU5,ELCKBTU5,ELRFBTU5,ELOFBTU5,ELMSBTU5,NGHTBTU5,NGWTBTU5,NGCKBTU5,NGMSBTU5,FKHTBTU5,FKWTBTU5,FKMSBTU5,DHHTBTU5,DHWTBTU5,DHMSBTU5
419,3,7,8000,6,3,548.97,0,32772,13309,0,83785,0,4034,16544,2888,73074,27871,0,0,              ,              ,              ,              ,              ,
420,2,3,3000,6,1,1511.3,              ,              ,              ,              ,              ,              ,              ,              ,,              ,              ,              ,              ,              ,              ,              ,              ,              ,
421,2,4,9000,6,3,1949.66,0,14014,11980,58679,116044,0,3839,16409,3875,742314,0,0,63393,              ,              ,              ,              ,              ,
422,2,3,3000,2,2,1525.12,0,12824,4688,0,22743,0,411,14171,3235,164064,26095,0,0,              ,              ,              ,              ,              ,
423,3,5,250000,6,2,21.37,2139117,2092720,2319445,582364,5453887,0,77963,3148986,716470,              ,              ,              ,              ,              ,              ,              ,              ,              ,
424,1,2,6000,4,1,1580.41,0,0,0,0,516,0,447,595,3458,              ,              ,              ,              ,              ,              ,              ,              ,              ,
425,1,1,160000,9,1,1.53,2544510,89524,38336,789017,2575344,354,8439,11323,65816,              ,              ,              ,              ,0,0,0,              ,              ,
426,2,4,200001,3,2,20.24,12743748,10376069,5566325,0,11587195,0,227745,6312073,3491416,2969252,992501,0,0,110729,0,39195,              ,              ,
427,1,2,100000,6,7,97.4,458779,381496,104536,704214,1995711,0,6856,45441,264128,1033761,0,0,224706,              ,              ,              ,              ,              ,
428,4,8,2000,5,15,1361.3,0,101741,18188,0,134527,182813,72747,2039,22823,149440,184537,553639,0,              ,              ,              ,              ,              ,
429,2,4,15000,6,6,525.19,0,67052,17348,0,112510,0,348183,3101,20060,972554,222373,518871,0,              ,              ,              ,              ,              ,
430,4,9,300000,7,2,21.23,237519,169274,1540175,306821,1620604,0,45692,1692454,591031,              ,              ,              ,              ,0,0,36892,              ,              ,
431,4,9,5000,6,15,1505.58,0,140587,13231,0,80472,0,61425,2870,32126,155412,149957,449917,0,              ,              ,              ,              ,              ,
432,1,2,10001,5,7,460.39,0,11202,0,0,91052,0,92,848,4932,226924,352909,39212,0,              ,              ,              ,              ,              ,
433,4,9,3000,5,14,1.08,11923,60056,15323,0,102202,0,4524,2379,10479,              ,              ,              ,              ,              ,              ,              ,              ,              ,
434,1,2,8000,3,3,1896.5,5368,2012,267,14415,11110,0,615,1986,794,              ,              ,              ,              ,347835,0,0,              ,              ,
435,3,7,17500,4,14,366.52,0,128833,38448,0,212714,0,15110,6570,26927,346211,83832,14794,0,              ,              ,              ,              ,              ,
436,1,2,160000,5,20,3.82,7,1577,353,2718,7535,0,9,14,84,              ,              ,              ,              ,              ,              ,              ,              ,              ,
437,3,5,300000,7,2,21.73,15933,4218642,3025191,948617,4336483,0,143863,5439240,1899468,0,0,1564080,0,0,0,17475,              ,              ,
438,1,2,2000,7,5,103.77,0,0,0,0,20494,0,301,1982,1510,              ,              ,              ,              ,              ,              ,              ,              ,              ,
439,1,1,2500,3,2,1605.92,0,15201,373,0,8480,0,137,4431,1256,113536,38036,0,0,              ,              ,              ,              ,              ,
440,1,2,80000,9,2,3.71,0,1974714,1871004,0,2101126,0,80002,2886058,950481,1080021,328268,0,0,14733,0,4406,              ,              ,
441,3,7,4500,8,3,1543.02,10543,5524,2844,5115,6480,0,767,2336,934,              ,              ,              ,              ,              ,              ,              ,              ,              ,
442,4,8,8000,6,12,444.28,0,0,3106,5441,107284,0,2747,1488,6766,474423,55409,0,0,              ,              ,              ,              ,              ,
443,3,5,1001,7,21,2260.19,15950,36415,7797,34966,219298,0,382,618,3592,              ,              ,              ,              ,0,0,0,              ,              ,
444,3,5,2000,5,12,1880.68,0,0,112,0,147,0,76,13,65,              ,              ,              ,              ,10540,0,0,              ,              ,
445,2,4,4000,5,5,1496.57,0,0,395,0,6916,0,233,1942,1480,62826,0,0,3544,              ,              ,              ,              ,              ,
446,3,7,2500,5,16,1680.67,0,0,0,0,14644,0,9771,14343,32793,1422,53938,0,0,              ,              ,              ,              ,              ,
447,4,9,1001,4,16,1854.51,1098,5848,2421,31542,6185,0,1132,1906,3557,              ,              ,              ,              ,              ,              ,              ,              ,              ,
448,1,1,35000,6,13,2105.25,0,0,0,0,287001,0,23329,6119,28822,              ,              ,              ,              ,434205,722192,0,              ,              ,
449,3,7,450000,7,2,10.87,5559427,7314702,6423863,2169005,9051929,347134,252697,7062448,4910605,              ,              ,              ,              ,0,0,7212,              ,              ,
450,2,3,2000,6,5,1525.12,0,0,2848,0,67680,0,441,3366,2565,9364,0,0,0,              ,              ,              ,              ,              ,
451,4,9,4000,6,1,1545.43,              ,              ,              ,              ,              ,              ,              ,              ,,              ,              ,              ,              ,              ,              ,              ,              ,              ,
452,3,5,17500,4,3,225.04,0,16082,14970,0,71568,0,3213,11262,4505,210739,0,0,0,              ,              ,              ,              ,              ,
453,1,2,12500,2,2,421.1,0,0,1103,89273,16989,0,296,9693,2827,              ,              ,              ,              ,              ,              ,              ,790000,0,0
454,3,5,60000,8,18,1.07,16978,1322637,99053,920293,387928,0,27518,17655,95243,              ,              ,              ,              ,0,0,0,              ,              ,
455,4,8,100000,6,13,10.24,0,663765,200909,0,5156459,168237,237591,100908,433791,11564696,2693321,2700933,0,              ,              ,              ,              ,              ,
456,4,8,10001,7,5,1525.12,12313,23952,32610,57314,142972,0,1871,12875,9809,              ,              ,              ,              ,              ,              ,              ,              ,              ,
457,4,9,15000,6,2,291.24,0,135859,31385,0,157569,0,1969,93311,10657,428653,104266,0,0,              ,              ,              ,              ,              ,
458,4,8,3000,7,5,2099.18,15506,0,282,8696,30702,0,184,1299,990,              ,              ,              ,              ,              ,              ,              ,              ,              ,
459,4,9,1500,5,14,1259.45,0,0,0,17350,25987,0,2219,784,3843,              ,              ,              ,              ,              ,              ,              ,              ,              ,
460,2,4,35000,8,2,290.6,0,275201,72745,0,535804,0,12031,325130,189313,231177,51695,0,0,              ,              ,              ,              ,              ,
461,4,9,1500,3,2,1400.56,0,2126,24,0,31749,0,567,20285,4862,84063,27789,0,0,              ,              ,              ,              ,              ,
462,1,2,4000,6,15,1421.18,176521,133996,16345,114503,106242,0,73060,7326,51394,0,0,926512,0,              ,              ,              ,              ,              ,
463,3,6,2500,7,1,2971.89,55794,50521,11117,68016,162056,0,721,921,5351,              ,              ,              ,              ,              ,              ,              ,              ,              ,
464,1,1,60000,2,14,1.06,0,2055163,749509,0,2826485,0,113707,189535,168328,              ,              ,              ,              ,              ,              ,              ,7316789,958211,0
465,2,3,7000,4,2,1525.12,0,15706,6188,0,40548,0,754,24965,6961,209003,24683,0,0,              ,              ,              ,              ,              ,
466,3,6,12500,7,5,977.8,2328,26299,1042,62129,98517,0,1622,11781,8976,              ,              ,              ,              ,              ,              ,              ,              ,              ,
467,4,8,1500,9,14,1306.88,19718,3315,2420,0,11345,0,844,336,1424,              ,              ,              ,              ,              ,              ,              ,              ,              ,
468,3,7,10000,6,5,415.45,0,0,0,0,46077,0,1049,7318,5576,              ,              ,              ,              ,              ,              ,              ,              ,              ,
469,4,9,10000,8,15,290.6,0,0,12359,0,820810,1079070,407618,8634,44694,0,806523,2419701,0,              ,              ,              ,              ,              ,
470,3,5,300000,8,20,20.87,12865,425516,71190,597774,565282,0,1554,2241,13023,              ,              ,              ,              ,              ,              ,              ,              ,              ,
471,2,3,40000,6,2,316.87,2978,391872,76080,0,912703,0,4456,125981,137769,1091955,1834421,1834910,0,              ,              ,              ,              ,              ,
472,3,6,120000,9,14,6.52,0,167712,1676210,0,2368144,137461,179372,74980,322659,2462168,187301,0,0,2047160,0,0,              ,              ,
473,3,7,2000,9,8,1387.55,106643,256884,59918,0,174868,0,5168,172537,42479,              ,              ,              ,              ,              ,              ,              ,              ,              ,
474,3,5,30000,3,6,1337.55,16470,155804,26154,57468,20912,0,64148,410,3816,              ,              ,              ,              ,              ,              ,              ,              ,              ,
475,2,4,12500,1,18,620.68,1409524,72100,19683,0,223022,0,14367,9359,49585,435889,913921,161379,0,              ,              ,              ,              ,              ,
476,3,7,2500,4,5,1865.67,0,4052,53,0,35683,0,465,3499,2220,94462,0,0,0,              ,              ,              ,              ,              ,
477,3,5,4500,2,12,548.97,0,13937,6641,4461,6433,0,623,174,851,              ,              ,              ,              ,              ,              ,              ,              ,              ,
478,3,6,70000,3,14,1.87,0,1116785,21538,0,951177,0,47328,21824,95220,2984204,297541,53141,0,              ,              ,              ,              ,              ,
479,1,2,100001,4,16,3.54,0,2233699,52271,0,1129013,0,166682,188680,615402,              ,              ,              ,              ,              ,              ,              ,469660,5312340,0
480,3,6,1001,6,3,2257.27,11601,39886,10760,22176,57125,0,2613,9200,3680,              ,              ,              ,              ,              ,              ,              ,              ,              ,
481,4,9,2000,3,3,1525.12,0,14660,8425,0,43209,0,1836,7644,1406,9261,0,0,0,              ,              ,              ,              ,              ,
482,2,3,350000,3,2,21.23,0,3322601,509583,0,12797945,130325,71173,3585088,1039763,39876431,34630372,0,0,              ,              ,              ,              ,              ,
483,1,2,120000,2,18,206.97,0,0,0,0,492431,0,37143,19538,132851,              ,              ,              ,              ,              ,              ,              ,13589104,3348896,0
484,3,5,50000,5,5,285.23,72272,684727,30931,1176954,4562806,716,22147,202259,125466,2104742,0,0,269573,              ,              ,              ,              ,              ,
485,2,4,1001,4,18,1345.78,9005,9914,1799,24925,5955,0,377,167,1381,              ,              ,              ,              ,              ,              ,              ,              ,              ,
486,2,3,15000,4,14,1619.97,0,47054,1277,0,94929,0,7033,2601,12067,298306,23092,4075,0,              ,              ,              ,              ,              ,
487,1,2,1500,6,2,2021.32,0,0,444,0,10910,0,173,5627,1936,              ,              ,              ,              ,66016,0,0,              ,              ,
488,1,2,400000,3,13,10.47,0,637648,0,0,5327161,0,148919,78448,358008,              ,              ,              ,              ,              ,              ,              ,12621548,10568452,0
489,3,5,80000,8,3,277.5,90066,147436,60505,153523,326841,0,16571,16163,79858,831844,0,0,0,              ,              ,              ,              ,              ,
490,1,2,25000,7,2,435.97,95258,93201,21290,107762,209714,0,4483,159053,37104,              ,              ,              ,              ,              ,              ,              ,              ,              ,
491,1,2,700000,9,2,1.07,0,9910781,7497704,2598909,13917187,0,253856,10938137,3505747,5432194,0,0,0,3090660,0,1070040,              ,              ,
492,4,9,10001,7,13,436.92,0,94762,34854,0,320816,0,9333,4557,22332,263051,55289,55289,0,              ,              ,              ,              ,              ,
493,1,2,120000,4,3,749.91,0,55572,0,0,447196,0,17557,14770,75298,912993,889194,0,1517779,              ,              ,              ,              ,              ,
494,4,9,2500,7,6,2959.9,5611,121751,35835,119760,192303,0,464793,3194,29733,              ,              ,              ,              ,              ,              ,              ,              ,              ,
495,2,3,12500,4,2,150.1,0,66281,1530,0,73037,0,837,29295,8505,714561,549732,549732,0,              ,              ,              ,              ,              ,
496,3,6,15000,5,5,468.66,0,720400,49547,0,2970793,0,19215,166722,115304,229896,649282,0,0,              ,              ,              ,              ,              ,
497,1,2,9000,5,3,318.76,0,3972,3014,19267,28162,0,1204,5119,900,              ,              ,              ,              ,230225,0,0,              ,              ,
498,4,9,17500,2,18,483.01,0,0,4266,0,245045,96409,15949,16746,48687,594131,292872,51650,0,              ,              ,              ,              ,              ,
499,3,5,7000,9,18,1.42,9891,331932,21223,423025,127380,0,9259,6605,31384,0,0,55360,0,              ,              ,              ,              ,              ,
500,3,7,5000,5,3,570.58,0,11367,321,0,10057,0,879,3012,1205,              ,              ,              ,              ,              ,              ,              ,              ,              ,
501,3,5,5001,4,12,2015.22,0,4452,2497,2094,5682,0,527,115,564,              ,              ,              ,              ,82243,0,0,              ,              ,
502,1,2,10000,5,1,1.38,0,15893,1028,0,582519,0,2450,3192,18552,              ,              ,              ,              ,              ,              ,              ,644987,13,0
503,1,2,4500,4,15,1367.05,0,71421,754,0,18319,0,13483,134,1507,52046,32055,96179,0,              ,              ,              ,              ,              ,
504,1,2,350000,2,2,21.29,0,8463565,269741,0,799801,0,13132,1432328,621609,2971036,836573,0,0,0,0,106653,              ,              ,
505,3,6,3000,7,3,1908.68,0,21247,8866,19351,35010,0,2257,7620,3048,372755,0,0,61586,              ,              ,              ,              ,              ,
506,2,3,60000,3,2,207.73,0,171526,10839,45459,247339,0,4260,104007,79385,682278,0,0,144935,              ,              ,              ,              ,              ,
507,1,1,3000,3,2,1896.5,0,8368,192,0,11887,0,247,8277,2160,              ,              ,              ,              ,52494,144723,0,              ,              ,
508,3,7,15000,6,2,1426.16,0,29386,6951,19861,34423,0,402,15209,3525,35224831,0,0,0,              ,              ,              ,              ,              ,
509,2,4,3000,2,3,2707.57,0,6211,24097,0,78187,0,3115,11560,4624,252163,53862,0,0,              ,              ,              ,              ,              ,
510,1,2,10000,1,13,1409.09,10478,0,1813,0,10296,0,1002,219,1072,107573,33914,0,0,              ,              ,              ,              ,              ,
511,1,2,70000,5,14,293.82,0,323793,149872,0,1307914,0,47885,84277,76209,              ,              ,              ,              ,              ,              ,              ,2593713,697287,0
512,4,9,15000,4,17,440.99,0,0,48383,0,625950,0,42666,27642,147406,465919,895476,158025,0,              ,              ,              ,              ,              ,
513,3,5,70000,7,3,225.04,2869,24573,6748,45434,80568,0,2620,3928,13920,0,0,165349,1341930,              ,              ,              ,              ,              ,
514,4,8,50000,8,5,239.7,58811,89022,109801,204032,849310,0,8053,63932,41725,              ,              ,              ,              ,              ,              ,              ,              ,              ,
515,1,2,3000,3,3,1409.09,0,24768,12404,0,118026,0,1504,7027,2811,101869,90966,0,0,              ,              ,              ,              ,              ,
516,4,9,20000,4,3,222.14,0,96289,3594,0,285196,0,14395,54673,15002,              ,              ,              ,              ,              ,              ,              ,              ,              ,
517,3,7,3000,3,5,1898.76,0,35059,2208,0,24886,0,144,1005,766,191735,48434,0,0,1022839,0,0,              ,              ,
518,4,9,600000,6,3,16.8,3301718,3764937,3460696,0,30297899,272038,783170,871505,3266177,3839601,953539,408660,0,0,0,0,              ,              ,
519,3,5,2500,4,12,1880.68,6673,0,1457,0,2287,0,462,110,540,59991,0,0,0,              ,              ,              ,              ,              ,
520,2,3,250000,5,14,21.21,0,493175,426747,0,5551188,267289,204059,137250,532887,447306,0,0,0,              ,              ,              ,5664197,2151803,0
521,1,2,600000,7,5,24.06,198692,166958,7641,0,15493381,2291,210147,1685530,14247314,14496551,1409549,156612,5788926,0,0,35782,              ,              ,
522,2,3,7000,3,5,444.28,0,0,25569,0,300340,0,5941,40885,31150,414401,37446,0,649492,              ,              ,              ,              ,              ,
523,4,8,250000,6,13,21.21,0,0,583425,0,4162067,0,158416,69375,330580,              ,              ,              ,              ,              ,              ,              ,2392349,933651,0
524,3,7,4000,6,3,1496.57,5176,258253,114730,257173,795031,77826,117028,149212,59685,0,0,361591,0,              ,              ,              ,              ,              ,
525,2,3,8000,4,2,1701.16,0,67939,1438,123590,176298,0,2811,100385,21834,250855,0,0,21418,              ,              ,              ,              ,              ,
526,2,3,35000,3,13,437.26,296975,130827,0,0,1224568,0,31538,17838,81510,6058762,2255867,0,0,              ,              ,              ,              ,              ,
527,1,2,3500,1,2,421.1,76486,24553,8396,41712,80605,0,1318,48389,8337,              ,              ,              ,              ,              ,              ,              ,              ,              ,
528,2,3,2500,5,3,495.56,0,2936,4442,0,26008,0,1017,4004,758,242670,37938,0,0,              ,              ,              ,              ,              ,
529,2,3,17500,3,13,209.53,0,99022,2441,0,218070,0,10163,3876,17989,2217459,355864,0,0,              ,              ,              ,              ,              ,
530,3,5,25001,7,3,225.04,28287,16334,9890,72624,100643,0,5763,24541,6903,              ,              ,              ,              ,              ,              ,              ,              ,              ,
531,3,5,180000,4,2,225.04,0,1946955,3058148,0,4944091,74132,56145,1422427,1160409,404674,108077,0,0,              ,              ,              ,              ,              ,
532,1,1,12500,5,12,456.47,0,0,0,0,14111,0,4479,883,4063,552307,130126,0,0,              ,              ,              ,              ,              ,
533,3,5,2500,5,3,1880.68,1963,48018,12636,84075,220869,4727,3663,18958,7583,              ,              ,              ,              ,              ,              ,              ,              ,              ,
534,3,7,20000,7,1,464.11,              ,              ,              ,              ,              ,              ,              ,              ,,              ,              ,              ,              ,              ,              ,              ,              ,              ,
535,3,5,20000,8,3,548.45,236485,107278,66241,409178,618255,0,32030,158373,23875,              ,              ,              ,              ,              ,              ,              ,              ,              ,
536,3,7,35000,4,14,17.84,100815,29876,12330,0,624113,0,44296,24973,106178,898889,218502,0,0,              ,              ,              ,              ,              ,
537,3,7,70000,6,1,439.81,8885,307054,54960,0,621887,0,1523,2106,12244,2323626,62,0,0,              ,              ,              ,              ,              ,
538,3,5,2500,5,2,1426.16,725,51964,10249,34686,54149,0,920,31548,8053,              ,              ,              ,              ,              ,              ,              ,              ,              ,
539,4,9,1500,5,3,1826.41,5114,27189,6662,33390,67561,0,2692,11778,1912,              ,              ,              ,              ,              ,              ,              ,              ,              ,
540,4,9,12500,3,18,1658.06,0,0,3822,0,131905,0,9059,8981,28185,245352,132051,23290,0,              ,              ,              ,              ,              ,
541,1,1,70000,6,14,275.92,0,471106,0,0,1365207,0,54379,30040,2051117,15977785,1036730,0,0,2223678,219069,0,              ,              ,
542,1,2,25000,7,3,205.19,35355,11268,8799,47432,59688,0,4752,17916,5085,              ,              ,              ,              ,              ,              ,              ,              ,              ,
543,1,2,90000,7,2,233.91,0,2775515,183967,0,3118285,0,117009,4150680,1527797,              ,              ,              ,              ,              ,              ,              ,1692467,3106533,0
544,3,5,2000,4,2,1283.99,16090,23174,7273,0,37882,0,681,23511,5788,59065,13068,0,0,              ,              ,              ,              ,              ,
545,4,9,45000,5,3,563.47,0,38194,20078,0,83608,0,2690,1842,11055,56426,66128,0,0,              ,              ,              ,              ,              ,
546,1,2,40000,1,2,1.06,0,125280,3112,200846,275095,0,4579,118090,80987,              ,              ,              ,              ,              ,              ,              ,2310000,0,0
547,2,4,1500,3,1,1496.57,              ,              ,              ,              ,              ,              ,              ,              ,,              ,              ,              ,              ,              ,              ,              ,              ,              ,
548,3,7,12500,3,3,365.84,0,0,0,0,11335,0,650,2238,895,              ,              ,              ,              ,              ,              ,              ,              ,              ,
549,2,4,140000,5,18,27,0,18619030,137648,9537863,8400609,0,621648,714372,1836080,5926672,662632,0,0,0,0,0,              ,              ,
550,4,8,9000,5,5,444.28,0,54816,1441,0,81313,0,952,6730,5128,              ,              ,              ,              ,              ,              ,              ,              ,              ,
551,1,2,300000,8,7,21.37,0,1549564,1624908,0,17952009,51954,20744,192044,1116257,              ,              ,              ,              ,0,0,4145583,26277978,15363022,0
552,2,4,6000,3,12,1545.96,0,4498,128,0,25175,0,1625,519,2340,388176,31674,31674,0,              ,              ,              ,              ,              ,
553,2,4,100000,7,13,523.88,76338,100548,70907,0,1090871,46278,35486,20125,95889,              ,              ,              ,              ,              ,              ,              ,              ,              ,
554,3,7,600000,9,2,10.43,4882324,0,9691841,2317954,10802941,0,367855,14049632,4384574,              ,              ,              ,              ,0,0,49651,25591000,0,0
555,3,6,6000,9,3,2260.19,0,8994,9761,0,42755,0,2940,10118,4047,              ,              ,              ,              ,              ,              ,              ,              ,              ,
556,2,4,1000000,7,2,12,0,0,1347162,0,28173295,0,910651,34141478,11562151,0,0,117203,0,0,0,0,34254216,11754784,0
557,3,5,80000,4,5,489.1,0,51976,2813,68757,271191,0,2413,17990,183675,392666,0,0,0,              ,              ,              ,              ,              ,
558,2,3,22500,7,3,467.82,691871,128522,194077,609661,795075,0,36730,158595,44164,927232,0,0,0,              ,              ,              ,              ,              ,
559,3,6,25000,3,2,150.01,2491099,3242803,779989,0,2343508,0,36400,1230236,336668,1684515,320697,0,0,              ,              ,              ,              ,              ,
560,3,7,3500,3,14,545.26,0,26182,8539,0,3346,0,996,186,910,39367,2102,0,0,              ,              ,              ,              ,              ,
561,4,9,9000,9,3,508.59,13635,138261,93438,0,253479,0,7766,33538,7997,0,90861,0,0,              ,              ,              ,              ,              ,
562,2,4,500000,6,5,21.23,0,753160,40691,2686229,5038924,0,54464,424252,297386,10031453,0,0,824909,              ,              ,              ,              ,              ,
563,1,2,17500,5,14,1.04,0,54593,32491,0,131804,0,8822,3118,336059,              ,              ,              ,              ,              ,              ,              ,813435,169565,0
564,4,9,30000,7,5,435.97,580168,307563,463022,825915,2328953,0,29477,214316,143104,568214,0,0,0,              ,              ,              ,              ,              ,
565,4,9,600000,5,20,10.17,0,0,0,0,129714313,0,162541,263294,1530396,              ,              ,              ,              ,              ,              ,              ,              ,              ,
566,4,9,20000,5,5,148.07,0,0,1942,0,270235,0,2499,19339,12628,687856,0,0,14642,              ,              ,              ,              ,              ,
567,1,2,15000,6,7,460.39,0,0,0,0,60590,0,201,1330,7729,              ,              ,              ,              ,184915,83034,0,              ,              ,
568,3,5,10001,4,12,1678.97,12054,4147,42864,11968,51051,0,3053,1307,5999,              ,              ,              ,              ,              ,              ,              ,              ,              ,
569,2,3,2000,3,3,1826.41,9008,0,2810,11739,20297,0,833,2773,1109,394004,0,0,0,              ,              ,              ,              ,              ,
570,3,7,120000,4,3,225.04,0,237052,90265,0,1402502,0,27527,34490,164949,469471,327078,0,0,              ,              ,              ,              ,              ,
571,1,2,2000,4,3,1896.5,0,0,6313,0,128565,0,5307,22343,3940,25616,13280,0,0,              ,              ,              ,              ,              ,
572,4,9,5000,3,2,1525.12,13417,9399,2368,15389,10750,0,196,6868,1562,              ,              ,              ,              ,              ,              ,              ,              ,              ,
573,2,3,5000,7,3,1796.87,44035,1874,3270,10957,10354,0,989,3500,1400,              ,              ,              ,              ,              ,              ,              ,              ,              ,
574,2,3,3000,4,5,1923.38,0,2348,2819,102376,329819,0,1301,11244,7175,142562,0,0,5511,              ,              ,              ,              ,              ,
575,3,6,5001,4,1,1608.79,0,0,0,0,0,0,0,0,0,              ,              ,              ,              ,              ,              ,              ,              ,              ,
576,3,5,17500,7,3,439.81,398,156180,37302,0,259713,0,15796,71652,14871,              ,              ,              ,              ,              ,              ,              ,              ,              ,
577,3,7,100000,4,14,10.62,0,339089,9270,0,614302,0,38832,17175,73926,5422581,780313,137702,0,              ,              ,              ,              ,              ,
578,2,4,200001,7,20,277.28,446868,191513,78473,1359816,2231894,0,4565,7395,42983,              ,              ,              ,              ,              ,              ,              ,              ,              ,
579,1,1,120000,2,12,222.43,0,0,0,0,93706,21826,31552,7804,38239,1205060,428066,0,0,              ,              ,              ,              ,              ,
580,3,7,3000,8,5,1543.02,0,0,97,0,26075,0,492,3430,2613,              ,              ,              ,              ,0,0,0,              ,              ,
581,4,9,4000,6,8,1361.3,10724,65614,12668,28512,47273,0,597,22254,4218,              ,              ,              ,              ,              ,              ,              ,              ,              ,
582,3,6,2500,7,2,412.12,21265,14298,3893,7074,11604,0,282,9476,2462,0,0,0,107942,              ,              ,              ,              ,              ,
583,4,9,2500,4,15,1338.72,0,40257,5752,0,23293,0,11800,208,1325,103544,166684,500080,0,              ,              ,              ,              ,              ,
584,1,1,9000,6,2,1580.41,0,101677,26701,119255,298441,0,3951,135149,42200,              ,              ,              ,              ,324951,0,0,              ,              ,
585,1,1,60000,5,14,292.29,0,79232,2255,264319,517705,0,23235,32592,772451,              ,              ,              ,              ,              ,              ,              ,5406000,0,0
586,1,1,10000,2,2,1896.5,0,0,0,0,6319,0,115,3792,1088,              ,              ,              ,              ,329363,585436,0,              ,              ,
587,3,6,800000,6,2,5.43,2660106,8746607,8940089,0,21244828,0,310510,11769754,3854815,2420092,1572240,393060,0,              ,              ,              ,              ,              ,
588,2,4,22500,6,18,556.45,76205,406506,3459,0,240087,0,15244,6761,55782,1224508,1096607,0,0,              ,              ,              ,              ,              ,
589,1,2,17500,4,3,6.53,0,277398,11225,0,979009,0,47183,159304,63721,              ,              ,              ,              ,              ,              ,              ,43594,95406,0
590,3,7,60000,4,14,277.26,110319,510166,0,0,574459,14891,35789,15801,68159,1699102,256258,45222,0,              ,              ,              ,              ,              ,
591,1,2,180000,9,2,1.07,0,976574,514670,147878,627250,25438,20624,762005,276728,4688227,0,0,0,              ,              ,              ,              ,              ,
592,2,3,4500,5,3,1927.1,0,0,1990,0,22700,0,1037,3782,1513,158054,0,0,0,              ,              ,              ,              ,              ,
593,1,2,35000,3,13,537.09,0,62463,1440,0,158759,0,4424,2142,10495,536416,103005,0,0,              ,              ,              ,              ,              ,
594,2,4,900000,8,2,10.69,0,10218565,13519578,0,14929761,582536,464045,16992017,6064605,5005366,1325454,0,0,0,0,307614,              ,              ,
595,4,9,2500,7,6,1989.67,1351,1846,53588,62649,94820,0,269079,1793,16697,              ,              ,              ,              ,              ,              ,              ,              ,              ,
596,3,5,1500,6,3,204,318,1635,28,18533,31370,0,2299,7950,3180,              ,              ,              ,              ,              ,              ,              ,              ,              ,
597,2,3,450000,3,14,20.39,0,8511811,359766,0,13236276,0,512288,310534,1371865,15007408,2671157,477008,0,              ,              ,              ,              ,              ,
598,1,2,1500,3,15,1550.55,0,80972,16427,53316,14907,0,22882,207,2311,228253,0,489372,0,              ,              ,              ,              ,              ,
599,3,5,45000,6,14,28.02,38308,195665,0,127283,142165,0,9547,3748,16163,              ,              ,              ,              ,16333244,0,0,              ,              ,
600,2,4,250000,3,14,291.23,0,2485269,55853,0,1835768,0,60958,32979,147503,3085028,834997,137013,0,              ,              ,              ,              ,              ,
601,2,4,25000,6,3,294.23,196505,48368,37244,277060,297693,0,9969,43059,9612,              ,              ,              ,              ,              ,              ,              ,              ,              ,
602,2,3,7000,3,5,1811.3,0,0,25442,0,79175,0,1191,8196,6245,2019800,134823,0,0,              ,              ,              ,              ,              ,
603,3,5,17500,6,13,23.74,16040,378926,76327,0,2932952,29276,83611,47371,210571,783272,386094,386585,0,              ,              ,              ,              ,              ,
604,2,4,35000,4,14,9.62,0,0,8803,0,793837,0,36425,47642,45178,              ,              ,              ,              ,              ,              ,              ,1015876,311124,0
605,2,3,2500,5,13,1891.49,0,0,3375,1849,2794,554,1669,340,1667,437442,0,40837,0,241321,0,0,              ,              ,
606,4,9,350000,9,2,1.42,1650937,0,2032145,472855,2216796,0,69094,2546833,917676,              ,              ,              ,              ,0,0,0,              ,              ,
607,2,4,3500,1,3,2202.55,0,1645,11157,0,17681,0,900,3582,755,110103,0,0,0,              ,              ,              ,              ,              ,
608,3,6,45000,5,5,274.41,0,0,0,0,57083,0,1052,7339,5591,              ,              ,              ,              ,              ,              ,              ,              ,              ,
609,2,4,1500,3,2,1837.42,0,7117,3648,0,11892,0,198,6890,1615,177351,15072,0,0,              ,              ,              ,              ,              ,
610,3,7,15000,5,12,225.04,0,514790,187392,0,284969,0,26109,7914,38778,28978,8066,0,0,              ,              ,              ,              ,              ,
611,3,6,45000,6,5,1956.68,39352,27469,2985,97554,120382,0,2004,14505,10407,              ,              ,              ,              ,              ,              ,              ,              ,              ,
612,2,4,60000,9,21,1.07,0,0,101487,0,5248906,0,8802,13230,76898,7740924,4166355,0,0,              ,              ,              ,              ,              ,
613,3,7,1600000,7,2,10.87,0,18369180,11929704,1903031,13549400,0,351517,14183997,5410413,1918344,360331,90083,0,0,0,208035,              ,              ,
614,4,9,7000,3,14,450.35,55643,99356,32634,0,78674,0,3435,1787,6708,0,1427737,0,0,              ,              ,              ,              ,              ,
615,1,1,10001,2,12,456.47,0,0,17629,0,62096,0,2585,1021,4682,              ,              ,              ,              ,641030,335486,0,              ,              ,
616,2,3,25000,5,12,1545.96,0,0,0,0,18524,0,1092,418,2049,443150,98721,0,0,              ,              ,              ,              ,              ,
617,4,9,10000,6,2,487.73,0,96149,24041,0,258532,0,2075,85210,19249,123167,122659,122659,0,              ,              ,              ,              ,              ,
