AEZ_ID,Type,Nfert(kg)
15405,1,43533819.580048
15405,2,522028777.253967
15406,1,35023502.651428
15406,2,288144559.899292
15411,1,123095.055664
15411,2,1374304.536133
15412,1,2775616.864258
15412,2,27314702.472412
15601,2,14437795.863729
15710,1,12161378.347656
15710,2,281056667.327148
15711,1,865945.928711
15711,2,41320471.042969
15716,2,1958296.703125
15804,1,8142.780678
15804,2,159267.255314
15805,1,5389.337400
15805,2,168461.966983
15806,1,7397.129732
15806,2,58809.480022
15809,2,9217.227694
15810,2,6507.452904
15903,1,1285870.989029
15903,2,4662304.569359
15904,1,373221.465777
15904,2,2171007.592214
15909,1,172179.263718
15909,2,1358351.366722
15910,1,3914.746033
15910,2,361655.545228
16001,1,1927674.589844
16001,2,3872734.496094
16002,1,4204484.830078
16002,2,11693570.425781
16003,1,6835267.211184
16003,2,15966563.796448
16004,1,148369.929688
16004,2,3899532.621094
16007,1,1831162.583008
16007,2,2749518.944824
16008,1,4521901.168579
16008,2,6453208.228638
16009,1,4098228.683838
16009,2,51159341.399048
16010,1,216703.148438
16010,2,9025480.269531
16011,1,605577.445312
16011,2,1953959.703125
