# File: GCAM_sector_tech_Revised.csv
# Title: Mapping between GCAM agriculture technologies to EPA aggregate sectors, aggregte fuels, EDGAR aggregate sector, RCP aggregate sector, BCOC aggregate sectore, EPA MACC sector, and IIASA sector
# Units: None
# Comments: The fuel column should not be taken literally for all sectors. For agriculture, transportation, and others it is used simply for matching purposes and does not represent a fuel.
# Source: internal
# Column types: ccccccccccccccc
# ----------
sector,fuel,technology,supplysector,subsector,stub.technology,EPA_agg_sector,EPA_agg_fuel,EPA_agg_fuel_ghg,EDGAR_agg_sector,RCP_agg_sector,BCOC_agg_sector,BCOC_agg_fuel,EPA_MACC_Sector,IIASA_sector
Passenger,LDV_4W_Car,refined liquids,trn_pass_road_LDV_4W,Car,Hybrid Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,Refrigeration and Air Conditioning,trn_oil
Passenger,LDV_4W_Mini Car,gas,trn_pass_road_LDV_4W,Mini Car,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,Refrigeration and Air Conditioning,trn_gas
Passenger,LDV_4W_Mini Car,refined liquids,trn_pass_road_LDV_4W,Mini Car,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,Refrigeration and Air Conditioning,trn_oil
Passenger,LDV_4W_Mini Car,refined liquids,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,Refrigeration and Air Conditioning,trn_oil
Passenger,LDV_4W_Large Car and Truck,gas,trn_pass_road_LDV_4W,Large Car and Truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,Refrigeration and Air Conditioning,trn_gas
Passenger,LDV_4W_Large Car and Truck,refined liquids,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,Refrigeration and Air Conditioning,trn_oil
Passenger,LDV_4W_Large Car and Truck,refined liquids,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,Refrigeration and Air Conditioning,trn_oil
Passenger,LDV_4W_Car,gas,trn_pass_road_LDV_4W,Car,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,Refrigeration and Air Conditioning,trn_gas
Passenger,LDV_4W_Car,refined liquids,trn_pass_road_LDV_4W,Car,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,Refrigeration and Air Conditioning,trn_oil
Passenger,LDV_4W_Car,refined liquids,trn_pass_road_LDV_4W,Car,Hybrid Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,Refrigeration and Air Conditioning,trn_oil
Passenger,LDV_4W_Large Car and Truck,gas,trn_pass_road_LDV_4W,Large Car and Truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Passenger,LDV_4W_Large Car and Truck,refined liquids,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Passenger,LDV_4W_Large Car and Truck,refined liquids,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Passenger,Rail_All,refined liquids,trn_pass,Passenger Rail,Liquids,trn_rail,all,refined liquids,trn_rail,tra,trn_rail,refined liquids,,trn_oil
Passenger,Rail_All,refined liquids,trn_pass,Passenger Rail,Tech-Adv-Liquid,trn_rail,all,refined liquids,trn_rail,tra,trn_rail,refined liquids,,trn_oil
