# Assumed technology charactoristics including costs and efficiencies,,,,,,,,,,,,,,
# Source: Tables_ElecS_Data.xlsx,,,,,,,,,,,,,,
supplysector,subsector,technology,period,share_weight,capital_cost,lifetime,fixed_om,variable_om,fcr,capacity_factor,capacity_factor_OM,efficiency,minicam_energy_input,market
intermediate generation,coal,coal_int_conv,2020,1,496,60,8.83,1.472,0.15,0.520833333,0.52,0.391325288,regional coal,USA
intermediate generation,coal,coal_int_conv,2035,1,467,60,8.31,1.386,0.15,0.520833333,0.52,0.400223161,regional coal,USA
intermediate generation,coal,coal_int_conv,2050,1,440,60,7.83,1.305,0.15,0.520833333,0.52,0.409323353,regional coal,USA
intermediate generation,coal,coal_int_conv,2065,1,414,60,7.37,1.229,0.15,0.520833333,0.52,0.418630462,regional coal,USA
intermediate generation,coal,coal_int_conv,2080,1,390,60,6.94,1.157,0.15,0.520833333,0.52,0.428149195,regional coal,USA
intermediate generation,coal,coal_int_conv,2095,1,367,60,6.54,1.090,0.15,0.520833333,0.52,0.437884362,regional coal,USA
intermediate generation,coal,coal_int_IGCC,2005,0,575,60,12.40,0.937,0.15,0.520833333,0.52,0.42624803,regional coal,USA
intermediate generation,coal,coal_int_IGCC,2020,1,575,60,12.40,0.937,0.15,0.520833333,0.52,0.42624803,regional coal,USA
intermediate generation,coal,coal_int_IGCC,2035,1,517,60,11.57,0.874,0.15,0.520833333,0.52,0.449038642,regional coal,USA
intermediate generation,coal,coal_int_IGCC,2050,1,437,60,10.42,0.787,0.15,0.520833333,0.52,0.46959835,regional coal,USA
intermediate generation,coal,coal_int_IGCC,2065,1,433,60,10.36,0.783,0.15,0.520833333,0.52,0.485914627,regional coal,USA
intermediate generation,coal,coal_int_IGCC,2080,1,410,60,10.03,0.758,0.15,0.520833333,0.52,0.496390322,regional coal,USA
intermediate generation,coal,coal_int_IGCC,2095,1,402,60,9.92,0.750,0.15,0.520833333,0.52,0.5,regional coal,USA
intermediate generation,coal,coal_int_IGCC_CCS,2020,0.333,758,60,14.22,1.718,0.15,0.520833333,0.52,0.364289077,regional coal,USA
intermediate generation,coal,coal_int_IGCC_CCS,2035,1,666,60,13.14,1.548,0.15,0.520833333,0.52,0.394133281,regional coal,USA
intermediate generation,coal,coal_int_IGCC_CCS,2050,1,558,60,11.79,1.374,0.15,0.520833333,0.52,0.42094358,regional coal,USA
intermediate generation,coal,coal_int_IGCC_CCS,2065,1,550,60,11.69,1.352,0.15,0.520833333,0.52,0.437259857,regional coal,USA
intermediate generation,coal,coal_int_IGCC_CCS,2080,1,522,60,11.32,1.310,0.15,0.520833333,0.52,0.447735551,regional coal,USA
intermediate generation,coal,coal_int_IGCC_CCS,2095,1,512,60,11.20,1.296,0.15,0.520833333,0.52,0.451345229,regional coal,USA
subpeak generation,gas,gas_subpeak_turbine,2005,0,158,45,3.63,1.080,0.15,0.25,0.25,0.384365909,wholesale gas,USA
subpeak generation,gas,gas_subpeak_turbine,2020,0,163,45,3.75,1.116,0.15,0.25,0.25,0.384365909,wholesale gas,USA
subpeak generation,gas,gas_subpeak_turbine,2035,0,154,45,3.53,1.051,0.15,0.25,0.25,0.393105542,wholesale gas,USA
subpeak generation,gas,gas_subpeak_turbine,2050,0,145,45,3.33,0.990,0.15,0.25,0.25,0.402043894,wholesale gas,USA
subpeak generation,gas,gas_subpeak_turbine,2065,0,136,45,3.13,0.932,0.15,0.25,0.25,0.411185484,wholesale gas,USA
subpeak generation,gas,gas_subpeak_turbine,2080,0,128,45,2.95,0.878,0.15,0.25,0.25,0.420534935,wholesale gas,USA
subpeak generation,gas,gas_subpeak_turbine,2095,0,121,45,2.78,0.827,0.15,0.25,0.25,0.430096971,wholesale gas,USA
subpeak generation,gas,gas_subpeak_CC,2005,0,233,45,3.88,0.652,0.15,0.25,0.25,0.553563658,wholesale gas,USA
subpeak generation,gas,gas_subpeak_CC,2020,1,233,45,3.88,0.652,0.15,0.25,0.25,0.553563658,wholesale gas,USA
subpeak generation,gas,gas_subpeak_CC,2035,1,203,45,3.54,0.596,0.15,0.25,0.25,0.598814977,wholesale gas,USA
subpeak generation,gas,gas_subpeak_CC,2050,1,177,45,3.26,0.548,0.15,0.25,0.25,0.63963678,wholesale gas,USA
subpeak generation,gas,gas_subpeak_CC,2065,1,173,45,3.21,0.540,0.15,0.25,0.25,0.672033147,wholesale gas,USA
subpeak generation,gas,gas_subpeak_CC,2080,1,166,45,3.13,0.526,0.15,0.25,0.25,0.692832895,wholesale gas,USA
subpeak generation,gas,gas_subpeak_CC,2095,1,163,45,3.10,0.522,0.15,0.25,0.25,0.7,wholesale gas,USA
subpeak generation,gas,gas_subpeak_CC_CCS,2020,0.333,362,45,4.29,0.827,0.15,0.25,0.25,0.490973649,wholesale gas,USA
subpeak generation,gas,gas_subpeak_CC_CCS,2035,1,313,45,3.90,0.746,0.15,0.25,0.25,0.539782716,wholesale gas,USA
subpeak generation,gas,gas_subpeak_CC_CCS,2050,1,273,45,3.56,0.679,0.15,0.25,0.25,0.583960039,wholesale gas,USA
subpeak generation,gas,gas_subpeak_CC_CCS,2065,1,265,45,3.50,0.665,0.15,0.25,0.25,0.616356406,wholesale gas,USA
subpeak generation,gas,gas_subpeak_CC_CCS,2080,1,254,45,3.41,0.646,0.15,0.25,0.25,0.637156154,wholesale gas,USA
subpeak generation,gas,gas_subpeak_CC_CCS,2095,1,250,45,3.38,0.640,0.15,0.25,0.25,0.644323259,wholesale gas,USA
subpeak generation,biomass,bio_subpeak_conv,2005,0,511,60,9.09,1.493,0.15,0.25,0.25,0.381695013,regional biomass,USA
subpeak generation,biomass,bio_subpeak_conv,2020,0,511,60,9.09,1.493,0.15,0.25,0.25,0.381695013,regional biomass,USA
subpeak generation,biomass,bio_subpeak_conv,2035,0,481,60,8.56,1.406,0.15,0.25,0.25,0.390373915,regional biomass,USA
subpeak generation,biomass,bio_subpeak_conv,2050,0,453,60,8.06,1.324,0.15,0.25,0.25,0.399250156,regional biomass,USA
subpeak generation,biomass,bio_subpeak_conv,2065,0,427,60,7.59,1.247,0.15,0.25,0.25,0.408328223,regional biomass,USA
subpeak generation,biomass,bio_subpeak_conv,2080,0,402,60,7.15,1.174,0.15,0.25,0.25,0.417612706,regional biomass,USA
subpeak generation,biomass,bio_subpeak_conv,2095,0,378,60,6.73,1.105,0.15,0.25,0.25,0.427108297,regional biomass,USA
subpeak generation,biomass,bio_subpeak_IGCC,2005,0,362,60,12.77,0.950,0.15,0.25,0.25,0.415758327,regional biomass,USA
subpeak generation,biomass,bio_subpeak_IGCC,2020,0,362,60,12.77,0.950,0.15,0.25,0.25,0.415758327,regional biomass,USA
subpeak generation,biomass,bio_subpeak_IGCC,2035,0,313,60,11.91,0.887,0.15,0.25,0.25,0.437988076,regional biomass,USA
subpeak generation,biomass,bio_subpeak_IGCC,2050,0,273,60,10.73,0.798,0.15,0.25,0.25,0.458041823,regional biomass,USA
subpeak generation,biomass,bio_subpeak_IGCC,2065,0,265,60,10.67,0.794,0.15,0.25,0.25,0.473956566,regional biomass,USA
subpeak generation,biomass,bio_subpeak_IGCC,2080,0,254,60,10.33,0.769,0.15,0.25,0.25,0.48417446,regional biomass,USA
subpeak generation,biomass,bio_subpeak_IGCC,2095,0,250,60,10.22,0.760,0.15,0.25,0.25,0.487695307,regional biomass,USA
subpeak generation,biomass,bio_subpeak_IGCC_CCS,2020,0,763,60,14.33,1.616,0.15,0.25,0.25,0.363558477,regional biomass,USA
subpeak generation,biomass,bio_subpeak_IGCC_CCS,2035,0,673,60,13.26,1.463,0.15,0.25,0.25,0.391730813,regional biomass,USA
subpeak generation,biomass,bio_subpeak_IGCC_CCS,2050,0,565,60,11.90,1.301,0.15,0.25,0.25,0.417050624,regional biomass,USA
subpeak generation,biomass,bio_subpeak_IGCC_CCS,2065,0,558,60,11.81,1.282,0.15,0.25,0.25,0.432965367,regional biomass,USA
subpeak generation,biomass,bio_subpeak_IGCC_CCS,2080,0,529,60,11.44,1.242,0.15,0.25,0.25,0.443183262,regional biomass,USA
subpeak generation,biomass,bio_subpeak_IGCC_CCS,2095,0,520,60,11.31,1.228,0.15,0.25,0.25,0.446704108,regional biomass,USA
subpeak generation,oil,oil_subpeak_turbine,2005,0,158,45,3.63,1.080,0.15,0.25,0.25,0.384365909,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_turbine,2020,0,163,45,3.75,1.116,0.15,0.25,0.25,0.384365909,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_turbine,2035,0,154,45,3.53,1.051,0.15,0.25,0.25,0.393105542,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_turbine,2050,0,145,45,3.33,0.990,0.15,0.25,0.25,0.402043894,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_turbine,2065,0,136,45,3.13,0.932,0.15,0.25,0.25,0.411185484,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_turbine,2080,0,128,45,2.95,0.878,0.15,0.25,0.25,0.420534935,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_turbine,2095,0,121,45,2.78,0.827,0.15,0.25,0.25,0.430096971,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_IGCC,2005,0,517,45,11.16,0.843,0.15,0.25,0.25,0.42624803,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_IGCC,2020,1,517,45,11.16,0.843,0.15,0.25,0.25,0.42624803,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_IGCC,2035,1,451,45,10.20,0.771,0.15,0.25,0.25,0.449038642,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_IGCC,2050,1,393,45,9.37,0.708,0.15,0.25,0.25,0.46959835,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_IGCC,2065,1,384,45,9.24,0.698,0.15,0.25,0.25,0.485914627,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_IGCC,2080,1,368,45,9.01,0.681,0.15,0.25,0.25,0.496390322,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_IGCC,2095,1,362,45,8.93,0.675,0.15,0.25,0.25,0.5,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_IGCC_CCS,2020,0.333,741,45,12.02,1.212,0.15,0.25,0.25,0.363613943,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_IGCC_CCS,2035,1,641,45,10.93,1.083,0.15,0.25,0.25,0.38996481,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_IGCC_CCS,2050,1,558,45,10.01,0.982,0.15,0.25,0.25,0.4138824,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_IGCC_CCS,2065,1,543,45,9.86,0.961,0.15,0.25,0.25,0.430198677,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_IGCC_CCS,2080,1,521,45,9.60,0.934,0.15,0.25,0.25,0.440674372,refined liquids industrial,USA
subpeak generation,oil,oil_subpeak_IGCC_CCS,2095,1,513,45,9.51,0.925,0.15,0.25,0.25,0.44428405,refined liquids industrial,USA
subpeak generation,coal,coal_subpeak_IGCC,2005,0,575,60,12.40,0.937,0.15,0.25,0.25,0.42624803,regional coal,USA
subpeak generation,coal,coal_subpeak_IGCC,2020,0,575,60,12.40,0.937,0.15,0.25,0.25,0.42624803,regional coal,USA
subpeak generation,coal,coal_subpeak_IGCC,2035,0,517,60,11.57,0.874,0.15,0.25,0.25,0.449038642,regional coal,USA
subpeak generation,coal,coal_subpeak_IGCC,2050,0,437,60,10.42,0.787,0.15,0.25,0.25,0.46959835,regional coal,USA
subpeak generation,coal,coal_subpeak_IGCC,2065,0,433,60,10.36,0.783,0.15,0.25,0.25,0.485914627,regional coal,USA
subpeak generation,coal,coal_subpeak_IGCC,2080,0,410,60,10.03,0.758,0.15,0.25,0.25,0.496390322,regional coal,USA
subpeak generation,coal,coal_subpeak_IGCC,2095,0,402,60,9.92,0.750,0.15,0.25,0.25,0.5,regional coal,USA
subpeak generation,coal,coal_subpeak_IGCC_CCS,2020,0,758,60,14.22,1.718,0.15,0.25,0.25,0.364289077,regional coal,USA
subpeak generation,coal,coal_subpeak_IGCC_CCS,2035,0,666,60,13.14,1.548,0.15,0.25,0.25,0.394133281,regional coal,USA
subpeak generation,coal,coal_subpeak_IGCC_CCS,2050,0,558,60,11.79,1.374,0.15,0.25,0.25,0.42094358,regional coal,USA
subpeak generation,coal,coal_subpeak_IGCC_CCS,2065,0,550,60,11.69,1.352,0.15,0.25,0.25,0.437259857,regional coal,USA
subpeak generation,coal,coal_subpeak_IGCC_CCS,2080,0,522,60,11.32,1.310,0.15,0.25,0.25,0.447735551,regional coal,USA
subpeak generation,coal,coal_subpeak_IGCC_CCS,2095,0,512,60,11.20,1.296,0.15,0.25,0.25,0.451345229,regional coal,USA
peak generation,gas,gas_peak_turbine,2005,0,158,45,3.63,1.080,0.15,0.0625,0.06,0.384365909,wholesale gas,USA
peak generation,gas,gas_peak_turbine,2020,1,163,45,3.75,1.116,0.15,0.0625,0.06,0.384365909,wholesale gas,USA
peak generation,gas,gas_peak_turbine,2035,1,154,45,3.53,1.051,0.15,0.0625,0.06,0.393105542,wholesale gas,USA
peak generation,gas,gas_peak_turbine,2050,1,145,45,3.33,0.990,0.15,0.0625,0.06,0.402043894,wholesale gas,USA
peak generation,gas,gas_peak_turbine,2065,1,136,45,3.13,0.932,0.15,0.0625,0.06,0.411185484,wholesale gas,USA
peak generation,gas,gas_peak_turbine,2080,1,128,45,2.95,0.878,0.15,0.0625,0.06,0.420534935,wholesale gas,USA
peak generation,gas,gas_peak_turbine,2095,1,121,45,2.78,0.827,0.15,0.0625,0.06,0.430096971,wholesale gas,USA
peak generation,gas,gas_peak_CC,2005,0,233,45,3.88,0.652,0.15,0.0625,0.06,0.553563658,wholesale gas,USA
peak generation,gas,gas_peak_CC,2020,1,233,45,3.88,0.652,0.15,0.0625,0.06,0.553563658,wholesale gas,USA
peak generation,gas,gas_peak_CC,2035,1,203,45,3.54,0.596,0.15,0.0625,0.06,0.598814977,wholesale gas,USA
peak generation,gas,gas_peak_CC,2050,1,177,45,3.26,0.548,0.15,0.0625,0.06,0.63963678,wholesale gas,USA
peak generation,gas,gas_peak_CC,2065,1,173,45,3.21,0.540,0.15,0.0625,0.06,0.672033147,wholesale gas,USA
peak generation,gas,gas_peak_CC,2080,1,166,45,3.13,0.526,0.15,0.0625,0.06,0.692832895,wholesale gas,USA
peak generation,gas,gas_peak_CC,2095,1,163,45,3.10,0.522,0.15,0.0625,0.06,0.7,wholesale gas,USA
peak generation,gas,gas_peak_CC_CCS,2020,0.333,362,45,4.29,0.827,0.15,0.0625,0.06,0.490973649,wholesale gas,USA
peak generation,gas,gas_peak_CC_CCS,2035,1,313,45,3.90,0.746,0.15,0.0625,0.06,0.539782716,wholesale gas,USA
peak generation,gas,gas_peak_CC_CCS,2050,1,273,45,3.56,0.679,0.15,0.0625,0.06,0.583960039,wholesale gas,USA
peak generation,gas,gas_peak_CC_CCS,2065,1,265,45,3.50,0.665,0.15,0.0625,0.06,0.616356406,wholesale gas,USA
peak generation,gas,gas_peak_CC_CCS,2080,1,254,45,3.41,0.646,0.15,0.0625,0.06,0.637156154,wholesale gas,USA
peak generation,gas,gas_peak_CC_CCS,2095,1,250,45,3.38,0.640,0.15,0.0625,0.06,0.644323259,wholesale gas,USA
peak generation,oil,oil_peak_turbine,2005,0,158,45,3.63,1.080,0.15,0.0625,0.06,0.384365909,refined liquids industrial,USA
peak generation,oil,oil_peak_turbine,2020,1,163,45,3.75,1.116,0.15,0.0625,0.06,0.384365909,refined liquids industrial,USA
peak generation,oil,oil_peak_turbine,2035,1,154,45,3.53,1.051,0.15,0.0625,0.06,0.393105542,refined liquids industrial,USA
peak generation,oil,oil_peak_turbine,2050,1,145,45,3.33,0.990,0.15,0.0625,0.06,0.402043894,refined liquids industrial,USA
peak generation,oil,oil_peak_turbine,2065,1,136,45,3.13,0.932,0.15,0.0625,0.06,0.411185484,refined liquids industrial,USA
peak generation,oil,oil_peak_turbine,2080,1,128,45,2.95,0.878,0.15,0.0625,0.06,0.420534935,refined liquids industrial,USA
peak generation,oil,oil_peak_turbine,2095,1,121,45,2.78,0.827,0.15,0.0625,0.06,0.430096971,refined liquids industrial,USA
peak generation,oil,oil_peak_IGCC,2005,0,517,45,11.16,0.843,0.15,0.0625,0.06,0.42624803,refined liquids industrial,USA
peak generation,oil,oil_peak_IGCC,2020,1,517,45,11.16,0.843,0.15,0.0625,0.06,0.42624803,refined liquids industrial,USA
peak generation,oil,oil_peak_IGCC,2035,1,451,45,10.20,0.771,0.15,0.0625,0.06,0.449038642,refined liquids industrial,USA
peak generation,oil,oil_peak_IGCC,2050,1,393,45,9.37,0.708,0.15,0.0625,0.06,0.46959835,refined liquids industrial,USA
peak generation,oil,oil_peak_IGCC,2065,1,384,45,9.24,0.698,0.15,0.0625,0.06,0.485914627,refined liquids industrial,USA
peak generation,oil,oil_peak_IGCC,2080,1,368,45,9.01,0.681,0.15,0.0625,0.06,0.496390322,refined liquids industrial,USA
peak generation,oil,oil_peak_IGCC,2095,1,362,45,8.93,0.675,0.15,0.0625,0.06,0.5,refined liquids industrial,USA
peak generation,oil,oil_peak_IGCC_CCS,2020,0.333,741,45,12.02,1.212,0.15,0.0625,0.06,0.363613943,refined liquids industrial,USA
peak generation,oil,oil_peak_IGCC_CCS,2035,1,641,45,10.93,1.083,0.15,0.0625,0.06,0.38996481,refined liquids industrial,USA
peak generation,oil,oil_peak_IGCC_CCS,2050,1,558,45,10.01,0.982,0.15,0.0625,0.06,0.4138824,refined liquids industrial,USA
peak generation,oil,oil_peak_IGCC_CCS,2065,1,543,45,9.86,0.961,0.15,0.0625,0.06,0.430198677,refined liquids industrial,USA
peak generation,oil,oil_peak_IGCC_CCS,2080,1,521,45,9.60,0.934,0.15,0.0625,0.06,0.440674372,refined liquids industrial,USA
peak generation,oil,oil_peak_IGCC_CCS,2095,1,513,45,9.51,0.925,0.15,0.0625,0.06,0.44428405,refined liquids industrial,USA
base load generation,nuclear,nuc_base_gen3,2005,0,815,60,21.77,0.159,0.15,0.9,0.90,0.34,nuclearFuelGenIII,USA
base load generation,nuclear,nuc_base_gen3,2020,1,676,60,21.77,0.159,0.15,0.9,0.90,0.34,nuclearFuelGenIII,USA
base load generation,nuclear,nuc_base_gen3,2035,1,664,60,21.41,0.156,0.15,0.9,0.90,0.34,nuclearFuelGenIII,USA
base load generation,nuclear,nuc_base_gen3,2050,1,654,60,21.09,0.154,0.15,0.9,0.90,0.34,nuclearFuelGenIII,USA
base load generation,nuclear,nuc_base_gen3,2065,1,645,60,20.77,0.151,0.15,0.9,0.90,0.34,nuclearFuelGenIII,USA
base load generation,nuclear,nuc_base_gen3,2080,1,636,60,20.50,0.149,0.15,0.9,0.90,0.34,nuclearFuelGenIII,USA
base load generation,nuclear,nuc_base_gen3,2095,1,626,60,20.19,0.147,0.15,0.9,0.90,0.34,nuclearFuelGenIII,USA
base load generation,wind,wind_base_storage,2005,0,916,30,8.63,3.909,0.13,0.40,0.40,0.96,large onshore windresource, 
base load generation,wind,wind_base_storage,2020,1,827,30,8.63,3.127,0.13,0.45,0.45,0.96,large onshore windresource, 
base load generation,wind,wind_base_storage,2035,1,764,30,8.49,3.072,0.13,0.46,0.46,0.96,large onshore windresource, 
base load generation,wind,wind_base_storage,2050,1,721,30,8.36,3.019,0.13,0.47,0.47,0.96,large onshore windresource, 
base load generation,wind,wind_base_storage,2065,1,695,30,8.23,2.968,0.13,0.48,0.48,0.96,large onshore windresource, 
base load generation,wind,wind_base_storage,2080,1,669,30,8.11,2.918,0.13,0.49,0.49,0.96,large onshore windresource, 
base load generation,wind,wind_base_storage,2095,1,645,30,7.99,2.871,0.13,0.50,0.50,0.96,large onshore windresource, 
base load generation,solar,pv_base_storage,2005,0,3552,30,17.42,0,0.13,0.50,0.50,1,large onshore windresource, 
base load generation,solar,pv_base_storage,2020,1,2370,30,16.23,0,0.13,0.50,0.50,1,large onshore windresource, 
base load generation,solar,pv_base_storage,2035,1,1716,30,13.66,0,0.13,0.50,0.50,1,large onshore windresource, 
base load generation,solar,pv_base_storage,2050,1,1345,30,12.48,0,0.13,0.50,0.50,1,large onshore windresource, 
base load generation,solar,pv_base_storage,2065,1,1135,30,11.54,0,0.13,0.50,0.50,1,large onshore windresource, 
base load generation,solar,pv_base_storage,2080,1,1013,30,10.97,0,0.13,0.50,0.50,1,large onshore windresource, 
base load generation,solar,pv_base_storage,2095,1,951,30,10.76,0,0.13,0.50,0.50,1,large onshore windresource, 
base load generation,solar,csp_base_storage,2005,0,2146,30,16.62,0,0.13,0.73,0.73,1,global solar resource, 
base load generation,solar,csp_base_storage,2020,1,1991,30,15.42,0,0.13,0.73,0.73,1,global solar resource, 
base load generation,solar,csp_base_storage,2035,1,1846,30,14.30,0,0.13,0.73,0.73,1,global solar resource, 
base load generation,solar,csp_base_storage,2050,1,1713,30,13.26,0,0.13,0.73,0.73,1,global solar resource, 
base load generation,solar,csp_base_storage,2065,1,1589,30,12.30,0,0.13,0.73,0.73,1,global solar resource, 
base load generation,solar,csp_base_storage,2080,1,1474,30,11.41,0,0.13,0.73,0.73,1,global solar resource, 
base load generation,solar,csp_base_storage,2095,1,1367,30,10.59,0,0.13,0.73,0.73,1,global solar resource, 
intermediate generation,solar,csp_int,2005,0,1073,30,16.62,0,0.13,0.31,0.31,1,global solar resource, 
intermediate generation,solar,csp_int,2020,1,995,30,15.42,0,0.13,0.31,0.31,1,global solar resource, 
intermediate generation,solar,csp_int,2035,1,923,30,14.30,0,0.13,0.31,0.31,1,global solar resource, 
intermediate generation,solar,csp_int,2050,1,856,30,13.26,0,0.13,0.31,0.31,1,global solar resource, 
intermediate generation,solar,csp_int,2065,1,794,30,12.30,0,0.13,0.31,0.31,1,global solar resource, 
intermediate generation,solar,csp_int,2080,1,737,30,11.41,0,0.13,0.31,0.31,1,global solar resource, 
intermediate generation,solar,csp_int,2095,1,683,30,10.59,0,0.13,0.31,0.31,1,global solar resource, 
subpeak generation,solar,csp_subpeak,2005,0,1073,30,16.62,0,0.13,0.25,0.25,1,global solar resource, 
subpeak generation,solar,csp_subpeak,2020,1,995,30,15.42,0,0.13,0.25,0.25,1,global solar resource, 
subpeak generation,solar,csp_subpeak,2035,1,923,30,14.30,0,0.13,0.25,0.25,1,global solar resource, 
subpeak generation,solar,csp_subpeak,2050,1,856,30,13.26,0,0.13,0.25,0.25,1,global solar resource, 
subpeak generation,solar,csp_subpeak,2065,1,794,30,12.30,0,0.13,0.25,0.25,1,global solar resource, 
subpeak generation,solar,csp_subpeak,2080,1,737,30,11.41,0,0.13,0.25,0.25,1,global solar resource, 
subpeak generation,solar,csp_subpeak,2095,1,683,30,10.59,0,0.13,0.25,0.25,1,global solar resource, 
peak generation,solar,csp_peak,2005,0,1073,30,16.62,0,0.13,0.31,0.31,1,global solar resource, 
peak generation,solar,csp_peak,2020,0,995,30,15.42,0,0.13,0.31,0.31,1,global solar resource, 
peak generation,solar,csp_peak,2035,0,923,30,14.30,0,0.13,0.31,0.31,1,global solar resource, 
peak generation,solar,csp_peak,2050,0,856,30,13.26,0,0.13,0.31,0.31,1,global solar resource, 
peak generation,solar,csp_peak,2065,0,794,30,12.30,0,0.13,0.31,0.31,1,global solar resource, 
peak generation,solar,csp_peak,2080,0,737,30,11.41,0,0.13,0.31,0.31,1,global solar resource, 
peak generation,solar,csp_peak,2095,0,683,30,10.59,0,0.13,0.31,0.31,1,global solar resource, 
peak generation,grid_storage,battery,2020,0.333,469,15,9.39,0.00,0.15,0.06,0.06,0.89,off peak electricity,USA
peak generation,grid_storage,battery,2035,1,419,15,8.39,0.00,0.15,0.06,0.06,0.89,off peak electricity,USA
peak generation,grid_storage,battery,2050,1,389,15,7.78,0.00,0.15,0.06,0.06,0.89,off peak electricity,USA
peak generation,grid_storage,battery,2065,1,375,15,7.49,0.00,0.15,0.06,0.06,0.89,off peak electricity,USA
peak generation,grid_storage,battery,2080,1,361,15,7.22,0.00,0.15,0.06,0.06,0.89,off peak electricity,USA
peak generation,grid_storage,battery,2095,1,348,15,6.95,0.00,0.15,0.06,0.06,0.89,off peak electricity,USA
