# File: LDS_value_milUSD.csv
# Title: Initialization of land value (million USD) by country87/use/GLU
# Units: million USD
# Description: Initialization of land value (million USD) by country87/use/GLU
# Source: many, including HYDE and SAGE
reglr_iso,glu_code,use_sector,value
chl,207,ocr,19.147756577
chl,207,osd,0.617340803
chl,207,pdr,1.031454563
chl,207,rmk,107.700813293
chl,207,v_f,205.733703613
chl,207,wht,18.654581070
chl,207,wol,18.288719177
chl,212,c_b,0.055049393
chl,212,ctl,0.139638007
chl,212,gro,0.141504869
chl,212,ocr,0.184018657
chl,212,osd,0.004405743
chl,212,pdr,0.006230317
chl,212,rmk,0.147346973
chl,212,v_f,2.503198385
chl,212,wht,0.176980853
chl,212,wol,0.025021048
chl,213,c_b,0.009450479
chl,213,ctl,0.135580420
chl,213,frs,1.956608772
chl,213,gro,0.012192359
chl,213,ocr,0.003616507
chl,213,osd,0.000755902
chl,213,pdr,0.001575339
chl,213,rmk,0.143065393
chl,213,v_f,0.204547808
chl,213,wht,0.051501781
chl,213,wol,0.024293991
chl,215,c_b,0.006597373
chl,215,ctl,11.138503075
chl,215,frs,0.962379932
chl,215,gro,0.098499805
chl,215,ocr,0.001869769
chl,215,osd,0.000438308
chl,215,rmk,11.753425598
chl,215,v_f,1.026585579
chl,215,wht,2.590892076
chl,215,wol,1.995853662
chn,37,c_b,0.050389625
chn,37,ctl,2.959525347
chn,37,frs,91.252883911
chn,37,gro,2.196937323
chn,37,ocr,2.693022013
chn,37,osd,3.745136499
chn,37,pdr,5.231651306
chn,37,pfb,0.026689896
chn,37,rmk,0.980418980
chn,37,v_f,21.387563705
chn,37,wht,0.184587747
chn,37,wol,1.108893752
chn,42,c_b,3.876853466
chn,42,ctl,379.552062988
chn,42,frs,46.586414337
chn,42,gro,18.302274704
chn,42,ocr,7.817852497
chn,42,osd,14.560892105
chn,42,pdr,2.340488195
chn,42,pfb,41.002529144
chn,42,rmk,125.736412048
chn,42,v_f,287.803741455
chn,42,wht,33.999893188
chn,42,wol,142.212997437
chn,43,c_b,9.765035629
chn,43,ctl,210.397994995
chn,43,frs,1622.314331055
chn,43,gro,378.517578125
chn,43,ocr,69.824493408
chn,43,osd,218.542892456
chn,43,pdr,201.948867798
chn,43,pfb,1.456413507
chn,43,rmk,69.699760437
chn,43,v_f,1365.516479492
chn,43,wht,41.370552063
chn,43,wol,78.833267212
chn,56,c_b,0.469896793
chn,56,ctl,31.783882141
chn,56,frs,83.273307800
chn,56,gro,0.481957674
chn,56,ocr,0.684201539
chn,56,osd,0.730814755
chn,56,pdr,0.023794383
chn,56,pfb,0.041989271
chn,56,rmk,10.529230118
chn,56,v_f,23.527717590
chn,56,wht,1.970610023
chn,56,wol,11.908987999
chn,66,c_b,2.272150040
chn,66,ctl,80.407875061
chn,66,frs,404.542205811
chn,66,gro,212.646438599
chn,66,ocr,31.700090408
chn,66,osd,48.297416687
chn,66,pdr,100.637718201
chn,66,pfb,3.640598536
chn,66,rmk,26.637180328
chn,66,v_f,1493.523193359
chn,66,wht,15.586232185
chn,66,wol,30.127737045
chn,68,c_b,1.795405865
chn,68,ctl,28.943069458
chn,68,frs,163.014739990
chn,68,gro,4.955311298
chn,68,ocr,1.664365530
chn,68,osd,2.953643799
chn,68,pdr,0.609987020
chn,68,pfb,1.157869697
chn,68,rmk,9.588137627
chn,68,v_f,67.037879944
chn,68,wht,6.828176022
chn,68,wol,10.844573975
chn,76,ctl,0.030612426
chn,76,gro,0.000329717
chn,76,ocr,0.000258760
chn,76,osd,0.000229537
chn,76,pdr,0.000058543
chn,76,pfb,0.000415295
