# File: Mekonnen_Hoekstra_Rep47_A2.csv
# Title: Water footprint per ton of crop or derived crop product at national and sub-national level (1996-2005)
# Units: m3/ton
# Description: FAO_crop (item) and item_code are both updated to match primary (land-based) crops aglu/FAO/FAO_ag_items_PRODSTAT
# Source: http://waterfootprint.org/media/downloads/Report47-Appendix-II.zip
# Date of last update: 2022-03-15 (XZ)
# Column types: cicnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
FAO_crop_item,item_code,water_type,afg,alb,dza,asm,ago,atg,arg,arm,aus,aut,aze,bhs,bhr,bgd,brb,blr,bel,blz,ben,bmu,btn,bol,bih,bwa,bra,brn,bgr,bfa,mmr,bdi,khm,cmr,can,cpv,cym,caf,tcd,chl,chn,col,com,cog,cod,cok,cri,civ,hrv,cub,cyp,cze,dnk,dji,dma,dom,tls,ecu,egy,slv,gnq,eri,est,eth,fsm,fji,fin,fra,guf,pyf,gab,gmb,pse,geo,deu,gha,grc,grd,glp,gum,gtm,gin,gnb,guy,hti,hnd,hun,isl,ind,idn,irn,irq,irl,isr,ita,jam,jpn,jor,kaz,ken,kir,prk,kor,kwt,kgz,lao,lva,lbn,lso,lbr,lby,ltu,lux,mkd,mdg,mwi,mys,mdv,mli,mlt,mhl,mtq,mrt,mus,mex,mda,mng,msr,mar,moz,nam,nru,npl,nld,ncl,nzl,nic,ner,nga,niu,nor,omn,pak,pan,png,pry,per,phl,pol,prt,pri,qat,reu,rom,rus,rwa,kna,lca,spm,vct,wsm,stp,sau,sen,scg,syc,sle,sgp,svk,svn,slb,som,zaf,esp,lka,sdn,sur,swz,swe,che,syr,tjk,tza,tha,tgo,tkl,ton,tto,tun,tur,tkm,tuv,uga,ukr,are,gbr,usa,ury,uzb,vut,ven,vnm,wlf,esh,yem,zmb,zwe
Coconuts,249,Blue,,,,,,,,,,,,,,,,,,,,,,,,,22.56528236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.630843763,,,,,,,,,,,,,,1.566049531,,,,,,,,,,,,,,,,,,,47.47914266,,,,,,,,,,,,,,,403.6331572,,,,,,3423.295775,,,,,,,,,,,,,,1.566049531,,,,,,8.551454673,,,,,,,,,,,,,,,
"Coffee, green",656,Green,,,,,231136.3664,,,,,,,,,,,,,2273.125461,42796.94551,,,7455.701323,,,10750.42083,,,,21490.67839,9946.799453,14390.45936,34096.25483,,,,17714.23645,,,5384.075863,13032.79374,64469.3909,32092.08202,22414.63387,13190.16176,8598.925473,28266.55068,,41644.55576,,,,,16408.60241,35638.13255,47762.54779,23561.0544,,14203.69728,,,,10488.06693,,24333.92308,,,,60783.79747,29135.91022,,,,,35368.47041,,,13468.89655,,11674.37421,25781.17619,,24878.61071,20859.94307,12987.9219,,,12638.45642,28256.90178,,,,,,26100.59442,,,,22221.9082,,,,,,14884.37474,,,,56245.70513,,,,,35420.01041,7312.909048,19869.04686,,,,,5471.132911,,,23104.44164,,,,,10311.34748,,,45059.06433,,68203.96825,,15210.85385,,,,,,,25285.6273,12984.10572,15374.64066,12170.20539,15685.19518,,,36881.13595,,,,,12341.47992,,,,29062.76347,53854.1,78779.07445,,,,,6609.182609,,,,,,,,18947.88022,,247946.7787,,,,,,18042.85909,10608.2546,27743.21632,,5420.746667,78408.90411,,,,,12197.61519,,,,7877.216021,,,13765.58442,29639.15854,6260.085754,,,10741.98516,6522.23176,4291.362052
"Coffee, green",656,Blue,,,,,,,,,,,,,,,,,,,,,,,,,181.4526381,,,,,63.58603928,,,,,,,,,,,,,1.72108882,,,,,,,,,,,,,,,56.08349085,,,,66.25223971,,,,,,,,,,,,,,,,,0.005320166,,,,,,,,,,,,,,,136.6321123,,,,801.8461038,,,,,,,,,,,,,,,,6484.228911,,,,,,,,,,,,,,41.64660771,,,,,,,,,,,,,,,,0.001881014,,,,,,,,,,0.888877615,,,,,,,,,,,,,,,,,,,,,,,,,,,0.815587964,,,,,,,,,,,,,,,,,,1708.124369,,,,16052.93408,8418.025751,4998.789547
"Cow peas, dry",195,Green,,,,,,,,,,,,,,,,,,,,,,,1681.739489,,,,,6668.005936,3496.43167,,,2934.07256,,,,,,,,,,,2328.415481,,,,578.1285547,,843.0615438,,,,,,,,464.1482691,,,,,,,,,,,,,,507.5289596,,,,,,,,,,,1721.743478,4174.592272,,1987.177543,,,,,1704.45802,,,,3014.198813,,,,4247.907638,,,,,,,,,,,,,,646.4779958,2099.481537,1153.692794,,,8751.161718,,,,6867.033997,,,,,,,,,,,,,,,21565.52828,,,,,,,,,1222.150528,1186.450147,,,,,,,,,,,,,,,,9028.088342,747.2856855,,,,,,,,2230.50566,,3041.422156,16420.46382,,2943.049738,,,,,2652.737981,,,,,868.8341014,,,,,2249.065771,,,,2315.493186,,,,,,,,,,
"Cow peas, dry",195,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002008745,,,,,,,,,,,,,,,,,,,,1167.618778,,,,,,,,1632.756414,,,,,,,,,,,,,,,,,,,,,,,,,,11.33743782,,121.1904868,,,,,935.7200389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.6881941,,,,,,,,,,,,,,,,,,,,,,,,,,1813.992453,,,2633.568222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranberries,554,Green,,,,,,,,,,,316.8985298,,,,,,,,,,,,,,,,,,,,,,72.57993342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.8322949,,,,,,,334.1711818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.3783007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.6032868,,,,,1958.912367,,,86.28352866,,,,,,,,,,
Cranberries,554,Blue,,,,,,,,,,,250.466917,,,,,,,,,,,,,,,,,,,,,,84.30198232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.44297306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.200665887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.061647,,,,,,,,,,
Cucumbers and gherkins,397,Green,,87.47976111,88.29410735,538.2354354,,564.1771935,,162.1218866,201.6714296,45.00909761,180.5395862,,8.689642857,693.1468554,206.0420802,188.8672738,18.22405705,403.5673469,,,,259.634492,460.5920774,,,0.146230892,174.4748335,,,,,2822.695041,80.69054459,124.5632979,,,,66.34655761,239.1688692,277.8778776,,,400.0313747,,,783.3812986,286.953673,393.746571,21.20361345,257.7068743,11.63230533,,670.1518027,418.8141669,2128.63678,280.2569482,62.21717364,279.1687486,,,96.94293641,209.3479513,,221.3197368,34.9986767,23.9101576,137.9114436,346.0820878,,,24.59138862,337.9398129,61.44374454,276.5827662,25.69706325,383.420587,111.971879,122.6066667,,,,395.2863187,,118.7130136,106.9076375,7.384399181,245.8199053,361.8425319,85.2247214,141.5315488,23.46185499,19.8886541,107.2983012,238.5699861,72.48871182,15.95227313,196.8179933,338.161666,,325.1932911,74.33319909,21.62639912,247.8080818,,390.0308706,28.55990379,,,62.24194018,378.0411946,,131.8621416,,,189.366899,,,,,178.9547049,,166.9895871,70.39778698,398.1722796,176.9765318,4217.506667,39.37180756,,,,,4.366387181,,,,,,,23.98003269,43.30979381,126.7668286,581.9382486,,,131.9043371,644.6772936,205.6241149,96.09816571,335.6052872,49.34656535,,191.4683985,212.443531,,,,,,,,19.86915924,,481.829307,,,166.1108,277.8809809,172.1199344,,,271.7442478,32.09625278,364.7225792,152.2160792,106.4608401,,29.43209812,34.14701196,99.98063578,361.2760503,,444.4584364,,,,291.879744,87.4821029,76.47271279,343.7715651,,,301.4179105,42.07412753,6.04185736,185.698972,,107.7872883,,245.0061419,,,,127.3065444,,461.3152068
Cucumbers and gherkins,397,Blue,,77.71532847,74.62651487,,,3.671121072,,155.6201718,272.381365,10.8577326,244.5120473,,57.45584416,,,0.373255649,1.437965053,,,,,85.69502706,17.75058634,,,,27.44222035,,,,,7.41038007,,23.15704787,,,,1.392195612,2.226423614,9.04099593,,,,,,0.175820326,2.795375248,1.119341002,48.79285714,17.46084442,0.373046422,,,3.094804048,,84.4204798,204.2740284,,,,0.446771555,7.764061688,,28.05565789,2.560716568,4.96947705,15.77514052,,,,49.97603095,32.87972388,4.729353856,0.652666637,23.84124568,,0.332991236,,,,,39.35478059,,0.025213537,19.18187311,,80.97676754,24.09897967,348.2193036,565.64419,0.078478664,38.18832543,33.5865438,0.400005472,,39.80644722,215.3181048,40.41370543,,2.290104181,0.475513359,118.9406537,146.6824423,,0.644649167,72.59672191,,,160.1930068,2.41581175,,23.51392406,,,11.51740229,,,,,0.868447114,,2.145642221,31.21465434,206.543771,106.4089779,,61.51903022,,,,,0.066028866,,,,,,,0.515108735,194.2082474,147.87314,0.004820238,,,131.298806,1.234618391,1.298104707,53.63365385,0.052975541,294.4,,15.14733086,20.69410023,,,,,,,,113.8336251,,17.87492468,,,,67.68571528,,,,167.2300885,32.36340662,137.2717531,49.73314153,,,2.359579394,0.0238743,248.3798794,665.6231483,,4.968608341,,,,0.009092875,101.54129,55.31260991,683.9123315,,,21.45609975,81.18462994,0.208215079,141.9245791,,281.4071216,,8.087070654,,,,116.0408102,,12.90133827
Currants,550,Green,,,,,,,,,268.6061237,36.34739609,322.275872,,,,,,284.0134363,,,,,,,,,,2054.987875,,,,,,,,,,,,,,,,,,,,,,,472.2905091,510.7143422,,,,,,,,,,2050.577597,,,,2027.540165,568.5535129,,,,,,,340.1236477,,,,,,,,,,,,688.481522,,,,,,174.7697267,,235.4431357,,1322.107972,,,,,,,,361.3683412,,481.7143881,,,,,,,390.8095144,,,,,,,,,,,,1015.211968,,,,,,,,564.7712639,,746.6327055,,,,,793.7767932,,,,,,,,530.0203587,,,,,174.4237894,456.1797098,,,,,,,,,,,,,,712.4322255,235.2599029,,,,,,,,,1863.070121,346.9718985,,,,,,,,,,,,,,601.5560518,,328.8958587,,,100.0625008,,,,,,,,
Currants,550,Blue,,,,,,,,,95.92127739,1.970735895,442.9705639,,,,,,19.47344272,,,,,,,,,,283.2336562,,,,,,,,,,,,,,,,,,,,,,,13.16526833,5.48844578,,,,,,,,,,3.902841361,,,,24.1502334,115.7015588,,,,,,,4.177794907,,,,,,,,,,,,63.47305698,,,,,,0.759800743,,78.1995761,,9.706615811,,,,,,,,731.6116102,,0.580114189,,,,,,,107.7199812,,,,,,,,,,,,986.060845,,,,,,,,65.7965988,,159.0991605,,,,,31.22027104,,,,,,,,1.265444491,,,,,12.22248557,23.66848373,,,,,,,,,,,,,,287.6860646,6.692283334,,,,,,,,,38.61116085,13.76221584,,,,,,,,,,,,,,28.95042208,,22.46087566,,,708.8963612,,,,,,,,
Dates,577,Green,,2441.956416,987.2926822,,,,,,,,,,,,,,,,3427.399317,,,,,,,,,,,,,2084.673807,,,,,3210.886259,,503.2678948,1898.535912,,,,,,,,,,,,,,,,,92.35340486,,,,,,,,,,,,,,431.7822683,,,,,,,,,,,,,,,,,,966.6830631,472.5677229,,748.9478221,,,,720.7983917,,2560.51585,,,,337.3024538,,,,,,,784.3200295,,,,,,,,,,,,1683.393508,,606.1621483,,,,2829.550221,,1990.898869,,,,,,,1218.638669,,,,716.8640947,669.261311,,,,2920.69907,,,,,264.3076106,,,,,,,,,,,462.2218805,,,,,,,,,1452.486087,,760.1285612,,729.9781151,,2600.107143,,,1340.925889,,,,,,,,1031.548178,2030.168696,,,,,3629.847535,,317.2116236,,,,,,,,3187.53777,,
Dates,577,Blue,,882.7312349,2283.751687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.792127412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.171742,,,,,,,,,,,,,,,,,,2280.614552,,,1584.828356,,,,,,,,,,1688.380695,,,,,,,1320.67204,,,,,,,,,,,,1734.439685,,,,,,3994.81169,,,,,,,,,4980.071574,,,,1964.553216,,,,,,,,,,1688.915782,,,,,,,,,,,3042.36814,,,,,,,,,,,,,,,,,,,,,,,,,,3271.395562,,,,,,1597.8135,,,,,,,,,,,,
Eggplants (aubergines),399,Green,,147.6714547,154.3980331,873.5511754,,751.1372856,,,,109.7785446,375.6473844,,36.42672956,,,,63.64594749,,,,,,,,,585.0816187,146.9026837,,,,,1118.555276,,,,,,,233.4028123,254.5207314,,202.9661081,,,,350.0429668,,,35.73447112,,,,,691.3489799,,,38.06462563,,,,,,,908.4380061,,79.85145138,,,431.1134779,,15.58348307,,,913.9784178,68.97620756,,340.7427846,,,,,586.2975595,399.8722653,510.5523947,182.1471713,,291.5365923,602.7155232,69.5967713,60.40451849,,15.39451878,105.0274932,471.7922943,106.2881903,70.70089819,103.6541878,,,381.7483458,268.4335952,13.62852099,1072.914791,,,96.09378701,,,77.77915646,867.1771815,,170.3261212,,,,,,66.00811037,,499.7961253,,363.4292844,117.956981,375.5793303,,,124.5159929,,,,,7.146015963,,,,196.6668605,,,,56.14328571,76.0143135,,,,503.6940441,507.5189641,,102.5729106,,26.31157405,472.3181777,179.438332,,,,,,,,,71.28915099,302.7356073,,,,,,,,,,49.65001074,444.2057356,45.77438208,,,,,40.04836491,,,786.1221037,,,,261.15967,132.9096722,82.38302042,,,,492.3494416,42.50340479,,84.47775558,,71.47861267,,332.9925847,,,,219.8223819,,
Eggplants (aubergines),399,Blue,,89.06787153,15.10400994,,,21.39004399,,,,0.641636397,465.1667792,,547.591195,,,,1.323407056,,,,,,,,,0.171139139,33.57671357,,,,,4.752692999,,,,,,,4.065484805,8.448362225,,1.124548145,,,,0.219225737,,,66.09886298,,,,,31.98329622,,,289.4764649,,,,,,,11.88671945,,24.9875588,,,142.3786432,,78.68222482,,,6.414336728,163.6049877,,2.027813881,,,,,5.693082352,39.80193115,12.15596165,8.652436185,,19.65879479,49.79730196,34.75892377,363.7409104,,64.01596946,45.72324688,5.536956573,,91.26992368,116.4596287,,,6.702971383,1.916666692,159.0051,834.8672062,,,67.27788742,,,75.8961738,13.34866471,,43.11158706,,,,,,60.18172088,,8.323732015,,3.358167862,35.29576317,318.1673264,,,18.93598162,,,,,0.227356246,,,,64.39526182,,,,300.2027532,163.5934304,,,,86.90796308,2.573494916,,126.4696189,,317.5650531,13.79013751,,,,,,,,,,333.508936,25.36805069,,,,,,,,,,109.1832182,280.3285439,158.0914565,,,,,254.2635169,,,36.95836809,,,,0.16899741,4.743707607,76.13921815,,,,50.29446475,103.2925599,,92.58279168,,238.834921,,67.21694454,,,,317.8129375,,
Fibre Crops Nes,821,Green,,,,,,,6120.331955,,,,,,,,,,,,,,,,,,,,,,14958.32665,,,,3014.040905,,,,,,353.3364641,,,,,,,,,,,,,,,,,,,,,,,68714.19886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9147.922876,,,,,,,,,,,,10225.39899,,,,,,,,,,,,4244.562736,,,,,1111.791737,,,,,,,,,,,,,,,,,,,,3316.59896,,,,,,,,,,,7441.474914,,,,,,,,,,,,,,,,,,1017.58141,,,,,
Fibre Crops Nes,821,Blue,,,,,,,766.5726513,,,,,,,,,,,,,,,,,,,,,,35.86235803,,,,45.5935775,,,,,,5.765753338,,,,,,,,,,,,,,,,,,,,,,,1374.904123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.492249742,,,,,,,,,,,,943.6906895,,,,,,,,,,,,5.43898002,,,,,3.228455948,,,,,,,,,,,,,,,,,,,,2608.135378,,,,,,,,,,,92.20560128,,,,,,,,,,,,,,,,,,0.374272803,,,,,
Figs,569,Green,,3025.001741,3090.95448,,,,2291.908434,,2115.466131,,,,,,,,,,,,,1121.005887,1928.178438,,1160.441274,,,,,,,3219.012375,,,,,,,1665.058387,552.2177717,,,,,,,1832.822001,,283.7078572,,,,,,,6823.765204,232.6950959,,,,,,,,,649.6764748,,,,,614.7702403,,,,722.6195683,,,,,,,,,,,,1860.954104,,1721.609722,475.7323566,,500.3427273,1126.768551,,429.454531,524.4431208,,,,,,,,,,590.8540656,,,1038.924866,,,379.739819,,,,,,1444.605041,,,,,1764.014548,,,,2365.129753,,,,,,,,,,,,,,782.3130368,,,,832.0970241,,,27001.55127,,619.4621065,,,,,,,,,,,,,1683.530989,,,,,1158.080882,,,2326.727211,1727.714321,,,,,,,748.0879193,1255.538786,,,,,,,2810.346739,896.4531996,,,,,1808.170903,,449.6253051,,300.3636822,,,,,,415.4469944,,
Figs,569,Blue,,4.034937655,2776.485327,,,,165.7476572,,1437.746433,,,,,,,,,,,,,85.43177823,0.417271548,,3.713803546,,,,,,,,,,,,,,74.37279194,4.476340823,,,,,,,,,540.1645663,,,,,,,1418.09659,1392.862618,,,,,,,,,57.76655042,,,,,585.7009781,,,,449.6274527,,,,,,,,,,,,4.340790088,,4195.231837,2199.295554,,1053.709091,164.1642269,,0.00107288,1359.055275,,,,,,,,,,1038.726766,,,3083.416816,,,,,,,,,1192.717366,,,,,935.8489147,,,,3136.67498,,,,,,,,,,,,,,1372.15135,,,,817.514731,,,11577.75381,,4887.267258,,,,,,,,,,,,,,,,,,,,,1515.942153,1236.840024,,,,,,,1468.92509,1646.371664,,,,,,,1743.810988,751.8619434,,,,,781.7200174,,576.527213,,508.7089081,,,,,,725.6117513,,
Flax fibre and tow,773,Green,,,,,,,8154.460286,,,,,,,,,6801.45803,3719.890953,,,,,,,,,,2749.507527,,,,,,,,,,,2465.835413,1242.583636,,,,,,,,7052.818741,,,1684.341223,,,,,,,1311.648359,,,,4119.071583,,,,,3250.961597,,,,,,,,,,,,,,,,,,,,,,,,,,,27259.98008,,,,,,,,,,,,4903.287256,,,,,4189.643343,,,,,,,,,,,,,,,,,,,,,,2474.534955,,,,,,,,,,,,,,,3090.092703,,,,,1667.483157,7001.034392,,,,,,,,,,,,,,1942.08062,,,,,4622.064702,,,,,,,,,,,,,,,,,,,,8354.354542,,1823.549725,,,,,,,,,,,
Flax fibre and tow,773,Blue,,,,,,,1151.321751,,,,,,,,,5.484049578,68.22163295,,,,,,,,,,196.993476,,,,,,,,,,,4611.267709,24.56299106,,,,,,,,30.87101774,,,19.15235227,,,,,,,10886.00476,,,,2.294227195,,,,,313.0184043,,,,,,,,,,,,,,,,,,,,,,,,,,,3821.810526,,,,,,,,,,,,1.665512802,,,,,13.12383968,,,,,,,,,,,,,,,,,,,,,,58.13539993,,,,,,,,,,,,,,,1.877263599,,,,,61.17849439,165.7271233,,,,,,,,,,,,,,305.7724299,,,,,3918.289309,,,,,,,,,,,,,,,,,,,,200.2472181,,40.48418112,,,,,,,,,,,
Fonio,94,Green,,,,,,,,,,,,,,,,,,,5638.793075,,,,,,,,,6386.845686,,,,,,,,,,,,,,,,,,5571.709157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3460.791457,6264.433759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9022.346709,,,,,,,,,,,,,,,,,,,8390.480769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fonio,94,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fruit, fresh nes",619,Green,483.797619,1837.915497,783.2608548,,1473.957162,,,2291.785376,,,1193.6168,,274.0289157,2513.051206,1167.293047,,,2333.911043,2113.457717,,1771.04,2030.661945,2592.493827,1000.808186,,2239.520226,4947.461348,1448.970584,2679.146712,1416.513596,1972.03125,1810.136625,,1204.841042,,,1584.352183,1095.571429,2859.758205,878.4594593,2679.620607,1705.960842,1068.177814,,1389.458816,1880.460321,,733.0812029,794.7474608,945.0127243,,,2024.596721,2399.203218,,912.9608445,211.1749602,1429.542843,,703.3411082,,610.3103241,,1214.046373,,,3095.036639,,5875.853833,1053.153333,271.3787069,1189.953977,,2718.608333,990.3852727,2228.025335,,1619.121944,1838.343066,,1135.107399,,2524.893624,1851.732394,1453.445798,,932.5953511,1035.415595,206.499657,526.78822,696.756,205.2746721,1326.444349,,,373.528473,3487.162183,704.7692006,,1014.027703,1545.895367,206.2984218,944.2065052,1759.460317,,299.2528629,1696.273932,,561.9363946,,,,1276.256148,791.7669477,1751.761173,,1277.405,607.1014329,,,948.8052563,1426.134403,1126.247523,2852.684976,2085.473668,1891.176,621.9946842,1229.293289,650.3570618,,1067.715679,,3647.488619,423.8489069,2057.375053,929.9229762,,,,586.7825872,825.2280994,1462.52713,1308.499245,1488.531251,763.826563,1512.54432,1210.761188,1814.296593,1639.618571,1391.558691,1063.322027,617.3076367,1862.568807,1291.839791,,35.20199888,,,,1366.983607,345.174553,1059.933242,,,2276.104593,3423.033333,855.7298951,,794.5603339,628.2824941,604.3773254,597.0353428,2023.488372,1259.682469,,1418.598145,,690.5778799,318.0395899,2899.576144,962.1575589,782.3502358,1640.954101,,,1652.651026,833.4687991,565.9758706,,,1315.446364,8338.973509,879.1903498,,192.6408024,1287.207819,1191.194462,704.9859356,709.9323163,920.0051948,,,662.2446189,888.1346346,914.5129129
"Fruit, fresh nes",619,Blue,1392.210884,435.819407,330.9589178,,,,,1767.786991,,,801.882997,,2328.419277,,4.301628841,,,,,,,67.55935275,,277.7744673,,,44.43925831,176.8621906,38.32917428,,,,,,,,,481.4952381,90.47730068,8.560065542,,,,,,3.054777491,,,1273.016468,18.76785261,,,,9.074176017,,85.98299404,1080.264073,,,1269.132088,,18.24782287,,,,,131.9943911,,,,158.8276403,166.5236166,,,667.3604307,1.517084278,,,,,207.779818,,1.901651732,,28.78871704,,303.689681,,616.0304976,2614.265916,,450.8659424,343.3014434,,,1140.62398,2724.109754,,,4.552715042,8.69671135,30.330668,684.5717507,,,609.3587638,,,786.868819,,,,,,,,,62.27583077,,,,,519.4022599,76.05088725,1041.994669,,1037.186751,,469.3303945,,,,,17.77294928,,,,,,233.6876739,673.429525,13.7455184,,,625.4813839,,2.707317726,257.93941,26.42154985,,29.62700654,4.409392686,,,,0.014443671,,,,,,152.6025648,,,,,27.8291238,,,590.3334866,603.3271715,417.8602221,,,,,,0.104724831,740.3802974,4186.004721,,105.2108167,34.03354967,,,,,211.3746127,,,,,7.537843839,,295.8864683,18.02243902,1856.938249,,63.85877498,,,,846.6017554,,
"Fruit, tropical fresh nes",603,Green,,,,,,1959.584347,,1009.309503,330.3389831,,,1664.309705,,1145.87789,2103.835225,,,,,,,,,,911.7930569,,,1350.263877,,,,,,,,,,,2224.866024,1246.030077,,,,,,7605.737308,,1423.218445,3050.348553,,,,,,2428.280069,1125.623385,266.2330638,,,,,1327.272746,,1104.062162,,,693.1687418,1136.999259,,,,,,,,,4062.468516,,,1749.850681,,1905.16988,1435.834333,,,,897.7827468,1324.18941,1221.233333,,,39995.08102,,1406.239107,,336.7857593,,885.5918282,580.2161301,,,,,,,,,2268.836364,,,,,2665.791435,1459.563822,2217.259699,,,,,,,,834.4159811,,,,633.1887142,924.8004275,,508.4723821,,,,1819.609433,,,,10939.4,,,504.3775461,,1263.019823,1659.604332,785.4595484,1456.154995,,,,,1519.936134,,,728.145466,2218.51,35.44163006,,,4643.492312,,,947.6931402,,2594.753017,,,,,,,,446.5100244,,2044.466534,,,,,,,2646.196002,2963.726889,,,1445.52,,652.1180061,667.204042,,481.9380224,,,,,,,,632.3898365,1479.927363,,1518.388148,,727.750738,933.6267114,971.6381538
"Fruit, tropical fresh nes",603,Blue,,,,,,1.890939558,,1087.961246,768.3118644,,,,,,42.89539546,,,,,,,,,,,,,253.189774,,,,,,,,,,,104.5149786,40.56669881,,,,,,27.32920642,,,6400.893414,,,,,,,132.3230747,2050.062256,,,,,63.8023218,,,,,39.41927597,,,,,,,,,,48.74353967,,,,,,2.140826994,,,,418.3736019,,4644.633333,,,107050.6831,,2.818596016,,1393.257719,,,,,,,,,,,,,,,,,,,,,,,,,,,406.0738678,,,,1393.984026,,,136.258265,,,,133.6433945,,,,,,,648.4192463,,,,761.8665761,,,,,,64.21050762,,,,,0.04706027,,,,,,191.8049443,,433.765126,,,,,,,,413.1398916,,,,,,,,,,885.0293346,,,,,,282.6852433,,129.1477002,,,,,,,,,259.2758872,,,,1321.070311,,
Garlic,406,Green,,387.8439242,693.1663691,,,,359.6381341,261.6079422,,184.6305072,261.8510177,,,,,311.8623478,,,,,744.6290951,1062.723026,564.8834839,,974.5362855,,796.0443607,,519.7146024,,,,,394.9266667,,,,263.4101838,305.6928116,597.5619748,,,,,,,579.4211693,336.3495067,234.3213198,335.689443,,,,756.2294391,10628.10877,3451.267682,32.68385281,,,,1063.013989,288.3587369,,,997.7738723,269.57638,,,,,126.9702925,,,,314.591011,,,,689.8858772,,,,142.0111882,1140.595959,378.1076993,,368.4724608,1421.4106,241.3797641,237.5240943,,396.6807936,255.174397,,500.5119996,157.0209532,,512.1010434,,360.6924699,455.5292739,116.7472222,243.2947367,,1012.223465,156.5555867,,,286.6103593,408.4074803,,805.1669694,,,,,,483.9141547,,,,894.133991,170.8144765,702.2251087,,,482.9034436,,,,349.0495055,31.4827141,,759.1057937,,88.86408774,,,,120.1257063,101.5531871,,,3640.657232,535.9600046,2035.283886,,572.6016269,,,3398.405212,565.6181682,384.8882306,,,,,,,,,,1060.973981,,,,665.0435113,556.8127405,,,,317.4152092,,41.6069962,,,,634.2328094,293.8924961,353.2687784,1000.065941,580.1052433,,,,,1054.330354,377.276814,649.4498828,,,544.1138393,,,116.2287213,1483.437071,199.4119614,,450.1883003,,,,134.0635909,,
Garlic,406,Blue,,5.583927312,289.2941578,,,,313.094831,305.98813,,0.171319108,552.3424457,,,,,0.785561655,,,,,,245.2964165,1.601144159,,119.0494614,,220.4861426,,206.3773568,,,,,756.4,,,,955.1496608,11.05835337,43.769836,,,,,,,0.977822075,131.9858498,178.1497462,8.304045386,,,,46.77174875,,693.9010465,286.6881786,,,,25.21017362,325.9619635,,,8.273045356,9.142067425,,,,,193.6438392,,,,87.12082603,,,,158.4481267,,,,50.12483475,247.6825174,157.6750668,,370.1770518,27.36749021,1088.234721,572.8213585,,266.6881002,13.77942528,,2.881837138,218.0065735,,74.71130574,,67.51650676,54.31656639,572.9527778,203.1474009,,9.194985424,67.84976197,,,756.5666081,13.3980769,,246.176502,,,,,,169.453194,,,,24.64207759,474.9518093,771.9602417,,,412.3398605,,,,145.6687763,0.010532711,,609.5735523,,890.5146551,,,,802.3537902,556.132094,,,134.3588741,463.7933932,151.2674579,,73.23537871,,,199.8265145,91.44740899,69.22050227,,,,,,,,,,87.8499789,,,,404.5333746,87.93108333,,,,188.0523085,,374.3930019,,,,6.131239628,189.4272209,689.0156489,65.86494054,436.0051403,,,,,469.1936113,268.3685363,1693.185075,,,77.97863055,,,185.7947797,312.8345139,665.1597325,,356.4410815,,,,434.1477795,,
