"GCAM_region_ID","GCAM_commodity","year","HA_kHa_rainfed","Prod_kt_rainfed","HA_kHa_irrigated","Prod_kt_irrigated","HA_kHa","Prod_kt","Yield_tHa_rainfed","Yield_tHa_irrigated","Yield_tHa"
6,"PalmFruit",2005,0,0,0,0,0,0,NA,NA,NA
7,"PalmFruit",2005,441,1551,0,0,441,1551,3.51700680272109,NA,3.51700680272109
8,"PalmFruit",2005,0,0,0,0,0,0,NA,NA,NA
9,"PalmFruit",2005,4955,4440,3,12,4958,4452,0.89606458123108,4,0.897942718838241
10,"PalmFruit",2005,1101,6389,0,0,1101,6389,5.80290644868302,NA,5.80290644868302
11,"PalmFruit",2005,15125,72339,0,0,15125,72339,4.78274380165289,NA,4.78274380165289
12,"PalmFruit",2005,0,0,0,0,0,0,NA,NA,NA
13,"PalmFruit",2005,0,0,0,0,0,0,NA,NA,NA
14,"PalmFruit",2005,1921,9980,0,0,1921,9980,5.19521082769391,NA,5.19521082769391
1,"Rice",2005,0,0,1205,9290,1205,9290,NA,7.70954356846473,7.70954356846473
2,"Rice",2005,0,0,0,0,0,0,NA,NA,NA
3,"Rice",2005,3,0,492,3275,495,3275,0,6.65650406504065,6.61616161616162
4,"Rice",2005,0,0,1691,11002,1691,11002,NA,6.50620934358368,6.50620934358368
5,"Rice",2005,0,0,57,492,57,492,NA,8.63157894736842,8.63157894736842
6,"Rice",2005,0,0,368,1388,368,1388,NA,3.77173913043478,3.77173913043478
7,"Rice",2005,6446,18554,35682,208512,42128,227066,2.87837418554142,5.84361863124264,5.38990695024687
8,"Rice",2005,0,0,736,3430,736,3430,NA,4.66032608695652,4.66032608695652
9,"Rice",2005,6759,9283,2361,12095,9122,21377,1.37342802189673,5.12282930961457,2.34345538259154
10,"Rice",2005,2743,7054,3096,17535,5839,24588,2.57163689391178,5.66375968992248,4.21099503339613
11,"Rice",2005,26631,79358,24924,112924,51554,192282,2.97991063046825,4.53073342962606,3.72972029328471
12,"Rice",2005,0,0,34,143,34,143,NA,4.20588235294118,4.20588235294118
13,"Rice",2005,320,1150,760,5090,1080,6240,3.59375,6.69736842105263,5.77777777777778
14,"Rice",2005,22100,49365,21659,89956,43759,139320,2.23371040723982,4.15328500854148,3.18380218926392
1,"Root_Tuber",2005,105,2819,381,16811,486,19630,26.8476190476190,44.1233595800525,40.3909465020576
2,"Root_Tuber",2005,79,1914,79,2918,158,4832,24.2278481012658,36.9367088607595,30.5822784810127
3,"Root_Tuber",2005,1804,47320,345,14208,2149,61528,26.2305986696231,41.1826086956522,28.6309911586785
4,"Root_Tuber",2005,108,2499,46,1634,153,4134,23.1388888888889,35.5217391304348,27.0196078431373
5,"Root_Tuber",2005,16,428,32,1277,48,1704,26.75,39.90625,35.5
6,"Root_Tuber",2005,2048,34043,542,10852,2589,44895,16.62255859375,20.0221402214022,17.3406720741599
7,"Root_Tuber",2005,13224,179818,746,12045,13969,191862,13.5978523895947,16.1461126005362,13.7348414346052
8,"Root_Tuber",2005,22,336,340,8127,361,8462,15.2727272727273,23.9029411764706,23.4404432132964
9,"Root_Tuber",2005,22704,200290,395,9083,23100,209372,8.82179351656096,22.9949367088608,9.06372294372294
10,"Root_Tuber",2005,3881,49560,315,6143,4198,55700,12.7699046637465,19.5015873015873,13.2682229633159
11,"Root_Tuber",2005,3505,53489,343,5668,3848,59158,15.2607703281027,16.5247813411079,15.3737006237006
