"GCAM_region_ID","commodity","system","feed","year","Prod_Mt","ID_R_C_S_F_Y"
14,"Pork","Mixed","FodderHerb_Residue",1990,0.16492,"14PorkMixedFodderHerb_Residue1990"
1,"Poultry","Mixed","FodderHerb_Residue",1990,2.21750994,"1PoultryMixedFodderHerb_Residue1990"
2,"Poultry","Mixed","FodderHerb_Residue",1990,0.15582801,"2PoultryMixedFodderHerb_Residue1990"
3,"Poultry","Mixed","FodderHerb_Residue",1990,2.60864529911357,"3PoultryMixedFodderHerb_Residue1990"
4,"Poultry","Mixed","FodderHerb_Residue",1990,0.96460025,"4PoultryMixedFodderHerb_Residue1990"
5,"Poultry","Mixed","FodderHerb_Residue",1990,0.17568095,"5PoultryMixedFodderHerb_Residue1990"
6,"Poultry","Mixed","FodderHerb_Residue",1990,1.79931038288303,"6PoultryMixedFodderHerb_Residue1990"
7,"Poultry","Mixed","FodderHerb_Residue",1990,8.45783809,"7PoultryMixedFodderHerb_Residue1990"
8,"Poultry","Mixed","FodderHerb_Residue",1990,0.46639645,"8PoultryMixedFodderHerb_Residue1990"
9,"Poultry","Mixed","FodderHerb_Residue",1990,0.904305724786049,"9PoultryMixedFodderHerb_Residue1990"
10,"Poultry","Mixed","FodderHerb_Residue",1990,2.29422381981339,"10PoultryMixedFodderHerb_Residue1990"
11,"Poultry","Mixed","FodderHerb_Residue",1990,3.36175159583236,"11PoultryMixedFodderHerb_Residue1990"
12,"Poultry","Mixed","FodderHerb_Residue",1990,0.864677,"12PoultryMixedFodderHerb_Residue1990"
13,"Poultry","Mixed","FodderHerb_Residue",1990,0.06906988,"13PoultryMixedFodderHerb_Residue1990"
14,"Poultry","Mixed","FodderHerb_Residue",1990,0.370739,"14PoultryMixedFodderHerb_Residue1990"
1,"SheepGoat","Mixed","FodderHerb_Residue",1990,0.00357619088,"1SheepGoatMixedFodderHerb_Residue1990"
2,"SheepGoat","Mixed","FodderHerb_Residue",1990,0.0001933893248,"2SheepGoatMixedFodderHerb_Residue1990"
3,"SheepGoat","Mixed","FodderHerb_Residue",1990,0.185503752519775,"3SheepGoatMixedFodderHerb_Residue1990"
4,"SheepGoat","Mixed","FodderHerb_Residue",1990,4.22712e-05,"4SheepGoatMixedFodderHerb_Residue1990"
5,"SheepGoat","Mixed","FodderHerb_Residue",1990,0.0235472100137970,"5SheepGoatMixedFodderHerb_Residue1990"
6,"SheepGoat","Mixed","FodderHerb_Residue",1990,0.109059721623996,"6SheepGoatMixedFodderHerb_Residue1990"
7,"SheepGoat","Mixed","FodderHerb_Residue",1990,0.013034329,"7SheepGoatMixedFodderHerb_Residue1990"
8,"SheepGoat","Mixed","FodderHerb_Residue",1990,0.084804413412675,"8SheepGoatMixedFodderHerb_Residue1990"
9,"SheepGoat","Mixed","FodderHerb_Residue",1990,0.123468806165264,"9SheepGoatMixedFodderHerb_Residue1990"
10,"SheepGoat","Mixed","FodderHerb_Residue",1990,0.00790650060237059,"10SheepGoatMixedFodderHerb_Residue1990"
11,"SheepGoat","Mixed","FodderHerb_Residue",1990,0.021403041984,"11SheepGoatMixedFodderHerb_Residue1990"
12,"SheepGoat","Mixed","FodderHerb_Residue",1990,0.0178581866133866,"12SheepGoatMixedFodderHerb_Residue1990"
13,"SheepGoat","Mixed","FodderHerb_Residue",1990,7.1185e-06,"13SheepGoatMixedFodderHerb_Residue1990"
14,"SheepGoat","Mixed","FodderHerb_Residue",1990,0.02587068,"14SheepGoatMixedFodderHerb_Residue1990"
1,"Beef","Pastoral","FodderHerb_Residue",1990,0,"1BeefPastoralFodderHerb_Residue1990"
