Set unit tags for end-use supplysectors,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
supplysector,output-unit,input-unit,price-unit,1975 price,,,,,,,,,,
other end uses,gas,gas,2005,1,1,1,1,1,1,1,1,,,
other end uses,refined liquids,refined liquids,2005,1,1,1,1,1,1,1,1,,,
agriculture energy use,refined liquids,refined liquids,2005,1,1,1,1,1,1,1,1,,,
construction energy use,electricity,electricity,2005,1,1,1,1,1,1,1,1,,,
construction energy use,gas,gas,2005,1,1,1,1,1,1,1,1,,,
construction energy use,refined liquids,refined liquids,2005,1,1,1,1,1,1,1,1,,,
mining energy use,biomass,biomass,2005,1,1,1,1,1,1,1,1,,,
mining energy use,coal,coal,2005,1,1,1,1,1,1,1,1,,,
mining energy use,electricity,electricity,2005,1,1,1,1,1,1,1,1,,,
mining energy use,gas,gas,2005,1,1,1,1,1,1,1,1,,,
mining energy use,refined liquids,refined liquids,2005,1,1,1,1,1,1,1,1,,,
feedstocks chemicals,coal,coal,1975,0,0,0,0,0,0,0,0,,,
feedstocks chemicals,gas,gas,2005,1,1,1,1,1,1,1,1,,,
feedstocks chemicals,refined liquids,refined liquids,2005,1,1,1,1,1,1,1,1,,,
feedstocks primary metals,coal,coal,1975,0,0,0,0,0,0,0,0,,,
feedstocks primary metals,gas,gas,2005,1,1,1,1,1,1,1,1,,,
feedstocks primary metals,refined liquids,refined liquids,2005,1,1,1,1,1,1,1,1,,,
feedstocks construction,refined liquids,refined liquids,2005,1,1,1,1,1,1,1,1,,,
limestone feedstocks,limestone,limestone,2005,1,1,1,1,1,1,1,1,,,
,,,,,,,,,,,,,,
Set tech logit exponent,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1004,,,,,,,,,,,,,,
,,,logitexp,,,,,,,,,,,
supplysector,subsector,technology,1990,2005,2020,2035,2050,2065,2080,2095,,cogen suffix,,
boilers general,biomass,biomass conv,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
boilers general,coal,coal conv,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
boilers general,electricity,electricity,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
boilers general,gas,gas conv,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
boilers general,refined liquids,refined liquids conv,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
boilers general,biomass,biomass cogen,-6,-6,-6,-6,-6,-6,-6,-6,,cogen,,
boilers general,coal,coal cogen,-6,-6,-6,-6,-6,-6,-6,-6,,cogen,,
boilers general,gas,gas cogen,-6,-6,-6,-6,-6,-6,-6,-6,,cogen,,
boilers general,refined liquids,refined liquids cogen,-6,-6,-6,-6,-6,-6,-6,-6,,cogen,,
boilers pulp paper and wood,biomass,biomass conv,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
boilers pulp paper and wood,coal,coal conv,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
boilers pulp paper and wood,electricity,electricity,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
boilers pulp paper and wood,gas,gas conv,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
boilers pulp paper and wood,refined liquids,refined liquids conv,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
boilers pulp paper and wood,biomass,biomass cogen,-6,-6,-6,-6,-6,-6,-6,-6,,cogen,,
boilers pulp paper and wood,coal,coal cogen,-6,-6,-6,-6,-6,-6,-6,-6,,cogen,,
boilers pulp paper and wood,gas,gas cogen,-6,-6,-6,-6,-6,-6,-6,-6,,cogen,,
boilers pulp paper and wood,refined liquids,refined liquids cogen,-6,-6,-6,-6,-6,-6,-6,-6,,cogen,,
process heat general,biomass,biomass conv,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
process heat general,coal,coal conv,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
process heat general,electricity,electricity,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
process heat general,gas,gas conv,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
process heat general,refined liquids,refined liquids conv,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
process heat general,biomass,biomass cogen,-6,-6,-6,-6,-6,-6,-6,-6,,cogen,,
process heat general,coal,coal cogen,-6,-6,-6,-6,-6,-6,-6,-6,,cogen,,
process heat general,gas,gas cogen,-6,-6,-6,-6,-6,-6,-6,-6,,cogen,,
process heat general,refined liquids,refined liquids cogen,-6,-6,-6,-6,-6,-6,-6,-6,,cogen,,
process heat primary metals,biomass,biomass conv,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
process heat primary metals,coal,coal conv,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
process heat primary metals,electricity,electricity,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
process heat primary metals,gas,gas conv,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
process heat primary metals,refined liquids,refined liquids conv,-6,-6,-6,-6,-6,-6,-6,-6,,conv,,
process heat primary metals,biomass,biomass cogen,-6,-6,-6,-6,-6,-6,-6,-6,,cogen,,
process heat primary metals,coal,coal cogen,-6,-6,-6,-6,-6,-6,-6,-6,,cogen,,
process heat primary metals,gas,gas cogen,-6,-6,-6,-6,-6,-6,-6,-6,,cogen,,
process heat primary metals,refined liquids,refined liquids cogen,-6,-6,-6,-6,-6,-6,-6,-6,,cogen,,
machine drive,biomass,biomass,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
machine drive,coal,coal,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
machine drive,electricity,electricity,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
machine drive,gas,gas,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
machine drive,refined liquids,refined liquids,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
electrochemical,electricity,electricity,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
other end uses,biomass,biomass,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
other end uses,coal,coal,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
other end uses,electricity,electricity,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
other end uses,gas,gas,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
other end uses,refined liquids,refined liquids,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
agriculture energy use,refined liquids,refined liquids,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
construction energy use,electricity,electricity,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
construction energy use,gas,gas,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
construction energy use,refined liquids,refined liquids,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
mining energy use,biomass,biomass,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
mining energy use,coal,coal,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
mining energy use,electricity,electricity,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
mining energy use,gas,gas,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
mining energy use,refined liquids,refined liquids,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
feedstocks chemicals,coal,coal,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
feedstocks chemicals,gas,gas,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
feedstocks chemicals,refined liquids,refined liquids,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
feedstocks primary metals,coal,coal,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
feedstocks primary metals,gas,gas,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
feedstocks primary metals,refined liquids,refined liquids,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
feedstocks construction,refined liquids,refined liquids,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
limestone feedstocks,limestone,limestone,-6,-6,-6,-6,-6,-6,-6,-6,,other,,
,,,,,,,,,,,,,,
Calibrate base year energy flows to end-use technologies,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1005,,,,,,,,,,,,,,
,,,,calibrated-value,,,,,,,,,,
supplysector,subsector,technology,minicam-energy-input,1990,2005,,,lookup,,,,,,
boilers general,biomass,biomass conv,delivered biomass,0.011976228,0.025235769,,,boilers generalbiomass,,,,,3.242294697,
boilers general,coal,coal conv,delivered coal,0.495716938,0.274291115,,,boilers generalcoal,,,,,,
boilers general,electricity,electricity,elect_td_ind,0.002872809,0.003023189,,,boilers generalelectricity,,,,,,
boilers general,gas,gas conv,wholesale gas,1.073034769,1.055409041,,,boilers generalgas,,,,,,
boilers general,refined liquids,refined liquids conv,refined liquids industrial,0.051828876,0.038797952,,,boilers generalrefined liquids,,,,,,
boilers general,biomass,biomass cogen,delivered biomass,0.262471342,0.14434291,,,boilers generalbiomass,,,,,,
boilers general,coal,coal cogen,delivered coal,0.098914483,0.078859057,,,boilers generalcoal,,,,,,
boilers general,gas,gas cogen,wholesale gas,1.175626012,0.902567286,,,boilers generalgas,,,,,,
boilers general,refined liquids,refined liquids cogen,refined liquids industrial,0.009031345,0.024811717,,,boilers generalrefined liquids,,,,,,
boilers pulp paper and wood,biomass,biomass conv,delivered biomass,0.358192999,0.754768197,,,boilers pulp paper and woodbiomass,,,,,,
boilers pulp paper and wood,coal,coal conv,delivered coal,0.102290797,0.056599754,,,boilers pulp paper and woodcoal,,,,,,
boilers pulp paper and wood,electricity,electricity,elect_td_ind,0.001915206,0.002015459,,,boilers pulp paper and woodelectricity,,,,,,
boilers pulp paper and wood,gas,gas conv,wholesale gas,0.188412957,0.185318076,,,boilers pulp paper and woodgas,,,,,,
boilers pulp paper and wood,refined liquids,refined liquids conv,refined liquids industrial,0.065782804,0.049243554,,,boilers pulp paper and woodrefined liquids,,,,,,
boilers pulp paper and wood,biomass,biomass cogen,delivered biomass,0.844489345,0.464416604,,,boilers pulp paper and woodbiomass,,,,,,
boilers pulp paper and wood,coal,coal cogen,delivered coal,0.098496824,0.078526082,,,boilers pulp paper and woodcoal,,,,,,
boilers pulp paper and wood,gas,gas cogen,wholesale gas,0.233543549,0.179299169,,,boilers pulp paper and woodgas,,,,,,
boilers pulp paper and wood,refined liquids,refined liquids cogen,refined liquids industrial,0.063388767,0.174147269,,,boilers pulp paper and woodrefined liquids,,,,,,
process heat general,biomass,biomass conv,delivered biomass,0.03434217,0.072364278,,,process heat generalbiomass,,,,,,
process heat general,coal,coal conv,delivered coal,0.201958753,0.111748232,,,process heat generalcoal,,,,,,
process heat general,electricity,electricity,elect_td_ind,0.18864777,0.198522752,,,process heat generalelectricity,,,,,,
process heat general,gas,gas conv,wholesale gas,1.957656581,1.925500006,,,process heat generalgas,,,,,,
process heat general,refined liquids,refined liquids conv,refined liquids industrial,0.137545862,0.102963795,,,process heat generalrefined liquids,,,,,,
process heat general,biomass,biomass cogen,delivered biomass,0.007005314,0.003852487,,,process heat generalbiomass,,,,,,
process heat general,coal,coal cogen,delivered coal,0.005904651,0.004707452,,,process heat generalcoal,,,,,,
process heat general,gas,gas cogen,wholesale gas,0.004927538,0.003783035,,,process heat generalgas,,,,,,
process heat general,refined liquids,refined liquids cogen,refined liquids industrial,0.005327467,0.014636091,,,process heat generalrefined liquids,,,,,,
process heat primary metals,biomass,biomass conv,delivered biomass,0,0,,,process heat primary metalsbiomass,,,,,,
process heat primary metals,coal,coal conv,delivered coal,1.066373688,0.590048081,,,process heat primary metalscoal,,,,,,
process heat primary metals,electricity,electricity,elect_td_ind,0.134064405,0.141082158,,,process heat primary metalselectricity,,,,,,
process heat primary metals,gas,gas conv,wholesale gas,0.610044392,0.600023769,,,process heat primary metalsgas,,,,,,
process heat primary metals,refined liquids,refined liquids conv,refined liquids industrial,0,0,,,process heat primary metalsrefined liquids,,,,,,
process heat primary metals,biomass,biomass cogen,delivered biomass,0,0,,,process heat primary metalsbiomass,,,,,,
process heat primary metals,coal,coal cogen,delivered coal,0.156266442,0.124582609,,,process heat primary metalscoal,,,,,,
process heat primary metals,gas,gas cogen,wholesale gas,0.012842101,0.009859309,,,process heat primary metalsgas,,,,,,
process heat primary metals,refined liquids,refined liquids cogen,refined liquids industrial,0.000602821,0.001656123,,,process heat primary metalsrefined liquids,,,,,,
machine drive,biomass,biomass,delivered biomass,0,0,,,machine drivebiomass,,,,,,
machine drive,coal,coal,delivered coal,0.013114205,0.007256379,,,machine drivecoal,,,,,,
machine drive,electricity,electricity,elect_td_ind,1.49864853,1.577096986,,,machine driveelectricity,,,,,,
machine drive,gas,gas,wholesale gas,0.118332528,0.116388791,,,machine drivegas,,,,,,
machine drive,refined liquids,refined liquids,refined liquids industrial,0.029901274,0.022383434,,,machine driverefined liquids,,,,,,
electrochemical,electricity,electricity,elect_td_ind,0.281535251,0.296272533,,,electrochemicalelectricity,,,,,,
other end uses,biomass,biomass,delivered biomass,0,0,,,other end usesbiomass,,,,,,
other end uses,coal,coal,delivered coal,0.018359887,0.01015893,,,other end usescoal,,,,,,
other end uses,electricity,electricity,elect_td_ind,0.804386432,0.846492951,,,other end useselectricity,,,,,,
other end uses,gas,gas,wholesale gas,0.680124822,0.668953054,,,other end usesgas,,,,,,
other end uses,refined liquids,refined liquids,refined liquids industrial,0.111631424,0.083564819,,,other end usesrefined liquids,,,,,,
agriculture energy use,refined liquids,refined liquids,refined liquids industrial,0.610728516,0.685462896,,,agriculture energy userefined liquids,,,,,,
construction energy use,electricity,electricity,elect_td_ind,0.108327995,0.113998546,,,construction energy useelectricity,,,,,,
construction energy use,gas,gas,wholesale gas,0.094703574,0.093147968,,,construction energy usegas,,,,,,
construction energy use,refined liquids,refined liquids,refined liquids industrial,1.285067189,0.961972923,,,construction energy userefined liquids,,,,,,
mining energy use,biomass,biomass,delivered biomass,0.000579437,0.001220963,,,mining energy usebiomass,,,,,,
mining energy use,coal,coal,delivered coal,0.049317622,0.027288528,,,mining energy usecoal,,,,,,
mining energy use,electricity,electricity,elect_td_ind,0.221896299,0.233511712,,,mining energy useelectricity,,,,,,
mining energy use,gas,gas,wholesale gas,0.751874337,0.739524007,,,mining energy usegas,,,,,,
mining energy use,refined liquids,refined liquids,refined liquids industrial,0.28024953,0.20978861,,,mining energy userefined liquids,,,,,,
feedstocks chemicals,coal,coal,delivered coal,0,0,,,feedstocks chemicalscoal,,,,,,
feedstocks chemicals,gas,gas,wholesale gas,0.550776184,0.586585224,,,feedstocks chemicalsgas,,,,,,
feedstocks chemicals,refined liquids,refined liquids,refined liquids industrial,3.303365102,4.698786812,,,feedstocks chemicalsrefined liquids,,,,,,
feedstocks primary metals,coal,coal,delivered coal,0,0,,,feedstocks primary metalscoal,,,,,,
feedstocks primary metals,gas,gas,wholesale gas,0.030598677,0.032588068,,,feedstocks primary metalsgas,,,,,,
feedstocks primary metals,refined liquids,refined liquids,refined liquids industrial,0.083695605,0.119050663,,,feedstocks primary metalsrefined liquids,,,,,,
feedstocks construction,refined liquids,refined liquids,refined liquids industrial,0.863387026,1.228102691,,,feedstocks constructionrefined liquids,,,,,,
limestone feedstocks,limestone,limestone,limestone,0.063224645,0.072793781,,,limestone feedstockslimestone,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Set sequestration fraction for feedstocks,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1020,,,non-energy-use-capture-component,,,,,,,,,,,
,,,remove-fraction,,,,,,,,,,,
supplysector,subsector,technology,1990,2005,2020,2035,2050,2065,2080,2095,,,,
feedstocks chemicals,coal,coal,1,1,1,1,1,1,1,1,,,,
feedstocks chemicals,gas,gas,0,0,0,0,0,0,0,0,,,,
feedstocks chemicals,refined liquids,refined liquids,1,1,1,1,1,1,1,1,,,,
feedstocks primary metals,coal,coal,1,1,1,1,1,1,1,1,,,,
feedstocks primary metals,gas,gas,0,0,0,0,0,0,0,0,,,,
feedstocks primary metals,refined liquids,refined liquids,1,1,1,1,1,1,1,1,,,,
feedstocks construction,refined liquids,refined liquids,1,1,1,1,1,1,1,1,,,,
,,,,,,,,,,,,,,
Hydrogen techs,,,,,,,,,,,,,,
Set scaleYear and shareweight path for subsectors,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,
,,,logitexp,sharewt,,,,,,,,,,
supplysector,subsector,scaleYear,1975 fillout,1990,2005,2020,2035,2050,2065,2080,2095,,,
boilers general,hydrogen,1975,-6,0,0,0.001,0.5,1,1,1,1,,,
boilers pulp paper and wood,hydrogen,1975,-6,0,0,0.001,0.5,1,1,1,1,,,
process heat general,hydrogen,1975,-6,0,0,0.001,0.5,1,1,1,1,,,
process heat primary metals,hydrogen,1975,-6,0,0,0.001,0.5,1,1,1,1,,,
,,,,,,,,,,,,,,
Efficiencies of end-use supply technologies.,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,
,,,,efficiency,,,,,,,,,,
supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
boilers general,hydrogen,hydrogen conv,H2 Enduse,1,0.9,0.9,0.914,0.927,0.941,0.956,0.970,0.985,,
boilers pulp paper and wood,hydrogen,hydrogen conv,H2 Enduse,1,0.9,0.9,0.914,0.927,0.941,0.956,0.970,0.985,,
process heat general,hydrogen,hydrogen conv,H2 Enduse,1,0.9,0.9,0.914,0.927,0.941,0.956,0.970,0.985,,
process heat primary metals,hydrogen,hydrogen conv,H2 Enduse,1,0.9,0.9,0.914,0.927,0.941,0.956,0.970,0.985,,
boilers general,hydrogen,hydrogen cogen,H2 Enduse,1,0.5,0.5,0.508,0.515,0.523,0.531,0.539,0.547,,
boilers pulp paper and wood,hydrogen,hydrogen cogen,H2 Enduse,1,0.5,0.5,0.508,0.515,0.523,0.531,0.539,0.547,,
process heat general,hydrogen,hydrogen cogen,H2 Enduse,1,0.5,0.5,0.508,0.515,0.523,0.531,0.539,0.547,,
process heat primary metals,hydrogen,hydrogen cogen,H2 Enduse,1,0.5,0.5,0.508,0.515,0.523,0.531,0.539,0.547,,
,,,,,,,,,,,,,,
Secondary outputs of cogen techs,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1001,,,,,,,,,,,,,,
,,,,output-ratio,,,,,,,,,,
supplysector,subsector,technology,secondary-output,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
boilers general,hydrogen,hydrogen cogen,electricity,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,
boilers pulp paper and wood,hydrogen,hydrogen cogen,electricity,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,
process heat general,hydrogen,hydrogen cogen,electricity,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,
process heat primary metals,hydrogen,hydrogen cogen,electricity,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,
,,,,,,,,,,,,,,
Technology non-energy costs. Also sets CO2 tag.,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1002,,,minicam-non-energy-input,,,,,,,,,,,
,,,input-cost,,,,,,,,,,,
supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,
boilers general,hydrogen,hydrogen conv,0,3,3,3,3,3,3,3,3,,conv,
boilers pulp paper and wood,hydrogen,hydrogen conv,0,3,3,3,3,3,3,3,3,,conv,
process heat general,hydrogen,hydrogen conv,0,3,3,3,3,3,3,3,3,,conv,
process heat primary metals,hydrogen,hydrogen conv,0,3,3,3,3,3,3,3,3,,conv,
boilers general,hydrogen,hydrogen cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
boilers pulp paper and wood,hydrogen,hydrogen cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
process heat general,hydrogen,hydrogen cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
process heat primary metals,hydrogen,hydrogen cogen,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,cogen,
