# File: EIA_RFO_intlship_kbbld.csv
# Title: EIA International Energy Statistics - Bunkering
# Description: Residual fuel oil (RFO) bunkering by international ships in thousand barrels of oil per day
# Units: Thousand barrels of oil per day
# Source: EIA
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Country,Unit,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Nepal,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,1000 bbl/d,135,132,154,149,159,163,165,177,166,162,169,185,185,193,204,226,225,212,233,272,283,264,253,233,220,241,218,197,183.939863
Netherlands Antilles,1000 bbl/d,32,31,26,26,27,27,27,27,27,28,28,28,28,28,28,28,27,27,27,27,27,30,30,29,37,38,37,26,26.09260274
New Caledonia,1000 bbl/d,0,0.05473,0,0.09123,0.09123,0.09123,0.09098,0.09123,0.09123,0.09123,0.09098,0.09123,0.09123,0.091232877,0.1,0.1,0.1,0.1,0.1,0.2,0.7,0,0,0,0,0,0,0,0
New Zealand,1000 bbl/d,0.9,1.7,2.1,2,3.3,2.7,2.7,3.4,4.8,4.1,4,3.5,4.5,4.3,3.2,3.2,3.9,3.4,3.5,4,4.7,4.9,5.4,5.4,5.2,4.7,4.6,4.6,4.196712329
Nicaragua,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,1000 bbl/d,3.6,4.1,4,4.9,5.1,5.5,3.8,5.7,5.1,5.5,5.5,5.5,5.2,4.6,2.9,5.7,5.4,7.4,3.4,4.2,0,0,7.3,7.8,8.5,9.1,5.1,4.7,4.744109589
Niue,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,1000 bbl/d,3.5,3.2,3.4,3.6,4.1,3.8,4.8,5.1,5.7,6.2,5.9,8.5,9.1,8.3,6.7,6,4.7,4.4,4.5,5.2,3.2,2.5,3.4,1.5,2.9,3.5,3.2,3.3,1.360684932
Oman,1000 bbl/d,14,9,4.5,4.2,5.5,4.6,2,2.2,0.5,1.9,2.9,7.3,4.7,1,1.1,0.9,0.6,0.010136986,0.004644809,0.5,0,0,0,2.2,4,2.9,0.4,16,21.5309589
Pakistan,1000 bbl/d,0.5,0.1,0.1,0.2,0.6,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.2,0.3,0.4,0.2,0.2,0.7,1,1.6,2.2,2.4,3.6,2.7,1.7,1.5,1.6,1.696931507
Palestinian Territories,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,1000 bbl/d,5.1,5.7,4.9,4.1,4.7,7.8,12,13,13,14,14,18,18,18,18,52,52,52,52,45,51,44,0,40,53,60,61,60,56.87457534
Papua New Guinea,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.145972603
Paraguay,1000 bbl/d,0.01033,0.01585,0.02319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,1000 bbl/d,0.3,0.6,2.6,0.05492,0.00858,0.5,0.08469,0,0.4,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,2,3.1,3.9,1,0
Philippines,1000 bbl/d,0.03649,2.6,0.9,1.4,0.8,0.03202,0.8,0.04963,1.1,1.3,1.4,1.8,2.1,2.8,2,2,2.8,2,1.9,1.8,1.6,3.6,3.5,3,2.8,3.5,3,2.6,1.240767123
Poland,1000 bbl/d,3.8,5.5,4,9.1,5.1,1.9,3.4,0.7,1.3,2.6,3.3,2.4,12,3.9,4.5,4.4,4,3.9,3.9,3.8,3.9,3.6,4.1,3.3,2.9,2,1.4,1.1,1.307671233
Portugal,1000 bbl/d,3.4,3.3,2.9,4.2,4.9,4.6,5.1,4.4,4.4,4.1,4.2,4.6,4.9,6.4,7.3,4.9,5.4,6.8,8.2,6.6,7.5,8.2,8.8,8,7.4,9.3,11,10,7.050821918
Puerto Rico,1000 bbl/d,0.4,0.6,1.7,0.9,1.8,1.8,1.8,1.8,1.8,1.8,2,2,2,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,0,0,0,0,0,0,0
Qatar,1000 bbl/d,11,0,2.7,3.8,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0,0
Romania,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,1.4,0,0,0,0,0,0,0.3,0.9,0.2,0.072986301,0,0,0,0
Russia,1000 bbl/d,NA,NA,NA,NA,NA,NA,277,237,230,230,230,230,230,230,230,244,255,250,250,241,0,0,0,0,12,35,9.5,70,118.0370959
Rwanda,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.109479452
Saint Pierre and Miquelon,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,1000 bbl/d,21,25,30,75,55,95,95,95,91,93,100,100,35,35,39,39,39,41,41,42,49,51,52,47,61,63,52,62,58.8269589
Senegal,1000 bbl/d,1.5,1.4,1.3,0.3,1.3,1.2,1.2,1.2,1.2,1.4,1.4,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
Seychelles,1000 bbl/d,0.09123,0.1,0.01819,0,0.01824,0,0.01819,0.01824,0.01824,0.01824,0.01819,0.01824,0.01824,0.018246575,0.018196721,0.018246575,0.018246575,0.018246575,0.018196721,0.018246575,0.036493151,0.036493151,0.040169836,0.064702356,0.042642247,0.042642247,0.042642247,0.072986301,0.072986301
Sierra Leone,1000 bbl/d,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0,0,0,0,0,0
Singapore,1000 bbl/d,111,111,147,151,164,165,146,155,164,173,180,243,256,273,257,326,331,352,401,437,482,548,540,635,716,759,752,754,750.0072329
Slovakia,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.9,1.1,0.5,0.4,0.6,0.9,1.1,1.024931507
Solomon Islands,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.218958904
South Africa,1000 bbl/d,43,42,42,42,42,42,30,39,40,48,49,37,47,52,43,47,45,44,38,42,42,42,46,44,30,29,37,34,19.70630137
Spain,1000 bbl/d,36,37,39,38,46,49,48,49,49,44,63,76,89,86,91,104,108,110,114,126,132,134,133,133,126,132,125,109,119.1747945
Sri Lanka,1000 bbl/d,6.5,7,6.1,4.9,4.4,4.9,4.3,5.2,5.3,5.2,5.9,4,3.5,3.5,2.2,1.9,2.2,1.4,1.5,2.3,1.8,1.8,2.6,2.6,2.7,2.2,4,4.8,6.167342466
Sudan,1000 bbl/d,0,0.5,0.5,0,0,0,0.5,0,0.06357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,1000 bbl/d,9.1,12,9.2,9,9.3,12,13,13,16,15,16,20,23,24,22,23,20,26,32,32,35,36,35,37,32,27,26,25,25.51726027
Switzerland,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.4,0.7,0.7,0.364931507
Taiwan,1000 bbl/d,9.1,9,20,28,28,25,25,26,37,42,38,47,53,66,60,41,42,52,41,41,40,36,31,26,29,27,19,20,19.10152494
Tajikistan,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,1000 bbl/d,0.5,0.4,0.4,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.9,0.9,1,1.113041096
Thailand,1000 bbl/d,3,4.8,4.9,5.1,5.9,7.5,8,3.6,4,4,3,13,13,13,12.50114754,13.04630137,15.29063014,19.98,24.11065574,28.1179726,28.79309589,28.51939726,28.96918033,26.73123288,24.88832877,18.73923288,13.79311475,13.94038356,18.5750137
Timor-Leste (East Timor),1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
Togo,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,1000 bbl/d,5,0.9,0.7,0.6,0.4,0.4,0.4,0,2.1,1.8,2,1.8,1.4,1.4,1.4,2.1,6.4,6,6.2,3.1,2.7,3.2,5.3,3.4,2.9,3.2,6.1,7,6.878958904
Tunisia,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0,0.1,0.054739726,0,0.018246575,0.018246575,0
Turkey,1000 bbl/d,1.5,1.9,1,1.3,0.8,1,0.7,0.8,0.8,1.2,0.9,1.2,1.6,2.4,3.8,2.6,4.6,4.2,7.7,9.4,10,11,7.9,3.1,2.4,1.1,0.6,14,16.43424658
Turkmenistan,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U.S. Pacific Islands,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,1000 bbl/d,116,117,117,117,113,178,157,155,155,152,171,195,195,195,120,127,145,122,147,180,167,169,285,228,243,256,268,267,271.3813151
United Kingdom,1000 bbl/d,17,15,16,21,25,23,23,23,20,24,26,32,30,21,17,11,14,14,18,21,23,26,30,31,23,27,20,23,18.74917808
United States,1000 bbl/d,NA,NA,310,321,312,349,291,233,229,228,233,251,259,213,193,186,196,206,240,253,261,265,284,264,270,226,200,182,161
Uruguay,1000 bbl/d,0.7,1.1,0.7,0.6,0.7,0.7,2.4,1.5,1.3,2.2,4.3,3.7,3.2,3.6,3.5,5.3,4.9,4.3,4.3,5,2.8,4.1,5.9,7.1,6.3,4.7,2.9,2.3,1.952383562
Uzbekistan,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,1000 bbl/d,0.4,0,0.4,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072986301,0.072986301
Venezuela,1000 bbl/d,6.9,7.4,12,12,12,12,11,12,13,14,14,14,8.2,8.2,10,11,9.8,8.5,11,10,11,14,15,14,14,16,15,16,14.92569863
Vietnam,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.620327869,2.919452055,3.21139726,3.977753425,4.494590164,4.525150685,4.963068493,5.072547945,5.095081967,5.291506849,5.83890411,4.306191781,2.91147541,1.934136986,3.412109589
"Virgin Islands,  U.S.",1000 bbl/d,7,1.5,1,1,1,1,1,1.1,1.3,1.3,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.8,1.8,1.8,1.8,1.8,0,0,0,0,0,0,0
"Virgin Islands, British",1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wake Island,1000 bbl/d,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,1000 bbl/d,0.1,3.6,3.6,3.6,4.9,4.7,1.8,1.1,1.1,1.1,1.1,1.8,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.6,0.6,0.5,0.4,0.4,0.310191781
Zambia,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036493151,0,0,0,0,0,0,0,0,0
Zimbabwe,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
