# File: Mueller_yield_levels.csv
# Title: Attainable yield levels by country and basin
# Units: tons/ha
# Description: Min, average, and max refer to the respective yields observed in grid cells within country, basin, and crop; count is the number of grid cells with harvested area for the given crop, country, and basin.
# Source: Mueller, N. D., Gerber, J. S., Johnston, M., Ray, D. K., Ramankutty, N. and Foley, J. A.: Closing yield gaps through nutrient and water management, Nature, 490(7419), 254–257, doi:10.1038/nature11420, 2012. Geospatial data processed by Yannick Le Page.
# https://github.com/JGCRI/lds
Country,Basin,crop,yield_level,min,average,max,Count
fra,57,rice,_rainfedyieldceilings,NA,NA,NA,NA
fra,60,rice,_rainfedyieldceilings,NA,NA,NA,NA
fra,61,rice,_rainfedyieldceilings,4.98,8.75,9.37,302
fra,62,rice,_rainfedyieldceilings,4.98,9.31,9.37,184
fra,63,rice,_rainfedyieldceilings,NA,NA,NA,NA
fra,64,rice,_rainfedyieldceilings,9.33,9.33,9.33,12
fra,67,rice,_rainfedyieldceilings,NA,NA,NA,NA
fra,73,rice,_rainfedyieldceilings,NA,NA,NA,NA
fra,216,rice,_rainfedyieldceilings,NA,NA,NA,NA
fro,16,rice,_rainfedyieldceilings,NA,NA,NA,NA
fsm,150,rice,_rainfedyieldceilings,NA,NA,NA,NA
gab,162,rice,_rainfedyieldceilings,2.03,3.95,7.14,487
gab,183,rice,_rainfedyieldceilings,4.31,4.31,4.31,5
gbr,16,rice,_rainfedyieldceilings,NA,NA,NA,NA
gbr,24,rice,_rainfedyieldceilings,NA,NA,NA,NA
gbr,26,rice,_rainfedyieldceilings,NA,NA,NA,NA
gbr,129,rice,_rainfedyieldceilings,NA,NA,NA,NA
gbr,216,rice,_rainfedyieldceilings,NA,NA,NA,NA
geo,45,rice,_rainfedyieldceilings,NA,NA,NA,NA
geo,47,rice,_rainfedyieldceilings,NA,NA,NA,NA
geo,70,rice,_rainfedyieldceilings,NA,NA,NA,NA
geo,72,rice,_rainfedyieldceilings,NA,NA,NA,NA
gha,142,rice,_rainfedyieldceilings,1.97,3.19,7.14,760
gha,160,rice,_rainfedyieldceilings,1.84,3.67,6.99,1815
gin,142,rice,_rainfedyieldceilings,1.84,3.9,7.14,1181
gin,149,rice,_rainfedyieldceilings,2.03,3.53,7.14,953
gin,152,rice,_rainfedyieldceilings,2.03,3.59,7.14,302
glp,101,rice,_rainfedyieldceilings,NA,NA,NA,NA
gmb,142,rice,_rainfedyieldceilings,1.97,5.08,5.93,103
gnb,142,rice,_rainfedyieldceilings,1.84,3.67,5.5,357
gnq,162,rice,_rainfedyieldceilings,NA,NA,NA,NA
grc,55,rice,_rainfedyieldceilings,4.78,8.6,9.39,1163
grc,75,rice,_rainfedyieldceilings,NA,NA,NA,NA
grd,143,rice,_rainfedyieldceilings,NA,NA,NA,NA
grl,1,rice,_rainfedyieldceilings,NA,NA,NA,NA
gtm,111,rice,_rainfedyieldceilings,1.97,4.63,8.25,330
gtm,133,rice,_rainfedyieldceilings,2.16,4.35,9.39,465
gtm,135,rice,_rainfedyieldceilings,1.84,4.39,7.61,230
guf,156,rice,_rainfedyieldceilings,NA,NA,NA,NA
guf,161,rice,_rainfedyieldceilings,2.6,3.7,4.93,461
gum,121,rice,_rainfedyieldceilings,NA,NA,NA,NA
guy,156,rice,_rainfedyieldceilings,2.03,3.28,5.5,78
guy,161,rice,_rainfedyieldceilings,1.84,3.4,7.14,419
hkg,78,rice,_rainfedyieldceilings,NA,NA,NA,NA
hnd,111,rice,_rainfedyieldceilings,2.03,5.59,7.14,30
hnd,135,rice,_rainfedyieldceilings,1.84,4.86,7.61,1191
hrv,54,rice,_rainfedyieldceilings,NA,NA,NA,NA
hrv,55,rice,_rainfedyieldceilings,NA,NA,NA,NA
hti,101,rice,_rainfedyieldceilings,1.97,4.26,7.61,316
hun,54,rice,_rainfedyieldceilings,9.33,9.37,9.37,296
idn,139,rice,_rainfedyieldceilings,2.98,2.98,2.98,1
idn,158,rice,_rainfedyieldceilings,2.16,3.66,6.69,784
idn,159,rice,_rainfedyieldceilings,2.98,3.5,4.93,39
idn,163,rice,_rainfedyieldceilings,2.21,3.53,7.14,4939
idn,164,rice,_rainfedyieldceilings,1.84,3.96,7.14,1847
idn,165,rice,_rainfedyieldceilings,2.6,3.42,5.63,5118
idn,167,rice,_rainfedyieldceilings,2.16,3.45,5.63,3226
idn,175,rice,_rainfedyieldceilings,1.84,3.73,7.14,1964
idn,178,rice,_rainfedyieldceilings,2.8,3.71,4.93,37
idn,181,rice,_rainfedyieldceilings,3.1,3.12,3.18,23
imn,26,rice,_rainfedyieldceilings,NA,NA,NA,NA
ind,89,rice,_rainfedyieldceilings,2.48,5.6,9.39,941
ind,107,rice,_rainfedyieldceilings,1.97,4.24,7.61,2081
ind,110,rice,_rainfedyieldceilings,1.97,3.85,7.61,11849
ind,113,rice,_rainfedyieldceilings,1.97,4.26,5.93,491
ind,116,rice,_rainfedyieldceilings,3.56,4.14,5.12,105
ind,117,rice,_rainfedyieldceilings,1.84,4.25,7.61,836
ind,118,rice,_rainfedyieldceilings,1.84,3.52,7.61,884
ind,120,rice,_rainfedyieldceilings,1.84,3.36,7.61,678
ind,122,rice,_rainfedyieldceilings,1.84,3.22,6.69,1775
ind,123,rice,_rainfedyieldceilings,1.84,3.68,7.61,3838
ind,128,rice,_rainfedyieldceilings,1.97,3.51,6.69,558
ind,129,rice,_rainfedyieldceilings,1.84,3.58,5.5,644
ind,137,rice,_rainfedyieldceilings,3.9,5.48,7.14,195
ind,140,rice,_rainfedyieldceilings,1.97,4.42,7.61,3352
ind,141,rice,_rainfedyieldceilings,NA,NA,NA,NA
ind,145,rice,_rainfedyieldceilings,1.97,4.39,7.61,748
ind,147,rice,_rainfedyieldceilings,1.97,5.17,5.93,895
ind,153,rice,_rainfedyieldceilings,1.97,4.88,7.61,974
ind,155,rice,_rainfedyieldceilings,1.84,4.72,7.61,716
ind,235,rice,_rainfedyieldceilings,1.97,3.51,7.61,1277
irl,24,rice,_rainfedyieldceilings,NA,NA,NA,NA
irn,52,rice,_rainfedyieldceilings,9.33,9.38,9.39,138
irn,72,rice,_rainfedyieldceilings,4.78,7.76,9.39,185
irn,82,rice,_rainfedyieldceilings,9.37,9.37,9.39,76
irn,84,rice,_rainfedyieldceilings,2.82,6.68,9.39,886
irn,88,rice,_rainfedyieldceilings,2.82,6.03,9.39,210
irn,90,rice,_rainfedyieldceilings,NA,NA,NA,NA
irn,97,rice,_rainfedyieldceilings,NA,NA,NA,NA
irn,102,rice,_rainfedyieldceilings,NA,NA,NA,NA
irn,104,rice,_rainfedyieldceilings,NA,NA,NA,NA
irq,84,rice,_rainfedyieldceilings,2.82,6.6,9.39,659
irq,94,rice,_rainfedyieldceilings,NA,NA,NA,NA
irq,99,rice,_rainfedyieldceilings,NA,NA,NA,NA
isl,11,rice,_rainfedyieldceilings,NA,NA,NA,NA
isr,75,rice,_rainfedyieldceilings,NA,NA,NA,NA
isr,95,rice,_rainfedyieldceilings,NA,NA,NA,NA
isr,98,rice,_rainfedyieldceilings,NA,NA,NA,NA
ita,50,rice,_rainfedyieldceilings,4.78,7.66,9.37,227
ita,54,rice,_rainfedyieldceilings,NA,NA,NA,NA
ita,55,rice,_rainfedyieldceilings,NA,NA,NA,NA
ita,57,rice,_rainfedyieldceilings,4.78,6.92,9.33,713
ita,59,rice,_rainfedyieldceilings,4.98,7.47,9.39,443
ita,61,rice,_rainfedyieldceilings,NA,NA,NA,NA
ita,62,rice,_rainfedyieldceilings,NA,NA,NA,NA
ita,63,rice,_rainfedyieldceilings,4.98,9.02,9.39,251
ita,69,rice,_rainfedyieldceilings,4.98,7.75,9.33,22
jam,101,rice,_rainfedyieldceilings,1.97,4.09,7.14,129
jor,84,rice,_rainfedyieldceilings,NA,NA,NA,NA
jor,93,rice,_rainfedyieldceilings,NA,NA,NA,NA
jor,95,rice,_rainfedyieldceilings,NA,NA,NA,NA
jor,98,rice,_rainfedyieldceilings,NA,NA,NA,NA
jor,99,rice,_rainfedyieldceilings,NA,NA,NA,NA
jpn,51,rice,_rainfedyieldceilings,4.31,5.94,7,1044
jpn,103,rice,_rainfedyieldceilings,3.9,4.24,4.34,5
kaz,18,rice,_rainfedyieldceilings,NA,NA,NA,NA
kaz,38,rice,_rainfedyieldceilings,NA,NA,NA,NA
kaz,42,rice,_rainfedyieldceilings,NA,NA,NA,NA
kaz,45,rice,_rainfedyieldceilings,NA,NA,NA,NA
kaz,52,rice,_rainfedyieldceilings,NA,NA,NA,NA
kaz,56,rice,_rainfedyieldceilings,NA,NA,NA,NA
kaz,58,rice,_rainfedyieldceilings,NA,NA,NA,NA
kaz,68,rice,_rainfedyieldceilings,9.37,9.37,9.37,12
kaz,76,rice,_rainfedyieldceilings,9.33,9.37,9.37,410
kaz,85,rice,_rainfedyieldceilings,NA,NA,NA,NA
ken,87,rice,_rainfedyieldceilings,4.31,6.65,9.39,496
ken,170,rice,_rainfedyieldceilings,1.97,5.22,9.39,1822
ken,171,rice,_rainfedyieldceilings,1.97,5.23,9.39,1742
ken,179,rice,_rainfedyieldceilings,1.97,6.52,9.39,678
kgz,58,rice,_rainfedyieldceilings,NA,NA,NA,NA
kgz,68,rice,_rainfedyieldceilings,NA,NA,NA,NA
kgz,76,rice,_rainfedyieldceilings,9.33,9.37,9.37,101
kgz,85,rice,_rainfedyieldceilings,NA,NA,NA,NA
khm,125,rice,_rainfedyieldceilings,1.84,3.45,5.63,1724
khm,126,rice,_rainfedyieldceilings,2.49,3.83,4.9,82
khm,148,rice,_rainfedyieldceilings,2.6,3.7,5.5,208
kir,176,rice,_rainfedyieldceilings,NA,NA,NA,NA
kna,101,rice,_rainfedyieldceilings,NA,NA,NA,NA
kor,65,rice,_rainfedyieldceilings,4.78,6.28,7,1019
kwt,84,rice,_rainfedyieldceilings,NA,NA,NA,NA
kwt,94,rice,_rainfedyieldceilings,NA,NA,NA,NA
lao,109,rice,_rainfedyieldceilings,5.39,5.49,6.27,17
lao,125,rice,_rainfedyieldceilings,2.03,4.67,7.61,2275
lao,126,rice,_rainfedyieldceilings,4.31,6.13,7.61,277
lao,146,rice,_rainfedyieldceilings,2.48,5.54,7.61,8
lbn,75,rice,_rainfedyieldceilings,NA,NA,NA,NA
lbn,95,rice,_rainfedyieldceilings,NA,NA,NA,NA
lbn,99,rice,_rainfedyieldceilings,NA,NA,NA,NA
lbr,142,rice,_rainfedyieldceilings,2.6,3.8,5.63,325
lby,80,rice,_rainfedyieldceilings,NA,NA,NA,NA
lby,144,rice,_rainfedyieldceilings,NA,NA,NA,NA
lby,151,rice,_rainfedyieldceilings,NA,NA,NA,NA
lca,143,rice,_rainfedyieldceilings,NA,NA,NA,NA
lie,32,rice,_rainfedyieldceilings,NA,NA,NA,NA
lka,154,rice,_rainfedyieldceilings,1.84,3.49,5.63,712
lso,194,rice,_rainfedyieldceilings,NA,NA,NA,NA
lso,198,rice,_rainfedyieldceilings,NA,NA,NA,NA
ltu,20,rice,_rainfedyieldceilings,NA,NA,NA,NA
ltu,25,rice,_rainfedyieldceilings,NA,NA,NA,NA
ltu,33,rice,_rainfedyieldceilings,NA,NA,NA,NA
ltu,35,rice,_rainfedyieldceilings,NA,NA,NA,NA
lux,32,rice,_rainfedyieldceilings,NA,NA,NA,NA
lva,20,rice,_rainfedyieldceilings,NA,NA,NA,NA
lva,22,rice,_rainfedyieldceilings,NA,NA,NA,NA
lva,25,rice,_rainfedyieldceilings,NA,NA,NA,NA
lva,35,rice,_rainfedyieldceilings,NA,NA,NA,NA
mac,108,rice,_rainfedyieldceilings,NA,NA,NA,NA
mar,80,rice,_rainfedyieldceilings,4.98,8.89,9.39,49
mar,86,rice,_rainfedyieldceilings,4.98,9.26,9.39,375
mar,144,rice,_rainfedyieldceilings,NA,NA,NA,NA
mda,47,rice,_rainfedyieldceilings,NA,NA,NA,NA
mda,49,rice,_rainfedyieldceilings,NA,NA,NA,NA
mda,54,rice,_rainfedyieldceilings,NA,NA,NA,NA
mdg,177,rice,_rainfedyieldceilings,1.84,5.07,9.39,5385
mex,91,rice,_rainfedyieldceilings,NA,NA,NA,NA
mex,96,rice,_rainfedyieldceilings,2.03,4.02,9.39,455
mex,105,rice,_rainfedyieldceilings,2.03,4.93,7.61,188
mex,111,rice,_rainfedyieldceilings,1.97,3.12,5.5,681
mex,114,rice,_rainfedyieldceilings,NA,NA,NA,NA
mex,115,rice,_rainfedyieldceilings,1.97,5.6,9.39,656
mex,130,rice,_rainfedyieldceilings,2.03,3.93,7.61,405
mex,131,rice,_rainfedyieldceilings,2.03,6.99,9.39,177
mex,132,rice,_rainfedyieldceilings,2.06,4.43,9.39,135
mex,133,rice,_rainfedyieldceilings,2.03,4.48,9.39,785
mex,134,rice,_rainfedyieldceilings,1.84,5.15,9.39,1202
mex,135,rice,_rainfedyieldceilings,4.79,4.79,4.79,3
mex,136,rice,_rainfedyieldceilings,2.03,4.15,7.14,452
mex,217,rice,_rainfedyieldceilings,NA,NA,NA,NA
mex,221,rice,_rainfedyieldceilings,NA,NA,NA,NA
mex,231,rice,_rainfedyieldceilings,NA,NA,NA,NA
mhl,150,rice,_rainfedyieldceilings,NA,NA,NA,NA
mkd,55,rice,_rainfedyieldceilings,4.98,9.29,9.37,159
mli,142,rice,_rainfedyieldceilings,2.19,2.54,3.95,5
mli,144,rice,_rainfedyieldceilings,5.93,5.93,5.93,20
mli,149,rice,_rainfedyieldceilings,1.97,4.95,5.93,2481
mli,152,rice,_rainfedyieldceilings,1.97,5.05,5.93,1421
mli,160,rice,_rainfedyieldceilings,1.97,5.64,5.93,198
mlt,63,rice,_rainfedyieldceilings,NA,NA,NA,NA
mmr,110,rice,_rainfedyieldceilings,5.39,5.97,7.14,6
mmr,116,rice,_rainfedyieldceilings,2.6,4.11,5.39,360
mmr,125,rice,_rainfedyieldceilings,2.03,5.89,7.61,268
mmr,127,rice,_rainfedyieldceilings,1.84,5.58,7.61,1302
mmr,137,rice,_rainfedyieldceilings,1.84,4.35,7.61,3176
mmr,138,rice,_rainfedyieldceilings,1.84,3.58,7.61,651
mmr,139,rice,_rainfedyieldceilings,2.03,3.62,7.14,457
mmr,146,rice,_rainfedyieldceilings,7.61,7.61,7.61,1
mne,54,rice,_rainfedyieldceilings,NA,NA,NA,NA
mne,55,rice,_rainfedyieldceilings,NA,NA,NA,NA
mng,42,rice,_rainfedyieldceilings,NA,NA,NA,NA
mng,43,rice,_rainfedyieldceilings,NA,NA,NA,NA
mng,48,rice,_rainfedyieldceilings,NA,NA,NA,NA
mng,56,rice,_rainfedyieldceilings,NA,NA,NA,NA
mnp,121,rice,_rainfedyieldceilings,NA,NA,NA,NA
moz,171,rice,_rainfedyieldceilings,1.97,4.33,7.61,2198
moz,188,rice,_rainfedyieldceilings,2.48,4.82,7.61,474
moz,190,rice,_rainfedyieldceilings,2.06,5.16,9.39,685
moz,198,rice,_rainfedyieldceilings,7.61,7.61,7.61,37
moz,199,rice,_rainfedyieldceilings,2.82,5.4,7.61,294
mrt,86,rice,_rainfedyieldceilings,1.97,3.27,4.92,25
mrt,144,rice,_rainfedyieldceilings,NA,NA,NA,NA
mrt,149,rice,_rainfedyieldceilings,NA,NA,NA,NA
mrt,152,rice,_rainfedyieldceilings,1.97,5.68,5.93,225
msr,101,rice,_rainfedyieldceilings,NA,NA,NA,NA
mtq,143,rice,_rainfedyieldceilings,NA,NA,NA,NA
mus,177,rice,_rainfedyieldceilings,NA,NA,NA,NA
mwi,171,rice,_rainfedyieldceilings,5.12,6.85,7.61,60
mwi,188,rice,_rainfedyieldceilings,2.03,6.5,9.39,578
mys,139,rice,_rainfedyieldceilings,2.6,3.64,5.63,1429
mys,159,rice,_rainfedyieldceilings,2.6,3.52,5.63,1472
mys,165,rice,_rainfedyieldceilings,2.8,3.97,4.79,81
myt,177,rice,_rainfedyieldceilings,NA,NA,NA,NA
nam,182,rice,_rainfedyieldceilings,NA,NA,NA,NA
nam,188,rice,_rainfedyieldceilings,NA,NA,NA,NA
nam,194,rice,_rainfedyieldceilings,NA,NA,NA,NA
nam,196,rice,_rainfedyieldceilings,NA,NA,NA,NA
nam,197,rice,_rainfedyieldceilings,NA,NA,NA,NA
ncl,185,rice,_rainfedyieldceilings,NA,NA,NA,NA
ner,144,rice,_rainfedyieldceilings,NA,NA,NA,NA
ner,149,rice,_rainfedyieldceilings,1.97,5.8,5.93,944
ner,151,rice,_rainfedyieldceilings,1.97,5.61,5.93,292
nfk,189,rice,_rainfedyieldceilings,NA,NA,NA,NA
nga,142,rice,_rainfedyieldceilings,1.84,3.19,5.63,1067
nga,149,rice,_rainfedyieldceilings,1.84,3.75,7.61,6533
nga,151,rice,_rainfedyieldceilings,1.97,4.14,7.61,2052
nga,162,rice,_rainfedyieldceilings,2.16,3.46,7.14,608
nic,135,rice,_rainfedyieldceilings,1.84,4.11,7.61,1244
niu,201,rice,_rainfedyieldceilings,NA,NA,NA,NA
nld,28,rice,_rainfedyieldceilings,NA,NA,NA,NA
nld,32,rice,_rainfedyieldceilings,NA,NA,NA,NA
nld,36,rice,_rainfedyieldceilings,NA,NA,NA,NA
nor,8,rice,_rainfedyieldceilings,NA,NA,NA,NA
nor,12,rice,_rainfedyieldceilings,NA,NA,NA,NA
npl,110,rice,_rainfedyieldceilings,2.03,5.13,9.39,1151
nzl,201,rice,_rainfedyieldceilings,NA,NA,NA,NA
nzl,216,rice,_rainfedyieldceilings,NA,NA,NA,NA
omn,94,rice,_rainfedyieldceilings,NA,NA,NA,NA
pak,58,rice,_rainfedyieldceilings,NA,NA,NA,NA
pak,85,rice,_rainfedyieldceilings,NA,NA,NA,NA
pak,89,rice,_rainfedyieldceilings,1.97,5.2,9.39,3611
pak,97,rice,_rainfedyieldceilings,NA,NA,NA,NA
pak,102,rice,_rainfedyieldceilings,2.82,7.7,9.37,31
pak,104,rice,_rainfedyieldceilings,1.97,4.48,7.61,363
pak,107,rice,_rainfedyieldceilings,1.97,3.92,5.93,1078
pan,135,rice,_rainfedyieldceilings,1.84,3.63,5.63,426
pan,143,rice,_rainfedyieldceilings,2.16,3.7,5.63,27
pan,157,rice,_rainfedyieldceilings,2.6,3.66,5.63,233
pcn,26,rice,_rainfedyieldceilings,NA,NA,NA,NA
per,156,rice,_rainfedyieldceilings,1.97,5.09,9.39,3719
per,157,rice,_rainfedyieldceilings,2.82,3.23,4.84,6
per,180,rice,_rainfedyieldceilings,2.82,6.61,9.39,359
per,200,rice,_rainfedyieldceilings,NA,NA,NA,NA
per,207,rice,_rainfedyieldceilings,NA,NA,NA,NA
phl,119,rice,_rainfedyieldceilings,2.16,3.65,5.63,2943
plw,158,rice,_rainfedyieldceilings,NA,NA,NA,NA
png,167,rice,_rainfedyieldceilings,2.16,3.32,5.63,414
png,173,rice,_rainfedyieldceilings,2.16,3.7,7.14,1702
png,176,rice,_rainfedyieldceilings,NA,NA,NA,NA
png,178,rice,_rainfedyieldceilings,2.6,3.53,5.63,673
png,181,rice,_rainfedyieldceilings,2.72,3.09,3.85,288
png,185,rice,_rainfedyieldceilings,NA,NA,NA,NA
pol,21,rice,_rainfedyieldceilings,NA,NA,NA,NA
pol,29,rice,_rainfedyieldceilings,NA,NA,NA,NA
pol,30,rice,_rainfedyieldceilings,NA,NA,NA,NA
pol,31,rice,_rainfedyieldceilings,NA,NA,NA,NA
pol,33,rice,_rainfedyieldceilings,NA,NA,NA,NA
pol,35,rice,_rainfedyieldceilings,NA,NA,NA,NA
pol,49,rice,_rainfedyieldceilings,NA,NA,NA,NA
pol,54,rice,_rainfedyieldceilings,NA,NA,NA,NA
pri,101,rice,_rainfedyieldceilings,NA,NA,NA,NA
prk,37,rice,_rainfedyieldceilings,9.37,9.37,9.37,8
prk,65,rice,_rainfedyieldceilings,4.78,6.41,9.33,500
prk,66,rice,_rainfedyieldceilings,6.22,6.44,6.71,33
prt,60,rice,_rainfedyieldceilings,4.78,8.23,9.39,246
prt,71,rice,_rainfedyieldceilings,4.98,8.6,9.39,310
prt,74,rice,_rainfedyieldceilings,4.78,6.16,9.33,52
prt,81,rice,_rainfedyieldceilings,4.98,9.34,9.39,204
prt,86,rice,_rainfedyieldceilings,NA,NA,NA,NA
pry,206,rice,_rainfedyieldceilings,2.03,5.31,7.61,4392
pse,75,rice,_rainfedyieldceilings,NA,NA,NA,NA
pse,95,rice,_rainfedyieldceilings,NA,NA,NA,NA
pyf,41,rice,_rainfedyieldceilings,NA,NA,NA,NA
qat,94,rice,_rainfedyieldceilings,NA,NA,NA,NA
reu,41,rice,_rainfedyieldceilings,NA,NA,NA,NA
rom,54,rice,_rainfedyieldceilings,9.33,9.37,9.37,224
rom,55,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,1,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,3,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,4,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,5,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,6,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,8,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,9,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,13,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,14,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,17,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,18,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,20,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,22,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,25,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,33,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,35,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,37,rice,_rainfedyieldceilings,9.33,9.36,9.37,20
rus,38,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,39,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,42,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,43,rice,_rainfedyieldceilings,9.37,9.37,9.37,91
rus,45,rice,_rainfedyieldceilings,9.33,9.36,9.37,116
rus,47,rice,_rainfedyieldceilings,4.98,9.17,9.37,204
rus,48,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,53,rice,_rainfedyieldceilings,9.37,9.37,9.37,504
rus,56,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,70,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,72,rice,_rainfedyieldceilings,NA,NA,NA,NA
rus,76,rice,_rainfedyieldceilings,NA,NA,NA,NA
rwa,87,rice,_rainfedyieldceilings,4.78,7.44,9.39,151
rwa,183,rice,_rainfedyieldceilings,5.34,6.15,7.61,13
sau,84,rice,_rainfedyieldceilings,NA,NA,NA,NA
sau,93,rice,_rainfedyieldceilings,NA,NA,NA,NA
sau,94,rice,_rainfedyieldceilings,NA,NA,NA,NA
sau,98,rice,_rainfedyieldceilings,NA,NA,NA,NA
sau,99,rice,_rainfedyieldceilings,NA,NA,NA,NA
sdn,87,rice,_rainfedyieldceilings,1.97,4.87,9.39,11338
sdn,100,rice,_rainfedyieldceilings,4.84,5.35,7.61,12
sdn,144,rice,_rainfedyieldceilings,4.84,5.59,7.61,5
sdn,151,rice,_rainfedyieldceilings,1.97,4.5,9.39,928
sdn,179,rice,_rainfedyieldceilings,1.97,4.94,7.61,147
sdn,183,rice,_rainfedyieldceilings,2.06,3.02,6.27,19
sen,142,rice,_rainfedyieldceilings,1.97,4.78,5.93,860
sen,152,rice,_rainfedyieldceilings,1.97,5.63,5.93,566
sgp,139,rice,_rainfedyieldceilings,NA,NA,NA,NA
sgp,163,rice,_rainfedyieldceilings,NA,NA,NA,NA
shn,182,rice,_rainfedyieldceilings,NA,NA,NA,NA
sjm,1,rice,_rainfedyieldceilings,NA,NA,NA,NA
slb,173,rice,_rainfedyieldceilings,NA,NA,NA,NA
slb,176,rice,_rainfedyieldceilings,NA,NA,NA,NA
slb,185,rice,_rainfedyieldceilings,NA,NA,NA,NA
sle,142,rice,_rainfedyieldceilings,2.6,3.64,5.63,564
sle,149,rice,_rainfedyieldceilings,2.88,3.76,3.95,6
slv,135,rice,_rainfedyieldceilings,2.03,4.17,7.14,244
smr,50,rice,_rainfedyieldceilings,9.33,9.33,9.33,1
som,100,rice,_rainfedyieldceilings,1.97,5.25,9.39,196
som,170,rice,_rainfedyieldceilings,1.97,5.44,5.93,1899
som,171,rice,_rainfedyieldceilings,4.92,5.66,5.93,184
som,179,rice,_rainfedyieldceilings,NA,NA,NA,NA
spm,19,rice,_rainfedyieldceilings,NA,NA,NA,NA
srb,54,rice,_rainfedyieldceilings,NA,NA,NA,NA
srb,55,rice,_rainfedyieldceilings,NA,NA,NA,NA
stp,162,rice,_rainfedyieldceilings,NA,NA,NA,NA
sur,156,rice,_rainfedyieldceilings,2.87,4.19,5.63,8
sur,161,rice,_rainfedyieldceilings,2.21,3.38,5.63,209
svk,29,rice,_rainfedyieldceilings,NA,NA,NA,NA
svk,30,rice,_rainfedyieldceilings,NA,NA,NA,NA
svk,54,rice,_rainfedyieldceilings,NA,NA,NA,NA
svn,54,rice,_rainfedyieldceilings,NA,NA,NA,NA
svn,55,rice,_rainfedyieldceilings,NA,NA,NA,NA
swe,8,rice,_rainfedyieldceilings,NA,NA,NA,NA
swe,12,rice,_rainfedyieldceilings,NA,NA,NA,NA
swe,21,rice,_rainfedyieldceilings,NA,NA,NA,NA
swz,198,rice,_rainfedyieldceilings,4.78,7.76,9.39,101
syc,177,rice,_rainfedyieldceilings,NA,NA,NA,NA
syr,75,rice,_rainfedyieldceilings,NA,NA,NA,NA
syr,84,rice,_rainfedyieldceilings,NA,NA,NA,NA
syr,95,rice,_rainfedyieldceilings,NA,NA,NA,NA
syr,99,rice,_rainfedyieldceilings,NA,NA,NA,NA
tca,101,rice,_rainfedyieldceilings,NA,NA,NA,NA
tcd,144,rice,_rainfedyieldceilings,NA,NA,NA,NA
tcd,149,rice,_rainfedyieldceilings,1.97,4.85,5.93,280
tcd,151,rice,_rainfedyieldceilings,1.97,5.05,5.93,2148
tgo,142,rice,_rainfedyieldceilings,1.97,3.43,7.14,328
tgo,160,rice,_rainfedyieldceilings,1.97,3.58,7.14,329
tha,125,rice,_rainfedyieldceilings,1.84,3.46,7.61,2287
tha,127,rice,_rainfedyieldceilings,1.97,4.35,7.61,210
tha,139,rice,_rainfedyieldceilings,1.84,3.63,7.14,1273
tha,146,rice,_rainfedyieldceilings,1.84,3.43,7.61,1896
tha,148,rice,_rainfedyieldceilings,2.06,3.75,7.61,401
tjk,58,rice,_rainfedyieldceilings,4.98,9.31,9.39,359
tjk,76,rice,_rainfedyieldceilings,9.33,9.36,9.37,56
tjk,85,rice,_rainfedyieldceilings,NA,NA,NA,NA
tkm,52,rice,_rainfedyieldceilings,9.37,9.37,9.37,322
tkm,58,rice,_rainfedyieldceilings,9.37,9.37,9.37,28
tls,158,rice,_rainfedyieldceilings,3.32,3.32,3.32,1
tls,175,rice,_rainfedyieldceilings,2.03,3.81,7.14,167
ton,176,rice,_rainfedyieldceilings,NA,NA,NA,NA
tto,143,rice,_rainfedyieldceilings,2.6,3.93,5.63,53
tun,80,rice,_rainfedyieldceilings,NA,NA,NA,NA
tun,144,rice,_rainfedyieldceilings,NA,NA,NA,NA
tur,55,rice,_rainfedyieldceilings,4.98,9.33,9.37,323
tur,70,rice,_rainfedyieldceilings,4.98,9.16,9.37,851
tur,72,rice,_rainfedyieldceilings,9.33,9.35,9.37,9
tur,75,rice,_rainfedyieldceilings,4.78,9.13,9.39,470
tur,84,rice,_rainfedyieldceilings,4.98,8.97,9.39,1112
tur,99,rice,_rainfedyieldceilings,NA,NA,NA,NA
