# File: LDS_land_types.csv
# Title: Mapping from LDS land categories to specific categories in databases
# Units: NA
# Description: Mapping from LDS land categories to specific categories in databases
# Original source: land type area and pot veg carbon calc in: moirai
# Source: https://github.com/JGCRI/moirai
# Column types: iccc 
# ----------
Category,LT_SAGE,LT_HYDE,Status
1217,OpenShrubland,Cropland,UnsuitableLowProtection
1220,OpenShrubland,Pasture,Unknown
1221,OpenShrubland,Pasture,UnsuitableUnprotected
1222,OpenShrubland,Pasture,SuitableUnprotected
1223,OpenShrubland,Pasture,SuitableHighProtectionIntact
1224,OpenShrubland,Pasture,SuitbaleHighProtectionDeforested
1225,OpenShrubland,Pasture,SuitableLow Protection
1226,OpenShrubland,Pasture,UnsuitableHighProtection
1227,OpenShrubland,Pasture,UnsuitableLowProtection
1230,OpenShrubland,UrbanLand,Unknown
1231,OpenShrubland,UrbanLand,UnsuitableUnprotected
1232,OpenShrubland,UrbanLand,SuitableUnprotected
1233,OpenShrubland,UrbanLand,SuitableHighProtectionIntact
1234,OpenShrubland,UrbanLand,SuitbaleHighProtectionDeforested
1235,OpenShrubland,UrbanLand,SuitableLow Protection
1236,OpenShrubland,UrbanLand,UnsuitableHighProtection
1237,OpenShrubland,UrbanLand,UnsuitableLowProtection
1300,Tundra,Unmanaged,Unknown
1301,Tundra,Unmanaged,UnsuitableUnprotected
1302,Tundra,Unmanaged,SuitableUnprotected
1303,Tundra,Unmanaged,SuitableHighProtectionIntact
1304,Tundra,Unmanaged,SuitbaleHighProtectionDeforested
1305,Tundra,Unmanaged,SuitableLow Protection
1306,Tundra,Unmanaged,UnsuitableHighProtection
1307,Tundra,Unmanaged,UnsuitableLowProtection
1310,Tundra,Cropland,Unknown
1311,Tundra,Cropland,UnsuitableUnprotected
1312,Tundra,Cropland,SuitableUnprotected
1313,Tundra,Cropland,SuitableHighProtectionIntact
1314,Tundra,Cropland,SuitbaleHighProtectionDeforested
1315,Tundra,Cropland,SuitableLow Protection
1316,Tundra,Cropland,UnsuitableHighProtection
1317,Tundra,Cropland,UnsuitableLowProtection
1320,Tundra,Pasture,Unknown
1321,Tundra,Pasture,UnsuitableUnprotected
1322,Tundra,Pasture,SuitableUnprotected
1323,Tundra,Pasture,SuitableHighProtectionIntact
1324,Tundra,Pasture,SuitbaleHighProtectionDeforested
1325,Tundra,Pasture,SuitableLow Protection
1326,Tundra,Pasture,UnsuitableHighProtection
1327,Tundra,Pasture,UnsuitableLowProtection
1330,Tundra,UrbanLand,Unknown
1331,Tundra,UrbanLand,UnsuitableUnprotected
1332,Tundra,UrbanLand,SuitableUnprotected
1333,Tundra,UrbanLand,SuitableHighProtectionIntact
1334,Tundra,UrbanLand,SuitbaleHighProtectionDeforested
1335,Tundra,UrbanLand,SuitableLow Protection
1336,Tundra,UrbanLand,UnsuitableHighProtection
1337,Tundra,UrbanLand,UnsuitableLowProtection
1400,Desert,Unmanaged,Unknown
1401,Desert,Unmanaged,UnsuitableUnprotected
1402,Desert,Unmanaged,SuitableUnprotected
1403,Desert,Unmanaged,SuitableHighProtectionIntact
1404,Desert,Unmanaged,SuitbaleHighProtectionDeforested
1405,Desert,Unmanaged,SuitableLow Protection
1406,Desert,Unmanaged,UnsuitableHighProtection
1407,Desert,Unmanaged,UnsuitableLowProtection
1410,Desert,Cropland,Unknown
1411,Desert,Cropland,UnsuitableUnprotected
1412,Desert,Cropland,SuitableUnprotected
1413,Desert,Cropland,SuitableHighProtectionIntact
1414,Desert,Cropland,SuitbaleHighProtectionDeforested
1415,Desert,Cropland,SuitableLow Protection
1416,Desert,Cropland,UnsuitableHighProtection
1417,Desert,Cropland,UnsuitableLowProtection
1420,Desert,Pasture,Unknown
1421,Desert,Pasture,UnsuitableUnprotected
1422,Desert,Pasture,SuitableUnprotected
1423,Desert,Pasture,SuitableHighProtectionIntact
1424,Desert,Pasture,SuitbaleHighProtectionDeforested
1425,Desert,Pasture,SuitableLow Protection
1426,Desert,Pasture,UnsuitableHighProtection
1427,Desert,Pasture,UnsuitableLowProtection
1430,Desert,UrbanLand,Unknown
1431,Desert,UrbanLand,UnsuitableUnprotected
1432,Desert,UrbanLand,SuitableUnprotected
1433,Desert,UrbanLand,SuitableHighProtectionIntact
1434,Desert,UrbanLand,SuitbaleHighProtectionDeforested
1435,Desert,UrbanLand,SuitableLow Protection
1436,Desert,UrbanLand,UnsuitableHighProtection
1437,Desert,UrbanLand,UnsuitableLowProtection
1500,PolarDesert/Rock/Ice,Unmanaged,Unknown
1501,PolarDesert/Rock/Ice,Unmanaged,UnsuitableUnprotected
1502,PolarDesert/Rock/Ice,Unmanaged,SuitableUnprotected
1503,PolarDesert/Rock/Ice,Unmanaged,SuitableHighProtectionIntact
1504,PolarDesert/Rock/Ice,Unmanaged,SuitbaleHighProtectionDeforested
1505,PolarDesert/Rock/Ice,Unmanaged,SuitableLow Protection
1506,PolarDesert/Rock/Ice,Unmanaged,UnsuitableHighProtection
1507,PolarDesert/Rock/Ice,Unmanaged,UnsuitableLowProtection
1510,PolarDesert/Rock/Ice,Cropland,Unknown
1511,PolarDesert/Rock/Ice,Cropland,UnsuitableUnprotected
1512,PolarDesert/Rock/Ice,Cropland,SuitableUnprotected
1513,PolarDesert/Rock/Ice,Cropland,SuitableHighProtectionIntact
1514,PolarDesert/Rock/Ice,Cropland,SuitbaleHighProtectionDeforested
1515,PolarDesert/Rock/Ice,Cropland,SuitableLow Protection
1516,PolarDesert/Rock/Ice,Cropland,UnsuitableHighProtection
1517,PolarDesert/Rock/Ice,Cropland,UnsuitableLowProtection
1520,PolarDesert/Rock/Ice,Pasture,Unknown
1521,PolarDesert/Rock/Ice,Pasture,UnsuitableUnprotected
1522,PolarDesert/Rock/Ice,Pasture,SuitableUnprotected
1523,PolarDesert/Rock/Ice,Pasture,SuitableHighProtectionIntact
1524,PolarDesert/Rock/Ice,Pasture,SuitbaleHighProtectionDeforested
1525,PolarDesert/Rock/Ice,Pasture,SuitableLow Protection
1526,PolarDesert/Rock/Ice,Pasture,UnsuitableHighProtection
1527,PolarDesert/Rock/Ice,Pasture,UnsuitableLowProtection
1530,PolarDesert/Rock/Ice,UrbanLand,Unknown
1531,PolarDesert/Rock/Ice,UrbanLand,UnsuitableUnprotected
1532,PolarDesert/Rock/Ice,UrbanLand,SuitableUnprotected
1533,PolarDesert/Rock/Ice,UrbanLand,SuitableHighProtectionIntact
1534,PolarDesert/Rock/Ice,UrbanLand,SuitbaleHighProtectionDeforested
1535,PolarDesert/Rock/Ice,UrbanLand,SuitableLow Protection
1536,PolarDesert/Rock/Ice,UrbanLand,UnsuitableHighProtection
1537,PolarDesert/Rock/Ice,UrbanLand,UnsuitableLowProtection
