BLDGID6  ,REGION6  ,CENDIV6  ,SQFT6    ,SQFTC6   ,YRCONC6  ,PBA6     ,ELUSED6  ,NGUSED6  ,FKUSED6  ,STUSED6  ,HWUSED6  ,ADJWT6   ,PAIR6    ,STRATUM6 ,ELHTBTU6 ,ELCLBTU6 ,ELVNBTU6 ,ELWTBTU6 ,ELLTBTU6 ,ELCKBTU6 ,ELRFBTU6 ,ELOFBTU6 ,ELMSBTU6
00381,1,2,     7000,03,05,25,1,2,1,2,2,  469.96,1,37,             0,         11779,           225,             0,         32569,             0,          2251,          7783,          3113
00382,3,7,     2000,02,04,02,1,1,2,2,2,  159.06,1,15,             0,        102661,         42650,         45495,        198773,             0,          5043,        171824,         38000
00385,2,3,    11250,04,06,05,1,2,2,2,2,  479.67,1,16,             0,             0,             0,             0,           454,             0,           506,          3129,          2384
00387,4,9,   110000,07,07,14,1,2,2,1,2,   27.75,1,01,             0,             0,        326077,             0,       5612033,             0,        418851,        500088,        417507
00388,1,1,    45000,05,04,02,1,1,2,2,2,  393.66,2,36,             0,        218391,          6816,         15620,        505384,             0,         13609,        428146,        165434
00389,1,2,   650000,09,07,24,1,1,2,2,2,   13.84,2,37,       1644787,       3907742,       1037543,        431659,      18437408,        232365,        611325,        752338,       2609323
00392,3,7,    55000,06,07,02,1,1,2,2,2,  184.00,2,27,             0,        465315,        159482,         10296,        967730,          9927,          7942,        211636,        139272
00395,3,5,    80000,06,04,05,1,2,2,2,2,  199.80,1,31,         61014,         20641,          1859,          2965,        114749,             0,          9564,         73121,         44459
00396,2,3,    95000,06,07,05,1,1,2,2,2,  100.36,1,07,             0,        195841,         68202,         22369,       1176341,             0,         92851,        813134,        417075
00397,1,2,    12500,04,02,13,1,2,2,1,2,  189.21,1,17,             0,         47018,         11239,         49412,        209312,             0,         20048,         35908,         11541
00398,2,4,     4000,02,06,13,1,1,2,2,2, 3204.89,1,41,             0,         41325,         19940,             0,        103645,             0,          8793,         18388,          4269
00399,3,7,     2000,02,06,25,1,1,2,2,2,  105.20,2,15,             0,         44104,         10646,         19186,         80799,             0,          4330,         16390,          4077
00401,1,2,    10000,03,04,06,1,1,2,2,2,  114.43,2,33,        374193,             0,         12307,         28640,        294999,             0,        702943,          6040,         39590
00402,4,9,    70000,06,06,02,1,1,2,2,2,  165.71,2,17,          4924,             0,         27948,             0,       1091434,             0,         27368,        621961,        516677
00403,4,9,    22500,04,05,13,1,2,2,2,2,  431.20,2,35,             0,         47484,         35544,         32508,        281364,         37297,         27095,         49509,         42881
00405,1,1,   850000,09,02,02,1,1,1,2,2,    8.15,1,09,        386321,      13204527,       3823580,        309513,      25380080,        143510,        156746,       7403678,       1874896
00407,4,8,    17500,04,08,14,1,2,2,2,2,  508.09,2,32,          9152,        104188,         21724,         26316,        145519,             0,         10371,          9280,         12349
00408,1,2,    55000,06,03,14,1,1,2,2,2,   94.90,1,33,             0,        356241,          5778,             0,        828507,             0,         57407,         32681,        117880
00409,1,1,    16250,04,05,12,1,1,1,2,2,  484.14,2,16,             0,             0,             0,          6940,         72091,             0,          6788,          4391,         11132
00413,3,5,   250000,08,08,14,1,1,1,2,2,   13.84,1,44,        257045,       3934535,        643550,             0,       6192295,        212064,        486900,        835286,        344215
00414,3,5,     1500,02,07,05,1,2,2,2,2,  488.82,1,31,             0,             0,             0,             0,          1255,             0,           101,           923,           703
00419,1,1,    35000,05,03,14,1,1,1,2,2,  168.44,1,16,             0,             0,             0,             0,        217008,          6911,         12293,         14057,          8267
00422,4,9,    90000,06,04,14,1,1,1,1,1,  121.19,2,16,             0,             0,         28835,             0,       2546594,             0,        113901,        289382,         99963
00423,3,6,     6000,03,09,05,2,2,2,2,2, 5849.83,2,02,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
00424,3,6,    30000,05,03,14,1,1,2,2,2,  135.02,2,02,             0,        104597,         16245,             0,        125004,             0,         11939,         16458,          8441
00425,3,7,    95000,06,08,25,1,2,2,2,2,   30.09,1,15,        122739,       1368890,        330204,         66149,       4155992,         72016,         94733,        124853,        396081
00426,2,3,    30000,05,04,14,1,1,2,2,2,  222.08,1,28,             0,         62424,          1061,             0,        225019,          8143,         22016,         23869,         23787
00427,3,7,    23750,04,05,13,1,1,2,2,2,  207.27,1,12,         61025,        181652,         43756,         43689,        168531,             0,         20491,         10941,         53608
00430,4,9,    55000,06,08,02,1,1,1,2,2,   21.24,2,29,             0,        725254,        323907,         37032,       1622118,             0,         12825,        437105,        322065
00431,2,4,   500000,08,07,02,2,2,2,2,2,    6.92,1,36,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
00437,4,9,    32500,05,06,02,1,2,2,2,2,  140.06,1,20,         16252,        255189,         69930,          9278,        587489,             0,          6054,        193420,         67189
00440,4,8,     5500,03,03,25,1,1,2,2,2,  196.88,2,30,         20696,         33431,         14176,             0,         57442,             0,          2688,         10106,          3206
00441,1,2,     7000,03,07,05,1,2,2,2,2,  977.64,1,17,             0,             0,             0,             0,         30054,             0,           691,          4884,          3722
00442,4,9,    35000,05,04,05,1,1,2,2,2,  155.51,2,36,             0,         25578,             0,             0,        111732,             0,         11756,         87231,         53310
00443,3,6,    42500,05,05,12,1,1,2,2,2,  189.21,1,39,        105092,        131258,         26520,             0,        248156,             0,         50000,         34788,        115444
00445,1,2,    45000,05,03,14,1,1,2,1,2,  220.75,1,33,             0,        135668,         29127,        102743,        442654,             0,         24709,         39485,         17212
00446,3,7,    13750,04,05,18,1,1,2,2,2, 3003.97,1,04,             0,        125429,         26521,             0,        161711,             0,          8926,          3959,         32663
00448,1,1,  1500000,10,07,24,1,1,1,2,2,    6.92,1,08,        231837,       1375981,        356104,        199389,       5886166,             0,        296015,        488805,       1094398
00449,3,7,     6000,03,07,02,1,2,1,2,2,  488.82,1,03,          3924,             0,          2336,          3286,         50021,             0,          1558,         48220,         16592
00450,2,3,   150000,07,05,18,1,1,2,2,2,   88.46,1,32,        473296,        903035,        310325,             0,       2614135,        174337,        288400,        467896,        715330
00452,1,2,    60000,06,06,23,1,1,2,2,2,  141.84,1,18,         42262,        403639,        106615,         37864,       1724419,             0,         48255,        111661,        147471
00453,3,7,    18750,04,05,12,1,1,2,2,2,  454.60,2,33,             0,         28051,          9324,             0,         11831,             0,          4348,           949,          4652
00455,2,3,     6000,03,04,26,1,1,2,2,2, 6308.52,2,21,             0,             0,             0,             0,         15422,             0,          1195,          3899,          1560
00457,2,3,   200000,07,05,23,1,1,2,2,2,  107.43,2,11,             0,         95417,         39506,             0,        317738,          5190,         15850,         53739,         27918
00458,4,8,     2750,02,06,02,1,1,2,2,2,  367.06,1,35,        392108,         19646,        109992,             0,        786372,             0,         17798,        702684,         37817
00459,2,3,     7000,03,07,08,1,1,2,2,2,  487.36,1,13,             0,         43340,         13013,             0,        158761,             0,          1661,         56998,         11637
00460,4,8,    18750,04,07,91,1,1,2,2,2,  484.14,1,10,             0,         24093,         37244,             0,       1329946,             0,         42937,        268626,        110755
00461,3,7,    40000,05,03,02,1,1,2,2,2,   98.67,1,25,             0,             0,         10386,             0,         10735,             0,          1993,         34719,         51067
00463,4,8,   500001,09,04,16,1,1,2,2,2,   13.84,1,21,             0,             0,      11116818,             0,      34123503,        430110,       5243149,      13821166,      11471986
00464,2,3,     2750,02,08,13,1,2,2,2,2, 6640.55,2,34,             0,             0,          7179,          2291,         10541,             0,          1971,           549,          2692
00465,3,7,     5500,03,03,01,2,2,2,2,2, 5849.83,2,04,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
00467,1,2,   110000,07,04,14,1,1,2,2,1,   27.75,2,25,             0,       1702536,       1231412,             0,       9232640,             0,        375079,        877316,        486674
00468,1,2,   400000,08,06,16,1,1,1,1,2,   13.84,1,33,             0,        666930,        448593,             0,      23924329,        178544,       3264743,       8218721,       7530520
00469,2,3,     2500,02,04,05,1,2,2,2,2, 6241.10,1,28,             0,             0,             0,             0,           205,             0,             8,            54,            42
00470,4,9,   750000,09,07,02,1,1,1,2,2,    8.15,2,38,         34679,       3959575,       5189941,        505941,      19935376,        128826,        140708,       6422056,       1907126
00471,4,8,    60000,06,06,23,1,1,2,2,2,  481.16,2,42,             0,        783048,        214003,             0,       2159799,             0,         71631,        271826,        179818
00473,2,4,     4000,02,06,02,1,1,2,2,2,  363.67,2,13,             0,         14383,          5390,             0,         44768,             0,          1150,         39009,         10503
00475,3,5,   110000,07,03,05,1,1,2,2,2,   28.87,2,44,             0,             0,          4301,             0,        401000,             0,          9142,         62762,         46523
00476,3,6,    16250,04,05,26,1,1,2,2,2,  488.82,1,12,         65914,        204979,         65740,             0,        932188,         23756,         18410,        102717,         30667
00477,3,5,   140000,07,05,02,1,2,1,1,2,   27.75,1,22,             0,        539091,       3850102,             0,       9514813,             0,        212767,       6144046,       3286628
00478,4,9,   325000,08,07,02,1,1,1,2,2,   13.84,2,21,             0,       2206502,       1248291,             0,      15827953,             0,        110896,       3689466,       1084090
00479,1,2,  1500000,10,06,02,1,1,1,1,2,    4.89,1,28,             0,       5297959,      10616173,             0,      46946641,             0,        258863,      12865943,       2457467
00480,2,3,   250000,08,05,23,1,1,2,2,2,   15.41,2,32,             0,        298576,         77079,         23458,       1108842,         17827,         43578,         84910,        163046
00481,3,5,    30000,05,07,02,1,2,2,2,2,  170.59,1,44,          5881,        155757,         40396,          6997,        299795,             0,          2386,        129924,         11332
00482,1,2,    60000,06,05,23,1,1,2,2,2,  111.09,1,37,             0,        367769,        123589,             0,       1582369,             0,         60916,        200822,        132848
00484,2,3,   600000,09,08,04,1,1,1,2,2,   13.84,1,07,             0,      14860841,      12841572,             0,      32071880,             0,        407795,      21353434,      15641192
00486,1,2,     5000,02,03,05,1,1,2,2,2, 3003.97,2,27,             0,             0,         11396,             0,         80007,             0,          5754,         40148,         30589
00487,2,3,    50001,06,03,02,1,1,2,2,2,  516.19,2,16,             0,         52365,         25351,             0,         93615,             0,          2606,         42367,         66073
00489,1,1,    40000,05,06,07,1,2,1,2,2,  367.06,1,30,             0,        203532,         70725,          8345,        494045,             0,          5029,         53894,        169326
00490,4,8,    45000,05,04,14,1,1,2,2,2,  222.08,2,10,             0,        217381,        131302,             0,        900456,         23780,         72196,        100840,         43956
00491,2,3,     6000,03,05,25,1,2,1,2,2,  189.21,1,07,         24310,          7137,          1244,          1178,         35279,             0,           669,          2449,           791
00492,4,9,    65000,06,06,02,1,1,2,2,2,  137.90,1,17,          9490,       1753883,        662827,             0,       3787640,             0,         36114,        888346,        712361
00495,2,3,     2250,02,03,26,1,1,2,2,2, 5742.51,1,23,             0,          4515,          3203,          2862,         41683,             0,           715,          2426,           971
00496,4,9,    15000,04,05,18,1,2,2,2,2,  151.31,2,15,             0,        147334,          2996,             0,        203092,             0,          8810,          3907,         32237
00497,2,4,    95000,06,06,25,1,1,2,2,2,  113.45,2,10,             0,        926536,        236319,        101984,       4083944,        102858,        128742,        365088,        359287
00498,4,8,    35000,05,07,18,1,1,2,2,2,   88.46,2,10,           970,        214614,         51077,             0,        794793,             0,         53479,         50188,        169223
00500,4,8,    70000,06,08,06,1,1,2,2,2,  111.09,2,10,             0,         78213,             0,             0,       3967287,        135877,       9660117,        141698,        542647
00501,4,9,    55000,06,04,05,1,1,2,2,2,  106.15,2,36,        163990,        173110,             0,             0,        843553,             0,         79887,        622157,        346483
00502,4,8,   225000,08,04,16,1,1,2,2,2,   88.46,1,22,             0,       1519635,        199788,             0,      11069990,        107083,       1305369,       2793132,       3504018
00504,3,6,    65000,06,07,18,1,1,2,2,2,  116.86,2,39,          1478,       1772853,        163340,             0,       3127311,             0,        203883,        220545,        615931
00505,3,5,    30000,05,05,23,1,2,1,2,2,  105.20,1,14,             0,        182360,         49958,         28261,        618618,             0,         21206,        100230,         19982
00509,3,6,     9500,03,04,05,1,2,2,2,2, 5849.83,2,02,          7311,         32506,           496,             0,         47588,             0,         14965,        102117,         77804
00511,2,3,    50000,05,07,23,1,1,2,2,2,  151.31,1,07,        412686,       1641267,        371633,             0,       5170810,        102665,        159124,        519258,        633618
00512,4,8,     5000,02,05,25,1,1,2,2,2,  469.96,1,10,             0,          4912,         20646,             0,        119370,             0,          6559,         23232,          7475
00513,4,9,    18750,04,02,18,1,1,2,2,2, 3003.97,2,20,             0,             0,             0,             0,        273490,             0,         19433,         51404,         28325
00514,4,9,    12500,04,05,05,1,2,2,2,2,  207.27,2,38,             0,         92473,             0,         57880,        532782,             0,         42881,        322547,        206087
00515,1,1,     2500,02,06,15,1,2,2,2,2, 3003.97,1,25,             0,         43406,         35458,        102802,        133141,         46938,        192726,         37709,         56488
00516,1,2,   700000,09,06,02,1,2,1,2,2,    7.64,2,05,       6254601,       5121877,       4413532,        727280,      17918453,        353414,        279097,      10115295,       2334078
00517,3,7,     6500,03,09,25,1,2,2,2,2,  441.29,2,15,         10545,        105959,         24281,          8648,        240137,             0,          9206,         42572,          9422
00518,4,8,    70000,06,07,02,1,1,1,2,2,  125.89,2,10,         46735,       1088905,        711839,             0,       2783056,             0,         65573,       2472374,        350225
00519,3,7,    85000,06,07,02,1,1,2,2,2,  184.00,2,27,             0,        108286,         35664,          1800,        232986,             0,          1498,         36134,         29219
00520,3,5,    20000,04,06,07,1,1,2,2,2,  431.20,2,44,             0,        391878,        145584,             0,       1101820,         26067,         10407,        195577,        460857
00523,4,9,     3000,02,08,26,1,1,2,2,2, 5849.83,1,43,             0,          4867,          2830,          4094,         81466,             0,          2781,         11202,          3188
00524,1,2,    11250,04,09,25,1,1,2,2,2, 5849.83,2,28,             0,         11107,         11473,             0,         68781,             0,          3577,         12076,          4831
00527,3,5,   200001,08,07,24,1,1,2,2,2,  107.43,2,26,        271776,       1043478,        228600,             0,       3446281,         69557,         85015,        245355,        238372
00530,2,3,    60000,06,05,14,1,1,2,1,2,  159.79,1,32,             0,             0,         77115,             0,       1118252,             0,         48708,         96804,         43943
00531,4,9,     4000,02,04,25,1,2,2,2,2,  474.50,1,28,             0,             0,             0,             0,         58299,             0,          2594,         10184,          3124
00532,2,3,    18750,04,04,13,1,1,2,2,2,  189.21,1,23,        101829,         20165,           306,             0,         36647,          5870,         11892,          8507,         23053
00534,1,2,   200001,08,06,05,1,1,1,2,2,   31.54,1,28,             0,             0,          1788,             0,       2239703,             0,         50901,        541476,        276337
00535,4,9,     1750,02,04,08,1,1,2,2,2, 3003.97,2,10,             0,         12805,          5156,             0,         40549,             0,           851,         29263,          6157
00538,3,6,    10000,03,05,14,1,1,2,2,2,  393.07,2,06,             0,         92972,         17781,         52051,        127454,             0,         11730,          8011,         17686
00539,2,4,    35000,05,07,05,1,1,1,2,2,  133.52,2,24,             0,         84942,         33202,             0,        778063,             0,         39515,        305647,        186789
00541,1,1,    16250,04,05,25,1,2,1,2,2, 6308.52,1,20,             0,         10411,         10164,             0,         81061,             0,          5250,         17726,          7090
00543,2,3,  1200000,10,07,02,1,1,1,2,2,    4.89,1,40,       7074917,       6718386,       8048745,       1109236,      37726289,        284074,        348675,      15004770,       3818875
00545,3,6,     5500,03,06,25,1,1,2,2,2, 3003.97,2,06,             0,          3948,          1968,             0,         10017,             0,           662,          2215,           886
00547,2,3,   120000,07,06,05,1,1,2,2,2,   95.04,1,07,             0,        114248,         18973,         10511,        992877,             0,         52935,        415894,        234909
00548,3,6,     2500,02,06,25,1,2,2,2,2,  474.50,1,12,         27822,          1889,           700,           715,          4861,             0,           350,          1283,           345
00549,3,7,     9000,03,03,13,1,1,2,2,2,  110.66,2,33,             0,          2886,          1449,             0,          1218,             0,           379,            69,           338
00551,4,9,    35000,05,08,18,1,1,2,2,2,  156.92,2,41,             0,        210398,          4934,             0,        472933,             0,         31709,         29758,        100336
00552,4,8,     2250,02,05,26,1,2,2,2,2, 5849.83,2,30,             0,             0,             0,             0,           704,             0,           148,           449,           180
00553,2,3,  1000000,09,06,16,1,1,1,1,2,    4.15,1,07,       3192406,       1263994,      10968805,             0,      38748405,        507576,       6187479,      20065212,       9783423
00555,3,5,    15000,04,07,26,1,2,2,2,2,  355.88,2,38,        377409,        109338,         37061,             0,        306222,             0,         16471,         63044,         22538
00556,4,9,    45000,05,07,05,1,1,2,2,2,  123.98,2,34,             0,             0,         18351,          9372,       1723609,             0,         15972,        150174,         80889
00557,1,1,   250000,08,05,24,1,2,1,2,2,   90.82,1,25,          3976,         21409,          8466,          2995,        212854,          2995,          8308,         20586,         24028
00559,4,8,    23750,04,06,14,1,2,2,2,2,  151.31,1,30,        612991,        150767,         63828,        193049,        623715,         33585,         44597,         61968,         35733
00560,4,9,  1300000,10,07,02,1,2,1,2,1,    1.18,2,44,        196394,       1457639,       8171321,        878736,      26304070,        663581,        568669,      17030695,       6875681
00562,2,4,    12500,04,05,14,1,2,2,2,1, 3204.89,1,08,             0,         55843,          1853,             0,        220477,             0,          9136,         20470,          6579
00563,3,5,   200000,07,07,02,1,2,1,2,2,   92.00,2,40,        521537,       3754039,       1821739,             0,       6102882,             0,        192883,       5817703,       2207147
00564,2,3,   160000,07,05,05,1,2,2,2,1,   95.04,1,26,             0,             0,         55821,             0,        472524,             0,         44518,        304533,        227663
00567,2,3,   150000,07,05,14,1,1,2,2,2,   88.46,1,28,         27887,        616336,         10683,             0,       1573466,             0,         48405,         52068,        183747
00571,2,3,    30000,05,07,91,1,1,2,2,2,   95.04,2,33,             0,         10069,          1877,             0,        216892,             0,         13052,         22766,         93061
00574,3,6,  1600000,10,03,91,1,1,2,2,2,    6.67,1,02,        107760,      15268448,       1188994,        449733,      51541049,             0,        521153,       1374133,       4376332
00575,3,6,     3250,02,07,02,1,2,2,2,2,  189.21,1,02,          3958,         22448,          4786,          2829,         53735,             0,          1122,         37147,          9524
00577,3,7,     2000,02,07,02,1,1,2,2,2, 3003.97,1,04,          3979,          8933,          2163,           860,          6850,             0,           257,          8454,          1870
00578,4,9,     3000,02,05,15,1,2,2,2,2, 3003.97,2,11,         35369,          2824,         23454,             0,         46711,         16120,         78559,          2980,         33359
00581,4,9,     3250,02,06,25,1,1,2,2,2,  474.50,1,28,             0,             0,          1338,             0,         37828,             0,          1409,          5207,          1515
00582,1,2,    60000,06,03,01,1,1,2,2,2,  111.09,2,27,             0,             0,             0,             0,         94098,             0,          9869,         15042,         72535
00583,4,8,    35000,05,04,02,1,1,2,2,2,  137.77,2,06,             0,        167767,         73003,             0,        954348,             0,         20869,        655565,        269418
00585,3,6,    60000,06,02,02,1,1,2,2,2,  125.89,2,01,             0,       1051063,        503486,         87129,       1318302,             0,         46706,       1357010,        586195
00586,2,3,     3750,02,03,05,1,2,2,2,2, 3204.89,2,30,             0,             0,             0,             0,         13917,             0,           598,          4206,          3205
00587,4,8,   350000,08,07,18,1,1,1,2,2,   88.46,1,10,             0,        906898,        370546,             0,       7191688,        303597,        502229,        386655,       1673854
00589,2,4,    20000,04,06,26,1,1,2,2,2,  178.91,2,10,        122313,        130675,         35329,         19378,        577786,             0,         19575,         82365,         30249
00592,4,9,     8000,03,06,23,1,1,2,2,2,  393.07,1,41,             0,        105013,         29183,             0,        410094,             0,         12017,         42703,         17081
00593,1,2,   120000,07,07,16,1,1,1,1,2,   27.75,2,32,        118494,             0,        922257,             0,       3714120,             0,        556287,        761551,       1921996
00594,3,5,    90000,06,07,16,1,2,2,1,1,  121.19,1,18,             0,         30540,        164241,             0,        846045,         12264,        149497,        160269,        560911
00595,1,2,   500000,08,01,01,1,2,1,2,2,   16.29,2,44,             0,         49604,           578,             0,        518601,             0,         46140,         58787,        341702
00596,4,8,    25000,04,07,18,1,1,2,2,2,  114.76,1,32,         10307,       1662900,        169339,             0,       1442387,        124513,        205977,        345061,        500007
00597,2,3,   250000,08,08,02,1,1,1,2,2,   13.84,2,42,       1238443,       1792668,        858438,         67970,       4093564,        100469,         80032,       2804983,        742360
00598,2,4,    30000,05,04,14,1,2,2,2,2,  173.72,2,41,             0,        155219,         75156,             0,        295256,             0,         35308,         45554,         23362
00601,4,9,    18750,04,05,05,1,1,2,2,2,  104.11,2,36,             0,        153419,             0,             0,        102974,             0,         70515,        478449,        364532
00602,3,5,    22500,04,07,26,1,1,2,2,2,  159.06,1,44,          9996,        218619,         42071,             0,        497756,             0,         34228,        137665,         28004
00603,3,5,     4750,02,05,05,1,1,2,2,2,  370.61,2,29,        138652,         12990,         29931,             0,        114020,             0,          9879,         89689,         28406
00604,2,3,     2500,02,02,25,1,1,2,2,2, 6241.10,2,33,             0,          3698,          3917,             0,         23822,           469,           983,          3206,          1283
00605,2,4,    15000,04,02,01,2,2,2,2,2, 3204.89,2,23,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
00606,2,4,     1500,02,05,06,1,1,2,2,2, 6241.10,2,23,             0,         24740,          8261,             0,         61999,             0,        211051,          3655,         10079
00609,4,9,     9000,03,02,18,1,1,2,2,2,  207.27,2,20,          3055,             0,           124,             0,        339120,             0,         18477,         46908,         28897
00610,1,2,    17500,04,06,01,1,2,2,2,2,  189.21,2,05,             0,             0,             0,             0,          8192,             0,          4925,          6554,         38097
00611,3,7,     2000,02,07,25,1,2,2,2,2, 5742.51,2,15,         16408,         18435,          4731,          2521,         34152,             0,          1518,          4749,          1900
00612,3,5,     3000,02,05,01,2,2,1,2,2, 3003.97,1,43,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999,99999999999999
00613,1,2,     5001,03,05,02,1,2,2,2,2, 3003.97,2,17,         34696,         25352,          9182,          7399,         55261,             0,          1804,         59578,         16242
00614,3,6,    40000,05,07,25,1,2,2,2,2,  123.48,2,02,        104328,        905617,        193455,         52686,       1801668,             0,         82382,        224534,        228482
00615,3,6,     6000,03,03,13,1,1,2,2,2, 3003.97,2,01,          1194,         34949,          7586,             0,         88236,             0,          2923,          3493,          5644
00616,4,9,    10001,04,06,14,1,1,2,2,2,  393.07,1,44,         42703,         19733,          3101,             0,         36111,             0,          2362,          3076,          2647
00618,3,5,     5000,02,03,12,1,2,2,2,2, 5849.83,2,43,         55944,         13493,          7513,         14202,         13592,             0,          5090,           899,          4406
00620,1,1,   250000,08,08,02,1,1,1,2,1,   13.84,2,23,             0,        151833,         69204,             0,       5480349,         67976,         59105,       1841827,        617232
00621,3,7,     2500,02,04,12,1,1,2,2,2,  104.11,1,15,             0,         17955,          5793,             0,         29560,             0,          2053,          1588,          7783
00622,2,3,    20000,04,02,05,1,2,2,2,2,  189.21,1,26,             0,             0,             0,             0,           407,             0,            60,           372,           290
00624,4,9,    45000,05,05,05,1,1,2,2,2,  155.51,2,34,             0,         42961,             0,             0,        284643,             0,         19826,        146647,         93742
00625,2,3,    13750,04,07,13,1,1,2,2,2,  465.62,1,23,        271426,         69535,         40297,             0,        252650,             0,         18489,         19567,         45607
00628,4,8,    21250,04,08,25,1,2,2,2,2,  130.59,2,19,            94,          6432,         52185,          2967,        124359,             0,          5110,         21066,          4243
00629,1,2,    45000,05,07,05,1,1,2,2,2,  179.11,1,40,             0,             0,          5314,          1924,        109554,             0,          5523,         46392,         24989
00630,2,3,     8500,03,04,12,1,1,2,2,2, 6241.10,1,28,          2897,             0,           574,             0,         31583,             0,           851,           659,          3227
00631,3,6,     2000,02,08,02,1,1,2,2,2,  370.61,2,24,             0,         55056,         14292,             0,        138070,             0,          1072,         51957,         11490
00632,3,5,    35000,05,05,13,1,1,2,2,2,  151.31,1,31,             0,        286734,        125232,             0,        525930,             0,         39945,         97086,         57093
00634,4,8,    50001,06,04,06,1,2,2,2,2,  159.79,1,30,        291246,        415112,        122964,        140943,       1624211,         85966,       3621870,         30188,        208139
00635,4,8,     1250,02,06,02,1,1,2,2,2, 6640.55,1,10,         15816,          7072,          5650,             0,         64467,             0,          1430,         55354,          4124
00636,2,4,    70000,06,06,17,1,1,2,2,2,   46.70,2,42,         97257,        482372,          8791,             0,       1143158,             0,        143552,        149812,        439141
00637,3,7,   100000,06,09,25,1,2,2,2,2,  120.84,1,27,        141282,       2220740,        544653,         78847,       5042612,         95390,        110581,        318388,        326997
00638,4,9,     4000,02,05,13,1,1,2,2,2,  393.07,1,11,             0,         45369,         26306,             0,         61086,             0,          5811,          5282,          7219
00639,1,1,    35000,05,01,18,1,1,2,2,2,  432.00,2,42,        396853,        165506,          3116,        387142,        654737,             0,         40167,         37695,        127099
00640,3,7,    55000,06,05,15,1,1,2,2,2,  116.86,1,42,          3114,        944754,        211353,             0,        711102,        203273,        850185,         44603,        368347
00642,3,5,   800000,09,06,02,1,2,1,2,2,    7.64,1,31,       7642341,       7201866,       6343884,       1001445,      27548721,             0,        395431,      13442930,       4084161
00643,4,8,   250000,08,07,02,1,1,1,2,2,   15.41,2,11,        544438,       6979586,       2245271,        288052,       7975218,             0,        170716,       5667515,       1899294
00644,3,7,    95000,06,09,25,1,1,2,2,2,  130.39,1,03,             0,        964837,        223576,         77690,       2629220,             0,        103646,        208221,        385868
00645,4,8,     6000,03,05,12,1,1,2,2,2,   95.04,2,30,           783,          9923,          2913,             0,         25466,             0,           818,           574,          2811
00646,3,5,     5500,03,08,05,1,2,2,1,2, 5849.83,1,31,             0,        101227,         29229,             0,        689569,             0,         47090,        333075,        253772
00647,4,9,     2000,02,04,14,1,1,2,2,2, 3003.97,1,28,             0,             0,         26420,         55788,        100517,             0,         10890,         16177,          3598
00648,2,3,    42500,05,07,05,1,2,2,2,2,  493.12,1,07,       1507863,         92808,         21628,         13667,        959742,             0,         42829,        373866,        145444
00649,2,3,    45000,05,07,02,1,2,2,2,2,   94.87,1,01,        194695,        824386,        229844,         33717,       2044237,             0,         26374,        829936,        286412
00650,2,3,    11250,04,07,13,1,1,2,2,2,  479.67,1,28,         29080,         24798,         27844,             0,        206318,             0,         23742,         22346,         46650
00653,1,2,   550000,09,03,02,1,1,2,1,2,   31.54,1,34,             0,       3204870,       5816370,             0,      17212833,             0,        123588,       5521246,       1794517
00654,4,9,    20000,04,08,12,1,2,2,2,2,  488.82,1,29,         38921,             0,          1412,          2787,          4975,             0,          2933,          1559,          4347
00655,2,3,    22500,04,07,02,1,1,2,2,2,  128.46,1,01,             0,        171890,         47372,         10734,        454736,             0,          6178,        248029,         24041
00657,1,1,    42500,05,06,13,1,2,1,2,2,  151.31,1,25,        218874,        140918,          2637,             0,        485736,             0,         43844,         38520,        127828
00659,2,4,     4000,02,07,26,1,2,2,2,2, 6308.52,2,08,         83808,          9774,          2524,          3213,         18185,             0,          2310,          7420,          2968
00660,2,4,   120000,07,05,18,1,2,2,1,1,   27.75,2,08,             0,             0,          4791,             0,       1988199,             0,        114801,        401829,         69170
00661,2,3,     4500,02,03,01,1,1,2,2,2, 6308.52,1,13,             0,          2615,          2453,             0,           649,             0,           301,           401,          2329
00662,1,2,    35000,05,03,14,1,2,2,1,2,  222.08,2,09,             0,        123844,         21279,             0,        337171,             0,         21179,         29803,         29366
00664,3,7,     2000,02,06,15,1,1,2,2,2, 3003.97,2,27,             0,         42084,         11970,             0,         43043,             0,         73525,          2809,         31440
00665,3,5,   190000,07,07,16,1,1,1,2,2,  156.92,2,41,             0,       3462979,        300551,             0,      12887201,        210521,       2566307,       5575467,       6804490
00666,1,1,   225000,08,07,02,1,1,1,2,2,   19.06,1,26,         17727,       5217312,        903708,             0,      10463176,             0,         71927,       3822996,        434737
00668,3,7,     1500,02,06,91,1,2,2,2,2, 5849.83,2,42,         71302,         88343,         16297,             0,        363206,             0,          4888,         25745,         28192
00672,2,3,    20000,04,05,26,1,1,2,2,2,  414.10,2,12,             0,         66895,         27514,             0,        290494,             0,         10492,         41540,         15256
