BLDGID5,REGION5,CENDIV5,SQFT5,SQFTC5,YRCONC5,PBA5,ADJWT5,PAIR5,STRATUM5,ELSUPL5,NGSUPL5,FKSUPL5,STSUPL5,HWSUPL5,ELHTBTU5,ELCLBTU5,ELVNBTU5,ELWTBTU5,ELLTBTU5,ELCKBTU5,ELRFBTU5,ELOFBTU5,ELMSBTU5
644,3,7,10001,4,6,14,440.57,2,3,1,1,2,2,2,0,144504,37226,74857,157537,0,11013,4138,20276
645,2,3,15000,4,8,2,261.69,1,2,1,1,2,2,2,0,107624,48616,0,315276,0,7554,270906,48861
646,1,2,300000,8,6,18,21.29,2,22,1,2,2,1,2,0,0,595825,0,31579577,0,2086157,925301,7633730
647,3,6,45000,5,5,5,274.41,1,5,1,2,2,2,2,0,0,0,0,57083,0,1052,7339,5591
648,3,5,70000,6,8,2,245.47,2,11,1,1,2,2,2,0,1128842,421383,0,565004,0,15356,277652,433005
649,2,3,12500,4,6,12,436.92,1,10,1,1,2,2,2,106690,14715,8537,0,121123,0,3901,2003,9812
650,3,6,8000,3,4,5,1410.02,1,17,2,2,2,2,2,              ,              ,              ,              ,              ,              ,              ,              ,
651,3,5,40000,5,2,12,274.41,2,3,1,1,2,2,2,31379,55433,24640,23503,68029,0,2612,1269,5994
652,3,7,7000,3,7,2,1543.02,2,19,1,1,2,2,2,308,10471,1982,0,5548,0,123,4270,1022
653,2,4,22500,4,7,2,444.28,2,12,1,1,2,2,2,0,31056,5798,0,36298,0,590,21310,5765
654,3,7,2500,2,7,3,1426.16,1,16,1,2,2,2,2,28932,120815,48420,150865,347720,10442,8092,49000,9628
655,3,5,25000,4,5,18,292.75,1,6,1,1,2,2,2,0,980074,128899,0,390347,0,27384,12146,100201
656,3,5,7000,3,7,13,1803.13,1,3,1,2,2,2,2,15219,19320,6135,3704,18996,0,2235,453,2221
657,2,3,3500,2,3,5,1826.41,1,22,1,1,2,2,2,0,3407,1271,13567,18809,0,215,1605,1043
658,1,2,600000,9,4,2,12.03,1,5,1,2,2,1,2,0,0,1758110,0,3287310,0,50690,1391499,826576
659,1,2,60000,6,4,11,299.07,1,16,1,2,2,2,2,2751,242605,12104,581082,3889411,0,1702211,141035,86460
660,4,8,250000,8,9,2,1.53,1,6,1,1,1,2,2,1307778,1497943,2477053,373746,3468830,143037,113448,4268110,1324704
661,4,8,30000,5,2,2,293.95,2,7,1,1,2,2,2,0,472813,115300,0,572052,0,8252,330126,107420
662,2,3,12500,4,6,2,408.89,1,10,1,1,2,2,2,0,82418,20224,108790,237692,0,2407,92379,23652
663,3,5,5000,2,6,2,1593.18,1,1,1,2,2,2,2,300,57926,10790,34909,48936,0,941,31860,7296
664,3,6,20000,4,5,3,484.66,2,17,1,2,2,2,2,9550,72542,26490,80357,231181,0,6364,27170,7279
665,1,1,25001,5,3,1,4.3,2,14,1,2,2,1,2,0,0,0,417211,175062,0,1753,2299,13362
666,4,9,25000,4,4,3,294.23,2,12,1,1,2,2,2,118586,398899,129256,0,1764460,0,64132,294508,66336
667,3,5,2000,2,6,18,1262.19,2,6,1,2,2,2,2,79,21494,1980,15308,4178,0,258,115,946
668,4,9,6000,3,4,14,436.92,1,13,1,1,2,2,2,0,1046,23179,0,22320,0,1461,590,2649
669,3,5,180000,7,5,2,225.04,1,5,1,1,1,2,2,951257,1384536,1704647,0,2801468,0,42653,1613164,619861
670,4,9,10001,4,5,4,148.07,2,22,1,1,2,2,2,0,290672,232232,0,429990,0,1712,94651,550161
671,3,6,25001,5,7,3,2030.18,2,17,1,1,2,2,2,0,8569,7675,0,26333,0,1367,4944,1978
672,4,9,12500,4,4,5,1545.96,2,22,1,1,2,2,2,19820,28363,2310,0,33698,0,615,4684,3221
673,3,6,12500,4,7,5,548.45,1,11,1,2,2,2,2,0,0,0,0,10226,0,128,1165,887
674,3,7,6000,3,6,3,548.97,1,5,1,2,1,2,2,0,7090,3709,10386,24335,0,877,3498,1399
675,1,2,50001,6,5,14,1.09,0,0,1,1,1,2,2,0,55057,1389,75477,119755,0,7849,3045,14355
676,1,2,17500,4,7,21,1.81,1,10,1,2,2,2,2,389,0,4,48,130,0,0,1,4
677,1,1,6000,3,1,12,149.54,1,14,1,2,1,2,2,0,43877,1218,56245,38323,0,11962,2176,10663
678,1,1,20000,4,6,5,239.1,1,17,1,2,2,2,2,0,0,0,0,285221,0,3051,21581,16443
679,3,7,4000,2,7,1,2014.77,1,19,1,2,2,2,2,0,0,0,7978,48,0,38,51,296
680,2,4,5000,2,5,2,1799.8,2,8,1,1,2,2,2,0,0,12953,0,75025,0,1182,41676,9544
681,2,3,120000,7,6,20,148.07,2,21,1,1,2,2,2,1389463,76156,0,0,2521651,0,6598,8890,51671
682,4,8,300000,8,6,2,10.29,2,11,1,2,2,2,2,571724,7224242,10062916,2768481,33404452,354602,193654,7944397,3518971
683,3,5,1001,2,6,14,1724.46,1,3,1,2,2,2,2,10061,11742,4533,4737,12769,549,613,257,1258
684,2,3,25001,5,1,13,351.73,1,21,1,1,2,2,2,0,28841,0,0,221285,0,11623,4508,21129
685,2,3,5000,2,4,3,1525.12,2,21,1,1,2,2,2,0,0,2528,14329,16481,0,928,3134,1254
686,2,4,1001,2,6,5,292.75,2,8,1,2,2,2,2,0,0,0,0,784,0,10,63,48
687,2,3,40000,5,2,1,266.72,1,10,1,2,2,2,2,0,0,0,0,31163,0,62978,83792,487042
688,2,3,8000,3,6,12,444.28,2,13,1,1,2,2,2,0,2478,3990,0,29590,0,1735,681,3098
689,2,3,6000,3,2,2,1799.8,1,18,1,2,1,2,2,0,0,0,6214,557,0,15,455,137
690,4,9,6000,3,4,18,1273.13,1,14,1,1,2,2,2,503020,179537,34057,0,166516,0,10573,4689,38688
691,1,2,180000,7,6,20,76.64,2,17,1,2,2,2,2,0,0,0,0,61628,0,92,148,862
692,2,3,8000,3,4,5,2710.49,1,14,1,1,2,2,2,0,3509,0,14940,33936,8,361,2654,2022
693,2,4,15000,4,2,13,277.26,2,8,1,1,2,2,2,0,17682,399,0,13662,0,918,343,1682
694,1,1,15000,4,6,18,1.06,0,0,1,1,2,1,2,0,0,128639,0,4498949,0,289087,450191,735861
695,4,8,20000,4,7,12,218.46,2,19,1,1,2,2,2,0,15931,8084,0,92175,0,5112,1867,8709
696,2,3,6000,3,4,2,419.05,2,13,1,1,2,2,2,0,30482,0,0,45212,0,699,24737,5755
697,2,4,4000,2,3,15,1717.51,1,8,1,2,2,2,2,0,228147,24188,0,18703,0,8950,95,1066
698,2,4,1001,2,6,1,1826.41,2,18,2,2,2,2,2,              ,              ,              ,              ,              ,              ,              ,              ,
699,3,7,10000,3,6,3,484.66,1,16,1,1,2,2,2,0,263493,86109,0,821925,0,25724,117041,21099
700,1,1,20000,4,1,14,1.06,0,0,1,2,2,1,2,0,0,398175,0,4896355,0,194876,355930,257391
701,1,2,45000,5,3,15,456.47,2,17,1,1,1,2,2,0,651679,0,0,60821,103907,39251,505,4630
702,2,4,3500,2,3,2,1814.15,2,16,1,1,2,2,2,0,10915,5032,0,14449,0,223,7695,2060
703,3,5,30000,5,1,13,272.55,2,13,1,1,2,2,2,0,0,2026,12211,7252,0,847,202,991
704,2,3,6000,3,6,5,523.88,1,16,2,2,2,2,2,              ,              ,              ,              ,              ,              ,              ,              ,
705,4,8,6000,3,7,5,222.14,2,8,1,2,2,2,2,12117,20381,20285,68099,125336,0,2216,17442,10168
706,3,7,15000,4,4,1,1426.16,1,20,1,2,2,2,2,31273,41397,11995,174494,359,0,732,857,4978
707,3,7,45000,5,5,3,300.02,1,14,1,1,2,2,2,0,872210,279354,0,1984862,0,39613,46163,173356
708,3,7,12500,4,4,12,415.45,1,10,1,1,2,2,2,0,81929,21820,0,41305,0,3720,1127,5205
709,3,6,120000,7,4,5,75.13,2,17,1,2,1,2,2,0,1809053,5979,0,694301,0,36775,253088,192829
710,1,2,8000,3,1,13,1896.5,1,10,1,1,2,2,2,0,19260,575,0,55619,0,2079,758,3715
711,3,7,9000,3,5,3,1711.39,1,14,1,1,2,2,2,0,4202,114236,0,216988,0,6836,23634,9454
712,2,4,90000,6,7,5,139.66,2,8,1,1,2,2,2,2922204,77808,28401,737151,4569645,1477,86644,674933,375633
713,1,2,200000,7,4,2,208.05,2,18,1,1,1,2,2,0,1024218,123082,0,4054072,0,57743,2209779,677778
714,1,2,1500,2,6,21,2243.82,2,8,1,2,2,2,2,0,0,7687,0,8157,0,198,234,1357
715,1,2,12500,4,3,3,421.1,1,9,1,1,2,2,2,26463,12682,13773,51199,101589,0,3184,14913,2187
716,3,5,4000,2,6,2,20.06,2,1,1,2,2,2,2,56712,11681,4010,0,32030,0,513,18082,4018
717,1,1,4500,2,9,8,1307.26,2,18,1,1,2,2,2,0,0,3158,11917,16502,0,435,14170,4242
718,3,7,12500,4,4,2,414.58,1,16,1,1,2,1,2,0,0,69242,0,270775,0,1325,60703,17757
719,3,6,120000,7,6,3,225.04,2,9,1,1,2,2,2,0,526164,398208,0,3524655,0,121465,113431,538841
720,2,4,5000,2,6,6,1379.42,1,11,1,1,2,2,2,0,67176,24309,0,258268,0,773440,13401,124768
721,1,2,12500,4,3,3,421.1,2,4,1,1,2,2,2,0,31490,29986,0,280180,0,4914,25788,6458
722,2,3,120000,7,8,3,92.37,2,2,1,1,2,2,2,0,788175,420591,759588,4405786,0,100991,141364,590328
723,3,5,300000,8,9,2,1.42,2,2,1,1,1,2,2,3009329,3490835,3544065,1099787,4335061,0,164181,6166214,1970810
724,4,8,2000,2,3,3,1890.17,2,20,1,1,2,2,2,0,1446,39678,42918,41674,0,2758,8858,3543
725,1,1,12500,4,4,3,1896.5,2,14,1,2,1,2,2,10624,18690,8381,57673,158306,3841,4267,22179,3252
726,4,9,180000,7,5,14,316.87,2,13,1,1,2,2,2,91673,3041710,323626,0,27398816,0,587603,528515,2334103
727,2,3,7000,3,4,13,210.62,1,18,1,2,2,2,2,0,0,0,0,7844,0,912,199,976
728,1,2,500001,9,2,2,10.15,2,4,1,2,2,1,2,0,0,375485,0,6693832,62687,97337,4558012,1524043
729,3,5,60000,6,7,2,295.28,1,13,1,1,2,2,2,100569,1102315,451603,190351,916619,41433,33591,792716,677180
730,3,6,70000,6,6,5,21.73,2,9,1,1,2,2,2,0,35518,1852,0,96343,0,1011,7445,5357
731,3,5,1001,2,5,14,1377.45,2,9,1,2,2,2,2,30540,20323,8627,0,19693,0,1026,1001,1407
732,1,2,35000,5,4,3,545.75,2,18,1,1,2,2,2,0,0,6402,0,75052,0,1684,1697,8548
733,2,3,1500,2,6,2,12,2,10,1,1,2,2,2,0,0,2717,0,13834,0,267,9160,2160
734,3,5,15000,4,7,2,1911.82,1,11,1,2,2,2,2,24703,164300,28477,179822,276570,0,5739,210744,45230
735,3,7,50000,5,6,5,141.88,2,19,1,2,2,2,2,897,44664,2155,0,8096,0,451,3104,2365
736,3,7,60000,6,4,14,291.23,2,12,1,1,2,2,2,0,359756,113076,0,626111,0,36506,17473,72808
737,3,7,9000,3,6,3,548.97,1,5,1,2,2,2,2,0,0,2977,0,49852,0,4671,16150,6460
738,1,1,2000,2,5,3,2021.32,1,21,1,2,1,2,2,0,0,5425,0,38610,0,1495,5290,2116
739,3,5,2000,2,7,12,1400.56,1,13,1,1,1,2,2,22,740,0,0,20599,0,751,418,1818
740,2,3,20000,4,5,3,347.78,2,12,1,1,2,2,2,291467,47772,33980,0,396720,0,18164,76574,16207
741,3,5,30000,5,6,3,415.45,1,9,1,1,2,2,2,0,81082,30513,104737,331300,0,11764,49665,11461
742,3,5,2500,2,6,6,1262.19,1,6,1,2,2,2,2,142,58699,11445,50937,107263,0,283703,3238,15634
743,2,3,15000,4,2,18,276.35,1,18,1,2,2,1,3,0,414874,5223,0,988165,0,64466,41244,223244
744,3,5,9000,3,7,3,1911.82,1,6,1,1,2,2,2,0,36620,18952,0,116698,0,10007,38193,9107
745,4,9,7000,3,6,8,1273.13,2,22,1,1,2,2,2,16654,109579,24732,0,177480,0,1977,76022,16036
746,3,6,30000,5,6,4,415.45,1,9,1,1,2,2,2,0,127309,113513,75395,213080,0,671,48937,284449
747,1,1,120000,7,5,14,20.29,2,14,1,2,1,2,2,232904,367090,0,0,1679808,0,57149,82953,104727
748,3,5,3000,2,6,2,1262.19,1,9,1,2,1,2,2,1590,8434,1931,9020,10472,0,166,5783,1533
749,4,9,25000,4,6,1,321.96,2,16,1,2,2,2,2,0,0,0,0,375,0,1003,1334,7756
750,3,5,3000,2,7,2,1426.16,1,6,1,2,2,2,2,14068,26262,5362,18240,16650,0,482,15448,5315
751,3,7,25001,5,6,17,377.7,2,19,1,1,2,2,2,132574,613050,83712,0,795456,0,55670,33417,194982
752,2,4,15000,4,7,5,560.24,1,16,1,1,2,2,2,0,0,11026,211739,917345,0,6853,49810,509461
753,4,9,2000,2,4,1,1371.46,1,9,1,1,2,2,2,70368,0,1345,0,1256514,0,5036,6488,37711
754,3,5,1600000,10,7,3,10.87,2,6,1,1,1,2,2,549642,2143134,960171,2920378,6576616,0,3326176,1036244,4091282
755,2,3,50001,6,4,14,349.9,1,14,1,1,2,2,2,0,128392,3420,174356,496139,0,31470,15307,65671
756,2,3,1500,2,2,3,1826.41,1,21,1,2,1,2,2,0,251,462,867,1196,0,50,171,68
757,3,5,45000,5,7,14,291.23,2,9,1,1,1,2,2,0,945375,387733,967368,2114986,0,98935,159591,133336
758,1,2,400000,8,5,14,127.73,2,22,1,1,1,1,2,0,3650274,0,0,11406288,269515,426595,958170,404002
759,3,5,2500,2,6,5,640.23,1,3,1,2,1,2,2,0,4646,848,32134,9708,0,228,1990,1516
760,1,2,350000,8,9,2,1.42,2,6,1,1,2,2,2,0,3794032,2957314,910840,4701920,0,189313,7170725,2051031
761,2,3,20000,4,7,2,12,1,18,1,2,2,1,2,0,367693,100480,0,880780,0,6069,347326,40630
762,2,3,20000,4,8,2,467.82,1,21,1,1,2,2,2,0,83206,29500,142276,340334,0,7006,301990,32299
763,1,2,2500,2,4,2,1421.18,2,4,1,1,2,2,2,7785,29849,6717,0,56138,0,851,28602,9842
764,3,5,3000,2,7,3,1678.97,2,1,1,2,2,2,2,185464,36851,25290,75464,140062,0,9383,37615,7589
765,3,7,400000,8,7,2,10.87,1,15,1,1,2,2,2,0,5530865,7417231,1384705,5916108,0,67840,3270800,1339341
766,3,6,10001,4,5,14,426.06,2,17,1,2,2,2,2,56929,107664,26067,0,116045,0,7497,3264,13355
767,2,4,6000,3,7,14,1379.42,1,11,1,2,2,2,2,128494,68582,27250,72399,167042,8648,9004,4259,19132
768,3,5,25000,4,6,14,363.37,2,3,1,1,2,2,2,0,68653,20382,79339,141435,7043,7333,3351,15699
769,4,9,20000,4,3,12,1545.43,1,20,1,1,2,2,2,0,0,362,0,13509,0,1968,468,2186
770,1,2,15000,4,4,18,435.97,2,10,1,1,2,2,2,0,202267,24206,0,88090,0,5675,2517,20765
771,4,9,10000,3,6,3,549.91,2,18,1,1,2,2,2,4886,130347,39134,0,464280,0,12317,58911,14504
772,3,7,8000,3,6,2,544.07,2,5,1,1,2,2,2,0,16963,4749,0,221873,0,5300,171447,52875
773,3,5,2500,2,9,12,1880.68,2,3,1,2,2,2,2,0,2996,1331,366,2284,0,258,56,276
774,2,3,4000,2,6,5,1717.51,2,21,1,1,2,2,2,0,29048,10444,0,86567,0,2760,20434,13318
775,3,6,6000,3,8,14,1724.46,2,11,1,2,2,2,2,81049,19905,9005,19159,40147,0,2856,1151,5180
776,3,7,15000,4,4,2,464.11,1,12,1,2,2,2,2,42271,139966,27653,94500,106841,0,1627,57436,14916
777,4,9,25000,4,8,2,217.98,1,9,1,2,2,2,2,1243,360691,65340,112557,205279,0,4384,150540,38157
778,4,9,400000,8,9,2,1.07,0,0,1,2,2,2,2,1712137,405040,2690496,736103,3428262,0,107725,4058277,1348817
779,2,3,100000,6,3,14,291.23,1,10,1,1,2,2,2,0,342474,7758,266981,307511,12792,15372,6341,29723
780,1,2,900000,9,6,3,21.29,2,10,1,2,2,2,2,39489,1042658,500474,1457868,5087374,782077,1121591,289426,1620327
781,1,2,600000,9,3,16,10.47,2,19,1,1,1,2,2,158471,20798910,842248,0,44169741,4201884,5122200,6820345,17889363
782,1,1,35000,5,3,1,4.3,2,14,1,2,2,1,2,0,0,0,0,419080,0,2071,2424,14087
783,4,9,1001,2,4,3,1711.39,2,10,1,1,2,2,2,0,0,387,0,17600,0,714,2849,446
784,3,6,2000,2,4,12,548.45,1,11,1,2,1,2,2,0,4908,5650,0,7066,0,2009,365,1791
785,1,2,60000,6,3,3,1580.41,1,17,1,1,2,2,2,0,4568,91588,367921,17992,0,2277,1891,12603
786,2,4,6000,3,5,2,29,1,2,1,1,2,2,2,0,16182,6857,0,23674,0,419,14185,3869
787,2,3,800000,9,9,3,5.02,2,12,1,2,1,2,2,5736119,682109,1182350,7697285,14610952,483925,552916,596122,2653789
788,4,9,100000,6,9,1,150.31,2,16,1,2,2,2,2,11786,11820,1674,83318,89132,0,585,762,4429
789,3,6,3000,2,8,1,217.98,1,7,1,2,2,2,2,0,4534,91,0,13284,0,66,85,497
790,3,5,20000,4,5,14,20.67,2,9,1,2,2,2,2,27137,117600,24841,0,133306,0,7130,3164,13564
791,3,7,7000,3,9,5,544.07,2,5,1,2,2,2,2,0,0,0,0,8826,0,336,2530,1928
792,4,9,10000,3,7,2,217.98,1,19,1,2,2,2,2,14482,10920,2750,11007,8231,0,208,7082,2031
793,3,5,2500,2,9,2,435.97,1,9,1,2,2,2,2,0,2505,618,0,1745,0,31,1109,287
794,1,2,5001,3,2,2,1896.5,1,17,1,1,2,1,2,0,20676,0,0,7479,0,132,3990,1502
795,2,4,3500,2,3,3,556.45,1,8,1,1,2,2,2,0,70,458,3017,1450,0,74,245,98
796,3,5,4500,2,7,12,1882.46,1,3,1,2,2,2,2,5093,7798,2224,3011,28800,0,1445,565,2544
797,2,4,50001,6,6,2,494.7,2,22,1,1,2,2,2,0,388470,408676,113726,1118805,0,16203,446096,288012
798,4,9,100000,6,8,18,1.42,1,6,1,1,2,2,2,62125,2740692,803213,0,2470653,0,174973,118104,599761
799,4,9,350000,8,5,2,20.24,2,13,1,1,1,2,2,0,2330821,3481835,0,7894256,0,171480,6433812,1880086
800,2,4,80000,6,5,3,21.23,1,12,1,1,2,2,2,0,20411,15365,0,210075,0,9427,10090,36806
801,4,9,60000,6,7,2,12,1,14,1,1,2,2,2,0,884087,513733,0,717366,0,28549,1052022,330340
802,4,9,6000,3,4,14,1283.99,2,21,1,1,2,2,2,0,16204,6299,0,16538,814,1163,442,1984
803,2,3,3000,2,6,1,467.82,1,19,2,2,2,2,2,              ,              ,              ,              ,              ,              ,              ,              ,
804,1,2,3000,2,7,1,1496.57,2,10,1,2,2,2,2,9424,2352,820,5213,10488,0,45,57,331
805,4,9,700000,9,5,20,10.12,2,22,1,2,2,2,2,0,0,0,0,7559206,0,19890,27550,160136
806,4,9,600000,9,8,5,10.69,1,14,1,1,1,2,2,0,982869,62693,0,37888536,0,282532,2698063,1841182
807,2,3,600000,9,9,2,1.15,0,0,1,1,1,2,2,14726197,4005554,6661693,2480285,11552001,0,374932,13884211,4677363
808,3,6,6000,3,4,12,1882.46,1,11,1,2,1,2,2,3709,5418,2095,0,2969,0,614,475,2329
809,3,5,10000,3,9,5,1.42,1,17,1,2,2,2,2,0,0,0,0,178857,0,1160,10576,8058
810,3,7,1001,2,9,1,1543.02,1,12,1,2,2,2,2,0,0,0,0,28,0,20,27,154
811,2,4,40000,5,6,5,21.23,1,12,1,1,2,2,2,85831,8067,1272,0,37836,0,649,4774,3418
812,2,3,7000,3,1,15,1349.78,1,18,1,1,2,2,2,0,314912,34200,0,24239,0,17238,165,1865
813,4,8,4500,2,6,5,1605.92,2,19,1,2,2,2,2,2294,0,0,0,207072,0,561,5114,3896
814,1,2,50000,5,5,14,1.76,2,4,1,1,2,2,2,0,0,0,0,483008,21326,30489,11328,52257
815,1,2,2500,2,2,14,1311.15,2,10,1,2,1,2,2,0,0,0,51106,47579,0,3151,1388,6799
816,3,5,250000,8,5,14,1.02,0,0,1,1,1,2,2,0,236878,4928,0,495148,0,32189,12764,58595
817,4,9,70000,6,6,5,160.98,1,19,1,1,2,2,2,0,223493,15136,0,1442500,0,8985,74238,51620
818,3,7,3000,2,4,21,1279.77,1,16,1,1,2,2,2,0,0,0,0,53275,0,134,178,1033
819,2,4,1500,2,4,20,1923.38,1,8,1,2,2,2,2,0,0,0,0,563,0,5,7,39
820,3,5,3500,2,3,12,1400.56,1,13,1,2,1,2,2,9205,6777,453,25674,15850,0,5278,3951,17556
821,4,9,3500,2,5,18,1349.78,1,22,1,2,2,2,2,16513,0,604,173003,48346,0,3021,1340,11053
822,3,7,2000,2,6,2,1882.46,2,19,1,1,2,2,2,0,34091,7373,0,33153,0,623,22173,4203
823,3,7,3500,2,7,12,1869.74,1,5,1,2,2,2,2,1862,20101,3742,1605,2965,0,1280,260,1272
824,3,7,500000,8,7,16,10.15,1,15,1,1,2,2,2,0,1575358,6775028,0,23832797,0,3082595,6407194,8463355
825,3,6,180000,7,4,5,1.83,1,9,1,1,2,2,2,21887,503646,24717,0,4715093,0,32405,268657,188263
826,3,7,15000,4,8,2,567.62,2,19,1,1,2,2,2,0,120498,25152,0,100392,0,2199,77966,18262
827,3,5,70000,6,6,2,156.54,2,1,1,2,2,2,2,589708,1418069,781098,311649,3274051,0,49079,1410739,819765
828,2,3,40000,5,7,5,222.14,1,10,1,1,2,2,2,0,0,1469,111984,420900,0,4776,34593,24767
829,3,7,40000,5,4,5,225.04,2,10,1,1,2,2,2,0,265266,11957,184559,591311,0,8222,63738,38729
830,1,1,50001,6,5,21,448.67,2,21,1,1,2,2,2,0,144921,79136,0,3947641,0,11462,15412,89582
831,4,9,40000,5,5,18,1.02,0,0,1,2,2,1,2,0,0,0,0,1649856,0,104566,110880,318126
832,4,9,1500,2,4,14,1399.18,1,21,1,2,2,2,2,7369,2878,367,41076,59743,0,4290,1889,9256
833,2,3,70000,6,4,14,349.9,1,21,1,1,2,2,2,0,270479,7207,0,822516,19335,61246,22875,96669
834,3,5,700000,9,6,3,22.22,2,9,1,2,2,2,2,1065984,3526145,1521811,7314005,16508009,404612,561138,515069,2498251
835,2,3,5001,3,6,3,467.82,1,10,1,1,2,2,2,0,0,13503,98054,228447,0,8167,28891,11557
836,3,7,4500,2,7,3,1711.39,2,16,1,1,2,2,2,0,20282,9645,0,36852,0,3101,10470,4188
837,3,6,10000,3,8,5,548.45,1,11,1,1,2,2,2,0,12054,2251,0,33606,0,1672,12878,106676
838,3,7,10000,3,3,2,11.12,2,16,1,1,2,2,2,0,139054,30388,0,197586,0,2605,98192,19470
839,2,4,3500,2,7,4,1839.58,2,2,1,2,2,2,2,92916,92526,85770,53672,82207,0,417,35224,204737
840,1,2,2000,2,7,7,1682.09,2,16,1,1,2,2,2,0,0,0,0,26114,0,26,241,1403
841,3,7,3000,2,6,12,1882.46,1,19,1,2,2,2,2,0,4715,4017,0,467,0,490,84,412
842,2,3,12500,4,5,18,7.52,1,20,1,1,2,1,2,0,0,10,0,786,0,54,36,185
843,4,9,100001,7,9,2,1.42,2,15,1,1,2,2,2,0,1267374,967623,0,639440,0,22597,928814,314860
844,4,9,120000,7,8,4,21.37,1,12,1,1,1,2,2,9050,1497892,1454830,1014709,3270653,0,13728,625762,3637242
845,1,2,1000000,9,6,7,10.69,1,7,1,2,1,2,2,0,2501427,122180,0,12973492,70756,43122,290647,1689384
846,2,3,3000,2,5,5,1923.38,2,21,1,1,2,2,2,0,0,883,0,8376,0,233,1462,1114
847,3,5,1001,2,7,21,1880.68,1,3,2,2,2,2,2,              ,              ,              ,              ,              ,              ,              ,              ,
848,3,5,140000,7,6,5,78.24,2,6,1,1,2,2,2,7642,616378,36093,751350,3394919,0,13293,118557,73748
849,1,2,4000,2,4,3,1496.57,2,10,1,2,1,2,2,0,0,2691,37494,52132,0,2148,7803,3121
850,4,9,6000,3,3,1,10.24,2,10,1,1,2,1,1,0,74475,1646,0,86455,0,474,617,3586
851,3,5,6000,3,4,1,1678.97,1,1,1,2,2,2,2,0,0,0,0,16716,0,4471,5950,34584
852,3,7,1500,2,7,14,1680.67,2,5,1,1,2,2,2,0,4691,3953,0,77683,0,7082,2754,13495
853,3,5,2000,2,5,3,1923.12,2,3,1,2,1,2,2,3581,3964,1987,0,14313,0,602,2159,864
854,1,2,500001,9,9,5,11.47,2,4,1,1,1,2,2,159968,635542,67405,0,25260805,0,180209,1722956,1172281
855,3,5,3500,2,1,12,1880.68,1,3,1,2,2,2,2,2109,14797,5431,0,9461,0,1383,965,4730
856,4,9,12500,4,5,3,1525.12,2,14,1,1,2,2,2,0,11623,17421,169237,337994,0,13722,64371,9319
857,3,6,3000,2,6,14,1302.08,2,17,1,1,2,2,2,0,68965,25222,0,116295,0,6239,2615,12813
858,4,9,4500,2,7,15,412.43,1,13,1,1,2,2,2,0,78384,6651,0,9966,0,14942,138,1548
859,1,2,40000,5,7,2,460.39,1,17,1,2,1,2,2,0,379906,116910,0,500229,0,10119,258796,191163
860,4,9,350000,8,3,2,21.23,2,21,1,1,2,2,2,994478,13577309,10516246,2011507,9700470,0,113755,2818947,2601623
861,2,3,7000,3,4,1,444.28,1,10,1,2,1,2,2,0,0,1864,18845,4407,0,119,147,856
862,2,4,40000,5,6,4,370.66,2,2,1,2,2,1,2,0,149611,131890,0,158395,0,616,54821,318647
863,2,4,3000,2,6,12,1891.49,1,2,1,1,2,2,2,0,11043,5472,0,10343,0,1219,253,1242
864,3,7,3500,2,5,12,1426.16,1,16,1,1,2,2,2,13594,8896,2658,0,9914,0,692,220,1077
865,1,2,60000,6,3,15,3.62,1,17,1,1,2,1,2,0,194424,1198,0,14525,0,9903,5770,52639
866,4,8,8000,3,6,7,419.05,2,19,1,1,2,2,2,0,16102,5082,11229,97174,0,89,823,4783
867,2,3,25000,4,7,5,145.62,1,3,1,1,2,2,2,0,51525,1418,77635,573671,0,5988,45159,31847
868,4,9,9000,3,6,1,444.28,1,22,1,1,2,2,2,0,0,9573,0,396301,0,1581,2059,11970
869,4,9,8000,3,4,2,436.92,1,14,1,1,2,2,2,0,91682,2468,0,200726,0,2888,106152,20230
870,3,6,45000,5,4,14,274.92,2,9,1,1,2,2,2,0,217885,66646,0,290629,0,18863,7470,34347
871,4,9,1500,2,6,2,1701.16,2,22,1,1,2,2,2,0,27870,7156,13428,29616,0,272,10442,2477
872,3,6,10001,4,8,3,274.15,1,11,1,2,2,2,2,0,11263,8188,39397,65516,0,5640,21822,5349
873,1,2,50000,5,6,13,275.92,1,18,1,2,2,2,1,284066,142737,126190,0,1602499,0,33659,20240,99175
874,2,3,4500,2,2,3,556.45,1,15,1,1,1,2,2,0,4590,14249,66374,75260,0,2048,7981,3192
875,2,3,600000,9,7,2,12,2,4,1,1,2,2,2,2565091,774566,1163628,361460,3353682,0,43665,1682262,536556
876,4,9,2000,2,4,3,1511.3,1,22,1,2,2,2,2,0,2989,1538,0,5368,0,246,1011,186
877,1,2,7000,3,3,5,1605.92,1,4,1,2,1,2,2,0,0,22386,0,57765,0,1045,7291,5555
878,2,3,3500,2,7,3,495.56,1,10,1,1,2,2,2,61298,20196,10216,0,100269,0,7145,28676,3952
879,3,6,40000,5,4,14,388.31,2,11,1,1,2,2,2,0,71823,26679,0,112391,0,5277,2530,11180
880,2,3,4000,2,5,13,1273.13,2,18,1,2,2,2,2,20981,0,667,1841,27378,1105,853,410,2011
881,3,7,8000,3,7,4,1262.19,1,12,1,2,2,2,2,10956,118064,75756,47544,318952,0,591,30058,174714
882,4,8,60000,6,9,2,1.04,0,0,1,1,2,2,2,0,1029519,758403,190597,1143275,0,14152,499785,337939
