BLDGID5,REGION5,CENDIV5,MSA5,CLIMATE5,SQFT5,SQFTC5,NFLOOR5,PORBLG5,NUMBLG5,YRCON5,MONCON5,YRCONC5,EXPRED5,AMTDIF5,PBA5,HT15,HT25,COOL5,WATR5,COOK5,MANU5,GENR5,HEATP5,COOLP5,WKHRS5,WKHRSC5,TOTWK5,TOTWKC5,NWKER5,NWKERC5,WLCNS5,RFCNS5,BLDSHP5,BLDLEN5,BLDWID5,ATTWLL5,GLSSPC5,LTOHRP5,ADJWT5,PAIR5,STRATUM5,ELSUPL5,NGSUPL5,FKSUPL5,STSUPL5,HWSUPL5,ELBTU5,NGBTU5,FKBTU5,STBTU5,HWBTU5,MFBTU5
884,3,5,2,3,1500000,10,8, ,3,1979,  ,6,3,         ,2,1,2,1,1,1,2,2,100,100,42,2,6250,11,4000,10,5,6,3,     ,     , ,3,90,5.06,2,6,1,2,2,1,2,104388083,              ,              ,31571000,              ,135959083
885,3,5,1,4,2500,2,1,2,   ,1971,  ,6,3,         ,3,1,2,1,2,2,2,2,100,3,45,2,2,1,2,1,3,5,2,60,40,0,1,50,2306.03,2,3,1,1,2,2,2,23410,58139,              ,              ,              ,81549
886,1,1,2,1,80000,6,2, ,0,1962,  ,5,1,10000,5,1,1,1,1,2,1,2,100,18,52,3,80,5,80,5,4,6,2,350,250,0,1,100,224.33,1,21,1,2,1,2,2,1607328,              ,3653933,              ,              ,5261261
887,4,9,2,4,200001,8,1,2,   ,1913,  ,2,3,         ,1,2,2,2,2,2,2,2,   ,   ,   , ,     ,  ,     ,  ,5,4,2,400,360,0,1,991,207.73,2,1,2,2,2,2,2,              ,              ,              ,              ,              ,0
888,2,3,2,2,2000,2,1,2,   ,1976,  ,6,3,         ,15,1,2,1,1,1,2,2,100,100,168,6,5,2,5,2,5,4,2,60,40,0,2,100,1446.02,2,21,1,1,2,2,2,268818,233171,              ,              ,              ,501989
889,3,6,1,3,15000,4,1,2,   ,1968,  ,5,3,         ,15,1,2,1,1,1,2,2,100,100,112,5,8,2,5,2,5,6,2,200,100,0,2,100,566.76,1,11,1,1,2,2,2,828945,826184,              ,              ,              ,1655129
890,1,2,2,3,140000,7,3, ,1,1957,  ,4,3,         ,7,1,2,1,1,2,2,1,100,70,168,6,50,5,50,5,5,4,2,100,50,0,4,70,424.75,1,14,1,1,2,2,2,1163796,1794473,              ,              ,              ,2958269
891,3,5,2,5,1001,2,1,2,   ,1950,  ,4,3,         ,2,1,1,1,1,2,2,2,75,75,168,6,2,1,1,1,5,3,2,50,35,0,4,100,1511.3,1,6,1,1,2,2,2,395430,593836,              ,              ,              ,989266
892,3,5,2,5,3500,2,1,2,   ,1958,  ,4,3,         ,18,1,2,1,1,2,2,2,100,95,119,5,1,1,1,1,5,4,2,90,20,0,2,100,1423.83,2,6,1,1,2,2,2,41272,151366,              ,              ,              ,192638
893,3,5,2,4,70000,6,1,2,   ,1986,  ,7,3,         ,5,1,2,1,1,2,2,2,100,16,45,2,175,6,175,6,5,4,2,375,95,0,1,60,153.93,2,4,1,1,2,2,2,2350916,1203930,              ,              ,              ,3554846
894,3,5,2,3,80000,6,4, ,1,1972,  ,6,3,         ,2,1,1,1,1,2,2,1,100,100,168,6,300,7,300,7,5,6,2,217,93,0,3,100,10.69,2,17,1,2,1,2,1,14755593,              ,0,              ,12467000,27222593
895,2,3,2,2,25001,5,1,2,   ,1959,  ,4,3,         ,5,1,2,1,1,2,2,2,100,22,43,2,25,4,25,4,5,4,3,260,100,0,1,100,450.2,2,21,1,1,2,2,2,421143,1701349,              ,              ,              ,2122492
896,3,5,2,5,40000,5,2, ,0,1963,  ,5,3,         ,2,1,2,1,1,2,2,2,50,50,54,3,163,6,120,6,1,4,3,     ,     , ,5,50,10.87,2,1,1,2,2,2,2,941026,              ,              ,              ,              ,941026
897,2,4,2,2,160000,7,5, ,0,1924,  ,3,3,         ,18,1,2,1,1,1,2,2,100,60,168,6,47,4,47,4,5,4,3,     ,     , ,3,100,1.86,2,12,1,1,2,2,2,2888398,7928754,              ,              ,              ,10817152
898,3,5,2,3,1600000,10,9, ,2,1936,  ,3,3,         ,2,1,2,1,1,1,2,2,90,90,60,3,6500,11,6250,11,5,2,3,948,450,0,3,90,5.06,2,16,1,2,2,1,2,112130880,              ,              ,43085000,              ,155215880
899,3,5,1,3,5000,2,1,2,   ,1935,  ,3,3,         ,3,1,2,2,2,2,2,2,5,   ,40,2,4,1,4,1,5,4,3,     ,     , ,3,100,1880.68,1,3,1,2,2,2,2,11447,              ,              ,              ,              ,11447
900,3,7,1,5,1500,2,1,2,   ,1958,  ,4,3,         ,18,1,2,1,1,2,2,2,30,30,168,6,1,1,1,1,5,3,2,80,18,0,1,40,567.69,1,5,1,1,2,2,2,108826,152292,              ,              ,              ,261118
901,2,3,2,2,50001,6,5, ,1,1939,  ,3,3,         ,18,1,2,2,1,2,2,2,100,   ,168,6,5,2,5,2,5,4,3,     ,     , ,2,100,8.99,2,21,1,2,2,1,2,800865,              ,              ,4546000,              ,5346865
902,2,3,2,2,1500,2,1,2,   ,1978,  ,6,3,         ,3,1,2,1,2,2,2,2,100,33,53,3,4,1,4,1,5,4,2,110,55,1,1,40,415.45,2,17,1,1,2,2,2,70144,138915,              ,              ,              ,209059
903,1,2,2,2,140000,7,6, ,0,1984,  ,7,3,         ,2,1,2,1,1,2,2,1,100,85,56,3,500,8,500,8,4,6,2,250,100,0,3,100,12.03,1,15,1,1,2,2,2,8828714,3699975,              ,              ,              ,12528689
904,3,5,2,5,100000,6,1,2,   ,1964,  ,5,3,         ,5,2,2,2,2,2,2,2,   ,   ,168,6,12,3,12,3,6,5,2,640,150,1,1,100,150.01,1,1,1,2,2,2,2,10531169,              ,              ,              ,              ,10531169
905,3,7,2,5,5000,2,1,2,   ,1945,  ,3,3,         ,5,2,2,2,2,2,2,2,   ,   ,995,0,0,0,0,0,5,3,2,40,30,1,1,991,1543.02,1,12,1,2,2,2,2,7609,              ,              ,              ,              ,7609
906,4,9,2,4,20000,4,2, ,0,1969,  ,5,3,         ,13,1,2,2,1,2,2,2,100,   ,75,4,7,2,4,1,5,4,2,205,105,0,1,100,1.03,0,0,1,1,2,2,2,1530958,2969694,              ,              ,              ,4500652
907,3,5,2,5,9000,3,2, ,0,1972,  ,6,3,         ,3,1,2,1,1,2,2,2,100,75,66,4,4,1,4,1,5,4,2,62,114,0,1,100,218.62,1,6,1,2,2,2,2,442867,              ,              ,              ,              ,442867
908,3,7,2,4,40000,5,5, ,0,1985,  ,7,3,         ,2,1,2,1,1,2,2,2,100,100,60,3,25,4,20,4,5,3,1,150,150,0,1,100,11,1,15,1,1,2,2,2,430929,4651800,              ,              ,              ,5082729
909,3,6,2,4,2500,2,1,2,   ,1968,  ,5,3,         ,3,1,2,2,2,2,2,2,100,   ,49,3,3,1,3,1,3,5,2,48,40,0,1,100,2014.77,1,17,1,2,2,2,2,23608,              ,              ,              ,              ,23608
910,3,6,2,4,30000,5,2, ,0,1990,  ,9, ,         ,5,1,2,1,1,2,2,2,20,20,45,2,17,3,17,3,5,6,3,     ,     , ,2,100,276.76,1,7,1,1,2,2,2,678145,165360,              ,              ,              ,843505
911,3,5,1,3,2500,2,1,2,   ,1988,  ,8, ,         ,3,1,2,1,1,2,2,2,100,100,46,2,3,1,3,1,3,5,2,60,36,0,1,100,1914.28,1,3,1,2,2,2,2,61846,              ,              ,              ,              ,61846
912,2,3,1,1,40000,5,1,2,   ,1972,  ,6,3,         ,3,1,1,1,1,2,2,2,66,66,70,4,20,4,20,4,4,4,2,250,200,0,1,100,280.12,1,16,1,1,2,2,2,650986,635202,              ,              ,              ,1286188
913,4,9,2,4,5000,2,1,2,   ,1956,  ,4,3,         ,15,1,2,1,1,1,2,2,100,100,72,4,16,3,16,3,5,1,2,90,40,0,1,100,1338.72,2,11,1,1,2,2,2,813080,1316194,              ,              ,              ,2129274
914,2,3,2,2,70000,6,11, ,1,1942,  ,3,3,         ,1,2,2,2,2,2,2,2,   ,   ,   , ,     ,  ,     ,  ,5,7,2,100,70,0,2,991,150.1,1,21,4,2,2,2,2,              ,              ,              ,              ,              ,0
915,3,7,1,5,4000,2,1,2,   ,1958,  ,4,3,         ,13,1,2,1,1,2,2,2,20,20,35,1,1,1,1,1,5,4,2,130,30,0,1,20,1851.62,2,19,1,1,2,2,2,75204,59579,              ,              ,              ,134783
916,1,2,2,3,1500000,10,6, ,1,1964,  ,5,3,         ,4,1,1,1,1,1,2,2,100,90,168,6,19250,11,16750,11,1,6,2,1100,360,0,5,100,6.92,2,10,1,1,1,2,2,15437161,68786386,2902088,              ,              ,87125635
917,1,2,2,2,8000,3,3, ,1,1847,  ,1,3,         ,18,1,2,2,1,2,2,2,100,   ,168,6,12,3,12,3,5,2,3,     ,     , ,1,100,423.48,1,4,1,2,2,1,1,2958,              ,              ,151000,1547000,1700958
918,1,2,2,3,1000000,9,5, ,0,1990,  ,9, ,         ,20,2,2,1,2,2,2,2,   ,1,168,6,0,0,0,0,4,7,3,     ,     , ,1,100,5.34,2,5,1,2,2,2,2,31899000,              ,              ,              ,              ,31899000
919,3,5,1,3,4000,2,2, ,0,1982,  ,7,3,         ,17,1,2,2,1,2,2,2,100,   ,168,6,3,1,3,1,6,3,2,40,25,0,1,25,1724.46,1,3,1,2,2,2,2,117021,              ,              ,              ,              ,117021
920,3,7,2,5,2000,2,1,2,   ,1946,  ,4,3,         ,6,1,2,1,1,2,2,2,100,1,117,5,3,1,2,1,6,1,1,35,35,0,1,100,1423.83,1,12,1,2,2,2,2,574840,              ,              ,              ,              ,574840
921,3,5,2,3,70000,6,5, ,2,1900,  ,2,3,         ,1,1,2,1,1,1,2,2,100,3,168,6,18,3,18,3,5,2,3,200,55,0,4,0,295.28,2,13,1,1,2,2,2,127172,3031331,              ,              ,              ,3158503
922,1,1,2,2,180000,7,4, ,0,1915,  ,2,3,         ,14,1,2,1,1,1,2,2,100,1,45,2,160,6,160,6,5,4,3,220,75,0,3,100,292.29,1,14,1,1,1,2,2,2372080,188821,8176192,              ,              ,10737093
923,1,2,2,3,140000,7,4, ,1,1981,  ,7,3,         ,2,1,2,1,1,1,2,1,100,100,42,2,2200,9,2200,9,4,7,3,     ,     , ,2,100,12.03,2,8,1,2,1,2,2,30600618,              ,20249,              ,              ,30620867
924,2,3,2,1,3000,2,1,2,   ,1990,  ,9, ,         ,5,2,2,2,2,2,2,2,   ,   ,168,6,1,1,1,1,3,3,2,100,30,0,1,50,436.79,1,18,1,2,2,2,2,28995,              ,              ,              ,              ,28995
925,3,5,2,3,600000,9,9, ,2,1964,  ,5,3,         ,4,1,2,1,1,1,2,2,100,100,168,6,950,8,950,8,4,4,2,168,120,0,1,65,10.17,1,5,1,1,2,1,2,93151224,1313930,              ,95257000,              ,189722154
926,3,5,2,3,12500,4,1,2,   ,1942,  ,3,3,         ,4,1,2,1,1,2,1,2,100,100,48,2,31,4,31,4,5,4,3,     ,     , ,2,100,415.95,1,1,1,1,2,1,2,749057,139429,              ,809000,              ,1697486
927,3,6,1,3,5000,2,1,2,   ,1970,  ,6,3,         ,2,1,1,1,1,2,2,2,100,100,60,3,18,3,18,3,3,5,2,100,50,0,2,100,640.23,1,11,1,1,2,2,2,367148,71310,              ,              ,              ,438458
928,3,7,2,5,15000,4,1,2,   ,1949,  ,4,3,         ,5,1,2,1,2,2,1,2,100,90,45,2,3,1,3,1,5,6,2,250,83,0,1,90,150.01,2,10,1,1,2,2,2,758819,118438,              ,              ,              ,877257
929,3,5,2,5,180000,7,3, ,0,1977,  ,6,3,         ,13,1,2,1,1,1,2,1,10,80,168,6,200,6,200,6,5,7,3,     ,     , ,2,100,278.71,2,13,1,2,1,2,2,24039294,              ,22884,              ,              ,24062178
930,3,7,1,5,8000,3,1,2,   ,1935,  ,3,3,         ,5,1,2,2,1,2,2,2,100,   ,995,0,0,0,0,0,5,5,2,150,50,0,1,991,553.72,2,19,1,1,2,2,2,7691,7512,              ,              ,              ,15203
931,3,5,2,3,5000,2,3, ,1,1879,  ,1,3,         ,3,1,2,2,1,2,1,2,40,   ,49,3,2,1,2,1,5,4,3,     ,     , ,1,20,1813.56,2,11,1,1,1,2,2,19169,129242,28709,              ,              ,177120
932,2,3,2,2,3000,2,2, ,1,1950,  ,4,3,         ,2,1,2,1,1,2,2,2,100,100,54,3,8,2,8,2,6,3,2,36,22,0,2,100,1499.83,2,21,1,1,2,2,2,146044,177811,              ,              ,              ,323855
933,3,6,1,5,3000,2,1,2,   ,1900,  ,2,3,         ,1,2,2,2,2,2,2,2,   ,   ,   , ,     ,  ,     ,  ,6,3,2,125,24,0,2,991,1882.46,1,5,2,2,2,2,2,              ,              ,              ,              ,              ,0
934,3,5,2,3,45000,5,1,2,   ,1979,  ,6,1,3000,14,1,2,1,1,1,2,2,100,100,4,1,45,4,45,4,5,2,3,300,35,0,1,100,278.71,2,8,1,1,2,2,2,2029703,1401807,              ,              ,              ,3431510
935,4,9,2,4,30000,5,1,2,   ,1969,  ,5,3,         ,14,1,2,1,1,1,2,1,100,100,60,3,25,4,25,4,5,4,2,250,160,0,1,100,277.26,1,22,1,1,2,2,2,1304838,318784,              ,              ,              ,1623622
936,4,9,2,4,350000,8,1,2,   ,1962,  ,5,3,         ,5,1,2,1,1,2,1,2,78,3,106,5,15,3,15,3,4,4,2,840,380,0,1,75,21.39,2,19,1,1,2,2,2,7899415,1226053,              ,              ,              ,9125468
937,2,3,2,2,35000,5,3, ,1,1967,  ,5,3,         ,3,1,2,1,1,2,2,1,100,100,37,1,83,5,83,5,4,7,2,100,115,0,4,100,392.26,1,13,1,1,2,2,2,1732525,1132,              ,              ,              ,1733657
938,2,4,2,1,250000,8,3, ,1,1971,  ,6,3,         ,14,1,1,1,1,1,2,2,100,80,48,2,272,7,272,7,5,4,3,     ,     , ,2,90,20.39,1,19,1,1,1,2,2,5094781,8129820,0,              ,              ,13224601
939,1,2,2,3,15000,4,2, ,1,1931,  ,3,3,         ,14,1,2,2,1,1,2,2,100,   ,45,2,30,4,18,3,5,2,3,     ,     , ,2,100,275.92,2,17,1,2,1,2,2,389746,              ,999400,              ,              ,1389146
940,4,9,2,4,20000,4,1,2,   ,1985,  ,7,3,         ,5,1,2,1,1,2,2,2,10,10,50,3,13,3,13,3,5,4,1,190,190,0,3,100,222.14,2,1,1,1,2,2,2,135508,50318,              ,              ,              ,185826
941,3,6,2,4,1500,2,1,2,   ,1968,  ,5,3,         ,3,1,1,1,1,2,2,2,100,33,45,2,3,1,3,1,5,3,1,48,48,0,2,100,1426.16,2,7,1,1,2,2,2,3780,386904,              ,              ,              ,390684
942,3,7,2,5,1600000,10,14, ,2,1954,  ,4,3,         ,16,1,1,1,1,1,2,1,100,100,168,6,6250,11,3500,10,5,6,3,     ,     , ,3,100,10.24,1,20,1,1,1,2,2,183753338,149843494,907171,              ,              ,334504003
943,3,5,2,3,200000,7,994, ,4,1991,  ,9, ,         ,2,1,2,1,1,1,2,1,80,80,73,4,800,8,800,8,5,7,3,     ,     , ,3,100,1.42,1,3,1,1,1,2,2,13489857,748700,4170963,              ,              ,18409520
944,3,6,2,5,60000,6,1,2,   ,1985,  ,7,3,         ,16,1,1,1,1,1,2,1,100,100,168,6,225,6,130,6,5,6,3,295,190,0,3,100,138.47,2,17,1,1,1,2,2,9712640,11349973,55476,              ,              ,21118089
945,1,1,2,1,25001,5,1,2,   ,1972,  ,6,3,         ,5,1,1,1,1,2,1,2,50,15,52,3,10,3,10,3,3,5,3,     ,     , ,1,100,299.07,1,21,1,2,1,2,2,410491,              ,524205,              ,              ,934696
946,3,6,1,3,2500,2,1,2,   ,1968,  ,5,3,         ,12,1,2,1,2,2,2,2,100,100,5,1,6,2,6,2,6,5,3,     ,     , ,2,100,2015.22,1,11,1,2,2,2,2,24570,              ,              ,              ,              ,24570
947,3,5,2,4,10001,4,2, ,1,1950,  ,4,1,2000,16,1,2,1,1,2,2,2,100,100,168,6,30,4,30,4,5,3,2,100,50,0,1,100,1422.04,1,17,1,1,2,2,2,3940324,2793529,              ,              ,              ,6733853
948,3,6,2,4,180000,7,2, ,0,1977,  ,6,3,         ,16,1,2,1,1,1,2,1,100,100,168,6,320,7,200,6,5,4,3,     ,     , ,2,100,312.8,2,9,1,1,2,2,2,12055811,19105443,              ,              ,              ,31161254
949,1,2,2,3,20000,4,2, ,0,1985,  ,7,3,         ,18,1,2,2,1,2,2,2,100,   ,168,6,2,1,2,1,5,5,2,50,200,0,1,80,460.39,1,10,1,2,2,2,2,1491740,              ,              ,              ,              ,1491740
950,3,7,2,5,8000,3,1,2,   ,1950,  ,4,3,         ,5,1,2,1,1,2,2,2,12,12,60,3,16,3,16,3,3,5,2,100,50,0,1,100,1678.97,2,12,1,2,2,2,2,37515,              ,              ,              ,              ,37515
951,4,9,2,4,900000,9,3, ,1,1960,  ,5,3,         ,2,1,2,1,1,1,1,1,100,100,76,4,1200,9,1000,9,1,4,3,     ,     , ,4,90,1.29,2,22,1,1,1,2,2,110764090,51033872,101937,              ,              ,161899899
952,4,9,2,4,2000,2,1,2,   ,1979,  ,6,3,         ,2,1,2,1,2,2,2,2,100,100,45,2,5,2,5,2,6,4,2,40,20,0,2,100,1496.57,1,9,1,2,2,2,2,52589,              ,              ,              ,              ,52589
953,1,1,2,2,1500,2,1,2,   ,1962,  ,5,3,         ,1,1,2,2,1,2,2,2,100,   ,   , ,     ,  ,     ,  ,1,3,2,50,30,0,4,991,1580.41,1,20,1,2,1,2,2,7312,              ,93477,              ,              ,100789
954,2,3,1,1,8000,3,2, ,0,1948,  ,4,3,         ,3,1,2,2,1,2,2,2,100,   ,66,4,8,2,4,1,5,6,2,40,30,0,3,65,372.73,1,16,1,2,1,2,2,90121,              ,327586,              ,              ,417707
955,4,9,2,4,20000,4,3, ,1,1911,  ,2,3,         ,12,1,1,2,1,2,2,2,100,   ,9,1,68,5,27,4,6,2,3,170,140,0,2,95,435.97,1,4,1,1,2,2,2,66183,433929,              ,              ,              ,500112
956,3,7,2,4,500001,9,2, ,0,1915,  ,2,3,         ,1,1,2,1,1,1,2,2,25,33,35,1,50,5,50,5,5,3,3,     ,     , ,1,33,419.05,1,15,1,1,2,2,2,169914,472002,              ,              ,              ,641916
957,1,2,2,3,500001,9,4, ,1,1952,  ,4,3,         ,1,1,2,1,1,2,2,2,100,80,76,4,420,7,300,7,4,4,2,507,228,0,2,100,12.03,2,4,1,1,2,2,2,20451920,4902156,              ,              ,              ,25354076
958,3,6,2,4,80000,6,1,2,   ,1984,  ,7,3,         ,14,1,2,1,1,1,2,2,100,100,56,3,65,5,65,5,5,4,2,250,80,0,1,100,2.53,1,7,1,2,2,2,2,4331049,              ,              ,              ,              ,4331049
959,1,2,2,2,1001,2,4, ,1,1904,  ,2,3,         ,1,1,2,2,1,2,2,2,50,   ,42,2,0,0,0,0,6,3,2,150,50,0,2,30,1566.97,1,18,1,1,2,2,2,19128,165154,              ,              ,              ,184282
960,4,8,2,2,250000,8,4, ,0,1968,  ,5,3,         ,13,1,1,2,1,1,2,2,100,   ,102,5,155,6,155,6,5,4,2,600,420,0,1,50,3.38,1,19,1,1,2,2,1,11273214,5508751,              ,              ,39216000,55997965
961,1,2,2,2,2500,2,1,2,   ,1980,  ,7,3,         ,15,1,2,1,1,1,2,2,66,66,80,4,12,3,6,2,5,4,3,60,36,0,1,100,1550.55,1,18,1,1,2,2,2,309581,1068102,              ,              ,              ,1377683
962,4,9,1,5,5001,3,3, ,0,1927,  ,3,3,         ,2,1,2,1,1,2,2,2,80,100,62,4,3,1,3,1,5,4,2,100,44,0,4,100,1680.67,1,17,1,2,2,2,2,401603,              ,              ,              ,              ,401603
963,2,4,2,1,1500,2,1,2,   ,1959,  ,4,3,         ,3,1,2,1,2,2,2,2,6,100,45,2,2,1,2,1,5,4,1,40,40,0,1,50,1826.41,1,12,1,1,2,2,2,28999,13274,              ,              ,              ,42273
964,2,4,1,2,4000,2,2, ,1,1896,  ,1,3,         ,12,1,2,2,1,1,2,2,75,   ,3,1,16,3,10,3,6,3,2,75,45,0,3,50,2043.89,1,16,1,2,1,2,2,15334,              ,98886,              ,              ,114220
965,3,5,2,5,35000,5,3, ,0,1948,  ,4,3,         ,3,2,2,2,2,2,2,2,   ,   ,65,4,16,3,12,3,6,1,3,     ,     , ,1,100,204,1,13,1,2,2,2,2,927532,              ,              ,              ,              ,927532
966,3,6,1,4,400000,8,2, ,0,1969,  ,5,3,         ,13,1,2,1,1,2,2,2,100,100,54,3,18,3,18,3,13,6,2,448,278,0,1,100,21.01,2,11,1,2,2,2,2,3899220,              ,              ,              ,              ,3899220
967,3,7,2,4,250000,8,994, ,2,1930,  ,3,3,         ,1,2,2,2,2,2,2,2,   ,   ,   , ,     ,  ,     ,  ,5,4,1,132,132,0,3,991,150.01,1,15,2,2,2,2,2,              ,              ,              ,              ,              ,0
968,3,5,1,4,80000,6,1,2,   ,1965,  ,5,3,         ,14,1,1,1,1,1,2,2,100,15,35,1,56,5,50,5,5,5,2,1000,100,0,2,100,97.04,2,3,1,1,1,2,2,1038302,3821706,386945,              ,              ,5246953
969,2,3,2,2,22500,4,2, ,1,1900,  ,2,1,38000,11,1,2,1,1,2,2,2,2,25,55,3,20,4,20,4,5,6,1,144,144,0,1,100,415.45,1,15,1,1,2,2,2,1080611,315697,              ,              ,              ,1396308
970,4,9,2,4,450000,8,7, ,1,1990,  ,9, ,         ,20,2,2,1,2,2,2,2,   ,1,65,4,1,1,1,1,4,7,2,340,180,1,1,100,1.42,1,18,1,2,2,2,2,6079853,              ,              ,              ,              ,6079853
971,4,9,2,4,400000,8,2, ,0,1974,  ,6,3,         ,5,1,1,1,1,2,2,2,30,10,45,2,150,6,150,6,4,4,3,     ,     , ,1,100,148.07,1,19,1,1,2,2,2,2525542,93845,              ,              ,              ,2619387
972,1,1,2,2,9000,3,3, ,1,1940,  ,3,3,         ,2,1,2,1,1,2,2,2,100,70,43,2,15,3,15,3,5,4,2,112,42,0,3,100,1520.22,1,11,1,1,2,2,2,365261,1166063,              ,              ,              ,1531324
973,3,7,1,5,2500,2,1,2,   ,1950,  ,4,3,         ,1,2,2,2,2,2,2,2,   ,   ,   , ,     ,  ,     ,  ,5,4,2,100,25,0,1,991,2257.27,1,5,1,2,2,2,2,24406,              ,              ,              ,              ,24406
974,2,3,1,1,4500,2,4, ,1,1888,  ,1,3,         ,21,1,1,1,1,2,1,2,62,50,40,2,7,2,5,2,5,6,2,77,22,2,4,50,611.14,2,14,1,1,2,2,2,93144,149308,              ,              ,              ,242452
975,4,9,2,4,25001,5,1,2,   ,1969,  ,5,1,300,2,1,2,1,1,1,2,2,100,100,62,4,65,5,65,5,5,3,3,     ,     , ,2,100,296.15,2,22,1,1,2,2,2,841648,1280693,              ,              ,              ,2122341
976,1,2,1,2,1500,2,2, ,0,1897,  ,1,3,         ,5,2,2,2,2,2,2,2,   ,   ,168,6,0,0,0,0,6,4,2,40,35,0,1,1,2243.82,2,8,1,2,2,2,2,12191,              ,              ,              ,              ,12191
977,2,4,1,2,30000,5,4, ,2,1902,  ,2,3,         ,14,1,1,1,1,2,2,2,100,1,45,2,32,4,32,4,5,2,2,262,140,0,3,100,524.85,2,2,1,1,1,2,2,262547,2524960,0,              ,              ,2787507
978,3,7,2,5,2500,2,1,2,   ,1925,  ,3,3,         ,3,1,1,1,2,2,2,2,100,100,52,3,6,2,3,1,5,4,2,140,60,2,1,100,1711.39,2,16,1,1,2,2,2,36331,27063,              ,              ,              ,63394
979,3,5,2,3,450000,8,994, ,4,1989,  ,8, ,         ,2,1,2,1,1,1,2,1,95,100,67,4,1800,9,1800,9,5,6,3,     ,     , ,4,100,1.07,0,0,1,1,1,2,2,34309346,846970,717582,              ,              ,35873898
980,3,6,1,4,3000,2,1,2,   ,1961,  ,5,3,         ,2,1,2,1,1,2,2,2,100,100,77,4,14,3,14,3,5,4,2,50,150,0,1,100,1684.34,2,11,1,1,2,2,2,78094,62152,              ,              ,              ,140246
981,2,4,1,1,9000,3,3, ,1,1939,  ,3,3,         ,2,1,2,1,1,2,2,2,85,30,45,2,9,2,5,2,5,6,2,100,45,0,1,60,2710.49,2,8,1,2,1,2,2,85027,              ,863900,              ,              ,948927
982,1,2,2,2,250000,8,13, ,1,1991,  ,9, ,         ,2,1,1,1,1,1,2,1,90,90,59,3,600,8,600,8,4,6,2,260,100,0,3,100,1.99,2,4,1,1,2,2,2,15274780,5822596,              ,              ,              ,21097376
983,2,3,1,3,120000,7,1,2,   ,1990,  ,9, ,         ,14,1,2,1,1,1,2,2,100,100,50,3,106,6,101,6,5,6,3,     ,     , ,2,100,369.63,1,2,1,1,2,2,2,3374393,2366906,              ,              ,              ,5741299
984,2,3,1,3,12500,4,3, ,1,1882,  ,1,3,         ,3,1,2,1,1,2,2,2,58,88,54,3,3,1,3,1,5,6,2,132,66,0,1,65,728.99,2,2,1,1,2,2,2,141161,337615,              ,              ,              ,478776
985,4,9,2,4,4000,2,1,2,   ,1972,  ,6,3,         ,3,1,2,1,1,2,2,2,12,12,20,1,5,2,4,1,3,5,2,80,50,0,1,100,1.42,2,13,1,1,2,2,2,103233,179046,              ,              ,              ,282279
986,2,3,1,3,3500,2,1,2,   ,1952,  ,4,3,         ,5,2,2,2,2,2,2,2,   ,   ,80,4,0,0,0,0,3,5,2,96,36,0,1,0,1837.42,2,21,1,2,2,2,2,2334,              ,              ,              ,              ,2334
987,3,5,2,3,40000,5,1,2,   ,1978,  ,6,3,         ,5,1,2,1,1,2,2,2,5,5,50,3,10,3,10,3,4,4,3,     ,     , ,1,100,225.04,2,11,1,2,2,2,2,225219,              ,              ,              ,              ,225219
988,3,6,2,5,8000,3,2, ,0,1978,  ,6,1,3000,5,1,1,1,1,2,2,2,30,30,50,3,8,2,8,2,3,5,1,100,100,0,2,100,489.1,2,17,1,1,2,2,2,285977,107736,              ,              ,              ,393713
989,3,5,2,5,60000,6,2, ,0,1958,  ,4,3,         ,21,2,2,1,1,2,2,2,   ,40,0,0,70,4,35,4,5,4,2,100,75,0,1,991,402.71,2,13,1,2,2,2,2,1367530,              ,              ,              ,              ,1367530
990,3,5,2,5,12500,4,2, ,0,1920,  ,3,3,         ,1,1,2,1,1,2,2,2,25,100,   , ,     ,  ,     ,  ,6,5,2,150,75,0,1,991,225.04,1,6,1,2,2,2,2,70420,              ,              ,              ,              ,70420
991,4,9,2,4,8000,3,3, ,1,1917,  ,2,3,         ,14,1,2,2,2,2,2,2,85,   ,45,2,12,3,12,3,6,3,3,     ,     , ,1,90,1.06,0,0,1,1,2,2,2,81799,180589,              ,              ,              ,262388
992,2,4,1,2,2500,2,1,2,   ,1980,  ,7,3,         ,2,1,2,1,1,2,2,2,100,100,45,2,10,3,10,3,3,5,2,80,30,0,1,100,2043.89,2,16,1,1,2,2,2,68240,98167,              ,              ,              ,166407
993,4,9,2,4,100001,7,5, ,0,1988,  ,8, ,         ,8,1,2,1,1,2,2,1,100,100,95,5,175,6,175,6,5,4,2,200,80,0,2,90,327.27,2,20,1,1,1,2,2,1549403,4066608,279738,              ,              ,5895749
994,2,3,2,2,9000,3,3, ,1,1941,  ,3,3,         ,4,1,2,1,1,2,2,2,100,100,40,2,4,1,4,1,5,3,3,     ,     , ,2,100,10.56,2,16,1,2,2,1,1,198787,              ,              ,1506000,562000,2266787
995,2,4,2,3,450000,8,7, ,1,1976,  ,6,3,         ,16,1,2,1,1,1,2,2,100,100,168,6,1200,9,1200,9,4,4,3,     ,     , ,3,100,10.56,1,8,1,1,2,1,2,41684807,78209454,              ,58327000,              ,178221261
