BLDGID4,REGION4,CENDIV4,MSA4,CLIMATE4,SQFT4,SQFTC4,PBA4,HT14,HT24,COOL4,WATR4,COOK4,MANU4,GENR4,HEATP4,COOLP4,WKHRS4,WKHRSC4,NWKER4,NWKERC4,YRCON4,YRCONC4,NFLOOR4,LTOHRP4,ADJWT4,STRATUM4,PAIR4,ELSUPL4,NGSUPL4,FKSUPL4,STSUPL4,HWSUPL4,ELBTU4,NGBTU4,FKBTU4,STBTU4,HWBTU4,MFBTU4
1599,3,6,2,4,50001,6,2,1,1,1,1,2,1,2,100,100,55,3,150,6,1980,7,1,100,6.25,10,2,1,1,2,2,2,6484698,172147,0,0,0,6656845
1600,3,7,2,5,5000,2,2,1,2,1,1,2,2,2,80,80,93,5,10,3,1985,8,1,100,1597.65,10,1,1,2,2,2,2,291639,0,0,0,0,291639
1601,3,5,1,4,35000,5,1,2,2,2,2,2,2,2,0,0,0,,0,,1950,4,2,997,314.04,6,2,3,2,2,2,2,0,0,0,0,0,0
1602,3,7,2,5,15000,4,13,1,2,1,1,1,2,2,100,100,48,2,23,4,1982,7,2,95,496.13,13,1,1,2,2,2,2,511642,0,0,0,0,511642
1603,1,2,2,3,30000,5,13,1,2,1,1,2,2,2,100,100,80,4,50,5,1972,6,3,98,306.28,6,2,1,2,2,2,2,3557733,0,0,0,0,3557733
1604,1,2,2,3,120000,7,13,1,2,1,1,1,2,2,100,30,58,3,124,6,1979,6,2,100,306.28,16,2,1,2,1,2,2,2905284,0,8208278,0,0,11113562
1605,2,4,2,2,140000,7,2,1,2,1,1,2,2,2,100,100,69,4,700,8,1977,6,4,100,229.73,6,2,1,1,2,2,2,8919179,3294349,0,0,0,12213528
1606,3,5,2,5,10001,4,3,1,1,1,1,2,2,2,50,50,45,2,10,3,1973,6,1,90,597.74,8,1,1,1,2,2,2,473757,80269,0,0,0,554026
1607,3,5,2,4,40000,5,13,1,2,1,1,2,2,2,100,20,45,2,21,4,1937,3,2,45,496.13,16,2,1,2,1,2,2,127302,0,841848,0,0,969150
1608,2,4,2,3,15000,4,20,1,2,2,1,2,2,2,100,0,42,2,8,2,1913,2,2,100,157.88,2,1,1,1,2,2,2,799129,38648,0,0,0,837777
1609,1,2,2,3,180000,7,2,1,2,1,1,1,2,2,100,100,40,2,230,6,1971,6,13,100,327.35,14,1,1,2,2,1,2,5508223,0,0,10523333,0,16031556
1610,4,8,2,2,1500,2,2,1,2,1,1,2,2,2,100,50,48,2,2,1,1979,6,2,50,1509.24,15,2,1,1,2,2,2,57042,103774,0,0,0,160816
1611,4,9,2,4,2000,2,2,2,2,1,1,2,2,2,0,15,52,3,6,2,1975,6,1,75,1735.25,19,1,1,2,2,2,2,25384,0,0,0,0,25384
1612,2,3,1,2,22500,4,13,1,1,2,1,2,2,2,100,0,55,3,34,4,1962,5,1,100,412.5,8,1,1,1,2,2,2,477900,2366430,0,0,0,2844330
1613,3,5,2,3,120000,7,2,1,2,1,1,1,2,2,100,100,50,3,230,6,1954,4,14,100,239.78,6,2,1,1,2,2,2,9432768,3595439,0,0,0,13028207
1614,1,2,2,2,100001,7,13,1,2,2,1,1,2,2,100,0,43,2,50,5,1972,6,3,60,306.28,20,1,1,1,2,2,2,1236701,5108908,0,0,0,6345609
1615,3,6,1,4,2000,2,3,1,1,2,2,2,2,2,100,0,18,1,1,1,1978,6,1,50,1932.25,18,2,1,2,2,2,2,1945,0,0,0,0,1945
1616,2,3,2,1,12500,4,2,1,2,1,2,2,2,2,100,100,45,2,100,6,1968,5,3,100,513.05,17,1,1,1,2,2,2,1120768,712059,0,0,0,1832827
1617,3,5,2,3,450000,8,12,1,2,1,1,1,2,2,100,100,45,2,650,8,1989,9,2,100,10.09,6,1,1,2,2,2,2,28008411,0,0,0,0,28008411
1618,4,9,2,4,1001,2,12,2,2,2,2,2,2,2,0,0,168,7,0,0,1946,4,1,0,1735.25,7,2,2,2,2,2,2,0,0,0,0,0,0
1619,4,9,2,4,60000,6,2,1,2,1,1,2,2,2,100,100,53,3,30,4,1982,7,3,25,256.39,19,2,1,1,2,2,2,2064077,827082,0,0,0,2891159
1620,3,7,2,5,17500,4,12,1,2,1,1,2,2,2,100,100,55,3,45,4,1978,6,1,100,470.24,4,2,1,2,2,2,2,663578,0,0,0,0,663578
1621,2,3,2,2,1500000,10,2,1,2,1,1,1,2,1,100,90,55,3,6250,11,1982,7,995,100,6.25,2,2,1,1,1,2,2,51213004,1923534,48542,0,0,53185080
1622,3,7,2,4,250000,8,13,1,2,1,1,1,2,2,100,100,88,5,100,6,1966,5,6,90,20.14,3,1,1,2,2,2,2,11464320,0,0,0,0,11464320
1623,2,3,2,2,3000,2,12,1,2,2,1,2,2,2,100,0,30,1,0,0,1959,4,1,100,10.74,9,1,1,1,2,2,2,328834,361097,0,0,0,689931
1624,1,2,2,3,30000,5,19,1,1,1,1,2,1,2,60,16,64,4,40,4,1950,4,3,60,1627.29,11,1,1,1,1,2,2,342410,979020,5430468,0,0,6751898
1625,3,5,2,5,60000,6,3,1,2,1,1,2,2,1,100,100,84,4,83,5,1971,6,1,100,10.39,14,2,1,2,2,2,2,12803359,0,0,0,0,12803359
1626,3,7,2,5,2000,2,4,1,1,2,2,2,2,2,25,0,4,1,1,1,1870,1,1,50,1472.34,13,1,1,2,2,2,2,47822,0,0,0,0,47822
1627,4,8,2,2,1000000,9,3,1,1,1,1,1,2,1,100,80,68,4,2300,9,1984,8,3,100,10.27,19,1,1,1,1,2,2,58589400,35973796,134787,0,0,94697983
1628,2,3,2,2,30000,5,3,1,1,1,1,2,2,2,100,50,110,5,7,2,1977,6,2,80,263.93,15,1,1,1,2,2,2,1325047,574749,0,0,0,1899796
1629,2,3,2,2,400000,8,2,1,2,1,1,1,2,2,100,100,56,3,1500,9,1979,6,994,100,21.48,19,2,1,1,2,2,2,34762646,10334703,0,0,0,45097349
1630,1,2,2,2,1500,2,3,1,2,1,1,2,2,2,100,10,66,4,3,1,1925,3,3,40,1638.2,1,1,1,2,1,2,2,24553,0,159682,0,0,184235
1631,2,4,1,3,5000,2,4,1,2,1,1,2,2,2,100,100,2,1,1,1,1979,6,2,100,1991.37,18,1,1,2,2,2,2,87106,0,0,0,0,87106
1632,1,1,2,2,10001,4,17,1,2,2,1,2,2,2,100,0,168,7,5,2,1924,3,4,100,1.04,,0,1,2,2,1,2,102647,0,0,604613,0,707260
1633,3,6,1,3,50000,5,12,1,2,2,2,2,2,2,1,0,40,2,12,3,1976,6,1,100,314.04,11,1,1,2,2,2,2,2757931,0,0,0,0,2757931
1634,1,2,2,2,1500,2,12,1,2,1,1,1,1,2,100,41,45,2,6,2,1973,6,1,100,1638.2,20,1,1,1,2,2,2,53905,152871,0,0,0,206776
1635,4,9,2,4,9000,3,17,1,2,1,1,2,2,2,100,100,168,7,4,1,1983,7,2,100,362.37,15,1,1,1,2,2,2,511561,955426,0,0,0,1466987
1636,2,4,2,1,2000,2,2,1,2,1,1,1,2,2,100,100,62,4,8,2,1923,3,2,50,1508.84,6,1,1,2,2,2,2,174036,0,0,0,0,174036
1637,4,9,2,5,2000,2,2,1,2,1,1,2,2,2,100,100,45,2,2,1,1956,4,1,50,2004.53,12,2,1,1,2,2,2,14462,23350,0,0,0,37812
1638,2,3,2,3,120000,7,13,1,2,1,1,1,2,2,100,10,58,3,70,5,1934,3,3,90,509.17,14,1,1,1,2,2,2,874622,2163783,0,0,0,3038405
1639,3,7,2,4,2000,2,12,2,2,2,2,2,2,2,0,0,0,0,0,0,1973,6,1,100,1859.44,3,1,1,2,2,2,2,5422,0,0,0,0,5422
1640,3,5,2,5,8000,3,4,1,2,1,1,1,2,2,100,75,15,1,3,1,1970,6,1,100,1595.2,8,1,1,2,2,2,2,121543,0,0,0,0,121543
1641,3,5,2,4,12500,4,4,1,2,1,2,2,2,2,100,100,80,4,6,2,1982,7,2,100,496.13,4,2,1,1,2,2,2,619919,608174,0,0,0,1228093
1642,1,2,2,2,450000,8,2,1,2,1,1,2,2,2,100,100,54,3,800,8,1929,3,995,90,10.28,4,1,1,2,2,1,2,32564128,0,0,10929350,0,43493478
1643,2,4,2,1,10000,3,12,1,2,1,1,2,1,2,70,25,73,4,8,2,1920,3,3,70,610.82,20,1,1,1,2,2,2,84829,877347,0,0,0,962176
1644,4,9,1,5,7000,3,13,2,2,2,2,2,2,2,0,0,45,2,15,3,1957,4,1,100,306.28,16,1,1,2,2,2,2,76828,0,0,0,0,76828
1645,2,3,2,2,2500,2,12,1,2,2,2,2,2,2,25,0,43,2,0,0,1980,7,1,0,1583.83,17,1,1,1,2,2,2,13965,153936,0,0,0,167901
1646,4,8,1,4,4500,2,3,1,2,2,2,2,2,2,75,0,71,4,3,1,1981,7,1,50,2429.36,2,2,1,1,2,2,2,64742,297419,0,0,0,362161
1647,3,7,1,5,5000,2,4,1,2,1,1,1,2,2,50,50,11,1,0,0,1940,3,1,50,2170.72,20,2,1,1,2,2,2,4113,17278,0,0,0,21391
1648,3,5,2,4,40000,5,17,1,1,1,1,2,2,2,98,98,168,7,8,2,1979,6,4,75,306.28,16,2,1,1,1,2,2,797864,1770577,0,0,0,2568441
1649,4,9,2,4,3000,2,14,1,2,1,1,1,2,2,100,75,101,5,4,1,1979,6,1,33,1509.24,7,2,1,1,2,2,2,333584,875473,0,0,0,1209057
1650,3,6,2,5,2000,2,4,1,2,1,1,2,2,2,100,100,40,2,6,2,1980,7,1,100,1859.44,3,2,1,2,2,2,2,21132,0,0,0,0,21132
1651,1,2,2,3,800000,9,2,1,1,1,1,2,2,2,100,85,61,4,3500,10,1927,3,14,100,10.28,2,1,1,1,1,2,2,20302605,20647364,8212528,0,0,49162497
1652,3,7,2,4,350000,8,17,1,2,1,1,2,2,2,90,90,168,7,300,7,1966,5,3,80,72,3,1,1,1,2,2,2,3840659,19443401,0,0,0,23284060
1653,3,7,2,4,1500,2,2,1,2,1,1,2,2,2,100,100,45,2,8,2,1987,9,1,100,1597.64,3,2,1,1,2,2,2,40054,97910,0,0,0,137964
1654,4,9,2,4,3000,2,3,2,2,2,1,2,2,2,0,0,68,4,4,1,1968,5,1,33,2004.53,14,1,1,2,2,2,2,35973,0,0,0,0,35973
1655,3,6,2,4,40000,5,4,1,2,1,1,1,2,2,80,80,70,4,10,3,1958,4,2,100,498.98,1,2,1,1,2,2,2,183237,1097473,0,0,0,1280710
1656,2,4,2,3,180000,7,19,2,2,2,2,2,2,2,0,0,168,7,1,1,1980,7,2,50,10.04,19,1,1,2,2,2,2,11041148,0,0,0,0,11041148
1657,2,3,2,2,5000,2,3,1,2,1,1,1,2,2,100,50,96,5,2,1,1899,1,2,50,509.17,19,1,1,1,2,2,2,216495,288211,0,0,0,504706
1658,3,5,2,4,1500,2,2,1,2,1,2,2,2,2,100,100,35,1,2,1,1940,3,1,100,1472.34,1,2,1,1,2,2,2,43039,143770,0,0,0,186809
1659,2,3,2,2,2000,2,3,1,1,1,1,2,2,2,100,100,58,3,2,1,1918,2,2,100,1508.84,12,1,1,1,2,2,2,116852,315532,0,0,0,432384
1660,1,2,2,3,300000,8,2,1,2,1,1,1,2,1,100,85,55,3,1200,9,1952,4,12,100,20.83,14,1,1,1,2,1,2,79248086,4627,0,7124788,0,86377501
1661,4,9,2,4,100001,7,15,1,1,1,1,1,1,1,100,100,168,7,250,7,1978,6,4,100,306.28,12,2,1,1,1,2,2,12216440,15540411,325163,0,0,28082014
1662,4,8,2,5,8000,3,17,1,2,1,1,1,2,2,100,25,168,7,2,1,1932,3,1,75,1509.24,7,2,1,1,2,2,2,76118,80551,0,0,0,156669
1663,1,2,2,3,3000,2,3,1,2,1,1,2,1,2,100,33,40,2,1,1,1942,3,3,100,2039.07,18,1,1,1,2,2,2,44573,368478,0,0,0,413051
1664,2,3,2,2,17500,4,3,1,1,1,1,2,2,2,70,30,59,3,10,3,1972,6,1,100,610.82,14,1,1,1,2,2,2,757271,1280920,0,0,0,2038191
1665,3,5,1,4,1500,2,3,1,1,1,2,2,2,2,100,24,54,3,2,1,1965,5,1,100,2170.72,6,2,1,2,2,2,2,23944,0,0,0,0,23944
1666,3,7,2,5,70000,6,3,1,2,1,1,1,2,2,75,75,168,7,100,6,1981,7,2,70,358.11,11,2,1,1,2,2,2,9932362,558781,0,0,0,10491143
1667,1,2,2,3,20000,4,4,1,2,1,1,2,2,2,100,5,70,4,10,3,1901,2,3,50,1.07,,0,1,2,2,1,2,408197,0,0,2380184,0,2788381
1668,4,8,2,5,30000,5,1,1,2,1,1,2,2,2,15,15,45,2,40,4,1983,7,2,100,163.32,3,2,1,2,2,2,2,94632,0,0,0,0,94632
1669,3,7,2,5,2000,2,3,1,2,1,2,2,2,2,100,100,48,2,3,1,1951,4,1,15,1895.05,10,2,1,1,2,2,2,22991,98022,0,0,0,121013
1670,4,9,2,4,5000,2,3,2,2,2,1,2,2,2,0,0,58,3,4,1,1968,5,1,70,657.7,20,2,1,2,2,2,2,76760,0,0,0,0,76760
1671,1,2,2,3,2500,2,1,1,2,1,1,2,2,2,100,90,87,5,24,4,1940,3,3,95,490.89,7,1,1,1,2,2,2,206013,1201120,0,0,0,1407133
1672,3,6,2,4,60000,6,2,1,1,1,1,2,2,2,100,100,50,3,340,7,1986,8,3,100,312.96,10,2,1,1,2,2,2,4829770,136047,0,0,0,4965817
1673,3,5,2,3,12500,4,2,1,2,1,1,2,2,2,50,100,48,2,15,3,1980,7,2,50,1597.65,17,1,1,2,2,2,2,455122,0,0,0,0,455122
1674,3,7,2,5,2000,2,17,1,2,1,1,2,2,2,100,100,168,7,3,1,1937,3,1,50,321.32,10,1,1,1,2,2,2,119019,37559,0,0,0,156578
1675,3,7,2,4,1500,2,1,1,2,1,1,2,2,2,100,100,54,3,1,1,1976,6,1,100,1377.41,3,1,1,2,2,2,2,4623,0,0,0,0,4623
1676,1,2,2,2,3000,2,2,1,2,1,1,2,2,2,100,100,68,4,7,2,1978,6,2,95,1627.29,1,1,1,2,2,2,2,111313,0,0,0,0,111313
1677,3,7,2,5,200001,8,4,1,2,1,1,1,2,2,100,100,114,5,40,4,1968,5,1,33,22.3,5,2,1,1,2,2,2,23018880,9895694,0,0,0,32914574
1678,3,5,1,3,1001,2,4,1,1,1,2,2,2,2,100,100,10,1,1,1,1942,3,1,100,2170.72,2,2,1,2,1,2,2,10570,0,59584,0,0,70154
1679,4,9,2,4,250000,8,2,1,2,1,1,2,2,1,70,70,55,3,800,8,1986,8,994,70,20.41,10,2,1,1,1,2,2,14347840,1676409,166929,0,0,16191178
1680,2,3,1,1,15000,4,3,1,2,2,1,2,1,2,50,0,52,3,8,2,1987,9,1,75,389.8,6,1,1,1,2,2,2,385906,112370,0,0,0,498276
1681,3,5,2,3,250000,8,2,1,1,1,1,2,2,2,100,100,48,2,1200,9,1890,1,4,60,1.04,,0,1,1,1,2,2,8823319,1965821,90596,0,0,10879736
1682,2,3,2,2,900000,9,2,1,2,1,1,1,1,1,100,100,90,5,3000,10,1954,4,4,100,12.49,10,1,1,1,1,1,2,109991399,1829364,0,80696934,0,192517697
1683,1,2,2,3,4500,2,14,1,1,1,1,1,2,2,75,90,109,5,7,2,1984,8,1,100,476.91,16,1,1,1,1,2,2,416053,697827,511211,0,0,1625091
1684,2,3,2,1,20000,4,3,1,2,1,1,2,2,2,100,75,83,4,5,2,1950,4,1,100,487.36,17,2,1,1,2,2,2,113401,254472,0,0,0,367873
1685,3,7,2,4,1300000,10,2,1,2,1,1,2,2,2,100,100,61,4,3500,10,1976,6,995,100,5.74,3,1,1,2,2,1,2,46995479,0,0,44884044,0,91879523
1686,3,5,2,4,250000,8,17,1,1,1,1,1,2,2,80,80,168,7,165,6,1963,5,8,100,22.79,16,2,1,2,2,2,2,281998,0,0,0,0,281998
1687,1,2,2,2,3000,2,2,1,2,1,1,2,2,2,100,100,54,3,6,2,1988,9,2,100,1627.29,1,1,1,2,1,2,2,349781,0,116500,0,0,466281
1688,4,8,2,5,5000,2,1,2,2,2,2,2,2,2,0,0,0,,0,,1969,5,1,997,1654.84,9,1,2,2,2,2,2,0,0,0,0,0,0
1689,2,4,2,3,80000,6,13,1,2,1,1,2,2,2,100,100,48,2,54,5,1958,4,3,100,9.52,17,2,1,1,2,1,2,1325296,216148,0,3554000,0,5095444
1690,2,3,2,2,1001,2,4,1,2,2,2,1,2,2,100,0,54,3,16,3,1957,4,1,100,1508.84,19,1,1,2,2,2,2,5055,0,0,0,0,5055
1691,2,3,2,1,1500,2,3,1,2,2,1,2,2,2,100,0,45,2,3,1,1952,4,1,100,1636.49,17,2,1,1,2,2,2,24246,310318,0,0,0,334564
1692,3,5,2,4,8000,3,2,1,2,1,2,2,2,2,40,40,56,3,5,2,1985,8,2,100,1895.05,4,2,1,2,2,2,2,219534,0,0,0,0,219534
1693,4,8,2,5,50000,5,4,1,2,1,2,2,2,1,100,100,112,5,50,5,1970,6,1,100,163.32,7,2,1,1,2,2,2,5467353,4859281,0,0,0,10326634
1694,3,7,2,4,3500,2,3,1,2,1,1,2,2,2,100,100,50,3,4,1,1982,7,1,100,1895.05,3,2,1,1,2,2,2,64344,310076,0,0,0,374420
1695,3,5,2,5,90000,6,13,1,2,1,1,1,2,2,100,100,45,2,52,5,1963,5,1,100,320.87,8,1,1,1,2,2,2,2976821,3621058,0,0,0,6597879
1696,2,3,1,3,10001,4,2,1,2,1,1,2,2,2,100,100,50,3,35,4,1989,9,1,95,299.15,9,2,1,1,2,2,2,653129,762532,0,0,0,1415661
1697,2,3,2,2,4000,2,12,2,2,2,2,2,2,2,0,0,59,3,2,1,1968,5,1,10,1636.49,19,1,1,2,2,2,2,4472,0,0,0,0,4472
1698,4,9,2,3,35000,5,4,1,2,2,1,1,2,2,100,0,45,2,5,2,1902,2,3,25,502.74,7,1,1,2,1,2,2,503313,0,1445427,0,0,1948740
1699,3,7,2,5,12500,4,5,1,2,1,1,1,2,2,100,100,100,5,14,3,1985,8,1,100,1859.44,10,1,1,1,2,2,2,1670493,23788,0,0,0,1694281
1700,2,3,1,1,4500,2,3,1,2,1,1,2,2,2,100,33,57,3,6,2,1946,4,3,38,682.05,6,1,1,1,2,2,2,82030,242515,0,0,0,324545
1701,1,2,2,3,35000,5,1,1,2,2,1,2,2,2,100,0,45,2,150,6,1959,4,7,100,469.94,14,1,1,3,2,1,2,124693,0,0,348626,0,473319
1702,3,7,1,5,22500,4,17,1,2,1,1,1,2,2,46,72,168,7,13,3,1982,7,2,59,428.42,20,2,1,1,2,2,2,577662,617402,0,0,0,1195064
1703,3,5,2,3,40000,5,13,1,2,1,1,1,2,2,100,25,58,3,45,4,1966,5,1,100,496.13,17,1,1,1,1,2,2,1303665,212135,3584798,0,0,5100598
1704,1,2,2,3,12500,4,3,1,1,1,1,2,1,2,100,50,58,3,8,2,1945,3,1,100,1468.67,14,1,1,1,1,2,2,200196,137933,1800166,0,0,2138295
1705,3,7,2,4,1500,2,1,2,2,2,2,2,2,2,0,0,0,,0,,1987,9,1,997,1597.64,3,2,2,2,2,2,2,0,0,0,0,0,0
1706,3,5,2,3,50000,5,2,1,2,1,1,2,2,2,100,100,64,4,150,6,1985,8,3,80,10.39,5,1,1,2,2,2,2,4196501,0,0,0,0,4196501
1707,3,6,2,4,17500,4,3,1,2,1,1,2,2,2,15,20,53,3,10,3,1960,5,1,100,1895.05,1,2,1,1,2,2,2,157169,236009,0,0,0,393178
1708,2,3,2,2,20000,4,3,1,2,1,1,2,2,2,100,33,57,3,42,4,1966,5,2,100,1904.68,14,2,1,1,2,2,2,1113899,2641361,0,0,0,3755260
1709,1,1,2,1,250000,8,3,1,1,1,1,1,2,2,100,100,69,4,125,6,1970,6,1,100,20.83,12,2,1,2,1,2,2,8649451,0,3219122,0,0,11868573
1710,3,5,1,3,2500,2,3,1,1,1,1,2,2,2,15,12,72,4,2,1,1987,9,1,100,2124.65,2,2,1,2,1,2,2,89571,0,0,0,0,89571
1711,4,9,2,1,30000,5,2,1,2,1,1,2,2,2,95,100,43,2,70,5,1950,4,2,95,460.95,15,1,1,2,2,2,2,1054225,0,0,0,0,1054225
1712,2,4,2,1,250000,8,17,1,1,1,1,1,2,1,100,100,130,5,120,6,1975,6,3,60,21.19,18,2,1,1,1,2,2,13480728,25010087,1061117,0,0,39551932
1713,4,9,2,4,200001,8,19,2,2,2,2,2,2,2,0,0,55,3,0,0,1987,9,9,20,20.41,2,2,1,2,2,2,2,4778909,0,0,0,0,4778909
1714,4,9,2,4,15000,4,12,1,2,1,1,2,1,2,100,10,43,2,15,3,1968,5,1,80,163.32,13,1,1,1,2,2,2,209214,395982,0,0,0,605196
1715,4,9,2,4,2000,2,13,1,2,2,1,2,2,2,100,0,45,2,6,2,1983,7,1,100,1509.24,7,1,1,2,2,2,2,69144,0,0,0,0,69144
1716,1,2,1,2,35000,5,2,1,2,1,1,2,2,2,100,75,60,3,10,3,1927,3,4,99,626.57,16,1,1,2,1,2,2,529450,0,2331324,0,0,2860774
1717,4,8,2,2,4000,2,4,1,2,2,1,2,2,2,100,0,18,1,0,0,1972,6,1,100,1654.84,19,1,1,2,2,2,2,311616,0,0,0,0,311616
1718,3,6,1,3,30000,5,2,1,2,1,1,2,2,2,100,100,168,7,70,5,1984,8,1,100,626.97,18,1,1,1,2,2,2,21370004,218235,0,0,0,21588239
1719,2,3,2,3,50000,5,13,1,2,1,1,1,2,2,90,1,35,1,22,4,1976,6,1,90,306.28,10,2,1,1,1,2,2,1172854,603587,2747582,0,0,4524023
1720,2,3,2,2,25000,4,4,1,2,1,1,1,2,2,100,5,50,3,7,2,1955,4,3,13,263.93,19,2,1,1,2,2,2,253347,1982540,0,0,0,2235887
1721,3,5,2,4,90000,6,12,1,2,1,2,2,2,2,100,25,57,3,50,5,1986,8,2,100,1.04,,0,1,1,2,2,2,2532647,675812,0,0,0,3208459
1722,1,2,2,2,60000,6,2,1,2,1,1,1,2,2,100,10,97,5,120,6,1899,1,4,100,306.28,1,1,1,2,2,1,2,1529467,0,0,9384222,0,10913689
1723,1,1,2,2,1500,2,4,1,2,1,1,1,2,2,100,50,83,4,1,1,1939,3,2,50,1638.2,11,1,1,1,2,2,2,139923,355858,0,0,0,495781
1724,4,9,2,4,70000,6,2,1,1,1,1,2,2,1,100,100,45,2,100,6,1978,6,3,100,10.27,7,2,1,1,1,2,2,17472004,13117173,0,0,0,30589177
1725,1,2,1,2,3500,2,4,1,2,1,2,2,2,2,100,40,15,1,2,1,1938,3,2,100,2184.21,16,2,1,1,2,2,2,11991,435043,0,0,0,447034
1726,3,6,1,3,5000,2,5,1,2,1,1,1,2,2,100,100,70,4,35,4,1987,9,1,100,1836.5,11,1,1,1,2,2,2,1439271,1359988,0,0,0,2799259
1727,1,1,1,1,4000,2,2,1,2,2,1,1,2,2,100,0,51,3,4,1,1894,1,3,100,2169.66,12,1,1,2,1,2,2,119616,0,325204,0,0,444820
1728,3,7,1,5,15000,4,17,1,2,1,1,1,2,2,30,60,168,7,6,2,1980,7,2,100,428.42,20,2,1,1,2,2,2,945243,764714,0,0,0,1709957
1729,2,3,2,2,800000,9,2,1,2,1,1,1,2,2,100,90,55,3,1800,9,1986,8,994,80,10.74,14,2,1,2,1,2,2,69217902,0,0,0,0,69217902
1730,2,4,1,2,10000,3,19,1,2,1,1,2,2,2,75,25,141,5,3,1,1920,3,1,50,1893.87,15,1,1,1,2,2,2,294830,695782,0,0,0,990612
1731,3,7,1,5,35000,5,13,1,2,1,1,1,2,2,100,100,60,3,4,1,1937,3,4,100,652.28,20,2,1,1,2,2,2,500847,591045,0,0,0,1091892
1732,3,7,2,4,100000,6,2,1,2,1,1,2,2,2,90,100,72,4,350,7,1975,6,3,80,2.85,3,1,1,1,2,1,2,12315634,5150493,0,5779822,0,23245949
1733,3,6,2,5,120000,7,15,1,1,1,1,1,2,1,100,100,168,7,200,6,1984,8,2,100,8.03,3,2,1,1,1,2,2,14924621,11418535,27738,0,0,26370894
1734,1,2,2,2,2000,2,3,1,2,1,1,2,2,2,100,100,49,3,3,1,1958,4,2,100,2039.07,20,1,1,1,2,2,2,51450,54376,0,0,0,105826
1735,3,5,2,3,160000,7,2,1,2,1,1,1,2,2,82,82,61,4,250,7,1978,6,10,100,22.3,12,1,1,1,1,2,2,21526717,2614174,681245,0,0,24822136
1736,2,3,2,2,22500,4,4,1,2,1,1,2,2,2,100,40,45,2,5,2,1968,5,2,80,263.93,19,2,1,1,2,2,2,113013,1193956,0,0,0,1306969
1737,4,9,2,4,60000,6,3,1,2,1,1,2,2,2,100,100,48,2,45,4,1988,9,2,70,5.05,19,2,1,1,2,2,2,4722571,123034,0,0,0,4845605
1738,2,4,2,2,2500,2,14,1,2,1,1,1,2,2,50,18,61,4,4,1,1912,2,3,100,1508.84,6,2,1,1,2,2,2,132299,296899,0,0,0,429198
1739,3,5,1,4,90000,6,12,1,2,1,1,2,2,2,19,19,45,2,2,1,1948,4,2,19,208.64,6,2,1,1,2,2,2,82731,42440,0,0,0,125171
1740,2,3,2,2,3500,2,12,1,2,2,2,2,2,2,100,0,91,5,1,1,1988,9,1,20,1636.1,19,1,1,1,2,2,2,32544,162413,0,0,0,194957
1741,3,5,1,3,3000,2,4,1,2,1,2,2,2,2,100,50,18,1,4,1,1964,5,2,100,2170.72,6,1,1,2,1,2,2,6186,0,55199,0,0,61385
1742,3,7,2,5,3000,2,2,1,2,1,1,2,2,2,100,100,55,3,8,2,1962,5,1,75,1597.65,10,2,1,1,2,2,2,118553,196293,0,0,0,314846
1743,3,6,2,5,10000,3,4,1,2,1,1,1,2,2,70,70,18,1,5,2,1913,2,2,50,498.98,3,2,1,1,2,2,2,172455,66722,0,0,0,239177
1744,3,7,2,5,40000,5,4,1,2,1,1,2,2,2,100,100,25,1,2,1,1955,4,1,100,235.53,11,1,1,1,2,2,2,12710,146823,0,0,0,159533
1745,2,4,1,1,3500,2,12,1,2,2,1,2,2,2,50,0,53,3,1,1,1920,3,1,100,584.61,12,2,1,1,2,2,2,64397,155688,0,0,0,220085
1746,3,5,2,5,4500,2,3,1,2,1,2,2,2,2,51,61,44,2,2,1,1948,4,1,61,1895.05,4,1,1,2,1,2,2,95086,0,6880,0,0,101966
1747,3,7,2,5,22500,4,13,1,2,1,1,2,2,2,100,100,73,4,50,5,1983,7,2,100,20,11,2,1,2,2,2,2,1995521,0,0,0,0,1995521
1748,1,1,2,2,30000,5,12,1,1,1,1,2,1,2,38,4,48,2,10,3,1969,5,1,100,506.06,2,1,1,1,1,2,2,82147,428280,330776,0,0,841203
1749,3,5,2,4,400000,8,2,1,2,1,1,1,2,1,45,45,59,3,500,8,1989,9,994,50,10.09,12,1,1,2,1,2,2,23616402,0,119273,0,0,23735675
1750,1,2,2,2,7000,3,13,1,2,1,2,2,2,2,100,100,74,4,13,3,1982,7,1,100,10.06,1,2,1,2,2,2,2,381762,0,0,0,0,381762
1751,3,5,2,3,15000,4,4,1,2,1,1,2,2,2,100,100,42,2,9,2,1975,6,2,80,5,6,2,1,2,2,2,2,3920617,0,0,0,0,3920617
1752,2,4,2,2,250000,8,13,1,1,1,1,2,2,1,67,67,88,5,347,7,1980,7,4,95,10.06,6,2,1,1,1,2,2,11368409,1259580,0,0,0,12627989
1753,3,6,2,4,900000,9,15,1,1,1,1,1,2,1,100,85,168,7,1000,9,1974,6,994,100,10.04,1,2,1,1,1,2,2,15767609,84273943,2256962,0,0,102298514
1754,2,4,2,1,120000,7,12,1,1,1,1,2,2,2,33,12,43,2,50,5,1929,3,5,33,21.19,6,1,1,1,1,2,2,1129522,2319297,0,0,0,3448819
1755,1,1,2,2,25000,4,2,1,1,2,1,1,2,2,100,0,168,7,35,4,1974,6,2,100,461.39,13,2,1,2,2,1,2,1927692,0,0,4531901,0,6459593
