PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,CLIMATE7 ,NFLOOR7  ,YRCON7   ,MONCON7  ,GOVOWN7  ,GOVTYP7  ,NOCC7    ,NOCCAT7  ,OWNOCC7  ,OWNREP7  ,MONUSE7  ,PORVAC7  ,OPEN247  ,OPNMF7   ,OPNWE7   ,WKHRS7   ,WKHRSC7  ,NWKER7   ,NWKERC7  ,HT17     ,HT27     ,COOL7    ,WATR7    ,COOK7    ,MANU7    ,GENR7    ,HEATP7   ,HTLS507  ,COOLP7   ,LTOHRP7  ,ADJWT7   ,PAIR7    ,STRATUM7
00580,1,1,  10000.00,03,04,02,1,2,1,2,2,2,2,  1,1965,  ,2, ,    1,02,2,2,12,2,2,2,1, 40,3,    35,05,1,2,1,1,2,2,2,100, ,100,100,  501.08,1,10
00581,1,2,  60000.00,06,05,13,1,1,2,2,2,2,3,  2,1975,  ,2, ,    1,02,1, ,12,2,2,1,1, 90,6,    20,05,1,2,1,1,1,2,2,100, , 80,100,  209.62,2,05
00582,2,3, 130000.00,07,04,05,1,1,2,2,2,2,2,  1,1968,  ,2, ,    1,02,2,2,12,2,2,1,1, 88,6,     4,02,1,2,2,1,2,2,2,100, ,   ,100,   96.65,1,26
00583,3,6, 250000.00,08,07,23,1,2,2,1,2,2,4,  1,1994,  ,2, ,   28,06,2,2,12,2,2,1,1, 91,6,   150,07,1,1,1,1,1,2,2,100, ,100, 98,    2.61,1,02
00584,4,8,  10000.00,03,07,02,1,2,2,2,2,2,5,  2,1993,  ,2, ,    1,02,1, ,12,2,9,9,9, 65,5,     3,02,1,2,1,1,2,2,2, 90, ,100,100,  640.54,2,19
00585,3,5,  95000.00,06,04,14,1,2,2,2,2,2,3,  3,1967,  ,2, ,    1,02,2,1,12,2,2,1,1, 75,5,    66,06,1,2,1,2,1,2,2,100, , 25,100,  118.21,1,43
00586,3,5,  16250.00,04,05,25,1,1,2,2,2,2,5,  1,1978,  ,2, ,    2,03,2,1,12,2,2,1,1, 58,4,    16,04,1,1,1,2,2,2,2,100, , 50,100,  478.12,1,40
00587,3,7,  11250.00,04,02,01,1,2,2,2,2,2,5,  1,1940,  ,2, ,    0,01, , , 0,1, , , ,  0,1,     0,01,2,2,1,1,2,2,2,   , ,  1,   ,  589.41,1,21
00588,2,3,  70000.00,06,01,07,1,1,2,2,2,2,2,  5,1904,  ,1,3,    1,02,1, ,12,2,2,1,2, 37,2,    70,06,1,1,1,1,2,2,2,100, , 75, 60,  107.61,1,16
00589,3,5,   2500.00,02,03,02,1,1,2,2,2,2,4,  2,1950,  ,2, ,    1,02,1, ,12,2,2,1,2, 40,3,    14,04,1,2,1,1,2,2,2,100, ,100, 90,  352.83,2,31
00590,4,9,  16250.00,04,08,14,1,1,2,2,2,2,4,  3,1998,  ,2, ,    1,02,1, ,12,1,2,1,2, 85,6,    25,05,1,1,1,1,2,2,2,100, ,100,100,  111.21,1,02
00591,4,9,  50000.00,05,08,04,1,1,1,2,2,2,4,  2,1999,01,2, ,    1,02,2,2,12,2,1, , ,168,7,   200,07,1,2,1,1,2,1,1,100, ,100,100,  112.77,2,11
00592,1,2, 400000.00,08,06,18,1,1,1,2,1,2,3,992,1989,  ,2, ,    3,03,1, ,12,2,1, , ,168,7,   190,07,1,1,1,1,1,2,1, 95, , 95, 80,   17.78,2,39
00593,4,9,   3250.00,02,07,14,1,2,2,2,2,2,4,  1,1994,  ,1,3,    1,02,1, ,10,2,2,1,2, 35,2,     6,03,1,2,1,2,2,2,2,100, ,100,100, 4686.93,1,21
00594,4,8,  10000.00,03,05,18,1,1,2,2,2,2,5,  2,1974,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,     5,03,1,2,1,1,2,2,2,100, , 90, 90,  497.28,2,42
00595,2,3,   6000.00,03,02,26,1,1,2,2,2,2,3,  2,1945,  ,2, ,    2,03,1, ,12,2,2,1,1,105,6,     5,03,1,2,1,2,2,2,2, 50, , 10, 50, 3543.13,2,34
00596,4,9,  80000.00,06,06,25,1,1,2,2,2,2,4,  1,1985,  ,2, ,    1,02,2,2,12,2,2,1,1, 94,6,     9,03,1,2,1,2,2,2,2, 20, , 80, 99,  175.27,1,41
00597,1,2,  11250.00,04,01,14,1,2,2,2,1,2,3,  3,1910,  ,2, ,    1,02,1, ,12,1,2,1,1, 50,4,     9,03,1,2,1,1,2,2,2,100, ,100,100,  414.39,1,33
00598,1,2, 225000.00,08,06,05,1,1,2,1,2,2,3,  3,1981,  ,2, ,    1,02,1, ,12,1,2,1,2, 65,5,   135,07,1,1,1,1,2,2,2,100, ,  9, 84,  127.70,1,35
00599,3,5,  10000.00,03,07,15,1,1,2,2,2,2,3,  1,1995,  ,2, ,    1,02,1, ,12,2,2,1,1,114,6,    40,05,1,2,1,1,1,2,2,100, ,100, 90,  769.14,1,15
00600,4,9,  55000.00,06,05,05,1,1,2,2,2,2,4,  2,1974,  ,2, ,    1,02,2,2,12,2,2,1,2, 50,4,    20,05,1,1,1,1,2,2,2, 20, , 20, 30,  369.54,2,38
00601,3,5,   7500.00,03,06,13,2,2,2,2,2,2,3,  1,1987,  ,2, ,    0,01, , , 0,1, , , ,  0,1,     0,01,2,2,2,2,2,2,2,   , ,   ,   , 5338.15,2,14
00602,4,9,  40000.00,05,08,14,1,2,2,2,2,2,5,  1,1996,  ,1,2,    1,02,1, ,12,2,2,1,2, 40,3,    15,04,2,2,2,2,2,2,2,   , ,   , 80,  505.62,2,20
00603,3,6,   2000.00,02,02,06,1,2,2,2,2,2,5,  1,1930,  ,2, ,    1,02,2,2,12,2,1, , ,168,7,     1,02,2,2,1,1,2,2,2,   , , 90,100, 2860.78,2,02
00604,4,9,  75000.00,06,02,14,1,1,2,2,1,1,5,  3,1923,  ,2, ,    1,02,1, ,12,1,2,1,1, 80,5,   200,07,1,1,1,1,2,2,2,100, ,100,100,  122.25,2,16
00605,4,8,  25001.00,05,06,02,1,1,1,2,2,2,2,  5,1980,  ,2, ,    1,02,1, ,12,2,2,1,2, 40,3,    56,06,1,2,1,1,2,2,1,100, ,100, 90,  230.15,2,06
00606,4,9,  23750.00,04,04,06,1,1,2,2,2,2,4,  1,1969,  ,2, ,    1,02,2,2,12,2,1, , ,168,7,    20,05,1,2,1,1,1,2,2, 80, , 82,100,  126.14,1,20
00607,2,3, 190000.00,07,05,14,1,1,2,2,1,2,2,  4,1975,  ,1,2,    1,02,1, ,12,2,2,1,1, 68,5,   500,09,1,2,1,2,1,2,1,100, ,100,100,   34.17,2,07
00608,2,3, 150000.00,07,08,14,1,1,2,2,2,2,1,  2,1998,  ,2, ,    2,03,1, ,11,1,2,1,1, 74,5,    65,06,1,2,1,1,1,2,1,100, , 85, 85,   30.52,1,34
00609,1,2, 250000.00,08,06,02,1,2,1,2,2,2,3,991,1986,  ,2, ,   14,05,1, ,12,1,1, , ,168,7,   400,08,1,2,1,1,2,2,2,100, ,100, 95,   36.04,2,22
00610,3,5, 170000.00,07,04,23,1,1,2,2,2,2,5,  1,1965,  ,2, ,   18,05,2,2,12,1,2,1,1, 84,5,   125,07,2,2,1,1,1,2,2,   , ,100,100,  116.06,1,38
00611,1,1,  70000.00,06,01,01,1,1,2,2,2,2,2,  5,1916,  ,2, ,    1,02,2,2,12,1,2,1,1, 60,4,     5,03,1,2,2,2,2,2,2, 23, ,   , 23,  131.53,1,20
00612,4,9,  15000.00,04,08,14,1,1,2,2,2,2,4,  3,1998,  ,2, ,    1,02,1, ,12,1,2,1,2, 85,6,    30,05,1,1,1,1,2,2,2,100, ,100,100,  111.21,1,02
00613,3,5,  42500.00,05,05,05,1,1,2,1,2,2,4,  1,1972,  ,2, ,    1,02,1, ,12,2,2,1,1, 80,5,    15,04,1,2,1,1,2,2,2, 12, , 12,100,  143.82,1,31
00614,4,9,  10001.00,04,05,12,1,1,2,2,2,2,4,  1,1971,  ,2, ,    1,02,1, ,12,2,2,1,1, 18,2,    21,05,1,1,1,1,2,2,2,100, ,100,100, 5670.63,1,10
00615,3,5,  12500.00,04,06,91,1,2,2,2,2,2,4,  1,1984,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,     2,02,2,2,2,2,2,2,2,   , ,   ,100,  464.40,1,31
00616,1,2,   1250.00,02,02,06,1,1,2,2,2,2,2,  1,1942,  ,2, ,    2,03,1, ,12,2,2,1,1, 40,3,     6,03,1,2,1,1,2,2,2,100, ,100,100, 3474.09,2,27
00617,2,4, 120000.00,07,01,18,1,1,1,2,2,2,1,  9,1907,  ,2, ,    6,04,2,1,12,1,1, , ,168,7,     8,03,1,1,1,1,1,2,1,100, , 85, 30,   28.90,1,36
00618,1,1,  40000.00,05,04,08,1,1,2,2,2,2,2,  5,1960,  ,2, ,   12,05,2,1,12,1,1, , ,168,7,    70,06,1,2,1,1,2,2,2, 90, , 90, 90,  146.24,1,20
00619,1,2,  40000.00,05,08,05,1,1,2,2,2,2,2,  1,1998,  ,2, ,    1,02,1, ,12,2,2,1,2, 90,6,     2,02,1,2,1,1,2,2,2,100, ,  8,100,  497.13,2,27
00620,3,5,  27500.00,05,08,18,1,1,2,2,2,2,4,  5,1997,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,    15,04,1,1,1,1,2,2,2,100, ,100, 40,  184.27,2,11
00621,3,5,  75000.00,06,04,14,1,2,1,1,2,2,3,  1,1968,  ,1,3,    1,02,1, ,12,2,2,1,2, 40,3,    50,06,1,2,1,1,1,2,2,100, , 30,100,  126.18,1,14
00622,3,7,1500000.00,10,06,02,1,2,1,2,2,2,5,992,1983,  ,2, ,   41,06,2,2,12,1,2,1,1, 61,5,  2150,10,1,2,1,1,1,2,1, 90, , 90,100,    8.45,2,31
00623,4,8,  15000.00,04,03,18,1,2,2,2,2,1,2,  3,1959,  ,1,1,    1,02,1, ,12,2,2,1,1,105,6,     2,02,1,2,2,1,2,2,2,100, ,   ,100,  390.10,1,10
00624,2,3, 400000.00,08,06,02,1,1,1,2,2,2,2,  4,1985,  ,2, ,    1,02,1, ,12,2,2,1,1, 81,5,   900,09,1,1,1,1,1,2,2,100, , 60, 90,   46.25,1,25
00625,2,3,  45000.00,05,01,14,1,1,2,2,2,2,3,  3,1919,  ,1,3,    1,02,2,1,12,2,2,1,2, 40,3,    80,06,1,2,1,1,1,2,2,100, ,  2,100,  149.50,2,16
00626,2,3,  23750.00,04,07,25,1,1,2,2,2,2,2,  1,1992,  ,2, ,    1,02,1, ,12,2,2,1,1, 72,5,    25,05,1,2,1,1,2,2,2,100, ,100,100,  140.92,2,14
00627,1,1,  15000.00,04,01,12,1,2,1,2,2,2,1,  3,1852,  ,2, ,    1,02,1, ,12,2,2,2,1,  8,2,     1,02,1,1,2,1,1,2,2, 30, ,   , 30,  515.96,1,09
00628,2,3,   1500.00,02,06,02,1,2,2,1,2,2,3,  1,1983,  ,1,3,    1,02,1, ,12,2,2,1,2, 40,3,     2,02,1,2,2,2,2,2,2,100, ,   , 75,  431.03,2,16
00629,3,6,   5500.00,03,06,26,1,1,2,2,2,2,3,  1,1985,  ,2, ,    1,02,2,2,12,2,2,1,2, 55,4,     0,01,1,1,2,2,2,2,2,100, ,   ,100,  482.42,1,24
00630,4,8, 700000.00,09,05,16,1,1,1,2,1,1,5,  9,1978,  ,1,1,    1,02,1, ,12,2,1, , ,168,7,  1300,10,1,2,1,1,1,2,1,100, , 95,100,   13.67,1,21
00631,4,9,  42500.00,05,05,05,1,1,2,2,2,2,4,  1,1972,  ,2, ,    3,03,2,2,12,2,2,1,2, 60,4,    42,05,1,2,1,1,2,2,2, 25, , 25, 50,  530.80,2,11
00632,3,5,  40000.00,05,05,18,1,1,2,2,2,2,4,  3,1976,  ,1,2,    1,02,1, ,12,2,1, , ,168,7,     3,02,1,2,1,1,2,2,2,100, ,100,100,  218.26,2,31
00633,3,5,  95000.00,06,07,25,1,1,1,2,2,2,5,  1,1995,  ,2, ,    1,02,1, ,12,2,2,1,1, 98,6,    40,05,1,1,1,1,1,2,1, 90, ,100,100,  170.49,1,40
00634,2,3,   9000.00,03,01,26,1,1,2,2,2,2,2,  2,1888,  ,2, ,    2,03,1, ,12,2,2,1,1,105,6,     2,02,1,2,1,2,2,2,2,100, ,100,100,  531.47,1,26
00635,1,2,  45000.00,05,08,06,1,2,2,1,2,2,2,  1,1996,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,    35,05,1,1,1,1,1,2,1,100, , 95,100,  114.17,1,37
00636,4,9,  25000.00,04,06,12,1,1,2,2,2,2,4,  1,1981,  ,2, ,    1,02,1, ,12,2,2,2,1, 20,2,    20,05,1,2,1,1,2,2,2,100, , 80, 75,  219.31,1,11
00637,1,2,1800000.00,10,07,24,1,1,2,2,2,2,3,  3,1990,  ,2, ,  252,08,2,1,12,1,2,1,1, 80,5,  1425,10,1,1,1,1,1,2,2,100, ,100,100,   10.94,2,05
00638,4,9, 300000.00,08,06,02,1,1,1,2,2,1,4,991,1981,  ,1,2,   16,05,2,1,12,2,2,1,1, 49,4,   825,09,1,1,1,1,2,2,1, 98, , 98,100,   15.37,1,32
00639,3,6, 140000.00,07,08,14,1,1,2,2,2,2,5,  1,1999,04,1,3,    1,02,1, , 1,1,2,1,2, 45,3,    80,06,1,1,1,1,1,2,2,100, ,100, 80,   34.28,2,02
00640,3,5,  13750.00,04,07,05,1,1,2,2,2,2,4,  1,1991,  ,2, ,    1,02,2,2,12,2,2,1,1, 50,4,     9,03,1,2,1,1,2,2,2,100, , 10,100,  425.43,1,05
00641,4,8,  50001.00,06,05,06,1,1,2,2,2,2,2,  2,1976,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,    35,05,1,2,1,1,1,2,1,100, , 90, 90,  118.39,1,18
00642,2,3,   2500.00,02,03,25,1,1,2,2,2,2,2,  2,1955,  ,2, ,    1,02,2,2,12,2,2,1,1, 42,3,     2,02,1,2,1,2,2,2,2, 60, , 50, 40,  698.25,1,09
00643,2,4,   5001.00,03,06,05,2,2,2,2,2,2,1,  1,1988,  ,2, ,    1,02,1, ,12,2,2,1,1, 48,3,     3,02,2,2,2,2,2,2,2,   , ,   ,   ,  490.14,1,31
00644,4,8, 110000.00,07,06,02,1,2,2,2,2,2,2,  2,1984,  ,2, ,    2,03,2,2,12,2,2,1,2, 50,4,   400,08,1,2,1,1,2,2,2,100, ,100,100,  170.97,1,10
00645,3,6,   6500.00,03,05,06,1,2,2,1,2,2,3,  1,1971,  ,2, ,    1,02,1, ,12,2,2,1,1,115,6,     7,03,1,2,1,1,1,2,2,100, ,100,100,  436.80,1,12
00646,3,5,  90000.00,06,05,23,1,2,2,2,2,2,4,  1,1974,  ,2, ,   11,05,2,2,12,1,2,1,1, 70,5,    76,06,1,2,1,1,2,2,2, 90, , 90,100,  150.13,2,19
00647,1,2,  90000.00,06,02,07,1,2,1,2,1,2,2,  6,1939,  ,1,2,    1,02,1, ,12,2,1, , ,168,7,    15,04,1,2,2,2,2,2,1,100, ,   ,100,  110.91,2,27
00648,2,3,1500000.00,10,07,02,1,2,2,2,2,2,2,992,1990,  ,2, ,   18,05,2,1,12,2,2,1,1, 66,5,  3000,11,1,2,1,1,2,2,2,100, ,100,100,    5.27,1,43
00649,3,5,  10000.00,03,08,02,1,2,2,2,2,2,5,  1,1996,  ,2, ,    2,03,2,2,12,1,1, , ,168,7,    30,05,1,2,1,1,2,2,2,100, ,100,100,  916.16,1,38
00650,2,4,   2250.00,02,07,05,2,2,2,2,2,2,1,  1,1994,  ,2, ,    0,01, , , 0,1, , , ,  0,1,     0,01,2,2,2,2,2,2,2,   , ,   ,   ,13279.23,2,04
00651,1,2, 425000.00,08,02,01,2,2,2,2,2,2,3,991,1923,  ,2, ,    0,01, , , 0,1, , , ,  0,1,     0,01,2,2,2,2,2,2,2,   , ,   ,   ,   34.10,1,34
00652,2,3,  80000.00,06,06,26,1,1,2,2,2,2,2,  3,1986,  ,2, ,    1,02,1, ,12,2,2,1,1, 80,5,   150,07,1,2,1,1,2,2,2,100, , 60,100,  165.01,1,07
00653,2,3,  12500.00,04,02,25,1,1,2,2,2,2,2,  3,1920,  ,2, ,    1,02,1, ,12,1,2,1,1, 60,4,    12,04,1,2,1,1,2,2,2, 67, , 33, 33,  478.12,1,07
00654,4,8,   1500.00,02,02,13,1,1,2,2,2,2,5,  3,1930,  ,2, ,    1,02,2,2,12,2,2,1,1, 35,2,     2,02,1,2,1,1,2,2,2, 50, , 50, 50,  449.97,1,30
00655,2,3,1500000.00,10,05,24,1,1,2,2,2,2,2,  1,1972,  ,2, ,  130,08,1, ,12,1,2,1,1, 73,5,   600,09,1,1,1,1,1,2,2,100, ,100,100,    7.94,1,07
00656,3,5,  30000.00,05,06,02,1,2,2,2,2,2,3,  2,1986,  ,2, ,    7,04,1, ,12,2,2,1,2, 60,4,    45,05,1,2,1,2,2,2,2,100, ,100,100,  203.59,2,26
00657,3,5,  35000.00,05,03,05,1,1,2,2,2,2,4,  1,1956,  ,2, ,    1,02,1, ,12,2,2,1,2, 45,3,    20,05,1,1,1,1,2,1,2,100, , 30,100,  422.37,1,07
00658,1,2, 100001.00,07,06,25,1,1,2,2,2,2,3,  1,1986,  ,2, ,    1,02,2,2,12,2,2,1,1, 81,5,    90,06,1,2,1,1,1,2,2,100, ,100,100,  121.23,1,05
00659,4,8, 650000.00,09,08,02,1,1,1,2,2,2,2,991,1998,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,  1850,10,1,2,1,1,1,2,1, 95, , 90,100,   11.86,1,08
00660,1,2,  60000.00,06,04,12,1,1,2,2,2,2,3,  3,1962,  ,2, ,    1,02,1, ,12,2,2,1,1, 80,5,    25,05,1,2,1,1,1,2,1,100, , 25, 25,   97.75,2,02
00661,4,9,  55000.00,06,06,05,1,1,2,2,2,2,4,  1,1987,  ,2, ,    1,02,1, ,12,1,2,1,1, 84,5,     1,02,1,2,1,1,1,2,2, 25, , 25,100,  639.44,2,21
00662,4,8,   4000.00,02,06,25,1,1,2,2,2,2,2,  1,1981,  ,2, ,    1,02,2,2,12,2,2,1,1, 53,4,     7,03,1,2,1,1,2,2,2,100, ,100,100,  482.42,1,10
00663,3,5,  80000.00,06,04,23,1,2,2,2,2,2,5,  1,1961,  ,2, ,   18,05,2,2,12,2,2,1,1,105,6,   100,07,2,2,1,2,1,2,2,   , ,100, 95,  181.52,1,01
00664,4,8, 500000.00,08,04,14,1,1,2,2,2,2,2,  1,1966,  ,1,2,    1,02,1, ,12,1,2,1,2, 60,4,   120,07,1,1,1,1,1,2,2, 85, , 65, 90,  106.61,2,10
00665,2,3, 100001.00,07,02,02,1,1,2,2,2,2,2,  4,1927,  ,2, ,    1,02,1, ,12,2,2,1,1,112,6,   100,07,1,2,1,1,2,2,2,100, ,100, 50,  230.15,2,32
00666,4,8, 200001.00,08,05,16,1,1,1,2,2,2,2,  3,1979,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,   200,07,1,1,1,1,1,2,1,100, ,100,100,   91.57,2,10
00667,1,2,   6000.00,03,03,26,1,1,2,2,2,2,3,  3,1950,  ,2, ,    2,03,2,2,12,2,2,1,1, 62,5,     8,03,1,2,1,1,2,2,2, 33, , 15, 75,  194.74,1,18
00668,3,7,   3500.00,02,03,13,1,1,2,2,2,2,5,  1,1947,  ,2, ,    1,02,1, ,12,2,2,1,1, 50,4,     4,02,1,2,1,1,1,2,2,100, ,100,100,  449.97,2,15
00669,3,5, 425000.00,08,04,16,1,1,1,2,2,2,3,  9,1964,  ,2, ,    1,02,1, ,12,1,1, , ,168,7,   500,09,1,1,1,1,1,2,1, 85, , 85, 95,   15.22,1,20
00670,4,9,  18750.00,04,01,91,1,2,2,2,2,2,4,  3,1898,  ,2, ,   13,05,2,2,12,2,2,1,1, 40,3,    13,04,1,2,1,1,1,2,2, 66, ,  5, 75,  176.15,2,11
00671,3,5, 160000.00,07,05,16,1,1,1,2,1,2,5,  8,1970,  ,2, ,    1,02,2,1,12,2,1, , ,168,7,   500,09,1,1,1,1,1,2,1,100, , 80, 85,   14.75,1,24
00672,1,2, 225000.00,08,02,05,1,2,2,2,2,2,2,  1,1942,  ,2, ,    1,02,1, ,12,2,2,1,2, 40,3,     2,02,2,2,2,2,2,2,2,   , ,   , 20,   96.65,2,27
00673,1,1,  13750.00,04,04,12,1,1,2,2,2,2,2,  2,1964,  ,2, ,    1,02,1, ,12,2,2,1,1, 15,2,     4,02,1,2,2,1,1,2,2,100, ,   ,100,  464.40,1,36
00674,2,3,   1750.00,02,05,25,1,2,1,2,2,2,2,  1,1970,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,     4,02,1,1,1,2,2,2,2, 50, , 50,100, 5764.94,1,16
00675,3,5, 140000.00,07,08,05,1,1,2,2,2,2,4,  1,1997,  ,2, ,    3,03,2,2,12,2,9,1,9, 50,4,   200,07,1,2,1,1,2,2,2, 75, , 25,100,   32.59,1,11
00676,4,9,   1500.00,02,05,07,1,2,2,2,2,2,3,  1,1971,  ,1,3,    1,02,1, ,12,2,1, , ,168,7,     7,03,1,2,2,2,2,2,2, 30, ,   ,100, 5263.16,2,35
00677,1,2, 110000.00,07,04,18,1,1,2,2,2,2,2,  2,1968,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,    50,06,1,1,1,1,1,2,2,100, ,100,100,  202.13,1,27
00678,1,1,  16250.00,04,01,05,1,1,1,1,2,2,2,  3,1907,  ,2, ,    1,02,2,2,12,2,2,2,1, 45,3,     6,03,1,1,2,1,2,1,2, 40, ,   ,100,  519.86,2,36
00679,2,4,   5500.00,03,04,13,1,2,2,2,2,2,1,  1,1967,  ,1,3,    1,02,1, , 5,1,2,3,2,  0,1,     0,01,2,2,2,2,2,2,2,   , ,   ,   ,  405.41,1,31
00680,1,2,1800000.00,10,07,13,1,1,2,2,2,1,2,  7,1992,  ,1,3,  150,08,2,1,12,1,1, , ,168,7,  1100,10,1,1,1,1,1,2,2,100, ,100,100,   34.17,2,14
00681,2,3,   3000.00,02,01,01,1,2,2,2,2,2,2,  1,1890,  ,2, ,    0,01, , , 0,1, , , ,  0,1,     0,01,2,2,2,2,2,2,2,   , ,   ,   , 5685.60,1,26
00682,2,4,   8000.00,03,04,01,2,2,2,2,2,2,3,  1,1960,  ,2, ,    1,02,1, , 0,1, , , ,  0,1,     0,01,2,2,2,2,2,2,2,   , ,   ,   ,  524.16,2,10
00683,2,3,   5500.00,03,03,12,1,1,2,2,2,2,3,  2,1947,  ,2, ,    1,02,1, ,12,2,2,2,1,  5,2,     1,02,1,1,1,1,1,2,2,100, ,100, 80, 5670.63,2,16
00684,3,5,  65000.00,06,05,23,1,2,2,1,2,2,3,  2,1976,  ,2, ,   15,05,2,1,12,1,2,1,1,100,6,    80,06,1,2,1,1,1,2,2,100, ,100, 90,  150.13,1,43
00685,1,1,   7000.00,03,01,02,1,2,1,1,2,2,1,  3,1878,  ,2, ,    1,02,1, ,12,2,2,1,1, 50,4,    10,04,1,1,1,1,2,2,2, 16, , 79, 75, 2916.24,1,15
00686,1,2, 700000.00,09,06,24,1,1,2,2,2,2,2,  1,1988,  ,2, ,  107,08,2,1,12,1,2,1,1, 80,5,   463,08,1,1,1,1,1,2,2,100, ,100, 80,   15.16,2,37
00687,4,9,  23750.00,04,06,05,1,2,2,2,2,2,4,  1,1982,  ,2, ,    1,02,1, ,12,2,2,1,1, 50,4,    20,05,1,2,1,2,2,2,2, 25, , 20, 80,  236.24,1,21
00688,4,9,   5000.00,02,03,07,1,1,2,2,2,2,4,  1,1953,  ,1,3,    1,02,2,1,12,2,1, , ,168,7,     3,02,1,2,1,1,2,2,2, 30, , 30, 30,  548.18,2,38
00689,3,6, 140000.00,07,08,25,1,1,2,2,2,2,4,  1,1999,04,2, ,    2,03,2,2, 3,1,1, , ,168,7,    95,06,1,2,1,1,1,2,2,100, ,100,100,   40.78,1,02
00690,3,6, 200001.00,08,07,25,1,1,2,2,2,2,4,  1,1994,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,   175,07,1,2,1,1,1,2,1,100, ,100,100,  123.65,2,12
00691,2,3,  75000.00,06,02,13,1,1,2,2,2,2,3,  6,1928,  ,2, ,    1,02,1, ,12,2,2,1,1,104,6,    75,06,1,1,1,1,1,2,2,100, ,100,100,  158.01,2,22
00692,3,7,   7000.00,03,03,91,1,1,2,2,2,2,5,  1,1958,  ,2, ,    1,02,2,2,12,2,2,1,2, 40,3,     5,03,1,2,1,2,2,1,2,100, , 33,100,  391.42,1,04
00693,2,4,1500000.00,10,03,02,1,1,2,2,2,2,3,  5,1953,  ,1,1,   10,04,1, ,12,1,2,1,2, 60,4,  1041,10,1,2,1,1,1,2,1,100, , 95, 95,    6.67,2,21
00694,3,6,   6000.00,03,04,25,1,2,2,2,2,2,4,  1,1961,  ,2, ,    2,03,2,2,12,2,2,1,1, 91,6,     4,02,1,2,1,1,2,2,2,100, ,100,100,  508.07,2,06
00695,1,2, 100000.00,06,02,02,1,2,2,2,1,2,3,991,1929,  ,2, ,   53,07,2,1,12,1,2,1,1,132,6,   100,07,1,2,1,2,2,2,2,100, ,100,100,   45.21,1,34
00696,1,1,  55000.00,06,05,18,1,2,2,1,2,2,1,  2,1971,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,    30,05,1,1,1,1,1,2,2,100, ,100, 75,  157.98,2,25
00697,3,7, 425000.00,08,06,02,1,2,2,2,2,2,5,991,1982,  ,2, ,   51,07,2,1,12,1,2,1,1, 65,5,   800,09,1,2,1,1,1,2,2,100, ,100,100,   18.93,1,22
00698,3,7,  20000.00,04,03,13,1,1,2,2,2,2,5,  1,1957,  ,2, ,    4,03,2,2,12,2,2,1,1, 96,6,     6,03,1,2,1,1,1,2,2, 80, ,100,100,  537.86,2,12
00699,2,3, 800000.00,09,05,24,1,1,1,1,2,2,2,  2,1973,  ,2, ,   65,07,2,1,12,1,2,1,1, 72,5,   250,08,1,1,1,1,1,2,1,100, , 90,100,   10.14,2,26
00700,3,6, 300000.00,08,05,16,1,1,1,1,2,2,4,  4,1970,  ,2, ,    1,02,1, ,12,2,1, , ,168,7,   900,09,1,1,1,1,1,2,1,100, ,100,100,   15.22,1,39
00701,4,8,  21250.00,04,03,12,1,1,2,2,2,2,2,  1,1957,  ,2, ,    1,02,1, ,12,2,2,1,1, 40,3,     3,02,1,2,1,1,1,2,2,100, ,  5,100,  211.49,1,30
00702,3,6,  12500.00,04,04,05,1,1,2,2,2,2,5,  1,1968,  ,2, ,    1,02,2,2,12,2,2,1,2, 60,4,     7,03,1,1,1,1,2,2,2, 40, , 40,100,  493.51,2,02
00703,4,9,  37500.00,05,08,26,1,1,2,2,2,2,3,  2,1997,  ,2, ,    1,02,1, ,12,2,2,1,1,140,6,    65,06,1,1,1,1,2,2,2,100, , 20,100,  167.37,1,20
00704,1,2,  75000.00,06,02,14,1,1,1,2,2,2,3,  5,1935,  ,1,3,    1,02,1, ,12,2,2,1,2, 60,4,    75,06,1,2,1,1,1,2,2,100, , 27,100,  121.93,2,28
00705,4,9,  15000.00,04,08,13,1,2,2,1,2,2,5,  2,1997,  ,2, ,    1,02,1, ,12,2,2,1,1, 84,5,    20,05,1,2,1,1,1,2,2, 60, , 60, 90,  151.74,2,11
00706,4,9,1400000.00,10,05,18,1,1,2,2,2,2,4,991,1973,  ,2, ,    4,03,2,2,12,2,1, , ,168,7,   400,08,1,1,1,1,1,2,1, 60, , 60, 90,   50.06,1,36
00707,2,3, 140000.00,07,08,02,1,2,2,2,2,2,2,  8,1998,  ,2, ,    1,02,1, ,12,2,2,1,1, 60,4,   275,08,1,2,1,1,2,2,2,100, , 98, 99,   43.63,1,07
