"","UCD_region","UCD_sector","mode","size.class","variable","Year","Subsector","unit","UCD_technology","UCD_fuel","median","Value"
"120","Former Soviet Union","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2035","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",150671.587858075
"121","Former Soviet Union","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",345349.752412024
"122","India","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","1",38460.1663382966
"123","India","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",56871.2661135749
"124","India","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2035","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",108422.345484354
"125","India","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",194374.849288553
"126","Japan","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",38460.1663382966
"127","Japan","Freight","Truck","Truck (1-6t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",56871.2661135749
"128","Korea","Freight","Truck","Truck","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","16",249997.182018253
"129","Latin America","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",38460.1663382966
"130","Latin America","Freight","Truck","Truck (6-15t)","CAPEX and non-fuel OPEX","X2035","Medium Duty Trucks","2005$/veh","BEV","Electricity","10.5",162590.659157296
"131","Latin America","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",345349.752412024
"132","Middle East","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","1",38460.1663382966
"133","Middle East","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",56871.2661135749
"134","Middle East","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2035","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",108422.345484354
"135","Middle East","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",194374.849288553
"136","Southeast Asia","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","1",38460.1663382966
"137","Southeast Asia","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",56871.2661135749
"138","Southeast Asia","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2035","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",108422.345484354
"139","Southeast Asia","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",194374.849288553
"140","USA","Freight","Truck","Truck (0-2.7t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","1.35",38460.1663382966
"141","USA","Freight","Truck","Truck (2.7-4.5t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","3.6",58344.1540955972
"142","USA","Freight","Truck","Truck (4.5-12t)","CAPEX and non-fuel OPEX","X2035","Medium Duty Trucks","2005$/veh","BEV","Electricity","8.25",126833.445259632
"143","USA","Freight","Truck","Truck (>12t)","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","22",345349.752412024
