# File: EPA_NOx.csv
# Title: EPA nitrous oxide emissions
# Units: thousand short tons (?)
# Source: EPA National Emissions Trends
# Description: These EPA data files come from the old GCAM3 system (they were in nonco2/Input Data/EPA National Inventories). The documentation there is limited. For example, the CO file says: "National Emissions Trends -- updated 7/18/2005. Carbon Monoxide Emissions (thousand short tons)."
Source_Category_Raw,Source_Category,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Bulk Terminals & Plants,STORAGE & TRANSPORT (Tier 1 - 09)_Bulk Termi0ls & Plants, , , , , , , , , , , , , , , , , , , , ,0.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,0.00
Petroleum & Petroleum Product Storage,STORAGE & TRANSPORT (Tier 1 - 09)_Petroleum & Petroleum Product Storage, , , , , , , , , , , , , , , ,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.00,0.00,0.00,0.00,7.00,8.00,8.00,1.00,1.00,1.00,1.00
Petroleum & Petroleum Product Transport,STORAGE & TRANSPORT (Tier 1 - 09)_Petroleum & Petroleum Product Transport, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Service Stations: Stage I,STORAGE & TRANSPORT (Tier 1 - 09)_Service Stations: Stage II, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Service Stations: Stage II,, , , , , , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Organic Chemical Storage,STORAGE & TRANSPORT (Tier 1 - 09)_Organic Chemical Storage, , , , , , , , , , , , , , , ,1.00,1.00,1.00,1.00,1.00,0.00,2.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,5.00
Organic Chemical Transport,STORAGE & TRANSPORT (Tier 1 - 09)_Organic Chemical Transport, , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inorganic Chemical Storage,STORAGE & TRANSPORT (Tier 1 - 09)_Inorganic Chemical Storage, , , , , , , , , , , , , , , ,0.00, , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bulk Materials Storage storage,STORAGE & TRANSPORT (Tier 1 - 09)_Bulk Materials Storage storage, , , , , , , , , , , , , , , ,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,2.00,8.00,9.00,9.00,9.00
WASTE DISPOSAL & RECYCLING (Tier 1 - 10),WASTE DISPOSAL & RECYCLING (Tier 1 - 10),440.00,271.00,222.00,189.00,164.00,159.00,138.00,129.00,129.00,118.00,111.00,109.00,103.00,91.00,90.00,87.00,87.00,85.00,85.00,84.00,91.00,95.00,96.00,123.00,114.00,99.00,153.00,157.00,163.00,162.00,129.00,130.00,152.00
Incineration,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_Incineration,110.00,63.00,58.00,55.00,50.00,56.00,46.00,41.00,41.00,41.00,37.00,37.00,33.00,24.00,24.00,27.00,29.00,29.00,31.00,31.00,49.00,51.00,51.00,74.00,65.00,53.00,51.00,53.00,54.00,54.00,56.00,57.00,51.00
Open Burning,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_Open Burning,330.00,208.00,164.00,134.00,113.00,103.00,92.00,88.00,88.00,76.00,74.00,72.00,70.00,67.00,66.00,59.00,58.00,56.00,54.00,52.00,42.00,43.00,43.00,44.00,44.00,44.00,98.00,101.00,106.00,103.00,68.00,68.00,95.00
POTW,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_POTW, , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Industrial Waste Water,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_Industrial Waste Water, , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TSDF,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_TSDF, , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Landfills,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_Landfills, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,4.00,4.00,4.00,4.00
Other,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_Other, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,4.00,3.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00
TRANSPORTATION TOTAL (Tier 0 - 03),TRANSPORTATION TOTAL (Tier 0 - 03),15277.00,15238.00,15186.00,15133.00,15081.00,15029.00,15017.00,15004.00,14992.00,14916.00,14845.00,14778.00,14710.00,14643.00,14575.00,14508.00,14422.00,14375.00,14015.00,13695.00,13373.00,13298.00,13221.00,13143.00,13066.00,12989.00,12912.00,12970.00,12776.00,12456.00,12560.00,11932.00,11452.00
HIGHWAY VEHICLES (Tier 1 - 11),HIGHWAY VEHICLES (Tier 1 - 11),12624.00,12523.00,12407.00,12292.00,12176.00,12061.00,11948.00,11835.00,11722.00,11605.00,11493.00,11381.00,11268.00,11156.00,11044.00,10932.00,10820.00,10707.00,10336.00,9964.00,9592.00,9449.00,9306.00,9162.00,9019.00,8876.00,8733.00,8792.00,8619.00,8371.00,8394.00,7774.00,7365.00
Light-Duty Gas Vehicles & Motorcycles,HIGHWAY VEHICLES (Tier 1 - 11)_Light-Duty Gas Vehicles & Motorcycles,8542.00,8351.00,8160.00,7969.00,7778.00,7587.00,7396.00,7206.00,7015.00,6822.00,6632.00,6442.00,6252.00,6062.00,5872.00,5681.00,5491.00,5301.00,4955.00,4609.00,4262.00,4020.00,3777.00,3534.00,3291.00,3049.00,2806.00,2712.00,2568.00,2430.00,2312.00,2181.00,2166.00
        light-duty gas vehicles,HIGHWAY VEHICLES (Tier 1 - 11)_        light-duty gas vehicles,8542.00,8350.00,8158.00,7966.00,7774.00,7583.00,7391.00,7199.00,7007.00,6812.00,6621.00,6429.00,6238.00,6046.00,5855.00,5663.00,5472.00,5280.00,4934.00,4587.00,4240.00,3999.00,3758.00,3516.00,3275.00,3033.00,2792.00,2697.00,2553.00,2415.00,2297.00,2168.00,2152.00
        motorcycles,HIGHWAY VEHICLES (Tier 1 - 11)_        motorcycles,0.00,1.00,2.00,3.00,3.00,4.00,6.00,7.00,8.00,10.00,11.00,13.00,14.00,15.00,17.00,18.00,20.00,21.00,21.00,22.00,22.00,21.00,19.00,18.00,17.00,15.00,14.00,14.00,14.00,15.00,15.00,14.00,14.00
Light-Duty Gas Trucks,HIGHWAY VEHICLES (Tier 1 - 11)_Light-Duty Gas Trucks,1540.00,1544.00,1548.00,1551.00,1555.00,1559.00,1563.00,1567.00,1571.00,1574.00,1578.00,1582.00,1586.00,1590.00,1594.00,1598.00,1602.00,1606.00,1572.00,1538.00,1504.00,1495.00,1487.00,1478.00,1469.00,1461.00,1452.00,1470.00,1427.00,1450.00,1436.00,1469.00,1401.00
        light-duty gas trucks 1,HIGHWAY VEHICLES (Tier 1 - 11)_        light-duty gas trucks 1,868.00,877.00,887.00,896.00,906.00,915.00,924.00,934.00,943.00,952.00,962.00,971.00,981.00,990.00,999.00,1009.00,1018.00,1028.00,1006.00,984.00,962.00,969.00,976.00,983.00,990.00,997.00,1004.00,998.00,953.00,1014.00,999.00,1036.00,974.00
        light-duty gas trucks 2,HIGHWAY VEHICLES (Tier 1 - 11)_        light-duty gas trucks 2,672.00,666.00,661.00,655.00,650.00,644.00,639.00,633.00,628.00,622.00,616.00,611.00,605.00,600.00,595.00,589.00,584.00,578.00,566.00,554.00,542.00,526.00,511.00,495.00,479.00,464.00,448.00,472.00,473.00,436.00,437.00,434.00,427.00
Heavy-Duty Gas Vehicles,HIGHWAY VEHICLES (Tier 1 - 11)_Heavy-Duty Gas Vehicles,723.00,713.00,703.00,694.00,684.00,674.00,664.00,654.00,644.00,634.00,624.00,614.00,604.00,595.00,585.00,575.00,565.00,555.00,559.00,563.00,567.00,557.00,547.00,537.00,527.00,516.00,506.00,524.00,514.00,481.00,453.00,421.00,404.00
Diesels,HIGHWAY VEHICLES (Tier 1 - 11)_Diesels,1833.00,1915.00,1996.00,2078.00,2159.00,2241.00,2324.00,2408.00,2492.00,2575.00,2659.00,2742.00,2826.00,2910.00,2994.00,3078.00,3161.00,3245.00,3250.00,3254.00,3259.00,3377.00,3495.00,3614.00,3732.00,3850.00,3968.00,4087.00,4111.00,4010.00,4192.00,3702.00,3395.00
        heavy-duty diesel vehicles,,1764.00,1846.00,1928.00,2010.00,2093.00,2175.00,2257.00,2339.00,2422.00,2503.00,2585.00,2668.00,2750.00,2832.00,2915.00,2997.00,3079.00,3162.00,3172.00,3183.00,3194.00,3318.00,3442.00,3567.00,3691.00,3816.00,3940.00,4062.00,4089.00,3986.00,4178.00,3687.00,3378.00
        light-duty diesel trucks,,70.00,67.00,65.00,63.00,61.00,58.00,56.00,54.00,52.00,49.00,47.00,45.00,43.00,40.00,38.00,36.00,34.00,32.00,29.00,26.00,23.00,21.00,19.00,17.00,15.00,14.00,12.00,11.00,10.00,13.00,6.00,9.00,9.00
        light-duty diesel vehicles,,0.00,2.00,3.00,5.00,6.00,8.00,11.00,15.00,19.00,22.00,26.00,30.00,33.00,37.00,41.00,44.00,48.00,52.00,49.00,46.00,43.00,38.00,34.00,29.00,25.00,21.00,16.00,14.00,12.00,12.00,7.00,7.00,7.00
OFF-HIGHWAY (Tier 1 - 12),OFF-HIGHWAY (Tier 1 - 12),2652.00,2715.00,2779.00,2842.00,2905.00,2968.00,3069.00,3169.00,3269.00,3311.00,3353.00,3397.00,3442.00,3487.00,3531.00,3576.00,3602.00,3667.00,3680.00,3731.00,3781.00,3849.00,3915.00,3981.00,4047.00,4113.00,4179.00,4178.00,4156.00,4084.00,4167.00,4158.00,4086.00
Non-Road Gasoline,OFF-HIGHWAY (Tier 1 - 12)_Non-Road Gasoline,90.00,93.00,95.00,97.00,99.00,102.00,103.00,104.00,105.00,107.00,108.00,109.00,111.00,112.00,113.00,114.00,116.00,117.00,118.00,120.00,120.00,125.00,129.00,133.00,137.00,141.00,145.00,163.00,176.00,204.00,192.00,190.00,211.00
        recreational,,4.00,4.00,5.00,6.00,7.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,8.00,8.00,8.00,8.00,9.00,10.00,10.00,11.00,10.00,10.00,11.00
        construction,,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,6.00,6.00,6.00,6.00,6.00,6.00
        industrial,,30.00,29.00,28.00,28.00,27.00,27.00,26.00,26.00,25.00,24.00,24.00,23.00,23.00,22.00,22.00,21.00,20.00,20.00,19.00,19.00,18.00,18.00,17.00,17.00,16.00,16.00,15.00,16.00,16.00,29.00,14.00,13.00,13.00
        lawn & garden,,19.00,20.00,21.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,40.00,41.00,42.00,44.00,47.00,50.00,52.00,55.00,57.00,68.00,76.00,73.00,86.00,86.00,93.00
        farm,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,5.00
        light commercial,,2.00,3.00,3.00,4.00,5.00,5.00,6.00,6.00,7.00,8.00,8.00,9.00,9.00,10.00,11.00,11.00,12.00,13.00,13.00,14.00,14.00,16.00,17.00,18.00,19.00,20.00,21.00,26.00,30.00,32.00,35.00,35.00,39.00
        logging,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
        airport service,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00
        railway maintenance,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
        recreational marine vessels,,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,34.00,34.00,34.00,45.00,35.00,36.00,42.00
Non-Road Diesel,OFF-HIGHWAY (Tier 1 - 12)_Non-Road Diesel,374.00,430.00,486.00,542.00,598.00,653.00,711.00,769.00,827.00,885.00,943.00,1003.00,1064.00,1125.00,1185.00,1246.00,1288.00,1369.00,1371.00,1413.00,1454.00,1481.00,1507.00,1533.00,1559.00,1585.00,1611.00,1613.00,1613.00,1734.00,1600.00,1588.00,1600.00
        recreational,,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
        construction,,167.00,196.00,225.00,254.00,283.00,312.00,340.00,369.00,398.00,427.00,456.00,485.00,514.00,543.00,571.00,600.00,621.00,658.00,662.00,682.00,702.00,715.00,727.00,739.00,751.00,764.00,776.00,774.00,772.00,858.00,762.00,754.00,764.00
        industrial,,35.00,41.00,47.00,54.00,60.00,67.00,73.00,79.00,86.00,92.00,99.00,105.00,112.00,118.00,124.00,131.00,132.00,144.00,134.00,135.00,136.00,137.00,138.00,138.00,139.00,139.00,140.00,139.00,138.00,126.00,133.00,132.00,132.00
        lawn & garden,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,5.00,7.00,9.00,11.00,14.00,16.00,19.00,21.00,24.00,26.00,28.00,31.00,33.00,35.00,38.00,40.00,42.00,38.00,45.00,46.00,49.00
        farm,,112.00,131.00,151.00,170.00,190.00,209.00,229.00,248.00,268.00,287.00,307.00,326.00,346.00,365.00,385.00,404.00,419.00,443.00,449.00,463.00,478.00,487.00,496.00,505.00,514.00,523.00,532.00,533.00,533.00,576.00,530.00,525.00,521.00
        light commercial,,0.00,1.00,2.00,3.00,4.00,5.00,8.00,11.00,14.00,17.00,20.00,23.00,26.00,28.00,31.00,34.00,37.00,40.00,43.00,46.00,48.00,51.00,54.00,57.00,59.00,62.00,65.00,67.00,69.00,73.00,72.00,74.00,76.00
        logging,,57.00,56.00,56.00,55.00,54.00,54.00,53.00,52.00,52.00,51.00,50.00,50.00,49.00,48.00,48.00,47.00,45.00,46.00,42.00,41.00,39.00,37.00,36.00,34.00,32.00,31.00,29.00,26.00,25.00,27.00,22.00,21.00,20.00
        airport service,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,2.00,3.00,4.00,5.00,5.00,6.00,7.00,7.00,7.00,8.00,8.00,8.00,9.00,9.00,9.00,11.00,9.00,9.00,9.00
        railway maintenance,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
        recreational marine vessels,,3.00,4.00,5.00,5.00,6.00,6.00,7.00,8.00,8.00,9.00,10.00,10.00,11.00,11.00,12.00,13.00,13.00,14.00,15.00,15.00,16.00,16.00,17.00,18.00,18.00,19.00,20.00,20.00,21.00,21.00,22.00,23.00,24.00
Aircraft,OFF-HIGHWAY (Tier 1 - 12)_Aircraft,50.00,51.00,52.00,53.00,55.00,56.00,57.00,59.00,60.00,61.00,63.00,64.00,65.00,66.00,68.00,69.00,70.00,72.00,71.00,70.00,70.00,70.00,71.00,72.00,73.00,73.00,74.00,83.00,91.00,96.00,88.00,81.00,81.00
Marine Vessels,OFF-HIGHWAY (Tier 1 - 12)_Marine Vessels,978.00,980.00,981.00,983.00,984.00,986.00,962.00,938.00,914.00,933.00,951.00,970.00,988.00,1006.00,1025.00,1043.00,1062.00,1080.00,1054.00,1029.00,1003.00,1012.00,1021.00,1030.00,1039.00,1049.00,1058.00,1008.00,958.00,857.00,1008.00,1013.00,1011.00
        diesel,, , , , , , , , ,721.00,735.00,750.00,764.00,779.00,793.00,808.00,822.00,837.00,851.00,831.00,811.00,1003.00,800.00,809.00,817.00,826.00,835.00,1058.00,1008.00,958.00,854.00,1008.00,1013.00,1011.00
        residual oil,, , , , , , , , ,194.00,198.00,201.00,205.00,209.00,213.00,217.00,221.00,225.00,229.00,223.00,218.00, ,213.00,213.00,213.00,213.00,213.00, , , ,1.00, , , 
        other,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.00, , , 
Railroads,OFF-HIGHWAY (Tier 1 - 12)_Railroads,1136.00,1130.00,1125.00,1119.00,1114.00,1108.00,1164.00,1220.00,1275.00,1230.00,1185.00,1139.00,1094.00,1048.00,1003.00,958.00,912.00,867.00,893.00,919.00,945.00,962.00,979.00,996.00,1014.00,1031.00,1048.00,1061.00,1073.00,939.00,1001.00,999.00,889.00
Other,OFF-HIGHWAY (Tier 1 - 12)_Other,24.00,31.00,39.00,47.00,55.00,63.00,71.00,80.00,88.00,96.00,104.00,112.00,120.00,129.00,137.00,145.00,154.00,163.00,172.00,181.00,189.00,199.00,207.00,216.00,225.00,234.00,243.00,251.00,246.00,255.00,278.00,286.00,295.00
        liquified petroleum gas,,5.00,13.00,20.00,28.00,35.00,43.00,50.00,58.00,66.00,73.00,81.00,89.00,97.00,104.00,112.00,120.00,129.00,137.00,145.00,154.00,162.00,171.00,179.00,188.00,196.00,204.00,213.00,221.00,215.00,215.00,246.00,254.00,262.00
        compressed natural gas,,19.00,19.00,19.00,20.00,20.00,21.00,21.00,22.00,22.00,22.00,23.00,23.00,24.00,24.00,25.00,25.00,26.00,26.00,26.00,27.00,27.00,28.00,28.00,29.00,29.00,30.00,30.00,30.00,31.00,39.00,32.00,32.00,33.00
MISCELLANEOUS (Tier 0 - 04),MISCELLANEOUS (Tier 0 - 04),330.00,300.00,234.00,198.00,219.00,165.00,233.00,194.00,189.00,214.00,248.00,213.00,165.00,254.00,210.00,310.00,259.00,352.00,727.00,293.00,368.00,286.00,255.00,241.00,390.00,267.00,412.00,187.00,179.00,251.00,276.00,184.00,356.00
MISCELLANEOUS (Tier 1 - 14),MISCELLANEOUS (Tier 1 - 14),330.00,300.00,234.00,198.00,219.00,165.00,233.00,194.00,189.00,214.00,248.00,213.00,165.00,254.00,210.00,310.00,259.00,352.00,727.00,293.00,368.00,286.00,255.00,241.00,390.00,267.00,412.00,187.00,179.00,251.00,276.00,184.00,356.00
Agriculture & Forestry,MISCELLANEOUS (Tier 1 - 14)_Agriculture & Forestry, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.00,0.00,0.00,2.00
        agricultural livestock,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00, , , 
Other Combustion,MISCELLANEOUS (Tier 1 - 14)_Other Combustion,330.00,300.00,234.00,198.00,219.00,165.00,233.00,194.00,189.00,214.00,248.00,213.00,165.00,254.00,210.00,310.00,259.00,352.00,727.00,293.00,368.00,285.00,253.00,240.00,388.00,265.00,412.00,187.00,179.00,248.00,275.00,183.00,353.00
Health Services,, , , , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cooling Towers,, , , , , , , , , , , , , , , , , , , , , , ,0.00, ,0.00,0.00, , , , , , , 
Fugitive Dust,MISCELLANEOUS (Tier 1 - 14)_Fugitive Dust, , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.00,1.00,1.00, , , ,0.00, , , 
Other,MISCELLANEOUS (Tier 1 - 14)_Other, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00, , , , 
