# File: RECS_2005.csv
# Title: Residential Energy Consumption Survey 2005
# Source: Fill in
# Units: Fill in
DOEID,REGIONC,DIVISION,LRGSTATE,TYPEHUQ,NWEIGHT,HD65,CD65,YEARMADE,OVENA,FUELFOOD,NUMFRIG,AGERFRI1,AGERFRI2,AGERFRI3,NUMFREEZ,AGEFRZR,DISHWASH,AGEDW,CWASHER,AGECWASH,DRYER,DRYRFUEL,AGECDRYER,FUELHEAT,EQUIPM,NUMH2OHTRS,WHEATAGE,AIRCOND,COOLTYPE,AGECENAC,NUMBERAC,WWACAGE,LGT12,LGT12EE,LGT4,LGT4EE,LGT1,LGT1EE,NOUTLGTNT,FUELH2O,ELWARM,ELFOOD,ELWATER,ELCOOL,ELOTHER,UGWARM,UGWATER,UGCOOK,UGOTH,LPWARM,LPWATER,LPCOOK,LPGRILL,LPOTHER,FOWARM,FOWATER,FOOTHER,KRWARM,KRWATER,KROTHER,WDWARM,SOLWATER,TOTSQFT,TOTHSQFT,BTUEL,BTUNG,BTUFO,BTULP,BTUKER,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,BTUFOAPL,BTUFOSPH,BTUFOWTH,BTULPAPL,BTULPSPH,BTULPWTH,BTUWOOD
838,2,4,0,2,27969.12134,5840,1325,2,1,1,1,3,99,9,1,3,0,99,1,2,1,1,2,1,3,0,3,1,1,2,99,9,1,0,3,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1820,910,45929,77484,9999999,9999999,9999999,0,0,5196,4364,10467,0,0,31098,10659,17451,49374,9999999,9999999,9999999,9999999,9999999,9999999,9999999
839,3,6,0,2,19271.29337,4099,1671,10,5,5,1,3,99,9,0,9,1,5,1,2,1,5,3,5,3,0,1,1,1,2,99,9,0,0,4,0,7,0,0,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1680,1680,58779,9999999,9999999,9999999,9999999,3522,588,0,5733,10176,10409,9665,22796,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
840,2,4,0,2,4537.295015,4545,1615,6,5,5,1,2,99,9,1,2,1,5,1,2,1,5,2,5,3,0,1,1,1,5,99,9,0,0,0,0,1,1,0,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2700,2700,69199,9999999,9999999,9999999,9999999,5429,497,3400,1268,11610,15896,10281,30144,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
841,2,3,0,2,30280.66002,7551,717,10,5,5,1,2,99,9,1,3,1,2,1,2,1,5,2,1,3,0,2,1,1,2,99,9,0,0,0,0,2,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3688,2532,44963,74397,9999999,9999999,9999999,2770,810,5547,2174,6863,0,0,35926,0,25945,48452,9999999,9999999,9999999,9999999,9999999,9999999,9999999
842,4,9,2,5,19637.12502,909,1275,5,5,5,1,4,99,9,0,9,1,4,0,9,0,99,9,5,5,0,0,1,2,9,1,1,0,0,3,1,3,2,99,2,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1197,399,14665,9999999,9999999,21097,9999999,0,481,0,2821,1461,0,2706,7677,9999999,9999999,9999999,9999999,9999999,9999999,0,0,21097,9999999
843,1,2,0,3,24945.73294,5448,1342,1,1,1,2,4,4,9,0,9,1,2,1,1,1,5,4,1,2,0,4,1,2,9,2,3,0,0,2,0,2,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3060,2295,29671,71516,9999999,9999999,9999999,2763,809,0,7780,4030,0,0,17861,2536,12432,56548,9999999,9999999,9999999,9999999,9999999,9999999,9999999
844,4,8,0,1,21193.18345,768,4331,5,5,5,1,3,99,9,0,9,0,99,1,2,0,99,9,99,99,1,3,1,2,9,3,2,1,0,0,0,0,0,99,2,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,952,0,30530,9999999,44438,25755,9999999,0,0,0,2739,21081,0,0,6710,9999999,9999999,9999999,0,0,44438,0,0,25755,9999999
845,1,2,0,2,5375.325851,4904,1325,1,5,5,1,6,99,9,0,9,0,99,1,6,1,5,6,3,3,0,6,1,2,9,2,6,0,0,0,0,4,0,0,5,0,1,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2736,2736,61747,9999999,110983,9999999,9999999,5667,0,0,5548,9580,14273,0,32346,9999999,9999999,9999999,0,110983,0,9999999,9999999,9999999,9999999
846,3,5,4,1,37375.43963,482,3005,5,5,5,1,2,99,9,0,9,1,2,1,4,1,5,4,5,3,0,4,1,1,4,99,9,0,0,1,0,2,0,99,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1188,1188,38255,9999999,9999999,9999999,9999999,3751,627,0,1681,12670,7440,2968,13496,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
847,4,9,2,2,23881.29201,1955,1863,1,1,1,1,2,99,9,0,9,0,99,1,4,1,1,4,1,6,0,5,0,9,9,99,9,2,2,2,2,3,3,0,1,0,0,0,0,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1147,430,17343,70384,9999999,9999999,9999999,0,0,0,2925,0,0,0,14418,15144,24440,30800,9999999,9999999,9999999,9999999,9999999,9999999,9999999
848,1,2,0,2,38772.46837,5516,1049,5,1,1,1,2,99,9,0,9,1,3,1,3,1,1,3,1,2,0,3,1,1,3,99,9,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5322,1374,16108,88288,9999999,9999999,9999999,0,413,0,3572,5383,0,0,7153,9618,15162,63508,9999999,9999999,9999999,9999999,9999999,9999999,9999999
849,1,1,0,2,14776.9933,6987,548,1,1,1,1,6,99,9,0,9,1,3,1,3,1,1,6,1,2,0,2,1,2,9,2,3,0,0,2,0,3,2,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3432,1716,26231,100110,9999999,9999999,9999999,0,564,0,3306,3400,0,0,19525,10655,20507,68948,9999999,9999999,9999999,9999999,9999999,9999999,9999999
850,3,6,0,2,26988.54439,4288,1487,6,5,5,1,3,99,9,0,9,0,99,1,4,1,5,4,5,3,0,5,1,2,9,2,3,0,0,3,0,4,0,0,5,1,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,864,864,47478,9999999,9999999,9999999,9999999,5139,0,0,4699,5362,7920,11716,17781,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
851,3,5,0,4,37891.99088,3650,1636,11,5,5,1,2,99,9,0,9,0,99,0,9,0,99,9,5,3,0,2,1,1,2,99,9,0,0,0,0,0,0,99,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,663,663,30629,9999999,9999999,9999999,9999999,0,0,0,3559,3634,6761,8961,7714,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
852,3,5,0,2,5127.843049,4504,1660,1,1,1,2,1,1,9,0,9,1,1,1,1,1,5,1,1,3,0,1,1,1,1,99,9,0,0,10,3,6,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3271,2472,28354,119364,9999999,9999999,9999999,2355,393,0,3356,5635,0,3168,16195,8053,39487,71824,9999999,9999999,9999999,9999999,9999999,9999999,9999999
853,4,9,2,2,31737.36248,1149,369,2,1,1,1,1,99,9,0,9,1,1,1,2,1,1,3,5,10,0,1,0,9,9,99,9,0,0,1,0,2,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2156,293,15340,24311,9999999,9999999,9999999,0,636,0,2752,0,0,3902,8686,6871,17440,0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
854,2,3,0,2,30628.71359,6991,825,9,5,5,2,3,4,9,0,9,1,3,1,1,1,5,1,1,3,0,3,1,1,3,99,9,0,0,5,1,10,6,3,1,0,1,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3180,2530,48116,137783,9999999,9999999,9999999,3222,538,0,8146,6764,0,0,33206,0,48226,89557,9999999,9999999,9999999,9999999,9999999,9999999,9999999
855,4,8,0,2,3807.483265,7445,318,1,5,5,1,3,99,9,1,4,0,99,1,4,1,5,4,1,3,0,1,1,2,9,1,5,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2380,1603,17145,167007,9999999,9999999,9999999,2602,0,2975,2379,327,0,0,14439,0,35154,131853,9999999,9999999,9999999,9999999,9999999,9999999,40000
856,4,8,0,2,22796.9892,1152,3485,4,5,5,1,4,99,9,1,3,1,4,1,2,1,5,2,1,3,0,4,1,1,2,99,9,0,0,2,0,2,2,0,1,0,1,0,1,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3378,3378,82642,46202,9999999,9999999,9999999,3842,642,4392,3761,32170,0,0,46711,14916,20586,10700,9999999,9999999,9999999,9999999,9999999,9999999,9999999
857,3,7,0,1,35685.8119,3921,1747,4,5,5,1,3,99,9,1,2,0,99,1,4,1,5,3,2,21,0,3,1,2,9,2,5,0,0,0,0,2,2,99,5,1,1,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,624,416,18152,9999999,9999999,89960,9999999,1345,0,3415,2154,2288,2516,2876,8318,9999999,9999999,9999999,9999999,9999999,9999999,0,89960,0,9999999
858,2,3,0,2,5675.96865,4162,2121,6,1,1,1,3,99,9,0,9,0,99,1,3,1,5,3,1,3,0,6,1,1,6,99,9,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3556,2409,24641,178429,9999999,9999999,9999999,3022,0,0,2763,12263,0,0,9615,10307,42333,125789,9999999,9999999,9999999,9999999,9999999,9999999,9999999
859,1,1,0,2,3323.507977,9570,184,4,5,5,1,2,99,9,1,2,1,2,1,3,1,5,2,3,3,0,6,0,9,9,99,9,0,0,0,0,1,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,3432,2183,18155,9999999,232167,9999999,9999999,1303,381,3308,1851,0,0,0,16304,9999999,9999999,9999999,0,180663,51504,9999999,9999999,9999999,9999999
860,3,7,3,4,38082.0132,2019,3132,5,5,5,1,1,99,9,0,9,1,3,1,3,1,5,3,5,3,0,6,1,1,4,99,9,0,0,3,3,2,2,99,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,996,747,22905,9999999,9999999,9999999,9999999,0,441,0,2142,3637,5762,4046,7318,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
861,3,6,0,2,27601.00991,1653,2468,11,1,1,2,3,4,9,1,4,1,4,1,2,1,5,3,5,3,0,2,1,1,5,99,9,2,0,3,3,3,3,0,5,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2301,1267,71561,3623,9999999,9999999,9999999,4246,709,6155,8234,0,16050,6602,40675,3623,0,0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
862,2,3,0,4,52799.66515,6417,932,2,1,1,1,1,99,9,0,9,0,99,1,1,1,1,1,1,3,0,1,1,2,9,1,2,0,0,1,0,1,0,99,1,0,0,0,0,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3224,3224,13222,79027,9999999,9999999,9999999,0,0,0,2192,1803,0,0,9227,9401,14818,54808,9999999,9999999,9999999,9999999,9999999,9999999,9999999
863,4,9,2,2,33977.52973,4719,378,1,1,1,1,3,99,9,0,9,1,6,1,3,1,1,3,1,3,0,3,1,3,6,2,1,2,2,3,3,4,4,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4976,4976,34158,58447,9999999,9999999,9999999,0,867,0,3896,2349,0,0,27913,7891,15228,35328,9999999,9999999,9999999,9999999,9999999,9999999,5000
864,2,4,0,5,28066.11641,4152,2170,5,5,5,1,4,99,9,0,9,0,99,0,9,0,99,9,5,3,0,2,1,1,6,99,9,0,0,2,0,1,0,99,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,634,634,8127,9999999,9999999,9999999,9999999,0,0,0,1162,917,1268,2557,2223,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
865,2,3,0,2,7029.93062,5373,1412,3,5,5,1,3,99,9,1,3,0,99,0,9,0,99,9,1,3,0,4,1,2,9,1,2,2,0,3,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1872,1686,15102,76773,9999999,9999999,9999999,0,0,3529,2226,1457,0,0,11419,0,10008,66765,9999999,9999999,9999999,9999999,9999999,9999999,9999999
866,3,5,0,1,28968.90409,3690,1618,10,5,5,1,2,99,9,1,4,1,2,1,5,1,5,5,5,4,0,2,1,1,2,99,9,3,0,4,0,7,0,99,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1404,1404,52419,9999999,9999999,9999999,9999999,5513,504,3452,1353,9734,8060,7362,25910,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
867,2,3,0,2,52189.25797,4773,1379,4,5,5,1,5,99,9,0,9,1,5,1,4,1,5,5,3,2,0,4,0,9,9,99,9,0,0,1,1,0,0,1,5,0,1,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,3153,3153,14740,9999999,93311,9999999,9999999,0,396,0,2323,0,5179,0,7238,9999999,9999999,9999999,0,93311,0,9999999,9999999,9999999,20000
868,1,1,0,4,12018.21477,7087,519,1,5,5,1,3,99,9,0,9,0,99,1,4,1,5,1,3,2,0,3,1,2,9,1,1,1,0,2,0,2,0,99,3,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1015,812,19950,9999999,122325,9999999,9999999,3347,0,0,3214,1054,0,2238,13444,9999999,9999999,9999999,0,89834,32491,9999999,9999999,9999999,9999999
869,4,9,0,5,5889.205408,4515,152,7,5,5,1,3,99,9,0,9,1,4,0,9,0,99,9,5,5,0,0,0,9,9,99,9,0,0,0,0,1,0,99,5,1,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,726,726,14515,9999999,9999999,9999999,9999999,0,438,0,2399,0,2802,6007,3307,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
870,1,2,0,2,27805.30627,5967,927,5,5,5,1,1,99,9,1,3,1,2,1,3,1,5,3,21,8,0,1,1,1,1,99,9,0,0,2,1,3,1,0,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2490,1792,56039,9999999,9999999,9999999,9999999,3881,648,5626,1655,6517,11961,5977,29929,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
871,3,5,0,2,31020.09833,3247,1602,5,5,5,2,3,2,9,1,1,1,1,1,4,1,5,5,1,3,0,3,1,1,3,99,9,0,0,3,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1200,900,38702,57933,9999999,9999999,9999999,1541,451,3913,6694,8876,0,1202,21930,0,24315,33618,9999999,9999999,9999999,9999999,9999999,9999999,9999999
872,1,2,1,4,30842.50113,4687,1463,3,1,1,1,1,99,9,0,9,0,99,1,1,1,5,1,1,2,0,0,1,2,9,2,1,0,0,2,2,0,0,99,1,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1186,1186,4767,40234,9999999,9999999,9999999,699,0,0,548,834,0,0,3385,3069,10621,26544,9999999,9999999,9999999,9999999,9999999,9999999,9999999
873,4,9,2,2,31305.56163,2376,588,5,5,5,1,5,99,9,1,5,1,3,1,4,1,5,4,1,3,0,3,1,2,9,1,2,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,3578,2384,30394,51965,9999999,9999999,9999999,2616,437,2991,4559,645,0,1009,24181,1976,24103,25886,9999999,9999999,9999999,9999999,9999999,9999999,80000
874,3,5,0,2,28195.31865,1931,2758,6,5,5,1,4,99,9,1,1,1,3,1,3,1,5,4,5,3,0,3,1,1,4,99,9,0,0,8,1,2,0,2,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3596,1798,66380,9999999,9999999,9999999,9999999,3717,621,4250,6479,20274,7373,7161,25093,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
875,2,4,0,2,23303.37951,7286,877,4,1,1,1,1,99,9,1,1,0,99,1,1,1,5,1,1,3,0,1,1,1,2,99,9,0,0,0,0,0,0,1,5,1,0,1,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2504,2504,55076,128728,9999999,9999999,9999999,3641,0,5279,3102,6680,20547,2464,22283,14202,0,114526,9999999,9999999,9999999,9999999,9999999,9999999,9999999
876,3,6,0,5,20589.49071,3969,1388,7,5,5,1,4,99,9,0,9,1,4,0,9,0,99,9,1,2,0,0,1,1,4,99,9,0,0,3,0,1,1,99,1,0,1,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,693,693,22809,31072,9999999,9999999,9999999,0,1031,0,6044,8334,0,0,8431,0,5363,25709,9999999,9999999,9999999,9999999,9999999,9999999,9999999
877,3,5,0,3,32103.47257,4660,1363,6,5,5,2,5,2,9,0,9,1,5,1,5,1,5,5,5,3,0,5,1,1,5,99,9,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2444,2425,70758,41366,9999999,9999999,9999999,4664,779,0,7902,13435,0,13445,35976,0,41366,0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
878,3,5,0,5,36916.76648,3114,1358,9,5,1,1,3,99,9,0,9,1,3,1,2,1,1,2,1,3,0,3,1,1,3,99,9,1,0,1,0,1,0,99,1,0,1,0,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,964,964,13655,30527,9999999,9999999,9999999,0,532,0,4940,2257,0,0,6458,5144,13783,11600,9999999,9999999,9999999,9999999,9999999,9999999,9999999
879,3,7,0,2,34488.41988,3149,2104,3,5,5,1,1,99,9,0,9,1,1,1,1,1,5,1,1,3,0,2,1,1,4,99,9,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3038,1269,26402,68223,9999999,9999999,9999999,3126,522,0,1095,11606,0,0,13701,0,29947,38276,9999999,9999999,9999999,9999999,9999999,9999999,9999999
880,3,5,0,2,34107.2403,3138,1257,5,5,5,1,3,99,9,0,9,1,3,1,3,1,5,3,5,3,0,3,1,1,3,99,9,2,0,2,0,1,0,0,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,768,384,46549,9999999,9999999,9999999,9999999,3999,668,0,3656,4605,10674,6834,20780,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
881,3,7,3,2,28252.94115,1366,3542,5,1,1,1,2,99,9,0,9,1,2,1,2,1,5,2,1,3,0,2,1,1,3,99,9,2,2,2,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1550,690,56226,50524,9999999,9999999,9999999,6207,1037,0,5288,22440,0,0,28498,5838,28625,16061,9999999,9999999,9999999,9999999,9999999,9999999,9999999
882,3,5,0,2,36197.51568,2939,2409,1,5,5,1,3,99,9,0,9,1,3,1,2,1,5,3,2,3,0,3,1,1,4,99,9,2,0,3,0,2,0,1,5,0,1,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,2907,2492,47403,9999999,9999999,24058,9999999,2501,732,0,4005,8062,6751,0,28585,9999999,9999999,9999999,9999999,9999999,9999999,0,24058,0,20000
883,3,5,0,2,29248.47633,3263,1564,7,5,5,1,1,99,9,1,4,1,4,1,4,1,5,1,1,3,0,3,1,1,3,99,9,0,0,0,0,2,2,0,1,0,1,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2957,2557,43725,54331,9999999,9999999,9999999,0,547,3743,4502,12083,0,0,27140,0,25482,28849,9999999,9999999,9999999,9999999,9999999,9999999,9999999
884,2,4,0,2,4997.066542,7675,667,6,5,5,1,3,99,9,0,9,1,2,1,4,1,5,4,1,3,0,4,1,1,4,99,9,11,0,5,3,5,3,3,1,0,1,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2812,2412,45417,110000,9999999,9999999,9999999,6781,620,0,3396,3257,0,0,38764,0,37324,72676,9999999,9999999,9999999,9999999,9999999,9999999,9999999
885,1,1,0,2,11921.69206,6665,777,4,5,5,1,2,99,9,1,5,0,99,1,4,1,5,5,3,2,0,5,1,2,9,1,5,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1020,453,15504,9999999,101377,9999999,9999999,1708,0,3421,2428,789,0,0,12287,9999999,9999999,9999999,0,76266,25111,9999999,9999999,9999999,9999999
886,4,9,0,2,21506.39193,9188,0,5,5,5,1,5,99,9,0,9,0,99,0,9,0,99,9,1,6,0,5,0,9,9,99,9,1,0,1,0,1,0,0,5,1,1,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,238,238,24498,96895,9999999,9999999,9999999,0,0,0,2866,0,11066,2078,8488,0,0,96895,9999999,9999999,9999999,9999999,9999999,9999999,9999999
887,3,5,0,2,33658.96086,3040,1459,7,5,5,2,1,4,9,1,1,1,4,1,3,1,5,3,1,3,0,3,1,1,4,99,9,0,0,3,0,3,0,0,5,1,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4800,1029,54374,75323,9999999,9999999,9999999,2292,671,5820,6980,4944,8751,4472,29227,0,0,75323,9999999,9999999,9999999,9999999,9999999,9999999,15000
888,4,9,2,5,25955.15655,625,1438,5,1,1,1,4,99,9,0,9,0,99,0,9,0,99,9,1,3,0,4,1,1,4,99,9,1,0,5,0,1,0,99,1,0,0,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,745,745,26579,6277,9999999,9999999,9999999,0,0,0,3482,7460,0,0,15637,1826,3473,978,9999999,9999999,9999999,9999999,9999999,9999999,9999999
889,3,5,4,5,42964.10619,169,3928,6,5,5,1,3,99,9,0,9,0,99,1,3,0,99,9,99,99,0,6,1,1,1,99,9,0,0,4,0,4,2,99,5,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1681,1681,63291,9999999,9999999,9999999,9999999,0,0,0,3966,33025,12729,0,13571,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
890,2,4,0,2,26330.60119,7663,633,8,1,1,1,4,99,9,1,5,0,99,1,4,1,1,4,1,3,0,4,1,1,2,99,9,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,912,912,21769,45688,9999999,9999999,9999999,0,0,4800,4317,4498,0,0,12954,4267,10833,30588,9999999,9999999,9999999,9999999,9999999,9999999,60000
891,3,5,0,2,36968.72706,2892,2565,6,5,5,1,4,99,9,0,9,1,1,1,4,1,5,4,5,4,0,3,1,1,3,99,9,0,0,1,1,1,1,3,5,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5328,3552,29159,9999999,9999999,9999999,9999999,1870,312,0,1831,7421,4081,6069,9757,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
892,1,1,0,2,15100.80994,7779,472,8,5,5,1,4,99,9,1,3,1,4,1,3,1,5,3,3,2,0,4,0,9,9,99,9,0,0,0,0,4,4,0,3,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,3657,3007,51934,9999999,203458,9999999,9999999,4163,695,4759,7255,0,0,0,44679,9999999,9999999,9999999,0,149279,54179,9999999,9999999,9999999,9999999
893,2,3,0,2,6835.388472,4529,1564,5,5,5,1,4,99,9,1,4,1,3,1,4,1,5,4,2,3,0,2,1,1,5,99,9,0,0,0,0,2,2,0,1,0,1,0,1,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3200,2400,22287,10598,9999999,43838,9999999,2683,448,3067,2626,5017,0,0,14644,0,10598,0,9999999,9999999,9999999,0,43838,0,9999999
894,1,1,0,2,13247.75215,5956,873,5,2,2,1,4,99,9,1,4,1,4,1,3,1,2,3,7,8,0,2,0,9,9,99,9,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,3121,2120,25406,9999999,9999999,19448,9999999,0,943,6452,4535,0,0,0,20871,9999999,9999999,9999999,9999999,9999999,9999999,5569,0,13879,160000
895,2,3,0,3,36926.19273,6125,1146,7,1,1,1,4,99,9,1,3,1,1,1,4,1,1,4,1,3,0,4,1,1,4,99,9,0,0,2,1,4,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7097,2438,67616,155688,9999999,9999999,9999999,0,1191,8156,7335,11109,0,0,49172,21838,42029,91821,9999999,9999999,9999999,9999999,9999999,9999999,9999999
896,3,5,0,2,27892.10778,3809,1567,6,5,2,1,2,99,9,0,9,1,4,1,3,1,5,3,2,9,0,5,1,1,1,99,9,1,0,2,0,1,0,1,5,1,1,1,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,3264,1632,35925,9999999,9999999,34431,9999999,2847,475,0,2059,9171,6204,1372,17119,9999999,9999999,9999999,9999999,9999999,9999999,3899,30532,0,9999999
897,1,1,0,2,13422.94217,6711,698,3,5,5,2,3,2,9,0,9,1,1,1,3,1,5,3,3,3,0,1,1,1,4,99,9,0,0,2,0,3,0,0,5,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3012,1092,43873,9999999,56769,9999999,9999999,3992,667,0,7071,3998,12320,0,20484,9999999,9999999,9999999,0,56769,0,9999999,9999999,9999999,9999999
898,3,7,0,2,27419.36487,2611,2314,5,1,1,1,2,99,9,3,2,0,99,1,1,1,5,3,1,3,0,4,1,1,1,99,9,0,0,0,0,3,2,0,1,0,0,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1232,1232,36842,67827,9999999,9999999,9999999,2913,0,9992,1305,11206,0,0,24331,6330,25996,35501,9999999,9999999,9999999,9999999,9999999,9999999,9999999
899,4,9,0,2,16283.61396,17,2814,4,5,5,1,3,99,9,1,3,0,99,1,1,1,5,4,99,99,0,1,0,9,9,99,9,0,0,1,0,1,0,0,5,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1464,0,17903,9999999,9999999,9999999,9999999,2340,0,3392,3809,0,3539,0,10555,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
