# File: reeds_wind_curve_capacity.csv
# Title: Onshore Wind Resource Potential by ReEDS Wind Region; Class; and Bin
# Units: MW
# Comments: Onshore wind resource potential in MW for each region-class-bin. Bins are the portions of the interconnection supply curves. Summing across bins will provide total resource in a region and class.
# Source: Information based on ReEDS version 2017.  Files provided by ReEDS team in April 2017.
# Column types: iccnnnnn 
# ----------
Wind.Resource.Region,Wind.Class,Wind.Type,wsc1,wsc2,wsc3,wsc4,wsc5
54,class7,wind-ons,720.72,326.22,391.08,12473.82,7660.02
54,class8,wind-ons,525.36,7251.66,20192.88,17217.42,4775.16
54,class9,wind-ons,2787,18438.6,19434.96,17080.68,3302.64
55,class10,wind-ons,3247.74,2264.82,2890.8,1465.86,362.16
55,class4,wind-ons,0.6,0,0,0,0
55,class5,wind-ons,0.12,0.6,0.96,1.32,5.52
55,class6,wind-ons,1.68,1.8,157.02,125.88,179.7
55,class7,wind-ons,92.22,177.48,698.58,2379.36,924
55,class8,wind-ons,3487.8,1627.2,5284.32,4105.08,2224.92
55,class9,wind-ons,7503.9,4899,8379.42,10914.66,2395.98
56,class10,wind-ons,747.24,5856.72,8466.3,5279.4,1317.3
56,class6,wind-ons,5.1,9.48,2.16,6.96,0.3
56,class7,wind-ons,105.78,84.9,278.94,291.96,648
56,class8,wind-ons,494.22,1912.86,2594.58,2669.76,2862.3
56,class9,wind-ons,290.1,7174.5,9024.48,9392.46,4367.64
57,class10,wind-ons,105.12,2090.16,6641.94,5332.38,1174.68
57,class5,wind-ons,0.06,0,0,0,0
57,class6,wind-ons,6.84,4.68,3.12,8.28,5.94
57,class7,wind-ons,90.36,67.38,216.9,430.38,598.2
57,class8,wind-ons,323.1,1062.3,3519.24,4205.4,2054.22
57,class9,wind-ons,352.44,6724.08,8734.14,6996,2442.9
58,class10,wind-ons,3780.3,3989.22,4567.98,4399.32,2897.28
58,class6,wind-ons,0.48,0.96,0.84,11.4,2.52
58,class7,wind-ons,25.56,20.82,51.24,53.52,11.04
58,class8,wind-ons,98.58,556.26,678.42,592.92,2283.84
58,class9,wind-ons,3470.16,3106.92,3347.82,4464.96,1724.22
59,class10,wind-ons,0.18,3527.28,7733.64,7201.08,2846.22
59,class3,wind-ons,0.36,0,0,0,0
59,class5,wind-ons,1.2,1.68,2.64,2.46,5.82
59,class6,wind-ons,32.4,34.62,30.3,38.88,98.52
59,class7,wind-ons,217.98,107.52,623.82,936.9,1481.34
59,class8,wind-ons,92.28,1930.38,4482.66,5116.14,5276.64
59,class9,wind-ons,2462.22,7009.62,7378.38,5111.46,1649.4
60,class1,wind-ons,10.56,4.2,0.84,3,3.48
60,class10,wind-ons,2244.96,2164.32,1043.64,796.86,197.58
60,class2,wind-ons,2.76,2.16,0.12,2.64,0
60,class3,wind-ons,0.84,6,2.04,1.68,1.92
60,class4,wind-ons,0.48,2.82,1.2,1.56,6.36
60,class5,wind-ons,5.64,13.08,18.72,21.3,10.92
60,class6,wind-ons,13.26,42.18,21.06,54.3,5.46
60,class7,wind-ons,9.36,71.34,148.74,109.92,130.08
60,class8,wind-ons,70.14,214.08,180.84,156.24,26.46
60,class9,wind-ons,102.72,218.52,192.9,370.74,91.32
61,class1,wind-ons,1.56,1.08,1.68,8.4,7.32
61,class10,wind-ons,813.96,1921.44,1923.36,1773.48,542.94
61,class2,wind-ons,0.36,0.96,0,0,0
61,class3,wind-ons,1.8,3.36,0.96,1.56,2.04
61,class4,wind-ons,3.24,1.56,0.6,4.92,3.06
61,class5,wind-ons,4.26,7.2,1.2,18.6,7.62
61,class6,wind-ons,12.96,22.38,29.64,11.76,38.7
61,class7,wind-ons,8.58,8.28,59.46,45,121.32
61,class8,wind-ons,50.04,86.34,140.16,46.08,17.64
61,class9,wind-ons,81.3,55.8,136.32,154.74,83.58
62,class1,wind-ons,10.62,9.24,2.52,9.96,0.36
62,class10,wind-ons,1216.98,2672.1,2410.08,2529.24,402.42
62,class2,wind-ons,0.48,2.64,0.96,5.04,1.08
62,class3,wind-ons,0.72,0.24,5.7,0.36,12.78
62,class4,wind-ons,3.72,4.2,1.68,8.28,22.38
62,class5,wind-ons,0.84,30.24,31.68,40.92,1.44
62,class6,wind-ons,80.04,131.7,27.36,29.1,71.64
62,class7,wind-ons,10.74,80.04,95.28,181.26,415.44
62,class8,wind-ons,89.46,170.34,245.7,643.08,241.56
62,class9,wind-ons,244.74,475.32,563.64,1104.3,16.8
63,class1,wind-ons,16.32,5.16,28.32,15.72,2.64
63,class10,wind-ons,1247.34,2453.76,2919.36,2849.76,2167.08
63,class2,wind-ons,8.16,2.04,1.68,0.84,0.6
63,class3,wind-ons,16.98,18.18,1.08,2.52,0.24
63,class4,wind-ons,6.36,16.8,7.38,0.72,43.5
63,class5,wind-ons,123.84,42.24,25.8,4.2,130.14
63,class6,wind-ons,77.82,104.4,193.44,1086.72,424.44
63,class7,wind-ons,89.34,671.46,1310.46,987.06,1662.06
63,class8,wind-ons,2244.18,1314.42,1213.56,1368.6,2714.46
63,class9,wind-ons,1538.22,589.74,1029.12,2292.54,2967.42
64,class1,wind-ons,12.48,30.3,57.72,120.72,77.58
64,class10,wind-ons,12.06,30.18,153.18,424.92,2.46
64,class2,wind-ons,2.04,16.14,21.96,15.66,41.46
64,class3,wind-ons,22.2,55.32,20.58,55.62,105.96
64,class4,wind-ons,9.72,55.92,42.78,173.94,273.6
64,class5,wind-ons,621.18,737.04,1470,1383.66,1220.1
64,class6,wind-ons,3142.86,5014.5,9013.02,9011.64,4119.66
64,class7,wind-ons,3333.24,7209.96,7467.66,3966.36,3113.28
64,class8,wind-ons,533.34,541.38,1195.86,2238.96,208.02
64,class9,wind-ons,3.42,98.7,443.22,582.3,10.92
65,class1,wind-ons,10.32,40.2,41.1,88.56,303.3
65,class10,wind-ons,0.66,2.28,3.6,1.92,2.16
65,class2,wind-ons,11.16,2.64,45.12,44.7,204.9
65,class3,wind-ons,82.5,99.84,411.6,221.16,50.28
65,class4,wind-ons,0.36,399.9,193.14,1024.02,246.84
65,class5,wind-ons,3050.76,3247.86,4753.62,3318.36,2298.66
65,class6,wind-ons,11772.66,20189.46,18655.74,13850.7,8442.54
65,class7,wind-ons,1402.26,2642.28,2858.04,4165.32,2075.4
65,class8,wind-ons,130.56,172.5,408.84,140.7,1.44
65,class9,wind-ons,0.6,36.36,21.36,9.54,11.46
66,class1,wind-ons,14.16,18.48,78.36,20.76,38.52
66,class10,wind-ons,0.72,0.9,1.68,1.56,1.56
66,class2,wind-ons,6.96,1.32,21.78,51.18,0.36
66,class3,wind-ons,14.88,61.08,6.48,68.46,158.04
66,class4,wind-ons,12.72,2.88,32.04,205.74,366.42
66,class5,wind-ons,48.96,118.74,988.26,810.96,2619.78
66,class6,wind-ons,4649.52,7603.26,12287.04,7464,8527.68
66,class7,wind-ons,9097.08,13748.34,7826.94,2340.78,381.06
66,class8,wind-ons,658.5,742.86,598.62,2440.92,369.9
66,class9,wind-ons,2.7,6.72,14.76,31.08,149.4
67,class1,wind-ons,51.6,121.92,37.5,49.32,89.94
67,class10,wind-ons,1291.02,1451.64,2014.02,563.04,154.8
67,class2,wind-ons,33,4.8,30.84,72.96,100.32
67,class3,wind-ons,1.08,17.82,52.86,70.2,83.82
67,class4,wind-ons,19.44,17.28,147.24,144.72,237.78
67,class5,wind-ons,93.12,222.72,758.22,1124.94,1139.16
67,class6,wind-ons,200.7,2485.62,4447.14,4803.18,1440.72
67,class7,wind-ons,3486.12,10367.04,9732.72,3928.62,266.46
67,class8,wind-ons,794.64,6505.32,7157.46,1891.86,253.86
67,class9,wind-ons,1874.46,643.14,1654.62,2402.34,378.18
68,class1,wind-ons,2.64,168.54,25.32,281.22,5.28
68,class2,wind-ons,7.32,95.76,61.68,72.66,35.52
68,class3,wind-ons,0.48,403.92,1215.18,707.4,699.96
68,class4,wind-ons,347.7,2248.14,1800.72,3045.84,2355.84
68,class5,wind-ons,3781.32,5871,7353.18,4469.88,5292.72
68,class6,wind-ons,4750.56,3651.3,2811.72,1489.98,1238.16
68,class7,wind-ons,34.8,91.86,63.42,772.74,264.96
68,class8,wind-ons,1.74,37.92,26.88,60.12,17.7
69,class1,wind-ons,0.36,5.28,4.08,3.84,10.08
69,class10,wind-ons,0.54,0.84,0,0,0
69,class2,wind-ons,0.12,0.24,0.12,0.12,0
69,class3,wind-ons,30.54,19.92,29.34,88.56,14.04
69,class4,wind-ons,25.8,37.5,18.3,281.58,563.82
69,class5,wind-ons,61.74,40.92,2169.66,8125.92,4060.68
69,class6,wind-ons,3820.14,12398.22,6473.22,3978.9,3864.3
69,class7,wind-ons,713.7,3508.86,2635.38,1290.3,790.02
69,class8,wind-ons,626.16,537.9,415.38,160.26,12.6
69,class9,wind-ons,0.06,164.1,8.16,10.26,21.6
70,class1,wind-ons,84.06,37.74,17.52,67.74,54.72
70,class10,wind-ons,676.08,6575.94,6718.26,3552.3,278.58
70,class2,wind-ons,1.68,20.4,12.6,4.8,26.7
70,class3,wind-ons,3.84,15.12,90.48,199.8,53.4
70,class4,wind-ons,30.84,4.56,15.06,315.42,292.02
70,class5,wind-ons,127.26,159.36,682.2,2370,947.22
70,class6,wind-ons,25.86,186,858.72,2812.08,4793.1
70,class7,wind-ons,339.24,991.2,3293.52,4021.38,3649.08
70,class8,wind-ons,1141.8,3127.32,5417.76,7003.8,3273.06
70,class9,wind-ons,520.44,1305.12,4232.58,8348.7,6729.78
71,class1,wind-ons,38.76,12,36.72,28.44,32.64
71,class10,wind-ons,1832.4,573.06,287.88,653.16,0.84
71,class2,wind-ons,16.8,47.28,14.64,11.22,44.64
71,class3,wind-ons,33.72,35.88,25.92,58.32,198.96
71,class4,wind-ons,108,104.1,43.5,222.48,16.08
71,class5,wind-ons,349.44,479.16,447.84,3593.7,2323.44
71,class6,wind-ons,304.44,4225.68,10954.68,13507.08,8346.72
71,class7,wind-ons,501.3,2445.72,10996.98,7566.84,4656.96
71,class8,wind-ons,1793.88,8800.2,8205.42,3777.66,1428.48
71,class9,wind-ons,1566.42,4987.38,3523.08,605.88,259.32
72,class1,wind-ons,2.52,0.96,2.04,0.96,16.8
72,class10,wind-ons,18.84,341.1,8.46,12.96,7.98
72,class2,wind-ons,3.84,28.68,0,0,0
72,class3,wind-ons,44.16,0,0,0,0
72,class4,wind-ons,0.24,0.84,13.56,87.24,104.04
72,class5,wind-ons,5.28,10.68,1.02,237.3,273.24
72,class6,wind-ons,29.46,640.86,1818.6,1266.42,1164.06
72,class7,wind-ons,955.74,3891.36,4569.54,2950.92,4037.64
72,class8,wind-ons,1995.84,2835.06,3205.62,872.46,1093.86
72,class9,wind-ons,1299.18,211.26,229.44,55.08,91.2
73,class1,wind-ons,5.4,1.44,3.6,19.08,0.6
73,class10,wind-ons,1.8,0,0,0,0
73,class2,wind-ons,0.24,8.64,0.24,0.24,5.16
73,class3,wind-ons,78.48,78.72,136.62,82.38,71.1
73,class4,wind-ons,22.44,283.5,1306.26,886.68,946.26
73,class5,wind-ons,3037.56,4432.62,2977.86,2817.06,3351.9
73,class6,wind-ons,3362.76,5157.72,5170.14,8197.2,5116.86
73,class7,wind-ons,1405.86,3266.04,2032.38,3892.44,1401.96
73,class8,wind-ons,114.66,159.9,125.16,127.26,161.28
73,class9,wind-ons,0.36,5.28,0.3,40.08,9.84
74,class1,wind-ons,1282.74,2962.86,2897.52,4638.36,2963.94
74,class10,wind-ons,0.78,0.36,18.06,4.14,15.18
74,class2,wind-ons,28.2,333.84,736.08,1429.5,1204.56
74,class3,wind-ons,1429.68,3591.78,2936.94,2304.84,2169.24
74,class4,wind-ons,1089.6,3797.64,3912.12,3568.86,1361.16
74,class5,wind-ons,3684.78,7645.92,14691.9,15549.78,8217.36
74,class6,wind-ons,2848.8,9972.54,21007.68,19294.92,13832.28
74,class7,wind-ons,33.66,2366.82,5955.96,5222.7,3596.7
74,class8,wind-ons,8.7,494.82,349.26,698.64,1471.62
74,class9,wind-ons,2.58,22.14,121.5,137.22,140.22
75,class10,wind-ons,0.48,1173.84,2725.5,2654.88,1532.7
75,class5,wind-ons,1.44,0.72,1.68,0,0
75,class6,wind-ons,16.8,57.9,69.12,24.3,143.58
75,class7,wind-ons,39.48,103.74,332.58,1540.38,1379.1
75,class8,wind-ons,11.34,232.5,1905.12,2175.96,4180.26
75,class9,wind-ons,193.68,770.82,666.48,4092.72,3928.92
76,class10,wind-ons,1.32,1394.28,4467.96,3296.52,1693.38
76,class6,wind-ons,0.72,5.46,11.04,5.64,3.36
76,class7,wind-ons,67.14,148.5,44.1,185.1,776.94
76,class8,wind-ons,22.92,515.34,1888.8,1460.4,527.58
76,class9,wind-ons,0.72,796.32,1329.72,2721.72,1186.62
77,class10,wind-ons,1.32,1652.76,3085.74,989.16,2730.6
77,class6,wind-ons,3.48,1.26,1.08,0.12,0.72
77,class7,wind-ons,105.72,44.28,36.06,100.92,352.68
77,class8,wind-ons,80.1,3225.72,2991.06,1428.96,291.6
77,class9,wind-ons,2.88,2186.7,3723.48,1612.92,1738.08
78,class1,wind-ons,2.64,3.78,21.66,4.2,7.56
78,class10,wind-ons,1.44,1276.92,571.86,2111.46,3180.24
78,class2,wind-ons,10.56,0,0,0,0
78,class3,wind-ons,0.84,0.84,3.3,0.36,10.32
78,class4,wind-ons,0.12,0,0,0,0
78,class5,wind-ons,2.94,11.58,4.14,30.3,52.02
78,class6,wind-ons,9.06,43.74,57.48,23.52,187.32
78,class7,wind-ons,59.76,98.46,169.38,395.16,211.86
78,class8,wind-ons,67.02,778.92,2183.1,2653.26,477.24
78,class9,wind-ons,243.84,2881.44,3105.6,1582.62,143.4
79,class1,wind-ons,0.96,10.62,18.36,32.82,50.46
79,class10,wind-ons,2.46,2.16,57.12,2.4,19.92
79,class2,wind-ons,28.02,45.42,0,0,0
79,class4,wind-ons,10.32,13.5,33,68.52,0
79,class5,wind-ons,4.8,18.3,46.44,16.14,77.46
79,class6,wind-ons,37.56,77.1,37.08,30.96,283.08
79,class7,wind-ons,2.04,18.06,41.34,20.22,1011
79,class8,wind-ons,19.68,90.96,62.82,262.5,204.54
79,class9,wind-ons,1.56,211.56,137.16,91.56,85.5
80,class1,wind-ons,1.8,0.24,0.72,2.64,5.34
80,class10,wind-ons,1.62,39.72,246.9,768.72,1278.42
80,class2,wind-ons,0.12,0,0,0,0
80,class3,wind-ons,16.44,0.84,3.54,9.66,0
80,class4,wind-ons,28.32,0.84,0.12,0,0
80,class5,wind-ons,25.44,27.72,3.48,18.72,13.02
80,class6,wind-ons,20.88,161.04,62.88,28.74,166.74
80,class7,wind-ons,21.6,338.64,11.46,57.3,943.56
80,class8,wind-ons,66.18,107.28,54.36,581.46,690.78
80,class9,wind-ons,27.06,185.94,191.76,443.46,975.6
81,class1,wind-ons,0.9,0.24,4.92,0.6,3.06
81,class10,wind-ons,191.16,352.08,394.14,195.9,511.86
81,class2,wind-ons,0.24,0.48,0,0,0
81,class3,wind-ons,0.48,0.12,2.04,0,0
81,class4,wind-ons,3.42,0,0,0,0
81,class5,wind-ons,8.22,4.68,2.46,8.7,30.84
81,class6,wind-ons,26.1,24.66,33.84,74.46,441.9
81,class7,wind-ons,29.1,61.2,71.7,324.3,1348.56
81,class8,wind-ons,16.92,671.88,1147.86,205.14,18.72
81,class9,wind-ons,2.22,256.02,327.6,1834.02,77.22
82,class10,wind-ons,1.62,6.24,2.58,21.3,22.02
82,class5,wind-ons,0.3,3,0,0,0
82,class6,wind-ons,61.38,65.1,675.36,1804.86,2022.18
82,class7,wind-ons,53.7,286.92,766.38,1445.94,1830.96
82,class8,wind-ons,15.66,48.6,4.2,41.76,634.26
82,class9,wind-ons,3,7.32,115.62,6.24,78.48
83,class10,wind-ons,1.68,2.16,0,0,0
83,class6,wind-ons,0.36,53.94,4.08,148.98,672.36
83,class7,wind-ons,30.06,338.7,142.32,1508.76,1135.14
83,class8,wind-ons,3.66,138.72,1573.92,1052.04,822.96
83,class9,wind-ons,1.44,1.86,2.16,33.78,139.5
84,class1,wind-ons,0.84,5.52,0,0,0
84,class10,wind-ons,19.2,11.34,26.94,21.42,132.84
84,class4,wind-ons,14.88,0,0,0,0
84,class5,wind-ons,0.48,3,4.68,5.16,32.58
84,class6,wind-ons,4.44,80.28,419.22,498.96,1053.24
84,class7,wind-ons,804.72,1315.98,263.94,181.08,3929.64
84,class8,wind-ons,520.08,1202.34,2119.26,3414,2394.06
84,class9,wind-ons,92.22,105.78,243.42,1091.34,1152.54
85,class4,wind-ons,1.08,19.32,464.88,786.06,0
85,class5,wind-ons,98.76,8094.06,12825.54,5569.56,4578.12
85,class6,wind-ons,112.26,3853.56,6795.36,3750.84,4829.64
85,class7,wind-ons,39.9,2863.02,6467.82,5365.08,6306.12
85,class8,wind-ons,27.6,788.7,2303.64,3438.36,1438.74
85,class9,wind-ons,20.28,373.14,81.24,307.02,233.04
86,class4,wind-ons,38.52,1078.08,62.04,1390.08,115.38
86,class5,wind-ons,83.4,107.1,6779.76,9129.18,10913.1
86,class6,wind-ons,167.1,4630.38,10163.46,6354.3,7526.88
86,class7,wind-ons,99.6,1126.74,5483.1,6196.08,5263.32
86,class8,wind-ons,1788.6,627.6,80.76,49.8,902.52
87,class1,wind-ons,3.54,0.48,12,8.34,22.44
87,class10,wind-ons,4.32,5.82,12.24,0,0
87,class2,wind-ons,1.26,0.06,42.3,124.56,365.46
87,class3,wind-ons,13.32,28.5,9.6,66.6,787.62
87,class4,wind-ons,63.72,3.36,3503.82,7282.68,4044.84
87,class5,wind-ons,83.4,1498.08,2900.34,3247.14,3999.36
87,class6,wind-ons,15.36,4532.4,7023.06,6489.66,8027.94
87,class7,wind-ons,996.96,2715,4524.54,5932.08,1079.34
87,class8,wind-ons,559.8,319.68,1077.36,973.5,74.94
87,class9,wind-ons,151.08,33.96,1.26,126.48,397.2
88,class10,wind-ons,526.38,975.54,2355.9,4327.38,721.86
88,class5,wind-ons,0.36,0.12,0.36,0.06,1.44
88,class6,wind-ons,7.62,52.5,44.82,77.58,86.82
88,class7,wind-ons,354.3,310.56,3100.8,724.44,1173.78
88,class8,wind-ons,1707.3,6859.08,7495.68,14167.2,4655.7
88,class9,wind-ons,6976.86,8734.38,14496.84,9854.28,3542.88
89,class10,wind-ons,9.66,52.74,142.62,330.42,523.2
89,class4,wind-ons,0.96,0,0,0,0
89,class5,wind-ons,0.48,0,0,0,0
89,class6,wind-ons,0.12,0.24,0.36,0.24,19.98
89,class7,wind-ons,21.3,431.64,167.28,32.46,223.32
89,class8,wind-ons,581.04,3018.18,954.3,1345.44,2218.02
89,class9,wind-ons,981.66,3277.2,2167.8,1054.14,1764.42
90,class1,wind-ons,0.12,0.36,0,0,0
90,class10,wind-ons,1.02,948.36,1210.44,1162.86,1850.34
90,class2,wind-ons,0.12,0.18,0,0,0
90,class3,wind-ons,0.36,2.28,0.12,0.18,0.42
90,class4,wind-ons,0.72,1.68,0.72,1.68,0.78
90,class5,wind-ons,42.36,106.68,12.12,9.3,9.06
90,class6,wind-ons,397.44,275.04,531.42,897,1412.34
90,class7,wind-ons,1564.68,12348.6,13476,14186.46,12937.68
90,class8,wind-ons,2077.56,8763.3,17319.06,20639.58,11505.36
90,class9,wind-ons,1620.3,3087.48,8545.68,6601.98,5162.94
91,class1,wind-ons,7.62,2.88,13.5,6.24,10.2
91,class10,wind-ons,0.12,452.22,874.86,1865.58,3790.86
91,class2,wind-ons,0.36,8.16,3,0,0
91,class3,wind-ons,4.56,0,0,0,0
91,class4,wind-ons,5.7,9.48,0.24,0.24,8.46
91,class5,wind-ons,0.36,0.24,3.96,40.5,8.94
91,class6,wind-ons,21,30.3,19.62,156.48,328.38
91,class7,wind-ons,10.2,1406.4,126.78,396.48,1224.96
91,class8,wind-ons,3848.88,1061.46,483.06,3045.84,4015.08
91,class9,wind-ons,396.42,849.96,3055.68,3642.12,1730.58
92,class1,wind-ons,5.94,1.56,0.6,3.12,51.6
92,class10,wind-ons,39.6,224.04,144.96,320.82,6
92,class2,wind-ons,9.84,1.74,5.34,0,0
92,class3,wind-ons,6.78,8.76,48.3,23.76,387.06
92,class4,wind-ons,70.8,52.8,12.42,1545,1686.54
92,class5,wind-ons,33.84,93.36,2513.46,2192.64,4762.56
92,class6,wind-ons,205.44,1670.82,5262.72,6264.24,3784.08
92,class7,wind-ons,2077.2,7299.48,4891.02,5009.52,1290.72
92,class8,wind-ons,3158.16,4123.14,4415.46,2904.18,3195.12
92,class9,wind-ons,722.22,2069.64,1527.48,566.58,227.7
93,class1,wind-ons,50.52,82.38,36.12,36.36,308.4
93,class10,wind-ons,0.24,38.58,38.22,256.74,2.28
93,class2,wind-ons,12.78,29.88,912.3,2202.9,299.88
93,class3,wind-ons,42,25.38,320.76,945.18,679.86
93,class4,wind-ons,63.06,338.64,1869.54,6772.02,4548.12
93,class5,wind-ons,108.96,1442.58,10413.9,15844.5,10164.06
93,class6,wind-ons,31.68,8467.98,11544.84,16090.2,9243.3
93,class7,wind-ons,5891.16,3319.68,5851.74,8881.56,9211.62
93,class8,wind-ons,1.2,1056.6,3466.8,2449.8,1660.32
93,class9,wind-ons,0.78,158.64,854.28,978.6,90.24
94,class1,wind-ons,0.6,0.3,0.48,0,0
94,class5,wind-ons,0.24,7.32,5.16,0,0
94,class6,wind-ons,2.7,30.24,68.46,107.4,87.12
94,class7,wind-ons,54.54,221.82,52.08,1965.72,573
94,class8,wind-ons,4.02,1.98,130.44,9.84,42.48
95,class1,wind-ons,1.68,1.68,14.04,9.6,46.92
95,class10,wind-ons,0.12,0.24,0.42,0.36,2.46
95,class2,wind-ons,22.74,16.32,1.08,599.16,41.52
95,class3,wind-ons,11.58,14.76,3.6,3,482.16
95,class4,wind-ons,1.2,77.58,1921.92,2590.2,2143.86
95,class5,wind-ons,467.7,2522.34,3594.66,5019.54,6197.4
95,class6,wind-ons,750.36,2139.3,4440,3131.64,3541.5
95,class7,wind-ons,1445.76,3091.44,2887.14,2299.98,473.94
95,class8,wind-ons,432.3,679.74,646.44,907.02,102.96
95,class9,wind-ons,14.94,19.8,184.2,23.64,9.9
96,class1,wind-ons,26.58,153.84,428.28,269.88,798.06
96,class2,wind-ons,71.76,461.04,201.78,1766.34,5.46
96,class3,wind-ons,1125.6,2557.98,1392.18,1805.76,1632.18
96,class4,wind-ons,3212.94,6675.48,7841.46,7454.28,4372.14
96,class5,wind-ons,8095.5,21355.98,16773.6,12540.12,11999.7
96,class6,wind-ons,5138.88,10688.22,9340.14,8412.6,9953.1
96,class7,wind-ons,1687.74,1080,1346.1,1844.22,936.06
96,class8,wind-ons,12.42,23.94,4.62,3.36,6.9
97,class1,wind-ons,0.9,1.62,10.8,10.14,169.68
97,class2,wind-ons,1.32,0.48,0.12,89.7,24.42
97,class3,wind-ons,109.32,267.42,417.06,57.6,1099.68
97,class4,wind-ons,20.52,1979.58,3050.34,1611.24,2370.6
97,class5,wind-ons,49.02,6437.46,9857.52,6101.88,4292.58
97,class6,wind-ons,7.68,1131.66,2260.8,2046,58.32
97,class7,wind-ons,0.84,1.08,0.9,196.92,343.26
98,class1,wind-ons,10.02,84.54,62.88,56.52,669.66
98,class2,wind-ons,35.1,114,44.04,336.18,2152.2
98,class3,wind-ons,43.62,1089,3446.16,3707.04,2708.22
98,class4,wind-ons,1050.66,3626.64,5969.4,7990.26,3456.84
98,class5,wind-ons,13.26,5645.52,6777.96,4295.22,2146.32
98,class6,wind-ons,3.48,185.88,180.42,443.22,373.62
98,class7,wind-ons,1.02,0.12,4.44,2.52,12.12
99,class1,wind-ons,0.36,4.02,1.68,46.08,61.44
99,class2,wind-ons,0.12,3,9.72,10.2,333.12
99,class3,wind-ons,54.54,768.6,848.16,3949.26,2199.48
99,class4,wind-ons,2862.3,3505.74,4196.88,3559.86,3363.12
99,class5,wind-ons,1339.86,6874.74,13120.56,15854.22,10590.18
99,class6,wind-ons,76.44,374.52,721.86,2377.08,5466.06
99,class7,wind-ons,0.9,0.72,1.68,3.3,719.4
100,class1,wind-ons,39.96,12.3,8.28,13.86,87.3
100,class2,wind-ons,97.8,80.34,90.9,36.72,25.86
100,class3,wind-ons,2.88,91.38,1832.76,2210.28,1705.32
100,class4,wind-ons,3660.18,3193.38,2073.42,1485.42,708.84
100,class5,wind-ons,16.32,499.02,2895.36,3085.74,3897.78
100,class6,wind-ons,12,992.04,656.82,124.14,889.74
100,class7,wind-ons,1.56,0.12,0,0,0
101,class1,wind-ons,34.08,10.56,551.28,570.18,886.32
101,class2,wind-ons,34.8,165.12,83.76,1635.66,817.5
101,class3,wind-ons,12.6,1025.22,1547.4,3264.72,2035.74
101,class4,wind-ons,39.12,79.32,2590.68,3994.14,4526.22
101,class5,wind-ons,9.36,3348.3,6191.88,1895.04,1321.08
101,class6,wind-ons,2.4,250.62,898.98,206.28,111
102,class1,wind-ons,4.44,7.8,24,143.64,0
102,class2,wind-ons,19.32,3.42,55.02,31.2,298.5
102,class3,wind-ons,161.1,1685.58,890.16,717.96,595.14
102,class4,wind-ons,89.82,1116.66,2453.76,3272.58,3607.5
102,class5,wind-ons,117.9,1190.64,3435.72,4955.04,4724.94
102,class6,wind-ons,24.9,12.18,12.96,134.22,1317.6
102,class7,wind-ons,0.24,0.12,0,0,0
103,class4,wind-ons,11.28,158.34,0,0,0
103,class5,wind-ons,22.8,9.12,3133.62,4772.64,1233.78
103,class6,wind-ons,9.96,12.42,1.32,1489.32,1342.14
104,class1,wind-ons,56.88,54.18,21.72,320.76,61.8
104,class2,wind-ons,12.9,305.4,128.16,596.4,309.54
104,class3,wind-ons,17.1,4.38,1426.92,2397.3,3552.66
104,class4,wind-ons,3617.82,2318.94,3197.82,6454.38,2461.56
104,class5,wind-ons,2.76,3.3,9033,9746.04,7809.18
104,class6,wind-ons,1.32,0.78,403.44,2036.1,360.6
104,class7,wind-ons,12.6,19.92,9.12,0,0
105,class1,wind-ons,56.4,47.64,90.12,20.28,954.36
105,class2,wind-ons,314.28,631.92,1047.36,144.6,1455.18
105,class3,wind-ons,60.9,1012.8,328.92,1780.8,1680.9
105,class4,wind-ons,230.28,3202.08,4984.02,6248.04,3780.42
105,class5,wind-ons,970.38,5187.48,6011.16,6876.54,5242.74
105,class6,wind-ons,5698.26,240.9,1603.86,1182.78,1669.68
105,class7,wind-ons,210.18,218.52,313.8,98.16,23.58
105,class8,wind-ons,0.12,0.42,3.6,1.8,1.02
106,class1,wind-ons,12.24,1.8,8.46,1.38,6.9
106,class2,wind-ons,1.92,0.12,5.4,269.34,0
106,class3,wind-ons,83.52,206.58,461.58,619.44,373.38
106,class4,wind-ons,2715.9,3248.82,2629.32,1979.94,1656.24
106,class5,wind-ons,2.16,4043.04,5779.62,4385.22,4399.86
106,class6,wind-ons,4.62,501.42,459.72,790.02,1266.96
106,class7,wind-ons,0.72,20.88,74.28,5.04,60.48
107,class1,wind-ons,10.56,6.36,0.72,0.12,67.14
107,class2,wind-ons,0.84,8.16,11.64,44.4,0
107,class3,wind-ons,1.2,0.24,4.2,699.06,729.66
107,class4,wind-ons,13.32,4.44,702.18,2609.28,2433.18
107,class5,wind-ons,8.28,1643.82,3184.86,3612.06,4114.26
107,class6,wind-ons,3.06,1368.36,2543.46,2795.64,1179.06
107,class7,wind-ons,0.42,131.82,196.38,636.66,129.9
108,class1,wind-ons,18.48,2.16,37.62,170.52,379.8
108,class2,wind-ons,4.44,3.72,18.96,16.98,829.14
108,class3,wind-ons,24.24,1842.36,995.22,1598.04,1301.22
108,class4,wind-ons,0.84,1840.74,1899.66,3216.06,3029.88
108,class5,wind-ons,0.84,2178.18,3247.38,2832,3705.06
108,class6,wind-ons,1.68,1039.44,605.52,664.74,780.78
108,class7,wind-ons,1.08,77.88,61.74,14.4,38.4
109,class1,wind-ons,1.2,4.92,5.4,27.12,293.28
