# File: Dooley_CCS_USA.csv
# Title: CO2 Storage Capacity
# Units: In columns
# Source: Dahowski, R., Dooley, J., Davidson, C., Bachu, S. & Gupta, N. Building the Cost Curves for CO2 Storage: North America. IEA Greenhouse Gas R&D Programme, Cheltenham, UK. (2005).
# Wise, M., Dooley, J., Dahowski, R. & Davidson, C. Modeling the impacts of climate policy on the deployment of carbon dioxide capture and geologic storage across electric power regions in the United States. International Journal of Greenhouse Gas Control 1, 261-270 (2007).
# Dahowski, R. T., Davidson, C. L., Li, X. C. & Wei, N. A $70/tCO2 greenhouse gas mitigation backstop for China's industrial and electric power sectors: Insights from a comprehensive CCS cost curve. International Journal of Greenhouse Gas Control 11, 73-85, doi:10.1016/j.ijggc.2012.07.024 (2012).
# Dahowski, R., Davidson, C. & Dooley, J. Comparing large scale CCS deployment potential in the USA and China: A detailed analysis based on country-specific CO2 transport & storage cost curves. Energy Procedia 4, 2732-2739, doi:DOI: 10.1016/j.egypro.2011.02.175 (2011).
# Column types: cccnn 
# ----------
Timestep,GENUNIT,state,CO2_Mt,Cost_2005USDtCO2
TS4,P0933,OK,36.8,2.75
TS5,P0933,OK,36.8,2.75
TS1,P0984,PA,24.5,2.75
TS2,P0984,PA,24.5,2.75
TS3,P0984,PA,24.5,2.75
TS4,P0984,PA,24.5,2.75
TS5,P0984,PA,24.5,2.75
TS1,P0568,MD,88.9,2.75
TS2,P0568,MD,88.9,2.75
TS3,P0568,MD,88.9,2.75
TS4,P0568,MD,88.9,2.75
TS5,P0568,MD,88.9,2.75
TS1,P0058,AZ,110.9,2.77
TS2,P0058,AZ,110.9,2.77
TS3,P0058,AZ,110.9,2.77
TS4,P0058,AZ,110.9,2.77
TS1,P0999,PA,15.2,2.77
TS2,P0999,PA,15.2,2.77
TS3,P0999,PA,15.2,2.77
TS4,P0999,PA,15.2,2.77
TS5,P0999,PA,15.2,2.77
TS1,P0386,IL,15.2,2.78
TS2,P0386,IL,15.2,2.78
TS3,P0386,IL,15.2,2.78
TS4,P0386,IL,15.2,2.78
TS5,P0386,IL,15.2,2.78
TS1,E00240,IL,21.4,2.79
TS2,E00240,IL,21.4,2.79
TS3,E00240,IL,21.4,2.79
TS4,E00240,IL,21.4,2.79
TS5,E00240,IL,21.4,2.79
TS4,R00617,CA,27.5,2.83
TS1,P0357,IA,20.9,2.83
TS2,P0357,IA,20.9,2.83
TS3,P0357,IA,20.9,2.83
TS4,P0357,IA,20.9,2.83
TS5,P0357,IA,20.9,2.83
TS1,P0906,OH,23,2.84
TS2,P0906,OH,23,2.84
TS3,P0906,OH,23,2.84
TS4,P0906,OH,23,2.84
TS5,P0906,OH,23,2.84
TS1,C01989,IN,14.7,2.85
TS2,C01989,IN,14.7,2.85
TS3,C01989,IN,14.7,2.85
TS4,C01989,IN,14.7,2.85
TS5,C01989,IN,14.7,2.85
TS1,P1171,TX,27.7,2.86
TS2,P1171,TX,27.7,2.86
TS3,P1171,TX,27.7,2.86
TS4,P1171,TX,27.7,2.86
TS5,P1171,TX,27.7,2.86
TS1,P0948,PA,22.8,2.86
TS2,P0948,PA,22.8,2.86
TS3,P0948,PA,22.8,2.86
TS4,P0948,PA,22.8,2.86
TS5,P0948,PA,22.8,2.86
TS1,P1045,TN,289.5,2.86
TS2,P1045,TN,289.5,2.86
TS3,P1045,TN,289.5,2.86
TS4,P1045,TN,289.5,2.86
TS5,P1045,TN,289.5,2.86
TS1,P0298,FL,158.5,2.87
TS2,P0298,FL,158.5,2.87
TS3,P0298,FL,158.5,2.87
TS4,P0298,FL,158.5,2.87
TS5,P0298,FL,158.5,2.87
TS1,P1186,TX,14.3,2.88
TS2,P1186,TX,14.3,2.88
TS3,P1186,TX,14.3,2.88
TS4,P1186,TX,14.3,2.88
TS5,P1186,TX,14.3,2.88
TS2,G01462,NM,18.2,2.88
TS3,G01462,NM,18.2,2.88
TS4,G01462,NM,18.2,2.88
TS5,G01462,NM,18.2,2.88
TS1,P1142,TX,11.1,2.88
TS2,P1142,TX,11.1,2.88
TS3,P1142,TX,11.1,2.88
TS4,P1142,TX,11.1,2.88
TS5,P1142,TX,11.1,2.88
TS1,P1254,WI,132.6,2.89
TS2,P1254,WI,132.6,2.89
TS3,P1254,WI,132.6,2.89
TS4,P1254,WI,132.6,2.89
TS5,P1254,WI,132.6,2.89
TS1,P1099,TX,11,2.89
TS2,P1099,TX,11,2.89
TS3,P1099,TX,11,2.89
TS4,P1099,TX,11,2.89
TS5,P1099,TX,11,2.89
TS2,P0715,MT,13.7,2.9
TS3,P0715,MT,13.7,2.9
TS4,P0715,MT,13.7,2.9
TS5,P0715,MT,13.7,2.9
TS1,P0460,IN,14.3,2.9
TS2,P0460,IN,14.3,2.9
TS3,P0460,IN,14.3,2.9
TS4,P0460,IN,14.3,2.9
TS5,P0460,IN,14.3,2.9
TS1,P0372,IA,20.3,2.9
TS2,P0372,IA,20.3,2.9
TS3,P0372,IA,20.3,2.9
TS4,P0372,IA,20.3,2.9
TS5,P0372,IA,20.3,2.9
TS2,G01359,LA,31.2,2.91
TS3,G01359,LA,31.2,2.91
TS4,G01359,LA,31.2,2.91
TS5,G01359,LA,31.2,2.91
TS2,P0931,OK,26.1,2.91
TS3,P0931,OK,26.1,2.91
TS4,P0931,OK,26.1,2.91
TS5,P0931,OK,26.1,2.91
TS1,P0324,GA,16.1,2.93
TS2,P0324,GA,16.1,2.93
TS3,P0324,GA,16.1,2.93
TS4,P0324,GA,16.1,2.93
TS5,P0324,GA,16.1,2.93
TS1,P1162,TX,10.6,2.95
TS2,P1162,TX,10.6,2.95
TS3,P1162,TX,10.6,2.95
TS4,P1162,TX,10.6,2.95
TS5,P1162,TX,10.6,2.95
TS1,P1022,SC,214.7,2.95
TS2,P1022,SC,214.7,2.95
TS3,P1022,SC,214.7,2.95
TS4,P1022,SC,214.7,2.95
TS5,P1022,SC,214.7,2.95
TS1,P0894,OH,19.8,2.96
TS2,P0894,OH,19.8,2.96
TS3,P0894,OH,19.8,2.96
TS4,P0894,OH,19.8,2.96
TS5,P0894,OH,19.8,2.96
TS1,I00792,IL,19.7,2.96
TS2,I00792,IL,19.7,2.96
TS3,I00792,IL,19.7,2.96
TS4,I00792,IL,19.7,2.96
TS5,I00792,IL,19.7,2.96
TS1,P0480,KY,19.7,2.97
TS2,P0480,KY,19.7,2.97
TS3,P0480,KY,19.7,2.97
TS4,P0480,KY,19.7,2.97
TS5,P0480,KY,19.7,2.97
TS2,G01473,NM,17.5,2.97
TS3,G01473,NM,17.5,2.97
TS4,G01473,NM,17.5,2.97
TS5,G01473,NM,17.5,2.97
TS1,P0320,GA,13.1,2.97
TS2,P0320,GA,13.1,2.97
TS3,P0320,GA,13.1,2.97
TS4,P0320,GA,13.1,2.97
TS5,P0320,GA,13.1,2.97
TS1,P0607,MI,21.1,2.98
TS2,P0607,MI,21.1,2.98
TS3,P0607,MI,21.1,2.98
TS4,P0607,MI,21.1,2.98
TS5,P0607,MI,21.1,2.98
TS1,P0416,IL,13.8,2.98
TS2,P0416,IL,13.8,2.98
TS3,P0416,IL,13.8,2.98
TS4,P0416,IL,13.8,2.98
TS5,P0416,IL,13.8,2.98
TS1,P0575,MD,109.9,2.98
TS2,P0575,MD,109.9,2.98
TS3,P0575,MD,109.9,2.98
TS4,P0575,MD,109.9,2.98
TS5,P0575,MD,109.9,2.98
TS1,P0070,AZ,140.4,2.99
TS2,P0070,AZ,140.4,2.99
TS3,P0070,AZ,140.4,2.99
TS4,P0070,AZ,140.4,2.99
TS1,P0919,OK,22.5,3
TS2,P0919,OK,22.5,3
TS3,P0919,OK,22.5,3
TS4,P0919,OK,22.5,3
TS5,P0919,OK,22.5,3
TS1,E00233,TX,25,3
TS2,E00233,TX,25,3
TS3,E00233,TX,25,3
TS4,E00233,TX,25,3
TS5,E00233,TX,25,3
TS1,P0918,OK,137.9,3.02
TS2,P0918,OK,137.9,3.02
TS3,P0918,OK,137.9,3.02
TS4,P0918,OK,137.9,3.02
TS5,P0918,OK,137.9,3.02
TS1,P0209,CO,30.5,3.02
TS2,P0209,CO,30.5,3.02
TS3,P0209,CO,30.5,3.02
TS4,P0209,CO,30.5,3.02
TS5,P0209,CO,30.5,3.02
TS2,I00842,UT,50.9,3.03
TS3,I00842,UT,50.9,3.03
TS4,I00842,UT,50.9,3.03
TS5,I00842,UT,50.9,3.03
TS1,P0621,MI,21.1,3.04
TS2,P0621,MI,21.1,3.04
TS3,P0621,MI,21.1,3.04
TS4,P0621,MI,21.1,3.04
TS5,P0621,MI,21.1,3.04
TS2,EL0044,IL,13.4,3.04
TS3,EL0044,IL,13.4,3.04
TS4,EL0044,IL,13.4,3.04
TS5,EL0044,IL,13.4,3.04
TS4,R00621,CA,22.6,3.04
TS1,I00816,MD,81.4,3.04
TS2,I00816,MD,81.4,3.04
TS3,I00816,MD,81.4,3.04
TS4,I00816,MD,81.4,3.04
TS5,I00816,MD,81.4,3.04
TS1,P1256,WI,84.2,3.04
TS2,P1256,WI,84.2,3.04
TS3,P1256,WI,84.2,3.04
TS4,P1256,WI,84.2,3.04
TS5,P1256,WI,84.2,3.04
TS2,G01419,LA,13.5,3.05
TS3,G01419,LA,13.5,3.05
TS4,G01419,LA,13.5,3.05
TS5,G01419,LA,13.5,3.05
TS2,G01815,WY,2.9,3.05
TS1,P0932,OK,21.8,3.05
TS2,P0932,OK,21.8,3.05
TS3,P0932,OK,21.8,3.05
TS4,P0932,OK,21.8,3.05
TS5,P0932,OK,21.8,3.05
TS1,P0505,LA,92.1,3.06
TS2,P0505,LA,92.1,3.06
TS3,P0505,LA,92.1,3.06
TS4,P0505,LA,92.1,3.06
TS5,P0505,LA,92.1,3.06
TS1,P1294,WV,35.5,3.08
TS2,P1294,WV,35.5,3.08
TS3,P1294,WV,35.5,3.08
TS4,P1294,WV,35.5,3.08
TS5,P1294,WV,35.5,3.08
TS1,R00632,IL,13.2,3.08
TS2,R00632,IL,13.2,3.08
TS3,R00632,IL,13.2,3.08
TS4,R00632,IL,13.2,3.08
TS5,R00632,IL,13.2,3.08
TS1,P1086,TX,20.4,3.1
TS2,P1086,TX,20.4,3.1
TS3,P1086,TX,20.4,3.1
TS4,P1086,TX,20.4,3.1
TS5,P1086,TX,20.4,3.1
TS1,C02052,MO,13,3.12
TS2,C02052,MO,13,3.12
TS3,C02052,MO,13,3.12
TS4,C02052,MO,13,3.12
TS5,C02052,MO,13,3.12
TS4,P0075,CA,20.4,3.14
TS1,R00666,MI,12.8,3.14
TS2,R00666,MI,12.8,3.14
TS3,R00666,MI,12.8,3.14
TS4,R00666,MI,12.8,3.14
TS5,R00666,MI,12.8,3.14
TS2,H00276,TX,2.9,3.14
TS1,P0461,IN,18.2,3.15
TS2,P0461,IN,18.2,3.15
TS3,P0461,IN,18.2,3.15
TS4,P0461,IN,18.2,3.15
TS5,P0461,IN,18.2,3.15
TS1,P0268,FL,11.7,3.16
TS2,P0268,FL,11.7,3.16
TS3,P0268,FL,11.7,3.16
TS4,P0268,FL,11.7,3.16
TS5,P0268,FL,11.7,3.16
TS1,C01999,MI,18,3.17
TS2,C01999,MI,18,3.17
TS3,C01999,MI,18,3.17
TS4,C01999,MI,18,3.17
TS5,C01999,MI,18,3.17
TS1,R00687,OH,12.7,3.17
TS2,R00687,OH,12.7,3.17
TS3,R00687,OH,12.7,3.17
TS4,R00687,OH,12.7,3.17
TS5,R00687,OH,12.7,3.17
TS2,G01666,TX,9.3,3.17
TS3,G01666,TX,9.3,3.17
TS4,G01666,TX,9.3,3.17
TS5,G01666,TX,9.3,3.17
TS2,C02037,MI,18,3.17
TS3,C02037,MI,18,3.17
TS4,C02037,MI,18,3.17
TS5,C02037,MI,18,3.17
TS2,P1316,WY,16,3.19
TS3,P1316,WY,16,3.19
TS4,P1316,WY,16,3.19
TS5,P1316,WY,16,3.19
TS1,P1298,WV,187.7,3.2
TS2,P1298,WV,187.7,3.2
TS3,P1298,WV,187.7,3.2
TS4,P1298,WV,187.7,3.2
TS5,P1298,WV,187.7,3.2
TS1,P0898,OH,17.7,3.21
TS2,P0898,OH,17.7,3.21
TS3,P0898,OH,17.7,3.21
TS4,P0898,OH,17.7,3.21
TS5,P0898,OH,17.7,3.21
TS1,P0901,OH,16,3.22
TS2,P0901,OH,16,3.22
TS3,P0901,OH,16,3.22
TS4,P0901,OH,16,3.22
TS5,P0901,OH,16,3.22
TS2,A00377,OH,15.9,3.22
TS3,A00377,OH,15.9,3.22
TS4,A00377,OH,15.9,3.22
TS5,A00377,OH,15.9,3.22
TS2,G01671,TX,8.9,3.24
TS3,G01671,TX,8.9,3.24
TS4,G01671,TX,8.9,3.24
TS5,G01671,TX,8.9,3.24
TS1,C02016,IA,12.3,3.24
TS2,C02016,IA,12.3,3.24
TS3,C02016,IA,12.3,3.24
TS4,C02016,IA,12.3,3.24
TS5,C02016,IA,12.3,3.24
TS1,P0964,PA,61.3,3.25
TS2,P0964,PA,61.3,3.25
TS3,P0964,PA,61.3,3.25
TS4,P0964,PA,61.3,3.25
TS5,P0964,PA,61.3,3.25
TS1,P0889,OH,12.3,3.25
TS2,P0889,OH,12.3,3.25
TS3,P0889,OH,12.3,3.25
TS4,P0889,OH,12.3,3.25
TS5,P0889,OH,12.3,3.25
TS2,P1306,WY,23.6,3.25
TS3,P1306,WY,23.6,3.25
TS4,P1306,WY,23.6,3.25
TS5,P1306,WY,23.6,3.25
TS1,C01998,MO,20.3,3.26
TS2,C01998,MO,20.3,3.26
TS3,C01998,MO,20.3,3.26
TS4,C01998,MO,20.3,3.26
TS5,C01998,MO,20.3,3.26
TS1,P1187,TX,25.5,3.27
TS2,P1187,TX,25.5,3.27
TS3,P1187,TX,25.5,3.27
TS4,P1187,TX,25.5,3.27
TS5,P1187,TX,25.5,3.27
TS1,EL0041,IA,5.1,3.28
TS2,P1312,WY,15.3,3.28
TS3,P1312,WY,15.3,3.28
TS4,P1312,WY,15.3,3.28
TS5,P1312,WY,15.3,3.28
TS2,G01623,TX,24.3,3.28
TS3,G01623,TX,24.3,3.28
TS4,G01623,TX,24.3,3.28
TS5,G01623,TX,24.3,3.28
TS3,P0146,CA,44.1,3.28
TS1,P0529,LA,68.1,3.28
TS2,P0529,LA,68.1,3.28
TS3,P0529,LA,68.1,3.28
TS4,P0529,LA,68.1,3.28
TS5,P0529,LA,68.1,3.28
TS1,P0317,GA,160.8,3.29
TS2,P0317,GA,160.8,3.29
TS3,P0317,GA,160.8,3.29
TS4,P0317,GA,160.8,3.29
TS5,P0317,GA,160.8,3.29
TS1,E00236,IA,17.1,3.29
TS2,E00236,IA,17.1,3.29
TS3,E00236,IA,17.1,3.29
TS4,E00236,IA,17.1,3.29
TS5,E00236,IA,17.1,3.29
TS1,P0391,IL,15.5,3.3
TS2,P0391,IL,15.5,3.3
TS3,P0391,IL,15.5,3.3
TS4,P0391,IL,15.5,3.3
TS5,P0391,IL,15.5,3.3
TS2,H00268,TX,8.6,3.3
TS3,H00268,TX,8.6,3.3
TS4,H00268,TX,8.6,3.3
TS5,H00268,TX,8.6,3.3
TS1,P1204,VA,65.2,3.3
TS2,P1204,VA,65.2,3.3
TS3,P1204,VA,65.2,3.3
TS4,P1204,VA,65.2,3.3
TS5,P1204,VA,65.2,3.3
TS4,P1106,TX,142.7,3.31
TS5,P1106,TX,142.7,3.31
TS1,P1206,VA,60.8,3.32
TS2,P1206,VA,60.8,3.32
TS3,P1206,VA,60.8,3.32
TS4,P1206,VA,60.8,3.32
TS5,P1206,VA,60.8,3.32
TS1,P0244,FL,173.4,3.32
TS2,P0244,FL,173.4,3.32
TS3,P0244,FL,173.4,3.32
TS4,P0244,FL,173.4,3.32
TS5,P0244,FL,173.4,3.32
TS1,P0254,FL,263.2,3.32
TS2,P0254,FL,263.2,3.32
TS3,P0254,FL,263.2,3.32
TS4,P0254,FL,263.2,3.32
TS5,P0254,FL,263.2,3.32
TS1,P1119,TX,32.3,3.33
TS2,P1119,TX,32.3,3.33
TS3,P1119,TX,32.3,3.33
TS4,P1119,TX,32.3,3.33
TS5,P1119,TX,32.3,3.33
TS1,R00633,IL,11.8,3.34
TS2,R00633,IL,11.8,3.34
TS3,R00633,IL,11.8,3.34
TS4,R00633,IL,11.8,3.34
TS5,R00633,IL,11.8,3.34
TS1,P1170,TX,33.1,3.34
TS2,P1170,TX,33.1,3.34
TS3,P1170,TX,33.1,3.34
TS4,P1170,TX,33.1,3.34
TS5,P1170,TX,33.1,3.34
TS1,R00692,OK,14.7,3.35
TS2,R00692,OK,14.7,3.35
TS3,R00692,OK,14.7,3.35
TS4,R00692,OK,14.7,3.35
TS5,R00692,OK,14.7,3.35
TS2,P0186,CA,19,3.35
TS3,P0186,CA,19,3.35
TS1,P0377,IA,11.7,3.36
TS2,P0377,IA,11.7,3.36
TS3,P0377,IA,11.7,3.36
TS4,P0377,IA,11.7,3.36
TS5,P0377,IA,11.7,3.36
TS1,P1280,WI,31.8,3.37
TS2,P1280,WI,31.8,3.37
TS3,P1280,WI,31.8,3.37
TS4,P1280,WI,31.8,3.37
TS5,P1280,WI,31.8,3.37
TS1,P0403,IL,17.2,3.37
TS2,P0403,IL,17.2,3.37
TS3,P0403,IL,17.2,3.37
TS4,P0403,IL,17.2,3.37
TS5,P0403,IL,17.2,3.37
TS1,P0789,NJ,50.5,3.38
TS2,P0789,NJ,50.5,3.38
TS3,P0789,NJ,50.5,3.38
TS4,P0789,NJ,50.5,3.38
TS5,P0789,NJ,50.5,3.38
TS3,P1113,TX,115.6,3.38
TS4,P1113,TX,115.6,3.38
TS5,P1113,TX,115.6,3.38
TS1,R00718,TX,3.5,3.38
TS1,P0274,FL,142.3,3.38
TS2,P0274,FL,142.3,3.38
TS3,P0274,FL,142.3,3.38
TS4,P0274,FL,142.3,3.38
TS5,P0274,FL,142.3,3.38
TS1,R00697,PA,53.2,3.39
TS2,R00697,PA,53.2,3.39
TS3,R00697,PA,53.2,3.39
TS4,R00697,PA,53.2,3.39
TS5,R00697,PA,53.2,3.39
TS1,R00699,PA,11.6,3.39
TS2,R00699,PA,11.6,3.39
TS3,R00699,PA,11.6,3.39
TS4,R00699,PA,11.6,3.39
TS5,R00699,PA,11.6,3.39
TS2,G01393,LA,22.5,3.39
TS3,G01393,LA,22.5,3.39
TS4,G01393,LA,22.5,3.39
TS5,G01393,LA,22.5,3.39
TS1,P0692,MO,135.1,3.4
TS2,P0692,MO,135.1,3.4
TS3,P0692,MO,135.1,3.4
TS4,P0692,MO,135.1,3.4
TS5,P0692,MO,135.1,3.4
TS2,C01980,SD,10.5,3.4
TS3,C01980,SD,10.5,3.4
TS4,C01980,SD,10.5,3.4
TS5,C01980,SD,10.5,3.4
TS1,EL0030,IA,2.5,3.41
TS3,P1175,TX,124.5,3.41
TS4,P1175,TX,124.5,3.41
TS5,P1175,TX,124.5,3.41
TS1,P0441,IN,11.5,3.41
TS2,P0441,IN,11.5,3.41
TS3,P0441,IN,11.5,3.41
TS4,P0441,IN,11.5,3.41
TS5,P0441,IN,11.5,3.41
TS2,G01683,TX,12.3,3.41
TS3,G01683,TX,12.3,3.41
TS4,G01683,TX,12.3,3.41
TS5,G01683,TX,12.3,3.41
TS1,P0159,CA,2.6,3.41
TS1,P0301,FL,111.2,3.41
TS2,P0301,FL,111.2,3.41
TS3,P0301,FL,111.2,3.41
TS4,P0301,FL,111.2,3.41
TS5,P0301,FL,111.2,3.41
TS1,P1302,WV,16.8,3.41
TS2,P1302,WV,16.8,3.41
TS3,P1302,WV,16.8,3.41
TS4,P1302,WV,16.8,3.41
TS5,P1302,WV,16.8,3.41
TS1,P0421,IL,16.2,3.43
TS2,P0421,IL,16.2,3.43
TS3,P0421,IL,16.2,3.43
TS4,P0421,IL,16.2,3.43
TS5,P0421,IL,16.2,3.43
TS3,P1111,TX,77.7,3.43
TS4,P1111,TX,77.7,3.43
TS2,P0463,KS,48.4,3.44
TS3,P0463,KS,48.4,3.44
TS4,P0463,KS,48.4,3.44
TS5,P0463,KS,48.4,3.44
TS2,G01331,CO,13.2,3.45
TS3,G01331,CO,13.2,3.45
TS4,G01331,CO,13.2,3.45
TS5,G01331,CO,13.2,3.45
TS1,R00654,LA,83.7,3.45
TS2,R00654,LA,83.7,3.45
TS3,R00654,LA,83.7,3.45
TS4,R00654,LA,83.7,3.45
TS1,P0273,FL,96.3,3.46
TS2,P0273,FL,96.3,3.46
TS3,P0273,FL,96.3,3.46
TS4,P0273,FL,96.3,3.46
TS5,P0273,FL,96.3,3.46
TS5,R00605,CA,45.1,3.46
TS2,P0752,ND,10.2,3.46
TS3,P0752,ND,10.2,3.46
TS4,P0752,ND,10.2,3.46
TS5,P0752,ND,10.2,3.46
TS1,R00679,NJ,43.3,3.47
TS2,R00679,NJ,43.3,3.47
TS3,R00679,NJ,43.3,3.47
TS4,R00679,NJ,43.3,3.47
TS5,R00679,NJ,43.3,3.47
TS1,P0057,AZ,142.4,3.47
TS2,P0057,AZ,142.4,3.47
TS3,P0057,AZ,142.4,3.47
TS4,P0057,AZ,142.4,3.47
TS1,C02033,IN,11.2,3.47
TS2,C02033,IN,11.2,3.47
TS3,C02033,IN,11.2,3.47
TS4,C02033,IN,11.2,3.47
TS5,C02033,IN,11.2,3.47
TS1,P0296,FL,87.2,3.48
TS2,P0296,FL,87.2,3.48
TS3,P0296,FL,87.2,3.48
TS4,P0296,FL,87.2,3.48
TS5,P0296,FL,87.2,3.48
TS2,P0205,CO,37,3.5
TS3,P0205,CO,37,3.5
TS4,P0205,CO,37,3.5
TS5,P0205,CO,37,3.5
TS1,P0314,GA,9.8,3.51
TS2,P0314,GA,9.8,3.51
TS3,P0314,GA,9.8,3.51
TS4,P0314,GA,9.8,3.51
TS5,P0314,GA,9.8,3.51
TS2,G01725,TX,17.8,3.51
TS3,G01725,TX,17.8,3.51
TS4,G01725,TX,17.8,3.51
TS5,G01725,TX,17.8,3.51
TS2,R00675,MT,10.1,3.51
TS3,R00675,MT,10.1,3.51
TS4,R00675,MT,10.1,3.51
TS5,R00675,MT,10.1,3.51
TS1,C02028,IN,11,3.51
TS2,C02028,IN,11,3.51
TS3,C02028,IN,11,3.51
TS4,C02028,IN,11,3.51
TS5,C02028,IN,11,3.51
TS2,G01827,WY,21.4,3.52
TS3,G01827,WY,21.4,3.52
TS4,G01827,WY,21.4,3.52
TS5,G01827,WY,21.4,3.52
TS1,P0438,IN,11,3.52
TS2,P0438,IN,11,3.52
TS3,P0438,IN,11,3.52
TS4,P0438,IN,11,3.52
TS5,P0438,IN,11,3.52
TS1,P0572,MD,51,3.52
TS2,P0572,MD,51,3.52
TS3,P0572,MD,51,3.52
TS4,P0572,MD,51,3.52
TS5,P0572,MD,51,3.52
TS2,EL0010,IA,11,3.53
TS3,EL0010,IA,11,3.53
TS4,EL0010,IA,11,3.53
TS5,EL0010,IA,11,3.53
TS1,P0203,CO,17.4,3.56
TS2,P0203,CO,17.4,3.56
TS3,P0203,CO,17.4,3.56
TS4,P0203,CO,17.4,3.56
TS5,P0203,CO,17.4,3.56
TS3,P1158,TX,62.7,3.56
TS4,P1158,TX,62.7,3.56
TS1,P1147,TX,7.9,3.57
TS2,P1147,TX,7.9,3.57
TS3,P1147,TX,7.9,3.57
TS4,P1147,TX,7.9,3.57
TS5,P1147,TX,7.9,3.57
TS1,P0259,FL,68.6,3.57
TS2,P0259,FL,68.6,3.57
TS3,P0259,FL,68.6,3.57
TS4,P0259,FL,68.6,3.57
TS5,P0259,FL,68.6,3.57
TS1,P0684,MO,123.9,3.57
TS2,P0684,MO,123.9,3.57
TS3,P0684,MO,123.9,3.57
TS4,P0684,MO,123.9,3.57
TS5,P0684,MO,123.9,3.57
TS1,P0374,IA,80.5,3.57
TS2,P0374,IA,80.5,3.57
TS3,P0374,IA,80.5,3.57
TS4,P0374,IA,80.5,3.57
TS5,P0374,IA,80.5,3.57
TS1,P0263,FL,63.6,3.58
TS2,P0263,FL,63.6,3.58
TS3,P0263,FL,63.6,3.58
TS4,P0263,FL,63.6,3.58
TS5,P0263,FL,63.6,3.58
TS1,P0707,MS,68.2,3.58
TS2,P0707,MS,68.2,3.58
TS3,P0707,MS,68.2,3.58
TS4,P0707,MS,68.2,3.58
TS5,P0707,MS,68.2,3.58
TS1,P0261,FL,55.7,3.58
TS2,P0261,FL,55.7,3.58
TS3,P0261,FL,55.7,3.58
TS4,P0261,FL,55.7,3.58
TS5,P0261,FL,55.7,3.58
TS1,P0899,OH,10.7,3.58
TS2,P0899,OH,10.7,3.58
TS3,P0899,OH,10.7,3.58
TS4,P0899,OH,10.7,3.58
TS5,P0899,OH,10.7,3.58
TS1,P1304,WV,11.7,3.59
TS2,P1304,WV,11.7,3.59
TS3,P1304,WV,11.7,3.59
TS4,P1304,WV,11.7,3.59
TS5,P1304,WV,11.7,3.59
TS1,P0407,IL,10.7,3.59
TS2,P0407,IL,10.7,3.59
TS3,P0407,IL,10.7,3.59
TS4,P0407,IL,10.7,3.59
TS5,P0407,IL,10.7,3.59
TS2,G01662,TX,7.9,3.61
TS3,G01662,TX,7.9,3.61
TS4,G01662,TX,7.9,3.61
TS5,G01662,TX,7.9,3.61
TS1,P0606,MI,10.6,3.61
TS2,P0606,MI,10.6,3.61
TS3,P0606,MI,10.6,3.61
TS4,P0606,MI,10.6,3.61
TS5,P0606,MI,10.6,3.61
TS1,P0832,NY,49.6,3.61
TS2,P0832,NY,49.6,3.61
TS3,P0832,NY,49.6,3.61
TS4,P0832,NY,49.6,3.61
TS5,P0832,NY,49.6,3.61
TS1,P0929,OK,15.7,3.61
TS2,P0929,OK,15.7,3.61
TS3,P0929,OK,15.7,3.61
TS4,P0929,OK,15.7,3.61
TS5,P0929,OK,15.7,3.61
TS1,P0356,IA,36,3.62
TS2,P0356,IA,36,3.62
TS3,P0356,IA,36,3.62
TS4,P0356,IA,36,3.62
TS5,P0356,IA,36,3.62
TS2,P0921,OK,58,3.62
TS3,P0921,OK,58,3.62
TS4,P0921,OK,58,3.62
TS5,P0921,OK,58,3.62
TS5,P0058,AZ,110.9,3.62
TS1,P0247,FL,53.4,3.62
TS2,P0247,FL,53.4,3.62
TS3,P0247,FL,53.4,3.62
TS4,P0247,FL,53.4,3.62
TS5,P0247,FL,53.4,3.62
TS2,P0101,CA,35,3.64
TS3,P0101,CA,35,3.64
TS1,P0960,PA,15.4,3.64
TS2,P0960,PA,15.4,3.64
TS3,P0960,PA,15.4,3.64
TS4,P0960,PA,15.4,3.64
TS5,P0960,PA,15.4,3.64
TS1,P0997,PA,156.3,3.65
TS2,P0997,PA,156.3,3.65
TS3,P0997,PA,156.3,3.65
TS4,P0997,PA,156.3,3.65
TS5,P0997,PA,156.3,3.65
TS1,R00713,TX,10.4,3.65
TS2,R00713,TX,10.4,3.65
TS3,R00713,TX,10.4,3.65
TS4,R00713,TX,10.4,3.65
TS5,R00713,TX,10.4,3.65
TS1,P0777,NJ,37.7,3.65
TS2,P0777,NJ,37.7,3.65
TS3,P0777,NJ,37.7,3.65
TS4,P0777,NJ,37.7,3.65
TS5,P0777,NJ,37.7,3.65
TS1,P1037,SC,140.7,3.65
TS2,P1037,SC,140.7,3.65
TS3,P1037,SC,140.7,3.65
TS4,P1037,SC,140.7,3.65
TS5,P1037,SC,140.7,3.65
TS1,P1205,VA,141.9,3.66
TS2,P1205,VA,141.9,3.66
TS3,P1205,VA,141.9,3.66
TS4,P1205,VA,141.9,3.66
TS5,P1205,VA,141.9,3.66
TS5,P1158,TX,62.7,3.66
TS1,P0995,PA,144.4,3.66
TS2,P0995,PA,144.4,3.66
TS3,P0995,PA,144.4,3.66
TS4,P0995,PA,144.4,3.66
TS5,P0995,PA,144.4,3.66
TS1,EO00068,TX,2.1,3.66
TS1,P0306,FL,56,3.66
