# File: IMAGE_an_feed_bySystem.csv
# Title: IMAGE animal production feed inputs by system
# Units: Gg dm
# Author: XZ
# Source: IMAGE v3.2 (Jonathan Doelman Oct 2022)
# Column types: icccnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
year,system,feed,commodity,Canada,USA,Mexico,Rest Central America,Brazil,Rest South America,Northern Africa,Western Africa,Eastern Africa,South Africa,OECD Europe,Eastern Europe,Turkey,Ukraine +,Asia-Stan,Russia +,Middle East,India,Korea,China +,South East Asia,Indonesia +,Japan,Oceania,Rest of S. Asia,Rest of S. Africa
2012,extensive grazing system,residues,total,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154
2012,extensive grazing system,scavenging,non-dairy cattle,0,0,2666,1121,10177,7414,41,2377,4756,592,0,0,897,0,1122,0,880,92929,203,4527,6970,2688,0,0,40536,3128
2012,extensive grazing system,scavenging,dairy cattle,0,0,139,133,1208,764,212,708,2015,79,0,0,15,0,186,0,40,5340,56,1136,60,16,0,0,2293,1149
2012,extensive grazing system,scavenging,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,extensive grazing system,scavenging,sheep & goats,0,0,171,40,186,342,59,725,715,160,0,0,21,0,29,0,55,567,15,3226,63,51,0,2500,854,507
2012,extensive grazing system,scavenging,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,extensive grazing system,scavenging,total,0,0,2976,1293,11570,8520,312,3810,7485,831,0,0,933,0,1338,0,975,98836,274,8889,7094,2755,0,2500,43684,4784
2012,extensive grazing system,grass & fodder,non-dairy cattle,4823,38045,50658,21297,193358,140863,774,45172,90368,10947,0,0,17041,0,21317,0,16726,92929,3862,86010,10456,4032,0,69440,40536,57836
2012,extensive grazing system,grass & fodder,dairy cattle,621,6667,2635,2521,22945,14513,4035,13444,38279,1459,0,0,289,0,3538,0,766,5340,1063,21586,90,24,0,31112,2293,21240
2012,extensive grazing system,grass & fodder,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,extensive grazing system,grass & fodder,sheep & goats,260,1177,3251,755,3536,6506,534,6525,6431,1439,0,0,192,0,265,0,491,567,277,61302,570,460,0,22503,854,4567
2012,extensive grazing system,grass & fodder,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,extensive grazing system,grass & fodder,total,5704,45888,56544,24574,219839,161882,5343,65141,135079,13844,0,0,17522,0,25121,0,17983,98836,5202,168898,11116,4516,0,123055,43684,83643
2012,extensive grazing system,total,non-dairy cattle,4823,38045,53325,22418,203535,148277,814,47549,95124,11835,0,0,17937,0,22439,0,17607,185858,4065,90537,17426,6720,0,69440,81073,62526
2012,extensive grazing system,total,dairy cattle,621,6667,2774,2654,24152,15277,4247,14152,40294,1577,0,0,305,0,3725,0,806,10681,1119,22722,150,41,0,31112,4586,22962
2012,extensive grazing system,total,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,extensive grazing system,total,sheep & goats,260,1177,3422,795,3722,6848,594,7250,7146,1598,0,0,213,0,295,0,546,1134,291,64529,633,511,0,25003,1709,5074
2012,extensive grazing system,total,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,extensive grazing system,total,total,5704,45888,59520,25867,231409,170402,5655,68951,142564,15010,0,0,18455,0,26459,0,18959,197672,5475,177787,18210,7272,0,125555,87368,90562
2012,total,food crops,non-dairy cattle,5877,34706,7124,2076,32700,13103,3424,15267,3647,2669,22841,3651,1103,5443,2613,8735,3152,26763,3057,23283,15748,4600,1830,5986,11516,2277
2012,total,food crops,dairy cattle,2127,18024,3412,2214,5207,3967,5557,6569,3370,752,24374,7574,6589,9253,6468,11483,5942,9446,582,9561,2688,472,1446,2443,3918,1018
2012,total,food crops,pigs,5775,28361,4000,1405,8848,5439,2,1175,534,618,59856,12006,0,2833,471,8894,69,689,3693,86195,10928,667,3675,1251,61,838
2012,total,food crops,sheep & goats,11,42,95,21,80,137,818,522,234,164,679,221,437,80,1312,581,2263,46,6,1007,54,34,1,1101,66,0
2012,total,food crops,poultry,3650,50256,10444,4864,33267,20631,8645,4478,1756,4569,34789,10920,6142,6767,1446,13340,14271,13283,3403,106668,21051,8870,7731,3822,5204,1735
2012,total,food crops,total,17440,131389,25075,10579,80102,43277,18447,28012,9540,8772,142539,34371,14271,24376,12312,43034,25697,50227,10741,226715,50470,14643,14683,14601,20765,5867
2012,total,animal products,non-dairy cattle,17,143,19,6,63,164,38,8,10,40,527,63,9,42,55,136,21,386,17,31,18,1,14,66,48,7
2012,total,animal products,dairy cattle,6,74,9,8,13,63,61,3,21,7,562,130,70,71,177,179,49,424,3,13,3,0,11,27,69,3
2012,total,animal products,pigs,70,369,46,19,0,262,0,7,4,15,2150,135,0,59,28,314,1,0,55,1316,224,8,133,31,1,0
2012,total,animal products,sheep & goats,0,0,0,0,0,2,10,1,2,1,16,4,5,1,39,9,22,13,0,2,0,0,0,17,6,0
2012,total,animal products,poultry,41,610,117,53,0,669,87,30,13,55,175,202,66,76,50,288,150,0,48,1036,238,56,182,54,54,0
2012,total,animal products,total,134,1197,191,86,77,1160,196,49,49,119,3430,533,149,247,349,927,243,823,123,2397,484,64,340,194,178,10
2012,total,residues,non-dairy cattle,6509,53570,1874,2491,125761,30298,8244,5377,6219,1882,51528,6602,1778,0,1631,6530,2225,37013,0,21850,8735,5479,6271,1331,8912,1435
2012,total,residues,dairy cattle,2356,27821,1174,4029,28397,14339,13351,2477,19548,484,54986,13697,17411,0,7407,8585,6952,73095,0,9811,2117,1009,4903,543,30129,653
2012,total,residues,pigs,1236,8759,3045,1574,5251,4442,6,2908,1330,313,10480,3680,0,5086,245,2568,12,2286,1479,189376,26767,1729,775,386,99,1732
2012,total,residues,sheep & goats,12,65,16,14,82,123,1906,141,473,78,1532,399,1113,0,1363,435,2571,412,0,243,23,29,0,45,461,0
2012,total,residues,poultry,367,10166,1100,2001,5882,5128,2783,4131,2437,801,2610,1740,360,1615,299,3201,5208,5926,323,53963,7952,17905,539,222,3494,2234
2012,total,residues,total,10480,100381,7210,10109,165373,54330,26290,15034,30007,3559,121137,26118,20662,6700,10945,21319,16968,118732,1802,275244,45595,26152,12489,2527,43096,6053
2012,total,scavenging,non-dairy cattle,0,0,4483,2042,23536,16193,1027,5360,7225,1213,0,0,1140,0,1389,0,1335,188137,486,10152,13942,5556,0,0,70921,3439
2012,total,scavenging,dairy cattle,0,0,597,757,4041,2597,1407,1611,5820,199,0,0,1531,0,846,0,855,97318,99,3071,1127,345,0,0,40115,1258
2012,total,scavenging,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,total,scavenging,sheep & goats,0,0,283,74,348,605,743,2059,2138,403,0,0,410,0,516,0,1268,5280,18,4478,220,178,0,3213,6191,507
2012,total,scavenging,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,total,scavenging,total,0,0,5363,2874,27924,19395,3177,9030,15183,1815,0,0,3081,0,2751,0,3459,290735,604,17702,15289,6079,0,3213,117227,5205
2012,total,grass & fodder,non-dairy cattle,23429,170674,75938,34117,285911,262999,7608,80625,127405,18323,112344,15474,18728,8227,23776,23103,19878,132772,7965,148087,48924,19857,2029,91587,53252,61540
2012,total,grass & fodder,dairy cattle,3614,37279,6769,8146,42572,31043,7593,21587,87946,2542,53281,14267,4804,9324,6135,20247,3194,24778,1578,39029,4897,1505,1590,35632,10286,22230
2012,total,grass & fodder,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,total,grass & fodder,sheep & goats,470,2137,5262,1380,6448,11225,3953,17844,18512,3387,20043,5610,2136,725,3465,9223,6560,4808,357,83839,1898,1540,4,30003,5656,4567
2012,total,grass & fodder,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,total,grass & fodder,total,27513,210091,87970,43643,334930,305267,19154,120056,233863,24252,185668,35351,25668,18276,33376,52573,29632,162358,9900,270955,55719,22903,3623,157222,69194,88337
2012,total,total,non-dairy cattle,35832,259093,89438,40733,467971,322757,20341,106638,144506,24127,187240,25791,22757,13711,29464,38505,26612,385071,11525,203404,87368,35494,10144,98970,144650,68699
2012,total,total,dairy cattle,8102,83198,11961,15153,80229,52010,27969,32247,116705,3984,133203,35668,30405,18647,21034,40495,16991,205062,2263,61486,10832,3331,7949,38645,84516,25162
2012,total,total,pigs,7081,37489,7092,2998,14099,10142,9,4091,1867,946,72487,15821,0,7977,744,11776,82,2975,5227,276887,37919,2404,4583,1668,162,2569
2012,total,total,sheep & goats,494,2244,5657,1489,6957,12092,7430,20566,21359,4034,22270,6233,4101,806,6695,10248,12684,10557,381,89570,2196,1782,5,34378,12380,5074
2012,total,total,poultry,4057,61032,11661,6918,39149,26428,11515,8639,4205,5426,37574,12862,6568,8458,1796,16829,19630,19209,3773,161667,29242,26830,8453,4097,8752,3968
2012,total,total,total,55567,443057,125809,67291,608405,423429,67264,172181,288642,38517,452774,96375,63832,49599,59732,117853,75998,622875,23169,793013,167557,69841,31134,177757,250460,105473
2013,intensive grazing system,food crops,non-dairy cattle,5918,35325,7321,2128,34405,13361,3488,15979,3684,2580,22791,3757,1184,5417,2830,8754,3230,27283,3042,23588,15795,4684,1801,6188,11995,1701
2013,intensive grazing system,food crops,dairy cattle,2186,18893,3477,2199,5299,3996,5731,6762,3446,748,24677,7615,7062,9244,6724,11403,5792,10263,589,9620,2800,476,1430,2577,4243,788
2013,intensive grazing system,food crops,pigs,5759,28664,4073,1438,8920,5717,2,1197,550,635,59732,11870,0,2874,477,9380,66,687,3731,88039,11379,719,3634,1264,63,930
2013,intensive grazing system,food crops,sheep & goats,11,43,95,21,82,132,845,520,233,170,658,226,481,74,1407,588,2323,44,6,1050,59,34,1,1195,65,0
2013,intensive grazing system,food crops,poultry,3678,50524,10564,5001,34523,21209,9068,4441,1765,4751,35127,11297,6474,7019,1532,14227,14708,14095,3563,107678,22191,9238,7977,3933,5579,1848
2013,intensive grazing system,food crops,total,17552,133448,25530,10787,83229,44415,19133,28899,9677,8884,142986,34764,15200,24628,12971,44352,26120,52371,10931,229974,52223,15152,14843,15156,21944,5267
2013,intensive grazing system,animal products,non-dairy cattle,17,139,19,7,63,165,38,9,9,13,531,62,9,38,61,139,21,396,17,34,20,1,14,68,50,2
2013,intensive grazing system,animal products,dairy cattle,6,74,9,8,13,63,61,4,19,4,575,125,72,65,187,181,46,443,3,14,4,0,11,28,70,1
2013,intensive grazing system,animal products,pigs,70,374,47,20,0,275,0,8,4,16,2152,133,0,60,28,331,1,0,57,1344,235,9,132,32,1,0
2013,intensive grazing system,animal products,sheep & goats,0,0,0,0,0,2,10,1,2,1,15,4,6,1,42,9,22,12,0,2,0,0,0,18,6,0
2013,intensive grazing system,animal products,poultry,41,616,118,56,0,694,94,29,13,59,203,207,69,81,54,311,158,0,52,1050,257,62,190,57,60,0
2013,intensive grazing system,animal products,total,135,1203,193,91,76,1199,202,49,47,92,3476,530,156,244,373,972,247,852,129,2444,515,71,347,203,187,3
2013,intensive grazing system,residues,non-dairy cattle,6307,51913,1936,2575,129479,31018,8309,5651,6455,1742,51429,6788,1886,0,1776,6547,2307,37678,0,22097,8807,5531,6119,1371,9365,654
2013,intensive grazing system,residues,dairy cattle,2330,27765,1197,4005,28407,14423,13606,2558,20179,471,55684,13760,18392,0,7654,8527,6777,75441,0,9842,2205,1005,4800,571,30986,362
2013,intensive grazing system,residues,pigs,1245,9003,3072,1587,5299,4597,6,2876,1328,319,10641,3673,0,5158,243,2708,11,2198,1496,189131,26942,1816,776,391,100,1860
2013,intensive grazing system,residues,sheep & goats,12,63,17,14,85,121,1945,142,483,82,1485,408,1207,0,1443,440,2640,401,0,261,25,28,0,47,461,0
2013,intensive grazing system,residues,poultry,374,10424,1123,1991,5865,5230,2846,3970,2444,836,2724,1796,392,1589,302,3335,5422,6117,336,54616,8227,17806,568,238,3473,2335
2013,intensive grazing system,residues,total,10269,99169,7345,10172,169136,55389,26712,15197,30890,3449,121963,26424,21878,6746,11417,21556,17157,121835,1832,275947,46205,26187,12263,2618,44385,5211
2013,intensive grazing system,scavenging,non-dairy cattle,0,0,1870,950,13827,8980,998,3128,2537,627,0,0,260,0,282,0,469,96057,274,5693,7005,2906,0,0,31467,341
2013,intensive grazing system,scavenging,dairy cattle,0,0,467,620,2844,1844,1222,930,3920,122,0,0,1608,0,665,0,795,94546,43,1944,1111,328,0,0,38740,115
2013,intensive grazing system,scavenging,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,intensive grazing system,scavenging,sheep & goats,0,0,112,35,167,255,700,1333,1442,253,0,0,423,0,502,0,1246,4584,3,1312,168,126,0,740,5332,0
2013,intensive grazing system,scavenging,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,intensive grazing system,scavenging,total,0,0,2450,1605,16839,11080,2920,5391,7899,1002,0,0,2291,0,1449,0,2510,195187,320,8949,8283,3360,0,740,75539,456
2013,intensive grazing system,grass & fodder,non-dairy cattle,18364,131065,26007,13205,95725,124890,6910,37150,38056,7443,112127,15909,1798,8183,2664,23160,3245,40353,4073,62838,38655,16038,1984,22880,13219,4046
2013,intensive grazing system,grass & fodder,dairy cattle,3015,31155,4214,5589,19688,16631,3639,8390,51192,1100,53958,14333,4788,9309,2688,20112,2367,20077,519,17525,5007,1481,1560,4764,8227,1036
2013,intensive grazing system,grass & fodder,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,intensive grazing system,grass & fodder,sheep & goats,213,948,2023,635,3014,4595,3499,11309,12237,2025,19421,5732,2117,672,3395,9329,6231,4125,82,23621,1422,1065,4,7995,4798,0
2013,intensive grazing system,grass & fodder,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,intensive grazing system,grass & fodder,total,21591,163168,32243,19429,118427,146116,14049,56848,101484,10569,185506,35974,8702,18164,8747,52601,11842,64555,4674,103984,45084,18585,3548,35638,26243,5082
2013,intensive grazing system,total,non-dairy cattle,30606,218442,37153,18864,273500,178415,19744,61916,50741,12405,186879,26514,5136,13638,7613,38600,9271,201767,7405,114250,70282,29161,9918,30507,66096,6744
2013,intensive grazing system,total,dairy cattle,7538,77886,9364,12421,56251,36957,24257,18643,78756,2445,134895,35833,31922,18618,17918,40223,15777,200770,1154,38944,11126,3291,7802,7939,82265,2303
2013,intensive grazing system,total,pigs,7074,38042,7193,3045,14220,10589,8,4080,1883,969,72525,15676,0,8091,748,12419,79,2885,5284,278514,38555,2544,4542,1687,164,2790
2013,intensive grazing system,total,sheep & goats,236,1054,2247,705,3349,5106,6999,13305,14396,2532,21579,6369,4233,747,6789,10366,12462,9166,91,26245,1673,1253,5,9993,10661,0
2013,intensive grazing system,total,poultry,4093,61564,11805,7048,40387,27132,12007,8440,4221,5645,38054,13300,6936,8688,1888,17873,20288,20212,3951,163344,30674,27106,8735,4228,9111,4183
2013,intensive grazing system,total,total,49547,396988,67762,42084,387707,258199,63016,106385,149997,23996,453931,97693,48227,49782,34956,119481,57876,434800,17886,621297,152310,63355,31002,54355,168299,16019
2013,extensive grazing system,food crops,non-dairy cattle,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735
2013,extensive grazing system,food crops,dairy cattle,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258
2013,extensive grazing system,food crops,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,extensive grazing system,food crops,sheep & goats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,extensive grazing system,food crops,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,extensive grazing system,food crops,total,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993
2013,extensive grazing system,animal products,non-dairy cattle,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2013,extensive grazing system,animal products,dairy cattle,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2013,extensive grazing system,animal products,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,extensive grazing system,animal products,sheep & goats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,extensive grazing system,animal products,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,extensive grazing system,animal products,total,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2013,extensive grazing system,residues,non-dairy cattle,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871
2013,extensive grazing system,residues,dairy cattle,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306
2013,extensive grazing system,residues,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,extensive grazing system,residues,sheep & goats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,extensive grazing system,residues,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,extensive grazing system,residues,total,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177
2013,extensive grazing system,scavenging,non-dairy cattle,0,0,2640,1112,10083,7285,40,2377,4598,578,0,0,973,0,1131,0,830,90194,197,4453,6799,2644,0,0,41376,3226
2013,extensive grazing system,scavenging,dairy cattle,0,0,138,129,1193,753,211,692,1976,77,0,0,16,0,186,0,39,5373,57,1143,62,16,0,0,2308,1135
2013,extensive grazing system,scavenging,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,extensive grazing system,scavenging,sheep & goats,0,0,167,38,185,321,59,690,679,158,0,0,23,0,30,0,54,538,14,3199,66,49,0,2532,844,519
2013,extensive grazing system,scavenging,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,extensive grazing system,scavenging,total,0,0,2945,1280,11460,8359,310,3758,7253,813,0,0,1012,0,1347,0,923,96106,268,8795,6927,2709,0,2532,44528,4880
2013,extensive grazing system,grass & fodder,non-dairy cattle,4706,37366,50154,21137,191570,138423,756,45154,87354,10683,0,0,18487,0,21487,0,15779,90194,3749,84602,10198,3967,0,68389,41376,59652
2013,extensive grazing system,grass & fodder,dairy cattle,609,6674,2630,2452,22667,14312,4017,13144,37550,1418,0,0,304,0,3533,0,740,5373,1081,21724,92,24,0,31924,2308,20978
2013,extensive grazing system,grass & fodder,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,extensive grazing system,grass & fodder,sheep & goats,259,1154,3170,721,3510,6091,531,6207,6115,1423,0,0,206,0,273,0,483,538,269,60772,594,441,0,22792,844,4675
2013,extensive grazing system,grass & fodder,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,extensive grazing system,grass & fodder,total,5575,45194,55954,24311,217746,158825,5304,64506,131018,13524,0,0,18997,0,25293,0,17001,96106,5099,167098,10885,4432,0,123105,44528,85305
2013,extensive grazing system,total,non-dairy cattle,4706,37366,52794,22250,201652,145708,796,47531,91951,11549,0,0,19460,0,22618,0,16610,180389,3946,89055,16997,6611,0,68389,82751,64488
2013,extensive grazing system,total,dairy cattle,609,6674,2768,2581,23860,15065,4229,13836,39526,1533,0,0,320,0,3719,0,779,10747,1138,22868,154,40,0,31924,4616,22679
2013,extensive grazing system,total,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,extensive grazing system,total,sheep & goats,259,1154,3337,759,3694,6411,590,6897,6794,1581,0,0,229,0,303,0,536,1076,283,63970,660,490,0,25324,1688,5194
2013,extensive grazing system,total,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,extensive grazing system,total,total,5575,45194,58899,25590,229206,167185,5614,68264,138272,14663,0,0,20009,0,26640,0,17924,192212,5368,175893,17811,7141,0,125637,89055,92362
2013,total,food crops,non-dairy cattle,5918,35325,7321,2128,34405,13361,3488,15979,3684,2685,22791,3757,1184,5417,2830,8754,3230,27283,3042,23588,15795,4684,1801,6188,11995,2436
2013,total,food crops,dairy cattle,2186,18893,3477,2199,5299,3996,5731,6762,3446,762,24677,7615,7062,9244,6724,11403,5792,10263,589,9620,2800,476,1430,2577,4243,1047
2013,total,food crops,pigs,5759,28664,4073,1438,8920,5717,2,1197,550,635,59732,11870,0,2874,477,9380,66,687,3731,88039,11379,719,3634,1264,63,930
2013,total,food crops,sheep & goats,11,43,95,21,82,132,845,520,233,170,658,226,481,74,1407,588,2323,44,6,1050,59,34,1,1195,65,0
2013,total,food crops,poultry,3678,50524,10564,5001,34523,21209,9068,4441,1765,4751,35127,11297,6474,7019,1532,14227,14708,14095,3563,107678,22191,9238,7977,3933,5579,1848
2013,total,food crops,total,17552,133448,25530,10787,83229,44415,19133,28899,9677,9003,142986,34764,15200,24628,12971,44352,26120,52371,10931,229974,52223,15152,14843,15156,21944,6260
2013,total,animal products,non-dairy cattle,17,139,19,7,63,165,38,9,9,41,531,62,9,38,61,139,21,396,17,34,20,1,14,68,50,7
2013,total,animal products,dairy cattle,6,74,9,8,13,63,61,4,19,7,575,125,72,65,187,181,46,443,3,14,4,0,11,28,70,3
2013,total,animal products,pigs,70,374,47,20,0,275,0,8,4,16,2152,133,0,60,28,331,1,0,57,1344,235,9,132,32,1,0
2013,total,animal products,sheep & goats,0,0,0,0,0,2,10,1,2,1,15,4,6,1,42,9,22,12,0,2,0,0,0,18,6,0
2013,total,animal products,poultry,41,616,118,56,0,694,94,29,13,59,203,207,69,81,54,311,158,0,52,1050,257,62,190,57,60,0
2013,total,animal products,total,135,1203,193,91,76,1199,202,49,47,124,3476,530,156,244,373,972,247,852,129,2444,515,71,347,203,187,10
2013,total,residues,non-dairy cattle,6307,51913,1936,2575,129479,31018,8309,5651,6455,1897,51429,6788,1886,0,1776,6547,2307,37678,0,22097,8807,5531,6119,1371,9365,1524
2013,total,residues,dairy cattle,2330,27765,1197,4005,28407,14423,13606,2558,20179,492,55684,13760,18392,0,7654,8527,6777,75441,0,9842,2205,1005,4800,571,30986,669
2013,total,residues,pigs,1245,9003,3072,1587,5299,4597,6,2876,1328,319,10641,3673,0,5158,243,2708,11,2198,1496,189131,26942,1816,776,391,100,1860
2013,total,residues,sheep & goats,12,63,17,14,85,121,1945,142,483,82,1485,408,1207,0,1443,440,2640,401,0,261,25,28,0,47,461,0
2013,total,residues,poultry,374,10424,1123,1991,5865,5230,2846,3970,2444,836,2724,1796,392,1589,302,3335,5422,6117,336,54616,8227,17806,568,238,3473,2335
2013,total,residues,total,10269,99169,7345,10172,169136,55389,26712,15197,30890,3626,121963,26424,21878,6746,11417,21556,17157,121835,1832,275947,46205,26187,12263,2618,44385,6388
2013,total,scavenging,non-dairy cattle,0,0,4510,2062,23910,16266,1038,5505,7135,1204,0,0,1233,0,1413,0,1299,186252,471,10146,13804,5551,0,0,72843,3567
2013,total,scavenging,dairy cattle,0,0,606,749,4037,2598,1433,1622,5897,199,0,0,1624,0,851,0,834,99919,100,3087,1172,345,0,0,41048,1249
2013,total,scavenging,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,total,scavenging,sheep & goats,0,0,279,73,352,576,759,2022,2121,411,0,0,446,0,533,0,1300,5122,18,4511,234,175,0,3272,6175,519
2013,total,scavenging,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,total,scavenging,total,0,0,5395,2884,28299,19439,3230,9149,15153,1814,0,0,3303,0,2796,0,3433,291293,588,17744,15209,6070,0,3272,120066,5336
2013,total,grass & fodder,non-dairy cattle,23070,168431,76161,34342,287294,263313,7667,82304,125409,18126,112127,15909,20285,8183,24152,23160,19024,130548,7822,147440,48853,20005,1984,91269,54595,63698
2013,total,grass & fodder,dairy cattle,3624,37829,6843,8042,42354,30942,7656,21534,88742,2518,53958,14333,5092,9309,6220,20112,3106,25450,1600,39249,5099,1505,1560,36688,10535,22014
2013,total,grass & fodder,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,total,grass & fodder,sheep & goats,472,2102,5193,1356,6524,10686,4030,17516,18351,3448,19421,5732,2323,672,3667,9329,6713,4663,351,84393,2016,1507,4,30786,5641,4675
2013,total,grass & fodder,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,total,grass & fodder,total,27166,208362,88198,43740,336173,304942,19353,121354,232502,24092,185506,35974,27700,18164,34039,52601,28843,160661,9773,271082,55969,23017,3548,158743,70771,90387
2013,total,total,non-dairy cattle,35313,255808,89947,41114,475152,324123,20540,109447,142692,23954,186879,26514,24596,13638,30231,38600,25880,382156,11352,203305,87279,35771,9918,98896,148847,71232
2013,total,total,dairy cattle,8147,84560,12132,15002,80110,52022,28486,32479,118283,3978,134895,35833,32242,18618,21637,40223,16556,211517,2292,61812,11280,3331,7802,39864,86882,24982
2013,total,total,pigs,7074,38042,7193,3045,14220,10589,8,4080,1883,969,72525,15676,0,8091,748,12419,79,2885,5284,278514,38555,2544,4542,1687,164,2790
2013,total,total,sheep & goats,495,2208,5585,1465,7044,11517,7589,20202,21190,4113,21579,6369,4463,747,7092,10366,12998,10242,374,90216,2333,1744,5,35317,12349,5194
2013,total,total,poultry,4093,61564,11805,7048,40387,27132,12007,8440,4221,5645,38054,13300,6936,8688,1888,17873,20288,20212,3951,163344,30674,27106,8735,4228,9111,4183
2013,total,total,total,55122,442181,126661,67674,616913,425384,68631,174648,288269,38659,453931,97693,68236,49782,61596,119481,75800,627012,23253,797190,170121,70496,31002,179992,257354,108381
2014,intensive grazing system,food crops,non-dairy cattle,6022,36276,7566,2189,36229,13629,3550,16636,3761,2586,22883,3871,1255,5425,3034,8816,3298,27887,3030,23855,16034,4782,1782,6200,12477,1821
2014,intensive grazing system,food crops,dairy cattle,2237,19761,3606,2195,5313,3944,5884,6895,3516,854,24928,7662,7383,9214,7037,11330,5729,11100,583,9692,2911,477,1424,2675,4537,820
2014,intensive grazing system,food crops,pigs,5761,28989,4164,1458,9018,5885,2,1217,564,655,59514,11778,0,2874,472,9974,64,675,3931,89790,11888,771,3621,1275,66,1022
