# File: IMAGE_an_meat.csv
# Title: IMAGE animal production meat
# Units: Gg dm
# Author: XZ
# Source: IMAGE model (Jonathan Doelman)
# Column types: icnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
year,commodity,Canada,USA,Mexico,Rest Central America,Brazil,Rest South America,Northern Africa,Western Africa,Eastern Africa,South Africa,OECD Europe,Eastern Europe,Turkey,Ukraine +,Asia-Stan,Russia +,Middle East,India,Korea,China +,South East Asia,Indonesia +,Japan,Oceania,Rest of S. Asia,Rest of S. Africa
2002,milk,997,9574,1226,566,2806,2989,1099,607,2003,318,16240,4119,1225,2362,1359,4399,1492,10666,306,2372,233,127,1048,3050,3990,428
2002,pork,904,4459,526,181,1420,617,2,168,71,65,9017,2322,0,478,71,837,9,232,573,21265,2184,231,627,230,9,110
2002,mutton & goat meat,7,49,40,11,50,108,272,388,355,62,577,80,169,11,159,95,470,351,7,1498,30,57,0,597,407,70
2002,poultry & eggs,745,11275,1994,804,4469,2588,1086,555,235,614,7202,1906,757,619,155,1534,1919,1674,568,17986,2744,994,1873,513,646,199
2002,total,3306,31394,4523,1846,12301,8871,2936,2257,3321,1364,36863,8972,2319,3933,2218,7917,4226,14053,1578,45797,5620,1614,3801,5732,5782,1094
2003,beef,673,5955,752,285,3756,2638,490,561,687,322,3811,529,165,448,495,1046,347,1142,112,2739,436,207,250,1360,746,283
2003,milk,988,9682,1241,570,2931,3008,1156,633,2138,336,16180,4149,1258,2421,1440,4383,1552,11065,306,2861,253,129,1043,3092,4099,445
2003,pork,932,4538,533,189,1440,639,2,175,77,70,9058,2282,0,461,73,835,9,228,575,21852,2343,208,626,233,9,110
2003,mutton & goat meat,8,47,41,11,51,107,275,400,374,65,568,76,163,10,164,97,473,356,8,1575,32,59,0,589,413,71
2003,poultry & eggs,758,11534,2079,851,4689,2685,1124,581,239,632,7209,1959,780,679,170,1615,2021,1781,588,18374,2837,1054,1875,533,677,207
2003,total,3359,31756,4647,1906,12868,9075,3047,2349,3515,1425,36825,8994,2365,4019,2342,7977,4403,14571,1587,47400,5900,1656,3794,5807,5944,1116
2004,beef,680,5860,769,288,3976,2764,510,572,721,348,3801,525,165,444,519,1031,364,1156,109,2805,455,212,254,1376,790,283
2004,milk,986,9869,1258,579,3058,3063,1221,659,2248,343,16113,4190,1319,2445,1522,4353,1625,11486,302,3411,271,133,1039,3132,4248,458
2004,pork,949,4625,538,197,1460,672,2,183,84,76,9093,2273,0,459,73,854,9,221,582,22445,2537,187,627,234,9,109
2004,mutton & goat meat,8,45,43,12,51,102,279,412,388,68,570,76,159,10,171,100,478,364,8,1664,35,63,0,578,406,73
2004,poultry & eggs,764,11765,2172,889,4921,2810,1160,604,239,648,7138,1983,817,751,185,1705,2107,1906,603,18761,2939,1125,1887,559,716,211
2004,total,3388,32163,4780,1964,13465,9410,3172,2430,3679,1484,36713,9046,2461,4109,2471,8044,4583,15134,1604,49085,6236,1720,3807,5879,6168,1134
2005,beef,678,5862,785,294,4192,2893,519,587,746,373,3782,526,176,433,545,1005,374,1174,110,2895,484,213,251,1389,832,283
2005,milk,991,10046,1275,594,3153,3130,1292,696,2298,355,16041,4223,1417,2426,1605,4326,1712,12066,294,3975,288,136,1029,3134,4387,473
2005,pork,954,4728,546,208,1479,712,2,188,90,83,9191,2244,0,471,74,885,10,213,583,22606,2705,163,628,232,9,112
2005,mutton & goat meat,8,43,44,12,52,102,284,424,401,75,566,77,158,10,181,104,493,375,8,1762,39,63,0,588,399,74
2005,poultry & eggs,775,11975,2258,926,5161,2989,1192,632,241,678,7093,1991,862,816,200,1803,2206,2046,615,19267,3047,1193,1906,579,758,218
2005,total,3406,32653,4909,2034,14037,9825,3288,2527,3777,1564,36673,9062,2613,4157,2606,8124,4794,15874,1609,50505,6562,1767,3814,5922,6386,1161
2006,beef,688,5831,802,305,4371,3009,538,608,771,389,3767,520,184,414,570,982,383,1192,115,2966,514,215,253,1403,878,290
2006,milk,1001,10268,1296,612,3291,3265,1344,729,2351,367,16010,4251,1458,2416,1680,4307,1767,12705,289,4435,306,139,1019,3128,4535,492
2006,pork,961,4882,559,222,1475,765,2,196,95,86,9317,2162,0,474,76,912,10,204,568,22982,2853,135,625,226,9,119
2006,mutton & goat meat,9,42,45,12,53,102,289,437,414,79,557,76,159,10,192,109,495,384,8,1837,43,60,0,599,395,77
2006,poultry & eggs,789,12209,2346,962,5464,3226,1223,665,245,731,7118,2004,887,898,215,1914,2295,2194,629,19919,3169,1252,1921,598,804,224
2006,total,3448,33233,5048,2113,14654,10365,3396,2635,3876,1652,36769,9012,2687,4212,2732,8225,4950,16679,1610,52137,6885,1800,3819,5953,6621,1202
2007,beef,662,5846,818,317,4487,3086,560,622,796,401,3737,518,180,405,593,962,392,1209,125,3041,547,211,254,1395,925,305
2007,milk,1009,10477,1313,635,3412,3373,1398,763,2390,376,16024,4254,1504,2398,1764,4319,1806,13339,289,4773,325,148,1008,3147,4691,507
2007,pork,963,4995,569,234,1477,802,1,203,100,89,9419,2097,0,480,75,957,10,197,573,23524,2982,136,630,218,10,124
2007,mutton & goat meat,8,41,46,13,54,102,295,451,424,82,541,75,157,10,203,115,498,389,8,1899,48,60,0,607,391,79
2007,poultry & eggs,802,12292,2418,993,5652,3481,1261,697,252,785,7127,2047,945,991,233,2056,2377,2343,654,20626,3380,1293,1940,613,850,230
2007,total,3444,33651,5164,2192,15081,10843,3516,2736,3961,1732,36846,8991,2786,4284,2868,8409,5082,17478,1648,53863,7282,1848,3832,5980,6867,1245
2008,beef,643,5910,837,333,4540,3050,581,629,814,416,3741,513,210,397,618,954,402,1229,130,3126,585,218,255,1396,975,323
2008,milk,1020,10658,1333,656,3545,3456,1446,784,2467,378,16073,4215,1565,2358,1835,4339,1827,13995,285,5000,345,159,994,3179,4856,516
2008,pork,965,5075,576,241,1516,836,1,210,102,93,9566,2043,0,503,74,1031,10,192,588,24031,3104,140,635,213,10,127
2008,mutton & goat meat,8,40,47,13,54,103,300,466,431,84,520,76,153,10,213,121,495,392,8,1956,52,62,0,598,388,82
2008,poultry & eggs,813,12376,2478,1010,5990,3738,1323,725,266,841,7208,2082,993,1081,255,2204,2444,2503,671,21272,3591,1367,1958,636,904,239
2008,total,3448,34058,5270,2252,15645,11183,3651,2814,4080,1811,37107,8931,2921,4349,2995,8650,5179,18310,1683,55385,7677,1946,3842,6021,7132,1286
2009,beef,624,5982,856,349,4541,2989,598,647,826,421,3738,510,240,382,638,946,411,1245,138,3198,618,227,256,1388,1004,344
2009,milk,1029,10822,1349,669,3693,3543,1497,807,2531,381,16193,4177,1643,2317,1902,4350,1851,14685,278,5134,368,169,978,3208,5009,529
2009,pork,972,5152,585,250,1556,868,1,216,104,95,9747,2007,0,530,75,1102,10,188,568,24431,3177,144,637,209,10,135
2009,mutton & goat meat,8,39,48,13,55,104,309,473,440,85,501,79,151,11,226,127,498,391,8,1994,55,59,0,579,401,86
2009,poultry & eggs,824,12462,2525,1022,6371,3988,1395,749,278,896,7360,2119,1072,1165,277,2361,2507,2664,690,22011,3805,1416,1959,662,958,254
2009,total,3457,34457,5363,2304,16215,11492,3799,2892,4179,1879,37538,8891,3106,4405,3119,8886,5276,19173,1682,56767,8023,2014,3829,6046,7382,1348
2010,beef,602,5983,874,361,4541,2934,612,653,847,425,3703,498,277,368,654,941,418,1257,148,3247,640,243,257,1384,1032,371
2010,milk,1039,10992,1363,678,3848,3634,1548,825,2603,387,16320,4141,1770,2314,1964,4347,1860,15298,276,5199,395,179,968,3294,5168,545
2010,pork,982,5211,594,250,1572,906,1,221,106,97,9818,1945,0,544,76,1163,10,185,570,25482,3263,145,642,205,10,147
2010,mutton & goat meat,8,38,49,14,56,104,317,474,451,84,480,80,151,11,238,132,497,387,9,2019,59,58,0,555,415,90
2010,poultry & eggs,834,12523,2552,1026,6677,4216,1471,772,293,937,7474,2177,1152,1256,303,2544,2575,2827,710,22696,4050,1462,1960,694,1023,272
2010,total,3465,34746,5432,2328,16693,11795,3949,2945,4300,1930,37795,8840,3349,4493,3235,9128,5361,19953,1712,58643,8407,2087,3827,6132,7649,1425
2011,beef,577,5959,888,370,4606,2910,623,663,868,441,3647,482,327,367,672,930,433,1270,158,3308,659,254,256,1406,1061,396
2011,milk,1045,11120,1372,685,3994,3655,1587,830,2644,393,16435,4116,1919,2317,2033,4310,1912,15935,273,5202,425,182,956,3407,5333,556
2011,pork,985,5204,606,250,1582,937,1,226,108,101,9839,1903,0,572,76,1241,10,182,590,26354,3353,154,648,207,10,158
2011,mutton & goat meat,8,37,49,14,56,104,326,476,462,85,466,83,154,11,250,135,506,382,9,2056,62,57,0,545,426,95
2011,poultry & eggs,842,12586,2592,1042,6901,4408,1544,787,307,975,7603,2250,1240,1344,330,2715,2643,3002,731,23163,4301,1530,2028,731,1095,290
2011,total,3458,34905,5507,2361,17139,12013,4080,2982,4389,1995,37989,8835,3640,4611,3361,9332,5504,20771,1760,60082,8800,2178,3888,6295,7925,1495
2012,beef,563,5919,900,378,4685,2867,629,678,897,460,3597,475,382,361,694,923,445,1280,163,3361,674,263,254,1454,1087,408
2012,milk,1050,11311,1386,692,4145,3701,1638,830,2658,401,16705,4129,2071,2307,2108,4280,1975,16681,272,5255,455,182,942,3532,5488,576
2012,pork,986,5197,619,253,1588,992,1,230,110,106,9873,1905,0,593,77,1324,9,180,603,27131,3431,165,643,211,10,176
2012,mutton & goat meat,8,36,49,14,57,104,332,475,470,87,453,85,162,11,265,138,520,378,9,2099,66,55,0,552,436,100
2012,poultry & eggs,854,12791,2637,1064,7202,4572,1652,799,318,1013,7750,2315,1323,1414,356,2881,2706,3185,754,23474,4569,1611,2099,771,1188,308
2012,total,3461,35253,5592,2400,17677,12235,4252,3012,4453,2068,38378,8908,3939,4686,3499,9546,5655,21705,1801,61319,9195,2276,3938,6519,8210,1568
2013,beef,545,5815,910,379,4716,2896,635,697,926,478,3547,476,422,360,715,919,462,1278,170,3412,684,270,251,1511,1113,414
2013,milk,1030,11489,1404,695,4242,3726,1660,829,2634,411,17006,4177,2199,2300,2175,4266,1972,17523,274,5305,489,182,933,3667,5646,593
2013,pork,990,5290,634,259,1612,1044,1,233,113,110,9923,1908,0,603,78,1402,9,177,613,27545,3524,177,639,214,11,194
2013,mutton & goat meat,8,36,49,14,58,100,341,473,470,90,442,87,177,10,281,140,535,374,9,2150,71,55,0,570,443,103
2013,poultry & eggs,861,12967,2692,1097,7488,4701,1745,796,320,1057,7896,2403,1402,1449,380,3053,2792,3386,790,23776,4829,1695,2171,800,1279,329
2013,total,3434,35596,5690,2444,18115,12468,4382,3029,4464,2145,38814,9050,4200,4722,3630,9779,5770,22737,1856,62187,9596,2378,3995,6762,8491,1633
2014,beef,544,5765,918,380,4741,2930,644,708,955,501,3521,484,456,360,744,922,488,1275,170,3503,697,274,247,1540,1138,418
2014,milk,1008,11672,1426,699,4280,3625,1665,825,2645,422,17191,4188,2276,2297,2205,4257,1964,18304,269,5319,521,181,931,3741,5720,593
2014,pork,997,5389,651,263,1640,1077,1,236,116,114,9955,1916,0,605,77,1497,9,172,649,27890,3631,189,640,217,11,212
2014,mutton & goat meat,8,36,49,14,59,96,345,478,468,93,428,89,190,10,292,142,545,371,9,2225,76,55,0,590,447,105
2014,poultry & eggs,871,13192,2749,1134,7772,4766,1820,799,327,1094,8033,2529,1462,1464,393,3199,2899,3586,823,24256,5070,1789,2276,826,1374,341
2014,total,3429,36053,5794,2489,18492,12495,4474,3046,4510,2224,39128,9207,4383,4736,3712,10017,5905,23708,1920,63193,9994,2487,4095,6913,8690,1669
2015,beef,552,5670,924,382,4750,2951,652,726,980,531,3513,500,482,364,778,926,514,1271,168,3589,710,275,241,1598,1161,416
2050,beef,786,6754,1464,651,7694,5303,1219,1313,3242,1197,4530,595,697,374,1403,997,1413,3167,195,5051,1290,385,220,2309,2289,726
2100,beef,984,7394,2085,933,9645,7350,1880,1552,4056,2365,5772,703,876,561,1631,1020,2347,5582,263,4067,1999,397,139,2699,2922,856
2015,milk,973,11835,1448,699,4344,3537,1653,811,2623,432,17494,4211,2310,2277,2253,4236,1943,19184,262,5331,556,179,922,3802,5803,596
2050,milk,1282,14006,1918,1038,5289,4989,2376,1957,7678,586,19267,4294,3133,2286,3504,4943,3902,28202,278,5075,1241,254,872,5598,10001,1367
2100,milk,1459,15402,2001,1346,4520,5860,4274,2478,11653,862,20653,4307,4547,3134,3878,6055,6093,28825,256,3487,2311,263,657,6466,11597,1841
2016,beef,559,5690,941,390,4819,3008,670,752,1023,540,3527,501,491,363,806,929,530,1301,168,3664,728,281,241,1625,1195,427
2016,milk,982,11882,1470,710,4391,3586,1686,845,2722,438,17622,4210,2339,2268,2312,4252,1993,19614,262,5344,572,182,923,3869,5951,614
2016,pork,1010,5494,683,276,1701,1127,1,251,124,121,10076,1949,0,601,81,1606,8,175,671,28843,3842,209,638,225,12,234
2016,mutton & goat meat,8,36,50,14,61,95,358,506,479,98,418,92,209,9,314,147,571,378,8,2355,84,56,0,627,464,109
2016,poultry & eggs,891,13505,2893,1205,8180,4943,1944,828,344,1162,8239,2646,1548,1464,425,3351,3086,3936,873,25240,5435,1936,2402,865,1511,364
2016,total,3451,36607,6036,2594,19152,12759,4658,3182,4692,2360,39882,9399,4587,4703,3937,10285,6189,25404,1982,65446,10660,2665,4204,7210,9133,1748
2017,beef,565,5710,958,397,4888,3066,688,779,1066,549,3541,503,500,361,833,932,546,1331,168,3739,745,286,242,1653,1228,439
2017,milk,991,11929,1491,721,4438,3636,1718,879,2821,445,17751,4210,2367,2259,2370,4268,2043,20045,262,5357,588,186,923,3936,6098,631
2017,pork,1022,5514,699,282,1718,1151,1,263,129,124,10127,1955,0,599,84,1616,9,181,678,29629,3942,216,641,230,12,241
2017,mutton & goat meat,8,36,50,14,62,97,367,523,500,100,420,92,215,9,324,148,588,387,8,2400,85,57,0,639,477,112
2017,poultry & eggs,902,13563,2953,1229,8269,5038,1998,865,360,1183,8270,2652,1586,1460,443,3373,3176,4081,881,25930,5575,1989,2411,881,1555,375
2017,total,3488,36753,6151,2643,19374,12987,4772,3307,4875,2401,40109,9411,4668,4687,4054,10337,6361,26026,1998,67056,10934,2734,4217,7339,9372,1798
2018,beef,571,5730,974,404,4957,3123,705,805,1108,558,3555,504,509,360,861,935,562,1361,168,3814,762,292,242,1680,1262,450
2018,milk,1001,11976,1512,731,4485,3686,1751,913,2920,451,17879,4209,2396,2250,2429,4284,2093,20475,262,5371,603,189,924,4003,6246,649
2018,pork,1033,5533,715,288,1734,1175,1,274,134,126,10178,1961,0,597,87,1626,9,188,685,30415,4043,222,644,236,13,249
2018,mutton & goat meat,8,37,51,14,64,99,377,540,520,102,423,93,220,9,334,149,604,397,8,2446,87,58,0,650,489,115
2018,poultry & eggs,913,13622,3013,1254,8357,5133,2052,902,375,1203,8301,2657,1624,1456,460,3395,3265,4227,890,26620,5714,2043,2420,898,1600,386
2018,total,3526,36898,6265,2691,19597,13215,4886,3433,5058,2441,40336,9424,4749,4671,4172,10389,6534,26648,2014,68666,11209,2804,4229,7467,9610,1848
2019,beef,577,5750,991,412,5026,3180,723,831,1151,567,3569,506,518,358,889,939,579,1391,169,3889,779,298,242,1708,1295,462
2019,milk,1010,12023,1533,742,4532,3735,1784,947,3019,457,18008,4209,2425,2241,2488,4301,2143,20906,262,5384,619,193,924,4070,6394,666
2019,pork,1045,5553,731,294,1750,1199,1,285,140,129,10228,1966,0,595,90,1635,9,194,692,31201,4143,228,646,241,13,256
2019,mutton & goat meat,8,37,51,14,65,101,387,557,541,104,426,94,226,9,344,150,621,406,8,2492,89,59,0,662,502,117
2019,poultry & eggs,923,13680,3072,1278,8446,5228,2105,939,390,1224,8331,2663,1662,1452,478,3417,3354,4372,899,27310,5853,2096,2429,914,1644,397
2019,total,3564,37043,6379,2740,19819,13443,5000,3559,5240,2482,40562,9437,4830,4655,4289,10441,6706,27269,2030,70276,11484,2874,4242,7595,9848,1899
2020,beef,584,5771,1008,419,5095,3237,741,857,1194,576,3583,507,527,357,917,942,595,1421,169,3963,796,304,242,1735,1329,473
2020,milk,1019,12070,1554,752,4579,3785,1816,981,3118,463,18136,4209,2454,2232,2547,4317,2193,21336,262,5397,635,196,925,4137,6541,683
2020,pork,1057,5572,747,300,1767,1223,1,296,145,132,10279,1972,0,593,93,1645,9,201,699,31987,4243,234,649,247,14,263
2020,mutton & goat meat,8,37,52,15,66,103,396,574,561,106,429,94,231,9,354,150,637,415,8,2538,91,60,0,674,514,120
2020,poultry & eggs,934,13738,3132,1302,8535,5323,2159,976,405,1245,8362,2668,1699,1448,495,3439,3444,4517,907,28000,5992,2150,2438,930,1689,408
2020,total,3602,37188,6493,2788,20042,13671,5114,3684,5423,2522,40789,9450,4911,4638,4406,10494,6878,27891,2045,71885,11759,2944,4254,7723,10087,1949
2021,beef,590,5802,1025,427,5189,3301,759,879,1258,586,3600,509,534,357,942,944,616,1457,169,4025,814,308,242,1758,1365,484
2021,milk,1029,12140,1571,763,4618,3832,1842,1021,3252,469,18186,4215,2481,2233,2595,4339,2253,21672,263,5397,654,199,924,4200,6690,704
2021,pork,1065,5595,763,306,1770,1248,1,316,153,135,10319,1979,0,594,97,1657,10,208,704,32569,4341,240,650,251,14,272
2021,mutton & goat meat,8,38,53,15,68,106,408,586,592,108,433,95,236,9,363,152,660,424,8,2577,94,61,0,684,527,123
2021,poultry & eggs,943,13818,3191,1328,8561,5421,2216,1040,428,1265,8393,2675,1735,1451,516,3466,3562,4663,914,28523,6135,2193,2443,947,1743,421
2021,total,3636,37391,6602,2840,20207,13907,5226,3842,5682,2562,40931,9473,4986,4643,4513,10559,7100,28424,2058,73091,12038,3001,4259,7842,10339,2004
2022,beef,596,5832,1041,435,5283,3366,777,901,1322,595,3617,511,541,357,968,947,637,1492,170,4087,831,312,241,1782,1402,495
2022,milk,1039,12209,1587,774,4658,3878,1867,1062,3386,474,18237,4221,2508,2233,2643,4362,2313,22008,263,5396,673,202,924,4264,6838,725
2022,pork,1073,5618,779,312,1774,1273,1,336,161,137,10358,1985,0,596,101,1669,10,216,709,33151,4439,246,651,256,15,280
2022,mutton & goat meat,8,38,53,15,70,109,420,598,622,110,437,96,240,9,371,153,683,433,8,2616,96,61,0,695,540,126
2022,poultry & eggs,953,13897,3251,1354,8588,5518,2273,1104,451,1285,8423,2683,1771,1453,537,3492,3680,4810,920,29045,6278,2237,2449,964,1796,433
2022,total,3669,37595,6711,2891,20373,14144,5339,4000,5942,2602,41073,9496,5060,4648,4620,10624,7323,28958,2071,74296,12317,3058,4265,7960,10591,2058
2023,beef,602,5863,1058,443,5376,3430,795,922,1387,605,3635,513,548,357,993,950,658,1527,170,4149,848,316,241,1805,1438,505
2023,milk,1049,12279,1603,785,4698,3925,1893,1102,3519,479,18287,4228,2535,2234,2692,4384,2373,22344,264,5395,692,204,923,4327,6986,745
2023,pork,1082,5641,795,318,1778,1299,1,356,169,140,10398,1992,0,597,104,1681,10,223,715,33733,4537,252,652,260,15,289
2023,mutton & goat meat,8,39,54,16,72,112,432,610,652,113,441,96,245,9,380,155,706,441,8,2656,98,62,0,706,553,128
2023,poultry & eggs,962,13977,3310,1380,8614,5616,2331,1168,475,1306,8454,2691,1807,1455,559,3519,3798,4956,926,29568,6421,2281,2454,981,1850,445
2023,total,3703,37799,6821,2942,20538,14381,5451,4158,6202,2642,41214,9520,5135,4653,4727,10689,7545,29491,2083,75501,12596,3114,4270,8078,10843,2113
2024,beef,608,5894,1075,451,5470,3494,813,944,1451,614,3652,516,555,357,1019,952,679,1563,170,4210,866,319,241,1828,1475,516
2024,milk,1059,12349,1620,796,4738,3971,1918,1142,3653,485,18337,4234,2562,2234,2740,4407,2433,22680,264,5395,711,207,923,4390,7135,766
2024,pork,1090,5664,811,325,1781,1324,1,376,176,143,10438,1998,0,599,108,1693,11,230,720,34315,4634,257,653,265,16,297
2024,mutton & goat meat,8,39,55,16,74,115,444,621,683,115,445,97,249,10,388,156,728,450,8,2695,100,63,0,716,566,131
2024,poultry & eggs,971,14056,3369,1406,8640,5713,2388,1232,498,1326,8484,2698,1843,1458,580,3545,3917,5102,933,30091,6564,2325,2459,998,1904,458
2024,total,3737,38003,6930,2994,20703,14618,5564,4316,6461,2682,41356,9543,5209,4658,4834,10754,7767,30024,2096,76706,12876,3171,4275,8197,11095,2168
2025,beef,614,5925,1092,459,5564,3558,831,965,1516,624,3669,518,561,357,1044,955,700,1598,171,4272,883,323,240,1852,1511,526
2025,milk,1068,12419,1636,807,4777,4017,1944,1183,3786,490,18387,4240,2589,2235,2788,4429,2493,23015,265,5394,730,210,922,4453,7283,787
2025,pork,1099,5687,827,331,1785,1350,1,396,184,146,10478,2005,0,601,111,1705,11,237,725,34897,4732,263,654,269,16,306
2025,mutton & goat meat,9,40,55,16,76,118,456,633,713,117,449,98,254,10,397,158,751,458,8,2734,102,63,0,727,579,134
2025,poultry & eggs,981,14136,3428,1432,8667,5811,2445,1296,522,1346,8514,2706,1879,1460,601,3572,4035,5248,939,30614,6707,2369,2464,1015,1958,470
2025,total,3770,38207,7039,3045,20869,14855,5677,4474,6721,2723,41498,9566,5284,4663,4941,10819,7990,30557,2108,77911,13155,3228,4280,8315,11347,2222
2026,beef,620,5956,1108,467,5658,3622,849,987,1580,633,3687,520,568,357,1070,958,721,1634,171,4334,900,327,240,1875,1548,537
2026,milk,1078,12489,1653,818,4817,4064,1970,1223,3920,495,18437,4247,2616,2236,2836,4452,2553,23351,265,5394,749,212,922,4517,7431,807
2026,pork,1107,5710,844,337,1789,1375,1,416,192,148,10517,2011,0,602,115,1718,11,244,730,35479,4830,269,655,273,17,314
2026,mutton & goat meat,9,40,56,17,78,122,468,645,743,119,453,99,258,10,405,159,774,467,8,2773,105,64,0,737,592,136
2026,poultry & eggs,990,14215,3488,1458,8693,5909,2502,1360,545,1367,8545,2713,1915,1463,622,3598,4153,5394,946,31136,6850,2413,2469,1031,2012,482
2026,total,3804,38410,7148,3097,21034,15091,5789,4631,6981,2763,41639,9589,5359,4667,5048,10884,8212,31091,2121,79117,13434,3285,4286,8434,11599,2277
2027,beef,626,5987,1125,475,5751,3686,867,1009,1645,643,3704,522,575,357,1095,960,742,1669,171,4396,918,331,239,1898,1584,548
2027,milk,1088,12559,1669,829,4857,4110,1995,1263,4053,500,18487,4253,2644,2236,2885,4474,2613,23687,266,5393,768,215,921,4580,7579,828
2027,pork,1116,5733,860,344,1792,1400,1,436,200,151,10557,2018,0,604,119,1730,12,252,736,36061,4928,275,656,278,17,323
2027,mutton & goat meat,9,41,57,17,80,125,480,657,773,122,457,99,263,10,414,161,797,476,8,2813,107,65,0,748,605,139
2027,poultry & eggs,999,14295,3547,1484,8719,6006,2559,1424,569,1387,8575,2721,1951,1465,643,3625,4271,5541,952,31659,6993,2457,2474,1048,2066,495
2027,total,3838,38614,7258,3148,21200,15328,5902,4789,7241,2803,41781,9613,5433,4672,5155,10949,8434,31624,2133,80322,13713,3342,4291,8552,11852,2332
2028,beef,633,6018,1142,483,5845,3751,885,1030,1709,652,3721,524,582,357,1121,963,763,1704,172,4457,935,335,239,1922,1621,558
2028,milk,1098,12629,1685,840,4897,4157,2021,1303,4187,506,18538,4260,2671,2237,2933,4497,2673,24023,266,5393,787,217,921,4643,7728,849
2028,pork,1124,5756,876,350,1796,1426,1,456,208,154,10597,2024,0,606,122,1742,12,259,741,36643,5025,281,657,282,18,331
2028,mutton & goat meat,9,41,58,17,82,128,492,668,804,124,461,100,268,10,422,162,820,484,8,2852,109,65,0,758,618,142
2028,poultry & eggs,1008,14374,3606,1510,8746,6104,2616,1488,592,1407,8606,2728,1987,1467,664,3651,4389,5687,959,32182,7136,2500,2479,1065,2120,507
2028,total,3872,38818,7367,3200,21365,15565,6015,4947,7500,2843,41923,9636,5508,4677,5262,11015,8657,32157,2146,81527,13993,3399,4296,8670,12104,2386
2029,beef,639,6049,1159,491,5939,3815,903,1052,1774,662,3739,526,589,357,1146,966,784,1740,172,4519,952,339,239,1945,1657,569
2029,milk,1108,12699,1702,851,4936,4203,2046,1344,4321,511,18588,4266,2698,2237,2981,4519,2733,24359,267,5392,806,220,921,4706,7876,869
2029,pork,1132,5779,892,356,1799,1451,1,477,216,157,10636,2031,0,607,126,1754,12,266,746,37225,5123,287,658,287,18,339
2029,mutton & goat meat,9,41,58,18,84,131,504,680,834,126,465,101,272,11,431,163,842,493,8,2891,111,66,0,769,631,144
2029,poultry & eggs,1018,14454,3665,1536,8772,6202,2673,1553,616,1428,8636,2736,2023,1470,685,3678,4507,5833,965,32705,7279,2544,2484,1082,2174,519
2029,total,3905,39022,7476,3251,21531,15802,6127,5105,7760,2883,42064,9659,5582,4682,5369,11080,8879,32690,2159,82732,14272,3456,4301,8789,12356,2441
2030,beef,645,6080,1175,499,6032,3879,921,1074,1838,671,3756,528,596,357,1172,968,805,1775,173,4581,970,343,238,1968,1694,580
2030,milk,1118,12769,1718,862,4976,4250,2072,1384,4454,516,18638,4272,2725,2238,3030,4541,2793,24694,267,5391,825,223,920,4769,8024,890
2030,pork,1141,5802,908,362,1803,1477,1,497,224,159,10676,2037,0,609,129,1766,12,273,752,37807,5221,292,659,291,19,348
2030,mutton & goat meat,9,42,59,18,86,134,516,692,864,129,469,102,277,11,439,165,865,501,8,2931,114,66,0,779,643,147
2030,poultry & eggs,1027,14533,3724,1562,8798,6299,2730,1617,639,1448,8667,2743,2059,1472,706,3704,4626,5979,971,33227,7422,2588,2489,1099,2228,531
2030,total,3939,39226,7585,3303,21696,16039,6240,5263,8020,2923,42206,9682,5657,4687,5476,11145,9102,33223,2171,83938,14551,3513,4307,8907,12608,2496
2031,beef,651,6113,1190,506,6118,3947,935,1088,1915,689,3785,531,601,357,1186,970,832,1831,174,4614,986,346,237,1986,1727,589
2031,milk,1126,12835,1730,871,4999,4290,2087,1418,4609,520,18674,4274,2748,2239,3058,4564,2852,24873,269,5380,845,225,918,4816,8140,914
2031,pork,1147,5819,923,368,1806,1499,1,529,235,162,10700,2039,0,610,132,1775,13,280,754,38090,5308,297,659,294,19,358
2031,mutton & goat meat,9,43,60,18,89,139,529,700,899,132,476,103,281,11,443,167,893,508,8,2953,116,67,0,789,654,149
2031,poultry & eggs,1035,14605,3776,1585,8815,6382,2775,1707,672,1463,8687,2746,2090,1474,722,3725,4747,6112,974,33485,7552,2614,2486,1114,2279,545
2031,total,3968,39414,7679,3349,21827,16257,6326,5441,8330,2966,42322,9692,5720,4692,5542,11201,9336,33605,2179,84522,14807,3548,4300,8999,12820,2554
2032,beef,657,6146,1205,514,6203,4015,949,1102,1992,707,3815,533,607,358,1200,972,859,1886,176,4648,1002,348,236,2003,1759,598
2032,milk,1134,12901,1742,881,5021,4329,2103,1452,4764,524,18710,4276,2770,2240,3087,4586,2911,25053,270,5368,865,226,915,4862,8257,938
2032,pork,1153,5837,937,374,1809,1522,1,560,246,164,10723,2041,0,612,135,1785,13,287,756,38372,5395,301,658,297,20,368
2032,mutton & goat meat,9,43,60,19,92,143,541,709,933,135,483,104,286,12,447,169,921,515,9,2975,118,67,0,799,665,151
2032,poultry & eggs,1042,14677,3828,1608,8833,6466,2819,1796,705,1479,8706,2748,2121,1477,739,3745,4868,6246,976,33743,7683,2640,2483,1129,2331,558
2032,total,3996,39603,7773,3395,21959,16476,6413,5619,8641,3009,42437,9702,5784,4698,5607,11256,9571,33987,2187,85107,15063,3583,4293,9090,13032,2613
2033,beef,664,6179,1220,521,6288,4083,964,1116,2069,724,3844,536,612,358,1214,973,886,1942,178,4682,1019,350,236,2020,1792,607
2033,milk,1142,12966,1754,890,5044,4369,2118,1485,4919,528,18746,4278,2793,2242,3116,4608,2969,25232,272,5357,885,228,912,4909,8373,962
