Commodity,Commodity_Code,Year,State,StFips,Planted All Purposes,Planted All Purposes(UNIT),Harvested,Harvested(UNIT),Yield,Yield(UNIT),Production,Production(UNIT),Price per Unit,Price per Unit(UNIT),Value of production,Value of production(UNIT)
Barley All,11399999,2006,Virginia,51,58,thousand acres,42,thousand acres,77,bushel,3234,thousand bushels,1.54,dols / bu,4980,thousand dollars
Barley All,11399999,2006,Washington,53,200,thousand acres,190,thousand acres,63,bushel,11970,thousand bushels,2.88,dols / bu,34474,thousand dollars
Barley All,11399999,2006,Wisconsin,55,50,thousand acres,30,thousand acres,54,bushel,1620,thousand bushels,2.06,dols / bu,3337,thousand dollars
Barley All,11399999,2006,Wyoming,56,70,thousand acres,57,thousand acres,85,bushel,4845,thousand bushels,3.32,dols / bu,16085,thousand dollars
Barley All,11399999,2006,United States,99,3452,thousand acres,2951,thousand acres,61.1,bushel,180165,thousand bushels,2.85,dols / bu,498691,thousand dollars
Sorghum For Grain,11499199,2006,Alabama,1,10,thousand acres,5,thousand acres,38,bushel,190,thousand bushels,5,dols / cwt,532,thousand dollars
Sorghum For Grain,11499199,2006,Arizona,4,24,thousand acres,7,thousand acres,90,bushel,630,thousand bushels,7.8,dols / cwt,2752,thousand dollars
Sorghum For Grain,11499199,2006,Arkansas,5,63,thousand acres,60,thousand acres,85,bushel,5100,thousand bushels,4.32,dols / cwt,12338,thousand dollars
Sorghum For Grain,11499199,2006,California,6,32,thousand acres,10,thousand acres,105,bushel,1050,thousand bushels,6.55,dols / cwt,3851,thousand dollars
Sorghum For Grain,11499199,2006,Colorado,8,280,thousand acres,130,thousand acres,26,bushel,3380,thousand bushels,5.67,dols / cwt,10732,thousand dollars
Sorghum For Grain,11499199,2006,Georgia,13,40,thousand acres,26,thousand acres,45,bushel,1170,thousand bushels,4.9,dols / cwt,3210,thousand dollars
Sorghum For Grain,11499199,2006,Illinois,17,75,thousand acres,72,thousand acres,89,bushel,6408,thousand bushels,5.35,dols / cwt,19198,thousand dollars
Sorghum For Grain,11499199,2006,Kansas,20,2750,thousand acres,2500,thousand acres,58,bushel,145000,thousand bushels,6.01,dols / cwt,488012,thousand dollars
Sorghum For Grain,11499199,2006,Kentucky,21,18,thousand acres,16,thousand acres,85,bushel,1360,thousand bushels,6,dols / cwt,4570,thousand dollars
Sorghum For Grain,11499199,2006,Louisiana,22,90,thousand acres,87,thousand acres,94,bushel,8178,thousand bushels,4.9,dols / cwt,22440,thousand dollars
Sorghum For Grain,11499199,2006,Mississippi,28,15,thousand acres,13,thousand acres,80,bushel,1040,thousand bushels,4.73,dols / cwt,2755,thousand dollars
Sorghum For Grain,11499199,2006,Missouri,29,100,thousand acres,95,thousand acres,85,bushel,8075,thousand bushels,5.68,dols / cwt,25685,thousand dollars
Sorghum For Grain,11499199,2006,Nebraska,31,370,thousand acres,240,thousand acres,78,bushel,18720,thousand bushels,5.54,dols / cwt,58077,thousand dollars
Sorghum For Grain,11499199,2006,New Mexico,35,110,thousand acres,60,thousand acres,35,bushel,2100,thousand bushels,5.65,dols / cwt,6644,thousand dollars
Sorghum For Grain,11499199,2006,North Carolina,37,17,thousand acres,13,thousand acres,47,bushel,611,thousand bushels,6.72,dols / cwt,2299,thousand dollars
Sorghum For Grain,11499199,2006,Oklahoma,40,270,thousand acres,200,thousand acres,34,bushel,6800,thousand bushels,5.87,dols / cwt,22353,thousand dollars
Sorghum For Grain,11499199,2006,Pennsylvania,42,13,thousand acres,5,thousand acres,66,bushel,330,thousand bushels,5.86,dols / cwt,1083,thousand dollars
Sorghum For Grain,11499199,2006,South Carolina,45,11,thousand acres,7,thousand acres,51,bushel,357,thousand bushels,5.2,dols / cwt,1040,thousand dollars
Sorghum For Grain,11499199,2006,South Dakota,46,220,thousand acres,80,thousand acres,36,bushel,2880,thousand bushels,5.88,dols / cwt,9483,thousand dollars
Sorghum For Grain,11499199,2006,Tennessee,47,14,thousand acres,11,thousand acres,95,bushel,1045,thousand bushels,5.2,dols / cwt,3043,thousand dollars
Sorghum For Grain,11499199,2006,Texas,48,2000,thousand acres,1300,thousand acres,48,bushel,62400,thousand bushels,5.24,dols / cwt,183107,thousand dollars
Sorghum For Grain,11499199,2006,United States,99,6522,thousand acres,4937,thousand acres,56.1,bushel,276824,thousand bushels,5.88,dols / cwt,883204,thousand dollars
Sorghum For Silage,11499299,2006,Alabama,1,,,3,thousand acres,7,tons,21,thousand tons,,,,
Sorghum For Silage,11499299,2006,Arizona,4,,,17,thousand acres,21,tons,357,thousand tons,,,,
Sorghum For Silage,11499299,2006,Arkansas,5,,,2,thousand acres,13,tons,26,thousand tons,,,,
Sorghum For Silage,11499299,2006,California,6,,,22,thousand acres,19,tons,418,thousand tons,,,,
Sorghum For Silage,11499299,2006,Colorado,8,,,17,thousand acres,18,tons,306,thousand tons,,,,
Sorghum For Silage,11499299,2006,Georgia,13,,,11,thousand acres,11,tons,121,thousand tons,,,,
Sorghum For Silage,11499299,2006,Illinois,17,,,1,thousand acres,11,tons,11,thousand tons,,,,
Sorghum For Silage,11499299,2006,Kansas,20,,,60,thousand acres,10,tons,600,thousand tons,,,,
Sorghum For Silage,11499299,2006,Kentucky,21,,,1,thousand acres,19,tons,19,thousand tons,,,,
Sorghum For Silage,11499299,2006,Louisiana,22,,,1,thousand acres,10,tons,10,thousand tons,,,,
Sorghum For Silage,11499299,2006,Mississippi,28,,,1,thousand acres,12,tons,12,thousand tons,,,,
Sorghum For Silage,11499299,2006,Missouri,29,,,2,thousand acres,5,tons,10,thousand tons,,,,
Sorghum For Silage,11499299,2006,Nebraska,31,,,30,thousand acres,11,tons,330,thousand tons,,,,
Sorghum For Silage,11499299,2006,New Mexico,35,,,17,thousand acres,17,tons,289,thousand tons,,,,
Sorghum For Silage,11499299,2006,North Carolina,37,,,4,thousand acres,13,tons,52,thousand tons,,,,
Sorghum For Silage,11499299,2006,Oklahoma,40,,,16,thousand acres,5,tons,80,thousand tons,,,,
Sorghum For Silage,11499299,2006,Pennsylvania,42,,,6,thousand acres,7.5,tons,45,thousand tons,,,,
Sorghum For Silage,11499299,2006,South Carolina,45,,,4,thousand acres,8,tons,32,thousand tons,,,,
Sorghum For Silage,11499299,2006,South Dakota,46,,,30,thousand acres,9.5,tons,285,thousand tons,,,,
Sorghum For Silage,11499299,2006,Tennessee,47,,,2,thousand acres,19,tons,38,thousand tons,,,,
Sorghum For Silage,11499299,2006,Texas,48,,,100,thousand acres,15.5,tons,1550,thousand tons,,,,
Sorghum For Silage,11499299,2006,United States,99,,,347,thousand acres,13.3,tons,4612,thousand tons,,,,
Millet (Proso),11869999,2006,Colorado,8,290,thousand acres,255,thousand acres,21,bushel,5355,thousand bushels,4,dols / bu,21420,thousand dollars
Millet (Proso),11869999,2006,Nebraska,31,135,thousand acres,110,thousand acres,22,bushel,2420,thousand bushels,4.25,dols / bu,10285,thousand dollars
Millet (Proso),11869999,2006,South Dakota,46,155,thousand acres,110,thousand acres,22,bushel,2420,thousand bushels,4.15,dols / bu,10043,thousand dollars
Millet (Proso),11869999,2006,United States,99,580,thousand acres,475,thousand acres,21.5,bushel,10195,thousand bushels,4.09,dols / bu,41748,thousand dollars
Cotton Upland,12121999,2006,Alabama,1,575,thousand acres,560,thousand acres,579,pounds,675,thousand bales,0.446,dols / lb,144504,thousand dollars
Cotton Upland,12121999,2006,Arizona,4,190,thousand acres,188,thousand acres,1420,pounds,556,thousand bales,0.499,dols / lb,133173,thousand dollars
Cotton Upland,12121999,2006,Arkansas,5,1170,thousand acres,1160,thousand acres,1045,pounds,2525,thousand bales,0.465,dols / lb,563580,thousand dollars
Cotton Upland,12121999,2006,California,6,285,thousand acres,283,thousand acres,1321,pounds,779,thousand bales,0.582,dols / lb,217621,thousand dollars
Cotton Upland,12121999,2006,Florida,12,103,thousand acres,101,thousand acres,789,pounds,166,thousand bales,0.462,dols / lb,36812,thousand dollars
Cotton Upland,12121999,2006,Georgia,13,1400,thousand acres,1370,thousand acres,818,pounds,2334,thousand bales,0.47,dols / lb,526550,thousand dollars
Cotton Upland,12121999,2006,Kansas,20,115,thousand acres,110,thousand acres,511,pounds,117,thousand bales,0.472,dols / lb,26508,thousand dollars
Cotton Upland,12121999,2006,Louisiana,22,635,thousand acres,630,thousand acres,946,pounds,1241,thousand bales,0.461,dols / lb,274608,thousand dollars
Cotton Upland,12121999,2006,Mississippi,28,1230,thousand acres,1220,thousand acres,829,pounds,2107,thousand bales,0.45,dols / lb,455112,thousand dollars
Cotton Upland,12121999,2006,Missouri,29,500,thousand acres,496,thousand acres,953,pounds,985,thousand bales,0.45,dols / lb,212760,thousand dollars
Cotton Upland,12121999,2006,New Mexico,35,50,thousand acres,48,thousand acres,930,pounds,93,thousand bales,0.482,dols / lb,21516,thousand dollars
Cotton Upland,12121999,2006,North Carolina,37,870,thousand acres,865,thousand acres,713,pounds,1285,thousand bales,0.458,dols / lb,282494,thousand dollars
Cotton Upland,12121999,2006,Oklahoma,40,320,thousand acres,180,thousand acres,541,pounds,203,thousand bales,0.472,dols / lb,45992,thousand dollars
Cotton Upland,12121999,2006,South Carolina,45,300,thousand acres,298,thousand acres,697,pounds,433,thousand bales,0.48,dols / lb,99763,thousand dollars
Cotton Upland,12121999,2006,Tennessee,47,700,thousand acres,695,thousand acres,945,pounds,1368,thousand bales,0.464,dols / lb,304681,thousand dollars
Cotton Upland,12121999,2006,Texas,48,6400,thousand acres,4100,thousand acres,679,pounds,5800,thousand bales,0.463,dols / lb,1288992,thousand dollars
Cotton Upland,12121999,2006,Virginia,51,105,thousand acres,104,thousand acres,717,pounds,155.4,thousand bales,0.43,dols / lb,32075,thousand dollars
Cotton Upland,12121999,2006,United States,99,14948,thousand acres,12408,thousand acres,806,pounds,20822.4,thousand bales,0.465,dols / lb,4666741,thousand dollars
Cotton Amer. Pima,12122999,2006,Arizona,4,7,thousand acres,7,thousand acres,919,pounds,13.4,thousand bales,0.9,dols / lb,5789,thousand dollars
Cotton Amer. Pima,12122999,2006,California,6,275,thousand acres,274,thousand acres,1204,pounds,687,thousand bales,0.951,dols / lb,313602,thousand dollars
Cotton Amer. Pima,12122999,2006,New Mexico,35,13,thousand acres,12.5,thousand acres,768,pounds,20,thousand bales,0.866,dols / lb,8314,thousand dollars
Cotton Amer. Pima,12122999,2006,Texas,48,31,thousand acres,30,thousand acres,720,pounds,45,thousand bales,0.87,dols / lb,18792,thousand dollars
Cotton Amer. Pima,12122999,2006,United States,99,326,thousand acres,323.5,thousand acres,1136,pounds,765.4,thousand bales,0.943,dols / lb,346497,thousand dollars
Cotton All,12129999,2006,Alabama,1,575,thousand acres,560,thousand acres,579,pounds,675,thousand bales,,,,
Cotton All,12129999,2006,Arizona,4,197,thousand acres,195,thousand acres,1402,pounds,569.4,thousand bales,,,,
Cotton All,12129999,2006,Arkansas,5,1170,thousand acres,1160,thousand acres,1045,pounds,2525,thousand bales,,,,
Cotton All,12129999,2006,California,6,560,thousand acres,557,thousand acres,1263,pounds,1466,thousand bales,,,,
Cotton All,12129999,2006,Florida,12,103,thousand acres,101,thousand acres,789,pounds,166,thousand bales,,,,
Cotton All,12129999,2006,Georgia,13,1400,thousand acres,1370,thousand acres,818,pounds,2334,thousand bales,,,,
Cotton All,12129999,2006,Kansas,20,115,thousand acres,110,thousand acres,511,pounds,117,thousand bales,,,,
Cotton All,12129999,2006,Louisiana,22,635,thousand acres,630,thousand acres,946,pounds,1241,thousand bales,,,,
Cotton All,12129999,2006,Mississippi,28,1230,thousand acres,1220,thousand acres,829,pounds,2107,thousand bales,,,,
Cotton All,12129999,2006,Missouri,29,500,thousand acres,496,thousand acres,953,pounds,985,thousand bales,,,,
Cotton All,12129999,2006,New Mexico,35,63,thousand acres,60.5,thousand acres,897,pounds,113,thousand bales,,,,
Cotton All,12129999,2006,North Carolina,37,870,thousand acres,865,thousand acres,713,pounds,1285,thousand bales,,,,
Cotton All,12129999,2006,Oklahoma,40,320,thousand acres,180,thousand acres,541,pounds,203,thousand bales,,,,
Cotton All,12129999,2006,South Carolina,45,300,thousand acres,298,thousand acres,697,pounds,433,thousand bales,,,,
Cotton All,12129999,2006,Tennessee,47,700,thousand acres,695,thousand acres,945,pounds,1368,thousand bales,,,,
Cotton All,12129999,2006,Texas,48,6431,thousand acres,4130,thousand acres,679,pounds,5845,thousand bales,,,,
Cotton All,12129999,2006,Virginia,51,105,thousand acres,104,thousand acres,717,pounds,155.4,thousand bales,,,,
Cotton All,12129999,2006,United States,99,15274,thousand acres,12731.5,thousand acres,814,pounds,21587.8,thousand bales,0.484,dols / lb,5013238,thousand dollars
Sugarcane For Sugar And Seed,13199399,2006,Florida,12,,,400,thousand acres,35.9,tons,14346,thousand tons,,,446161,thousand dollars
Sugarcane For Sugar And Seed,13199399,2006,Hawaii,15,,,22,thousand acres,75.7,tons,1665,thousand tons,,,51781,thousand dollars
Sugarcane For Sugar And Seed,13199399,2006,Louisiana,22,,,435,thousand acres,27.3,tons,11876,thousand tons,,,351529,thousand dollars
Sugarcane For Sugar And Seed,13199399,2006,Texas,48,,,40.7,thousand acres,41.2,tons,1677,thousand tons,,,48130,thousand dollars
Sugarcane For Sugar And Seed,13199399,2006,United States,99,,,897.7,thousand acres,32.9,tons,29564,thousand tons,,,897601,thousand dollars
Sugarbeets,13299199,2006,California,6,43.3,thousand acres,43.1,thousand acres,36.1,tons,1556,thousand tons,42.2,dols / ton,65663,thousand dollars
Sugarbeets,13299199,2006,Colorado,8,42.1,thousand acres,38,thousand acres,23.4,tons,889,thousand tons,42.2,dols / ton,37516,thousand dollars
Sugarbeets,13299199,2006,Idaho,16,188,thousand acres,187,thousand acres,31.7,tons,5928,thousand tons,39.5,dols / ton,234156,thousand dollars
Sugarbeets,13299199,2006,Michigan,26,155,thousand acres,154,thousand acres,23.2,tons,3573,thousand tons,38,dols / ton,135774,thousand dollars
Sugarbeets,13299199,2006,Minnesota,27,504,thousand acres,477,thousand acres,24.9,tons,11877,thousand tons,46.7,dols / ton,554656,thousand dollars
Sugarbeets,13299199,2006,Montana,30,53.6,thousand acres,48.5,thousand acres,27,tons,1310,thousand tons,41.6,dols / ton,54496,thousand dollars
Sugarbeets,13299199,2006,Nebraska,31,61.3,thousand acres,57.8,thousand acres,23.3,tons,1347,thousand tons,44.5,dols / ton,59942,thousand dollars
Sugarbeets,13299199,2006,North Dakota,38,261,thousand acres,243,thousand acres,26,tons,6318,thousand tons,48.9,dols / ton,308950,thousand dollars
Sugarbeets,13299199,2006,Oregon,41,13.1,thousand acres,13.1,thousand acres,30.1,tons,394,thousand tons,39.5,dols / ton,15563,thousand dollars
Sugarbeets,13299199,2006,Washington,53,2,thousand acres,2,thousand acres,37,tons,74,thousand tons,39.5,dols / ton,2923,thousand dollars
Sugarbeets,13299199,2006,Wyoming,56,42.8,thousand acres,40.1,thousand acres,19.9,tons,798,thousand tons,46.8,dols / ton,37346,thousand dollars
Sugarbeets,13299199,2006,United States,99,1366.2,thousand acres,1303.6,thousand acres,26.1,tons,34064,thousand tons,44.2,dols / ton,1506985,thousand dollars
Maple Syrup,13399999,2006,Connecticut,9,,,,,0.153,gallon,11,thousand gallons,58.2,dols / gal,640,thousand dollars
Maple Syrup,13399999,2006,Maine,23,,,,,0.232,gallon,345,thousand gallons,24.3,dols / gal,8384,thousand dollars
Maple Syrup,13399999,2006,Massachusetts,25,,,,,0.157,gallon,40,thousand gallons,47.9,dols / gal,1916,thousand dollars
Maple Syrup,13399999,2006,Michigan,26,,,,,0.208,gallon,78,thousand gallons,37,dols / gal,2886,thousand dollars
Maple Syrup,13399999,2006,New Hampshire,33,,,,,0.171,gallon,64,thousand gallons,43.9,dols / gal,2810,thousand dollars
Maple Syrup,13399999,2006,New York,36,,,,,0.173,gallon,253,thousand gallons,31.7,dols / gal,8020,thousand dollars
Maple Syrup,13399999,2006,Ohio,39,,,,,0.218,gallon,71,thousand gallons,34,dols / gal,2414,thousand dollars
Maple Syrup,13399999,2006,Pennsylvania,42,,,,,0.147,gallon,66,thousand gallons,32.5,dols / gal,2145,thousand dollars
Maple Syrup,13399999,2006,Vermont,50,,,,,0.235,gallon,650,thousand gallons,30.2,dols / gal,19630,thousand dollars
Maple Syrup,13399999,2006,Wisconsin,55,,,,,0.2,gallon,100,thousand gallons,31.2,dols / gal,3120,thousand dollars
Maple Syrup,13399999,2006,United States,99,,,,,0.208,gallon,1678,thousand gallons,31,dols / gal,51965,thousand dollars
Cotton Seed,15199999,2006,Alabama,1,,,,,,,230,thousand tons,90.5,dols / ton,20815,thousand dollars
Cotton Seed,15199999,2006,Arizona,4,,,,,,,214.2,thousand tons,167,dols / ton,35771,thousand dollars
Cotton Seed,15199999,2006,Arkansas,5,,,,,,,861,thousand tons,101,dols / ton,86961,thousand dollars
Cotton Seed,15199999,2006,California,6,,,,,,,532,thousand tons,182,dols / ton,96824,thousand dollars
Cotton Seed,15199999,2006,Florida,12,,,,,,,49.3,thousand tons,92.5,dols / ton,4560,thousand dollars
Cotton Seed,15199999,2006,Georgia,13,,,,,,,699,thousand tons,93,dols / ton,65007,thousand dollars
Cotton Seed,15199999,2006,Kansas,20,,,,,,,45,thousand tons,109,dols / ton,4905,thousand dollars
Cotton Seed,15199999,2006,Louisiana,22,,,,,,,400,thousand tons,97,dols / ton,38800,thousand dollars
Cotton Seed,15199999,2006,Mississippi,28,,,,,,,731,thousand tons,93.5,dols / ton,68349,thousand dollars
Cotton Seed,15199999,2006,Missouri,29,,,,,,,359,thousand tons,94.5,dols / ton,33926,thousand dollars
Cotton Seed,15199999,2006,New Mexico,35,,,,,,,40,thousand tons,173,dols / ton,6920,thousand dollars
Cotton Seed,15199999,2006,North Carolina,37,,,,,,,414,thousand tons,91.5,dols / ton,37881,thousand dollars
Cotton Seed,15199999,2006,Oklahoma,40,,,,,,,71.6,thousand tons,98,dols / ton,7017,thousand dollars
Cotton Seed,15199999,2006,South Carolina,45,,,,,,,136.8,thousand tons,90,dols / ton,12312,thousand dollars
Cotton Seed,15199999,2006,Tennessee,47,,,,,,,441,thousand tons,102,dols / ton,44982,thousand dollars
Cotton Seed,15199999,2006,Texas,48,,,,,,,2065.9,thousand tons,118,dols / ton,243776,thousand dollars
Cotton Seed,15199999,2006,Virginia,51,,,,,,,58.1,thousand tons,92,dols / ton,5345,thousand dollars
Cotton Seed,15199999,2006,United States,99,,,,,,,7347.9,thousand tons,111,dols / ton,814151,thousand dollars
Flaxseed,15299999,2006,Minnesota,27,8,thousand acres,7,thousand acres,18,bushel,126,thousand bushels,5.68,dols / bu,716,thousand dollars
Flaxseed,15299999,2006,Montana,30,35,thousand acres,33,thousand acres,9,bushel,297,thousand bushels,6.13,dols / bu,1821,thousand dollars
Flaxseed,15299999,2006,North Dakota,38,750,thousand acres,715,thousand acres,14.5,bushel,10368,thousand bushels,5.8,dols / bu,60134,thousand dollars
Flaxseed,15299999,2006,South Dakota,46,20,thousand acres,12,thousand acres,19,bushel,228,thousand bushels,5.66,dols / bu,1290,thousand dollars
Flaxseed,15299999,2006,United States,99,813,thousand acres,767,thousand acres,14.4,bushel,11019,thousand bushels,5.8,dols / bu,63961,thousand dollars
Peanuts for Nuts,15399199,2006,Alabama,1,165,thousand acres,163,thousand acres,2500,pounds,407500,thousand lbs,0.168,dols / lb,68460,thousand dollars
Peanuts for Nuts,15399199,2006,Florida,12,130,thousand acres,120,thousand acres,2500,pounds,300000,thousand lbs,0.173,dols / lb,51900,thousand dollars
Peanuts for Nuts,15399199,2006,Georgia,13,580,thousand acres,575,thousand acres,2780,pounds,1598500,thousand lbs,0.175,dols / lb,279738,thousand dollars
Peanuts for Nuts,15399199,2006,Mississippi,28,17,thousand acres,16,thousand acres,2900,pounds,46400,thousand lbs,0.168,dols / lb,7795,thousand dollars
Peanuts for Nuts,15399199,2006,New Mexico,35,12,thousand acres,12,thousand acres,3600,pounds,43200,thousand lbs,0.185,dols / lb,7992,thousand dollars
Peanuts for Nuts,15399199,2006,North Carolina,37,85,thousand acres,84,thousand acres,3200,pounds,268800,thousand lbs,0.185,dols / lb,49728,thousand dollars
Peanuts for Nuts,15399199,2006,Oklahoma,40,23,thousand acres,22,thousand acres,2850,pounds,62700,thousand lbs,0.177,dols / lb,11098,thousand dollars
Peanuts for Nuts,15399199,2006,South Carolina,45,59,thousand acres,56,thousand acres,3000,pounds,168000,thousand lbs,0.183,dols / lb,30744,thousand dollars
Peanuts for Nuts,15399199,2006,Texas,48,155,thousand acres,145,thousand acres,3550,pounds,514750,thousand lbs,0.187,dols / lb,96258,thousand dollars
Peanuts for Nuts,15399199,2006,Virginia,51,17,thousand acres,17,thousand acres,3200,pounds,54400,thousand lbs,0.167,dols / lb,9085,thousand dollars
Peanuts for Nuts,15399199,2006,United States,99,1243,thousand acres,1210,thousand acres,2863,pounds,3464250,thousand lbs,0.177,dols / lb,612798,thousand dollars
Soybeans,15499199,2006,Alabama,1,160,thousand acres,150,thousand acres,20,bushel,3000,thousand bushels,6.85,dols / bu,20550,thousand dollars
Soybeans,15499199,2006,Arkansas,5,3110,thousand acres,3070,thousand acres,35,bushel,107450,thousand bushels,6.41,dols / bu,688755,thousand dollars
Soybeans,15499199,2006,Delaware,10,180,thousand acres,177,thousand acres,31.5,bushel,5576,thousand bushels,6.6,dols / bu,36802,thousand dollars
Soybeans,15499199,2006,Florida,12,7,thousand acres,5,thousand acres,27,bushel,135,thousand bushels,6.25,dols / bu,844,thousand dollars
Soybeans,15499199,2006,Georgia,13,155,thousand acres,140,thousand acres,25,bushel,3500,thousand bushels,6.85,dols / bu,23975,thousand dollars
Soybeans,15499199,2006,Illinois,17,10100,thousand acres,10050,thousand acres,48,bushel,482400,thousand bushels,6.68,dols / bu,3222432,thousand dollars
Soybeans,15499199,2006,Indiana,18,5700,thousand acres,5680,thousand acres,50,bushel,284000,thousand bushels,6.53,dols / bu,1854520,thousand dollars
Soybeans,15499199,2006,Iowa,19,10150,thousand acres,10100,thousand acres,50.5,bushel,510050,thousand bushels,6.58,dols / bu,3356129,thousand dollars
Soybeans,15499199,2006,Kansas,20,3150,thousand acres,3080,thousand acres,32,bushel,98560,thousand bushels,6.37,dols / bu,627827,thousand dollars
Soybeans,15499199,2006,Kentucky,21,1380,thousand acres,1370,thousand acres,44,bushel,60280,thousand bushels,6.68,dols / bu,402670,thousand dollars
Soybeans,15499199,2006,Louisiana,22,870,thousand acres,840,thousand acres,36,bushel,30240,thousand bushels,5.94,dols / bu,179626,thousand dollars
Soybeans,15499199,2006,Maryland,24,470,thousand acres,465,thousand acres,34,bushel,15810,thousand bushels,6.4,dols / bu,101184,thousand dollars
Soybeans,15499199,2006,Michigan,26,2000,thousand acres,1990,thousand acres,46,bushel,91540,thousand bushels,6.27,dols / bu,573956,thousand dollars
Soybeans,15499199,2006,Minnesota,27,7350,thousand acres,7250,thousand acres,44.5,bushel,322625,thousand bushels,6.26,dols / bu,2019633,thousand dollars
Soybeans,15499199,2006,Mississippi,28,1670,thousand acres,1650,thousand acres,26,bushel,42900,thousand bushels,6.23,dols / bu,267267,thousand dollars
Soybeans,15499199,2006,Missouri,29,5150,thousand acres,5110,thousand acres,38,bushel,194180,thousand bushels,6.47,dols / bu,1256345,thousand dollars
Soybeans,15499199,2006,Nebraska,31,5050,thousand acres,5010,thousand acres,50,bushel,250500,thousand bushels,6.05,dols / bu,1515525,thousand dollars
Soybeans,15499199,2006,New Jersey,34,88,thousand acres,86,thousand acres,35,bushel,3010,thousand bushels,6.25,dols / bu,18813,thousand dollars
Soybeans,15499199,2006,New York,36,200,thousand acres,198,thousand acres,46,bushel,9108,thousand bushels,6.19,dols / bu,56379,thousand dollars
Soybeans,15499199,2006,North Carolina,37,1370,thousand acres,1360,thousand acres,32,bushel,43520,thousand bushels,6.35,dols / bu,276352,thousand dollars
Soybeans,15499199,2006,North Dakota,38,3900,thousand acres,3870,thousand acres,31.5,bushel,121905,thousand bushels,5.98,dols / bu,728992,thousand dollars
Soybeans,15499199,2006,Ohio,39,4650,thousand acres,4620,thousand acres,47,bushel,217140,thousand bushels,6.46,dols / bu,1402724,thousand dollars
Soybeans,15499199,2006,Oklahoma,40,310,thousand acres,215,thousand acres,17,bushel,3655,thousand bushels,6.35,dols / bu,23209,thousand dollars
Soybeans,15499199,2006,Pennsylvania,42,430,thousand acres,425,thousand acres,40,bushel,17000,thousand bushels,6.25,dols / bu,106250,thousand dollars
Soybeans,15499199,2006,South Carolina,45,400,thousand acres,390,thousand acres,29,bushel,11310,thousand bushels,6.8,dols / bu,76908,thousand dollars
Soybeans,15499199,2006,South Dakota,46,3950,thousand acres,3850,thousand acres,34,bushel,130900,thousand bushels,6.03,dols / bu,789327,thousand dollars
Soybeans,15499199,2006,Tennessee,47,1160,thousand acres,1130,thousand acres,39,bushel,44070,thousand bushels,6.3,dols / bu,277641,thousand dollars
Soybeans,15499199,2006,Texas,48,225,thousand acres,155,thousand acres,24,bushel,3720,thousand bushels,5.4,dols / bu,20088,thousand dollars
Soybeans,15499199,2006,Virginia,51,520,thousand acres,510,thousand acres,31,bushel,15810,thousand bushels,6.54,dols / bu,103397,thousand dollars
Soybeans,15499199,2006,West Virginia,54,17,thousand acres,16,thousand acres,42,bushel,672,thousand bushels,6.4,dols / bu,4301,thousand dollars
Soybeans,15499199,2006,Wisconsin,55,1650,thousand acres,1640,thousand acres,44,bushel,72160,thousand bushels,6.04,dols / bu,435846,thousand dollars
Soybeans,15499199,2006,United States,99,75522,thousand acres,74602,thousand acres,42.9,bushel,3196726,thousand bushels,6.43,dols / bu,20468267,thousand dollars
Mustard,15819999,2006,United States,99,40.5,thousand acres,39.2,thousand acres,720,pounds,28220,thousand lbs,13.7,dols / cwt,3873,thousand dollars
Canola,15825599,2006,Minnesota,27,28,thousand acres,27,thousand acres,1330,pounds,35910,thousand lbs,11.6,dols / cwt,4166,thousand dollars
Canola,15825599,2006,Montana,30,10,thousand acres,9.8,thousand acres,1120,pounds,10976,thousand lbs,11.7,dols / cwt,1284,thousand dollars
Canola,15825599,2006,North Dakota,38,940,thousand acres,935,thousand acres,1370,pounds,1280950,thousand lbs,11.9,dols / cwt,152433,thousand dollars
Canola,15825599,2006,Other States,98,66,thousand acres,49.2,thousand acres,1351,pounds,66476,thousand lbs,11.4,dols / cwt,7608,thousand dollars
Canola,15825599,2006,United States,99,1044,thousand acres,1021,thousand acres,1366,pounds,1394312,thousand lbs,11.9,dols / cwt,165491,thousand dollars
Rapeseed,15825999,2006,United States,99,1.4,thousand acres,1,thousand acres,1100,pounds,1100,thousand lbs,14.9,dols / cwt,164,thousand dollars
Safflower,15826999,2006,California,6,56,thousand acres,55.5,thousand acres,1900,pounds,105450,thousand lbs,13.7,dols / cwt,14447,thousand dollars
Safflower,15826999,2006,Montana,30,39,thousand acres,37,thousand acres,750,pounds,27750,thousand lbs,13.5,dols / cwt,3746,thousand dollars
Safflower,15826999,2006,Other States,98,94,thousand acres,86.5,thousand acres,737,pounds,63755,thousand lbs,13.1,dols / cwt,8360,thousand dollars
Safflower,15826999,2006,United States,99,189,thousand acres,179,thousand acres,1100,pounds,196955,thousand lbs,13.5,dols / cwt,26553,thousand dollars
Sunflower Seed For Oil,15831199,2006,Colorado,8,80,thousand acres,75,thousand acres,1100,pounds,82500,thousand lbs,12.5,dols / cwt,10313,thousand dollars
Sunflower Seed For Oil,15831199,2006,Kansas,20,140,thousand acres,130,thousand acres,1200,pounds,156000,thousand lbs,13.1,dols / cwt,20436,thousand dollars
Sunflower Seed For Oil,15831199,2006,Minnesota,27,55,thousand acres,53,thousand acres,1850,pounds,98050,thousand lbs,14.8,dols / cwt,14511,thousand dollars
